position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,das gotas,ChIJqxBf_f6bpQAR30jPYvsN_4s,0xa59bfefd5f10ab:0x8bff0dfb62cf48df,10087797063678904543,/g/11fcrvbc0g,4.9,116,Loja de artigos de aromaterapia,"Loja de artigos de aromaterapia, Loja de produtos naturais",aromatherapy_supply_store,"Prudente de Moraes, 680 - Centro, Itambé do Mato Dentro - MG, 35820-000, Brasil",-19.423816499999997,-43.320048,+55 31 99568-0256,https://dasgotas.com.br/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipOV19siXWVA-oVYta4_sdm2xoBsPDgr9Vr8Va4_=w163-h92-k-no,https://serpapi.com/images/url/fj9msHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH2ZoWZwZER7mqJsfFlmSaBJfnJJrVJHvVBzgkl5kGVZkEQYUsy03NDPWzbA00s3WzcsHAKtsIWI,https://serpapi.com/search.json?data_id=0xa59bfefd5f10ab%3A0x8bff0dfb62cf48df&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa59bfefd5f10ab%3A0x8bff0dfb62cf48df&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJqxBf_f6bpQAR30jPYvsN_4s,"Itambé do Mato Dentro, MG",lojas_presentes,2025-07-28T21:27:29.257610,COMPLETA
2,Pousada Portal Do Itambé,ChIJcV4XH66apQARrPaTLhSQo0Q,0xa59aae1f175e71:0x44a390142e93f6ac,4945955232138131116,/g/11b6ggfpq1,4.5,98,Pousada,Pousada,inn,"R. Prudente de Morais, 730, Itambé do Mato Dentro - MG, 35820-000, Brasil",-19.4244876,-43.319902899999995,+55 31 98354-1616,http://pousadaportaldoitambe.blogspot.com.br/,,,,US$ 45,,,,,,"""Ótima experiência como sempre""",https://lh3.googleusercontent.com/p/AF1QipNFl826igP6dxZCjy02_dzUBkzkZpRqSbsyW9_B=w80-h106-k-no,https://serpapi.com/images/url/QylP7HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng55ZjYWSWmR5gllIR5ZxVaWAUn1IV6pRdlR1VEFQYnFRcGW4Z72RbbmGgm2FoYKabrZuXDwCvVSGt,https://serpapi.com/search.json?data_id=0xa59aae1f175e71%3A0x44a390142e93f6ac&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa59aae1f175e71%3A0x44a390142e93f6ac&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJcV4XH66apQARrPaTLhSQo0Q,"Itambé do Mato Dentro, MG",lojas_presentes,2025-07-28T21:27:29.257610,COMPLETA
3,Stilus Móveis,ChIJweGyqLuFpQAROLMjxVxQqvY,0xa585bba8b2e1c1:0xf6aa505cc523b338,17774107238745748280,/g/11ny35m4_l,4.7,3,Loja de móveis,Loja de móveis,furniture_store,"R. Principal, 115, Itambé do Mato Dentro - MG, 35820-000, Brasil",-19.414700699999997,-43.322200099999996,+55 31 98464-8263,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no81gRnjBwguvogFGuYFXG8ko7xH5-eeaaWit52-h2GL6kGsNAtTrhQQeLUDjMVWN9PLJ8ypwZpgGNowXtK1cTTQ9gLUietmN2L2N-wAgr_eoQbklV5tw9ntIDQt7byYfejHD7t6A=w92-h92-k-no,https://serpapi.com/images/url/cizbwXicDc1LTsMwEADQE7lRA2liJBaBqC5gLIzSHxvURsO4SeqJ4gmmF-QO3IYu3vr9_TrmIdwlSe9uZkiEPUwBxoY8g-dZQ-cEhyCaIEJSPkp366mY47tvHyJO34RLNe2XO1V0lP-sMgFwOGxPnKXCpUovOhVMyfXorAW9rtrXzdbIN_1cXIb4MaAyFHf8Mm_q2krU6xPw2aQ6NSKWOH4C2WPXbzKO0vNTZTk_XvZf0K6qnBflfZTX5aoTnv4BQndFpg,https://serpapi.com/search.json?data_id=0xa585bba8b2e1c1%3A0xf6aa505cc523b338&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa585bba8b2e1c1%3A0xf6aa505cc523b338&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJweGyqLuFpQAROLMjxVxQqvY,"Itambé do Mato Dentro, MG",lojas_presentes,2025-07-28T21:27:29.257610,COMPLETA
4,Atualiza Informática e Celulares,ChIJr_NH75yFpQARqdkOHRgl_zw,0xa5859cef47f3af:0x3cff25181d0ed9a9,4395272546833848745,/g/11h4zk8d1y,5,2,Loja de celulares,Loja de celulares,cell_phone_store,"R. Prudente de Morais, 89, Itambé do Mato Dentro - MG, 35820-000, Brasil",-19.419168199999998,-43.319613499999996,+55 31 97172-8222,https://www.facebook.com/Atualiza-inform%C3%A1tica-e-celulares-395310917970406/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipMHwBJOjSnaVAsKNMSDSbyakmUUf367NwLB9BFc=w163-h92-k-no,https://serpapi.com/images/url/11uZInicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng61Hu5OWfFZyXGOZY7O3nG-wSnFSZmJ0bGppmbGbuV-7jZOnklmxbbmhmrJthaaSbrZuXDwCnKSEE,https://serpapi.com/search.json?data_id=0xa5859cef47f3af%3A0x3cff25181d0ed9a9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5859cef47f3af%3A0x3cff25181d0ed9a9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJr_NH75yFpQARqdkOHRgl_zw,"Itambé do Mato Dentro, MG",lojas_presentes,2025-07-28T21:27:29.257610,COMPLETA
5,Cachoeira Itambé,ChIJp737-K2apQARex9JXrfdJkw,0xa59aadf8fbbda7:0x4c26ddb75e491f7b,5487316975628132219,/g/1ydntp8l2,4.7,122,Atração turística,"Atração turística, Parque",tourist_attraction,"Itambé do Mato Dentro - MG, 35820-000, Brasil",-19.422954999999998,-43.319935,,,,,,,,,,,,"""Top 3 - Serenata, Da maça, Do Lúcio, Intancado.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4no5SpYRZX8_e9jcwlNrSJfeQLnoMyCfDfRnLcaF0COoS3Jl5DLv82Y7H6CX6oiQ6HmU0iSdjF4pv1sNmkWH_1Qz1a5a7cAUor-6ZbsTXfVkYQdqvKTmC1QjT8zgPvujAMDJUVopDA=w122-h92-k-no,https://serpapi.com/images/url/Y4761XicBcFJDoIwFADQE1UsCoKJC1JiCOJQGQQ3BmsBGforRYxe0DN4G9_7fathkGqpaW01m5QAZcufivcMxMDFMGHQaaVUiCmkNIfY1VyAEcrseE6tC7dr9mp3fegXnAYCtm9SuMVRBCxfT8kewpnfGm4wWnq28EySmnCnptfF03t4q9dzOWK165qTd8H0g3MjXzAnhh6Z56uK0iJpMnp7jJuoI5jWkfUpD-OzdrauHycgXWf1wrqOKltHDRLwB0R1RP8,https://serpapi.com/search.json?data_id=0xa59aadf8fbbda7%3A0x4c26ddb75e491f7b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa59aadf8fbbda7%3A0x4c26ddb75e491f7b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJp737-K2apQARex9JXrfdJkw,"Itambé do Mato Dentro, MG",lojas_presentes,2025-07-28T21:27:29.257610,COMPLETA
6,Itambé do mato dentro,ChIJWwci1ZmFpQARZ9DjrGzRJXY,0xa58599d522075b:0x7625d16cace3d067,8513440935301075047,/g/11kb_0n0fv,5,8,Desenvolvimento de moradias,Desenvolvimento de moradias,housing_development,"R. Lava Pés, Itambé do Mato Dentro - MG, 35820-000, Brasil",-19.4132324,-43.323456199999995,,,,,,,,,,,,"""Muito aconchegante a cidade.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noplwejJSImoWeueH12b4i7TmObBMmbSvWW7KJ4-0wWFW5Jzzak905_e5G5Hxsi2go1dwb2i0xj5zfp-gNwOneXFrPe-5kD3NWGoXqkoH9_NarSk-X9SnqYClUc38XEEEpeC5fECw=w122-h92-k-no,https://serpapi.com/images/url/Fsr0BnicBcHRToMwFADQL7oDCs2siQ-KbAwjM0FTfFoGuyus0NtRZhd-0G_wbzzn77ebZ-seg2Do4pUiUgPeHE4tmRnNvGppDJR10DpwwXMqusSQHTxeimo3ksQb5hFrkn79Oe6bl_exqX6kXL8VCYRebiQvluWoRcgPyLc8v7ueKYpOvmF9eL_w5WxBlX5vsN5MHwhcv8al3FJ91ZSLQ3mcKg21qMz1Ox2-2vihzrLMYsrPWeqffMQYdIKBBkP_YhZE5g,https://serpapi.com/search.json?data_id=0xa58599d522075b%3A0x7625d16cace3d067&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa58599d522075b%3A0x7625d16cace3d067&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJWwci1ZmFpQARZ9DjrGzRJXY,"Itambé do Mato Dentro, MG",lojas_presentes,2025-07-28T21:27:29.257610,COMPLETA
7,Pousada Cantinho da Paz,ChIJS9m3BlKFpQARlJWCDYDUQLc,0xa5855206b7d94b:0xb740d4800d829594,13204787753897858452,/g/11b6p_bkx_,4.4,28,Pousada,Pousada,inn,"R. Modesto Justino Oliveira, 210 - Centro, Itambé do Mato Dentro - MG, 35820-000, Brasil",-19.4142242,-43.3200547,+55 31 99639-8107,,,,,,,,,,,"""Muito limpo e familiar os ambientes.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4np3eTV6oz8oZ-i3XAUv6fG6K1T5b8M8LUEq-M5I57KBNveimUtI98ch6CFBVtizOwhIZ-n9bpMsgtmd7oj60C7DupuRMEyoN2tCStHs_xTLq8jHBY6fS4sLQz6On5u-2GzFZE2A=w122-h92-k-no,https://serpapi.com/images/url/wYHV3HicBcFRcoIwEADQE63UICF0ph-AqIyg0wpOy48z0khQyUazaMv9PIS38b3nQxEZ--44Z-WOGsTmLHsrrzVqkppGNXZOYyzUFqwTxoGaaOPKYstxEFhB636H5Y0f5nw5Lry9yEVWJhfIvdTzl9HqJtuupDQQteLxLNpSO6zvKq1AB3uT24a6Xx-P_C32p73pv_LkH1eM4g0t7O6vyC7iuIh--GEzsdnnwNfa64HNh1mVsPDjPmYMVMDgBBpfLrZC5A,https://serpapi.com/search.json?data_id=0xa5855206b7d94b%3A0xb740d4800d829594&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5855206b7d94b%3A0xb740d4800d829594&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJS9m3BlKFpQARlJWCDYDUQLc,"Itambé do Mato Dentro, MG",lojas_presentes,2025-07-28T21:27:29.257610,COMPLETA
8,GM Supermercados,ChIJG31iIFKFpQARTFDr-9D1Wec,0xa5855220627d1b:0xe759f5d0fbeb504c,16670625773617107020,/g/11g69g1p33,4.6,109,Supermercado,Supermercado,supermarket,"R. Modesto Justino Oliveira, 2-164, Itambé do Mato Dentro - MG, 35820-000, Brasil",-19.4136037,-43.3211644,+55 38365252,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega sem contato, Entrega",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nond-f_97Xua5wgAldLcEpZLxzsM46Ha8V3zRaWrnPn6mEvcj0LrPfGQ2w1eHX6sUWucLzOufMJNrkEFxvLnhII6GqcaN9CAZ9n7FhhXMJNc5jJ9RbJhhP_kTULJu0JC3D6rAez=w138-h92-k-no,https://serpapi.com/images/url/Wm8rIXicDclbjoIwFADQFVVUtNpJ5oMgPpqqaESJPwZr4UbwFlsqhv3NImY3en7P_x80TW1_PK8Cv1doXVTKWWWkxkZh05P64RW1JdIS6wUhgxFqvJH8wiapy8ZtEVQ3IaP6LN6dXY_oMpse_W6fnQzGSB_RS977wsT5YjdsB2qZUpucnBTd1uVrvjFlNH-_BMJqRRdPmW1YGJwZTuYA6bfl-M7Z_soB4kt5SAR3fR76M2oC1f22A39KgA1JSVB_AAUjRKU,https://serpapi.com/search.json?data_id=0xa5855220627d1b%3A0xe759f5d0fbeb504c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5855220627d1b%3A0xe759f5d0fbeb504c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJG31iIFKFpQARTFDr-9D1Wec,"Itambé do Mato Dentro, MG",lojas_presentes,2025-07-28T21:27:29.257610,COMPLETA
9,Bem Vindo a Itambé.,ChIJhecEIOObpQARcxSzLL-X8og,0xa59be32004e785:0x88f297bf2cb31473,9868116580866659443,/g/11j8_8hsv_,4.6,5,Ponto panorâmico,Ponto panorâmico,scenic_spot,"R. Prudente de Morais, 740, Itambé do Mato Dentro - MG, 35820-000, Brasil",-19.4247476,-43.3198413,,,,,,,,,,,,"""Lugar lindo,""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npZ0OjFeJz4bd31U3J4OsXDW9lQVLuqXSetT7JIbawGmcfA215iUpqKAOnskNVbhervrni7_otBd0kfetIxyDYAKUHICMRiMzbAURSNr43hnvK07IqBmNOayZuQscTxA8pl57JVUQ=w80-h106-k-no,https://serpapi.com/images/url/ic-qLnicBcHtFoEwAADQJ5qWIpzjx-igok5Y6I-jmZZqW235ekHP4G3c-_syraWaGEbFrF4uRF7RTtGWCK4p1z0iaiOXChAFlIHmY2ZzmcLovqD-x86ulokt347U0T2MqzhZd81xR_Xe8b3s8lzW5Ib65qDAsglQxFUZJhmj7aPlhXMWenaF5Y1q7_V2TyjAK2--2RabT4bwdhe2tsX4I4CO18zqMLq80y5WZP9CI1kNHD_B8fQ5goCZcAhKwMUfcu9FtQ,https://serpapi.com/search.json?data_id=0xa59be32004e785%3A0x88f297bf2cb31473&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa59be32004e785%3A0x88f297bf2cb31473&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJhecEIOObpQARcxSzLL-X8og,"Itambé do Mato Dentro, MG",lojas_presentes,2025-07-28T21:27:29.257610,COMPLETA
10,Comercio Senhora Das Oliveiras Supermercado,ChIJ0drS2VKFpQARmKghfjqxZck,0xa58552d9d2dad1:0xc965b13a7e21a898,14512200239053645976,/g/11c32gtkbz,3.8,8,Supermercado,Supermercado,supermarket,"R. Nossa Sra. da Aparecida, 11, Itambé do Mato Dentro - MG, 35820-000, Brasil",-19.4171652,-43.3219667,+55 31 3836-5105,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC, Pluxee",Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FP_tlUaeb-aXW8JuplrT7w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=154.67728&pitch=0&thumbfov=100,https://serpapi.com/images/url/fsAEVHicHc0xDsIgFADQ27AVqFFbTYibg5ODRreG0i-Q0PIDv0Vv47W8jcYLvPd5OyLMeyEyJQBaPBT0Twi5Qs1tjDaARp-5iaNYakFuHvtJ-3BAPUU_qOO5o3DV0Ff6fmtPM4Z0aQozfWeCh4lUBp2M47b8xBQHbjGzolrJnNqt2EsXVW_WfNs0q5ahJ-OUZP_lERdVS_kFlmk55g,https://serpapi.com/search.json?data_id=0xa58552d9d2dad1%3A0xc965b13a7e21a898&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa58552d9d2dad1%3A0xc965b13a7e21a898&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ0drS2VKFpQARmKghfjqxZck,"Itambé do Mato Dentro, MG",lojas_presentes,2025-07-28T21:27:29.257610,COMPLETA
