position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Casa dos Presentes,ChIJlVJgNlkFngARHOOryo0JnVU,0x9e055936605295:0x559d098dcaabe31c,6169097569162748700,/g/11fq8kg7rg,4,1,Loja,Loja,store,"Praca Bandeira, 6, Itamonte - MG, 37466-000, Brasil",-22.284113599999998,-44.870525099999995,+55 35 99126-5288,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npfzqzrFglPd95QQGZ3yArpLwH7AMO3b8hs2h3Qv6WPKG6qp3kj9e7Z0ROF419QooKkiNLuZBsfzQVocKG46s5B9gQYAgaP3c3swvY2QQCERPynd06-8cpG1dhEeD7Nwujx0ELFag=w81-h92-k-no,https://serpapi.com/images/url/LY9EC3icBcHfFoEwHADgJ5r-LNWc4yJUzik0FxzdsWajbNOvRA_oHbyN7_t9ZdcZmFlWI_FEaC0a3gNvmVYdV92E6YclDCAGCKxoSaSnzHV8jm0imqIiU0rTEn-i1uTDOog2O3wJJbgS05d_LLLUfxpc3wkPSnu_SzyHUK2z-rbN-3IB15EeNMtSz4fpggh6isS5wAzD8Dq5lC7jffFRle2jkJnUqWTMV8F26O9vO86Ts5gPoYMkcVGNlP4D175D5w,https://serpapi.com/search.json?data_id=0x9e055936605295%3A0x559d098dcaabe31c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e055936605295%3A0x559d098dcaabe31c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJlVJgNlkFngARHOOryo0JnVU,"Itamonte, MG",lojas_presentes,2025-07-28T21:23:46.462112,COMPLETA
2,Monteiro Utilidades,ChIJD4Cdub0FngAR-zDM4kZs0RY,0x9e05bdb99d800f:0x16d16c46e2cc30fb,1644214390675484923,/g/11hz8zbl55,4.5,41,Loja de Brinquedos,Loja de Brinquedos,toy_store,"BR-354, 675, Itamonte - MG, 37466-000, Brasil",-22.2817582,-44.871015299999996,+55 35 3363-1177,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""O atendimento também é excelente, além do bom preço das mercadorias""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrydbCAmevqHm3Cu5Nfo6VN5XUZIzk4wPoaRqY2P4hGe8r7Ft29I4HMUznima6e6TpjVqYOC4T0tGGBbi1bXvP3fFB5zL8RaRQsL-vbSNlt3aHeJz1dKjSpKPM9Jf0i-ejLwIqk=w120-h92-k-no,https://serpapi.com/images/url/Ls6wpHicBcHbEkJAAADQL1rXpTTTQ8zkkiSVoTe0rNsudmPyf31Ef9M5vy_mfGA7UeywKlSUVh16MzQVlHBEuFDQXqwGBgoGmHiwDAzJ9Hnl1qFH8-j0qvXWgpLqcaAlj6e7tnAJaRaNqRJCbKPttDlyxXChc36spO4zHen3oYnH9GLBu8Rt28xrOU_mUC2Pprb62yiLrswHc34LOq5mDvJW-XVqbsMpPBteKdUANf7iju1-kRUJYEMBLSD0D76DRB0,https://serpapi.com/search.json?data_id=0x9e05bdb99d800f%3A0x16d16c46e2cc30fb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e05bdb99d800f%3A0x16d16c46e2cc30fb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJD4Cdub0FngAR-zDM4kZs0RY,"Itamonte, MG",lojas_presentes,2025-07-28T21:23:46.462112,COMPLETA
3,LOJA ITA PRINT,ChIJvTiOqpcFngARce3lzFqXbNg,0x9e0597aa8e38bd:0xd86c975acce5ed71,15595006025917656433,/g/11dymcgxr3,4.9,179,Loja de artigos para festas,"Loja de artigos para festas, Gráfica, Impressões fotográficas",party_store,"Av. Campos Elíseos, 211 - Centro, Itamonte - MG, 37466-000, Brasil",-22.2817597,-44.865880399999995,+55 35 98846-4705,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,"segunda-feira: 09:00–12:00, 14:00–18:00; terça-feira: 09:00–12:00, 14:00–18:00; quarta-feira: 09:00–12:00, 14:00–18:00; quinta-feira: 09:00–12:00, 14:00–18:00; sexta-feira: 09:00–12:00, 14:00–18:00; sábado: Fechado; domingo: Fechado",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipOsxmUMcGBl4Z3xTiFjB9PurJ3dKX_yCA8hHvZH=w122-h92-k-no,https://serpapi.com/images/url/wIzWbnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX1yRG-qb7O6UYxJlXBGS6ZblZBlQWuRlnOIdEV_p7GiR4VEW5WFbbmhkpJthaaSbrZuXDwCvuSFQ,https://serpapi.com/search.json?data_id=0x9e0597aa8e38bd%3A0xd86c975acce5ed71&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e0597aa8e38bd%3A0xd86c975acce5ed71&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJvTiOqpcFngARce3lzFqXbNg,"Itamonte, MG",lojas_presentes,2025-07-28T21:23:46.462112,COMPLETA
4,Kaju e UP.modas,ChIJjTzKW7cFngAR4JE5OpWkjpo,0x9e05b75bca3c8d:0x9a8ea4953a3991e0,11137019889367749088,/g/11l6xq56xm,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Campos Elíseos, 265, Itamonte - MG, 37466-000, Brasil",-22.2816732,-44.8653267,+55 35 99153-0066,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento ótimo e produtos incríveis""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrMuNRwgnR6mHjzzIlvTx8Jm7dRZb1WdTFogxpv0ThS-pO_HtruNZDVYcVlcxRiUgNj4AnjTNdG0iEyWRexT0itfMRn7iUgBfGqGjieiOIbEsf6Hz-ZY_XGWRsFMKbGgOgI2T-F=w163-h92-k-no,https://serpapi.com/images/url/LuCvn3icDcnbDoIgAADQLyLtMrtsPXQTrakbUZYvbSICpmCCZf5fH9Hf1Hk93w83ptYLyyr5eMCUYiVtNW2IkoZKMyCqslitAdFAW6vNnE9kE7QhejGJnMor-t4vn7ib7atphpJ0GGfYVayrnzbmR1BHN880bZhsz1dyLkmHxImFxWQlCxxm0Ba7d4xoh21h8gDJ6X_XOXzAQlAR-elO547Xg-R6u8AYaTc4pJBFzB9h4C5fQ2cM-HwE7kCqH5tQRh8,https://serpapi.com/search.json?data_id=0x9e05b75bca3c8d%3A0x9a8ea4953a3991e0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e05b75bca3c8d%3A0x9a8ea4953a3991e0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJjTzKW7cFngAR4JE5OpWkjpo,"Itamonte, MG",lojas_presentes,2025-07-28T21:23:46.462112,COMPLETA
5,Papelaria Cor e Arte,ChIJC0_ryuoFngAR-Ei5Lku-SF4,0x9e05eacaeb4f0b:0x5e48be4b2eb948f8,6793889268004112632,/g/1tx4ql72,4.9,18,Papelaria,Papelaria,stationery_store,"R. Lucas Francisco da Silva, 104, Itamonte - MG, 37466-000, Brasil",-22.2862042,-44.869467,+55 35 3363-1697,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótima loja muitas variedades, e excelente atendimento""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nps78FboObk29g7tRv_jNoMVJ3-hYmEKw4WKv4Udw5YAu8NqMe6PewGXoTdXzoIXQ-W98kE58yyQ36C2xPdrZZ9WP0F6etsAP_-6hpk0YzM3yyb5Shtmw212PgdZmTRLjisBkrR=w126-h92-k-no,https://serpapi.com/images/url/Tje0I3icBcFbjoIwFADQFVW0QKUmfjBGJ6OiFR88fkyAph0rXKTVivtzEe7Gcz5vaUyrJ45zle5AAIgrv2veldAY3phBCbUjWo1KjbQTzqj0mlaPg0UB20JhKsYmfpwvG4hOSxfJrJ6vrJesHt6xsn4W3oPNLeKEcfubwqFKX_CX7lBCAzX3g77fuWSGn6zq8pwmbLgg3OiQnRGRrRpmr8jt-8LfS1NbPMJMVHl9iNeXf_2junhqR5ggSTFSqIEvoJdEQA,https://serpapi.com/search.json?data_id=0x9e05eacaeb4f0b%3A0x5e48be4b2eb948f8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e05eacaeb4f0b%3A0x5e48be4b2eb948f8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJC0_ryuoFngAR-Ei5Lku-SF4,"Itamonte, MG",lojas_presentes,2025-07-28T21:23:46.462112,COMPLETA
6,Floricultura e Artesanato Flor e Arte,ChIJzc5Xbv8FngARnUXvGmPZP_0,0x9e05ff6e57cecd:0xfd3fd9631aef459d,18248543234805417373,/g/11j4_0p2w2,5,19,Floricultura,Floricultura,florist,"BR-354, 65, Itamonte - MG, 37466-000, Brasil",-22.2827512,-44.870131799999996,+55 35 98428-0323,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no27TYAigqZxCPrRmvLtfKttg4JghteaVaHcFPwGsJHYbidm-x_aRtpA7fzN91TpdKFDhqyHmXn3ZFZ8UbNcE2HgX5hLbgXOOf4LkxWDHC4z8PVfCItik-xkEMcUcnOF9lQiwml=w163-h92-k-no,https://serpapi.com/images/url/yXYFnXicBcHdEkJAGADQJ1om9KOZLozSVopMSm4aFruG3VX7FfV-PURv0zm_LwPo1FzXW2ZqVEralk9VPogUUArQiOQ67RQiCindcW1mCWlMT1enpvd0cMNHxF8-VDsAam0pgzI7Z5h4Yb9WW3zN64Kj4ZZF0DnT6nOwR6eu2HlLdn9jnggz9dJZnB_IysA0GTM_p0kQVJbfDJcldq3PLDxX7gbqBg3Nak9iIgLPbo91z9tFP5qYiNkGapCQf1Y7Rds,https://serpapi.com/search.json?data_id=0x9e05ff6e57cecd%3A0xfd3fd9631aef459d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e05ff6e57cecd%3A0xfd3fd9631aef459d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJzc5Xbv8FngARnUXvGmPZP_0,"Itamonte, MG",lojas_presentes,2025-07-28T21:23:46.462112,COMPLETA
7,Produtos da Fazenda,ChIJIfQsgZUFngARcH-4GgJeiXo,0x9e0595812cf421:0x7a895e021ab87f70,8829691907567812464,/g/11c2nr6zpy,4.6,486,Loja de queijos,Loja de queijos,cheese_shop,"BR-354, 291, Itamonte - MG, 37466-000, Brasil",-22.2859746,-44.8692044,+55 35 99234-4289,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: 08:00–18:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Os queijos e a variedade de produtos da serra são excelentes.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4np0h7LYrArLXhuiUnSxv1pV3aOWgUsb2reJ_5eHztcK9vDoVH77aDRng6N-FULhnJAbtAsh7zjbVab0-sR9T4fRvzmDuYfpZXg6GTS9QJQw786cEjdM64I2k5SJpCa26Abg1que=w122-h92-k-no,https://serpapi.com/images/url/IAd9WnicBcHbkoIgAADQLyKTDGJn9oHR2jJ3d9K0y0sjLEE3YAWt8f_6iP6mc15P5b11H0FwVaOBNEZeRetEw432QvsBN7dAWge4Ay6gMVGRtkOFs11Dm2yr2lOpi0cX2mpU_25k6RhsRHoYi3nv-ZJ0ianmGNdJriX6AbMyUzqlzFOncH9mVc2GwOVkHR3zrr8l7e5o91uJvtYFWaWrO54gPj3_faNoAS_jIrVxDRFlMvxvxec9hBAoAsEFaPMG73tEKQ,https://serpapi.com/search.json?data_id=0x9e0595812cf421%3A0x7a895e021ab87f70&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e0595812cf421%3A0x7a895e021ab87f70&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJIfQsgZUFngARcH-4GgJeiXo,"Itamonte, MG",lojas_presentes,2025-07-28T21:23:46.462112,COMPLETA
8,Loja Doces Brinquedos,ChIJx3WoLHoFngARWLNK9UvdrIk,0x9e057a2ca875c7:0x89acdd4bf54ab358,9920547397497959256,/g/11n139wt45,5,2,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. Pedro Teodoro de Carvalho, 141 - Centro, Itamonte - MG, 37466-000, Brasil",-22.280427,-44.871759999999995,+55 35 99238-6316,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:30; terça-feira: 09:00–19:30; quarta-feira: 09:00–19:30; quinta-feira: 09:00–19:30; sexta-feira: 09:00–19:30; sábado: 09:00–19:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipOb-m5_PDvMRMNyj7znAZ5bylvMVmFyVsylcfeD=w115-h92-k-no,https://serpapi.com/images/url/zg9JunicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn6Sbaxof4FLmG-TrV5llXpXnGGWaVJlT5huW61YZVlyZk5yW6mJbbmhoqpthaaSbrZuXDwC7NSIa,https://serpapi.com/search.json?data_id=0x9e057a2ca875c7%3A0x89acdd4bf54ab358&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e057a2ca875c7%3A0x89acdd4bf54ab358&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJx3WoLHoFngARWLNK9UvdrIk,"Itamonte, MG",lojas_presentes,2025-07-28T21:23:46.462112,COMPLETA
9,Papelaria Lápis De Cor,ChIJRZbEWpUFngARit9H6VP0kvk,0x9e05955ac49645:0xf992f453e947df8a,17983704903277076362,/g/11h7n79rln,4.9,7,Papelaria,Papelaria,stationery_store,"BR-354, 69, Itamonte - MG, 37466-000, Brasil",-22.2879818,-44.8687341,+55 35 3363-2584,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–00:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""A Lu é um doce!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqPXe2kzxBFKFqaJcMMjp8BVGYoM5MsOlzVukUaGem0Pt2EtTmZJ80DhvPqfYac5xuuf0nLYfwxy24jo2CVPLK0ceLVaKfsThSFKYwX-lypLoFksNBwVImUnfMBODfqyuDgqhBG=w163-h92-k-no,https://serpapi.com/images/url/PQ7K-3icBcFRDoIgAADQE5FG2qqtj8h0pZRbybI_x0CWChKQ2v06RLfpvd9XWNubjee1YjGrlapb5gx7USUtk3ZGVefVvQHUAOPt9msRSJ3fGWw-I4rTWFcnivGzXyGSlAqH2FzaD3FNUSWs83MLD_bWPU4rPxLvXPOyouHoHPdlVvJhnGDwVHBP8iz1KctIlXJzE9c4LYc7aKc-U3Fjzmggx66QHKNLxPXkoloLlGyH-XIBxBqCBkj1B0VdRkI,https://serpapi.com/search.json?data_id=0x9e05955ac49645%3A0xf992f453e947df8a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e05955ac49645%3A0xf992f453e947df8a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRZbEWpUFngARit9H6VP0kvk,"Itamonte, MG",lojas_presentes,2025-07-28T21:23:46.462112,COMPLETA
10,Federal modas,ChIJ2-xxNwAFngARYD_Ek3QjT9w,0x9e05003771ecdb:0xdc4f237493c43f60,15874946195106578272,/g/11yb8pcgkl,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"Rua Isaias Gonçalves da Mota, 1314, Itamonte - MG, 37466-000, Brasil",-22.297735199999998,-44.8743005,+55 35 99142-4459,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4aebnQ5toIi2KHXY_5C3Eg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=30.159405&pitch=0&thumbfov=100,https://serpapi.com/images/url/Hgeey3icHc1BDsIgEADA33ATqG0Ta0I8GBONJ296aihdYRMKpKxFf-O3_I3GD8x83o4o5a0QmWYAWhBKwif4vEqa2xitB50wcxMnsVSC3GMagka_SzpEHFWjYQiXluIJ1-fj9da3-_pgmRl64xECqQx6No7b8hPnOHKbMitqI5lT3Zq9dFG15FXbNbJlCck4Jdl_ucdFVVJ-AVZ6ORQ,https://serpapi.com/search.json?data_id=0x9e05003771ecdb%3A0xdc4f237493c43f60&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e05003771ecdb%3A0xdc4f237493c43f60&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2-xxNwAFngARYD_Ek3QjT9w,"Itamonte, MG",lojas_presentes,2025-07-28T21:23:46.462112,COMPLETA
