position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Maricotta Presentes,ChIJ6XdfnJF5ngARn3N0yGwm2Co,0x9e79919c5f77e9:0x2ad8266cc874739f,3087259793223873439,/g/11c550qz3m,4.5,12,Loja,Loja,store,"Avenida das Magueiras, 1876, lojas 35 e 36, Av. Penedo - Centro, Itatiaia - RJ, 27580-000, Brasil",-22.4381781,-44.526011399999994,+55 24 3351-2058,,Fechado ⋅ Abre ter. às 10:00,Fechado ⋅ Abre ter. às 10:00,segunda-feira: 10:00–18:00; terça-feira: 10:00–18:00; quarta-feira: 10:00–18:00; quinta-feira: 10:00–18:00; sexta-feira: 10:00–20:00; sábado: 10:00–22:00; domingo: 10:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Muita variedade de produtos, especialmente lembrancinhas.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrw-4grCebw8iVImqnmf4f0mIH6b_hVmFE65e9Sqq1NowqosU41eX-HmFrjF5lyKGUOkVPvrySKyoZfNnTLRTTfQbvG0yG6z70WfVV600u_42I7kmpqjNhOR5HWqodLsaOE5yQ=w122-h92-k-no,https://serpapi.com/images/url/s0nKp3icBcHbboIwGADgJ6oUVlCW7MIYOUQDHrCa3ZiBLVVof9qipHu-vcTexu_7_xPjONhPz-vFx6wFaHv2tMw0oEamxlkD0msHixqLrLdcxYIoMyHSmhWrp8Wd5lIryQnHMs-i-iqoTNZRyOKj1n4BkwZ7Ij67oEwm5pGEvdukp7Kju5dxx42Db16oanuoKr6vXyl2afQ7x2dOaYTx80qCfN7JQT8KUR7C7KzhtrU_5Tp0-6_JDwIk4gB1SMEbxBJEpw,https://serpapi.com/search.json?data_id=0x9e79919c5f77e9%3A0x2ad8266cc874739f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e79919c5f77e9%3A0x2ad8266cc874739f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6XdfnJF5ngARn3N0yGwm2Co,"Itatiaia, MG",lojas_presentes,2025-07-28T21:38:13.673672,COMPLETA
2,Castelo dos Presentes,ChIJdTi0iWl3ngARmCLs2QNerHg,0x9e776989b43875:0x78ac5e03d9ec2298,8695428351179629208,/g/1tdz15dp,4.8,27,Papelaria,"Papelaria, Loja de utensílios de cozinha, Loja de artigos para cama, mesa e banho, Loja de presentes, Loja de Brinquedos",stationery_store,"Edifício Mendonça e Soares, R. Pref. Assunção, 139 - Centro, Itatiaia - RJ, 27580-000, Brasil",-22.4965285,-44.562444,+55 24 98839-5126,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,"""Atendentes muito atenciosas, muita variedade de produtos!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npNiv1yY_Ue3iFLCVEkSdEXj2avTlfPtipeghCQVoFSJGFRM91qa7YA3g_Nu7P11SdqQYUOjEJUWQCsI8fFAemUqtXfQNuUXOwJQpGWqUPobnpJZLNb8dioH5EwA-vFEW6lr-utwA=w122-h92-k-no,https://serpapi.com/images/url/VPtts3icBcFRkoIgAADQE5GD1pbN9ME40K5TJhmp-9OUIlgGGKizJ9wzdJvee_9L54xde14ng5nQWnR8sPxVaeW4crNKPz1hLKgssB6KQjlXJmlH-FdeGA9asovO-JHVuLj71_HUNalrDRcyomdNsnhLjvsQ9tdliQJxSYZlCmFW97RkhzuOWU4j-7NqCOJP1ruiocnAisMUU7PNe5bqmzLx7y65repWfy_whMBIcP7VvcDgJrSZoO8DGfrgAZT-AHdBRY4,https://serpapi.com/search.json?data_id=0x9e776989b43875%3A0x78ac5e03d9ec2298&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e776989b43875%3A0x78ac5e03d9ec2298&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJdTi0iWl3ngARmCLs2QNerHg,"Itatiaia, MG",lojas_presentes,2025-07-28T21:38:13.673672,COMPLETA
3,Status Presentes,ChIJmTEuwDLzXpMRUTAFeyGGOzs,0x935ef332c02e3199:0x3b3b86217b053051,4268152550219657297,/g/11f1wfzrbf,4.6,8,Loja de Presentes,Loja de Presentes,gift_shop,"Vila Itatiaia, Goiânia - GO, 74692-210, Brasil",-16.5982904,-49.2551284,,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Tem de tudo, ótimo lugar""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4np6H3omzX4X-4I7-AXW5Lh2z5FUpp1qAKDdI4psRV2xux9UqJ7CYM5K6B2cbfswKsQ1kSkCwPzHaNTIgnvtkCLxDVjRLk1KVQEopNaFhmiq136h_lPoSVcXJZA52UoHwaV9yVcB=w80-h142-k-no,https://serpapi.com/images/url/RooqunicBcHRVoIwGADgJ5q0MVA8pwvEPCDoQY2F3nRoEavB_uFGEO_XQ_Q2fd_fr7BWm7XjtMJdNABNWw-mvnNQtlZ2waFzGm0QN8g4YRQIqrQfu9DNJS0RTZYoLF-8TJDZ2xVa4z5Mt-8J1ebMyDRMQdHvl9H14KX-hvC3DzOm5oTlRUZjPsfV8Tlp1LeVUTZt2dc5kzhlpyfQx2onus8eu754bXO4MF7ub6FHCojHigU_jG8ex9UDEpgSJJGCf1WGQ8c,https://serpapi.com/search.json?data_id=0x935ef332c02e3199%3A0x3b3b86217b053051&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x935ef332c02e3199%3A0x3b3b86217b053051&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJmTEuwDLzXpMRUTAFeyGGOzs,"Itatiaia, MG",lojas_presentes,2025-07-28T21:38:13.673672,COMPLETA
4,Casa Mix,ChIJr_5NpuZ3ngARJ92JJaG8N1Y,0x9e77e6a64dfeaf:0x5637bca12589dd27,6212641611286437159,/g/11vjgx6tph,4.9,11,Loja de presentes,"Loja de presentes, Loja de eletrônicos, Loja de artigos domésticos, Loja de utensílios de cozinha, Loja de variedades, Papelaria, Loja de Brinquedos",novelty_store,"Av. Um Sul, 452 - Cidade Jardim Itatiaia, Itatiaia - RJ, 27580-000, Brasil",-22.4895569,-44.5607598,+55 24 98116-7831,https://instagram.com/brasilutilidadesitatiaia?igshid=YTQwZjQ0NmI0OA==&utm_source=qr,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""Tem tudo que a gente precisa aqui no bairro, gostei muito!""",https://lh3.googleusercontent.com/p/AF1QipOW51xlbO7gCX0Dm0l0JsrV-4Vcq_dfb_OZkKup=w80-h103-k-no,https://serpapi.com/images/url/agxlB3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH25qWJGT5G-e7hxh4JJrkGPgVVwUpmsSllwYn5KWFO8fle1dWmBbbmGgm2FoYKybrZuXDwCeJSE4,https://serpapi.com/search.json?data_id=0x9e77e6a64dfeaf%3A0x5637bca12589dd27&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e77e6a64dfeaf%3A0x5637bca12589dd27&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJr_5NpuZ3ngARJ92JJaG8N1Y,"Itatiaia, MG",lojas_presentes,2025-07-28T21:38:13.673672,COMPLETA
5,Mônaco Artigos Para Presentes,ChIJqaZhufF3ngARUyVOXvi37Pc,0x9e77f1b961a6a9:0xf7ecb7f85e4e2553,17864856099233867091,/g/11gzn22y7z,5,6,Joalheria,Joalheria,jewelry_store,"Av. Lauro Mendes Bernardes, 318 - Cidade Jardim Itatiaia, Itatiaia - RJ, 27580-000, Brasil",-22.4863963,-44.562257599999995,+55 24 99864-2764,https://www.instagram.com/monacoartigosparapresente/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noJt6w_3V0SL46frWz1Zb87sIhjUNDymoDpQomNg5ZkMj9dbcpCgGn-oAJBYDIgWYv2Am2cG13uFVgC-Wo3pHAutd4-TpyKYQZRZmA_221QjGEhTfhgKwmvGkQPlfzbOa87QLqO=w92-h92-k-no,https://serpapi.com/images/url/dWUzdXicDcPbboIwGADgJ6pIwQMmu-jA4dl1UwncmFGhDdD-1RaJPJ8v4du4L_leT2GtNjPHaYQ34AC8KVpT3BgoWyg7YCAdrg1iBhmHhIHwFazsuDt7p-Hvxh-Xt6R3s3w6MUtRHXfRQ0KkKcgdH2X1tgouOdMhjxUCsvpMoyVP0jsmErPY9dqvEw9RAp5ekNZefHTQj3VKs59MkjPGLq3iuTiUgq87eY9r-t2Ufb7_m07o5rr_6AKMxP8aKXgDZvxEDw,https://serpapi.com/search.json?data_id=0x9e77f1b961a6a9%3A0xf7ecb7f85e4e2553&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e77f1b961a6a9%3A0xf7ecb7f85e4e2553&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJqaZhufF3ngARUyVOXvi37Pc,"Itatiaia, MG",lojas_presentes,2025-07-28T21:38:13.673672,COMPLETA
6,Da Bijú / Penedo RJ,ChIJx-Y7BjZ5ngARjWHYYh6jQRY,0x9e7936063be6c7:0x1641a31e62d8618d,1603742293223301517,/g/11k2j5zdqx,5,6,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"Rua Vignolia 284 - Jd Martinelli, Penedo, Itatiaia - RJ, 27580-000, Brasil",-22.4567876,-44.5158625,+55 24 99283-5106,,Fechado ⋅ Abre qua. às 09:00,Fechado ⋅ Abre qua. às 09:00,segunda-feira: Fechado; terça-feira: Fechado; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–17:00; domingo: Fechado,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Banheiro com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""Super atenciosa.""",https://lh3.googleusercontent.com/p/AF1QipOrUFwTbsEukLJynnN1T7rUOxDlpnA8BjifpGM=w80-h173-k-no,https://serpapi.com/images/url/nwkk-3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngXxTqVh6SVOxamu3jVZmX52cYYl4U6l_hklOQ52jhlJWZVuDua1tuYaCbYWhurJutm5cPAKJkIaM,https://serpapi.com/search.json?data_id=0x9e7936063be6c7%3A0x1641a31e62d8618d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e7936063be6c7%3A0x1641a31e62d8618d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJx-Y7BjZ5ngARjWHYYh6jQRY,"Itatiaia, MG",lojas_presentes,2025-07-28T21:38:13.673672,COMPLETA
7,Delicatta Cestas,ChIJM9f59iJ_TCYR0gABEQ72zBQ,0x264c7f22f6f9d733:0x14ccf60e110100d2,1498843316282786002,/g/11k3_zpdvb,5,1,Loja de cestas de presente,"Loja de cestas de presente, Service establishment",gift_basket_store,,-22.4913946,-44.5720762,,https://instagram.com/delicattacestas_?igshid=YmMyMTA2M2Y=,,,,,,,,,,"""Cestas lindas e muito bem feitas!!""",https://lh3.googleusercontent.com/p/AF1QipOhqWZFQi5sFdQ8YLl7hcGPLQj62qjeJBIV0zYq=w80-h99-k-no,https://serpapi.com/images/url/k4OZPHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn1EYHuUWmGla7JYSaBHpk2Oekewe4BOYZWZUmJXq5eQZZlAVWWhbbmGgm2FpqZutm5cPAIaNIPw,https://serpapi.com/search.json?data_id=0x264c7f22f6f9d733%3A0x14ccf60e110100d2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x264c7f22f6f9d733%3A0x14ccf60e110100d2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJM9f59iJ_TCYR0gABEQ72zBQ,"Itatiaia, MG",lojas_presentes,2025-07-28T21:38:13.673672,COMPLETA
8,Chalé Villa Itatiaia,ChIJNd9EgR7xowARUN9JHxaZs9w,0xa3f11e8144df35:0xdcb399161f49df50,15903223029468618576,/g/11fjtb9p81,4,4,Chalé,Chalé,cottage,"R. Prudêncio São Guimarães, 220 - Itatiaia, Ouro Branco - MG, 36420-000, Brasil",-20.4928888,-43.5964266,+55 31 99860-1507,,,,,,,,,,,"""Lugar super agradável, tudo arrumadinho, de bom gosto, vilarejo lindo.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqGKX8QLfjUQqXtYe_jLEKofN9mMXzN0oh8v-Q8O7FAzllsGqn9exXU9i-gQNTf4Zk7brgEZ6K6pIWZM9RpjQR3Dtjju7pTYDDWfyauGgaRUduJFhmhKFtE2eKfueSKY8Xn9gU5=w80-h106-k-no,https://serpapi.com/images/url/l0nucHicBcFZcoIwAADQE0Vwg6Qz_XDKMjVKJ1TGwE9HaRYjJMEkXbyfh-ht-t7fQ3pv3VMUDXI5E8aIgQXHbr3Rnmk_680YCetA74CLNi9IrvRUYgrJjquGTNS37EPtcmx4hcY9vVexkfALEPiWFpv7MLhy0oj90AZdgCDVga-6a3q-ibxLcGJfj90e1VaRepl5pUJqD22WHfnvKZTiVDefYVvIUeLC5wuGeWDvuIVUI9Gsn79hDOQ8TsAVaPMP8K1E8w,https://serpapi.com/search.json?data_id=0xa3f11e8144df35%3A0xdcb399161f49df50&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3f11e8144df35%3A0xdcb399161f49df50&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJNd9EgR7xowARUN9JHxaZs9w,"Itatiaia, MG",lojas_presentes,2025-07-28T21:38:13.673672,COMPLETA
9,Cesta de Minas,ChIJcdMvFgnYnQARcJKgc2Cs1l8,0x9dd809162fd371:0x5fd6ac6073a09270,6905896608875975280,/g/11cm0phzbk,4.4,660,Padaria,"Padaria, Loja de queijos, Sorveteria, Mercado, Sorveteria especializada em sundaes",bakery,"R. Pref. Assumpção, 585 - Centro, Itatiaia - RJ, 27580-000, Brasil",-22.492624199999998,-44.562829,,https://m.facebook.com/cestademinas/?locale2=pt_BR,Fechado ⋅ Abre ter. às 06:00,Fechado ⋅ Abre ter. às 06:00,segunda-feira: 06:00–21:00; terça-feira: 06:00–21:00; quarta-feira: 06:00–21:00; quinta-feira: 06:00–21:00; sexta-feira: 06:00–21:00; sábado: 06:00–20:00; domingo: 06:00–21:00,$,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Para viagem,,"""Variedade de produtos naturais, deliciosos bolos e pão quentinho.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nowAULNscmsOho1_OCUIF7KkdNkPwFp5L8Yj_epCB2mqyq8jFRyOGHajI-UK3cT0sdzfw1N81SuHSVfddeMlMtAZuEMiqLKmGtYrX83vD6apSbcliPDIw8ETWEM60zfOP-5vvDb=w122-h92-k-no,https://serpapi.com/images/url/x5TZTnicBcFXDoIwAADQE1UEHNXED2QoYUbE9WO0FCqrxRYauZ-H8Da-9_sSIRhfK0pN9ElBaVHjnuM3oq3ArZgg2igF4wBxwBXDXJFZS6WR-iFHDY8IVe-RmbrO0quysIqlw-Y-vJZ3zMyt1nSfDpbO4RPt9o_SBamno-OUZ2Mu1RCqSb9PTnmW4aAOhHHr7eDV-V6zE9f3BeqDtXiw5InqV2y5EtrHsx0spmMexWA-DNZzI1VNA2SlgQq09A_4ikS0,https://serpapi.com/search.json?data_id=0x9dd809162fd371%3A0x5fd6ac6073a09270&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9dd809162fd371%3A0x5fd6ac6073a09270&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJcdMvFgnYnQARcJKgc2Cs1l8,"Itatiaia, MG",lojas_presentes,2025-07-28T21:38:13.673672,COMPLETA
10,Real Fotos,ChIJCcD7-w7YnQARdUIOrRf8iok,0x9dd80efbfbc009:0x898afc17ad0e4275,9911011108600038005,/g/1ptzrlp0x,4.4,29,Papelaria,Papelaria,stationery_store,"R. Pref. Assunção - Centro, Itatiaia - RJ, 27580-000, Brasil",-22.4961237,-44.562323199999994,+55 24 3352-3829,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Tem de tudo, excelente atendimento.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4no6GKb08uTd12kewlFovumu_Fr5yt4lkR636vF7yfLOaOkXTgYvvv7VM8BmlSAaZbOc9N8koc9LI5f7-ZJsZajzn3MbqFgw3ZiEmm5abIl9xFi11mRrqJtW4UMyQZ9qu7oQ8t18=w122-h92-k-no,https://serpapi.com/images/url/gx76CnicBcFZUsIwAADQE4WarokzfoBDHJDaAUExP0wbS4rZaLPUcj8PwW187_7XOXe1j1Eku2TGjeGy9bYdmNGu1W7GjIr41QJmgY3mz7hLtclfXpsH5PffMBbtKIkJXvkTGbLJpVLs8iQPpJjOm6quxHHPv0IIxUeJFkq-z2vaVAy_IWEY3qyycwHo2tL656aTsukJHxN6WSqV1c1K4l9ygVDthn7tPtNDOW0p7n1htshB9DTCOAYdjoEA2vwD_j1E5Q,https://serpapi.com/search.json?data_id=0x9dd80efbfbc009%3A0x898afc17ad0e4275&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9dd80efbfbc009%3A0x898afc17ad0e4275&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJCcD7-w7YnQARdUIOrRf8iok,"Itatiaia, MG",lojas_presentes,2025-07-28T21:38:13.673672,COMPLETA
