position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,LM - Invista em você,ChIJg4FZeqmLnwARWldzcZbrTf8,0x9f8ba97a598183:0xff4deb967173575a,18396619084259350362,/g/11hzsngrmw,5,1,Loja de Roupa,"Loja de Roupa, Loja de artigos para cama, mesa e banho, Loja de calçado, Loja de Brinquedos",clothing_store,"Praça Santo Antônio de Pádua, 250 - Centro, Itutinga - MG, 36390-000, Brasil",-21.297152099999998,-44.659346299999996,+55 35 99210-6166,,Fechado ⋅ Abre ter. às 08:15,Fechado ⋅ Abre ter. às 08:15,segunda-feira: 08:15–18:00; terça-feira: 08:15–18:00; quarta-feira: 08:15–18:00; quinta-feira: 08:15–18:00; sexta-feira: 08:15–18:00; sábado: 08:00–11:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipNs29oLHS5eJyOHghz07v2KjUP93eGo_XTCrCBN=w92-h92-k-no,https://serpapi.com/images/url/cLUzG3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngV2xkme_jEWya6lXp75GeUWVgXmbknRUaYGmc6p4fHxHiXOTs5GdbbmmkmwHE2bp5-QB4myCO,https://serpapi.com/search.json?data_id=0x9f8ba97a598183%3A0xff4deb967173575a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f8ba97a598183%3A0xff4deb967173575a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJg4FZeqmLnwARWldzcZbrTf8,"Itutinga, MG",lojas_presentes,2025-07-28T21:43:54.752442,COMPLETA
2,Arte Presentes,ChIJEQRHP4j9nwARx24-8OCg_wk,0x9ffd883f470411:0x9ffa0e0f03e6ec7,720471353366310599,/g/1tfl1fv3,4.9,75,Loja de presentes,"Loja de presentes, Loja de produtos de papelaria, Casa lar, Loja de artigos domésticos, Decorador de interiores, Loja de utensílios de cozinha, Papelaria, Loja de Brinquedos, Loja de variedades",novelty_store,"R. Dr. Francisco Sales, 284 - Centro, Lavras - MG, 37200-068, Brasil",-21.245998,-45.0007844,+55 35 98824-5786,https://www.artepresentes.com.br/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipP2x0I7PnLZEkjjRyQssjDrwp_golsXsPXHlKP1=w204-h92-k-no,https://serpapi.com/images/url/2w7vGnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYFRh4GkekOcT5ZqdlRVUGVhcnOVSVF4Qn56fUxxRHBDhkeMdYGhbbmRgopthaaSbrZuXDwDAoyIa,https://serpapi.com/search.json?data_id=0x9ffd883f470411%3A0x9ffa0e0f03e6ec7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9ffd883f470411%3A0x9ffa0e0f03e6ec7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEQRHP4j9nwARx24-8OCg_wk,"Itutinga, MG",lojas_presentes,2025-07-28T21:43:54.752442,COMPLETA
3,Arte Nossa Presentes,ChIJsRJvP4j9nwARrCSy4TVF0A0,0x9ffd883f6f12b1:0xdd04535e1b224ac,995371615371011244,/g/1vpq83f_,4.9,23,Loja de Presentes,Loja de Presentes,gift_shop,"R. Santana, 221 - Centro, Lavras - MG, 37200-194, Brasil",-21.23963,-44.9988202,+55 35 3821-3890,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:30; terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–12:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipNn2XL0ChNF2Ibi2cbqGihiGzAnbz6mL7rglpI=w80-h177-k-no,https://serpapi.com/images/url/dGys33icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl2cU4WPgnOHnZuSZlGmUnFTonpmR6V7lmJdUZZbrY16UnlPgaVtuYaCbYWhurputm5cPAILYIR0,https://serpapi.com/search.json?data_id=0x9ffd883f6f12b1%3A0xdd04535e1b224ac&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9ffd883f6f12b1%3A0xdd04535e1b224ac&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJsRJvP4j9nwARrCSy4TVF0A0,"Itutinga, MG",lojas_presentes,2025-07-28T21:43:54.752442,COMPLETA
4,Diversões candinho,ChIJne33pnuLnwARF_PbZkqdM3A,0x9f8b7ba6f7ed9d:0x70339d4a66dbf317,8084978698939003671,/g/11k45gvfm8,,0,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. Francisco Faraco, 95, Itutinga - MG, 36390-000, Brasil",-21.2959815,-44.6620944,+55 35 99122-8967,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–14:00; domingo: 07:00–13:00,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/p/AF1QipOd5LuDSF515zmMcsD0itmK84ulIfayP6k1tOF5=w122-h92-k-no,https://serpapi.com/images/url/P5cNPnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn2LqU-oS7GZqaFqV65tc7GKQWZLrbWFSmuOZllgZYJZtWOLvZmpbbmhkpJthaaSbrZuXDwCbdCDh,https://serpapi.com/search.json?data_id=0x9f8b7ba6f7ed9d%3A0x70339d4a66dbf317&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f8b7ba6f7ed9d%3A0x70339d4a66dbf317&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJne33pnuLnwARF_PbZkqdM3A,"Itutinga, MG",lojas_presentes,2025-07-28T21:43:54.752442,COMPLETA
5,Florarte Artesanatos,ChIJ9bBe3Q2VnwARgMrJzaySuvQ,0x9f950ddd5eb0f5:0xf4ba92accdc9ca80,17634568561807182464,/g/11gy2j5cps,4.8,13,Loja de presentes,"Loja de presentes, Artesanato, Loja de souvenires",novelty_store,"R. Ezequiel Ribeiro Teixeira, 97, Carrancas - MG, 37245-000, Brasil",-21.4873743,-44.643565699999996,+55 32 98834-6594,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,"segunda-feira: 09:00–12:00, 13:00–17:00; terça-feira: 09:00–12:00, 13:00–17:00; quarta-feira: 09:00–12:00, 13:00–17:00; quinta-feira: 09:00–12:00, 13:00–19:00; sexta-feira: 09:00–12:00, 13:00–19:00; sábado: 09:00–12:00, 13:00–19:00; domingo: 09:00–12:00",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Muitas opções em presentes""",https://lh3.googleusercontent.com/p/AF1QipP6iC2-vo5ypHTiLfocB3DgV9epwx52t3PYM_ZN=w122-h92-k-no,https://serpapi.com/images/url/1iyV23icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYJbpbKRblm9aWeARkumTlp_sZOySHmaZWlBeYWpUYhwQ6Rsf5WdbbmhkpJthaaSbrZuXDwChniES,https://serpapi.com/search.json?data_id=0x9f950ddd5eb0f5%3A0xf4ba92accdc9ca80&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f950ddd5eb0f5%3A0xf4ba92accdc9ca80&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ9bBe3Q2VnwARgMrJzaySuvQ,"Itutinga, MG",lojas_presentes,2025-07-28T21:43:54.752442,COMPLETA
6,Kaymer Digital,ChIJI_-SIJmLnwARmQpIEk-bSPY,0x9f8b992092ff23:0xf6489b4f12480a99,17746605095564872345,/g/11nnp_s2vd,5,6,Designer Gráfico,"Designer Gráfico, Agência de publicidade, Gráfica, Agência de marketing digital, Papelaria",graphic_designer,"R. Treze de Junho, 40B - Centro, Itutinga - MG, 36390-000, Brasil",-21.299241499999997,-44.6571783,+55 35 99757-9008,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–13:00; terça-feira: 08:00–13:00; quarta-feira: 08:00–13:00; quinta-feira: 08:00–13:00; sexta-feira: 08:00–13:00; sábado: Fechado; domingo: Fechado,,,,,"Agendamento on-line, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipNRKVUBhquhHQXawcM1W7kkoSPhL3qfn4IqzdLp=w80-h106-k-no,https://serpapi.com/images/url/NeqiHXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF-QdFuqUUVia4REYkVie7GsYbp6dnR8ckOFjXJiWZ-JZWJXiU2BbbmGgm2FoYKabrZuXDwC51iHY,https://serpapi.com/search.json?data_id=0x9f8b992092ff23%3A0xf6489b4f12480a99&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f8b992092ff23%3A0xf6489b4f12480a99&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJI_-SIJmLnwARmQpIEk-bSPY,"Itutinga, MG",lojas_presentes,2025-07-28T21:43:54.752442,COMPLETA
7,Joaninha Arteira Artesanatos,ChIJRUIzrnSUnwAR1jZCpoPY4W4,0x9f9474ae334245:0x6ee1d883a64236d6,7989905273873643222,/g/11g01tsdkb,5,20,Loja de presentes,"Loja de presentes, Loja de utensílios de cozinha, Artesanato, Fornecedor de material para escritório, Perfumaria, Papelaria, Escultura em pedra, Armarinho",novelty_store,"R. Oito de Dezembro, 135 - Centro, Carrancas - MG, 37245-000, Brasil",-21.4894307,-44.644621799999996,+55 35 98800-5925,http://fb.me/artesanatosjoaninhaarteira,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,"segunda-feira: 08:00–13:00, 14:00–19:00; terça-feira: 08:00–13:00, 14:00–18:00; quarta-feira: 08:00–13:00, 14:00–19:00; quinta-feira: 08:00–13:00, 14:00–19:00; sexta-feira: 08:00–13:00, 14:00–19:00; sábado: 08:00–13:00, 14:00–19:00; domingo: 09:00–13:00, 14:00–17:00",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Loja com excelentes opções de lembrancinhas.""",https://lh3.googleusercontent.com/p/AF1QipMNXQ1a4fdA8jPE8gpl9-J6GBmCSbRdj-5DHlo=w163-h92-k-no,https://serpapi.com/images/url/GWqD0nicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng6xcRaJhokpbiaJEV4GqRXpBjqetl5u6U6xycFJSSpWvq4pGTb1tuaGasm2FppJutm5cPAGYYH_8,https://serpapi.com/search.json?data_id=0x9f9474ae334245%3A0x6ee1d883a64236d6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f9474ae334245%3A0x6ee1d883a64236d6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRUIzrnSUnwAR1jZCpoPY4W4,"Itutinga, MG",lojas_presentes,2025-07-28T21:43:54.752442,COMPLETA
8,"Feito com Afeto,Tábuas de frios, cestas de café e presentes Lavras",ChIJvUDvfHN-ySIROuLCVI9HtRk,0x22c97e737cef40bd:0x19b5478f54c2e23a,1852465502660780602,/g/11x5knrl4b,5,20,Loja de presentes,"Loja de presentes, Service establishment",novelty_store,,-21.205089299999997,-45.0559015,+55 35 99845-8622,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,"""Equipe atenciosa e com excelentes produtos!""",https://lh3.googleusercontent.com/p/AF1QipONn35uIWrnmjnYLcP9GlEq6w8ng3LdPIEWkvUx=w122-h92-k-no,https://serpapi.com/images/url/aHOzo3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng75dnbFrqGV6Ul5uVF-mTHGDpnuNaaFZukZdu7JMS4Okanl0WWmFbbmhkpJthaaSbrZuXDwCzhyGe,https://serpapi.com/search.json?data_id=0x22c97e737cef40bd%3A0x19b5478f54c2e23a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x22c97e737cef40bd%3A0x19b5478f54c2e23a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJvUDvfHN-ySIROuLCVI9HtRk,"Itutinga, MG",lojas_presentes,2025-07-28T21:43:54.752442,COMPLETA
9,Z&K Utilidades,ChIJd_Meh4f9nwARfg7PTtmzDnI,0x9ffd87871ef377:0x720eb3d94ecf0e7e,8218704115909201534,/g/1tcwmsr5,4.7,555,Loja de artigos domésticos,"Loja de artigos domésticos, Loja de Presentes",home_goods_store,"R. Dr. Francisco Sales, 649 - Santa Teresinha, Lavras - MG, 37200-000, Brasil",-21.2486611,-45.0026674,+55 35 3821-5833,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:45; terça-feira: 08:00–18:45; quarta-feira: 08:00–18:45; quinta-feira: 08:00–18:45; sexta-feira: 08:00–18:45; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqyTXKS5Nyvng0pH9RqB0yQeiu4WE8Sz0U5ysdsbYbDCw52GxMJPffa5pF0ZUf3N3r9bLK0Wp2PkIc3UiJBvAXS3mSPqgRyfDt-Lzh-fqOJLhdI5PZtLzmA1zt1253mIJyAoJPEoA=w80-h142-k-no,https://serpapi.com/images/url/YdQCwHicBcFdkoIgAADgE5EoMpM70wOZuytZUa6T29tqAk0JGPSDF-wM3Wa_7_2Szhn7EQQXiSZCa3Hpbra7tlq5TrlJq_tAGAtaC2xA0kTGavA_9bLEa39XAprvZDfMod92p1u8z6blCCvs7dE2v80ifeDo67mijPM_bD7hoeJoja5JUyzh3kTsnLeoOtH5ndQl6ks2iJ3nCweKUQI-bGghjzlmB1eMPQlHF0YY9Tn1RFOWaTJ7TCGQYRyBM1D6Hz6nRIM,https://serpapi.com/search.json?data_id=0x9ffd87871ef377%3A0x720eb3d94ecf0e7e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9ffd87871ef377%3A0x720eb3d94ecf0e7e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJd_Meh4f9nwARfg7PTtmzDnI,"Itutinga, MG",lojas_presentes,2025-07-28T21:43:54.752442,COMPLETA
10,Loja RC Presentes,ChIJe72gHgatypQRKW84MxxFzkY,0x94caad061ea0bd7b:0x46ce451c33386f29,5102091415278087977,/g/11fkqbvyff,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Juventino Dias Teixeira, 1520 - José Moura Amaral, Lavras - MG, 37200-000, Brasil",-21.2408188,-45.0082516,+55 35 3652-9865,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq32u_TCyqInTejMBTjiS7cycq7LBrfqMrVjc51IVQnz6IJJj4RnjV4EsBLpiDpsdzk-59vSuXUcLT30o2Lc30U-VqzJIjdxor80Djja_Lbi9iFqr0ir6iiSw8F6GD2EYRxdKHn=w80-h109-k-no,https://serpapi.com/images/url/GcHrK3icBcFLEoIgAADQE6GkZtpMi_yVRovyM7VqCk3BAgHN8n4dotv03u_b9H2nlrr-aEyt5rx-VIOqJOasr1ivYf7U604BrIDS177bWEyYxnDJ_I-IWVbRvZdRki7wB4sF8uRd7GVB8XwWFwc22XGSUOvIaGGFykMdCTpVTi2Yu690OOUYZSbkBsImzEEhpiSm5ZtLBwaUXi_oRlwSCQmJtAlJRyeyN4ERno_vcrdlq9GBoJlBF7SA8T_6BUSy,https://serpapi.com/search.json?data_id=0x94caad061ea0bd7b%3A0x46ce451c33386f29&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94caad061ea0bd7b%3A0x46ce451c33386f29&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJe72gHgatypQRKW84MxxFzkY,"Itutinga, MG",lojas_presentes,2025-07-28T21:43:54.752442,COMPLETA
