position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,TUNICO VARIEDADES,ChIJazIk7K5DoQARTWroWHIfoO4,0xa143aeec24326b:0xeea01f7258e86a4d,17194777953278913101,/g/11qn0bsyhl,5,1,Loja de presentes,Loja de presentes,novelty_store,"Av. Brasilino Cardoso Machado, N° 180 - CENTRO, Jeceaba - MG, 35498-000, Brasil",-20.5345416,-43.9834776,,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–15:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=XvYvZ-nX2Uf80oOQvegTIg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=247.07527&pitch=0&thumbfov=100,https://serpapi.com/images/url/WaIuXHicHc1RCsIgGADg2_g2dVJsBdJzTxEUrF7CuT_9walM07pN1-o2RRf4vs_b5hzTlrGUF4BcEGrEJ7jUREVNCMaBipioDjMrLcv2MY9eodtF5QNOciiXcm38IM73nofDsYA57Q3R4007BJ9lArVoS039iUuYqImJVNlzYuVGkJeqUqw6yru16EjErK3k5L_cQ5Et51-AwTme,https://serpapi.com/search.json?data_id=0xa143aeec24326b%3A0xeea01f7258e86a4d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa143aeec24326b%3A0xeea01f7258e86a4d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJazIk7K5DoQARTWroWHIfoO4,"Jeceaba, MG",lojas_presentes,2025-07-28T21:50:38.548391,COMPLETA
2,Bazar São Mateus (BSM),ChIJqxi9wKpDoQARZBT9Bs3DEi4,0xa143aac0bd18ab:0x2e12c3cd06fd1464,3319931160678437988,/g/11hzfyj0dh,5,5,Bazar,"Bazar, Loja de roupas de cama, Loja de produtos de papelaria, Loja de bonecas, Loja de utensílios de cozinha, Papelaria, Loja de Brinquedos",bazar,"R. Juscelina Antônia Dias, 97 Loja - Centro, Jeceaba - MG, 35498-000, Brasil",-20.535587,-43.982988999999996,+55 31 98330-7382,https://www.facebook.com/bsmjece/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:00–16:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,,Compras na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq0x1iqBXqI8HgHxDT5b_znmnk6BbnpVSqIg6Jurv2c8A632VL_S5xqlPBlORpNeEJALkh7jnrR4TO3WUZOeZfJuznb4OcrNVntmcsTkF68QxOlkCgUZGW0U-4SgIHGHEAxBi8=w122-h92-k-no,https://serpapi.com/images/url/nA1-EXicBcHdboIwGADQJ6poQYZLdgHqBGLsJj8u3JjQ1Na1fKW0bI3Pt5fwbXbO8084N9rXIFAiXHCtuWKzZRPV4Bi4BdVDwEeLqEU2SLcbEYFZ-tXdZF-mSHKe-1297q8PGEDGWQ9jW5mCx-U8_WCapHGI2-O1WnujPjJFzuOJ7cv0KMXLN0znqCbhpekI627l_IA-InQ6teAGamv5Hiefnii55U13uCwbFFW8yA_5PvXZPXn7XWGMxAYjiUD_A6r1RCw,https://serpapi.com/search.json?data_id=0xa143aac0bd18ab%3A0x2e12c3cd06fd1464&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa143aac0bd18ab%3A0x2e12c3cd06fd1464&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJqxi9wKpDoQARZBT9Bs3DEi4,"Jeceaba, MG",lojas_presentes,2025-07-28T21:50:38.548391,COMPLETA
3,Império MA Jeceaba,ChIJJ-a2OPpDoQARvm3NISBtn8E,0xa143fa38b6e627:0xc19f6d2021cd6dbe,13951990155390578110,/g/11ksq2w_cq,5,2,Loja de Roupa,Loja de Roupa,clothing_store,"R. Antônio Isidóro Dias, 79 - Centro, Jeceaba - MG, 35498-000, Brasil",-20.5352598,-43.9828729,+55 31 99873-2664,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:30–17:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPHleCeQyeXB822Hilk5E0fmlUVEZ-x6WvTquA=w80-h140-k-no,https://serpapi.com/images/url/-q3ICnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4JGT6pwaWJka4WRhZOSRmZNt6mqQlpsTGuYapVthFl4WUljqaFtuYaCbYWhioJutm5cPAIDWIMc,https://serpapi.com/search.json?data_id=0xa143fa38b6e627%3A0xc19f6d2021cd6dbe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa143fa38b6e627%3A0xc19f6d2021cd6dbe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJ-a2OPpDoQARvm3NISBtn8E,"Jeceaba, MG",lojas_presentes,2025-07-28T21:50:38.548391,COMPLETA
4,LOJA GUTA,ChIJN-mdxxhDoQARvfX55fOZYR0,0xa14318c79de937:0x1d6199f3e5f9f5bd,2117142572655310269,/g/11v5ydy_tx,5,2,Loja de Roupa,Loja de Roupa,clothing_store,"R. Agostinho Ribeiro - CENTRO, Jeceaba - MG, 35498-000, Brasil",-20.5354658,-43.9841122,+55 31 99781-0535,https://instagram.com/lojaguta?igshid=OGQ5ZDc2ODk2ZA==,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Maravilhosaaa🫶🏼❤️""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nprhBiKLnHrJZYfRyVsd0g6tWI3FZAgwgD5vJsTNQIwulWELg4mEnlXNupAppyDF7JuAOr7wGgNoFUdpjLjUoJkYryyaotnH-IRRu0oraX9ZBEfQKvoE6WCG70YOrXRG6kDdoGRrg=w80-h101-k-no,https://serpapi.com/images/url/HuDIsXicBcFbboJAFADQFY0M0UJt0g-UtwTjRMrjzwDeqeDcyTwkrLBr6G485_-PGyP1l-PMfLsBRJhHq0fVozCjMJsenw5ITXpNtBMc93wnpOKH31MhUpV37Z2tP3qg4Jk628ZdAAuEH69cX8tLtti5jgrYPSMxN6WVgZRrGPu5Dc7KXxIoMa4G-SgeFeZTq9b1hkakJGPMUlS3Zt8dovvl9MLIq4-JT9uzaljiTeGACVPwvXxSwl3qkokIfAP3V0al,https://serpapi.com/search.json?data_id=0xa14318c79de937%3A0x1d6199f3e5f9f5bd&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa14318c79de937%3A0x1d6199f3e5f9f5bd&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJN-mdxxhDoQARvfX55fOZYR0,"Jeceaba, MG",lojas_presentes,2025-07-28T21:50:38.548391,COMPLETA
5,Lala Store,ChIJ9276NcFDoQARtKT357Vq2s4,0xa143c135fa6ef7:0xceda6ab5e7f7a4b4,14905343246249469108,/g/11rkcln19v,5,1,Loja de Roupa,Loja de Roupa,clothing_store,"R. Agostinho Ribeiro, 61 - Centro, Jeceaba - MG, 35498-000, Brasil",-20.535543099999998,-43.983777499999995,+55 31 99817-1437,https://lalastore-moda.lojaintegrada.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipO5aYQy1KvIh7nEBBwZi4I73OKaxUjApUpeeJUg=w80-h106-k-no,https://serpapi.com/images/url/xA56z3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb5oYGVhp6F3mmWGe5-rkVB6VaeJpbuzvnVgRmuVYEFqQmuoVmm5bbmGgm2FoYKabrZuXDwCgYSEo,https://serpapi.com/search.json?data_id=0xa143c135fa6ef7%3A0xceda6ab5e7f7a4b4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa143c135fa6ef7%3A0xceda6ab5e7f7a4b4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ9276NcFDoQARtKT357Vq2s4,"Jeceaba, MG",lojas_presentes,2025-07-28T21:50:38.548391,COMPLETA
6,Jeceaba mg,ChIJW894FgBDoQARK9qOM8zFnRE,0xa143001678cf5b:0x119dc5cc338eda2b,1269388150817348139,/g/11wv_rtn1t,5,4,Loja,Loja,store,"Jeceaba, MG, 35498-000, Brasil",-20.535767099999997,-43.9827811,+55 31 99633-4038,,Fechado ⋅ Abre ter. às 06:00,Fechado ⋅ Abre ter. às 06:00,segunda-feira: 06:00–18:00; terça-feira: 06:00–18:00; quarta-feira: 06:00–18:00; quinta-feira: 06:00–18:00; sexta-feira: 06:00–18:00; sábado: Fechado; domingo: Fechado,,,,,,,"""Foi MT lagal""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9G-26gvxMcH6QzFaxFHNAg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=187.1587&pitch=0&thumbfov=100,https://serpapi.com/images/url/vyAnY3icHc3bDcIgFADQbfgrjyb2YXJj_Kn90cQJDKUIJLSQgoAu41xuo3GBcz5vHaMPe0JC3KSMycjsTZE2VJ5j5ZyyknsTsHALSYxE_VimlRt78Hx1Zob-VNWNSuUsxub6GngZxstRITHdhDVyjRAk34TGKv_Ezc1Y-YAydBRp6Gv05BlY12K261rkTRQaKPond5eAUfoFFvg44g,https://serpapi.com/search.json?data_id=0xa143001678cf5b%3A0x119dc5cc338eda2b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa143001678cf5b%3A0x119dc5cc338eda2b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJW894FgBDoQARK9qOM8zFnRE,"Jeceaba, MG",lojas_presentes,2025-07-28T21:50:38.548391,COMPLETA
7,Brooklyn Store,ChIJTWetuO9DoQARJZXgHxrQm4s,0xa143efb8ad674d:0x8b9bd01a1fe09525,10059863003284673829,/g/11gy6df3vt,5,2,Loja de Roupa,"Loja de Roupa, Loja de moda masculina",clothing_store,"R. Juscelina Antônia Dias, 57 - Centro, Jeceaba - MG, 35498-000, Brasil",-20.5357202,-43.9833998,+55 31 99133-9406,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–19:00; terça-feira: 08:30–19:00; quarta-feira: 08:30–19:00; quinta-feira: 08:30–19:00; sexta-feira: 08:30–19:00; sábado: 08:30–12:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqc6lJm7kMREbRbZwff1UIhIPL_Q3VWKEf5doNyp7V2MwJLkPBBcjBdlkOvWuCqptiGWvCgL9HJWDXNOMKZaZzIz1gg_UuM9WXWhmOMxkpfPDnP15Eoi8c9G9GrJEg50CdIOcbJBw=w122-h92-k-no,https://serpapi.com/images/url/83UmT3icBcFRboIwAADQExUGjrGa-DGQMCoVNNEafswo0LpCW20R9YKewdv43uvJrdVm7ro9nzlMKda3o2kvVEnbSutQNbhMG0ANMO5PDPmnPNOvHg2hwNuk3tbV1HXeLuNZmR83sz1ZJV3QqPVdh3sfTygXZRTR_6jpRXElY3zW9pSSa8xy-IvI8rAu8Kr6qx7Zw2PsuBsxJAfChwLfhO7KpSy9IFGnbwpTmF5QwoKPuMkKWqNoWkye7wMOfSCAVG91bEUu,https://serpapi.com/search.json?data_id=0xa143efb8ad674d%3A0x8b9bd01a1fe09525&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa143efb8ad674d%3A0x8b9bd01a1fe09525&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJTWetuO9DoQARJZXgHxrQm4s,"Jeceaba, MG",lojas_presentes,2025-07-28T21:50:38.548391,COMPLETA
8,Casa dos Biscoitos da Diana,ChIJr6yHlcpDoQARHMTArpRNNHo,0xa143ca9587acaf:0x7a344d94aec0c41c,8805748472398529564,/g/11fvdbb3n2,4.9,12,Lanchonete,"Lanchonete, Loja de biscoitos",snack_bar,"R. Agostinho Ribeiro, 95 - Centro, Jeceaba - MG, 35498-000, Brasil",-20.535644899999998,-43.9841124,+55 31 99831-3542,https://instagram.com/casa.dosbiscoitos,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–19:00; terça-feira: 07:00–19:00; quarta-feira: 07:00–19:00; quinta-feira: 07:00–19:00; sexta-feira: 07:00–19:00; sábado: 07:00–19:00; domingo: Fechado,,,,"Alelo, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC, Vale refeição",Para viagem,,"""Ótimo atendimento""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq9lJjkzDDQO9HPSshRGFJLHkM62kV_tUrIviN3J13nz7o0JJpf7TMYwxrRS6OhpGsp4gN9HAn_tSRMzXmt3L-5zMLCr1ZgEoN5oCbdF-uUzMoE9musafXrn5ZU82p62k-28Zw=w92-h92-k-no,https://serpapi.com/images/url/YgiTxnicDc1BcoIwFADQE0UURE1nunAQxQxBC-IoG0YREwXyYxJKJ9frKXqbunjr9_fLjZH6w3Fa7o0YAGvrXteqAmFqYUYVdA6TGlUaaWcZYD4VL9ySZ2NXq68djvaZ5ulmTeKooTO3OZYmV9vvR-KRiSfsHMaEyPv8QM_Dj0qz2Y7LjZZTluBoKUqTpdSeOuPFyLc0DtSkYCEkPgTX2xr1uaUQ4q7Xl_tJCb_IF658H8hdFMPngF3E3xok4B8jmkN4,https://serpapi.com/search.json?data_id=0xa143ca9587acaf%3A0x7a344d94aec0c41c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa143ca9587acaf%3A0x7a344d94aec0c41c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJr6yHlcpDoQARHMTArpRNNHo,"Jeceaba, MG",lojas_presentes,2025-07-28T21:50:38.548391,COMPLETA
9,Espaço Luana Andrade,ChIJ8_swKvlDoQAR78zr2iVPuP0,0xa143f92a30fbf3:0xfdb84f25daebccef,18282449711315799279,/g/11wj4k95w5,5,2,Consultor de imagem,"Consultor de imagem, Loja de acessórios de moda, Centro de saúde e beleza",image_consultant,"R. Bárbara da Fonseca, 169 - Jeceaba, MG, 35498-000, Brasil",-20.535657999999998,-43.982225,+55 31 99827-2270,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–17:30; terça-feira: 08:30–17:30; quarta-feira: 08:30–17:30; quinta-feira: 08:30–17:30; sexta-feira: 08:30–17:30; sábado: 10:00–16:00; domingo: Fechado,,,,,Serviços no local,,"""Ótimo atendimento e peças de qualidade!""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PUHBN9p6q_IzoX8x9H6rXQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=40.764942&pitch=0&thumbfov=100,https://serpapi.com/images/url/b-cGw3icHc1RDoIgGADg2_AWoHMmbaytJ3tp9dDmm0MkYEP5AxLrNF2r29S6wPd93iYliDtCYgpKpcWqDHZVLm5AYO29dkqAjVj6iSwFSeYxDbOwbg9i9nbk52t7ODGo7_3x5btmZW0duguSQy-dVXPiUYkgDdb5JwY_Yg0RZd5QZDgr0VNkXlG8rStWlQhskoZT9F9ufuEFpV9gizlE,https://serpapi.com/search.json?data_id=0xa143f92a30fbf3%3A0xfdb84f25daebccef&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa143f92a30fbf3%3A0xfdb84f25daebccef&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ8_swKvlDoQAR78zr2iVPuP0,"Jeceaba, MG",lojas_presentes,2025-07-28T21:50:38.548391,COMPLETA
10,Casa Cristina,ChIJVVVVRcu9pgARqq2iSYSndYA,0xa6bdcb45555555:0x8075a78449a2adaa,9256488795742842282,/g/1tf5lx0m,4.1,9,Loja de móveis,Loja de móveis,furniture_store,"Av. Brasilino Cardoso Machado, 20 - Jeceaba, MG, 35498-000, Brasil",-20.5351687,-43.9839267,+55 31 99801-6838,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–12:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,"""Ótima equipe.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrTXOmfOPz0L9_3AMlK9ajnMWIgqQAiU0Tjy0tF_NC2Xpg7KhzX-b_wSi07AFs_E-63IMI398O5yJUTxWODpjaYQY_lQIALjmxFh625kNLl5U5OJ95kejOmJVvkwfNgsYkZmEHc=w199-h92-k-no,https://serpapi.com/images/url/jdrGMHicBcFdboIwAADgE1UYrGqX7KFxkoFARwYKvjRKsLW_aLuh3m-H2G38vv8_7v3o3oJA8XjGrGVq-HHDtbfGD8bPeqsDNjrQO-ACvEL81VzrlugT-XqEOaIxLtQGHYQpdim7VPjchLW4hz6h5SpqR7bY8EcLjnT6PocLnDi6BvM4LdIYLQm8Z01925GPURy6qqOqSnEu9C3h8wjKMlewgSRDUA6C6Gz7K6dTyVwn93r92b9PLwgBjiIggbFPY-tDoQ,https://serpapi.com/search.json?data_id=0xa6bdcb45555555%3A0x8075a78449a2adaa&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bdcb45555555%3A0x8075a78449a2adaa&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJVVVVRcu9pgARqq2iSYSndYA,"Jeceaba, MG",lojas_presentes,2025-07-28T21:50:38.548391,COMPLETA
