position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Cestas Jesuânia,ChIJt2cZRRU9y5QR4-kghF7gB88,0x94cb3d15451967b7:0xcf07e05e8420e9e3,14918138987236354531,/g/11pwy1f1qd,5,10,Loja de cestas de presente,"Loja de cestas de presente, Café temático",gift_basket_store,"R. José Nogueira de Noronha - Centro, Jesuânia - MG, 37485-000, Brasil",-21.9984635,-45.291427,+55 35 99924-3885,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–16:00; domingo: 08:00–10:00,,,,Cartão de débito,Entrega,,,https://lh3.googleusercontent.com/p/AF1QipP89gc5D89xTCJK5tHrj5G2fFprqABW4qQCIsfX=w80-h142-k-no,https://serpapi.com/images/url/Rd8tOHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYGGZnmzqYmFZEeLs5W1a4lGUZepulOZWUFTo6BRuUhjo7FmcFmFbbmGgm2FoYqSbrZuXDwCLPCCW,https://serpapi.com/search.json?data_id=0x94cb3d15451967b7%3A0xcf07e05e8420e9e3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb3d15451967b7%3A0xcf07e05e8420e9e3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJt2cZRRU9y5QR4-kghF7gB88,"Jesuânia, MG",lojas_presentes,2025-07-28T21:53:04.588694,COMPLETA
2,Ateliê da Lu personalizados,ChIJ65DbI1c9y5QR1txNRd20QLw,0x94cb3d5723db90eb:0xbc40b4dd454ddcd6,13565040940083436758,/g/11vlm_n6h1,,0,Loja de Presentes,Loja de Presentes,gift_shop,"R. Ernesto Rodrigues da Silva, 454, Jesuânia - MG, 37485-000, Brasil",-22.0016428,-45.2877124,+55 35 99952-3202,,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,,Cartão de débito,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pzcgi0Q5DvdRbiiywY3tAQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=248.51588&pitch=0&thumbfov=100,https://serpapi.com/images/url/KhXIJXicHc3BDcIgFADQbbgJtNoETYgxcYF682QoRfgJLT_lC9ZpXMttNC7w3ucdiDAfhMi0OEcFXEV4upg3aLhPyUdnEDK3aRKlERQe0zAbiEc0c4JR48t6kH13LuNlAFjrdUunntnhZiO4mXR2ZrGB-_oTlzRyj5lVrSQLet-y1VTd7hTvmk4phkA2aMn-yz0V3Uj5BaT8Ogo,https://serpapi.com/search.json?data_id=0x94cb3d5723db90eb%3A0xbc40b4dd454ddcd6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb3d5723db90eb%3A0xbc40b4dd454ddcd6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ65DbI1c9y5QR1txNRd20QLw,"Jesuânia, MG",lojas_presentes,2025-07-28T21:53:04.588694,COMPLETA
1,Lojas ZL,ChIJ44DN7bQ9y5QR87EwoKrjJTQ,0x94cb3db4edcd80e3:0x3425e3aaa030b1f3,3757659786082038259,/g/11h3ps3f2k,5,4,Loja de departamento,"Loja de departamento, Loja de eletrodomésticos, Loja de bicicleta, Loja de celulares, Loja infantil, Loja de Informática, Loja de móveis, Loja de artigos para cama, mesa e banho, Pet Shop, Loja de sofás",department_store,"1454, Rodovia MG 460, Centro, Jesuânia - MG, 37485-000, Brasil",-21.9978934,-45.2857857,+55 35 99715-8305,http://www.zleletromoveis.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 08:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eF8keT7z7i1oSXkxRQwB0Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=26.119406&pitch=0&thumbfov=100,https://serpapi.com/images/url/xYOqS3icHc1LDsIgFADA27CTT2P6MSEmLtxXXbgzlD7hpbSQgqV6Gq_lbTReYObztimFuGMsphkgLQg54AouboKixnvjQAWMVPuRLYIl-xi7SaHbBzV57CUc6wEu1atC4c_XYT21-cBborubdghTkhHUrC01-SfOvqcmRJJlzYmVTUGeKsuipEI0W16SgElbycl_uftFCs6_b8o5aA,https://serpapi.com/search.json?data_id=0x94cb3db4edcd80e3%3A0x3425e3aaa030b1f3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb3db4edcd80e3%3A0x3425e3aaa030b1f3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ44DN7bQ9y5QR87EwoKrjJTQ,"Jesuânia, MG",lojas_decoracao,2025-07-28T21:53:07.722327,COMPLETA
2,Ilumine Materiais elétricos e eletrônicos,ChIJF2w076E9y5QRmO92e7sH9HI,0x94cb3da1ef346c17:0x72f407bb7b76ef98,8283254116452855704,/g/11jb0dtpls,5,1,Loja de materiais elétricos,"Loja de materiais elétricos, Serviço de antenas, Serviço de instalação elétrica",electrical_supply_store,"R. Pres. Tancredo de Almeida Neves, 81 - Centro, Jesuânia - MG, 37485-000, Brasil",-21.998795899999998,-45.2876567,+55 35 99859-0047,,Fechado ⋅ Abre ter. às 07:30,Fechado ⋅ Abre ter. às 07:30,segunda-feira: 07:30–18:30; terça-feira: 07:30–18:30; quarta-feira: 07:30–18:30; quinta-feira: 07:30–18:30; sexta-feira: 07:30–18:30; sábado: 07:30–18:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrU-yGWt6XLsGvapfQI_WxttREZh0NCzMEsj3HsqCInfpcYGthulypUK71wMq_8VEUTDjDJzYZXOBrZ40cCARSumFqb1ESYt3houIY5k-J-wkS5_RNXk4Ejf2go8EP_vQEic7DZ=w92-h92-k-no,https://serpapi.com/images/url/9VDPpnicDcNJDoIwFADQE1VQcExcKFTEWRAZNkQboAK2hX5EPZ-X8Db6kvf9UAAhJ4pSUq2TcZ6VSSOTmnAGCYMO4XclExIRiaQyM8ZUZ7WHXpYPg2AjrcdFpEc79p8ADo6oujPeWyxzbSkrw2apIKEFtClfwlsPu-22ikdn7J3M3Fy9wyjYz-tIV4kxc9zmvqiuXeyGoFHe2GG_QCvUFm4_dnZBoeM87WV8hA_x44hvZGhG03bcQ_S_QIz_AO62RNI,https://serpapi.com/search.json?data_id=0x94cb3da1ef346c17%3A0x72f407bb7b76ef98&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb3da1ef346c17%3A0x72f407bb7b76ef98&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJF2w076E9y5QRmO92e7sH9HI,"Jesuânia, MG",lojas_decoracao,2025-07-28T21:53:07.722327,COMPLETA
3,Casa Paroquial de Jesuânia,ChIJS6VBxFI9y5QRN-Ulaao6rwA,0x94cb3d52c441a54b:0xaf3aaa6925e537,49322624507307319,/g/11b6hwcm8d,3,1,Templo,Templo,place_of_worship,"Praca Bom Jesus 105, Jesuânia - MG, 37485-000, Brasil",-21.9891434,-45.2915524,+55 35 3273-1228,,,,,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,,,,https://serpapi.com/search.json?data_id=0x94cb3d52c441a54b%3A0xaf3aaa6925e537&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb3d52c441a54b%3A0xaf3aaa6925e537&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJS6VBxFI9y5QRN-Ulaao6rwA,"Jesuânia, MG",lojas_decoracao,2025-07-28T21:53:07.722327,COMPLETA
4,Decorar Tapetes,ChIJNTdh7ebjypQR0jWo5SjchpM,0x94cae3e6ed613735:0x9386dc28e5a835d2,10630426038664443346,/g/11h2dfd4l2,4.8,51,Loja de tapetes,Loja de tapetes,carpet_store,"R. José Sales, 40 - São Cristóvão, Campanha - MG, 37400-000, Brasil",-21.828007799999998,-45.413286,+55 35 99205-8191,http://www.decorartapetes.com.br/,Fechado ⋅ Abre ter. às 07:30,Fechado ⋅ Abre ter. às 07:30,segunda-feira: 07:30–18:00; terça-feira: 07:30–18:00; quarta-feira: 07:30–18:00; quinta-feira: 07:30–18:00; sexta-feira: 07:30–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipO6u9BPfKvObKuRjbDD2IiidoTa4KjOsizlhf5g=w92-h92-k-no,https://serpapi.com/images/url/fK9GTHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb1Zq6RSQ5l3mn-RdGpSV5OJi5JmZmZIfkmjineVfnFmVk5Fmmm5bbmmkmwHE2bp5-QCPlSGI,https://serpapi.com/search.json?data_id=0x94cae3e6ed613735%3A0x9386dc28e5a835d2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cae3e6ed613735%3A0x9386dc28e5a835d2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJNTdh7ebjypQR0jWo5SjchpM,"Jesuânia, MG",lojas_decoracao,2025-07-28T21:53:07.722327,COMPLETA
5,Bethania Tapetes,ChIJZxLPwmSQpgARUjkp-evLEpY,0xa69064c2cf1267:0x9612cbebf9293952,10813929869627963730,/g/11h0r021s,4.6,100,Loja de tapetes,Loja de tapetes,carpet_store,"Rod. Vital Brasil, 1329 - São Cristóvão, Campanha - MG, 37400-000, Brasil",-21.8298195,-45.4107133,+55 35 99766-2063,http://bethaniatapetes.com.br/,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–17:00; terça-feira: 07:00–17:00; quarta-feira: 07:00–17:00; quinta-feira: 07:00–17:00; sexta-feira: 07:00–17:00; sábado: 07:00–17:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no2eUBP3o9pIyYQMQSut1rmTA3hJUheDVyOEmQNgwLwV8C16xMoqZOipoLswqrW1pOJsMyGzPsxBQIq3x0ljSTa46lxoMS4VH8-CHD_yKwaPmmnzzg17Zd5d_mxrbSMZJVLTOwm=w122-h92-k-no,https://serpapi.com/images/url/wdC3BnicBcFRboIwGADgE1VWYE5MfFBYpkgFArKMF-KwabfR_oXWtHC_HWK32ff9_XJjlN563sCDFQNgA31oOvUgDZVm1YPwmNKo10h7-zjioQSfXg9FAJE6zR8lKauHwZOo9wFPr5wmzZy_ivLCbGabTYzXjsDY5l8KMm3H6R2rPNVkflsK7Q7laQzc0_Bd1bdwPTggVdgcNyg-Jt18trdCCLksDL-09-d7J9z0WZE2bbI6t2Jnse8jHvnoB0n4BzBvRgY,https://serpapi.com/search.json?data_id=0xa69064c2cf1267%3A0x9612cbebf9293952&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69064c2cf1267%3A0x9612cbebf9293952&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJZxLPwmSQpgARUjkp-evLEpY,"Jesuânia, MG",lojas_decoracao,2025-07-28T21:53:07.722327,COMPLETA
6,"Fatimalhas - Tecidos, Decoração, Cama, Mesa e Banho",ChIJQ_hiBt7cypQRfWxEQI6iomI,0x94cadcde0662f843:0x62a2a28e40446c7d,7107421893791345789,/g/1tg5w52r,4.5,197,"Loja de artigos para cama, mesa e banho","Loja de artigos para cama, mesa e banho, Loja de persianas, Loja de Cortina, Loja de tecidos, Loja de cortinas e persianas",linens_store,"R. Casemiro Avelar Filho, 19 - Centro, Três Corações - MG, 37410-000, Brasil",-21.698321999999997,-45.2552276,+55 35 3231-3011,http://www.fatimalhas.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/p/AF1QipO4AYIgZe8WZ7FikM0_43V5h6Omypzf5_Ap58JR=w138-h92-k-no,https://serpapi.com/images/url/YTvBMXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb-IY6ZkelWoRHmXulpntaxBvYhxmmmHmn1tZUJVmGu9YYGrhFWRbbmhsoZthaaSbrZuXDwCNXSCD,https://serpapi.com/search.json?data_id=0x94cadcde0662f843%3A0x62a2a28e40446c7d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cadcde0662f843%3A0x62a2a28e40446c7d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQ_hiBt7cypQRfWxEQI6iomI,"Jesuânia, MG",lojas_decoracao,2025-07-28T21:53:07.722327,COMPLETA
7,Limoeiro Arte & Decorações,ChIJhwf3N2__ypQRlpIKndsf8wI,0x94caff6f37f70787:0x2f31fdb9d0a9296,212548635509559958,/g/1vb9f551,5,50,Fabricante,"Fabricante, Loja de artigos domésticos",manufacturer,"Tv. do Ouro, 121 - São Gonçalo do Sapucaí, MG, 37490-000, Brasil",-21.9013366,-45.607315199999995,+55 35 3241-4374,https://www.limoeiro-arte.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito",,,"""Comprei porta retratos que, além de lindos, tem um acabamento perfeito.""",https://lh3.googleusercontent.com/p/AF1QipMXXlkUkKoPsNSCuCxKDRbHFxLfvZfYgQaMKKfM=w156-h92-k-no,https://serpapi.com/images/url/R5vznnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngGxGRkx2a7Z0fUOwX7FzqXOHtEpTk4Vbhk1YWlRaZHpjo6-2d5mtbbmhqppthaaSbrZuXDwC_uSHc,https://serpapi.com/search.json?data_id=0x94caff6f37f70787%3A0x2f31fdb9d0a9296&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94caff6f37f70787%3A0x2f31fdb9d0a9296&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJhwf3N2__ypQRlpIKndsf8wI,"Jesuânia, MG",lojas_decoracao,2025-07-28T21:53:07.722327,COMPLETA
8,A Modelar,ChIJ4_o9HYouy5QRFXXXysmHjRE,0x94cb2e8a1d3dfae3:0x118d87c9cad77515,1264816371122271509,/g/1xn_phjm,4.9,22,Loja de presentes,"Loja de presentes, Decorador de interiores, Loja de utensílios de cozinha, Loja de Brinquedos",novelty_store,"Av. Pref. Dilermando de Oliveira, 497 - Centro, Conceição do Rio Verde - MG, 37430-000, Brasil",-21.8803449,-45.0912365,+55 35 99776-9493,https://amodelarpresentes.com/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNQZDjCQOA4ImElYalhFGT4SWcKEz1UaRB4gncA=w80-h106-k-no,https://serpapi.com/images/url/lyxGf3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngFxjlkuUc6O9o4pnrmhOZmJPh5h5iEhye7O1aZRiaGORkkp6X7GhbbmGgm2FoYKabrZuXDwCXZCC-,https://serpapi.com/search.json?data_id=0x94cb2e8a1d3dfae3%3A0x118d87c9cad77515&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb2e8a1d3dfae3%3A0x118d87c9cad77515&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4_o9HYouy5QRFXXXysmHjRE,"Jesuânia, MG",lojas_decoracao,2025-07-28T21:53:07.722327,COMPLETA
