position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Marina Presentes,ChIJKWCPY9appQARnO_HD_hqLBo,0xa5a9d6638f6029:0x1a2c6af80fc7ef9c,1885999957610590108,/g/11bcf2bd4h,4.3,126,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Wilson Alvarenga, 1543 - Carneirinhos, João Monlevade - MG, 35930-001, Brasil",-19.8074565,-43.1771323,+55 31 3850-5487,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Melhor loja da cidade para compra de presentes para a criançada!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npaw62QZsj3e0DHEhr96sZWHQDwsVc4smSNmYC1dzwUdJ4Lx0R5mfpbalIvB6kloVRKOWEpGe3pHip4xZutoefC01C6T7js2aLjAmCcW_iLPWFy-hi-h9SUwPBAinbZOFfahhCBUQ=w154-h92-k-no,https://serpapi.com/images/url/1dynPXicDclbcoIwFADQFUVeEQdn_ID4QGVUtMiUnw7GQEDyGG9srBvsGtxNe37P-5cbo2HqOAMPRq1S7cAewO5UScOkGVElnFYDooDAiUnEsdS1Df28gj5g7jxd8HsUQlWm-dzCmWIQp534JN71ZYvrBmdP9zgWjb7Uw_o7CW-DOh-3-3KhVyzQaafxs3oYxRrieiT8mPTg11kfC0LLry47lMsfxDvEo1NhD0ncyUu1XzY15yQp8pn1xvj_fHRDUv0Bca9FbA,https://serpapi.com/search.json?data_id=0xa5a9d6638f6029%3A0x1a2c6af80fc7ef9c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5a9d6638f6029%3A0x1a2c6af80fc7ef9c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJKWCPY9appQARnO_HD_hqLBo,"João Monlevade, MG",lojas_presentes,2025-07-28T21:57:46.092031,COMPLETA
2,Intuição Presentes,ChIJVaPPlHAHpQARh14WyuVOzGs,0xa5077094cfa355:0x6bcc4ee5ca165e87,7767670206152203911,/g/1tgfflql,4.8,10,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Getúlio Vargas, 4593 - Carneirinhos, João Monlevade - MG, 35930-002, Brasil",-19.809399199999998,-43.1721005,+55 31 3851-1860,http://www.intuicaopresentes.com.br/,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:00–12:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipN05ReXxcIygV6Xd4pUr6p6x3H4S6MOLhdB7zbb=w122-h92-k-no,https://serpapi.com/images/url/xMjvnHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ2AalBpRkexZmR5mFpFiUhBaZFZgVmHsYRJs5uvvk5HiZF6VlGRbbmhkpJthaaSbrZuXDwCdfyDn,https://serpapi.com/search.json?data_id=0xa5077094cfa355%3A0x6bcc4ee5ca165e87&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5077094cfa355%3A0x6bcc4ee5ca165e87&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJVaPPlHAHpQARh14WyuVOzGs,"João Monlevade, MG",lojas_presentes,2025-07-28T21:57:46.092031,COMPLETA
3,Realce Presentes Criativos e Personalizados,ChIJl8Ogq1wHpQAR8ptDHfJRXAs,0xa5075caba0c397:0xb5c51f21d439bf2,818619332589493234,/g/11gk8x4w2m,4.7,18,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Armando Fajardo, 4560 - Cruzeiro Celeste, João Monlevade - MG, 35931-017, Brasil",-19.837726,-43.1790885,+55 31 99815-1926,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,"segunda-feira: 09:00–12:00, 13:00–18:00; terça-feira: 09:00–12:00, 13:00–18:00; quarta-feira: 09:00–12:00, 13:00–18:00; quinta-feira: 09:00–12:00, 13:00–18:00; sexta-feira: 09:00–12:00, 13:00–18:00; sábado: 09:00–12:00; domingo: Fechado",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noizfeqQT3q7346vrCdqoxyftlVPtTXfkScQyat4ObepTaw-FtASEVs0yHC1uRbVTkSzOr8kF3jqJhrYI4uJqpA5Q6EMCPLN0Pv_TtnJD_4P3K0FXrsLHhbE7Jx7U8L8Edd_kLc=w92-h92-k-no,https://serpapi.com/images/url/tGtE5HicDcNRToMwGADgE3Wg7QYz8YEwyER0IJXMJzJKoVpsafuzjZ3PS3gb_ZLv90cATO7B80aBV4PWw8hnxy3TCriCFdPf3jA5xBxyXhRvBVH689ZzU1JsAkw2Zxt3Rl-XHsa6AHrsZcXK5QTk0PKJni4ohahKaucv-_hufmtrKqvbwYYyxV8mE_bjicyZmaJ1uUle4iJ_9YtzQ0Flu4YU-NlPj9ble9EmQXYN3sM8TLqukTl7vGzvkfgvkdJ_EvtE1g,https://serpapi.com/search.json?data_id=0xa5075caba0c397%3A0xb5c51f21d439bf2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5075caba0c397%3A0xb5c51f21d439bf2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJl8Ogq1wHpQAR8ptDHfJRXAs,"João Monlevade, MG",lojas_presentes,2025-07-28T21:57:46.092031,COMPLETA
4,Valéria Presentes,ChIJN3I_KNeppQARptmIS4OQkgM,0xa5a9d7283f7237:0x39290834b88d9a6,257427022295914918,/g/1vxg0ddy,4.3,58,Loja de Presentes,"Loja de Presentes, Loja de Roupa",gift_shop,"Av. Getúlio Vargas, 2849 - Belmonte, João Monlevade - MG, 35930-293, Brasil",-19.8146615,-43.1569473,+55 31 3851-4348,https://www.instagram.com/valeriapresentesoficial/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipNzhD4zGFTZbwqIkCtmm_2H_NQXHjPEUA_RyNOC=w92-h92-k-no,https://serpapi.com/images/url/1DjAI3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngV5XhYlLl7hYSlVRe6JntXJKbG2_kEe8XGOGRFeAa6hgfVOnn72xbbmmkmwHE2bp5-QCVkyFO,https://serpapi.com/search.json?data_id=0xa5a9d7283f7237%3A0x39290834b88d9a6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5a9d7283f7237%3A0x39290834b88d9a6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJN3I_KNeppQARptmIS4OQkgM,"João Monlevade, MG",lojas_presentes,2025-07-28T21:57:46.092031,COMPLETA
5,Ideal Presentes,ChIJZYCl2XMHpQARwApyR6Ur0XI,0xa50773d9a58065:0x72d12ba547720ac0,8273441979324566208,/g/1tdcn5w_,4.3,10,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Getúlio Vargas, 5038 - Carneirinhos, João Monlevade - MG, 35930-003, Brasil",-19.807976999999998,-43.176044999999995,+55 31 3852-4042,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nogOaiv981XEEw-MHpHj5m5-qWDR6mTIeT63Rheaz3wrw-ys9VzDVY6vZukhOTOft95WQrCKrp6i9p1UJuVgKFt_OCVYtNvMNk8bjc_1henbDRhl0xJF-g5HjXLBLE3hAwGiGc7=w80-h142-k-no,https://serpapi.com/images/url/ubXH8HicBcFbcoIwFADQFV0REUqc6YcFlPpiylDU_jiaSXN5JZEEYt1fF9Hd9Jy_XzRG6YXjtOhNuJS8ZYNmPZXCMGEmVHYOVxqoBu0sI4JzIXl2rUYSuqcksbBPVVr7nQ_3Y5wHXfHOisDLkV2fnu0t_GhSPuPyHIxfQ4NZkX0b4h8_-mjbq6Aiyv3cDCXfrswli8qzOYz7QxPeanpxkYlbnGM7fWxWwP20Pu3edomHS7uu1vTl1YZTQHc-gwaE_Ae6S0Q0,https://serpapi.com/search.json?data_id=0xa50773d9a58065%3A0x72d12ba547720ac0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa50773d9a58065%3A0x72d12ba547720ac0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJZYCl2XMHpQARwApyR6Ur0XI,"João Monlevade, MG",lojas_presentes,2025-07-28T21:57:46.092031,COMPLETA
6,Cent's - Utilidades e Presentes,ChIJ_aEVLtippQARqKycQ7oESkA,0xa5a9d82e15a1fd:0x404a04ba439caca8,4632520364748745896,/g/1td54nrk,4.8,19,Loja de Presentes,"Loja de Presentes, Loja de variedades, Loja de Brinquedos",gift_shop,"R. Lucindo Caldeira, 71 - Alvorada, João Monlevade - MG, 35930-028, Brasil",-19.808803899999997,-43.178536199999996,+55 31 3851-7369,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Muitas variedades , e preços bons .""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqTC8pGv8AfeWPmuu4YvovtalH-oHy1velNghyqYp4bFcNWFKD-3K7W4uFQIAIuTWI5g2SGQ5M_aYqacpzWZkpLndN4gCt7kAU3ybXrFvYxUmWX4SZZip4Hr-KCetvAOkDdJMkh=w204-h92-k-no,https://serpapi.com/images/url/ekypTnicBcHbboIwAADQL6pMqPGS-NBguAzFGTUVXgzUrl0KbaGXyf5vH-HfeM7rn1urzSYIOh7NmFKso87QkShpqbQzovqAaQOIASZA8ZpDOVzilU79Cn1T_NU7ByuvvG26DKhsmnvalYxPQ6Vhm5ASJ8UORMUSQ5eccpS7C84XLDynp8Xh3lRDQ_QfroXey0cJWWyXAl2jqb2Nia-e1x7f4LmufzTMRlDE1Hp0FLvH50Hw7W_4AQFfh0AAqd4ZfUVY,https://serpapi.com/search.json?data_id=0xa5a9d82e15a1fd%3A0x404a04ba439caca8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5a9d82e15a1fd%3A0x404a04ba439caca8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_aEVLtippQARqKycQ7oESkA,"João Monlevade, MG",lojas_presentes,2025-07-28T21:57:46.092031,COMPLETA
7,Sivamar Presentes,ChIJqYNIpXMHpQARGtK7a0IU7EQ,0xa50773a54883a9:0x44ec14426bbbd21a,4966366764590682650,/g/1v9ld017,4.1,37,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Getúlio Vargas, 5082 - Carneirinhos, João Monlevade - MG, 35930-003, Brasil",-19.8078985,-43.1766199,+55 31 3852-2483,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:15; terça-feira: 08:30–18:15; quarta-feira: 08:30–18:15; quinta-feira: 08:30–18:15; sexta-feira: 08:30–18:15; sábado: 08:30–18:15; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Variedade de produtos.""",https://lh3.googleusercontent.com/p/AF1QipOW8mnf-Tp49EWPM-FChQ0vGQaEvaMNLNA4aDYG=w138-h92-k-no,https://serpapi.com/images/url/nm21-HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH26Rm5emG1JgYukaHuCr6-acEWhQ5h6Y6FqW6Ovn4-dokugS6W5bbmhsoZthaaSbrZuXDwCKsyBN,https://serpapi.com/search.json?data_id=0xa50773a54883a9%3A0x44ec14426bbbd21a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa50773a54883a9%3A0x44ec14426bbbd21a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJqYNIpXMHpQARGtK7a0IU7EQ,"João Monlevade, MG",lojas_presentes,2025-07-28T21:57:46.092031,COMPLETA
8,Martheo Presentes,ChIJCR5_d3oHpQAR76fiG42ZAYc,0xa5077a777f1e09:0x8701998d1be2a7ef,9728225501434259439,/g/1tdf2lgf,4.3,18,Loja de Presentes,"Loja de Presentes, Loja de artigos religiosos, Papelaria",gift_shop,"Av. Getúlio Vargas, 4419 - Carneirinhos, João Monlevade - MG, 35930-002, Brasil",-19.8095967,-43.1705563,+55 31 3851-5206,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np0xo_lsUGjZTRT4Rc6qDMOftju5ObCQ1whIHdPVOyl0gTDkQExWrc2fvbA1fR4xA98nV_tHq6Go8q8G_u2ViBbxb9QdPDJPkOKf2TOkHQgUgbu5ShlFjnCRCAJRlpr0GQ9rhsE=w80-h106-k-no,https://serpapi.com/images/url/xKzyhnicBcFRboIwAADQE1UKQwImfiA4UGNKO2DJfkhaoR3UFmhRPOAOsdv43v-fsHY0O8eR4mPDteayXUw7M61sq-yG6bvDRwOYAcaJk0j4aoSrbqSpsv6nJKVPWDClV9TZftkimmD3KU75rajRS0JepgM-rt8z87oHjd2O-GschapubD4FmQ6nMGsWr_490JVG-Fak52JAl84r0ZBjXnG6bL-E_OxVQpL4TOQ4wwxHszDH_TOEQLgwAANQ-g3y6US9,https://serpapi.com/search.json?data_id=0xa5077a777f1e09%3A0x8701998d1be2a7ef&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5077a777f1e09%3A0x8701998d1be2a7ef&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJCR5_d3oHpQAR76fiG42ZAYc,"João Monlevade, MG",lojas_presentes,2025-07-28T21:57:46.092031,COMPLETA
9,Universal Presentes,ChIJDbiDmuOppQARsIj98RahARY,0xa5a9e39a83b80d:0x1601a116f1fd88b0,1585725663732402352,/g/11h6r4_942,5,2,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Getúlio Vargas, 5038 - Carneirinhos, João Monlevade - MG, 35930-003, Brasil",-19.807976999999998,-43.176044999999995,,,,,,,,,"Cartão de crédito, Cartão de débito",,,"""Marcelo e sua família prestam um atendimento único.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KnfH6vSLDxknRPOWdujEVw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=321.0195&pitch=0&thumbfov=100,https://serpapi.com/images/url/cS21I3icHc1fCsIgHADg2_iWf4qiBdJLQVBQFNRjOOfUcvpjOl2n6VzdpugC3_d5m5QgrgiJqVcqZasK2FG5OAGBdQjaKQE2Yhk6khlJZuhqL6xbg_DBNnzv290iXw6b8enPp-OtGR7ba0GyvktnlU88KtFLg3X5iX1osIaICl9SZHg1RS9R-GzKMGXVHIFN0nCK_kkbMmeUfgFg4Tmw,https://serpapi.com/search.json?data_id=0xa5a9e39a83b80d%3A0x1601a116f1fd88b0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5a9e39a83b80d%3A0x1601a116f1fd88b0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJDbiDmuOppQARsIj98RahARY,"João Monlevade, MG",lojas_presentes,2025-07-28T21:57:46.092031,COMPLETA
10,Val Presentes,ChIJ2UaVfg-qpQARVCrYV5Glbpw,0xa5aa0f7e9546d9:0x9c6ea59157d82a54,11272128961017555540,/g/1thx0nzl,4,19,Loja de Presentes,Loja de Presentes,gift_shop,"R. Nova York, 1063 - Novo Cruzeiro, João Monlevade - MG, 35931-130, Brasil",-19.8481903,-43.182809899999995,+55 31 3851-4383,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimo lugar, atendimento MT bom""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rr1hQ59uJVCXTtfjwoLJOQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=223.62955&pitch=0&thumbfov=100,https://serpapi.com/images/url/FYJlrnicHc1RCsIgGADg2_iWOmPRAumhtxHEIKK3cO5PDTdF_826TdfqNkUX-L7P2yLGvGMsYwLAxUGJ7gk-r6KiJgTjQUWXqQ4jWyqGdh77STm_j2oKbpApVbarm7m9HK5nvD9KOLanjuj-pr2DCWUGlbSlpvzEFAZqYiZFbjmxshHkpYoUYk03oqlrEh1qKzn5L_ewyIrzL4PzOao,https://serpapi.com/search.json?data_id=0xa5aa0f7e9546d9%3A0x9c6ea59157d82a54&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5aa0f7e9546d9%3A0x9c6ea59157d82a54&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2UaVfg-qpQARVCrYV5Glbpw,"João Monlevade, MG",lojas_presentes,2025-07-28T21:57:46.092031,COMPLETA
