position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Maristela Presentes,ChIJey62dTafoQAR0L_cnOinpgQ,0xa19f3675b62e7b:0x4a6a7e89cdcbfd0,335139839791644624,/g/1xg5txl1,4.8,6,Loja de Presentes,Loja de Presentes,gift_shop,"Rua dr, R. Abeilard Pereira, 322 - loja 02 - Centro, Lagoa Dourada - MG, 36345-000, Brasil",-20.915978799999998,-44.0733112,+55 32 3363-1280,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrKSaw95hbURaL3LCwGSAdOGxvXz-ebaqhG1aN1DNsF5-hl3CN3FtMjlkIdiIg5YoOlrym_1o8lkl1HB051Vp8boOszf5OQi-yiiAMv7rgydO-kTOHJw3NYtRNyXqTXx6chNhtTig=w80-h96-k-no,https://serpapi.com/images/url/usF28nicBcFbcoIwFADQFV0xE6PQmX4gjmiryVTRwS-Hl7kpkSBJRVxg9-BuPOf1j8619sPzNNKRNEbq6s9WXWEaVzVuVJirJ1sLhQXrhVGAk6b73md9wDA_7LIN3UR9vA9LET_u6ROqPLthTDJOFtwuGaCmEadLt_3V9bpUa8lORuhuuJ6J8XWtyWo-ZuTY-rkR9nlh4kfBoFS4vc86OZQC6kSsvnrKT27Hh_SWpI9pgRxdouRn748BgynU0Jg3DS1Fjw,https://serpapi.com/search.json?data_id=0xa19f3675b62e7b%3A0x4a6a7e89cdcbfd0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa19f3675b62e7b%3A0x4a6a7e89cdcbfd0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJey62dTafoQAR0L_cnOinpgQ,"Lagoa Dourada, MG",lojas_presentes,2025-07-28T22:09:40.689200,COMPLETA
2,Criativa Papelaria,ChIJBce--jafoQARNkvpBMiiNqo,0xa19f36fabec705:0xaa36a2c804e94b36,12265169615149681462,/g/11bztf1_9k,4.9,12,Papelaria,"Papelaria, Joalheria especializada em itens personalizados, Loja de acessórios de moda, Armarinho",stationery_store,"Rua Dr, R. Abeilard Pereira - Centro, Lagoa Dourada - MG, 36345-000, Brasil",-20.915344899999997,-44.0741228,+55 32 3420-0750,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:30; terça-feira: 07:00–18:30; quarta-feira: 07:00–18:30; quinta-feira: 07:00–18:30; sexta-feira: 07:00–18:30; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento nota 1000 , além da grande variedades de produtos e serviços.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nzT4HQcnXFT8z_R62uwYNg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=51.15614&pitch=0&thumbfov=100,https://serpapi.com/images/url/Fvu8_HicHc1fDoIgHADg2_AWf5w6a2O9uZ7aaj7Uk0MkYEP4TVDKy3SublPrAt_3eZuUIB4IiWlWKq1WZbBP5eIOBNYhaKcE2IhlmMjKSDLLNHhh3RGED3bkfuvK00X6W9s1W3-tiyXfzxrJoZfOKp94VGKWBuv8E-cwYg0RZd5QZPi-QC-RecUwq2pWIrBJGk7RP3mElTNKv0egOV8,https://serpapi.com/search.json?data_id=0xa19f36fabec705%3A0xaa36a2c804e94b36&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa19f36fabec705%3A0xaa36a2c804e94b36&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBce--jafoQARNkvpBMiiNqo,"Lagoa Dourada, MG",lojas_presentes,2025-07-28T22:09:40.689200,COMPLETA
3,Bella Presentes,ChIJey62dTafoQARlaNPvOenPLQ,0xa19f3675b62e7b:0xb43ca7e7bc4fa395,12987440039168287637,/g/1t_h_6cn,,0,Papelaria,Papelaria,stationery_store,"R. José N Chaves de Paula, 7, Lagoa Dourada - MG, 36345-000, Brasil",-20.9143915,-44.0758678,+55 32 3363-1132,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np2wF-AxsKheeFI49dS7S-IQwByehN_B4vY8T7NqfRWL9BP_1NmHVposfeVkyg9uQ3C7zapvmPzQYSvGQNySAnVJJvcfRUNmNIsCowHX6PYcHh67TOJXpLHvd3dzRikknaB0T4=w92-h92-k-no,https://serpapi.com/images/url/tBp6lnicDcNtDoIgAADQE5GlLqOtH-pmao38yvJXc4jSTKBQTK_XKbpNve19P7Tvhdxq2oMai4bz5kEGSV6Ys56wfoF5pzVCAiyB1GwXUpMJffSA_ZYHSogXmLBKrRQE8ehMhKKbY6pik1noWSeXI3Si2wp1fi64rEneTg0cYsO15lKoLprjIlX7GE2pzfIwVLhOzqhDgXT56F_XUYF9urayU3gVR19VRjUn97ZlpbPMzN0IdUD_W8D4D0EyRFA,https://serpapi.com/search.json?data_id=0xa19f3675b62e7b%3A0xb43ca7e7bc4fa395&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa19f3675b62e7b%3A0xb43ca7e7bc4fa395&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJey62dTafoQARlaNPvOenPLQ,"Lagoa Dourada, MG",lojas_presentes,2025-07-28T22:09:40.689200,COMPLETA
4,Divino Ofhício,ChIJ-94QJjSfoQARCaqdhXMRBlE,0xa19f342610defb:0x51061173859daa09,5838373154793040393,/g/113hqtj6w,4,7,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"R. Jose Geraldo de Andrade, 134, Lagoa Dourada - MG, 36345-000, Brasil",-20.917485799999998,-44.073982199999996,+55 32 3363-1650,http://www.divinoofhicio.com.br/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:30–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np9kidjqY0cgL3ngjis8aCSrmMZTn0ySHVO7Bn6OR6eNrZOTqaCZ73nRvzK_jJP_EIlyrXzZt_MA87CaDtRcX23-D1ODM_e30ONuRbQfD_rEcS6fgVZmq_ciY_SRN6bvQwSivpNmw=w80-h106-k-no,https://serpapi.com/images/url/ze5KYHicBcFRboIwAADQE1XquhQ02YcDk02FztYY7U-DXS0gtNBWiF5wZ_A2e-_1V4XQ-2UUtRWaaWt1q-5eOWlNUCbMpO0i3XsgPfDRKl1U76Zf3OrfZjhDqXfI6Kb2SZky1-X8YOCDfR1J_GkwoVgVjpPDUKY8RoaOz61oNj9i_d0-3OnJg8hXSZyWWaDy9IZANidZLhSCpLjTy_6aCbeWDF_1kXeDkPVZMFrgy7ifWD32RTd9TAkE1RxicAPG_gOICEXs,https://serpapi.com/search.json?data_id=0xa19f342610defb%3A0x51061173859daa09&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa19f342610defb%3A0x51061173859daa09&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-94QJjSfoQARCaqdhXMRBlE,"Lagoa Dourada, MG",lojas_presentes,2025-07-28T22:09:40.689200,COMPLETA
5,O Legítimo Rocambole de Lagoa Dourada,ChIJey62dTafoQARgJ8sS6dmZWc,0xa19f3675b62e7b:0x676566a74b2c9f80,7450474027261140864,/g/1tlkdlk4,4.6,6323,Doceria,"Doceria, Cafeteria, Buffet de doces e sobremesas, Café, Confeitaria, Loja de tortas, Lanchonete",dessert_shop,"R. Miguel Youssef, 38 - Centro, Lagoa Dourada - MG, 36345-000, Brasil",-20.9152441,-44.0753815,+55 32 99968-1538,http://keepo.io/olegitimorocambole,Fechado ⋅ Abre ter. às 06:00,Fechado ⋅ Abre ter. às 06:00,segunda-feira: 06:00–20:00; terça-feira: 06:00–20:00; quarta-feira: 06:00–20:00; quinta-feira: 06:00–20:00; sexta-feira: 06:00–21:00; sábado: 06:00–21:00; domingo: 07:00–21:00,$$,,Assento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local, Para viagem, Refeição no local",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npmM9tC8I3U2VwbdXI_2FiuggUrdPhqN_1PZH-z1aYpi8c0OzUHgqC2HUBA1bHVDmf7lhup-M_LDUbn5Wh2ghKAffaFwrZqb8GAEYEbRoVR5QL5UkqlocKAifiNaD_dGX5Lo2lMYw=w163-h92-k-no,https://serpapi.com/images/url/qTG5l3icBcFRboIwAADQE1WkiMKSfXSAYgTnTMqEH0ILtMTSFlpC4gV3ht3G9_7_uLXafDiO4N6GKcVEt5hupkraTtoNVaPDtAHUAOOgKOQ7qcc8tFFw9jAsVtI-zjU8DgtjeG5vfLrW7q1KwcttSj0EdPv9wimbIpjiL-SStIjH_iD4okFeZzEm0v_lkPEL6vvmuM7VRIITSsqE3FVx938yHz8noegFDf1wbeK6PT38TEGRl-vn6u49wEMInkCqNzV4RPg,https://serpapi.com/search.json?data_id=0xa19f3675b62e7b%3A0x676566a74b2c9f80&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa19f3675b62e7b%3A0x676566a74b2c9f80&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJey62dTafoQARgJ8sS6dmZWc,"Lagoa Dourada, MG",lojas_presentes,2025-07-28T22:09:40.689200,COMPLETA
6,Loja Primavera,ChIJE0DprjefoQARYr7384R1y-s,0xa19f37aee94013:0xebcb7584f3f7be62,16990803233074560610,/g/11b620jks6,4.8,14,Loja de Roupa,Loja de Roupa,clothing_store,"Rua Major Joaquim Rodrigues Resende, 60 - Centro, Lagoa Dourada - MG, 36345-000, Brasil",-20.914213999999998,-44.075083199999995,+55 32 3363-1335,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC",,,"""Bom preço e qualidade""",https://lh3.googleusercontent.com/p/AF1QipN5rdK86336vrIRhMsi3iIQClczypktPOheeHZY=w122-h92-k-no,https://serpapi.com/images/url/Jq-flnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ1qU4m1hZmxsVlbkGZThW5xpnOkZ6JyTXFVZkF0S4J-RmuoRFWlbbmhkpJthaaSbrZuXDwCnESGP,https://serpapi.com/search.json?data_id=0xa19f37aee94013%3A0xebcb7584f3f7be62&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa19f37aee94013%3A0xebcb7584f3f7be62&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJE0DprjefoQARYr7384R1y-s,"Lagoa Dourada, MG",lojas_presentes,2025-07-28T22:09:40.689200,COMPLETA
7,Ateliê Dona Florzinha,ChIJ24E8WzafoQARmv6LY84uRQE,0xa19f365b3c81db:0x1452ece638bfe9a,91530831399222938,/g/11b620dhcs,4.7,14,Loja de acessórios de moda,Loja de acessórios de moda,fashion_accessories_store,"Av. Sebastião Pinto Andrade, Lagoa Dourada - MG, 36345-000, Brasil",-20.915280799999998,-44.0751743,+55 32 3363-1371,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito",,,"""A melhor loja do mundo!!!!!""",https://lh3.googleusercontent.com/p/AF1QipMN9jFlbeSrSqrs0xoO93q7fb4Hg7nbZrcEH43f=w80-h106-k-no,https://serpapi.com/images/url/qa1FoXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng62eZ5ZaTlBpcFFxYVGxQke9vaVxonpZk4pFunpcUVZTs6mFinGZbbmGgm2FoYKabrZuXDwCxviFQ,https://serpapi.com/search.json?data_id=0xa19f365b3c81db%3A0x1452ece638bfe9a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa19f365b3c81db%3A0x1452ece638bfe9a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ24E8WzafoQARmv6LY84uRQE,"Lagoa Dourada, MG",lojas_presentes,2025-07-28T22:09:40.689200,COMPLETA
1,J e Artesanato e Confecções,ChIJ5cyc7-UQowAR8zUI8lp1cvo,0xa310e5ef9ccce5:0xfa72755af20835f3,18046615690295129587,/g/1tht2pc7,4.3,10,Feira de artesanato,Feira de artesanato,handicraft_fair,"Av. Sebastião Pinto Andrade, 630, Lagoa Dourada - MG, 36345-000, Brasil",-20.9198387,-44.0799279,+55 32 3363-1494,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noOT1mlem_sWu615fTgqguITS51HQK3pA-egO6bEdvlU7yEU9D-eUB3U1UFxy0ud4dCqIwouU5JgvhvKMf6VQNuE2bp5TzoSSDHF0QFYBHisVQGLHn2T1wKaDrRRN3AyjjmgXVc_A=w80-h106-k-no,https://serpapi.com/images/url/jOShuHicBcFZEoIgAADQE5GSS8tMH5aaZcuYYPXlpBJUChai2QU7Q7fpvd-XNU0tp5pWMmNAhaAlUZK8csEbwptBLiqN1hLkEkjNWUyYycUewaokVSqPyobWFdEnVSsUWzCIQqN2AKF7O_OKtsSj3sMTFxA8NzDE_rvXVWEWi-eqEwpba9qyNtxe7STaKW-Y1Rb6iDh2A1-P_PM8uMkkWm4CPkSwCy_u63DYGU5_v1f0lOSpM-vGOmBQt8EDcPEHH6VEgQ,https://serpapi.com/search.json?data_id=0xa310e5ef9ccce5%3A0xfa72755af20835f3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa310e5ef9ccce5%3A0xfa72755af20835f3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5cyc7-UQowAR8zUI8lp1cvo,"Lagoa Dourada, MG",lojas_artesanato,2025-07-28T22:09:43.732492,COMPLETA
2,HJ Móveis e Artesanato,ChIJj5uZbzafoQAR_npTrvBlrgA,0xa19f366f999b8f:0xae65f0ae537afe,49088730338917118,/g/11lnr3pm16,5,36,Moveleiro,Moveleiro,furniture_maker,"R. Virgilino Evangelista Fernandes, 475 - Morro Vermelho, Lagoa Dourada - MG, 36345-000, Brasil",-20.9114775,-44.0729854,+55 32 99961-6668,https://www.hjmoveiseartesanato.com.br/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,"""Tive uma excelente experiência com essa loja/fábrica de móveis!""",https://lh3.googleusercontent.com/p/AF1QipOiUVvZzi0VeaLqwIXMQEaPT-KJFxh8sJekh9La=w92-h92-k-no,https://serpapi.com/images/url/234Vn3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngnxkaVhZVlWkQlproU1juGeEb6JoYEKLr7eVWkWFR7JWanWHpk2hbbmmkmwHE2bp5-QCYFiFm,https://serpapi.com/search.json?data_id=0xa19f366f999b8f%3A0xae65f0ae537afe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa19f366f999b8f%3A0xae65f0ae537afe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJj5uZbzafoQAR_npTrvBlrgA,"Lagoa Dourada, MG",lojas_artesanato,2025-07-28T22:09:43.732492,COMPLETA
4,Sudeste Rústico Móveis e Artesanato,ChIJgRcxpDafoQAR0JY8LYtmVvk,0xa19f36a4311781:0xf956668b2d3c96d0,17966660511386605264,/g/11ngj76xdb,5,74,Loja de móveis,Loja de móveis,furniture_store,"R. Dom José Alves, 43 - Centro, Lagoa Dourada - MG, 36345-000, Brasil",-20.9153262,-44.076688399999995,+55 32 99938-8112,http://www.sudesterustico.com.br/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–17:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrxtOFgd03juygv5b8r1pM_enuvwLK0toqFUrSDh1w-AjMsaImCYTycSzW5-OlVMsUWxjeaE4o-ZTJT2nVyRobOfhY-f5FaGUqLLw19ZjL7qAb5vp9hUf70UBfUwaq7vf00ZxsbyQ=w92-h92-k-no,https://serpapi.com/images/url/jJ97-nicDcPbCoIwAADQL5rOSsygB7sYlSKVK_Il1HbBdFM3nfaB_UN_UwfO98OUquXCNEs2NagQtMSdxG0uuMJcGbmoTFpLkEsgTW_tshlvBxX59AmnRTfS3s7mrVWHD8y7XgdHqETjo_ayYZYGXhHKdF-t7_GYX943G0TlNZToNhQ43c4ESOJDPOHX8SyyiLA7ILaf7lATBNpykyJwGi-z-9pliDgQrQjSaeP0BMJkkNl4Wmp3Atj_C3DxA6NRRjs,https://serpapi.com/search.json?data_id=0xa19f36a4311781%3A0xf956668b2d3c96d0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa19f36a4311781%3A0xf956668b2d3c96d0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJgRcxpDafoQAR0JY8LYtmVvk,"Lagoa Dourada, MG",lojas_artesanato,2025-07-28T22:09:43.733495,COMPLETA
