position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Multi Presentes e Papelaria,ChIJOcIAe3t9pgARxGR0Cg0cD4M,0xa67d7b7b00c239:0x830f1c0d0a7464c4,9443797785954772164,/g/11k8hb9yhy,4.5,157,Papelaria,"Papelaria, Loja de embalagens para presente, Loja de Instrumentos Musicais, Loja de presentes, Loja de artigos religiosos",stationery_store,"R. Dr. Dirceu Portela Azeredo, N° 04 - LJ 02 - Centro, Lagoa Santa - MG, 33230-115, Brasil",-19.627461,-43.8908336,+55 31 3681-2263,https://instagram.com/multipresentesepapelaria,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,"""Uma das lojas mais completas da região no quesito presente !""",https://lh3.googleusercontent.com/p/AF1QipMiCePHMBGf6yqQhou89hMW1HRbhcmOoue4exaI=w80-h93-k-no,https://serpapi.com/images/url/dDX7-nicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm-mcGuDh6-SeZlZZGJiRX2phmeEbbugRlJSRnOufX5pqklqR6GlbbmGgm2FprJutm5cPAI6GIW4,https://serpapi.com/search.json?data_id=0xa67d7b7b00c239%3A0x830f1c0d0a7464c4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa67d7b7b00c239%3A0x830f1c0d0a7464c4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJOcIAe3t9pgARxGR0Cg0cD4M,"Lagoa Santa, MG",lojas_presentes,2025-07-28T22:13:33.353872,COMPLETA
2,Loja Econômica Lagoa santa,ChIJtVNZN3R8pgAR4nTm37bXXAQ,0xa67c74375953b5:0x45cd7b6dfe674e2,314363254449534178,/g/11gcz3dwxj,4.5,381,Loja de presentes,"Loja de presentes, Loja de utensílios de cozinha, Loja de artigos domésticos",novelty_store,"R. Conde Dolabela, 51 - a 53 - Centro, Lagoa Santa - MG, 33400-000, Brasil",-19.62756,-43.890412,+55 31 97219-5811,https://lojaseconomica.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–14:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no_mMLgrNR_j1hyR6FKBOYPhkmqtJJTm8i7Dzhp8hY99Dn2KKlzOTNOKASFNhIkXpk9jwW3h7sRD6B7GaTh_weOzUHlrieHyrXwFNwZK_AGILIqsjF3-qaZTYK9Zc8Fi6tcatSuhA=w163-h92-k-no,https://serpapi.com/images/url/xWv4tHicBcHdCoIwGADQJ1pihrqgC0tWttIwo_RGZAw__zZ1i5Ev2DP0Np3z-4LWo9paVg_Oqpay7vlb8ZlJobnQKyYHqx4VYgopKzhg2AhZDtdLPcdp2drwSV1C90l-g26Y9PmcDX7jhQuMPuQYh2JNab8kWZzQ4E5iiLrX2OHWPB3wVBq6e-9YZVAaniyPUz83_PSZX4bEpqBlcIwu0aRa4qCpKrKc4oL5pHE1q_T9DcHO2K6DAK9Rh4T8A4-9ReI,https://serpapi.com/search.json?data_id=0xa67c74375953b5%3A0x45cd7b6dfe674e2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa67c74375953b5%3A0x45cd7b6dfe674e2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtVNZN3R8pgAR4nTm37bXXAQ,"Lagoa Santa, MG",lojas_presentes,2025-07-28T22:13:33.353872,COMPLETA
3,Lojão do Real - Lagoa Santa,ChIJ7WSyJHd8pgARTSLRFEksAE4,0xa67c7724b264ed:0x4e002c4914d1224d,5620541027351863885,/g/11bw1qq6dl,4.3,449,Loja de presentes,"Loja de presentes, Loja de equipamentos para decoração de bolos, Centro de jardinagem, Loja de artigos domésticos, Papelaria, Loja de ferramentas, Loja de Brinquedos",novelty_store,"R. Prof. José Eduardo, 200 - Centro, Lagoa Santa - MG, 33400-000, Brasil",-19.627251299999998,-43.8941343,+55 31 99779-1836,https://www.lojaodoreal.com.br/,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:30; terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–15:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipOoxaNfY3eswK0jEZZfUlJ0K8crtiIXwUWMzlI1=w163-h92-k-no,https://serpapi.com/images/url/ISFP8nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn1-R6JcWaZxaXO5tkOUaFZUWmuNl4G2RXFSS6RlRHhruW5XjaWhbbmhmrJthaaSbrZuXDwC9uyHH,https://serpapi.com/search.json?data_id=0xa67c7724b264ed%3A0x4e002c4914d1224d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa67c7724b264ed%3A0x4e002c4914d1224d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7WSyJHd8pgARTSLRFEksAE4,"Lagoa Santa, MG",lojas_presentes,2025-07-28T22:13:33.353872,COMPLETA
4,Presentear-te,ChIJRwXaZLp9pgAReOiZaCMeFXg,0xa67dba64da0547:0x78151e236899e878,8652855396489881720,/g/11fhr0vc_w,5,6,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Acdo. Nilo Figueiredo, 2477 - lj 01 - Joana D'arc, Lagoa Santa - MG, 33400-000, Brasil",-19.6447658,-43.9042282,+55 31 99433-4030,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado,,,Estacionamento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipNAfdH0IsAuIYJCsVa9BxPBzhs72zsBdobNR9Gv=w122-h92-k-no,https://serpapi.com/images/url/Ob39c3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng55iW4mHgWexY6hnp5VwclmjpVBHgVJVRbG5UVeyUkp_kF2TpXmZbbmhkpJthaaSbrZuXDwCnFyFQ,https://serpapi.com/search.json?data_id=0xa67dba64da0547%3A0x78151e236899e878&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa67dba64da0547%3A0x78151e236899e878&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRwXaZLp9pgAReOiZaCMeFXg,"Lagoa Santa, MG",lojas_presentes,2025-07-28T22:13:33.353872,COMPLETA
5,Luxor Papelaria,ChIJXYaNllh8pgARqEmtjI18oHk,0xa67c58968d865d:0x79a07c8d8cad49a8,8764141822255385000,/g/1ptvvzms1,4.5,84,Papelaria,Papelaria,stationery_store,"Av. Acdo. Nilo Figueiredo, 2500 - Bela Vista, Lagoa Santa - MG, 33400-000, Brasil",-19.645028699999997,-43.9046841,+55 31 3681-6700,http://www.instagram.com/loja_luxor,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noX6VIIOSgHD9D_Nj5BP0JNMd7_82pXfvxVdcxguPs29eceHOdZ5OLSpkFZ7dYY_Y6h9BLRs6O4zwATl-P-u7n6RX9EF8HC_79oPFstjlg0k1gn3v3sD4OSdcx6LxepPPiKNAHN=w122-h92-k-no,https://serpapi.com/images/url/F-GqlHicDcxRboIwGADgE1W0YLEme0AZQUXaiDHgCw-layesbfyLEu-3Q-w28zvA9_ervXewDoJBhzNlrRrkCPIurPHS-JmwP4FygAQgCJIt1ZGxNbnsdqxSeUrTtrwtN3y-L49d3K6wq78e06UTkxo5YCqFzFl3XbKicn12jbumaRui6aY4AWHR65mcB8TRGBtyqulntsq3bUwtz8DfBjXvF8qEjxDSiFXvkxSTdJx_H8okLz-eC4yRphj1yNh_QC9C9w,https://serpapi.com/search.json?data_id=0xa67c58968d865d%3A0x79a07c8d8cad49a8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa67c58968d865d%3A0x79a07c8d8cad49a8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJXYaNllh8pgARqEmtjI18oHk,"Lagoa Santa, MG",lojas_presentes,2025-07-28T22:13:33.353872,COMPLETA
6,Encanto de Papel e Presentes,ChIJ4beOOiN9pgAR5NUz2Jjr5VE,0xa67d233a8eb7e1:0x51e5eb98d833d5e4,5901381928433735140,/g/11lzg08zhy,5,38,Papelaria,Papelaria,stationery_store,"de Lacerda, Av. Júlio Clóvis Lacerda, 67 - Centro, Lagoa Santa - MG, 33230-142, Brasil",-19.6279301,-43.8885637,+55 31 99801-8180,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipMxaxw_T3Tx_ZzZqzRlnHK_5UMe1yghR1vAswc1=w197-h92-k-no,https://serpapi.com/images/url/8Q9ZXnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW5FYUR4fYhxSER9VFVVYFZST5-Edbxrqm2pYmZ4RZFjmWFyebGhbbmhprpthaaSbrZuXDwDS3yJN,https://serpapi.com/search.json?data_id=0xa67d233a8eb7e1%3A0x51e5eb98d833d5e4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa67d233a8eb7e1%3A0x51e5eb98d833d5e4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4beOOiN9pgAR5NUz2Jjr5VE,"Lagoa Santa, MG",lojas_presentes,2025-07-28T22:13:33.353872,COMPLETA
7,Norma Presentes,ChIJISDSxnV8pgARfEImkZ83o4k,0xa67c75c6d22021:0x89a3379f9126427c,9917831962874495612,/g/11f31qq879,5,5,Loja de Presentes,Loja de Presentes,gift_shop,"R. João XXIII, 160 - Luiz Toledo, Lagoa Santa - MG, 33400-000, Brasil",-19.626072399999998,-43.890128499999996,+55 31 3681-1260,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente a loja, várias opções de compras e com funcionários, educados""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npsESDAt1UTaeS0KFuqDz-tUymd0oJehrBy1Ddz-EhimyMmgfE9dZ-URLeJHUdn6w7LQ3rebpc7cTtauIC_8b_jkdBZpIZXUOyL4VpoXi1-E0BViFinbUvVVstWM3K78GKsfHEd=w163-h92-k-no,https://serpapi.com/images/url/TnuszXicBcFLDoIwFADAEz0BISImLgTqD4zxUyRsjLSVotJWWjR4Pw_hbZz5fbkxSk8s68HdQSVl9WCdZi2RwjBhBkQ2VqU0EA3amkUB94TS6BDPjIOPF3awk3n3jD9gcN9QW64Zb8PeiekHEK-bftNUVxTQAvA-ZeslpmL09tOd27JSEZ8czaVbRedxeb7daVioVZHjbZ96mZJ57QCyw6ye16LEryzT5rRxE3-8SPR1iej07Yxc4MEQ7iDkHw1VRP4,https://serpapi.com/search.json?data_id=0xa67c75c6d22021%3A0x89a3379f9126427c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa67c75c6d22021%3A0x89a3379f9126427c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJISDSxnV8pgARfEImkZ83o4k,"Lagoa Santa, MG",lojas_presentes,2025-07-28T22:13:33.353872,COMPLETA
8,Tudo AV,ChIJw7JYGn97pgARpXsyjlKdagA,0xa67b7f1a58b2c3:0x6a9d528e327ba5,30009325429881765,/g/11kgs9_b1z,4.5,67,Papelaria,Papelaria,stationery_store,"R. Pinto Alves, 3161 - Vila Maria, Lagoa Santa - MG, 33400-000, Brasil",-19.6019218,-43.9075985,+55 31 3687-2067,https://www.instagram.com/lojatudo.av/?igshid=1bkh6oz2tuf12,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:00–12:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Loja ampla e organizada, atendimento de primeira e um excelente preço!!""",https://lh3.googleusercontent.com/p/AF1QipN4OmpW4p12W6sds4bHbpg0Pvyi-e8FDuEr3v_D=w80-h106-k-no,https://serpapi.com/images/url/eVE_anicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ-KfWxBuUmBoFG5WnFJskuSRVJBuEFBWmambauHmUupaZFwW72JbbmGgm2FoYKabrZuXDwChGyEU,https://serpapi.com/search.json?data_id=0xa67b7f1a58b2c3%3A0x6a9d528e327ba5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa67b7f1a58b2c3%3A0x6a9d528e327ba5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJw7JYGn97pgARpXsyjlKdagA,"Lagoa Santa, MG",lojas_presentes,2025-07-28T22:13:33.353872,COMPLETA
9,"Arco-íris Papelaria Presentes e Variedades, acessórios para celulares, brinquedos, Material escolar, Xiaomi, 2 via contas",ChIJH2Oz5PR7pgARnQlyew_VXZE,0xa67bf4e4b3631f:0x915dd50f7b72099d,10474762570805938589,/g/11pkb68_5d,5,58,Papelaria,Papelaria,stationery_store,"Av. São Sebastião, 1650 - Loja 05 - Campinho, Lagoa Santa - MG, 33234-730, Brasil",-19.573142,-43.917938,+55 31 99065-1385,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,"segunda-feira: 09:00–12:00, 13:00–18:00; terça-feira: 09:00–12:00, 13:00–18:00; quarta-feira: 09:00–12:00, 13:00–18:00; quinta-feira: 09:00–12:00, 13:00–18:00; sexta-feira: 09:00–12:00, 13:00–18:00; sábado: 09:00–14:00; domingo: Fechado",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipOhb2HWI6v2DjX9R-lgQDmoN2jP_2Rk2Ue_mBk-=w122-h92-k-no,https://serpapi.com/images/url/t3IrRnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn5Fk5BHuaVZm5JIVYRmkm5Me6JKb72eUFRBvFJRtFJoan-uUrWtbbmhkpJthaaSbrZuXDwCS_SCk,https://serpapi.com/search.json?data_id=0xa67bf4e4b3631f%3A0x915dd50f7b72099d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa67bf4e4b3631f%3A0x915dd50f7b72099d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJH2Oz5PR7pgARnQlyew_VXZE,"Lagoa Santa, MG",lojas_presentes,2025-07-28T22:13:33.353872,COMPLETA
10,Uni Duni Tê - Lagoa Santa,ChIJtbzWAT99pgAR_TfjRhREbV8,0xa67d3f01d6bcb5:0x5f6d441446e337fd,6876227059943946237,/g/11l_5pn5vv,4.9,11,Loja de presentes,"Loja de presentes, Loja infantil, Loja de fantasias, Loja de produtos de papelaria, Loja especializada em papel, Loja de canetas, Loja de Brinquedos",novelty_store,"Av. Getúlio Vargas, 6130 - Várzea, Lagoa Santa - MG, 33400-000, Brasil",-19.6326815,-43.887315099999995,+55 31 98877-0602,,Fechado ⋅ Abre ter. às 10:00,Fechado ⋅ Abre ter. às 10:00,segunda-feira: 10:00–19:00; terça-feira: 10:00–19:00; quarta-feira: 10:00–19:00; quinta-feira: 10:00–19:00; sexta-feira: 10:00–19:00; sábado: 10:00–19:00; domingo: 10:00–17:00,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipMxxGEiPPauD9mRs-1f9Ah2i0OkVtCSY7nGJ4kO=w163-h92-k-no,https://serpapi.com/images/url/UrSq3nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW1Hh7poZEJBY6mKZG1Ssa5hm6ZhhlGngnx1W4hwcaZ7n7mWS7W9bbmhmrJthaaSbrZuXDwCh2SDb,https://serpapi.com/search.json?data_id=0xa67d3f01d6bcb5%3A0x5f6d441446e337fd&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa67d3f01d6bcb5%3A0x5f6d441446e337fd&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtbzWAT99pgAR_TfjRhREbV8,"Lagoa Santa, MG",lojas_presentes,2025-07-28T22:13:33.353872,COMPLETA
