position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Opções Presente,ChIJkytQgQgZy5QR6LUEW4rFKNc,0x94cb190881502b93:0xd728c58a5b04b5e8,15503858915246126568,/g/1tg_h4_b,4.1,7,Loja de presentes,Loja de presentes,novelty_store,"R. Afonso Vilhena Paiva, 200, Lambari - MG, 37480-000, Brasil",-21.9714126,-45.3496885,+55 35 3271-5027,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–18:30; domingo: Fechado,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipPSQyhq8G-BHS4-Rjq-wEivqmeJxDRQcDhs0YEi=w122-h92-k-no,https://serpapi.com/images/url/J1lGV3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEBxYmVFo4a7r5BFsohuUVahb7ppZVpib6lXhEhSY7JJRbBDpmmlbbmhkpJthaaSbrZuXDwClPSFB,https://serpapi.com/search.json?data_id=0x94cb190881502b93%3A0xd728c58a5b04b5e8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb190881502b93%3A0xd728c58a5b04b5e8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkytQgQgZy5QR6LUEW4rFKNc,"Lambari, MG",lojas_presentes,2025-07-28T22:25:01.318035,COMPLETA
2,Miscelâneas Presentes,ChIJEROyi6YZy5QR3olGc5oxuEY,0x94cb19a68bb21311:0x46b8319a734689de,5095877517798443486,/g/1ptx5lq4n,5,2,Loja de Presentes,Loja de Presentes,gift_shop,"R. Tiradentes, 206, Lambari - MG, 37480-000, Brasil",-21.974106499999998,-45.348941499999995,+55 35 3271-1860,,,,,,,,Cartão de crédito,,,"""A melhor loja de artigos para presente da cidade.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=queDcR-GodMqgbqsM_OmNg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=350.35318&pitch=0&thumbfov=100,https://serpapi.com/images/url/68Mcg3icHc3BDYIwFADQbXqjLRISNGm8mHBCExcgpXzbJoV-6IfqNq7lNhoXeO_zdkSYTkIkWgFo95DRPyGkAjW3MdoAGn3iJk5iLwW5bRpm7cMZ9Rz9qJYNLuZetHHsFjssqetv09UyM_QmeJhJJdCrcdzmn7jGkVtMLKtGMqeOB_bSWVW15FVdlQ1DT8Ypyf7LI-6qlPILqps6Fw,https://serpapi.com/search.json?data_id=0x94cb19a68bb21311%3A0x46b8319a734689de&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb19a68bb21311%3A0x46b8319a734689de&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEROyi6YZy5QR3olGc5oxuEY,"Lambari, MG",lojas_presentes,2025-07-28T22:25:01.318035,COMPLETA
3,Mimos da Vá,ChIJi7XRsYIZy5QR7ElwLRpP-_w,0x94cb1982b1d1b58b:0xfcfb4f1a2d7049ec,18229250890562292204,/g/11rwl24f0x,5,12,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Joaquim Sotero Coutinho, n74 - Vista Verde 1, Lambari - MG, 37480-000, Brasil",-21.9672925,-45.3569301,+55 35 99746-8877,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: Fechado; terça-feira: 09:00–18:00; quarta-feira: 09:00–22:30; quinta-feira: 09:00–23:00; sexta-feira: 09:00–23:00; sábado: 09:00–23:00; domingo: 09:00–23:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipM-PIwZujeR0I77_6dpzUiNOcThogBWsUeFh1UG=w88-h92-k-no,https://serpapi.com/images/url/5bm1QnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngqxvgWR5VmpUaZOBpbh5vllJQFZrp558ckpGf7hReHJrqlmEY6m5bbmGhm2FppJutm5cPAIh4ISY,https://serpapi.com/search.json?data_id=0x94cb1982b1d1b58b%3A0xfcfb4f1a2d7049ec&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb1982b1d1b58b%3A0xfcfb4f1a2d7049ec&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJi7XRsYIZy5QR7ElwLRpP-_w,"Lambari, MG",lojas_presentes,2025-07-28T22:25:01.318035,COMPLETA
4,Casa dos Presentes,ChIJbZGYi7AZy5QRRxPKagzhxmU,0x94cb19b08b98916d:0x65c6e10c6aca1347,7333796486666916679,/g/11vs2cw2kw,,0,Loja de presentes,Loja de presentes,novelty_store,"R. Garção Stockler - Centro, Lambari - MG, 37480-000, Brasil",-21.974978099999998,-45.3498684,+55 35 99726-6647,https://www.instagram.com/casa.dos.presentes_?igsh=ZnN3OG0zYjAwcWxj,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–15:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipOAA-Y8xpo4bt_xPGaComxwrRCWWnkzhqkMkAoE=w80-h100-k-no,https://serpapi.com/images/url/zjfcA3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng7-ioG2lRUZBvklQSXxHgnuicn1tRXhTkHB6el12VUZjtm-2Y72pbbmGgm2FoYKCbrZuXDwDBlyI2,https://serpapi.com/search.json?data_id=0x94cb19b08b98916d%3A0x65c6e10c6aca1347&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb19b08b98916d%3A0x65c6e10c6aca1347&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJbZGYi7AZy5QRRxPKagzhxmU,"Lambari, MG",lojas_presentes,2025-07-28T22:25:01.318035,COMPLETA
5,Trevo Armarinho,ChIJkytQgQgZy5QRo7qKgWZBVtQ,0x94cb190881502b93:0xd4564166818abaa3,15300488692553661091,/g/1td5mttp,4.8,34,Armarinho,Armarinho,notions_store,"Pc Nossa Senhora Saúde, 56, Lambari - MG, 37480-000, Brasil",-21.9747819,-45.3511008,+55 35 3271-3021,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Um otimo preço e produtos variados.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4no5s7TUOMZHTejLBt_H7mBUbcOsVsG9e2iWNX_2mrQFWt1evXeQ4asMfknvornfkjOzUXRW1KqaOIGX3vRKmtW9FGLOnWnhj4LaxvJ19c7uUXrkbHhKZNYcORP50xmiDXa25hvf6A=w122-h92-k-no,https://serpapi.com/images/url/gJQN2nicBcFRboIwGADgE1VGBUlN9qBbBAXtJGI7Xww2hQq2Vf7amV3QM3gbv-_1VM5dYRoEFzUetda2F3kHOQhrnDRuJKwO2isgAQiC2RdRkbExJLuKrg_ZTnbF3B2zRM-rk6Cwh5RIfGYbfsR62C6YC6XnchvVsG564-1gmr6j_xUvWZjfarpM-diXuXaMLNKCGmZUFxX1w69CIpJ7xYf-lKn8sPkVtPyJPx76_M1rHCvfTGaffyHGSBGMemTsG6bNRfM,https://serpapi.com/search.json?data_id=0x94cb190881502b93%3A0xd4564166818abaa3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb190881502b93%3A0xd4564166818abaa3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkytQgQgZy5QRo7qKgWZBVtQ,"Lambari, MG",lojas_presentes,2025-07-28T22:25:01.318035,COMPLETA
6,Papelaria São Luiz,ChIJwydYx6YZy5QRzPC1QCUkS-A,0x94cb19a6c75827c3:0xe04b242540b5f0cc,16162051430167212236,/g/1pv0j0yp4,4.7,3,Loja de presentes,Loja de presentes,novelty_store,"R. Tiradentes, 335, Lambari - MG, 37480-000, Brasil",-21.974505999999998,-45.350182,+55 35 3271-1164,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento nota 10.
Tudo q vc precisa , acha la
Maravilhosa!!😃😃""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=mJ5wcL-mYrgFFDxSvnFKSw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=184.42516&pitch=0&thumbfov=100,https://serpapi.com/images/url/t90ltHicHc07DsIgAADQ27CVT9OaakJcDIO6dXIylCKQ8Asg1Nt4LW-j8QLvfd66lJgPCOWSpCzVyBbNJm3uIocqBGUljyZDERyqBBX9dIvnxh4j98Gs1J3HJq6duyXF2Gmbq2eXuQGx3IU10heaJU9CQ9V-YgorVDGDRicMNN334MUbJdMAh34kOxBNEZpi8F8eoVKC8ReLADm_,https://serpapi.com/search.json?data_id=0x94cb19a6c75827c3%3A0xe04b242540b5f0cc&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb19a6c75827c3%3A0xe04b242540b5f0cc&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJwydYx6YZy5QRzPC1QCUkS-A,"Lambari, MG",lojas_presentes,2025-07-28T22:25:01.318035,COMPLETA
7,LOJA DO ZECA,ChIJkytQgQgZy5QRONdIRXHq2qc,0x94cb190881502b93:0xa7daea714548d738,12095237521471493944,/g/1tfrt0s1,4.5,13,"Loja de artigos para cama, mesa e banho","Loja de artigos para cama, mesa e banho, Loja de roupas para bebês, Loja de lingerie, Loja de roupas esportivas",linens_store,"R. José Ieno, 76 - CENTRO, Lambari - MG, 37480-000, Brasil",-21.9748126,-45.350348499999996,+55 35 99924-1033,https://www.instagram.com/lojadozecalambari/,Fechado ⋅ Abre ter. às 08:45,Fechado ⋅ Abre ter. às 08:45,segunda-feira: 08:45–18:00; terça-feira: 08:45–18:00; quarta-feira: 08:45–18:00; quinta-feira: 08:45–18:00; sexta-feira: 08:45–18:00; sábado: 08:30–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente loja , ótimo atendimento e bons preços.""",https://lh3.googleusercontent.com/p/AF1QipO0AW576G9Ly10PD2x75Ahug5w1xbX99MPMfE8f=w115-h92-k-no,https://serpapi.com/images/url/2FYguHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb-AYbmpu5m7pU2loEOBiVGFu6phRmm5abliRFGFp6Rvgm-ZqkWZbbmhoqpthaaSbrZuXDwBssh-7,https://serpapi.com/search.json?data_id=0x94cb190881502b93%3A0xa7daea714548d738&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb190881502b93%3A0xa7daea714548d738&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkytQgQgZy5QRONdIRXHq2qc,"Lambari, MG",lojas_presentes,2025-07-28T22:25:01.318035,COMPLETA
8,Unicor,ChIJ51U4HKYZy5QR8tCWhcm034I,0x94cb19a61c3855e7:0x82dfb4c98596d0f2,9430454922359787762,/g/11fn0d21yr,4.9,25,Loja de Roupa,"Loja de Roupa, Loja de acessórios para dispositivos móveis, Fornecedor de incenso, Loja de moda masculina, Loja de camisetas, Tabacaria",clothing_store,"Rua Afonso de, R. Afonso Vilhena Paiva, 166 - Centro, Lambari - MG, 37480-000, Brasil",-21.971828199999997,-45.349848,+55 35 99739-9497,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 08:30–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipM4M0Ko-y0b6O6xrGD3qq2GHIFkZNimB7a-vLuz=w163-h92-k-no,https://serpapi.com/images/url/kYl3FnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga-Jr4J2vW2mQZOZvVlHk7mJcWGjk7uHplh3ll5nrZJ6oW-ZTWmVbbmhmrJthaaSbrZuXDwCJqiCi,https://serpapi.com/search.json?data_id=0x94cb19a61c3855e7%3A0x82dfb4c98596d0f2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb19a61c3855e7%3A0x82dfb4c98596d0f2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ51U4HKYZy5QR8tCWhcm034I,"Lambari, MG",lojas_presentes,2025-07-28T22:25:01.318035,COMPLETA
9,Ponto Cheio,ChIJufYEJ6QZy5QRIu5tKLKA9fc,0x94cb19a42704f6b9:0xf7f580b2286dee22,17867328599333137954,/g/11g8p8hvjp,5,2,Armarinho,Armarinho,notions_store,"Centro, Tv. Dr. Pedro Magalhães Carneiro, 41, Lambari - MG, 37480-000, Brasil",-21.975343,-45.3490523,+55 35 3271-3043,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""De borracha à imagem de santos e coisas lindas para o lar.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqZ2aJG3jOjcJtIx2dxcrDyC187Fitd1WPlwrjKUJ5Bw3wEpHrJbq2M6cc_y3uM7zrvMR6WEB-7qzD5V_VLLQarcz-MedDaVB0gzC3L6u8rLQ6Sa6DDUJnRy54Ef4j57cReU_sNYg=w92-h92-k-no,https://serpapi.com/images/url/v3_-gXicDcNRToMwGADgE3U4CmUz8UEoulVQh4FFXwj-dGWILbRFBgfcHbyNfsn3e22s7c2t43QNXgmlRMdHwzUoabm0K1DfjugNAoOMcx9tG08OH27FHnH70gKz-4tbX0DTOVpvgoezrdfH127S7VPO_HDCU9zvNPsc3JQAlDMe02DRP2lGjnGIgmGhflEWSXKoNCwo5TWtivBGLBFOyLjRyYG8VYTSnMls9r345LV-ABnPS_P8Lu6mrYua_19Iqj_yn0Qf,https://serpapi.com/search.json?data_id=0x94cb19a42704f6b9%3A0xf7f580b2286dee22&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb19a42704f6b9%3A0xf7f580b2286dee22&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJufYEJ6QZy5QRIu5tKLKA9fc,"Lambari, MG",lojas_presentes,2025-07-28T22:25:01.318035,COMPLETA
10,Chocolatella,ChIJcTpXy6YZy5QRPU23SeVV5Lw,0x94cb19a6cb573a71:0xbce455e549b74d3d,13611098417093102909,/g/11bwc59csp,4.7,355,Doceria,"Doceria, Sorveteria",candy_store,"R. Tiradentes, 319 - Centro, Lambari - MG, 37480-000, Brasil",-21.9744611,-45.349971599999996,+55 35 3271-6461,https://www.chocolatella.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 10:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr8eBIEWWkHSM3T2EB8yldtnVlTbDALNwyUAzOe9TuNEElXfRa1D2Rt3Cw-4l1mpRGSEOwmI1Zhupqf5edJN5XokgbTgjred7JiVXDOk3c7QUXmbTvgE0ooS9JFfnUztJ_U7qt4wg=w122-h92-k-no,https://serpapi.com/images/url/cwUMwnicBcFLjoIwAADQE1WkYBCTWYDUD5mBCEWJGyNQWqW0SMs0ekHP4G187_NmWg9qZVmcOTMqJeVkUmSspdBE6Fkte4sOCtQKKCtY-8wV45KEe3Q6dbv8z8EQhcsnb7Q4clxFwW9inkXwSomPpwQhXrbZ1Y5gpp21AS63-yHb5ig1_d4-s2l4tAvSxMmilB2tML2PpPHi27GM0s6pvUNR9hX-p2guZe7Hm1YULx1fCu-hXUN_jA0hYD4EHRDyC0NBRZE,https://serpapi.com/search.json?data_id=0x94cb19a6cb573a71%3A0xbce455e549b74d3d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb19a6cb573a71%3A0xbce455e549b74d3d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJcTpXy6YZy5QRPU23SeVV5Lw,"Lambari, MG",lojas_presentes,2025-07-28T22:25:01.318035,COMPLETA
