position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Mania Presentes e Utilidades,ChIJ5cCWguPxo5QRoySbMIgKuY0,0x94a3f1e38296c0e5:0x8db90a88309b24a3,10212205210086614179,/g/11g8bbkx58,4.8,168,Loja,Loja,store,"R. Tupaciguara, 101 - Flamengo, Monte Alegre de Minas - MG, 38475-000, Brasil",-18.8771556,-48.8754363,+55 34 3283-0075,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npzJKHy65cAokEIBRxEcmFSBmRpGKwYe8LlxruS7fUVFSxpuv5QIipN1oHBrnjaZCrpd90VQ4q0cDQkrBhFbseMFYtzQbGwLe6pP1Qerg51Yhb5qAxzY-gbESufeacpy8xySySAYw=w80-h92-k-no-pi-0-ya240-ro0-fo100,https://serpapi.com/images/url/YLdYznicBcHdToMwGADQJ_pGmTDBxAuYsM1NY9e4pN5BLe0E2q4t8vOmZi_jOX936b1xT0HQyYeV0Fp0fHDcMq08V37FdB8I44A5cEG2TWWkzPJ63M-bmGW6LQ75eSpYX5K8P5vdcaQ8OXWTHchj83kpyWSG3xgfruY91Pvcqp_qa2vNd4ouOLoh9oJbm8uydvytpH7B9W488Y35CDG3Ig6prONbNi0URF2QoeEVM3MyzWQmGR2fxwSBTNfQgtJgroBgrtYRAqsRNDpE6B-wEkzM,https://serpapi.com/search.json?data_id=0x94a3f1e38296c0e5%3A0x8db90a88309b24a3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94a3f1e38296c0e5%3A0x8db90a88309b24a3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5cCWguPxo5QRoySbMIgKuY0,"Lamim, MG",lojas_presentes,2025-07-28T22:21:23.993285,COMPLETA
2,Super Laminense Ltda,ChIJ29dnyGi_owARuxe2FM8aP4g,0xa3bf68c867d7db:0x883f1acf14b617bb,9817595189399001019,/g/11cp7m32m0,4.4,115,Supermercado,Supermercado,supermarket,"Rua Souza Rêgo, 10, Lamim - MG, 36455-000, Brasil",-20.7883337,-43.4727986,,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–20:00; terça-feira: 07:00–20:00; quarta-feira: 07:00–20:00; quinta-feira: 07:00–20:00; sexta-feira: 07:00–20:00; sábado: 07:00–20:00; domingo: 08:00–12:00,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC, Pluxee","Entrega sem contato, Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipM11OY779OU___XV8RfSP9tNNdpR9mUGJFjTJ4J=w80-h106-k-no,https://serpapi.com/images/url/BdoDt3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga2joH2lubukfGh8fHxFmEZQWHGBZ4ueXUhBkmRvq7uWWFeJl4mVbbmGgm2FoYKabrZuXDwCCkiA9,https://serpapi.com/search.json?data_id=0xa3bf68c867d7db%3A0x883f1acf14b617bb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3bf68c867d7db%3A0x883f1acf14b617bb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ29dnyGi_owARuxe2FM8aP4g,"Lamim, MG",lojas_presentes,2025-07-28T22:21:23.993285,COMPLETA
3,Mimos e Cheiros Presentes,ChIJ2fingXG-pgARVtYGtbXTsVk,0xa6be7181a7f8d9:0x59b1d3b5b506d656,6463179717633037910,/g/11cly516nq,5,54,Loja de presentes,Loja de presentes,novelty_store,"R. Risolêta Fernandes, 290 - Barreiro, Belo Horizonte - MG, 30640-620, Brasil",-19.9820438,-44.0272284,+55 31 2526-9316,http://www.instagram.com/mimosecheiros/,Fechado ⋅ Abre ter. às 10:00,Fechado ⋅ Abre ter. às 10:00,segunda-feira: 10:00–17:30; terça-feira: 10:00–17:30; quarta-feira: 10:00–17:30; quinta-feira: 10:00–17:30; sexta-feira: 10:00–17:30; sábado: 10:00–12:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMQfEIMBkeShtRCK3jydq9tRbiOw7ov0Zg2cY5I=w122-h92-k-no,https://serpapi.com/images/url/kNJzEXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG5jm6unrlJ0anFES5OxtnFWZUmhZEpSU6V9unl9mEJVulBxp6mlbbmhkpJthaaSbrZuXDwCwcyFr,https://serpapi.com/search.json?data_id=0xa6be7181a7f8d9%3A0x59b1d3b5b506d656&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6be7181a7f8d9%3A0x59b1d3b5b506d656&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2fingXG-pgARVtYGtbXTsVk,"Lamim, MG",lojas_presentes,2025-07-28T22:21:23.993285,COMPLETA
4,Truta Grifes,ChIJg8RfArS_owARqU5d0LJn7gk,0xa3bfb4025fc483:0x9ee67b2d05d4ea9,715623408496103081,/g/11h4rx371g,5,4,Loja de roupas para jovens,Loja de roupas para jovens,youth_clothing_store,"R. Egídio de Assis Réis, 62 - Centro, Lamim - MG, 36455-000, Brasil",-20.789145899999998,-43.4711924,+55 31 98111-1484,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–20:00; terça-feira: 09:00–20:00; quarta-feira: 09:00–20:00; quinta-feira: 09:00–18:30; sexta-feira: 09:00–22:00; sábado: 09:00–22:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np33ii40E3Oj8GiYXxZEBoOILkp6phdo-EEL4U-557xO7Zr6o-rBzcKHTXLjLQb49B91LPoixg3Pbry3zRULh5J1dGIMUqnwZiAg-4EQHfnpxEtP3mLeG6_hETEbwY5bxLuNb0B=w80-h106-k-no,https://serpapi.com/images/url/8zd6ZnicBcFbjoIwFADQFV2BtKBMMh9iGnzUASeSKD8mRWzro7fSGjrubxYxu5lz_n6V99Z9RNFdkYlElPf-5fqhQ-N74ycdPiJpHXQOXDRf5IoaS4jWNGakus5KfTyElhVYrfjNZladERjjtIE0nYZq2g4ZwlC8u81yf-BXvhM0L_KE16iDJLUYfsj7u-EqXSfncrVtnmZs9VwCZbvlxdjAfE0evC-zk2J7JsZjKgJ_fYm4-BxnMagkzuAGBv8BFXBC3g,https://serpapi.com/search.json?data_id=0xa3bfb4025fc483%3A0x9ee67b2d05d4ea9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3bfb4025fc483%3A0x9ee67b2d05d4ea9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJg8RfArS_owARqU5d0LJn7gk,"Lamim, MG",lojas_presentes,2025-07-28T22:21:23.994284,COMPLETA
5,Presente Mania,ChIJZ3HTQBFhoQARnt7vuqF0TvU,0xa1611140d37167:0xf54e74a1baefde9e,17676193825450614430,/g/11qnk90z31,5,6,Loja de presentes,Loja de presentes,novelty_store,"R. Barão de Pouso Alegre, 854 - São Dimas, Conselheiro Lafaiete - MG, 36407-108, Brasil",-20.6665085,-43.8051189,+55 31 99188-4495,https://instagram.com/presentemanialafa?igshid=17vp8sa6huewe,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPiGcbqf9M_oS8CZakixBUyS_rbJCW0zSTLitce=w92-h92-k-no,https://serpapi.com/images/url/K3U0nnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkOmenFSYZukbnx9s4RyVmJ1Z4RRaGRxflOTlHG5QFRzik1mSnGpbbmmkmwHE2bp5-QCeZiHN,https://serpapi.com/search.json?data_id=0xa1611140d37167%3A0xf54e74a1baefde9e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1611140d37167%3A0xf54e74a1baefde9e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJZ3HTQBFhoQARnt7vuqF0TvU,"Lamim, MG",lojas_presentes,2025-07-28T22:21:23.994284,COMPLETA
6,BRAINS CALÇADOS & CIA. LAMIM,ChIJrc85HC-_owARoHsCgLlH24o,0xa3bf2f1c39cfad:0x8adb47b980027ba0,10005669859175857056,/g/11lf036nnd,5,1,Loja de calçado,Loja de calçado,shoe_store,"Rua Professor, R. Leôncio Chagas, 20 - Centro, Lamim - MG, 36455-000, Brasil",-20.789265999999998,-43.473026499999996,+55 31 99936-7533,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,"""Amei a experiência com a empresa!""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=GYulRHrNN5NCqtKxCA58Tg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=98.7198&pitch=0&thumbfov=100,https://serpapi.com/images/url/K2CFxHicHc1RCsIgGADg2_iWumDkAonYQ0Gwh-ilp3D2p4Kbpv_mukz36jZFF_i-z9sixrxlLGMCwNlBiW4Bn1dRUROC8aCiy1SHgc0VQzsN_aic30U1BneXh-vkz8fUdXXXPvG0tPtaXAzR_U17ByPKDCppS035iSncqYmZFCk4sbJZk5cqshF0UzWCRIfaSk7-xyPMsuL8C_r5OPM,https://serpapi.com/search.json?data_id=0xa3bf2f1c39cfad%3A0x8adb47b980027ba0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3bf2f1c39cfad%3A0x8adb47b980027ba0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJrc85HC-_owARoHsCgLlH24o,"Lamim, MG",lojas_presentes,2025-07-28T22:21:23.994284,COMPLETA
7,Casa Auxiliadora,ChIJFY7nami_owARa8xD05VJ0do,0xa3bf686ae78e15:0xdad14995d343cc6b,15767464678244207723,/g/11c5r5p7t9,3.9,8,Loja de Roupa,Loja de Roupa,clothing_store,"Whatsapp:(31)7174 - 4668____, Praca Divino Espirito Santo, 8, Lamim - MG, 36455-000, Brasil",-20.791349999999998,-43.472974,+55 31 3754-1161,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=q71GGWvY7VW9jxhcoVqgHQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=59.623116&pitch=0&thumbfov=100,https://serpapi.com/images/url/XMCb5HicHc1NEoIgGADQ27CLH5s0m_mmpW3b6LRqEAlwUFAI7DZdq9vUdIH3Pm8dow8nQkJcpYzJyOzNJm3YeY6Vc8pK7k3Awk0kMRL1c-pnbuzZ89mZAZaKNU2XblXb1eOmhWsXdbki0d-FNXKOECRfhcYq_8TVDVj5gDIcKdJQF-jFMxxqXBZ7xkrkTRQaKPovD5eAUfoFeng5lg,https://serpapi.com/search.json?data_id=0xa3bf686ae78e15%3A0xdad14995d343cc6b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3bf686ae78e15%3A0xdad14995d343cc6b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFY7nami_owARa8xD05VJ0do,"Lamim, MG",lojas_presentes,2025-07-28T22:21:23.994284,COMPLETA
8,Mil Presentes,ChIJLdH9dGG-pgAR-0X2ncNztls,0xa6be6174fdd12d:0x5bb673c39df645fb,6608596787218761211,/g/1ptxhbzkr,4.8,5,Loja de Presentes,Loja de Presentes,gift_shop,"R. Maria da Silva Gomes, 27 - Tirol, Belo Horizonte - MG, 30662-290, Brasil",-19.990999199999997,-44.035255799999995,+55 31 3087-5521,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=n9tNTXWZBxEMeHgImeTV8A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=148.18224&pitch=0&thumbfov=100,https://serpapi.com/images/url/NXzZiHicHc1RCsIgGADg2_iW07EHF0gUBPVQT6Oil3D2p4JTmX9z3aZrdZuiC3zf520RU15WVcYRACcHJbkZfF4kRU2MxoNKLlMdh2riFdrn0Afl_CqpEN1dhhaP3eV83czbA-zMfoDuJNZE9zftHQSUGdSoLTXlJ47xTk3KpEjBiJVtTV6qSN4IykVdNyQ51FYy8l8ecZKcsS9x9Tlq,https://serpapi.com/search.json?data_id=0xa6be6174fdd12d%3A0x5bb673c39df645fb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6be6174fdd12d%3A0x5bb673c39df645fb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJLdH9dGG-pgAR-0X2ncNztls,"Lamim, MG",lojas_presentes,2025-07-28T22:21:23.994284,COMPLETA
9,Top Moveis,ChIJW6zAbWi_owARqf7ZyTNftUY,0xa3bf686dc0ac5b:0x46b55f33c9d9fea9,5095083229474061993,/g/11c2pd1qn3,4.1,13,Loja de móveis,Loja de móveis,furniture_store,"R. Napoleão Réis, 12 - Campo Belo, Lamim - MG, 36455-000, Brasil",-20.7917022,-43.4728977,+55 31 3754-1307,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Entrega no mesmo dia",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=29EwxYKDN3BT8I8gXuTBLg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=94.22527&pitch=0&thumbfov=100,https://serpapi.com/images/url/wD3g9HicHc3BDcIgFADQbbgJFDW2JsSk0YPReOpBT4biF0hoIeW31Gmcy200LvDe520RY9oylnAAwMlBjm4GnxZRUROC8aCiS1SHjk0FQzt2ba-c30XVB_eQojrk-XbaX5Z1Ux5Lcx2b-myIbu_aO-hRJlCDttTknziEBzUxkSxLTqysBHmpLKsVFWItNiQ61FZy8k-eYZIF518HLTiq,https://serpapi.com/search.json?data_id=0xa3bf686dc0ac5b%3A0x46b55f33c9d9fea9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3bf686dc0ac5b%3A0x46b55f33c9d9fea9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJW6zAbWi_owARqf7ZyTNftUY,"Lamim, MG",lojas_presentes,2025-07-28T22:21:23.994284,COMPLETA
10,Loja da Vilma,ChIJ2-Id8oC-pgARyBWHG_a6OdU,0xa6be80f21de2db:0xd539baf61b8715c8,15364517169937716680,/g/11cjj077dy,4.2,10,Papelaria,"Papelaria, Loja de produtos de beleza, Loja de produtos de papelaria, Loja de cosmético, Loja de Presentes, Loja de Brinquedos",stationery_store,"R. Antônio Almeida Júnior, 195 - Diamante, Belo Horizonte - MG, 30627-175, Brasil",-19.998757899999998,-44.0228146,+55 31 98779-1487,https://linktr.ee/lojadavilma195,Fechado ⋅ Abre ter. às 10:00,Fechado ⋅ Abre ter. às 10:00,segunda-feira: 10:00–20:00; terça-feira: 10:00–20:00; quarta-feira: 10:00–20:00; quinta-feira: 10:00–20:00; sexta-feira: 10:00–20:00; sábado: 10:00–19:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMBQOEdiyD4SVAeUXShrvsItibZJZEO_WoY6tQ_=w122-h92-k-no,https://serpapi.com/images/url/qlydWnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng6xTo75qSWeliEhzmmBoaEZxRVFbsWZKZFOUV5eofH54faVYSGG9bbmhkpJthaaSbrZuXDwCy_SGt,https://serpapi.com/search.json?data_id=0xa6be80f21de2db%3A0xd539baf61b8715c8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6be80f21de2db%3A0xd539baf61b8715c8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2-Id8oC-pgARyBWHG_a6OdU,"Lamim, MG",lojas_presentes,2025-07-28T22:21:23.994284,COMPLETA
