position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,"Ateliê AdoçArte - Café,Doceria e artesanato - Lavras Novas",ChIJE3DBWkT1owARurYhNXeh0N4,0xa3f5445ac17013:0xded0a1773521b6ba,16055510204940400314,/g/11h1kynx6p,4.8,191,Bebidas com chocolate,"Bebidas com chocolate, Café, Loja de bolos, Chocolateria, Confeitaria, Buffet de doces e sobremesas, Artesanato",chocolate_cafe,"R. Nossa Sra. dos Prazeres, 417 - Lavras Novas, Ouro Preto - MG, 35418-000, Brasil",-20.4771902,-43.5168576,+55 31 97124-4398,https://linktr.ee/atelieadocarte,Fechado ⋅ Abre qui. às 13:00,Fechado ⋅ Abre qui. às 13:00,segunda-feira: 09:00–17:00; terça-feira: Fechado; quarta-feira: Fechado; quinta-feira: 13:00–19:00; sexta-feira: 13:00–19:00; sábado: 09:00–19:00; domingo: 09:00–18:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Para viagem, Refeição no local",,,https://lh3.googleusercontent.com/p/AF1QipOq3tZqFlCcK_w_5F6EczccykleH8uhouISDCe5=w138-h92-k-no,https://serpapi.com/images/url/9-ZyoHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX2hcElXoluOc7B1fHm_qZuaaXJWcXJmdk-phUZqRX-oZ7OKcampbbmhsoZthaaSbrZuXDwC-EiHU,https://serpapi.com/search.json?data_id=0xa3f5445ac17013%3A0xded0a1773521b6ba&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3f5445ac17013%3A0xded0a1773521b6ba&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJE3DBWkT1owARurYhNXeh0N4,"Lavras Novas, MG",lojas_presentes,2025-07-28T22:34:59.674858,COMPLETA
2,Cenário Lavras Novas,ChIJf6HDWPH0owARTPwvGCXOygM,0xa3f4f158c3a17f:0x3cace25182ffc4c,273257386124246092,/g/11c1s1yfj1,4.9,39,Pousada,Pousada,inn,"R. Alto do Campo, 603 - Lavras Novas, Ouro Preto - MG, 35400-000, Brasil",-20.470457,-43.5156565,+55 31 99460-6060,http://www.cenariolavrasnovas.com.br/,,,,,,,,,,"""A sala de jantar possue uma mesa extensa com cadeiras.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npwE5bAG0JZ-1o8dZYAR36q7JGg3JKrhap2Q8qrvnK4h8-wtdx5V8Q900R9N_ViHxP-rthBCmnXTncqKNX8acSkXHRjp42U0sz-As6Fgiqcg_3oaXvgGH0NS9TT4JZch_vmkLc=w163-h92-k-no,https://serpapi.com/images/url/oIVuyHicBcFRboIwGADgE_1SKLLWZA9oFAILmYgGeSFYScuQttAKZufbJXYbv-__T1irzcZxHgKvuFL80T5NOzElbSvtiqnB4doAM2CccEeFL_WyX9_CCCUVuIrcq2uY42D8SCKOk3QSjfaOZJxmmfqCwGLvr_WFHClCOc3qSxe_vmGyYrsbZFlINqZZSRp26ss4_9G-d0bmF0ITHHg3Ml5j1ZQzj2KUnWhR-EnFRD0P_Rf7XNwAg6Ae9CDVG_OiQy4,https://serpapi.com/search.json?data_id=0xa3f4f158c3a17f%3A0x3cace25182ffc4c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3f4f158c3a17f%3A0x3cace25182ffc4c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJf6HDWPH0owARTPwvGCXOygM,"Lavras Novas, MG",lojas_presentes,2025-07-28T22:34:59.674858,COMPLETA
3,Empório com Arte,ChIJza6irov0owARGD7cfpcgALo,0xa3f48baea2aecd:0xba0020977edc3e18,13402748326095109656,/g/11gbzb7tpx,4.5,83,Empório gourmet,Empório gourmet,gourmet_grocery_store,"R. da Fonte, 89 - Lavras Novas, Ouro Preto - MG, 35400-000, Brasil",-20.4772212,-43.5194318,+55 31 99990-7192,https://instagram.com/emporiocomartessesmarias?utm_medium=copy_link,Fechado ⋅ Abre ter. às 10:00,Fechado ⋅ Abre ter. às 10:00,segunda-feira: 10:00–16:00; terça-feira: 10:00–16:00; quarta-feira: 10:00–16:00; quinta-feira: 11:00–16:00; sexta-feira: 10:00–21:00; sábado: 10:00–21:00; domingo: 10:00–21:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Almoçamos ontem no Empório com Arte, e foi uma experiência incrível!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqLdeQSoncq_KWwFCJqZFRFSD1hP7xJGnHi9yGf5SQ2-h-1QLK8muGddb4doLsIa378bjBjapr0FaBaF8-C-CzKkFi8fvTFa-St5Kxuhygm87zwYVP4rLp1XaMkzQpnJmEwG9pPCg=w80-h142-k-no,https://serpapi.com/images/url/i1iIznicBcHdboIwGADQJ_pEEEMx2cWslg0wgbHo5o2pgK0CbaFFfl5wz-Db7JzXHzdG6Y1l1Xy1YFKyuux12eVSmFKYRS4biykNuQZtvWOfu6KNizLNpMjbS3QaCA7bM_ki2c7miTeGgfi4-1NwW2epAxzsNI5Q0wdFcXULGetPuvLQ9bF9UNUtCd1SggADnqOK3NHt-U0oZGYdjT2fWIO8efg9Jm4XK_uHHqo5VSJs9kPgqwSztwEtgduuAxUI-Q8gDkTR,https://serpapi.com/search.json?data_id=0xa3f48baea2aecd%3A0xba0020977edc3e18&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3f48baea2aecd%3A0xba0020977edc3e18&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJza6irov0owARGD7cfpcgALo,"Lavras Novas, MG",lojas_presentes,2025-07-28T22:34:59.674858,COMPLETA
4,Pousada Ecológica Vale das Cores - Lavras Novas MG,ChIJEeuaMvH0owARNEi_qq-VnE0,0xa3f4f1329aeb11:0x4d9c95afaabf4834,5592509419003791412,/g/11bx5649sh,4.4,211,Pousada,Pousada,inn,"R. da Lua, 127 - Lavras Novas, Ouro Preto - MG, 35418-000, Brasil",-20.468719399999998,-43.517023699999996,+55 31 99885-3055,,,,,US$ 50,,,,,,"""A cidade e o isolamento acústico do chalé são incríveis""",https://lh3.googleusercontent.com/p/AF1QipNhkteNRwP9eYpejtMGij0cjE97DC3pJgZe4_YQ=w122-h92-k-no,https://serpapi.com/images/url/i2KmLHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl5FdkuoXVB5gmRpZkJpV4uuemWWQnOVqae7ibFzglR6VahIfGWhbbmhkpJthaaSbrZuXDwC50SFy,https://serpapi.com/search.json?data_id=0xa3f4f1329aeb11%3A0x4d9c95afaabf4834&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3f4f1329aeb11%3A0x4d9c95afaabf4834&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEeuaMvH0owARNEi_qq-VnE0,"Lavras Novas, MG",lojas_presentes,2025-07-28T22:34:59.674858,COMPLETA
5,Empório do Artesão,ChIJRyvPwA31owARMWwbHugZtKE,0xa3f50dc0cf2b47:0xa1b419e81e1b6c31,11651966620642536497,/g/11h_cbgrqc,5,2,Artesanato,Artesanato,handicraft,"R. Nossa Sra. dos Prazeres, 287 - Lavras Novas, Ouro Preto - MG, 35400-000, Brasil",-20.4770479,-43.5149973,+55 31 99975-3784,https://instagram.com/emporio_do_artesao?igshid=1j5lf1bbr8lt6,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–17:00; terça-feira: 08:30–17:00; quarta-feira: 08:30–17:00; quinta-feira: 08:30–17:00; sexta-feira: 08:30–17:00; sábado: 08:30–18:00; domingo: 08:30–17:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no6pnyQRtqaKKzpWpjpFW2IARH7lmX8604uwkGseJH1cyEq-w-csVlKfO8go9p2j_HnRz8VwzU7Df2_QHMv42M_pq9esLoT2xare2fhk9CPzPIDWYM-HjrT6joqLIfk_SMPeL9u=w122-h92-k-no,https://serpapi.com/images/url/lcRUJnicDcvdToMwGADQJyrIJ2HUxItlbBaBCDhhuyILKTT89Cu0iOP9fAjfZp778_crjFH6xbYH8Wy1iO3AF83nGqXh0lg1jnarNKk10fb-QIUr0VPynuVmukXRpkrVqVMJ4T5nu2G8-N6Tu6z9m-bvzKnvx4ms_7cYoubDb5Eq6Com880v1u1rFzRQZSz5diGp1ES5jvEMP7eZQyN6eki3NAzKa0JYN5-9Dqc4bPrqM0l5TJfX1QEgggLpicQHGtRFNg,https://serpapi.com/search.json?data_id=0xa3f50dc0cf2b47%3A0xa1b419e81e1b6c31&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3f50dc0cf2b47%3A0xa1b419e81e1b6c31&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRyvPwA31owARMWwbHugZtKE,"Lavras Novas, MG",lojas_presentes,2025-07-28T22:34:59.674858,COMPLETA
6,@LavrasNovasMG,ChIJcZlLcgD1owARIDdVyejxPbY,0xa3f500724b9971:0xb63df1e8c9553720,13131918070594746144,/g/11vrs9wtnw,4.8,796,Atração turística,Atração turística,tourist_attraction,"R. Nossa Sra. dos Prazeres, s/n - Lavras Novas, Ouro Preto - MG, 35420-000, Brasil",-20.476672699999998,-43.5188041,+55 31 98784-7907,http://www.lavrasnovasmg.com.br/,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Serviços no local,,"""Tem muitos cafés, restaurantes e lojas de artesanato.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqFpPNfGFQIMrpc03JCi1hiY-tp2U-_ADwE96YY-Q_H6rtR2lhFzFrD413DK8cMJdzKh6uGOnKMW_NAJLW3atTFdBfZKTjetXaM_I7r5nTycS6IrScEXmhkHee1WTbzqH5jlZyv_FdOsIFw=w80-h106-k-no,https://serpapi.com/images/url/r6PkOXicBcHtFoEwAADQJ5pKzMc5fkSmDyFykj87rGnINtvo6B09gLdx7-_LjJF6bFk1czuVEFVNX5oqIrih3HSIeFiV1IBooC1vNmI9_kRys7osUBomShLbjWZXh10LYGR3D7DnN_MRLAqQ4gAqs-3WDLVI-T3H9eMhSaKyjRl8LdY8TnK88qJl7p5Mhsrp5RhnN2oOpwSHA9Xn2YfsYKh2ZH54sHtAqZNn5_YZ9G_18fPGqFzrEDWTZmgD5tgQ3AEXf3-RRrA,https://serpapi.com/search.json?data_id=0xa3f500724b9971%3A0xb63df1e8c9553720&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3f500724b9971%3A0xb63df1e8c9553720&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJcZlLcgD1owARIDdVyejxPbY,"Lavras Novas, MG",lojas_presentes,2025-07-28T22:34:59.674858,COMPLETA
7,Casa da Mata - Lavras Novas/MG,ChIJWUnsosf1owARRSxQz3sM9EE,0xa3f5c7a2ec4959:0x41f40c7bcf502c45,4752437232681364549,/g/11ssk0bwgf,4.3,17,Apartamento para aluguel de temporada,Apartamento para aluguel de temporada,holiday_apartment_rental,"R. Nossa Sra. dos Prazeres - Lavras Novas, Ouro Preto - MG, 35400-000, Brasil",-20.472628399999998,-43.5204672,+55 31 99526-5138,https://linklist.bio/Reservascasadamata,,,,,,,,,,"""Excelente hospedagem, tudo exatamente igual as fotos.""",https://lh3.googleusercontent.com/p/AF1QipMer3usbTqy17lLHzYlqOt9SeIKepirHIgPbddo=w80-h106-k-no,https://serpapi.com/images/url/Xyq8HnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm1pkXFqcFFJYaWie4-NRFZlT6F9iGZzq6Z1akFnk4ZkekJSSkm9bbmGgm2FoYKabrZuXDwDK5SJG,https://serpapi.com/search.json?data_id=0xa3f5c7a2ec4959%3A0x41f40c7bcf502c45&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3f5c7a2ec4959%3A0x41f40c7bcf502c45&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJWUnsosf1owARRSxQz3sM9EE,"Lavras Novas, MG",lojas_presentes,2025-07-28T22:34:59.674858,COMPLETA
8,Bookshop Lavras Novas,ChIJk9V4tPX0owARXkKZrrcjbzo,0xa3f4f5b478d593:0x3a6f23b7ae99425e,4210623448429970014,/g/11gfh9pctz,5,5,Livraria,Livraria,book_store,"R. Alto do Campo, 200 - Lavras Novas, Ouro Preto - MG, 35400-000, Brasil",-20.4712075,-43.519626099999996,+55 31 98870-8034,,Fechado ⋅ Abre ter. às 07:30,Fechado ⋅ Abre ter. às 07:30,"segunda-feira: 07:30–12:00, 13:00–18:30; terça-feira: 07:30–12:00, 13:00–18:30; quarta-feira: 07:30–12:00, 13:00–18:30; quinta-feira: 07:30–12:00, 13:00–18:30; sexta-feira: 07:30–12:00, 13:00–18:30; sábado: 08:30–14:00; domingo: 08:30–14:00",,,,"Cartão de crédito, Cartão de débito",,,"""Uma visita imperdível para quem aprecia arte e cultura na região!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nourg2JbmPUc92WCblEj6cTu2kNCz_w2uv4j8u-KclhYssqtAt09y0h8rN3Mt-12CWNobBL8eXw-PH5iFkNOOkuCJP7E5jgWQMNb7lW-xPWCindDNeV9nqqAz0bDuQANLPLcIeQ=w119-h92-k-no,https://serpapi.com/images/url/VSJmT3icBcHdbsIgGADQJ_psi39liRcdujhXkSZuzCsTGAFbBFtg3Xy_PcTexnP-_0yMt_CUZdZMJ9p7bVUKapDeReXiRPprpm8BZICQVQSbmfNp0GgnruxdYsSJsJt2IY8JdZTczyNK37O2TPAmrTmF0Mcq5vg3N-VAp_sIBSKcevFcl-pzBLadX146ejh0iezYcjNvNW_2VCwthx_GycV9ran6wK7vq3su1qmpaM1q-aqa1VgUGAxG0IHzD77bQ_8,https://serpapi.com/search.json?data_id=0xa3f4f5b478d593%3A0x3a6f23b7ae99425e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3f4f5b478d593%3A0x3a6f23b7ae99425e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJk9V4tPX0owARXkKZrrcjbzo,"Lavras Novas, MG",lojas_presentes,2025-07-28T22:34:59.674858,COMPLETA
9,Encanto das Artes,ChIJb94LhL31owARKNzKvv7VYbc,0xa3f5bd840bde6f:0xb761d5febecadc28,13214078071781121064,/g/11ft053g2l,4.5,2,Artesanato,Artesanato,handicraft,"R. Nossa Sra. dos Prazeres, 632 - Lavras Novas, Ouro Preto - MG, 35418-000, Brasil",-20.47696,-43.518846599999996,+55 31 98907-7046,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–16:00; terça-feira: 09:00–16:00; quarta-feira: 09:00–16:00; quinta-feira: 09:00–16:00; sexta-feira: 09:00–16:00; sábado: 09:00–19:00; domingo: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nptzJJbQvpLlXMeEtVJ0cPOudPlhajOUyGZ8gBb_dRcKPeDjAOuaxNfrnQSJUcguq8vuWWMvVW3Wp9J_GIKeArALrw-0Qo6M-lnzegFbnsajvAlh4h-k6a1rz2lIBctSL3NPqU4=w80-h92-k-no-pi0-ya180-ro0-fo100,https://serpapi.com/images/url/zbXKM3icDcjdboIwGADQJ_qkCDGwZBd1UyOCwAyy7MZAre2wa2t_cPKk29ts5_L8_nDntH0KAsGjGVOKCeotNURJR6WbEfUVMG2BWLABfkl5LLWbsqyvR52L94Ku3DFDpCr9uRK8G8rmsflI2LI_nd_IrqKvAy59972_GFkfsoYwf0tG37bFeGyjVqfZabPdUWxwbu6AarUoQMiJsnUvbTeMWPCYw3XRhWaai-2SuEMe7atbEz_fEwQ8ncMVpAL9ieDRhf9lFIKLChH6AwNBS50,https://serpapi.com/search.json?data_id=0xa3f5bd840bde6f%3A0xb761d5febecadc28&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3f5bd840bde6f%3A0xb761d5febecadc28&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJb94LhL31owARKNzKvv7VYbc,"Lavras Novas, MG",lojas_presentes,2025-07-28T22:34:59.674858,COMPLETA
10,Lavrasnove-se,ChIJGc70rw_1owARFNEiaILHm_M,0xa3f50faff4ce19:0xf39bc7826822d114,17553843335513428244,/g/11wh_9yv_3,,0,Loja de presentes,Loja de presentes,novelty_store,"R. Nossa Sra. dos Prazeres, 862 - Lavras Novas, Ouro Preto - MG, 35400-000, Brasil",-20.4762545,-43.521201999999995,+55 31 99912-3956,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/p/AF1QipPCODHK5eRDfmxNw4xJVmMyAcB4cSL20z_1yUC_=w80-h142-k-no,https://serpapi.com/images/url/wsmtxnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4Ozv4uFtmhrkkpZb4VduUuEVlutb6ZjsZJIc7GNkUBVvWBnqHG9bbmGgm2FoYqSbrZuXDwCc7SDm,https://serpapi.com/search.json?data_id=0xa3f50faff4ce19%3A0xf39bc7826822d114&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3f50faff4ce19%3A0xf39bc7826822d114&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJGc70rw_1owARFNEiaILHm_M,"Lavras Novas, MG",lojas_presentes,2025-07-28T22:34:59.674858,COMPLETA
