position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Loja Capricho Presentes,ChIJ98S06rj1nQARN2VysutzhhE,0x9df5b8eab4c4f7:0x118673ebb2726537,1262824201672353079,/g/11g4j3bm3p,4.8,62,Loja de Roupa,Loja de Roupa,clothing_store,"R. José Gióia, 240 - Vila Ana Rosa Novaes, Cruzeiro - SP, 12705-360, Brasil",-22.57324,-44.972486499999995,+55 12 3144-2521,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""A melhor loja de roupas 🤩
Preço incrível, atendimento excelente""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npCgB5D9WbBYHX7oMSRPwZQysGRCfjTXQeVSNBRYciIcEFUkXxqk79r1Bwp3o2yNMxxKeolVpOTw2WRRKpGKZfN0ptRa4ZcXjJfc99KEgGRx8pHrbDAbgSTqUCxppusCPmoEeBz=w101-h92-k-no,https://serpapi.com/images/url/xzdpP3icBcFBcoIwFADQE0UE7dh0xoWJiJaRakBFdpIJQUH-l8Qher8eorfpe3-_tbVovjyvrScjDaBb9TSql9BZ1dmRhLun0RBpiPEWnNbTDrlmH0t6Ktl5nc9gm4rdUOxfJhK8umX5Xh3ThImzvG5kuDo0uXs0M9r7bMAJBK9k61ysoD3iTzYEJyFijOKiSsZoxWVayPz2XUlK41BHwn3iui-Xi1Kn2ePAHeLT8N0dQsXe88Ef-6SmAWlIB__otkV7,https://serpapi.com/search.json?data_id=0x9df5b8eab4c4f7%3A0x118673ebb2726537&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9df5b8eab4c4f7%3A0x118673ebb2726537&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ98S06rj1nQARN2VysutzhhE,"Lavrinhas, MG",lojas_presentes,2025-07-28T22:37:57.380803,COMPLETA
2,Empório Caminho da Serra,ChIJrdlOk4XxnQARMXUEikqrEIw,0x9df185934ed9ad:0x8c10ab4a8a047531,10092755101568759089,/g/11jsl4flbg,4.9,21,Loja,Loja,store,"Rod. Dep. Nesralla Rubez - Pinheiros, Lavrinhas - SP, 12760-000, Brasil",-22.5427216,-44.9121382,+55 12 99740-3542,http://instagram.com/_emporiocaminhodaserra/,,,,,,,"Cartão de crédito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,"""Fácil acesso e com possibilidade de estacionar próximo a loja.""",https://lh3.googleusercontent.com/p/AF1QipM37i8u26gwHz2MQD76rgYLouVY_LYQnlQT_vED=w80-h106-k-no,https://serpapi.com/images/url/5mN3dHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga2yeaVFqZJZe7lFl5BvoYm5WlB7pk18aFhnvExmYlxMYEl_m6mJbbmGgm2FoYKabrZuXDwCaeyEP,https://serpapi.com/search.json?data_id=0x9df185934ed9ad%3A0x8c10ab4a8a047531&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9df185934ed9ad%3A0x8c10ab4a8a047531&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJrdlOk4XxnQARMXUEikqrEIw,"Lavrinhas, MG",lojas_presentes,2025-07-28T22:37:57.380803,COMPLETA
3,Vila Valentina presentes,ChIJ76ivs7w7pwARbnpXDb2tAfA,0xa73bbcb3afa8ef:0xf001adbd0d577a6e,17294295071563676270,/g/11h71j_1xx,4.9,29,Loja de Presentes,Loja de Presentes,gift_shop,"R. Inocêncio III, 225 - São Francisco, Pará de Minas - MG, 35661-181, Brasil",-19.8655394,-44.5935256,+55 37 99911-2916,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""Muito legal!""",https://lh3.googleusercontent.com/p/AF1QipOOvLaV40z6ZxLLMCJyuUux5pUezZv3iILEXwZ5=w80-h99-k-no,https://serpapi.com/images/url/dq_bUnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng71_mkxhmYlBlFlXh4-Pr7FVZGlpaYVoQmloVVWac6enjGlEeZWpbbmGgm2FpqZutm5cPAJGcIWw,https://serpapi.com/search.json?data_id=0xa73bbcb3afa8ef%3A0xf001adbd0d577a6e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa73bbcb3afa8ef%3A0xf001adbd0d577a6e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ76ivs7w7pwARbnpXDb2tAfA,"Lavrinhas, MG",lojas_presentes,2025-07-28T22:37:57.380803,COMPLETA
4,"Rancho do Zé João - Balneário, Pousada e Camping",ChIJh9JCERfxnQARVZGTgzhEgwA,0x9df1171142d287:0x83443883939155,36948231465439573,/g/11b6hql0tz,4.7,3749,Pousada,"Pousada, Área de camping, Área de descanso",inn,"Estr. Pinheiros - Capela do Jacu, Lavrinhas - SP, 12760-000, Brasil",-22.5193826,-44.8895945,+55 12 99729-1963,http://www.ranchodozejoao.com.br/,,,,US$ 42,,,,,,"""Excelente lugar para um passeio de casal, chalés são ótimos, recomendo!""",https://lh3.googleusercontent.com/p/AF1QipO3sQLujGD8vpL4z6XTxFCdyhLXs-HUoHqDZ-6N=w189-h92-k-no,https://serpapi.com/images/url/msKG-XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb1wc6FOa5e5iUVbgY1JlFhFS4eacUpnhE1Gs6xGa71HoEqVr5mdbbmhhqZthaaSbrZuXDwCnXSEY,https://serpapi.com/search.json?data_id=0x9df1171142d287%3A0x83443883939155&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9df1171142d287%3A0x83443883939155&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJh9JCERfxnQARVZGTgzhEgwA,"Lavrinhas, MG",lojas_presentes,2025-07-28T22:37:57.381805,COMPLETA
5,Pousada Vale das Orquídeas,ChIJh9JCERfxnQARzO1iA65xq-A,0x9df1171142d287:0xe0ab71ae0362edcc,16189158277708443084,/g/11b6hns057,4.7,211,Pousada,Pousada,inn,"Estrada Municipal Capela Jacu, 4010 - Capela do Jacu, Lavrinhas - SP, 12760-000, Brasil",-22.517729199999998,-44.8915241,+55 12 99682-7843,https://instagram.com/pouvaledasorquideas?igshid=MzRlODBiNWFlZA==,,,,US$ 101,,,,,,"""A simpatia dos proprietários e a tranquilidade do lugar conquistam.""",https://lh3.googleusercontent.com/p/AF1QipMellR88b-1G4TrCvC85F9G2_nzEV5LQOu9XGW9=w163-h92-k-no,https://serpapi.com/images/url/u0hLb3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm5qTE2RhkaRr6G4SUuRc5mxh6mbpbhSfV-UaZuoT6F9qGeEebmlbbmhmrJthaaSbrZuXDwCBmCAK,https://serpapi.com/search.json?data_id=0x9df1171142d287%3A0xe0ab71ae0362edcc&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9df1171142d287%3A0xe0ab71ae0362edcc&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJh9JCERfxnQARzO1iA65xq-A,"Lavrinhas, MG",lojas_presentes,2025-07-28T22:37:57.381805,COMPLETA
6,Arte Presentes,ChIJEQRHP4j9nwARx24-8OCg_wk,0x9ffd883f470411:0x9ffa0e0f03e6ec7,720471353366310599,/g/1tfl1fv3,4.9,75,Loja de presentes,"Loja de presentes, Loja de produtos de papelaria, Casa lar, Loja de artigos domésticos, Decorador de interiores, Loja de utensílios de cozinha, Papelaria, Loja de Brinquedos, Loja de variedades",novelty_store,"R. Dr. Francisco Sales, 284 - Centro, Lavras - MG, 37200-068, Brasil",-21.245998,-45.0007844,+55 35 98824-5786,https://www.artepresentes.com.br/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""Loja linda, arejada, funcionarias atenciosas e produtos incríveis.""",https://lh3.googleusercontent.com/p/AF1QipMHeaHv7YoG1fxpj3kNE2v1QDHTDxV91r7acpt0=w204-h92-k-no,https://serpapi.com/images/url/AZxybnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng65Ga6FFmHpnvbphWUZBlnO3nalRmGOjiEeJSEWZpWGSemFxQYmBbbmRgopthaaSbrZuXDwCh9yD4,https://serpapi.com/search.json?data_id=0x9ffd883f470411%3A0x9ffa0e0f03e6ec7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9ffd883f470411%3A0x9ffa0e0f03e6ec7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEQRHP4j9nwARx24-8OCg_wk,"Lavrinhas, MG",lojas_presentes,2025-07-28T22:37:57.381805,COMPLETA
7,Brincar Papelaria e Brinquedos,ChIJ65I8bSr0nQARHF9KOhPOzQc,0x9df42a6d3c92eb:0x7cdce133a4a5f1c,562332110468833052,/g/124yczptz,4.6,32,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. Cap. Neco, 242 - Centro, Cruzeiro - SP, 12701-350, Brasil",-22.5754317,-44.9596105,+55 12 3145-3735,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–14:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Melhor loja de presentes e papelaria da cidade de Cruzeiro SP.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noULO1hlQmXW5w2vuhmDLCntzRB6TwivDj289aPfR3_z-QFeguBL1aZSxcP6kjdT-4HRPUU3n0hFuR2_ujye2Ry2yVPNJwCYNBW3eBMO6WK3SWQAG9Q5rT1k3o6H0fYjYebfyZSKA=w122-h92-k-no,https://serpapi.com/images/url/VVEqvXicBcHbDoIgAADQLyITzGVbD15WrSwVNbOXVoaSF2gCmf1g39DfdM7vS6V8ioWmtRRNKs6rlihB-oIzSZicFLzTqqcAhQBCs12LGoynfqDTNupO2WyAL0U7z3eZ_GDHTIbHy6vh3LqGJUaXD4hWpFKOr1_P8bsIzaa-J8DY4DBNEZvSlcLwouqRQDzC8RgetoObH5wMEWcfmNkOxVlkr61o1id6g7i5mZZ5nZNbOZ7jnb0cdAgBtSBoAON_NCdEGQ,https://serpapi.com/search.json?data_id=0x9df42a6d3c92eb%3A0x7cdce133a4a5f1c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9df42a6d3c92eb%3A0x7cdce133a4a5f1c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ65I8bSr0nQARHF9KOhPOzQc,"Lavrinhas, MG",lojas_presentes,2025-07-28T22:37:57.381805,COMPLETA
8,Lucena Presentes,ChIJQRd9zDrLzJQRvQNDIKy38D8,0x94cccb3acc7d1741:0x3ff0b7ac204303bd,4607384368703538109,/g/11j1m6n171,4.7,32,Loja de presentes,Loja de presentes,novelty_store,"R. Bernardino de Campos, 476 - Centro, Cachoeira Paulista - SP, 12630-000, Brasil",-22.6653059,-45.0112563,,https://www.facebook.com/Lucenapresentescachoeirapaulista/?modal=admin_todo_tour,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:20; terça-feira: 08:30–18:20; quarta-feira: 08:30–18:20; quinta-feira: 08:30–18:20; sexta-feira: 08:30–18:20; sábado: 08:30–14:00; domingo: 09:00–12:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""lugar para ter de tudo um pouco, em armazém vale apena fazer uma visita 😉""",https://lh3.googleusercontent.com/p/AF1QipN423Z-_6VAvHgUu7AOiUXJ8U7zSNmgzRfRVY0=w163-h92-k-no,https://serpapi.com/images/url/OevtjnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ2JkHKUbbxbmWOaRHlpq7uifGRrhZRFqXhXsl5teFZQWFBZpYFtuaGasm2FppJutm5cPAGbsIEE,https://serpapi.com/search.json?data_id=0x94cccb3acc7d1741%3A0x3ff0b7ac204303bd&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cccb3acc7d1741%3A0x3ff0b7ac204303bd&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQRd9zDrLzJQRvQNDIKy38D8,"Lavrinhas, MG",lojas_presentes,2025-07-28T22:37:57.381805,COMPLETA
9,Lu presentes,ChIJU_rzOgD1nQARQwz8mMGKrf8,0x9df5003af3fa53:0xffad8ac198fc0c43,18423534214742543427,/g/11wpq56ynn,,0,Loja,Loja,store,"Av. Nesralla Rubez, 656 - Centro, Cruzeiro - SP, 12701-330, Brasil",-22.5769762,-44.959262599999995,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npZLwAlm3mH0y_EWMEQA284DyqPqv2tq46y5UdSV589dkKZbNkkRlr6dm2FKn8-ZNz1ryu-M023HMyvdEURDBZSigRdwfWfkbFf-hCzrcyBwPukauK5FDaAyBv4kERdoFFt2f1M=w122-h92-k-no,https://serpapi.com/images/url/0lIuUXicBcHbCoIwAADQL1rqvKBBD96GYEYZJfgS6tTFdFM3lfV_fUR_0zm_L5FyEkdNG4h56Dnvh3YV7dJwJlsmDw0ftX4SoBFAaH7oEYtN5Xn3h9EcE1294iKLbz50rUjN13mDcrYcZT_w_Wm7HqZpWV8ozYfFwSNEKXNBefkYi1pBpkMzydSG40ceBeX93ed474qO1qgDJPwsjQr260qrNbVRVPkq2Cwa55gjJGFnZKfdgBAQDwIKGP8DpC9EVQ,https://serpapi.com/search.json?data_id=0x9df5003af3fa53%3A0xffad8ac198fc0c43&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9df5003af3fa53%3A0xffad8ac198fc0c43&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJU_rzOgD1nQARQwz8mMGKrf8,"Lavrinhas, MG",lojas_presentes,2025-07-28T22:37:57.381805,COMPLETA
10,Cesta & Cia Presentes,ChIJVRT8JYr9nwARACFRLd-KCf0,0x9ffd8a25fc1455:0xfd098adf2d512100,18233257257528795392,/g/1vcl4_3b,4.5,25,Loja de cestas de presente,"Loja de cestas de presente, Loja de artigos domésticos, Loja de presentes",gift_basket_store,"R. Santana, 189 - Centro, Lavras - MG, 37200-000, Brasil",-21.2395499,-44.998801,+55 35 98707-6138,https://www.instagram.com/cestaeciapresentes/,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipOyzNZ9JWETL1jw-jio7XXM8iuB9o4IC2qTX8F3=w123-h92-k-no,https://serpapi.com/images/url/VTNx6XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX1nlF2XpFe4a4mOYVa6blZlvHhHha5FZ6mSZb-LpbFQYEmHhZmxbbmhkrJthaaSbrZuXDwCcoyCW,https://serpapi.com/search.json?data_id=0x9ffd8a25fc1455%3A0xfd098adf2d512100&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9ffd8a25fc1455%3A0xfd098adf2d512100&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJVRT8JYr9nwARACFRLd-KCf0,"Lavrinhas, MG",lojas_presentes,2025-07-28T22:37:57.381805,COMPLETA
