position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Srg Presentes e Decoraçoes,ChIJE4UEoKtKnwAR54QCznz6ZW8,0x9f4aaba0048513:0x6f65fa7cce0284e7,8027097324796937447,/g/11c2mcpshr,4,2,Loja de Presentes,Loja de Presentes,gift_shop,"R. Viêira Pinto, 68 - loja 5 - Lima Duarte, MG, 36140-000, Brasil",-21.8414075,-43.7932819,+55 32 98860-9064,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqqWXKJ7ujnOd2Z-bHEYYs8sGnWy6y4o_g1Byh2i42L6eZU_NERr4R-m91_c6IPobDyt36Dt70iJG3EnethMjL9WavC8N5Q8_wf5EJcpwT9WFRsK9LkR4b24fAgvMdhNKsB54Do=w122-h92-k-no,https://serpapi.com/images/url/dcr7PHicBcFbEoIgFADQFZGJaNJMH5b2ULNyaqx-nCSCXqBdynGBLaLddM7vK42pYWhZD-n0hNbiwd_AX0wrw5XpMf20RA2IAQIrmFBJVNMU-yQevG9qdcZHVM2jwwF8mKmi8zqiS2GPO4mvBKceP-7KLMpfJEdPapfMW6x1FXbG8UIz6F_jmRMpbuTyltLi9Jn4mbvxy_biRjGr2y0tpjkkNL3npMLkEojP8iyzBMYuCfWotTFGkmJ0R0r_AWBVQtM,https://serpapi.com/search.json?data_id=0x9f4aaba0048513%3A0x6f65fa7cce0284e7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4aaba0048513%3A0x6f65fa7cce0284e7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJE4UEoKtKnwAR54QCznz6ZW8,"Lima Duarte, MG",lojas_presentes,2025-07-28T22:41:09.675734,COMPLETA
2,Lar em Detalhes,ChIJyddKSeZLnwAR2TGT2v4nPc0,0x9f4be6494ad7c9:0xcd3d27feda9331d9,14789020726896832985,/g/11t366qzxj,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"Rua Olímpio Otacílio de Paula, 41 - Centro, Lima Duarte - MG, 36140-000, Brasil",-21.8439753,-43.799311599999996,+55 32 98514-3617,http://www.papelarialaremdetalhes.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNPM3duTqccxV33OoSF_N2AgubU6FN07aVfyYdW=w80-h93-k-no,https://serpapi.com/images/url/tIWZGHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF-BrnFIaUpicXBFmbOyfH-wW72fkmF6aFGrm5mdgnhiWVhmZEm5bbmGgm2FprJutm5cPAIMxIOU,https://serpapi.com/search.json?data_id=0x9f4be6494ad7c9%3A0xcd3d27feda9331d9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4be6494ad7c9%3A0xcd3d27feda9331d9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJyddKSeZLnwAR2TGT2v4nPc0,"Lima Duarte, MG",lojas_presentes,2025-07-28T22:41:09.675734,COMPLETA
3,Papelaria Compacta,ChIJ4ROnol9LnwARLUYn1xjya1c,0x9f4b5fa2a713e1:0x576bf218d727462d,6299394692310582829,/g/11rsfh89cs,5,2,Loja de Presentes,Loja de Presentes,gift_shop,"R. Antônio Carlos, 131 - Lima Duarte, MG, 36140-000, Brasil",-21.839319099999997,-43.7923662,,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMcbxEURy3zfOMpQ4e-uLZsxTXsv8-S_eMy0ZCx=w80-h142-k-no,https://serpapi.com/images/url/P8YHx3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm5xU4RoaVGlclebvWxBokqpb6hNVXBESUVxmoRscn-pbaRDlXGFbbmGgm2FoYqSbrZuXDwC8TiG9,https://serpapi.com/search.json?data_id=0x9f4b5fa2a713e1%3A0x576bf218d727462d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4b5fa2a713e1%3A0x576bf218d727462d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4ROnol9LnwARLUYn1xjya1c,"Lima Duarte, MG",lojas_presentes,2025-07-28T22:41:09.675734,COMPLETA
4,Paulinha Lembrancinhas e Personalizados,ChIJ4Yysvw-1mAARBwqBjJkL2Ik,0x98b50fbfac8ce1:0x89d80b998c810a07,9932701732280797703,/g/11fhvbkcyy,5,3,Serviços para festas infantis,"Serviços para festas infantis, Encadernador, Gráfica, Loja de produtos de papelaria, Designer Gráfico, Artesanato, Serviço de impressão de convites, Impressões, Papelaria",childrens_party_service,"R. Arlíndo Agenor de Paula, 274 - Três Porteiras, Lima Duarte - MG, 36140-000, Brasil",-21.8333315,-43.775493399999995,+55 32 99951-7644,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,,,,,,https://lh3.googleusercontent.com/p/AF1QipOKKcEWlMVku6JkBkXB81kQfVL4DkThoY1qBd_P=w163-h92-k-no,https://serpapi.com/images/url/0uJF5XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng7-2d7Bqe4xuWXWrmle2UHeFkYZgdmBbmY-KSHZKRH2lY6JQSH2BbbmhmrJthaaSbrZuXDwChIiEM,https://serpapi.com/search.json?data_id=0x98b50fbfac8ce1%3A0x89d80b998c810a07&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98b50fbfac8ce1%3A0x89d80b998c810a07&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4Yysvw-1mAARBwqBjJkL2Ik,"Lima Duarte, MG",lojas_presentes,2025-07-28T22:41:09.675734,COMPLETA
5,Paper Blue,ChIJ6aDn9jk1nwARqoXZJGtxAGs,0x9f3539f6e7a0e9:0x6b00716b24d985aa,7710287267051963818,/g/11sbh6bhsm,5,2,Papelaria,Papelaria,stationery_store,"R. Padre Pedro Nogueira, 244 - loja 01 - Cruzeiro, Lima Duarte - MG, 36140-000, Brasil",-21.8486576,-43.8131667,+55 32 99999-5167,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""a melhor papelaria e com uma grande variedade de produtos""",https://lh3.googleusercontent.com/p/AF1QipPJygjls87ZxZe6emegm3NuB--HDpuhRBX21SAr=w115-h92-k-no,https://serpapi.com/images/url/HcqKrXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4FWZnpVTbGEeVRGVapaam5qea-xX6qSr6-FSUJoR5BRhZBjsWGRbbmhoqpthaaSbrZuXDwCy9CE9,https://serpapi.com/search.json?data_id=0x9f3539f6e7a0e9%3A0x6b00716b24d985aa&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f3539f6e7a0e9%3A0x6b00716b24d985aa&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6aDn9jk1nwARqoXZJGtxAGs,"Lima Duarte, MG",lojas_presentes,2025-07-28T22:41:09.675734,COMPLETA
6,Criativa,ChIJ5YVwD_9LnwARnL3NiyjRTaM,0x9f4bff0f7085e5:0xa34dd1288bcdbd9c,11767291373463387548,/g/11q97tmxyq,5,2,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. Viêira Pinto, 44 - Centro, Lima Duarte - MG, 36140-000, Brasil",-21.8412322,-43.7934103,+55 32 98402-4444,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 08:30–13:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,"""Muita variedade ótimo atendimento""",https://lh3.googleusercontent.com/p/AF1QipO8wpASZlWoQ6j5aJRp4l0pMnSBjDbshaS032RY=w163-h92-k-no,https://serpapi.com/images/url/DAlt3XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb1Fe4BgclROeH2iWZZroFVRgkmNQ4JsX7JTlklSckRhsYGwUFGlbbmhmrJthaaSbrZuXDwCnNiEM,https://serpapi.com/search.json?data_id=0x9f4bff0f7085e5%3A0xa34dd1288bcdbd9c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4bff0f7085e5%3A0xa34dd1288bcdbd9c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5YVwD_9LnwARnL3NiyjRTaM,"Lima Duarte, MG",lojas_presentes,2025-07-28T22:41:09.675734,COMPLETA
7,Casamarela,ChIJaUog9jVPnwARk0XDEbnzGIg,0x9f4f35f6204a69:0x8818f3b911c34593,9806856164791764371,/g/11gd4r4q3k,4.5,6,Loja de Presentes,Loja de Presentes,gift_shop,"Conceição da Ibitipoca, Lima Duarte - MG, 36140-000, Brasil",-21.721817899999998,-43.924592399999995,,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,"segunda-feira: 09:00–12:00, 14:00–18:00; terça-feira: 09:00–12:00, 14:00–18:00; quarta-feira: 09:00–12:00, 14:00–18:00; quinta-feira: 09:00–12:00, 14:00–18:00; sexta-feira: 09:00–12:00, 14:00–18:00; sábado: 09:00–12:00, 14:00–19:00; domingo: 09:00–18:00",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""As camisas são muito bonitas.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrLgr0UeqMqODF5pNOzOt76t3_OjnljZGSncTagX8f0GY0HyGD-ZSynqBpOavHkwdnKwLm9NxXTOlmb96r5-B7zS4kKAoVVc3gU4BXzoTPCc-vnZxQ7R89jbg_qRzNnlUuQ3YM=w122-h92-k-no,https://serpapi.com/images/url/T6uZ4XicBcHdEoFAGADQJ1qlX2vGhTQygxaVSTdGK9vU9m21S_R8XsLbOOf3LZVq5VzTeGlOmBCMF09Z9FSAKkBNqGg01kpEJZLacoVLC_od6_Wk6PYd8dd2G5KRKNdR5pVUwKssiIDGN5bOHnpw0TefwEdZ9IHOa8nttamHO2yHXYPDdxoT3uTY6W3kuWNk1dulOJ-pyRLLS0cRH1YUvSB7H93TDFc5u3anMQSePI_mZb8YpoaBSmygGoH4A78PRMs,https://serpapi.com/search.json?data_id=0x9f4f35f6204a69%3A0x8818f3b911c34593&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4f35f6204a69%3A0x8818f3b911c34593&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJaUog9jVPnwARk0XDEbnzGIg,"Lima Duarte, MG",lojas_presentes,2025-07-28T22:41:09.675734,COMPLETA
8,Brandel's Gráfica,ChIJs9Bqx1K1mAARE0FVcXvVEWg,0x98b552c76ad0b3:0x6811d57b71554113,7499009580707692819,/g/1ptwtp8tx,4.6,90,Gráfica,"Gráfica, Papelaria",commercial_printer,"R. Cel. José Virgílio, 175 - Loja 01 - Centro, Lima Duarte - MG, 36140-000, Brasil",-21.8418211,-43.791229,+55 32 3281-1921,http://www.brandelsgrafica.com.br/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,Serviços no local,,"""Ótima Gráfica, excelente atendimento, produtos de qualidade.""",https://lh3.googleusercontent.com/p/AF1QipOIYjluL6F9epZf4ArlSPt55YIvvKd70Ne9LODY=w92-h92-k-no,https://serpapi.com/images/url/92yLX3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng7xmZlVPqY-ZmmVoQlWbiWJQTHFBiahrpWVbmnWJu4Jdq6ePvEmlbbmmkmwHE2bp5-QCDbCC6,https://serpapi.com/search.json?data_id=0x98b552c76ad0b3%3A0x6811d57b71554113&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98b552c76ad0b3%3A0x6811d57b71554113&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJs9Bqx1K1mAARE0FVcXvVEWg,"Lima Duarte, MG",lojas_presentes,2025-07-28T22:41:09.675734,COMPLETA
9,Tres Porteiras - Lima Duarte,ChIJexLkBkG1mAARcdPvuV0IF00,0x98b54106e4127b:0x4d17085db9efd371,5554917864029279089,/g/11g6pyf0ts,4.3,49,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"R. Joaquim Carlos, 2-36 - Lima Duarte, MG, 36140-000, Brasil",-21.8350236,-43.774270699999995,,,,,,,,,Cartão de crédito,,,"""lugar agradável pra morar""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq3WxScefuMcj6yrOSMsc4dvwy_sZCimiRmhdkHBwl6rEKN2xNiFfUlml-CWuTfMo1dflTJmqt2ed-90E4Pp0T4wN2ZRaOHMPB8mJam5Ee8MC8tvAiXgBgvTC-NRLL_yMB_w7FmQw=w80-h142-k-no,https://serpapi.com/images/url/6aclVHicBcFRDoIgAADQE5FmVNbWhzJdq7AyW60f5xDBAjFByRN2hm7Te78vN6bVa8cRfDZhSjFBe007ohpDGzMhSjqs1YBooJ0ArThs3rPb50Jo1WPyXIzd8YI1geVgx1w_UC3rVPLytQ2tWHTRPvE-SR1XVyEFQLc-q7CalpXIdvJtPFqClRvBU-tm0CbeIy2OW3wKfbkr5DyiPka-GYL6zkI2ZAgk6eGQjzjM7TKWZ7uxvgv4FHrgBRr1B_DsReQ,https://serpapi.com/search.json?data_id=0x98b54106e4127b%3A0x4d17085db9efd371&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98b54106e4127b%3A0x4d17085db9efd371&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJexLkBkG1mAARcdPvuV0IF00,"Lima Duarte, MG",lojas_presentes,2025-07-28T22:41:09.675734,COMPLETA
10,Wkpipas,ChIJI4BiSDY1nwARF6zsSW7_bpI,0x9f353648628023:0x926eff6e49ecac17,10551651826127383575,/g/11lkg75mvb,5,1,Loja de Brinquedos,Loja de Brinquedos,toy_store,"Rua dr Eneias de meida, R. Dr. Eneas De Almeida Pires, 32 - Cruzeiro, Lima Duarte - MG, 36140-000, Brasil",-21.849197,-43.817257399999995,+55 32 99813-2904,,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,,Cartão de débito,,,,https://lh3.googleusercontent.com/p/AF1QipMhyWSalz6LOesi5HLHcII1dK2tUNe78spCYuiN=w163-h92-k-no,https://serpapi.com/images/url/cLzvQ3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm1EZHpyYU2Xm459anGnq4eOR7OlpmOJtVBLql2puUVzgHFma6WdbbmhmrJthaaSbrZuXDwCvwSFb,https://serpapi.com/search.json?data_id=0x9f353648628023%3A0x926eff6e49ecac17&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f353648628023%3A0x926eff6e49ecac17&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJI4BiSDY1nwARF6zsSW7_bpI,"Lima Duarte, MG",lojas_presentes,2025-07-28T22:41:09.675734,COMPLETA
