position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,momentos memoráveis,ChIJYRGB73pZoQARHbVel9dWdyQ,0xa1597aef811161:0x247756d7975eb51d,2627664391551497501,/g/11y926v8dl,5,2,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Izídio Alves Dias, 89 - Lobo Leite, Congonhas - MG, 36412-182, Brasil",-20.5213246,-43.829903099999996,+55 31 97253-5104,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,"""Amei, um preço muito bom e tudo feito com muito ❤️""",https://lh3.googleusercontent.com/p/AF1QipNb76V7NKUeDIalV0msYxC350OcQdcgvoeKDnaM=w80-h177-k-no,https://serpapi.com/images/url/IrIQV3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl2RuFmbu5x2a6uKZmBNmkFscWeFsbGrgnxyYkpxelp_q7ZKX6GtbbmGgm2Fobq6brZuXDwCY-iEN,https://serpapi.com/search.json?data_id=0xa1597aef811161%3A0x247756d7975eb51d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1597aef811161%3A0x247756d7975eb51d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJYRGB73pZoQARHbVel9dWdyQ,"Lobo Leite, MG",lojas_presentes,2025-07-28T22:44:02.177021,COMPLETA
2,Franart's Artelie | brindes e presentes personalizados,ChIJL0jDTNlZoQAR-xizVERutr8,0xa159d94cc3482f:0xbfb66e4454b318fb,13814350146763430139,/g/11kr755m_b,5,23,Loja de presentes,"Loja de presentes, Serviços para festas infantis, Loja de produtos de papelaria, Artesanato",novelty_store,"R. Dr. Paulo Mendes, 547 - Congonhas, MG, 36410-030, Brasil",-20.5062554,-43.861929499999995,+55 31 98685-7383,https://instagram.com/franarts_artelie?igshid=MzRlODBiNWFlZA==,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,"segunda-feira: 09:00–11:00, 13:00–18:00; terça-feira: 09:00–11:00, 13:00–18:00; quarta-feira: 09:00–11:00, 13:00–18:00; quinta-feira: 09:00–11:00, 13:00–18:00; sexta-feira: 09:00–11:00, 13:00–18:00; sábado: 09:00–13:00; domingo: Fechado",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipNucGq-P_LHLUE7quJuEUFxXFM6hvQS4hNKDcX-=w80-h106-k-no,https://serpapi.com/images/url/MZkNBXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngV5rsXqgbEO_j4RPqal5Y6lXqGupWEeHma5ZRFhhskuHn7ZIcoWtbbmGgm2FoYKabrZuXDwChySDi,https://serpapi.com/search.json?data_id=0xa159d94cc3482f%3A0xbfb66e4454b318fb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa159d94cc3482f%3A0xbfb66e4454b318fb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJL0jDTNlZoQAR-xizVERutr8,"Lobo Leite, MG",lojas_presentes,2025-07-28T22:44:02.177021,COMPLETA
3,União Papelaria Presentes Ltda,ChIJY5wRBnhZoQARbgEiErC75qo,0xa1597806119c63:0xaae6bbb01222016e,12314736595984056686,/g/1ttpj3gc,4.6,43,Loja de produtos de papelaria,"Loja de produtos de papelaria, Papelaria",copying_supply_store,"R. Padre Jacinto, 32 - Congonhas, MG, 36404-000, Brasil",-20.5007466,-43.8574175,+55 31 3731-2005,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipNlrMKm-I-Sraz4pwpK6Y-E2TeaiyDPq5IGaiAt=w80-h106-k-no,https://serpapi.com/images/url/PUYlXXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl1Pk652r66kbXJRYZVJQXuBtFqnrahSSmphZ6RJQaOrpnpjpWGJbbmGgm2FoYKabrZuXDwCovCE4,https://serpapi.com/search.json?data_id=0xa1597806119c63%3A0xaae6bbb01222016e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1597806119c63%3A0xaae6bbb01222016e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJY5wRBnhZoQARbgEiErC75qo,"Lobo Leite, MG",lojas_presentes,2025-07-28T22:44:02.177021,COMPLETA
4,Fora da Caixa - Personalizados de Luxo,ChIJVVtV81pboQARv2BBlv3h8ZQ,0xa15b5af3555b55:0x94f1e1fd964160bf,10732607866264445119,/g/11shkgh2kl,4,1,Loja de presentes,Loja de presentes,novelty_store,"Rua Otavira Maria dos Anjos, 22 - Gran Park, Congonhas - MG, 36414-501, Brasil",-20.4968571,-43.8721014,+55 31 97172-4016,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,,Cartão de débito,"Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipPd5ZTovp9wnYld4hjzim960eyQO4-KH4BqFExL=w92-h92-k-no,https://serpapi.com/images/url/k1CkfnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkGIaFZJfVmBZnheZk2KSkVWVmWtpZpBaGehvouvtYeJU6OZa4WNbbmmkmwHE2bp5-QCUSiEc,https://serpapi.com/search.json?data_id=0xa15b5af3555b55%3A0x94f1e1fd964160bf&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa15b5af3555b55%3A0x94f1e1fd964160bf&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJVVtV81pboQARv2BBlv3h8ZQ,"Lobo Leite, MG",lojas_presentes,2025-07-28T22:44:02.177021,COMPLETA
5,"Caminho do Santuário - Artesanatos, Presentes Congonhas e Decorações",ChIJxbN3r3FZoQARoMgR9TxXUV4,0xa15971af77b3c5:0x5e51573cf511c8a0,6796309232000026784,/g/11dxb35ntm,1,1,Loja de Presentes,"Loja de Presentes, Artesanato",gift_shop,"Av. Bias Fortes, 565 - Bom Jesusv, Congonhas - MG, 36415-000, Brasil",-20.5092638,-43.854829099999996,+55 31 99779-4287,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 13:30–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npy3aDk0ALc4KH1MLEeAHDzL38h4AMSfTSoiz-eIMU5ilK3CbbrXq1GLDTJ4srveYXAiIBtcXbn5nzpsh3EnF8T3dnz8Nq6UZqYvOZrpFuC3Aw6vGEo3A3S688xF3OgatV8LqnN=w163-h92-k-no,https://serpapi.com/images/url/yjg8a3icBcFbcoIwFADQFUXEi0zsjB-Rh1qDfoAO-icxJYz0JpCIyv66iO7Gc_7_lHPGfnleq2BSa1238mFlLzQ6iW4i9K9XG0uEJdZj0UIFaN5wje9TxkWw2_gZTyTbxCMHqgKW5T9FrpuRyG12nDftDqKq6svOX_O4-A5sP8hzyZrtyomywjmOxipIMKUF3HCk-y48XrrzcLj0Jn1EwJ7hsE40MMhDSl8pHOqrO1He4X759EMgajEjd4L6A1GiQ2U,https://serpapi.com/search.json?data_id=0xa15971af77b3c5%3A0x5e51573cf511c8a0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa15971af77b3c5%3A0x5e51573cf511c8a0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJxbN3r3FZoQARoMgR9TxXUV4,"Lobo Leite, MG",lojas_presentes,2025-07-28T22:44:02.177021,COMPLETA
6,Lau Presentes,ChIJxx44dW6PpgARYaFbK43pH3Y,0xa68f6e75381ec7:0x761fe98d2b5ba161,8511778613280612705,/g/1ptz1z6y9,4.4,40,Loja de presentes,Loja de presentes,novelty_store,"R. Josué Martins de Souza, 561 - Lagoa, Belo Horizonte - MG, 31578-000, Brasil",-19.808097099999998,-44.0026994,+55 31 3456-1477,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente atendimento e variedade dos produtos.""",https://lh3.googleusercontent.com/gps-proxy/ALd4DhGEqaZMC_IrYYTdI6ESA2fnw-VpjB83qi3kbnSTaUwkb2BIAjC6Ag9Pdo-vcJ5kfc10y4Bo_ycsSVn-G3andSuA9v0OzB-M8JJZ7Hj5QrZmpPB4ZoPGGw6uKMrlNBWtQaJUkqiH5ENyW1STxkwLL74tsJzwtmgeGAg96QwaeI8Rx5rZjXMu3yuyBrWFl5lFokdyAsQ=w122-h92-k-no,https://serpapi.com/images/url/_rnpi3icDc1LcoIwAADQ6aLHichX7EwXxCJCwUJBqWwcBAQJJBiCIR61p2nfBd7vy2vD2DC-SVLXqIuakLqrprGiBcGswmxRkF6qhxEMlMxCsvxS-2gc-55nwebs0tMpKV3Dji3lijk4Di001ftNRRccJ_mBo4sCXavdGFa9DksCHoWno2shL4UGyVkUY3zEwFFzXMaTtX4sv54QBKbnZatdq0c064cQahkJHYcb02dAuz1MWZR7B3S_7XR7L1I5TmbEfX-lsdF7ctbXlfOfGRHPK9f8nnWatT_BpIpJQJpuO73bElQKa4zeuawooFkrAAFM_gAq3loj,https://serpapi.com/search.json?data_id=0xa68f6e75381ec7%3A0x761fe98d2b5ba161&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa68f6e75381ec7%3A0x761fe98d2b5ba161&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJxx44dW6PpgARYaFbK43pH3Y,"Lobo Leite, MG",lojas_presentes,2025-07-28T22:44:02.177021,COMPLETA
7,Cestas Celebrare,ChIJ3Rpwb3ObVGERPNgjvYhwrUs,0x61549b736f701add:0x4bad7088bd23d83c,5453138456406644796,/g/11s9d_wllp,5,21,Loja de cestas de presente,"Loja de cestas de presente, Service establishment",gift_basket_store,,-14.4095262,-51.31668,+55 31 99710-8487,https://instagram.com/cestascelebrare?igshid=YmMyMTA2M2Y=,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–13:00; domingo: Fechado,,,,,,,"""Um ótimo atendimento e produtos de primeira.""",https://lh3.googleusercontent.com/p/AF1QipPJN9jESuOLimAG2kF7kJjWLcMzksA2Cfh6-clj=w80-h177-k-no,https://serpapi.com/images/url/d34Nz3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4OVnmeUaXOrvk5nr6G6U7Wae7ZUV7pPsW5Vd7GjknJZhppuck2VbbmGgm2Fobq6brZuXDwCf3CET,https://serpapi.com/search.json?data_id=0x61549b736f701add%3A0x4bad7088bd23d83c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x61549b736f701add%3A0x4bad7088bd23d83c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ3Rpwb3ObVGERPNgjvYhwrUs,"Lobo Leite, MG",lojas_presentes,2025-07-28T22:44:02.177021,COMPLETA
8,Luma Presentes,ChIJ4SqsaoRZoQARdxkycXdFMCw,0xa159846aac2ae1:0x2c30457771321977,3184121315853474167,/g/11vhd7wqm5,,0,Loja de presentes,Loja de presentes,novelty_store,"R. Benedito Quintino, 53 - Congonhas, MG, 36415-000, Brasil",-20.5038226,-43.8594578,+55 31 99156-0139,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipNY0N00Lh3e-yyORbEUZZdmkvSTrQtpD-IiJaFv=w80-h98-k-no,https://serpapi.com/images/url/kcoCWXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF2ngZ2Dgk2GcqltZ6R-U5BoaFZWSm10WHFIUWFLgouuZ6ZXoVmZbbmGgm2FpoZutm5cPAH85IRo,https://serpapi.com/search.json?data_id=0xa159846aac2ae1%3A0x2c30457771321977&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa159846aac2ae1%3A0x2c30457771321977&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4SqsaoRZoQARdxkycXdFMCw,"Lobo Leite, MG",lojas_presentes,2025-07-28T22:44:02.177021,COMPLETA
9,Mimos e Cheiros Presentes,ChIJ2fingXG-pgARVtYGtbXTsVk,0xa6be7181a7f8d9:0x59b1d3b5b506d656,6463179717633037910,/g/11cly516nq,5,54,Loja de presentes,Loja de presentes,novelty_store,"R. Risolêta Fernandes, 290 - Barreiro, Belo Horizonte - MG, 30640-620, Brasil",-19.9820438,-44.0272284,+55 31 2526-9316,http://www.instagram.com/mimosecheiros/,Fechado ⋅ Abre ter. às 10:00,Fechado ⋅ Abre ter. às 10:00,segunda-feira: 10:00–17:30; terça-feira: 10:00–17:30; quarta-feira: 10:00–17:30; quinta-feira: 10:00–17:30; sexta-feira: 10:00–17:30; sábado: 10:00–12:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMQfEIMBkeShtRCK3jydq9tRbiOw7ov0Zg2cY5I=w122-h92-k-no,https://serpapi.com/images/url/kNJzEXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG5jm6unrlJ0anFES5OxtnFWZUmhZEpSU6V9unl9mEJVulBxp6mlbbmhkpJthaaSbrZuXDwCwcyFr,https://serpapi.com/search.json?data_id=0xa6be7181a7f8d9%3A0x59b1d3b5b506d656&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6be7181a7f8d9%3A0x59b1d3b5b506d656&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2fingXG-pgARVtYGtbXTsVk,"Lobo Leite, MG",lojas_presentes,2025-07-28T22:44:02.177021,COMPLETA
10,Loja da Cleo,ChIJBzzsgjS8pgARLqlzyZMV9dY,0xa6bc3482ec3c07:0xd6f51593c973a92e,15489310217894865198,/g/1ptyn6sg5,4.6,179,Papelaria,"Papelaria, Copiadora, Impressão digital, Loja de presentes, Impressões fotográficas, Correios, Loja de Brinquedos",stationery_store,"R. Barão de Monte Alto, 846 - Loja 02 - Cardoso, Belo Horizonte - MG, 30626-480, Brasil",-20.0045,-44.0057025,+55 31 99913-3447,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–17:00; domingo: Fechado,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNY0Z4lb8NhIHvIvuuO4rrV3HKaq6pXW1lTz0f9=w151-h92-k-no,https://serpapi.com/images/url/VSgVz3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF2kQZZKTZOGX4elR5llWWupvUlQUZuzhnVhoVhARbpgTUmWQZmlbbmhqqJthaaSbrZuXDwCl9CEu,https://serpapi.com/search.json?data_id=0xa6bc3482ec3c07%3A0xd6f51593c973a92e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bc3482ec3c07%3A0xd6f51593c973a92e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBzzsgjS8pgARLqlzyZMV9dY,"Lobo Leite, MG",lojas_presentes,2025-07-28T22:44:02.177021,COMPLETA
