position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,"Capricho, Papelaria, Brinquedos, Aviamentos e Tecidos",ChIJ5VjmJzLdnwARVCP843pASc0,0x9fdd3227e658e5:0xcd49407ae3fc2354,14792425347630244692,/g/11j4wvzgpx,5,1,Loja,Loja,store,"R. do Cruzeiro, 142 - Centro, Luminárias - MG, 37240-000, Brasil",-21.510751,-44.9054368,+55 35 99890-1715,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito","Retirada na loja, Compras na loja",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tiQOrucrXv1DL4VhlW8v7w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=293.7791&pitch=0&thumbfov=100,https://serpapi.com/images/url/bkhZknicHc1LDsIgFADA27CTTzVpa0LcdGli3Kg7QynCS2gh8Ap6Gs_lbTReYObzdogx7xnLmIzBAqZGeBqfN1FRG4L1RkXIVIeZFcHQrfO4KPCHqJYAk0Q4n9Kq062I4bi7OH_tSluJHu_ag1lQZqOSdtTWn5jCRG3MpMqOEyf7hrxUlU2_pW3bCxIBtZOc_JNHKFJw_gVj7Dm2,https://serpapi.com/search.json?data_id=0x9fdd3227e658e5%3A0xcd49407ae3fc2354&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fdd3227e658e5%3A0xcd49407ae3fc2354&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5VjmJzLdnwARVCP843pASc0,"Luminárias, MG",lojas_presentes,2025-07-28T22:52:36.205075,COMPLETA
2,Supermercado Sucesso,ChIJo9nT40rcnwARLic9GggEPeY,0x9fdc4ae3d3d9a3:0xe63d04081a3d272e,16590421035149240110,/g/11c1lyg48w,4.4,308,Supermercado,"Supermercado, Loja de bebidas",supermarket,"R. Silva Pinto, 37-89, Luminárias - MG, 37240-000, Brasil",-21.5111575,-44.9046817,+55 35 3226-1244,https://linktr.ee/supermercadosucesso,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–20:00; terça-feira: 08:00–20:00; quarta-feira: 08:00–20:00; quinta-feira: 08:00–20:00; sexta-feira: 08:00–20:00; sábado: 08:00–20:00; domingo: 08:00–12:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC, Pluxee","Entrega sem contato, Entrega",,"""Ótima variedade de produtos, espaço excelente e promoções muito boas!""",https://lh3.googleusercontent.com/p/AF1QipNl3OV4zD8WJngGtin_1Nk57OoqTA1jKkVw7rl4=w80-h124-k-no,https://serpapi.com/images/url/jPAsNXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl2PsH2ZS5WIR7pWX7l6SmRdv6Jdtau6fXxjiaJjlnR1Wbl6UY2JbbmGgm2FoZKKbrZuXDwCiNyEa,https://serpapi.com/search.json?data_id=0x9fdc4ae3d3d9a3%3A0xe63d04081a3d272e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fdc4ae3d3d9a3%3A0xe63d04081a3d272e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJo9nT40rcnwARLic9GggEPeY,"Luminárias, MG",lojas_presentes,2025-07-28T22:52:36.205075,COMPLETA
3,Pedras Decorativas Luminárias,ChIJ-aEZbErcnwARMOGr_Svg8Hs,0x9fdc4a6c19a1f9:0x7bf0e02bfdabe130,8930884540619809072,/g/11f3r70431,4.6,5,Loja de pedras,Loja de pedras,rock_shop,"R. Cel. Diniz, 116 - Centro, Luminárias - MG, 37240-000, Brasil",-21.512110399999997,-44.9049328,+55 35 99806-8249,https://pedrasdeluminarias.negocio.site/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipODhn8XKhP14Pu-lPjemYsXe6oVsE8XXXKyBVuq=w122-h92-k-no,https://serpapi.com/images/url/Do-rYnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng75KRZxHhnRFgaBJQqpsTkJWaG1kckWqWH1bsahEREeFd6RRWWmhbbmhkpJthaaSbrZuXDwCrKyGA,https://serpapi.com/search.json?data_id=0x9fdc4a6c19a1f9%3A0x7bf0e02bfdabe130&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fdc4a6c19a1f9%3A0x7bf0e02bfdabe130&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-aEZbErcnwARMOGr_Svg8Hs,"Luminárias, MG",lojas_presentes,2025-07-28T22:52:36.205075,COMPLETA
4,Bistrô da Casa,ChIJ_c1btXXdnwARnOEn0zgmTMM,0x9fdd75b55bcdfd:0xc34c2638d327e19c,14072664961128587676,/g/11fwj7j33q,5,45,Restaurante,"Restaurante, Bistrô, Cafeteria, Delivery, Restaurante de comida para viagem, Restaurante Mineiro",restaurant,"R. Maria Carolina, 25 - Centro, Luminárias - MG, 37240-000, Brasil",-21.5124854,-44.9042598,+55 35 99826-6850,https://instagram.com/bistro_dacasa,Fechado ⋅ Abre ter. às 12:00,Fechado ⋅ Abre ter. às 12:00,segunda-feira: Fechado; terça-feira: 12:00–17:00; quarta-feira: 12:00–17:00; quinta-feira: 12:00–17:00; sexta-feira: 12:00–17:00; sábado: 12:00–14:00; domingo: 12:00–14:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega sem contato, Entrega, Para viagem, Refeição no local",,"""Experiência incrível, comida boa feita pela simpática Camila.""",https://lh3.googleusercontent.com/p/AF1QipPnl2zxE7zCyMvjkp1xatzuP1EtZPOlqpIe2TuZ=w80-h142-k-no,https://serpapi.com/images/url/AidtC3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkJdjVFXhal7lXOlblpVdYFiRWFJVGmDoWhIV4J9TWOCZahRSGmVbbmGgm2FoYqSbrZuXDwDToCJu,https://serpapi.com/search.json?data_id=0x9fdd75b55bcdfd%3A0xc34c2638d327e19c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fdd75b55bcdfd%3A0xc34c2638d327e19c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_c1btXXdnwARnOEn0zgmTMM,"Luminárias, MG",lojas_presentes,2025-07-28T22:52:36.205075,COMPLETA
5,Cristo Redentor de Luminárias,ChIJiztHPz3cnwARXwvp5n5F7As,0x9fdc3d3f473b8b:0xbec457ee6e90b5f,859138040263150431,/g/11c31ymq_y,4.7,182,Atração turística,Atração turística,tourist_attraction,"Luminárias - MG, 37240-000, Brasil",-21.5235086,-44.915066599999996,,https://luminariasmg.com.br/ver-e-fazer/cristo-redentor-de-luminaria/,,,,,,,,,,"""atrativo é destino certo da maioria dos turistas que visitam a cidade.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrX_20qwAzpaGiax5yjOHSvNuZRdRb79b-VitcKrkXGCmLcVo3Y4doXpmYcDIAX3hLw2TVx_E8Kqu0TIv9-B8Y5HzY08YIc9OdYSHR08Cjrg7Wfw2cTZ6ovt2NPKWIUviLpLXBI8g=w163-h92-k-no,https://serpapi.com/images/url/f0sxS3icBcFdkoIgAADgE5Eu9gPN7INZk4xONeYa9OIYGlgpJKhtF9wz7G36vv8_aa02S8d5SG8ilBKPqjdVx1Vrq9ZOuGocoQ3gBhjHD7Ccth3Nofsc_bcutnXxmv3e9uFx2PXnpEwuC3wBWW151N3pNmhinimPTUtFdcP4mvjUk_EI0-yVb1D07N2UDBisEJuFb-YiRjjel-wYJi4Kbp1YnK4j5Ol5rgYLd4foRH6GOtYxXREkvsevuQckhuAOWvUBc1tExg,https://serpapi.com/search.json?data_id=0x9fdc3d3f473b8b%3A0xbec457ee6e90b5f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fdc3d3f473b8b%3A0xbec457ee6e90b5f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJiztHPz3cnwARXwvp5n5F7As,"Luminárias, MG",lojas_presentes,2025-07-28T22:52:36.205075,COMPLETA
6,Terracota Jardim Interativo,ChIJmb7Npq3dnwARiMAeCfmf5Xc,0x9fddada6cdbe99:0x77e59ff9091ec088,8639487352128848008,/g/11t5lfqzpw,5,21,Restaurante,"Restaurante, Bistrô, Centro cultural, Café, Artesanato, Atração turística",restaurant,"R. Adeodato Moreira, 45 - centro, Luminárias - MG, 37240-000, Brasil",-21.5114019,-44.904780599999995,+55 35 99888-0457,https://linktr.ee/terracotajardiminterativo24,Fechado ⋅ Abre qui. às 11:00,Fechado ⋅ Abre qui. às 11:00,segunda-feira: Fechado; terça-feira: Fechado; quarta-feira: Fechado; quinta-feira: 11:00–21:00; sexta-feira: 11:00–23:00; sábado: 11:00–23:00; domingo: 09:00–20:00,,,Assento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Mesas externas, Para viagem, Refeição no local",,"""Chopp geladinho, lugar bonito, bom atendimento e venda de souveniers.""",https://lh3.googleusercontent.com/p/AF1QipNuaWX7YM_G3RV07ZVkFQh24uqCThUJn79YHoLM=w80-h142-k-no,https://serpapi.com/images/url/qMIPp3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngV5oYHmEe6RvvbhwUZmAeFZbtFphhZFJa6BySEeqVZ24Z6ZHv42tbbmGgm2FoYqSbrZuXDwCUhyCZ,https://serpapi.com/search.json?data_id=0x9fddada6cdbe99%3A0x77e59ff9091ec088&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fddada6cdbe99%3A0x77e59ff9091ec088&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJmb7Npq3dnwARiMAeCfmf5Xc,"Luminárias, MG",lojas_presentes,2025-07-28T22:52:36.205075,COMPLETA
7,K&D Pedras decorativas,ChIJax047J_dnwAR_uDCqJ46v2k,0x9fdd9fec381d6b:0x69bf3a9ea8c2e0fe,7619873547644756222,/g/11g_xgj7_q,4.8,4,Loja de pedras,Loja de pedras,rock_shop,"Rodovia Luminárias a lavras, Luminárias - MG, 37240-000, Brasil",-21.506586,-44.9190336,+55 35 99940-2249,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–17:00; terça-feira: 07:00–17:00; quarta-feira: 07:00–17:00; quinta-feira: 07:00–17:00; sexta-feira: 07:00–17:00; sábado: Fechado; domingo: Fechado,,,,Cartão de débito,Entrega,,,https://lh3.googleusercontent.com/p/AF1QipN5JiZcBOMOoY2Mgke3_U9FbBaI8qe_0SJDiK-O=w163-h92-k-no,https://serpapi.com/images/url/ca8sLXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ-qVGZXs5O_rnx9p5JuenWocH2rpluSU6GlRmBpvEOzlkumt629bbmhmrJthaaSbrZuXDwCSiiB8,https://serpapi.com/search.json?data_id=0x9fdd9fec381d6b%3A0x69bf3a9ea8c2e0fe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fdd9fec381d6b%3A0x69bf3a9ea8c2e0fe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJax047J_dnwAR_uDCqJ46v2k,"Luminárias, MG",lojas_presentes,2025-07-28T22:52:36.205075,COMPLETA
8,Pedras Lumináriasjjjcjm,ChIJl3RtpEvcnwAR1JyDhdf_Smw,0x9fdc4ba46d7497:0x6c4affd785839cd4,7803330605495852244,/g/1ptxxfc5z,4.1,10,Loja de pedras,Loja de pedras,rock_shop,"Av. Florenzano, 419, Luminárias - MG, 37240-000, Brasil",-21.5126438,-44.9035118,+55 35 3226-1305,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 08:00–11:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5fSbTJm1VEQNo3ZbEITKdg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=247.07576&pitch=0&thumbfov=100,https://serpapi.com/images/url/mWLVy3icHc3BDcIgFADQbbgJVK1VE-KpBzUxMTYevBigFEho_0_Botu4lttoXOC9z9ulhHHLWEyjMWnyJqN_mhBnKKkFsMFI9JFq6NlUsOQevRqkDzuUA_hWlN1FNYe-uNbnEyxuqt43x9YSre46eDMkEY0ctaM2_8QRWmoxkizWnDixmZOXzGK-rCivympF0CftBCf_pYNJFJx_AVc8OSo,https://serpapi.com/search.json?data_id=0x9fdc4ba46d7497%3A0x6c4affd785839cd4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fdc4ba46d7497%3A0x6c4affd785839cd4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJl3RtpEvcnwAR1JyDhdf_Smw,"Luminárias, MG",lojas_presentes,2025-07-28T22:52:36.205075,COMPLETA
9,Praça Matriz de Luminárias,ChIJ5cXOGEvcnwAR6P51k4zdfN4,0x9fdc4b18cec5e5:0xde7cdd8c9375fee8,16031932369371266792,/g/11c1l9pvrw,4.8,88,Jardim,Jardim,garden,"R. Pref. Antônio Furtado, 68 - 168, Luminárias - MG, 37240-000, Brasil",-21.5110888,-44.903998,,http://www.visiteluminarias.com.br/,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Lugar agradável, tranquilo e limpo.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nokDc__4AeF_8SAwt-8LpGyhe6wSVIZ5Em-wUtq_1SMRD1Ze70ywe8luSWPGyspClUR_qM3sB9CS3NZWhRqAGgMu-1urJMeB59b-Ipzkj6ZoWfRrqLl9jS_WAhqA_XyPn0eXRy3=w80-h106-k-no,https://serpapi.com/images/url/ry3hrnicBcHdboIwGADQJ_oEgiIs8aLiRjSymDaK4abJyDcaqf2hJU19Px9ib7Nz_t7Ce-M-kkSKfDVqPUpcHM6DVh6VXw36mYzGweDAJaSuxFrp6TBwvib4xUtGgofybJoosAjsduw3n08IV295xlp6yHrcpjFgKRfWXZroTC2vlNs2d_uqZvl33wlqSTO2C2TLfGpxv6l-4Ghe06PodfdLZ3uW1YPxjghL-D1eVIp3GvNdKFMQWVrABEr_A7sgRJE,https://serpapi.com/search.json?data_id=0x9fdc4b18cec5e5%3A0xde7cdd8c9375fee8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fdc4b18cec5e5%3A0xde7cdd8c9375fee8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5cXOGEvcnwAR6P51k4zdfN4,"Luminárias, MG",lojas_presentes,2025-07-28T22:52:36.205075,COMPLETA
10,Mercearia Muza,ChIJ52xloYrdnwAReVIWEBFhno0,0x9fdd8aa1656ce7:0x8d9e611110165279,10204700531580359289,/g/11j54p54_s,5,1,Loja,Loja,store,"R. Prof. Fábregas, 45 - Centro, Luminárias - MG, 37240-000, Brasil",-21.5153003,-44.9025537,+55 35 99906-0185,,Fechado ⋅ Abre ter. às 05:00,Fechado ⋅ Abre ter. às 05:00,segunda-feira: 05:00–18:00; terça-feira: 05:00–18:00; quarta-feira: 05:00–18:00; quinta-feira: 05:00–18:00; sexta-feira: 05:00–18:00; sábado: 05:00–18:00; domingo: 05:00–18:00,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Banheiro com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipOM8M_Qv3tGCBJq8jkRssQmF7HUXbAZnBRDCLoW=w179-h92-k-no,https://serpapi.com/images/url/-CQB13icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng72vhGx9YZlzi7uzkVWiRlR1UXByY62buERqR5BiV5xTk4uyTH25bbmhuqZthaaSbrZuXDwCfZCEF,https://serpapi.com/search.json?data_id=0x9fdd8aa1656ce7%3A0x8d9e611110165279&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fdd8aa1656ce7%3A0x8d9e611110165279&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ52xloYrdnwAReVIWEBFhno0,"Luminárias, MG",lojas_presentes,2025-07-28T22:52:36.205075,COMPLETA
