position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Madalena Temtudo,ChIJjxgGeBGzpQARN1cXmMwwJUI,0xa5b3117806188f:0x422530cc98175737,4766269435924666167,/g/119vjhdgm,4.4,72,Armazém,"Armazém, Loja de materiais de construção, Bar, Loja de peças para motocicletas, Papelaria",general_store,"Rua Carlos Caçula Caldeiras, 579 - Vargem Alegre, São Gonçalo do Rio Abaixo - MG, 35935-000, Brasil",-19.7487974,-43.3723993,,http://madalenatemtudo.wixsite.com/madalenatemtudo,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–16:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega sem contato, Entrega",,,https://lh3.googleusercontent.com/p/AF1QipPCDUmpho_w99WGJ_zmzPvinu7yz_Tp5Tm6k47d=w92-h92-k-no,https://serpapi.com/images/url/DjhxhHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4OwSmluQkR9fbmkZ7u4VX5VbFVCWmVdqXlkVH1JgGpJrlm1inmJbbmmkmwHE2bp5-QClSCHh,https://serpapi.com/search.json?data_id=0xa5b3117806188f%3A0x422530cc98175737&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5b3117806188f%3A0x422530cc98175737&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJjxgGeBGzpQARN1cXmMwwJUI,"Madalena, MG",lojas_presentes,2025-07-28T22:55:46.908479,COMPLETA
2,Cesta de café da manhã | Bocaina de Minas | Brivie Grazing,ChIJn2VINiL3ngAR1JKe7P4RizI,0x9ef7223648659f:0x328b11feec9e92d4,3642024510248358612,/g/11w41xgk5f,5,75,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"rua madalena maria sampaio, n 128 - centro, Bocaina de Minas - MG, 37340-000, Brasil",-22.1708109,-44.396166799999996,+55 32 98490-2703,https://bio.site/briviegrazing,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–19:00; terça-feira: 07:00–19:00; quarta-feira: 07:00–19:00; quinta-feira: 07:00–19:00; sexta-feira: 07:00–19:00; sábado: 07:00–19:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noVjpYNaYPqkLrGodn6_Rz-YgFG7eqgTkGDhOEzI2MbyI_AkcIl4zNcefWI42dCmzr3THY8-3WRKijAmAizbByGgd6qRlQ73MELDFxakyDf_1nwhXOVgs017TocK3zmgvFGzXb-hQ=w80-h106-k-no,https://serpapi.com/images/url/eRJKSHicBcFtDoIgAADQE5EaTqutH5ZJrk-ds_zlEgkKBRXL5IKdodv03u_L-r5RC8OoGJxQKWlFXop0WIqeiH6CZW3QRgGsgDK89ZzZQqbPJjvesnPL9x2SpXDyWIOMBsglLU048tlpo8PpoRjD3OM4rGx9xOR-Ce1pua51B5NtNgPwEu8eT6_2HrpYjYiWThtXkQsPm70ffG589O-5JQZ2PaVUmZabSLyDuqbvAOlrAVi0HGYmYJbpAA6E_AOk7kXT,https://serpapi.com/search.json?data_id=0x9ef7223648659f%3A0x328b11feec9e92d4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9ef7223648659f%3A0x328b11feec9e92d4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJn2VINiL3ngAR1JKe7P4RizI,"Madalena, MG",lojas_presentes,2025-07-28T22:55:46.908479,COMPLETA
3,Tropical Presentes,ChIJqXi80HmOpgARGz39v6MU1qw,0xa68e79d0bc78a9:0xacd614a3bffd3d1b,12454164513072954651,/g/1v44rnc5,4.8,36,Loja de Presentes,Loja de Presentes,gift_shop,"R. Tancredo de Almeida Neves, 451 - Esperança (Justinópolis), Ribeirão das Neves - MG, 33913-110, Brasil",-19.7817878,-44.0210461,+55 31 3638-3539,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:00–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento excelente, sempre encontro tudo o que  preciso.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4np7qsy30sNAQyU_hoJYOrzwql2ne6Oqg9LqTNLDNV6YsWPnMWZrOYI3ytD1EGPw21LWUWjvoF0G1cKRcPLU2DiCnrDrSsLvkIhrzPDvnFsb_YC95GDJoVS-SmbVggR03w6dY2E=w80-h142-k-no,https://serpapi.com/images/url/WR1lWnicBcFBjoIwFADQE1WgOCgmLgxVolZAEUhnY2KHtKPYQn-F4Pm8hLfxvc9bWtvCwnEa6U-E1qKpn1AbrpWtlZ1w_XBEC4gDAmcVhXKq2lkHo-9CsjqOxUXqHUvNa-garOog7URIu3NCSVIGDKpMHapfk7KtP1rireNswB6tiurW640be3x_4hktMPmPlCEmB9rft9K8MtKrDVwvLAp_YrLTZY7yx7UU4uT6Q_DH8Ho5zF0kvSlGd6T0F72qRDk,https://serpapi.com/search.json?data_id=0xa68e79d0bc78a9%3A0xacd614a3bffd3d1b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa68e79d0bc78a9%3A0xacd614a3bffd3d1b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJqXi80HmOpgARGz39v6MU1qw,"Madalena, MG",lojas_presentes,2025-07-28T22:55:46.908479,COMPLETA
4,Papelaria Registro,ChIJEwyJQveVpgARZzU-ZHEYoUM,0xa695f742890c13:0x43a11871643e3567,4873203147083756903,/g/11kccjm9gk,4.5,10,Loja de presentes,"Loja de presentes, Loja de produtos de papelaria, Loja de Brinquedos, Loja de variedades, Armarinho",novelty_store,"R. do Registro, 1810 - Vila Madalena, Contagem - MG, 32017-390, Brasil",-19.893986899999998,-44.093708299999996,+55 31 98341-9035,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPLiq1ENpLxHet7rs9GzooYL23wD39bjZ4iyhUr=w163-h92-k-no,https://serpapi.com/images/url/qIcFsHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4JNZaOjqV-BT4ZFaYl5UbOlelZ8f6WNkXO5ibJmUFWWSWZkRWmRbbmhmrJthaaSbrZuXDwCzUyGb,https://serpapi.com/search.json?data_id=0xa695f742890c13%3A0x43a11871643e3567&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa695f742890c13%3A0x43a11871643e3567&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEwyJQveVpgARZzU-ZHEYoUM,"Madalena, MG",lojas_presentes,2025-07-28T22:55:46.908479,COMPLETA
5,Mari Presentes,ChIJhVg9e82bpgARa-aJ4CvLgdA,0xa69bcd7b3d5885:0xd081cb2be089e66b,15024513221195851371,/g/1tl4f876,4.7,14,Loja de Presentes,Loja de Presentes,gift_shop,"R. Amazonita, 231 - Pompéia, Belo Horizonte - MG, 30280-380, Brasil",-19.9115555,-43.9036544,+55 31 3484-8854,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Sempre muito bom atendimento e variedade de presentes.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3HyRNqbqjZivQzOZSeg6Tw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=105.5044&pitch=0&thumbfov=100,https://serpapi.com/images/url/T8OwlXicHc1LDsIgFEDR3TATqLZGTYhTRxo_o04MxSc8QwstCNbNuC53Y-P4Jud-PyZGHzaMhTgAxISQPb7AhpmXVDunLUiPgSrXslSwaJ5t00m0Wy87hzex2I2nfd_0jxrT8X2oz6CXl0xUc1UWoYsigByUoTpP4uBuVPtAslhxYsR6TkaZRcErWvGyJB6jMoKT_-Tu0lT4D3AHOdk,https://serpapi.com/search.json?data_id=0xa69bcd7b3d5885%3A0xd081cb2be089e66b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69bcd7b3d5885%3A0xd081cb2be089e66b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJhVg9e82bpgARa-aJ4CvLgdA,"Madalena, MG",lojas_presentes,2025-07-28T22:55:46.909480,COMPLETA
6,Made in Beagá | Mercado Novo,ChIJOSO70suZpgAR6qqL3gi9TzM,0xa699cbd2bb2339:0x334fbd08de8baaea,3697381664885549802,/g/11f5d464kj,4.8,120,Loja de souvenires,"Loja de souvenires, Loja de Presentes",souvenir_store,"Mercado Novo, Av. Olegário Maciel, 742 - Loja 2117 - Centro, Belo Horizonte - MG, 30180-110, Brasil",-19.9203182,-43.945285299999995,+55 31 98103-3949,http://www.madeinbeaga.com.br/,Fechado ⋅ Abre qua. às 11:30,Fechado ⋅ Abre qua. às 11:30,"segunda-feira: Fechado; terça-feira: Fechado; quarta-feira: 11:30–14:00, 14:30–20:00; quinta-feira: 11:30–14:00, 14:30–20:00; sexta-feira: 11:30–14:00, 14:30–20:00; sábado: 10:00–18:00; domingo: 10:00–16:00",,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrbz7xLcWiLopJY74EKfeQQLaNc3SwFLHdg0gAYsHT0GTBBs6-fGJTu24RXIbd3ejI6B2JykB_rqCQxCXI_Vw3psQTIBRR6N7_Jqx1p9CfJMJKCoLP9gm2lfEijNV93W70eT3D0Ew=w122-h92-k-no,https://serpapi.com/images/url/DsL8rnicBcFRboIwAADQExWwJZCa7MN2TKmVDGxQv8gspahIK8XAdkHP4G323vvVjqN1S9_vWuRpY3Snnk4N0vSj6kdPmruvrQPSAeevKG7Dfjj_xTOXhws3lp3iMNk2Ks_5TybRfvrim1oHenVyGxGsBSEuAs2aiScMi2N6rpG6phGB7PdGquFB85ke06qckHW5SElRRFlcsce8sJg2bMe21PBvrO-wa5LLNSsxOsSBEugzSKaPaQEhaDEEN9Cbf-e5QzI,https://serpapi.com/search.json?data_id=0xa699cbd2bb2339%3A0x334fbd08de8baaea&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699cbd2bb2339%3A0x334fbd08de8baaea&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJOSO70suZpgAR6qqL3gi9TzM,"Madalena, MG",lojas_presentes,2025-07-28T22:55:46.909480,COMPLETA
7,Criativa Presentes Ltda,ChIJ0frRE5GIpZQRgseAtvCb73k,0x94a5889113d1fad1:0x79ef9bf0b680c782,8786412856179476354,/g/1v_z5dx9,4.7,16,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Belo Horizonte, 475 - Centro, Monte Carmelo - MG, 38500-000, Brasil",-18.7311206,-47.4970784,+55 34 3842-1390,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noWoCDW3zqql3Yokrux0_33YEzmqGexj4ddG1Nggg3yksga6-ywzKIv4Kv5XhhiwnDgSK1mPHGE3zQ75qDMTObpDN9oZ10gzMTv1SEajJU5dKMQm89v4weIB-kwAFCuKZGYP7Oz=w138-h92-k-no,https://serpapi.com/images/url/DCnkbnicBcFbcoIwFADQFUVMA1U60w8FSm0GH6MO4o-jkLmpQC4YIJr9uQh34zmvp-y6Rn85TiXZCBChEr0WtxxVJ1Q3yrF2oNEk10Q7s8CXrsIUgzBltm0rlmF56-_jE2NZZOs2FverWxQxXQIAe5Qazp_kYSxfDC4fvIOU_0aFsOW0Xv_GEbObideGyW51acKlj0c6BpvsBrqNzte_vVfwZFNP_cE1YjEnpZn9BD0_xtl6srLfhrIpkf4HKYnCNyd1RLM,https://serpapi.com/search.json?data_id=0x94a5889113d1fad1%3A0x79ef9bf0b680c782&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94a5889113d1fad1%3A0x79ef9bf0b680c782&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ0frRE5GIpZQRgseAtvCb73k,"Madalena, MG",lojas_presentes,2025-07-28T22:55:46.909480,COMPLETA
8,D Tudo Presentes,ChIJW7cFoK_BsZQRDmo7Ljr8RHs,0x94b1c1afa005b75b:0x7b44fc3a2e3b6a0e,8882501691895409166,/g/1tf6hr8b,4.5,83,Loja de Presentes,Loja de Presentes,gift_shop,"Av. José Cambraia, 82 - Ibiá, MG, 38950-000, Brasil",-19.4848718,-46.543230099999995,+55 34 3631-1661,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento exelente""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noCaxtqQhT7izLN44OleL0Rz-0yXtN0_pfQha_e6cwVEy6nTxNB-dkYTMlEbHtgorVNhkzayekNPzBTntTAaAy6DM_0gD_hyB3d_D58uuTqvPCYSaldQFTvviiYGhccre4oru59Jg=w163-h92-k-no,https://serpapi.com/images/url/M8t0KHicBcHdboIwGADQJ6qwgWws2QU_umXRTmZj5KqppfYjdC3SgpYX9Bl8G8953MG53n4EgYJoIY2RSoxWDNxoJ7RbcPMfyN4ibpENsiKFWJuC3dylAvLWzhscx79KbMK_GYX-6HBI-3MFjIqEXw8rn2hywzlqupps1er07aQZDhi6mXnR4d2cE-1IxjKflFsaypKCz6OGlsv3cSSXaVfUe6aaak2mqW3rL-B8ELEZxmX6Iz-vL0mEIH1FHdLmCfLhRz0,https://serpapi.com/search.json?data_id=0x94b1c1afa005b75b%3A0x7b44fc3a2e3b6a0e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b1c1afa005b75b%3A0x7b44fc3a2e3b6a0e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJW7cFoK_BsZQRDmo7Ljr8RHs,"Madalena, MG",lojas_presentes,2025-07-28T22:55:46.909480,COMPLETA
9,Ateliê Decorata,ChIJV-StfJ_ttJQRrOC7a2K1ODE,0x94b4ed9f7cade457:0x3138b5626bbbe0ac,3546784140873162924,/g/11j6dx4rhf,4.5,32,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"R. Maria Madalena de Faria, 180 - Novo Horizonte, Formiga - MG, 35574-580, Brasil",-20.4622863,-45.4464452,+55 37 3322-0545,https://www.facebook.com/ateliedecorata/,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–12:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npiCZLlGG8bEnELe9n01up8MLH50bXKO7bLHJC_O5buCxp568ufkTwDBnk1aTcZPZnSPDmZE3xsSKLFlyErmjovO3183-NAdnfcAQmsHSZ-V2hleNek8FLYP3ZQRXLxv5vPGKA_=w80-h92-k-no,https://serpapi.com/images/url/I20-AXicBcFRboIwGADgE1XAyixLfEBEiHSCQozrixldpUr521hAvN8usdv4ff9_su-N_XQcJfGs0bpRYrDiwTX0AvoZ153TGIu4RdYJo0AuwNwiRlWSkDqGmIoAXG8w5Iumvlufs3xZ03QXXXK_HqLJ-B9kuLbVc7OG1vupOCsYlMWmYzGebJnRrXrFj-6uxxx7BKN9-AtXHh46m5YMneZSib1oyZZ-F5gdjmc6jf5YJFl4WT2Ji2QwRy0C_QYS0EMg,https://serpapi.com/search.json?data_id=0x94b4ed9f7cade457%3A0x3138b5626bbbe0ac&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b4ed9f7cade457%3A0x3138b5626bbbe0ac&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJV-StfJ_ttJQRrOC7a2K1ODE,"Madalena, MG",lojas_presentes,2025-07-28T22:55:46.909480,COMPLETA
10,Center Presentes,ChIJTw3d7Qh0pAARCfsY9PJReDs,0xa47408eddd0d4f:0x3b7851f2f418fb09,4285265149362240265,/g/1tjdskjg,4.5,2,Loja de Presentes,Loja de Presentes,gift_shop,"R. Salvador Furtado, 113B - Mariana, MG, 35420-000, Brasil",-20.3769459,-43.4163675,+55 31 3557-1906,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipPjCTqKbmdrKvSHndlwLsVScTQne8H-5n5GalGN=w80-h142-k-no,https://serpapi.com/images/url/Uxgv3nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkOUcUuidlJtS5F0W7JGXklPuUxwWnBwSmJdq4aFrmmfqnpjj7mdbbmGgm2FoYqSbrZuXDwDBcSGq,https://serpapi.com/search.json?data_id=0xa47408eddd0d4f%3A0x3b7851f2f418fb09&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa47408eddd0d4f%3A0x3b7851f2f418fb09&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJTw3d7Qh0pAARCfsY9PJReDs,"Madalena, MG",lojas_presentes,2025-07-28T22:55:46.909480,COMPLETA
