position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Téia Armarinhos,ChIJ8d30qYZ5nwARdT7WfkpP9Fk,0x9f7986a9f4ddf1:0x59f44f4a7ed63e75,6481892945067130485,/g/11g6nky443,4.1,11,Loja de Presentes,Loja de Presentes,gift_shop,"R. Maestro J Gonçalves, 69, Me. de Deus de Minas - MG, 37305-000, Brasil",-21.4835083,-44.3284429,,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3Ia6uBM36vgY3Gjc3X-X2w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=1.2910769&pitch=0&thumbfov=100,https://serpapi.com/images/url/nfEWhHicHc1LDsIgFADA27Arn5JUa_Ji4sa4cF9XhiIChpaXQkFv47W8jcYLzHzeLmdMO8ZSXozJxZuK_mlCalBRG6MNRqFPVMeJFcGyW6dxVj7sUc3R30CeVLcezrIr9iKPDy2HZmgr0eNVB2_mDMmoRTtq609c4o1aTKTClhMHfUteqoKgbS_4pusJ-qwdcPJf7rGA4PwLNFc4wQ,https://serpapi.com/search.json?data_id=0x9f7986a9f4ddf1%3A0x59f44f4a7ed63e75&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f7986a9f4ddf1%3A0x59f44f4a7ed63e75&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ8d30qYZ5nwARdT7WfkpP9Fk,"Madre de Deus de Minas, MG",lojas_presentes,2025-07-28T22:58:56.043650,COMPLETA
2,Juder Armarinhos,ChIJSXLqA8V5nwARQAQNdyyRbRg,0x9f79c503ea7249:0x186d912c770d0440,1760222649533662272,/g/11v5bd38mw,5,2,Armarinho,Armarinho,yarn_store,"Rua: Ozório Teixeira, 123 - Loja 2 - Centro, Me. de Deus de Minas - MG, 37305-000, Brasil",-21.4821693,-44.3334526,+55 32 99921-2703,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–16:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,"""Ótimo atendimento e tem tido que precisa""",https://lh3.googleusercontent.com/p/AF1QipPrXkIeSVM9foC6_Htqj2NeFMs_hTpnYNw2ZO23=w80-h110-k-no,https://serpapi.com/images/url/NrwOfnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUBSR7ZkaHOZrmZbvbBbvUVKYZeSX6uZbHJ8RUpAX6VduFOVvZGxbbmGgm2FoaKCbrZuXDwCyoSFZ,https://serpapi.com/search.json?data_id=0x9f79c503ea7249%3A0x186d912c770d0440&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f79c503ea7249%3A0x186d912c770d0440&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJSXLqA8V5nwARQAQNdyyRbRg,"Madre de Deus de Minas, MG",lojas_presentes,2025-07-28T22:58:56.043650,COMPLETA
3,Supermercado Dois Irmãos - Loja 01,ChIJy70YD-55nwARSexNqr88DHM,0x9f79ee0f18bdcb:0x730c3cbfaa4dec49,8290067807975894089,/g/1th7p3h3,4.4,204,Padaria,Padaria,bakery,"R. Maestro J Gonçalves, 67 - Centro, Me. de Deus de Minas - MG, 37305-000, Brasil",-21.483414999999997,-44.328465,+55 32 3338-1220,,Fechado ⋅ Abre ter. às 05:30,Fechado ⋅ Abre ter. às 05:30,segunda-feira: 05:30–20:00; terça-feira: 05:30–20:00; quarta-feira: 05:30–20:00; quinta-feira: 05:30–20:00; sexta-feira: 05:30–20:00; sábado: 05:30–20:00; domingo: 05:30–14:00,$$,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Para viagem",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nptiEUZRH5EzhbdJVqAWU5-GrX89ZU-ToG4C7d1-waUZlrZZPqBvelZoSYzrP0dFMJLscax-Umwgi25pWfdxiDKEAPuXM2N61VffJg7OL4w8ybAcr7CA8BxZWbiValKJI32L5Sj=w186-h92-k-no,https://serpapi.com/images/url/MLG1y3icBcFBcoIwFADQE30pCALOdBGRWhErow1odhAgwUaCSSzU-_UQvU3f-_vlxgx6aVmCz2dMSiaah24Ulb1pejOj8maxQQPVoC0UhdztB9PFmBzfvfjJqzrJ76jAHmzUOQgJhk-5cSO_tmEsMRGKkOy--m4EkafLU2Uv9ds-STUtJ8C3kXWONxRtPXXrXYyyx3nvfCzsvG0T5h9Sdwx-KkSVH6FgNZGi6vJS7JLt3Em90_V1tIMF8NCBL-jlP6bTQ7o,https://serpapi.com/search.json?data_id=0x9f79ee0f18bdcb%3A0x730c3cbfaa4dec49&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f79ee0f18bdcb%3A0x730c3cbfaa4dec49&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJy70YD-55nwARSexNqr88DHM,"Madre de Deus de Minas, MG",lojas_presentes,2025-07-28T22:58:56.043650,COMPLETA
4,Comercial Ivan(Loja do Paulinho),ChIJ-8T6RcN5nwAR-32gY9_TJ4g,0x9f79c345fac4fb:0x8827d3df63a07dfb,9811043269652545019,/g/11g6991zly,5,4,Loja,Loja,store,"R. Maestro J Gonçalves, 23, Me. de Deus de Minas - MG, 37305-000, Brasil",-21.4831169,-44.3287875,+55 32 3338-1170,https://instagram.com/comercial.ivan?utm_medium=copy_link,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:00–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMmMlx94RB0HFDKc2BuoMXsPmlTdCF1Ydctue5m=w80-h106-k-no,https://serpapi.com/images/url/WbgEw3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm-ubU2FpEuRk4OHm4p1s5FSa7xtRHJCbE5Li7GYYmZJcUppqmmtbbmGgm2FoYKabrZuXDwCfmSEt,https://serpapi.com/search.json?data_id=0x9f79c345fac4fb%3A0x8827d3df63a07dfb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f79c345fac4fb%3A0x8827d3df63a07dfb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-8T6RcN5nwAR-32gY9_TJ4g,"Madre de Deus de Minas, MG",lojas_presentes,2025-07-28T22:58:56.043650,COMPLETA
5,Shopping Madre de Deus,ChIJ8eSer4Z5nwARc-fn8dgtClA,0x9f7986af9ee4f1:0x500a2dd8f1e7e773,5767472682596034419,/g/11hbjfg0bj,4.7,9,Shopping center,Shopping center,shopping_center,"R. Maestro J Gonçalves, 143, Me. de Deus de Minas - MG, 37305-000, Brasil",-21.4838251,-44.3278728,+55 11 93715-2006,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente empreendimento com ótima localização, organização e segurança.""",https://lh3.googleusercontent.com/p/AF1QipNd1jZurMULEr8fWbFjOvXxWfltUxc9QPvoTywn=w122-h92-k-no,https://serpapi.com/images/url/WxPVvnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl2KYFVVa5Bvq41pkkRae5JblXxZREZ6WUxJakWwZGFCWH1JZnmdbbmhkpJthaaSbrZuXDwDKpSKE,https://serpapi.com/search.json?data_id=0x9f7986af9ee4f1%3A0x500a2dd8f1e7e773&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f7986af9ee4f1%3A0x500a2dd8f1e7e773&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ8eSer4Z5nwARc-fn8dgtClA,"Madre de Deus de Minas, MG",lojas_presentes,2025-07-28T22:58:56.043650,COMPLETA
6,Cardoso&Brendon Informática,ChIJp8y3Xu15nwARVStQYd1KWFo,0x9f79ed5eb7cca7:0x5a584add61502b55,6510035576044923733,/g/11j4dnkv5j,5,1,Papelaria,Papelaria,stationery_store,"R. Osório Teixeira, 35 - Centro, Me. de Deus de Minas - MG, 37305-000, Brasil",-21.4827509,-44.332656,+55 32 99837-5885,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–16:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipOWH_6w9E1iWVWjfTkBbhkzvVoS2pL8Nc5yyuMX=w80-h106-k-no,https://serpapi.com/images/url/741HlnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH-4Rb1Zu6WqYGR4WnpUWku2UlJFdVRaWH2xU4GPhl2xaWVnqG2FbbmGgm2FoYKabrZuXDwCyNyGy,https://serpapi.com/search.json?data_id=0x9f79ed5eb7cca7%3A0x5a584add61502b55&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f79ed5eb7cca7%3A0x5a584add61502b55&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJp8y3Xu15nwARVStQYd1KWFo,"Madre de Deus de Minas, MG",lojas_presentes,2025-07-28T22:58:56.043650,COMPLETA
7,Promadre Armazém Geral,ChIJ20homnJ5nwAR3wo_kvhm8ds,0x9f79729a6848db:0xdbf166f8923f0adf,15848561781485013727,/g/11f0_ch_6f,4.5,33,Armazém,Armazém,warehouse_club,"Me. de Deus de Minas - MG, 37305-000, Brasil",-21.4658756,-44.3420486,+55 32 3338-1044,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–18:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Atendimento ótimo, melhor preço de grãos com qualidade da região""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npRaKwHexvMas5cH-90ZdzxCdynXrziVniMEoq9HQW3PUB9BOcvV7rgFHECbLjUJRcMaL6iEcJKhoDRklco-MnJSHYudSUGJt1Jn7l_-P-RoBwMsROhRrqjbCKtkX-BU_vN-CZy2A=w163-h92-k-no,https://serpapi.com/images/url/caK2PXicBcFbcoIwFADQFV2p4mPSmX5IpGaCqTYOVP1xMDAEwVwkEdQNugZ303PeL-1cYz89r9b-oEAs6vxm81ahcblxA4UXr2gsKAvWm1Oix6aRadSz_N6J1E4UA_JxyJ53mj3Mrn2WiSlFiFfCfv_8TRyQYK26ZNYW3yykp9U55lKJdDUtQ8UjjQtZ1QpBGL5l-1u2jZfcDbmZ1UfYgMSgF1autWyv5xONXLWDID52P0APj9H8qx9OfdBkBBUY_Aehw0WJ,https://serpapi.com/search.json?data_id=0x9f79729a6848db%3A0xdbf166f8923f0adf&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f79729a6848db%3A0xdbf166f8923f0adf&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ20homnJ5nwAR3wo_kvhm8ds,"Madre de Deus de Minas, MG",lojas_presentes,2025-07-28T22:58:56.043650,COMPLETA
8,Boutique Grão em Grão,ChIJxTeop7V5nwARO4sGqYbX-dU,0x9f79b5a7a837c5:0xd5f9d786a9068b3b,15418591772640971579,/g/11lt0906n8,5,1,Loja de produtos naturais,Loja de produtos naturais,health_food_store,"Rua José Amintas de Araújo, 42 - Centro, Me. de Deus de Minas - MG, 37305-000, Brasil",-21.4825065,-44.3313262,+55 32 98842-0039,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,"segunda-feira: 08:30–11:30, 13:00–18:00; terça-feira: 08:30–11:30, 13:00–18:00; quarta-feira: 08:30–11:30, 13:00–18:00; quinta-feira: 08:30–11:30, 13:00–18:00; sexta-feira: 08:30–11:30, 13:00–18:00; sábado: 08:30–12:00; domingo: Fechado",,,,"Cartão de crédito, Cartão de débito",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipNBbUsPHxuqqTxyiZuLsrS01mTeOruk4g-zfTfp=w80-h99-k-no,https://serpapi.com/images/url/6eZosXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng55QUWhzgUVFaWBhSUZkZVepTXBRsYJgbkupfVJptkq5blRaSVmBbbmGgm2FpqZutm5cPALUbImw,https://serpapi.com/search.json?data_id=0x9f79b5a7a837c5%3A0xd5f9d786a9068b3b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f79b5a7a837c5%3A0xd5f9d786a9068b3b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJxTeop7V5nwARO4sGqYbX-dU,"Madre de Deus de Minas, MG",lojas_presentes,2025-07-28T22:58:56.043650,COMPLETA
9,EMPÓRIO MADRE DE DEUS,ChIJm1aOhZx5nwAR5j5rdHuDiaA,0x9f799c858e569b:0xa089837b746b3ee6,11567921684135231206,/g/11c2kd_m74,4.3,11,Fornecedor de bebidas,"Fornecedor de bebidas, Bar, Loja de bebidas, Depósito",beverage_supplier,"Av. Mal. Floriano Peixoto, 60, Me. de Deus de Minas - MG, 37305-000, Brasil",-21.4806342,-44.3348467,+55 32 98888-1893,,Fechado ⋅ Abre qua. às 09:00,Fechado ⋅ Abre qua. às 09:00,segunda-feira: Fechado; terça-feira: Fechado; quarta-feira: 09:00–20:00; quinta-feira: 09:00–20:00; sexta-feira: 09:00–20:00; sábado: 09:00–20:00; domingo: 09:00–20:00,,,,,,,"""Ótimo atendimento pessoas educadas""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqKV3uCkcDaFyWAsNIRs8sM4BBtMocq5pkHWK5w-M71yqn4gK-_o9cIzKlbI4NByjHnIfPOO1_ftcHnKw4QQHaQEgYNVXYsw_1UnI1H7MVAmmZLe2j1ne00Ix8K6pO134DTN1M=w163-h92-k-no,https://serpapi.com/images/url/TMk6z3icBcHtboIwFADQJ6pYqR8s2Q_wI226wlg2nP4h2tQSgVvYrUF8Pl_Ct9k5r2flfYdvQdBU4cQ6ZxtzQ_OnHXgDfqJdG9gOiUaCQbyOKga9LMLbutab027cx5iKL1yhYknildP9vKv5Xs4HopZ07IFZSUoXafGQzVmwNBmvHMTlM8toefGagxxYnvNTvrWHtPg94FDSHxCUL1URt-3xw8yuFMx0Ku4ruegyGrLNd0rV-0AXIamiGakJuH9TNkKt,https://serpapi.com/search.json?data_id=0x9f799c858e569b%3A0xa089837b746b3ee6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f799c858e569b%3A0xa089837b746b3ee6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJm1aOhZx5nwAR5j5rdHuDiaA,"Madre de Deus de Minas, MG",lojas_presentes,2025-07-28T22:58:56.043650,COMPLETA
10,Mercado Almeida,ChIJW2GqhJx5nwARE63tbLeC3YM,0x9f799c84aa615b:0x83dd82b76cedad13,9501894513139756307,/g/11g6nj5b_j,4.2,53,Supermercado,Supermercado,supermarket,"Av. Mal. Floriano Peixoto, 12, Me. de Deus de Minas - MG, 37305-000, Brasil",-21.4807633,-44.334900399999995,,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:00–12:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega sem contato, Entrega",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrdlhjFUdsa_FQJIyoM0cMOgNsaqQ3cMz6yTj2YQH-ddJfzgVUeDb8uHesYRvOyMjpjdBiA-i-zURWRCX8YYCsIETRinG521tv7HLnyznaSv6gAQPN5mVZgXfVWc3IgFtKudxdgpA=w80-h142-k-no,https://serpapi.com/images/url/VffZDnicBcFbcoIwFADQFUUUfNDO-IFUBFtUqKD0x8Ek3oCYUG9AYYNdQ3fjOf9_Qusa3w2jEtYAlIKKN8jvVEnNpR5QdTOgRkKRoOG4b2Is76wSpZcwzE9etA46FQ5puIUN5r-RRcN-2u1LM4t8wtj60kOa8I-z3fgcs7jddmFZl2xROKQgfRIfYvdoZ5mLwXIfF3I1MUe6nflfsutl_t1OwYl2m8kt_YHjJT1QKwBPfzbsyaB25g97SMRobJIrkeoF1ylGig,https://serpapi.com/search.json?data_id=0x9f799c84aa615b%3A0x83dd82b76cedad13&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f799c84aa615b%3A0x83dd82b76cedad13&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJW2GqhJx5nwARE63tbLeC3YM,"Madre de Deus de Minas, MG",lojas_presentes,2025-07-28T22:58:56.043650,COMPLETA
