position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,A Predileta,ChIJwxcn9BijmQARFJPowq0UZZQ,0x99a318f42717c3:0x946514adc2e89314,10692975626793030420,/g/1thvzhmf,4.6,14,Loja de Presentes,Loja de Presentes,gift_shop,"Passeio Público Dr. Siqueira, 67 - Magé, RJ, 25900-094, Brasil",-22.6584747,-43.0404858,+55 21 2633-3284,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente loja para comprar presentes""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=e_-fLbNiiUy1xbSnB4bGcw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=275.93222&pitch=0&thumbfov=100,https://serpapi.com/images/url/8iDfLHicHc3BDcIgFADQbbgVKGq0JsTEixfjxXhugH7hJxRIwdJu41puo3GB9z5vV0rKR8ZymQDKjFATLuBzkxS1MVoPKmGmJo5sbllxr1EHhf6UVIg4SOib51XfEB9ru-h7OG_1xVRidG88Qigyg5qMo7b-xCkO1KZMqjxw4mQnyKqqFPsd7TZCCJKwGCc5-S_POMuW8y-MGjnA,https://serpapi.com/search.json?data_id=0x99a318f42717c3%3A0x946514adc2e89314&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x99a318f42717c3%3A0x946514adc2e89314&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJwxcn9BijmQARFJPowq0UZZQ,"Magé, RJ",lojas_presentes,2025-07-28T23:04:22.915272,COMPLETA
2,Amores Presentes e Papelaria,ChIJlTBtYAALmQAR74Z99xl6J_E,0x990b00606d3095:0xf1277a19f77d86ef,17376991939177318127,/g/11xcs6l750,5,4,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Automóvel Clube, 3701 - Vila Mimosa, Magé - RJ, 25900-000, Brasil",-22.583731399999998,-43.1866777,+55 21 99923-8761,,Fechado ⋅ Abre ter. às 10:00,Fechado ⋅ Abre ter. às 10:00,segunda-feira: 10:00–18:00; terça-feira: 10:00–18:00; quarta-feira: 10:00–18:00; quinta-feira: 10:00–18:00; sexta-feira: 10:00–18:00; sábado: 10:00–14:00; domingo: Fechado,,,,,,,"""Melhor papelaria de Magé.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4np1qQFdJTqnj_PSyg4MfBwvdV3fSCZG41qrr_Ki7yVF8BUJXRUEd1Pb5YX0sckCdNZpzo0pClZEHAw3qeKVOoooiovreGiMkRSRi0kLxXd2Rcf4p4lxpwi0UWuD3Rieq-6Nnyt1uQ=w80-h106-k-no,https://serpapi.com/images/url/2jFMrHicBcFbcoIwFADQFUUSSa12ph9K1Y5vgyDlx5kmAVJobkKCSDfYNXQ3Pefvt_LeuJcgaKpwVAKUjeycbDloL7UfcfgOSuMQd8gF82hWUW2IPa_E5mL11-0UDyXdF4v-LtKwiKN8TYlt29tWPQ_parpINhlLloKcPp8-Mux4HYlDbn4Am6jJl-_zPrRymx4BQMG9lWu1r1nMFK53j0yMGS-ooc3D9Aon1-4tZEpaNDnowZPu_NpPMaoInqAaafgHp2RGZA,https://serpapi.com/search.json?data_id=0x990b00606d3095%3A0xf1277a19f77d86ef&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x990b00606d3095%3A0xf1277a19f77d86ef&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJlTBtYAALmQAR74Z99xl6J_E,"Magé, RJ",lojas_presentes,2025-07-28T23:04:22.915272,COMPLETA
3,Crie com Amor,ChIJEQa9BAALmQARyOhAPkO6n4I,0x990b0004bd0611:0x829fba433e40e8c8,9412446544197642440,/g/11vqzs1f_y,5,23,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Roberto da Silveira - Vila Carvalho, Magé - RJ, 25935-514, Brasil",-22.6063579,-43.1864518,+55 21 96459-6700,http://www.criecomamor.com/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: Fechado; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nofRdd41H53w_PWO4iSEdKkdfxZwXvUVEqo-wQ4awlUldODL0tA-OS4zhf8BpeWI5xUpcucQBF3617JelG6S7Z0xLAyVZfmidHO_vpmySHadaN8ErINbqx8jWFCh6sY5KogG1O6=w80-h106-k-no,https://serpapi.com/images/url/fa5unXicBcFRkoIgAADQE5E6IrrN9GFl2tZE5ZjlT-MCShsKBYV1vz3E3qb3_v-4MUqPHUdwf9RK2Qr20OxOZG9Yb0ZEdk6rNCAaaCeefXHYy2ZPKfSywLfnbYnhJU_o6kqbobLHZ3FIbhLYHaytKATF87VrYoBz-OZNNFWsXAZDociD7KYLH3nhNxMpysPKHdbx61A13YVm-PxU3SvPalpvouS-3Pzchui3XMw40qdgJdvUw2hiIxdwz0XgCnr5AcqtRFE,https://serpapi.com/search.json?data_id=0x990b0004bd0611%3A0x829fba433e40e8c8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x990b0004bd0611%3A0x829fba433e40e8c8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEQa9BAALmQARyOhAPkO6n4I,"Magé, RJ",lojas_presentes,2025-07-28T23:04:22.915272,COMPLETA
4,Amanda Artes - Presentes Personalizados,ChIJPzceeQChmQARLSKJ0wDro4s,0x99a100791e373f:0x8ba3eb00d389222d,10062144381257327149,/g/11w8tsm8m4,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. Adelaide, 139 - Parque Sao Jorge, Magé - RJ, 25903-587, Brasil",-22.6187477,-43.167150899999996,+55 21 97130-4475,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,"segunda-feira: 09:00–12:00, 14:00–18:00; terça-feira: 09:00–12:00, 14:00–18:00; quarta-feira: 09:00–12:00, 14:00–18:00; quinta-feira: 09:00–12:00, 14:00–18:00; sexta-feira: 09:00–12:00, 14:00–18:00; sábado: 09:00–14:00; domingo: Fechado",,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/p/AF1QipP07qsNvBo2GuEA0hKf_9woRFEXCYt4vOaHGvR3=w80-h142-k-no,https://serpapi.com/images/url/rRpk5XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYGBeWOxX5pRv5F7q6miQ4Z0Wb1meH-TmGuEcWWJS5p_o4V4WZGxbbmGgm2FoYqSbrZuXDwCd6CDq,https://serpapi.com/search.json?data_id=0x99a100791e373f%3A0x8ba3eb00d389222d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x99a100791e373f%3A0x8ba3eb00d389222d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJPzceeQChmQARLSKJ0wDro4s,"Magé, RJ",lojas_presentes,2025-07-28T23:04:22.915272,COMPLETA
5,Tefinha-Estefani Personalizados,ChIJUdR1B6efmQARPq-m8v5UqEw,0x999fa70775d451:0x4ca854fef2a6af3e,5523758396939349822,/g/11h8jm5lwc,4.9,117,Loja de presentes,Loja de presentes,novelty_store,"R. Sessenta, 03 - Jardim da Prata, Magé - RJ, 25926-678, Brasil",-22.7076623,-43.163767799999995,+55 21 98740-6256,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–17:00; terça-feira: 08:30–17:00; quarta-feira: 08:30–17:00; quinta-feira: 08:30–17:00; sexta-feira: 08:30–17:00; sábado: 08:30–17:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no3zF7UPAu9FN_VGaPKc8cSiZ_ESY-8XzzGW4Lvp9_CaURibuTu2jcPdykqKCxWVADYLJxAeRFEn98UF5Th477Srjs0Ry9ZxKL7s3KPLCW-Qqc0n8oU_dYf9qlfYM-7VTmtOwja=w122-h92-k-no,https://serpapi.com/images/url/CS_CznicBcFJDoIwAADAF1UUMKUmHgiKiaAiq3AhWJay2IItivzPR_gbZ35fIkTPN5LUEWVRMVZ1xciLJ2ZUFFQsMHtIVc8B5oBLuoGISpkymzBw9BGZ5zQ8ZI6FNezVSbr3YqDd5vkQqfarR6mRBW59H_1RbrCTf9rBMqYo1HexfZz0wjX3FGmBufaJCqH3bPjS_aBksmzIFcuxjQhcB7ykGgvSPC7R0JXxCcDQf4jLu8m275UsA4Jk0ALK_ojMQ-I,https://serpapi.com/search.json?data_id=0x999fa70775d451%3A0x4ca854fef2a6af3e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x999fa70775d451%3A0x4ca854fef2a6af3e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJUdR1B6efmQARPq-m8v5UqEw,"Magé, RJ",lojas_presentes,2025-07-28T23:04:22.915272,COMPLETA
6,Tekart Personalizados em Praia de Mauá - Magé,ChIJqbdkWCWemQARkUhpDIYOIQk,0x999e255864b7a9:0x9210e860c694891,657822989469436049,/g/11gb3tcyyt,4.8,41,Loja de presentes,"Loja de presentes, Gráfica, Gráfica de etiquetas personalizadas, Loja de camisetas personalizadas, Impressões",novelty_store,"Estrada Real de Mauà, 772 - Jardim da Prata, Magé - RJ, 25926-684, Brasil",-22.7098078,-43.1658109,+55 21 98594-2050,https://www.tekartpersonalizados.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–14:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqZRrbMYMNQ-bxOKvCFDQBCnO67rQoviYopxHhIfwLd0R35SQo6kj_jF-isHgwbQnV-Q9ZSaH9zpDdsFpkkxQJb6PinpWKmgDLoD9Sg4M6euEqNR3Op4AskzF2fCOv5V94KhUE7=w163-h92-k-no,https://serpapi.com/images/url/hZ1EuHicBcHdEoFAGADQJ1qhWrNmXNDPRJKtwejG6Mdulv1Wm2q8n4fwNs75fXnbKj03jAc3RwyAPaq3rpoCZFvJdlTA02BKo0IjbSwdwi35ypImj87RjqJ8iMPO8V26cmSMZw2Frj6DGgK-vvXbcpyYdkoBi_vl7qNaB6zPqTwiSrL0GpCPckvtKyEGusnxvpbqFD6ZuwWXpMyKcPX2XrvEjJW11OLjT29O3NlHYoX84M0W_QSbiJMpEkjCH_UARH0,https://serpapi.com/search.json?data_id=0x999e255864b7a9%3A0x9210e860c694891&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x999e255864b7a9%3A0x9210e860c694891&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJqbdkWCWemQARkUhpDIYOIQk,"Magé, RJ",lojas_presentes,2025-07-28T23:04:22.915272,COMPLETA
7,Fripresentes Bazar,ChIJd85a9OcLmQARDvKvstnmhGw,0x990be7f45ace77:0x6c84e6d9b2aff20e,7819628675702190606,/g/11rsh91sqz,4.8,5,Loja de Brinquedos,Loja de Brinquedos,toy_store,"Av. Santos Dumont, 411 - Centro, Magé - RJ, 25937-192, Brasil",-22.6112495,-43.1787523,,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=YR3qNWv-YUVTnC_V-ntfYw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=53.631836&pitch=0&thumbfov=100,https://serpapi.com/images/url/sbpF9HicHc3BDcIgFADQbbgVqMSmmhAP3j0YrempoZQCCQUsX9BtXMttNC7w3udtAGLaE5JgVQqyVSXap3KpigLrELRTItqEZVhIrgmYxzJ6Yd0hCh_sxPszu59uueqv3cUfh67yMPcFyXGQzioPPCmxSoN1-YlrmLCOCRXeUmT4boNeovAtww2rW9agaEEaTtF_mUPmNaVff385pQ,https://serpapi.com/search.json?data_id=0x990be7f45ace77%3A0x6c84e6d9b2aff20e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x990be7f45ace77%3A0x6c84e6d9b2aff20e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJd85a9OcLmQARDvKvstnmhGw,"Magé, RJ",lojas_presentes,2025-07-28T23:04:22.915272,COMPLETA
8,N.E PERSONALIZADOS,ChIJP7m3SbyjmQARrYdWaJi7DT0,0x99a3bc49b7b93f:0x3d0dbb98685687ad,4399378674270767021,/g/11gy4_trl1,4.3,12,Loja de presentes,Loja de presentes,novelty_store,"Av. Duque de Caxias, 545 - Centro, Magé - RJ, 25900-007, Brasil",-22.6621995,-43.040046499999995,+55 21 97219-2145,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–18:00; terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipMoQc4JPPqeiwXqAvXAVhd-kCZQpwoRARjME3S1=w80-h119-k-no,https://serpapi.com/images/url/dtulInicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngmx-YbOIVEFCYmlkeUehYFuEYlpGim-0cFVhQnh_kGJTl62ocbGhbbmGgm2FoaKmbrZuXDwC2UCFt,https://serpapi.com/search.json?data_id=0x99a3bc49b7b93f%3A0x3d0dbb98685687ad&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x99a3bc49b7b93f%3A0x3d0dbb98685687ad&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJP7m3SbyjmQARrYdWaJi7DT0,"Magé, RJ",lojas_presentes,2025-07-28T23:04:22.915272,COMPLETA
9,TOP MIX,ChIJT1u4GBkLmQARaylcHAfJVI8,0x990b1918b85b4f:0x8f54c9071c5c296b,10328100877845145963,/g/11fswdlfm_,4.7,101,Papelaria,Papelaria,stationery_store,"R. Paulo Lavoier, 291 - Piabetá, Magé - RJ, 20102-165, Brasil",-22.6141352,-43.1765251,+55 21 99536-5550,https://www.lojatopmix.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–14:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""Variedades de produtos, poderia ter valores mais aquissecivel""",https://lh3.googleusercontent.com/p/AF1QipMSo4V4Op5vjlNTqW18MDpbBv1y2HUXchZ_1lwh=w163-h92-k-no,https://serpapi.com/images/url/ulervHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG5xvEmbiX2BalpXjF1IYbmjh61KQ5FRmWGnkERqRnBEVb5hTnmFbbmhmrJthaaSbrZuXDwCkziFI,https://serpapi.com/search.json?data_id=0x990b1918b85b4f%3A0x8f54c9071c5c296b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x990b1918b85b4f%3A0x8f54c9071c5c296b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJT1u4GBkLmQARaylcHAfJVI8,"Magé, RJ",lojas_presentes,2025-07-28T23:04:22.915272,COMPLETA
10,"Piabetá Kraft em Piabetá, Magé, RJ",ChIJ01QpkEuhmQARP2eAR-PBWIE,0x99a14b902954d3:0x8158c1e34780673f,9320412610744575807,/g/11f7r450d2,5,25,Empresa de embalagens,"Empresa de embalagens, Loja de presentes",packaging_company,"R. Guarani, 535 - Piabetá, Magé - RJ, 25931-782, Brasil",-22.6109039,-43.1750557,+55 21 99666-8840,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–15:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/p/AF1QipPecsq3_V2UACPJaLUFKHJUjRekERmTjqw7WwvI=w92-h92-k-no,https://serpapi.com/images/url/1tK5CnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkJpcXGgcH2YU6ugc4JXoE-rm7eEVmhWUmu0alBuSVVhuHl5e5mlbbmmkmwHE2bp5-QCJPSFJ,https://serpapi.com/search.json?data_id=0x99a14b902954d3%3A0x8158c1e34780673f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x99a14b902954d3%3A0x8158c1e34780673f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ01QpkEuhmQARP2eAR-PBWIE,"Magé, RJ",lojas_presentes,2025-07-28T23:04:22.915272,COMPLETA
