position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,"JJ Presentes Personalizados em Matias Barbosa, Juiz de Fora e região",ChIJbc5LXqKPmAARD1GYQ7WiR8Y,0x988fa25e4bce6d:0xc647a2b54398510f,14287567242263023887,/g/11flbsy9s2,4.9,23,Loja de presentes,"Loja de presentes, Serviços para festas infantis, Loja de artigos para festas, Serviços para casamento",novelty_store,"R. Antônio José do Couto - Monte Alegre, Matias Barbosa - MG, 36120-000, Brasil",-21.875112299999998,-43.3153606,+55 32 98861-6211,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–16:00; sábado: 08:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipOEUfVjyVuyp7gu9Lo1KV-Q1phopUWBW60VlhGX=w163-h92-k-no,https://serpapi.com/images/url/GwLMyHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng7xqaFpZVGVZaWWCeXmrpk2_oHaYbaFiQkV8QGu4UbmYQlpPhHmFbbmhmrJthaaSbrZuXDwC1JiFr,https://serpapi.com/search.json?data_id=0x988fa25e4bce6d%3A0xc647a2b54398510f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988fa25e4bce6d%3A0xc647a2b54398510f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJbc5LXqKPmAARD1GYQ7WiR8Y,"Matias Barbosa, MG",lojas_presentes,2025-07-28T23:18:29.979414,COMPLETA
2,Presentear-te,ChIJxT1B1cKPmAARuE4vvIV9gFg,0x988fc2d5413dc5:0x58807d85bc2f4eb8,6377235085697961656,/g/11p5l6l5h3,5,2,Loja de cestas de presente,"Loja de cestas de presente, Loja de produtos de papelaria, Loja de camisetas personalizadas, Loja de embalagens para presente, Loja de malas e bolsas, Decorador de interiores, Loja de presentes",gift_basket_store,"Av. Cardoso Saraíva, 546 - loja 3 - Centro, Matias Barbosa - MG, 36120-000, Brasil",-21.870604399999998,-43.3201138,+55 32 99848-8698,https://www.presentearte.com.br/,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–19:00; terça-feira: 08:30–19:00; quarta-feira: 08:30–19:00; quinta-feira: 08:30–19:00; sexta-feira: 08:30–19:00; sábado: 08:30–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNdAB9wWcgNqfyCrNvf1jTQ773c79VTTZJYd4aF=w80-h106-k-no,https://serpapi.com/images/url/fHpl1HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl-LoZFkenpzuV5hW6VzkV5ZmmBUSaG5unGxuGRYSEuUVmWKS6GZbbmGgm2FoYKabrZuXDwClaiDn,https://serpapi.com/search.json?data_id=0x988fc2d5413dc5%3A0x58807d85bc2f4eb8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988fc2d5413dc5%3A0x58807d85bc2f4eb8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJxT1B1cKPmAARuE4vvIV9gFg,"Matias Barbosa, MG",lojas_presentes,2025-07-28T23:18:29.979414,COMPLETA
3,Loja do Tikim | Variedades | Materiais escolares | Utensílios de Cozinha Baratos | Acessórios | Brinquedos,ChIJqYiiqFqPmAARRSKY9x6obbw,0x988f5aa8a288a9:0xbc6da81ef7982245,13577693302548341317,/g/11kjjmnsvs,5,5,Loja de variedades,Loja de variedades,variety_store,"Em frente ao estacionamento do Bramil, Av. Cardoso Saraíva, 580 - centro, Matias Barbosa - MG, 36120-000, Brasil",-21.8707839,-43.3201622,+55 32 99866-2481,https://www.lojadotikim.com.br/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–17:00; domingo: 08:00–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""A melhor loja de todas 🚀👏""",https://lh3.googleusercontent.com/p/AF1QipOQiM4dK8s_QWjb9ZXeRDNo-2tXXRGCSobYT4cq=w80-h106-k-no,https://serpapi.com/images/url/JO94yXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH5jpa5LibVEcHxielWQZFZEa5OKXr2tUEhER5O4cnJ8UGWKSXGhbbmGgm2FoYKabrZuXDwCgpCEI,https://serpapi.com/search.json?data_id=0x988f5aa8a288a9%3A0xbc6da81ef7982245&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988f5aa8a288a9%3A0xbc6da81ef7982245&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJqYiiqFqPmAARRSKY9x6obbw,"Matias Barbosa, MG",lojas_presentes,2025-07-28T23:18:29.979414,COMPLETA
4,Nota 10 magazine,ChIJT3jy_vKPmAAR0-3AHHT-YpQ,0x988ff2fef2784f:0x9462fe741cc0edd3,10692388239983046099,/g/11j3yb8rtj,4.3,4,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Cardoso Saraíva, 562, Matias Barbosa - MG, 36120-000, Brasil",-21.8706021,-43.3201191,+55 32 3273-1243,,Fechado ⋅ Abre ter. às 08:30,Fechado ⋅ Abre ter. às 08:30,segunda-feira: 08:30–19:00; terça-feira: 08:30–19:00; quarta-feira: 08:30–19:00; quinta-feira: 08:30–19:00; sexta-feira: 08:30–19:00; sábado: 08:30–18:00; domingo: 08:30–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Fasso muitas compras lá""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrqeRiUFcYPvK6N12GW6EB7PHqjiqCFJO1WuHoR8YL8GBMfk4GSFMaUCFBa_YGJIXdNq9RWfjdtt51c-2hwwvKL_kFIu0linwbM6hneSzlha4NIkpjaPJcMI5U2Z0EZYAlkao_9=w80-h106-k-no,https://serpapi.com/images/url/hk2ZpnicBcFdboIwAADgE1V-BIQlPgixCAojGMLwhXSlUmhtwRZJdr8dwtv4fe9_qvWkvgyD0-2ml7LnZFHkiaXQROgNlg-jnxTACijjEAXUEc-ZlEMFcVO8zl5u2XHtHcNdcZrHYY5g-m3Vy0mWfnPx4zC7Mye-wgxVEQxR28Rp8tPlc1DW97HT2rUwsOm6vs6XlsFkMfkg1t_Mo4Jc_zhFTp6waURFirPEreybebw1B86QbIP96puAWqYHGBDyA2ZNQ8k,https://serpapi.com/search.json?data_id=0x988ff2fef2784f%3A0x9462fe741cc0edd3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988ff2fef2784f%3A0x9462fe741cc0edd3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJT3jy_vKPmAAR0-3AHHT-YpQ,"Matias Barbosa, MG",lojas_presentes,2025-07-28T23:18:29.979414,COMPLETA
5,"A'DORO VESTIR!roupas femininas ,masculinas e infantil!",ChIJ7WmartmPmAAR43DKpD0iG-g,0x988fd9ae9a69ed:0xe81b223da4ca70e3,16724999289323548899,/g/11c58ypw9_,4.8,9,Loja,Loja,store,"Av. Cardoso Saraíva, 505 - Lj. 2 - Centro, Matias Barbosa - MG, 36120-000, Brasil",-21.8703056,-43.3197098,+55 32 99108-4252,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–15:00; domingo: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC",,,"""Grande variedade de roupas adulto e infantil!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq9MV6HfqKXKCOVAFCXXjDbB4K5NyVt_D_3yC8UI6nczedI7nEkcZ1wA3yHmsqXwugAajFE-ByqI2MAdXtwdSWmGTaUc1tk1Yz-GZ6vYBPmBHmUaB2OH8tNlnDdWAtTxUXZMoGV1Q=w163-h92-k-no,https://serpapi.com/images/url/3yglCnicBcFLDoIwFADAE1VSUBQTFy0oEIKfKFjZGCwIEdqKfYp4Qc_gbZz5fWuAu54bRltbo0qpqi2funxwJaGUMOJKGNVdI66RNojr1GPZOXFqB9cuYpG7ScnKZezmXeg4mqyHFM7e2RrcWRLakn_KIpzKZcMz3BNrCITuWP-sSH5bLREdutCMScGgL_ZH4R_yhGNo8OmD_Mx-nehW0EAkOTU3wQzWrfSKI4HDO2FZrPwU7xY9ti1UOyZqkFR_GLhEuA,https://serpapi.com/search.json?data_id=0x988fd9ae9a69ed%3A0xe81b223da4ca70e3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988fd9ae9a69ed%3A0xe81b223da4ca70e3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7WmartmPmAAR43DKpD0iG-g,"Matias Barbosa, MG",lojas_presentes,2025-07-28T23:18:29.979414,COMPLETA
6,Te Amo Home & Decor,ChIJhfIiQruPmAARuc9CbJMRgGs,0x988fbb4222f285:0x6b8011936c42cfb9,7746210683951435705,/g/11ng086m8s,,0,Loja de Presentes,"Loja de Presentes, Decorador de interiores",gift_shop,"R. Dr. José Mariano, 11 - loja 4, Matias Barbosa - MG, 36120-000, Brasil",-21.8686535,-43.317110299999996,+55 32 99918-6565,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipNDv_gt0BZZVM4RQyb7Tazh34vD8GS_XVRQUN5-=w80-h106-k-no,https://serpapi.com/images/url/3MbvwnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng51IWn15i4BQVFeZrEhRYmWQekliVYWxS5mLhHhwfERYUGOpnqmtbbmGgm2FoYKabrZuXDwCeFyCp,https://serpapi.com/search.json?data_id=0x988fbb4222f285%3A0x6b8011936c42cfb9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988fbb4222f285%3A0x6b8011936c42cfb9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJhfIiQruPmAARuc9CbJMRgGs,"Matias Barbosa, MG",lojas_presentes,2025-07-28T23:18:29.979414,COMPLETA
1,Cantinho Artesanal,ChIJxVcsJkOFmAARJni7a3KgnoQ,0x988543262c57c5:0x849ea0726bbb7826,9556251872620935206,/g/1ptzjyb7h,4.5,53,Galeria de Arte,Galeria de Arte,art_gallery,"R. Valê do Sol, 245, Matias Barbosa - MG, 36120-000, Brasil",-21.840366799999998,-43.3129293,+55 32 3273-4028,,Fechado ⋅ Abre qua. às 09:00,Fechado ⋅ Abre qua. às 09:00,segunda-feira: 09:00–17:00; terça-feira: Fechado; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–17:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,,,,"""Adorei a qualidade dos produtos e do serviço prestado.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr387Pvb3cql2nmEb0gv0hmKe2m7amJUnNI8rI2cFFudmXFnAQJzWOl2QN1Lqm9zARWexubBYpJuyXsv4hdUHbHIbJSwpOoTp-_XimPqYCrISlDmWBjsKg2KR3NQ93XTOs2P-vhxw=w153-h92-k-no,https://serpapi.com/images/url/Cg5H7XicBcFJbsIwFADQE5mATQVBYhGgUYYqA4MSVhV2LLutv-3EGYALcgZu0_feL9n31m08T0kyE8YIxQfHO2Z0z3U_YwY8YR1iDjkv2PtyqTuyXhUjJaxVWMMnnYtxLiHlGFY3SC46i9ddjFkYDg3UoQ7K5FnlCpfZ4qsF_xkcK34f6O5qk-FRu3Epm0tEo5gmp8nm5mzRd_0DRXvdd_FJHaDa_bpU4PRIstIn9Tl3uECjvE_bafFBkPQx-kPa_AOCSkXb,https://serpapi.com/search.json?data_id=0x988543262c57c5%3A0x849ea0726bbb7826&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988543262c57c5%3A0x849ea0726bbb7826&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJxVcsJkOFmAARJni7a3KgnoQ,"Matias Barbosa, MG",lojas_artesanato,2025-07-28T23:18:33.054694,COMPLETA
3,Núbia Artesã,ChIJL-4vZeyPmAARbcDygMuXG2E,0x988fec652fee2f:0x611b97cb80f2c06d,6997353346347745389,/g/11kc8nqrcw,,0,Artesanato,Artesanato,handicraft,"R. Dr. Valdomiro Albuquerque Castro, 615 - Pitangueiras, Matias Barbosa - MG, 36120-000, Brasil",-21.8537516,-43.318957,+55 32 98875-1233,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BUDKHUtUR1jT4Q6v_yj5Xg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=321.7137&pitch=0&thumbfov=100,https://serpapi.com/images/url/kvIBWnicHc1fCsIgHADg2_iWf7ZqFUgQPQQ9FQ16G86ZOtyU-UvbaTpXtym6wPd93gYgxB0hESalIFmVg30pFxdBYO29dkoEG7H0A0mMgHkO7Sis2wcxetvxQ308n2qor6y_LS_r1Mz96q6RbBvprBqBRyUmabDOP3HyHdYhosw3FBm-LdAsMi8LhitWVihYkIZT9E8ePnFG6RclYTkD,https://serpapi.com/search.json?data_id=0x988fec652fee2f%3A0x611b97cb80f2c06d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988fec652fee2f%3A0x611b97cb80f2c06d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJL-4vZeyPmAARbcDygMuXG2E,"Matias Barbosa, MG",lojas_artesanato,2025-07-28T23:18:33.054694,COMPLETA
2,Jk Moveis,ChIJO-y0XNuPmAARoQZfnBlB5hw,0x988fdb5cb4ec3b:0x1ce641199c5f06a1,2082423455958894241,/g/11bx1j6cwq,4.3,27,Loja de móveis,"Loja de móveis, Loja",furniture_store,"Av. Cardoso Saraíva, 783 - Centro, Matias Barbosa - MG, 36120-000, Brasil",-21.872566499999998,-43.3207759,+55 32 3273-1821,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,"""Móveis de primeira, comprei todos para minha casa e garanto a qualidade .""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr9xhDXmQMmsZhSgTbvzSYtO2yAXi0xN_4BBkpQ94R9RkgCNygmLOQEv_mpyXmLbU9EFGKbVAJmGmBhZDUPLWCnUJMApn0pmxCECTBrHVR9wLCAHlx1QtFRo0U8mNwvSyPhQxg66Q=w80-h142-k-no,https://serpapi.com/images/url/5QYag3icBcFbjoIwFADQFVVQibGT-FEqahTR8lD0xwRCWgO3bWgHihucNcxuPOf_T1irzY_ndWI540rxrvk1TV8raRtpZ7UCj2uDaoOMRygWgeyxE9sS2BnMU2Q8r4ZP9rCXxUTKt--SVxCGrWY4SHHacppMHOILi4YX6KmEuCpwtNufqhs5wh5C8dwW1_hOZXE8Ey19DY5GNA_7wy3FY0zJoXNzZnep8os1JOOQTVfBHF-t2GZc-0jMgwVqkVRfrJdFtQ,https://serpapi.com/search.json?data_id=0x988fdb5cb4ec3b%3A0x1ce641199c5f06a1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988fdb5cb4ec3b%3A0x1ce641199c5f06a1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJO-y0XNuPmAARoQZfnBlB5hw,"Matias Barbosa, MG",lojas_decoracao,2025-07-28T23:18:36.117113,COMPLETA
3,Fontana Vintage Store,ChIJcVyXCxGPmAARS7sL-OPWp9w,0x988f110b975c71:0xdca7d6e3f80bbb4b,15899913284062264139,/g/11gxjtq8bq,5,22,Loja outlet,Loja outlet,outlet_store,"Av. Cardoso Saraíva, 126 - Centro, Matias Barbosa - MG, 36120-000, Brasil",-21.867659099999997,-43.3175816,+55 32 99185-8647,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""Faça uma vizitinha.""",https://lh3.googleusercontent.com/p/AF1QipMwiZkXc9BV5mQmq95tVKfG9W7jUe-HZQNcL9gc=w80-h106-k-no,https://serpapi.com/images/url/ql-GSXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW54ZlR2RbOkUZpobmFtoaVoS5p3mbhlunhWaqusRFeiX7GOZnmxbbmGgm2FoYKabrZuXDwCm0yEA,https://serpapi.com/search.json?data_id=0x988f110b975c71%3A0xdca7d6e3f80bbb4b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988f110b975c71%3A0xdca7d6e3f80bbb4b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJcVyXCxGPmAARS7sL-OPWp9w,"Matias Barbosa, MG",lojas_decoracao,2025-07-28T23:18:36.117113,COMPLETA
