position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Flor do Milho- Artes do mundo,ChIJi4qIx0_drgARURyzLcNNyTc,0xaedd4fc7888a8b:0x37c94dc32db31c51,4019829643085552721,/g/11j5vr5mc_,5,43,Artesanato,Artesanato,handicraft,"R. do Vento, 111 - Milho Verde, Serro - MG, 39155-000, Brasil",-18.4719323,-43.4968575,+55 38 98811-2328,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: 09:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Amei a loja,gostei do atendimento,pessoal super educado!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrGIKQWkIQ1-aJDSR_aKCiBrOgRsddD0ng9cjCGt2u4zMBczoxspiQ0QHWqHOUKssDTMwbDk8Pl_osnmaiqWnX6IsWHQPAYbFdg9bdokANs6hNkdlXI6bdRHT2ycfbrXBBm-uzxlg=w122-h92-k-no,https://serpapi.com/images/url/XioxinicBcHbboIwGADgJ6poJUSW7IJDFCQeylxgV4a22LKWFvlLdLzgnsG38fte_9K5AT48T8v1QlgrdDtBOzJrXGvcgtneEwMgBgi8KAmlb8ZdXpBK5WSFmn36VV6bIuni8SRK4DxdGhGy32Tn8OTPh5jN9glDR5Ykq-7Z6bsASC-HB03V5qyvFkzfdPfK1EEOVUbO0Q_dchFSblV0hEAeFdd1HlBeZhf8x250rOO4R9P81OLzscIYyRAjhYx9A54vRrU,https://serpapi.com/search.json?data_id=0xaedd4fc7888a8b%3A0x37c94dc32db31c51&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaedd4fc7888a8b%3A0x37c94dc32db31c51&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJi4qIx0_drgARURyzLcNNyTc,"Milho Verde, MG",lojas_presentes,2025-07-28T23:27:10.531410,COMPLETA
2,Cestas de café da manhã Serro Ateliê Apolinário,ChIJoewMapjjrgARFZ1XYvzy19A,0xaee3986a0ceca1:0xd0d7f2fc62579d15,15048763845677391125,/g/11w1lt4621,5,26,Loja de cestas de presente,"Loja de cestas de presente, Service establishment",gift_basket_store,,-14.4095262,-51.31668,+55 31 98215-1673,https://www.instagram.com/apolinariodealmeida/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:00–19:00,,,,,,,"""Cestas muito bem preparadas, produtos ótimos e frescos.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noQq2PzSCuMWhxTw0FieWiWYZkwsZHhBCijg-7KPr68Ttch_-OHiPXg_EDiYLsez5t0_rcwmd0iGP-lP37FKpiE-MRYQTTugLkUWRfvlqaDZEt2b8jN-tw2qi2GhMZq0RcXu-TgWg=w163-h92-k-no,https://serpapi.com/images/url/nAPRVHicBcFRboIwGADgE_2AZRNdsgeHCImildVUeCGz1raCFGhZFy-4M-w2-76_X2ltb958v5WhJ7QWLZ8MH5nuLO-sx_TDF70BZsD4q3gpXzp9HBB-fsZTTuUPccFGcapoWTXOVJn8iNVdQLTF43xBLJM1HDKFz6JO1qrcGf58tUE9Mve4BirF0OIw2mx7lUBelEdCJrFrTrS4fbfD17pKLLos7nuwDg0KpTKvhqBg5wmIoOLdzeYhyCWCBjr9D7AKRe8,https://serpapi.com/search.json?data_id=0xaee3986a0ceca1%3A0xd0d7f2fc62579d15&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaee3986a0ceca1%3A0xd0d7f2fc62579d15&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJoewMapjjrgARFZ1XYvzy19A,"Milho Verde, MG",lojas_presentes,2025-07-28T23:27:10.531410,COMPLETA
3,Pousada Luar do Rosário - Milho Verde,ChIJ55_K2E3drgARuTfF-uAKOVc,0xaedd4dd8ca9fe7:0x57390ae0fac537b9,6285066716368418745,/g/1pv1chxq9,4.6,312,Cama e café,Cama e café,bed_and_breakfast,"Largo do Rosário, 01 - Milho Verde, Serro - MG, 39155-000, Brasil",-18.473073,-43.498683,+55 38 3541-4090,https://www.facebook.com/Pousada-Luar-Do-Ros%C3%A1rio-129789667427485/,,,,US$ 68,,,,,,"""O café da manhã é simples caseiro com produtos feitos no local.""",https://lh3.googleusercontent.com/gps-proxy/ALd4DhG3m1gc1TdvRMIlndA7Y9LhNFBNJukdu4P8IRLBBdWLYY2q2o4QRpPutQcFH51MHOb_gccOfQlAzbg580uwcOzyi1JUrRh1VGDIgnP37BGRDw0vH2RyuXGKPvji5s7tyaz0U9sY9a2fk2PeO9Os2r4XHSuOJ2dZC5KPmYS39Gk5Bv02Dv8rxay2=w124-h92-k-no,https://serpapi.com/images/url/NXJYKXicBcFLcoIwAADQEyEkwEA604WUkY9oAtZWuulggsHyCSUEhJt6ka773vOvGsdevuh6U5kbLgRvSiXLgYpuLLtxQ0Wr815q_SAei75NmOVXgdkCTsE7m7JD1HRs6-QoqY477xirmimLuFGWeB77TPIc_kJhpVlP1JjSXWiDQ4iv35xSfEub7XrltmuomeJ1uYP4PGQV-Aj8iHfEdLwg82djCmG2qEuwJ9PP3ZbOuBSrcUYyRwW81ZCUGGEJB-sSnhSOIft6s_ekzU8mCmrbmwzoT-7wKBb4OgNoaRWCWq114h-Nz1Po,https://serpapi.com/search.json?data_id=0xaedd4dd8ca9fe7%3A0x57390ae0fac537b9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaedd4dd8ca9fe7%3A0x57390ae0fac537b9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ55_K2E3drgARuTfF-uAKOVc,"Milho Verde, MG",lojas_presentes,2025-07-28T23:27:10.531410,COMPLETA
4,SOUL MILHO VERDE,ChIJRXlldvLjrgARU55e6MwBjyM,0xaee3f276657945:0x238f01cce85e9e53,2562268692580572755,/g/11x1d1lzs8,5,1,Loja de Roupa,"Loja de Roupa, Loja de souvenires",clothing_store,"R. do Rosário, 80 - Milho Verde, Serro - MG, 39150-000, Brasil",-18.473432,-43.498578599999995,+55 31 99693-2401,,Fechado ⋅ Abre sáb. às 09:00,Fechado ⋅ Abre sáb. às 09:00,segunda-feira: Fechado; terça-feira: Fechado; quarta-feira: Fechado; quinta-feira: Fechado; sexta-feira: Fechado; sábado: 09:00–20:00; domingo: 09:00–16:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Muitas peças bonitas personalizadas e preço bastante justo!""",https://lh3.googleusercontent.com/p/AF1QipO8GkTH6f-dSwamMm8Ph1jH5SJxqBovzBaYcNPA=w80-h106-k-no,https://serpapi.com/images/url/0jsLfnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb-GeHeJhlqabElyemOubaxGQYZjlYRrsVVHolF9W5ZQYmewX4GhbbmGgm2FoYKabrZuXDwCjMCE3,https://serpapi.com/search.json?data_id=0xaee3f276657945%3A0x238f01cce85e9e53&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaee3f276657945%3A0x238f01cce85e9e53&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRXlldvLjrgARU55e6MwBjyM,"Milho Verde, MG",lojas_presentes,2025-07-28T23:27:10.531410,COMPLETA
5,D'ellas acessórios,ChIJKxv1nEPjrgARWAOliZePwQ0,0xaee3439cf51b2b:0xdc18f9789a50358,991231274010346328,/g/11rfdc_xvt,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. Sinval Lins, n° 458 - Gambá, Serro - MG, 39150-000, Brasil",-18.6044063,-43.3899574,,http://instagram.com/dellasacessorioss_,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no68UT3-zL-0YNuhOWAHRMyopjkODjWgu1OH92DzZb_cD9t1iXRRAAoB1H1H_IjxXISzdiXtQfuv1XOL4IvPWpc2Q62JZtHDCocuUsA1aogixKY9XmDVmdbuRa3cQLxnnsa0cOM=w122-h92-k-no,https://serpapi.com/images/url/gLbeAHicBcFBcsIgFADQE2GEOE7pjAsqC9LG0sTaoBsnYgqJhp8R0DT36yF6m77392tDGPxzklxtOjMA5tpE39w0uNC4MNPQJ2bwSHvkE7amduFg-bT7TNGUo_n-PVpZMVFufmDoLpJ3lYlYCkr4dDgdNacBt6osGYMXLLA4Zt2osu10blUovuMdK5kvsvtHNWhSLMnrIQi-Bh13nuEaTDu-7anq-Vd_PsWyTnWRj875eq7lZvXAhCBLCbogB_-COURj,https://serpapi.com/search.json?data_id=0xaee3439cf51b2b%3A0xdc18f9789a50358&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaee3439cf51b2b%3A0xdc18f9789a50358&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJKxv1nEPjrgARWAOliZePwQ0,"Milho Verde, MG",lojas_presentes,2025-07-28T23:27:10.531410,COMPLETA
6,Casa Encantada,ChIJy4PzNuLdrgARKxfQNwU_Bsk,0xaedde236f383cb:0xc9063f0537d0172b,14485334543127549739,/g/11k4x5_8g4,5,27,Pousada,Pousada,inn,"R. do Lajeado, numero 180 - Milho Verde, Serro - MG, 39150-000, Brasil",-18.4694558,-43.493502,+55 31 99965-8002,,,,,,,,,,,"""Lugar maravilhoso, super aconchegante!""",https://lh3.googleusercontent.com/p/AF1QipNdxY96gZ1gyGcAmMJc8tVOFcW9sCSxudHWjT9R=w118-h92-k-no,https://serpapi.com/images/url/jErymHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl1IRaWmWHmWYXume7Jjr65VsURLm75YcblnsHFxRmuIRnhViGWRbbmhooZthaaSbrZuXDwCsgCFe,https://serpapi.com/search.json?data_id=0xaedde236f383cb%3A0xc9063f0537d0172b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaedde236f383cb%3A0xc9063f0537d0172b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJy4PzNuLdrgARKxfQNwU_Bsk,"Milho Verde, MG",lojas_presentes,2025-07-28T23:27:10.531410,COMPLETA
7,Diamantina Presentes,ChIJ5YfHZom5rgARGMBEJkLYlPc,0xaeb98966c787e5:0xf794d8422644c018,17840121802542858264,/g/11h4nhrvgx,4,3,Loja de presentes,Loja de presentes,novelty_store,"Praça Sagrado Coração De Jesus,224 Mercado Novo Box 27/28, Largo Dom João, Diamantina - MG, 39100-000, Brasil",-18.246846899999998,-43.602382999999996,+55 38 98827-6123,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipPAe9CCPKk_8R_3AkuWctd-Cj4SEnE7BrP81tMP=w163-h92-k-no,https://serpapi.com/images/url/t-nDRnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4Jhq6ewc4J0dbxEUb-yYXRqeXJKi65xlEuya52ruVBRgYVjiG2BbbmhmrJthaaSbrZuXDwCOMyBz,https://serpapi.com/search.json?data_id=0xaeb98966c787e5%3A0xf794d8422644c018&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaeb98966c787e5%3A0xf794d8422644c018&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5YfHZom5rgARGMBEJkLYlPc,"Milho Verde, MG",lojas_presentes,2025-07-28T23:27:10.531410,COMPLETA
8,Portal do vale artesanatos regionais e nacionais,ChIJDUr0NB2frgARAhGTXr6Rb-0,0xae9f1d34f44a0d:0xed6f91be5e931102,17109053756220313858,/g/11j239b_nk,5,6,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Diamantina, 1671, Couto de Magalhães de Minas - MG, 39188-000, Brasil",-18.087859299999998,-43.4768993,+55 38 99974-4017,http://www.facebook.com/portaldovaleartesanatos/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,,https://lh3.googleusercontent.com/p/AF1QipMJXRRPYUlgY6BLeDQcjFY5_FSemi-pwl4p72px=w122-h92-k-no,https://serpapi.com/images/url/SGdSAXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng6xURFBQQGZqTHmnm5JPqEpic5RZpGu8WnJqbqVtQnmNSYG5UUGFbbmhkpJthaaSbrZuXDwCkIiE7,https://serpapi.com/search.json?data_id=0xae9f1d34f44a0d%3A0xed6f91be5e931102&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xae9f1d34f44a0d%3A0xed6f91be5e931102&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJDUr0NB2frgARAhGTXr6Rb-0,"Milho Verde, MG",lojas_presentes,2025-07-28T23:27:10.531410,COMPLETA
9,Pousada Cachoeiras de Milho Verde,ChIJGTzsikXdrgARyJcWk5PQg84,0xaedd458aec3c19:0xce83d093931697c8,14880966926008752072,/g/11cjk3lxfd,4.6,171,Pousada,Pousada,inn,"Distrito de, CEP 39.155.000, Milho Verde/MG Rua do Pica Pau, 91 Fica no Distrito de Milho Verde, município de Sêrro, R. do Pica Pau, 91 - Milho Verde, Serro - MG, 39155-000, Brasil",-18.472168099999998,-43.4967103,+55 38 98839-9885,https://www.instagram.com/pcachoeirasdemilhoverde?igsh=MWxueDF3dzBobWk0OQ==,,,,US$ 44,,,,,,"""Indico a todos que estão interessados em passar uns dias nessa pousada.""",https://lh3.googleusercontent.com/p/AF1QipMKpWc58B0J1xLaVzPSMwQKIsS3dhZMKp4Cpbpr=w122-h92-k-no,https://serpapi.com/images/url/h9I7YHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng610Qnmxq4WTgZVjhkxhWFRDsWx7o7VkcbJySEQWUNHEuSCoosi03NDLSzbA00s3WzcsHAJ1DISY,https://serpapi.com/search.json?data_id=0xaedd458aec3c19%3A0xce83d093931697c8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaedd458aec3c19%3A0xce83d093931697c8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJGTzsikXdrgARyJcWk5PQg84,"Milho Verde, MG",lojas_presentes,2025-07-28T23:27:10.531410,COMPLETA
10,Xodo Presentes,ChIJK4ALZAa5rgARRt_cTrKLQB8,0xaeb906640b802b:0x1f408bb24edcdf46,2251953411628785478,/g/11vdq3b8jf,4,4,Loja de presentes,Loja de presentes,novelty_store,"R. Macau do Meio, 140 a - Centro, Diamantina - MG, 39100-000, Brasil",-18.243384799999998,-43.5985036,+55 38 99747-7568,https://xodopresentes.vendizap.com/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:30; terça-feira: 09:00–12:00; quarta-feira: 09:00–17:30; quinta-feira: 09:00–12:00; sexta-feira: 09:00–17:30; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EcTJIE8zImExX4ZrgN0r9w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=106.271416&pitch=0&thumbfov=100,https://serpapi.com/images/url/uPGuh3icHc09DsIgGIDh27DJT9PU1oQ4MdTBycG4GEo_gYQWAliqt_FY3sbG-U2e9_sxOYd0ICTlCJAXCyXYFVzaBYm199qBDDZh5SeyMJLNcxpmad0xyNnbkQt1OfWiffeTWK_1LeozjV1BargrZ2HOPIGMymBdNjH6EeuQUOEtRYZ3FXrJwhltcLVnNWtQsFkZTtF_8_DL1ugPoMU5jQ,https://serpapi.com/search.json?data_id=0xaeb906640b802b%3A0x1f408bb24edcdf46&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaeb906640b802b%3A0x1f408bb24edcdf46&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJK4ALZAa5rgARRt_cTrKLQB8,"Milho Verde, MG",lojas_presentes,2025-07-28T23:27:10.531410,COMPLETA
