position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Minduri,ChIJmyGkvJm7nwARTFqeedHkHOA,0x9fbb99bca4219b:0xe01ce4d1799e5a4c,16149033952183474764,/g/11flc05c97,4.5,19,Loja de Roupa,Loja de Roupa,clothing_store,"R. Paraná, Minduri - MG, 37447-000, Brasil",-21.680873,-44.6019289,+55 35 99905-1377,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,"""Cidade calma e com suas belezas naturais refletidas pela natureza.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npFdMmAIzisSyisRmerBSGj5R9MHP8J4HOKD05spqcPj0-NTeXHee-Y832Ep6ycKUDAaI3Kv6xDZYL-qYdfJAOqQIfVLT99eHvE032p3ACAWazxm9G1sCnpxCOOAHsyueNVULc7=w163-h92-k-no,https://serpapi.com/images/url/tfKJ7HicBcHtFoEwGADgK5rSiDnHjyksRb7JP2de5aNteUO5PxfhbjzP75uVpcGeZd0z2ki1Tu_wRHhIrUpQZUPq3EoNEokELe6xrKXM6DTNefC54Kq-4DKHx2A1vraXbCrm3UlLxKFvt9EUcn61yWwNewFAki51hsatZbjx-TGg4cut_EMSkSI5nSc8LhbBeRutGQPxGtrUMZR7fHf8VDkbN9FTpvLimAusnzDbbiLZ6b-bLiUZc8iNKP0HWUNC_A,https://serpapi.com/search.json?data_id=0x9fbb99bca4219b%3A0xe01ce4d1799e5a4c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fbb99bca4219b%3A0xe01ce4d1799e5a4c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJmyGkvJm7nwARTFqeedHkHOA,"Minduri, MG",lojas_presentes,2025-07-28T23:29:55.366258,COMPLETA
2,Loja Óculos Popular Minduri,ChIJG1nMgEi7nwARMKBV0kIWrqw,0x9fbb4880cc591b:0xacae1642d255a030,12442907296723738672,/g/11vbwcxhxb,5,1,Loja,Loja,store,"R. Antonio Luiz Furtado, 26 - Centro, Minduri - MG, 37447-000, Brasil",-21.6810108,-44.6021766,+55 35 99892-8222,,,,,,,,Cartão de débito,,,"""Loja de óculos no centro de Minduri""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npScKHXA1pajRvVJZsNV-bwWKlBOrCR3KTSPSqP5CVgl7KCIMRq4kznvEjRVvciMO66Ll0b2D6KIcZnutFALULhfl2qyjB2lukplErzLbYoUjS0NajAeTtYlRrcaas0_lWkGRDA=w80-h106-k-no,https://serpapi.com/images/url/9DhFLnicBcFbjoIwFADQFVUqKuOY-FHxXXykKD5-DDRIp9xpCy0Y3Z-LcDee83kL54wdeR6IXqfQuoC8sXnNtXK5ch2u_73CWMQtsh4Jf0VfmZjT5Zl0TSpZm6yvdpug7HGiMNnVIevRQ7yPq_0gTAr4oeFqw6p--VLtTLKk5X-bXRBEgDN_GtAVv6rGzUl0jMQd_OopJz40pYFZ_Yqyiz7KGG9TSfKDuwCreZpafINTuWBTMn4MMRJdHKASKf0F309FQg,https://serpapi.com/search.json?data_id=0x9fbb4880cc591b%3A0xacae1642d255a030&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fbb4880cc591b%3A0xacae1642d255a030&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJG1nMgEi7nwARMKBV0kIWrqw,"Minduri, MG",lojas_presentes,2025-07-28T23:29:55.366258,COMPLETA
3,UAI SÔ UTILIDADES,ChIJa5koSkK7nwARCcSLli9wqrI,0x9fbb424a28996b:0xb2aa702f968bc409,12874225834483500041,/g/11t6yfhp4r,5,1,Loja,Loja,store,"Av. Getúlio Vargas, 166, Minduri - MG, 37447-000, Brasil",-21.6804243,-44.6050873,,https://instagram.com/uaisoutilidades?igshid=YmMyMTA2M2Y=,,,,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Atendimento maravilhoso e várias opções de presentes.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqZp_mA4qNkj55Te3k2W_s_7K1iL-l_I0pgLihNPPJAR8kuZ6hC51EsKShbFoF5iCEZwiQx7iYCGkasHn_7PHUXOhO65krDy3YTDk6b1uO8vq5EUdDaq19lxP9NpO5kZOOca3S2=w80-h106-k-no,https://serpapi.com/images/url/xTsBgHicBcFZEoIgAADQE5GS4dJMH45L64hlTeUPo-YIYYCiLQfsEN2m935fOgxKzw2jpdakkbJp61HXfSXFUIthUsmH0SgNKg204QcenYkuV-Thz7qE3xE61hafnokmzhayHWjJ2lTNjtEkTTf-weVjbtMAwUhvM1rGMkYsiPIX278ddg2WvNArQZx0dbpgim3E-_BjXY8ht0s4YvfZoeh0C4sOeu079RKFEc8xrgormy5ergkoNG3AgZB_dPZDOQ,https://serpapi.com/search.json?data_id=0x9fbb424a28996b%3A0xb2aa702f968bc409&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fbb424a28996b%3A0xb2aa702f968bc409&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJa5koSkK7nwARCcSLli9wqrI,"Minduri, MG",lojas_presentes,2025-07-28T23:29:55.366258,COMPLETA
4,Empório das Perdizes,ChIJM0fQeKi7nwARBsQ5hciKH5U,0x9fbba878d04733:0x951f8ac88539c406,10745459829762540550,/g/11vt7pvjfc,5,167,Cafeteria,Cafeteria,coffee_shop,"Av. Getúlio Vargas, 386 - C, Minduri - MG, 37447-000, Brasil",-21.6807332,-44.603048799999996,+55 35 99995-8852,https://www.instagram.com/emporio_das_perdizes?igsh=MXQ4ODVmZzhreW51NQ==&utm_source=qr,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,"segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–12:00, 16:00–19:00",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Para viagem, Refeição no local",,"""Local de fácil acesso, banheiro limpo e capricho em todos os detalhes.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqT8ksQIecALuQep8eD4qS7Y7HkL1zDy5ofBY139jjDuFYv2xFCMq5JO9j8XOcN941XtuTVunmcxu_QI0fHRAFTVzo3siVJmAhdlK0zQDzbaQzEV4K5584U5UHyrsFAOgujCiq8=w80-h106-k-no,https://serpapi.com/images/url/aKGz3nicBcFZcoIwAADQE0VAkhqc8SOFMrhUJoqMfHU0jUSWBEzikvt5iN6m7_29hTGDnnteJ8JJrVTdcav5jSlpuDQTpnqvHjRgGmiPxJGAcixwq-mSM7KxlA-YJ3Dcz6pZ1m4Cl7yQunxWQRg1TWLT6j59pvH3iFZ51OBjzrYRDI7GFqWVPXvaH7r0L9mOpEXpVKiv5aon4rdb-44m7nyi7quEa4QwPKBD9rrplOS1beLriBcP7AMR-B-gBVL9A5gTQ_o,https://serpapi.com/search.json?data_id=0x9fbba878d04733%3A0x951f8ac88539c406&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fbba878d04733%3A0x951f8ac88539c406&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJM0fQeKi7nwARBsQ5hciKH5U,"Minduri, MG",lojas_presentes,2025-07-28T23:29:55.366258,COMPLETA
5,Minduri-MG,ChIJvyj0XAC7nwARpl4ZOxPM0o0,0x9fbb005cf428bf:0x8dd2cc133b195ea6,10219454887425040038,/g/11wmxyvdpv,4.8,12,Hotel,Hotel,hotel,"Minduri - MG, 37447-000, Brasil",-21.6792534,-44.593713099999995,,,,,,,,,,,,"""Amei a cidade , bem aconchegante""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nolT-dUWxZ_wvm6vEWRG7DG113cl05P94fSh5wwzMHsfoCbPcFX9c1CqkSElUo6f5wx-Xk4T7FuvJswslNCA_ahx_6JNyk4sw9QgZyIrdP7kttM9_nDgRou-k_qJutQDfqmsxHArw=w121-h92-k-no,https://serpapi.com/images/url/WyCg_HicBcFbjoIwFADQFVWmyiM18YOAjyHR4Csafxqt0CYtvcItFN2ga5jdzDl_X-XcC-dBYNRsIgGkqXqsOgHWVdZNBDSBfCERSDBIM6ZCC-ZEnufLeON-aOJheTmsk3xN6UyYn6hkYX1Ukfef7QZryB6lWF2ZoFmrj0tzhriO_EiuOjwlq34o0KPZZSm_q5HHxe6tQ_RsL2_v3-5ZJtq5LeM2lwfoieZt0bt9XrcNjpu08wtPp5QoNiWaWPgHgmlGvA,https://serpapi.com/search.json?data_id=0x9fbb005cf428bf%3A0x8dd2cc133b195ea6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fbb005cf428bf%3A0x8dd2cc133b195ea6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJvyj0XAC7nwARpl4ZOxPM0o0,"Minduri, MG",lojas_presentes,2025-07-28T23:29:55.366258,COMPLETA
6,Risca e Rabisca,ChIJEZmIKgC7nwARNmZdjo38xxs,0x9fbb002a889911:0x1bc7fc8d8e5d6636,2001846244298548790,/g/11yb1ytqx0,,0,Papelaria,Papelaria,stationery_store,"Av. Getúlio Vargas, 382, Minduri - MG, 37447-000, Brasil",-21.6807446,-44.6029899,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JPlEqvOGAyIY8Ow3JDEnKA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=213.19498&pitch=0&thumbfov=100,https://serpapi.com/images/url/Su3ejXicHc3LDcIgAADQbbjJp_VATYhpYmOsh3r1ZChFIKGABcFu41puo3GB9z5vnVKIO4RiWqRM2cgSzEvauAkcKu-VlTyYCIWfUSYo6ec8Om7sPnDnzcT6i-0eeTi26-lKh1L3h86dWyDGm7BGusSi5IvQUJWfuPgJqhBBYRQDzZoKrLywitSQNNuGgmCS0AyD_3L3mRGMv1zYOS8,https://serpapi.com/search.json?data_id=0x9fbb002a889911%3A0x1bc7fc8d8e5d6636&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fbb002a889911%3A0x1bc7fc8d8e5d6636&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEZmIKgC7nwARNmZdjo38xxs,"Minduri, MG",lojas_presentes,2025-07-28T23:29:55.366258,COMPLETA
7,Evolution Roupas e Acessórios,ChIJIcdH3Du7nwARo6GNwoQ6exY,0x9fbb3bdc47c721:0x167b3a84c28da1a3,1619952832843981219,/g/11k4sxqvfd,5,3,Loja de moda feminina,Loja de moda feminina,womens_clothing_store,"Av. Getúlio Vargas, Minduri - MG, 37447-000, Brasil",-21.6807586,-44.600135099999996,+55 35 99764-8178,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Ótimo atendimento, roupas bonitas e de muito bom gosto!!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr5uQJV7RfCuF3Ag_fOFNJYzep5qY6q4JimaXhdfH42nsHzbYQbWcuUL4u2CXaOszQiA23waLPDIycxKfawq6XxJdRj7fsBkNVKDLOo5guhmgVMsoDWiJinzWlKpFnvtr0mxd-yTw=w163-h92-k-no,https://serpapi.com/images/url/MrnAo3icBcFbcoIwFADQFUUsL0dn-kFhGA0oxWl5fHUwkIQKCXATQTbYNbibnvP640oNcDCMjlsbJiXrGg3NRKRQjVAbInuDDYAIIDA8f89tMTk6xdnuSn0dWh77oUl4weXaDM5YuqON274qeE2PtinguN7K9JYT_R3b2vSLKoE1bT3Tmqv4Mzg9yRLRah7dYsH19XdH4eN-yaIgTqTDNO9ZdgYZ5C1uxZp30RCKh5q2_VKj59f8Pr-5FuJ7E92RkP-y2Ec_,https://serpapi.com/search.json?data_id=0x9fbb3bdc47c721%3A0x167b3a84c28da1a3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fbb3bdc47c721%3A0x167b3a84c28da1a3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJIcdH3Du7nwARo6GNwoQ6exY,"Minduri, MG",lojas_presentes,2025-07-28T23:29:55.366258,COMPLETA
8,Vesty modas,ChIJR--RRHa7nwARpnfDhdtd0XM,0x9fbb764491ef47:0x73d15ddb85c377a6,8345554781917640614,/g/11h1mdcpg1,5,1,Loja de Roupa,Loja de Roupa,clothing_store,"MGC-383, 69, Minduri - MG, 37447-000, Brasil",-21.680331799999998,-44.6001437,+55 35 99905-1377,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq87gg19JNO-JvVVrc-aVDHw0ZkSr67jRZUHKediFgGS5zpqeDnGTOtTF980GdMFND8nQKddwy0eIhh4dJgYJJmYgzsR3dLH5ruqarZGRD2d4VAhTKs7rLxyl4hTBo1OFect-GJ=w163-h92-k-no,https://serpapi.com/images/url/9Uj0OXicBcHbDoIgAADQL8JLmpe2HionhpXLzC3fGjAoFRQoq__rI_qbzvl9uTGDXth2xz2LSck6-tBUYSkMFcbCsrfZoAHWQNurTcx9MUYhY26MDgVAz7pWGFzrJJucpj2pILyXzTnLKbmlDJ7mn2GkiYBVYao0jhxI9ukhicQxJ2R6O3TLuU8QuyDUX9hHlx7ZZXP1GK-qgWUyI3694lWuQ7V7vTufV2vpFinFBkC0nNzAAzyegRYI-Qd6Y0Ph,https://serpapi.com/search.json?data_id=0x9fbb764491ef47%3A0x73d15ddb85c377a6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fbb764491ef47%3A0x73d15ddb85c377a6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJR--RRHa7nwARpnfDhdtd0XM,"Minduri, MG",lojas_presentes,2025-07-28T23:29:55.366258,COMPLETA
9,ARMAZEM DOIS IRMAOS,ChIJx1u0Tr-7nwARsp88GdJ8IG4,0x9fbbbf4eb45bc7:0x6e207cd2193c9fb2,7935479785235193778,/g/11rb8bfkwy,5,6,Armazém,Armazém,general_store,"Minduri - MG, 37447-000, Brasil",-21.6834903,-44.6159585,,,,,,,,,,,,"""Ótimo atendimento.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noieYHoehDT3pQXHvAUW7zS2NDyhs-JTbK36wn9IS6skzcpb5Fh8rc6HhCt8JUlXjB5rt514TjloA0nkpAX09J6uRAq9SjvWxMi7y-DE-B5K8k4Hxt2KUw4-RKgCbwd1DZtzKnvTg=w80-h110-k-no,https://serpapi.com/images/url/bPS5snicBcHdDoIgGADQJ_pS8ydt64K0ZrLaSl3WpcQgNSAhLV-wZ-htOuf35cYovbSsjrszJiXr6EvTnkhhqDAzIh8WUxqIBm2hOOKekHd6SSXlSeGqY5UOqDwvpnx-SD5cQ1bU2A1GEe3yQLcTUbW_5WFPgpTHJszKrmrWfm98xyuaTiJbtApVdpQFrxN6RnkznN_7--IDyQbWPg5bL32bOS5HD06YxfV4c5KrmbAYCrYaQxu449jQgpB_KSBEXA,https://serpapi.com/search.json?data_id=0x9fbbbf4eb45bc7%3A0x6e207cd2193c9fb2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fbbbf4eb45bc7%3A0x6e207cd2193c9fb2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJx1u0Tr-7nwARsp88GdJ8IG4,"Minduri, MG",lojas_presentes,2025-07-28T23:29:55.366258,COMPLETA
10,Prefeitura Municipal de Minduri,ChIJV38-DrG7nwARe0udJxTBPAw,0x9fbbb10e3e7f57:0xc3cc114279d4b7b,881791919365901179,/g/1q64dbm0c,4.5,18,Prefeitura,Prefeitura,city_hall,"R. Penha, 99 - Vila Vassalo, Minduri - MG, 37447-000, Brasil",-21.681514699999997,-44.6001255,+55 35 3326-1219,http://www.minduri.mg.gov.br/,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–16:00; sábado: Fechado; domingo: Fechado,,,,,,,"""Tudo no horário.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noNeV6FhIZ1_vX9vMf9yrxiioSD1751U9p3oLINY-LR3jghpd4GH2B3HvzAxYcgpTlD2pDK6WZOk3ima_7yDsJqMCy5u0A1Y3YyJjrGmLZcGmGSsvHQJzj_p17EAZbrxiWNYz_9=w122-h92-k-no,https://serpapi.com/images/url/QYCBtnicDc3tFoEwAADQJ5psQ2fO8SOiJDm-rT8dJlupNi1R7-chvA33Be73I6pK6aFhZAJ3uJQ8i586LpksqrioOkzmBlcaMA20YU2I6BUyiA-DmZiHMKpPpF7eSFO-k0RubWj24Z4oLP15QIG_wSkX6tpzXDTGbt1ab8q42mU2UvZicAxXd5zk58hsbO09lpOm_-xakGLaeGnp5H7InNzZ6tpde20aKWhOrfDyn44BbSMyekGEgCAI3EEhf5NtREc,https://serpapi.com/search.json?data_id=0x9fbbb10e3e7f57%3A0xc3cc114279d4b7b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9fbbb10e3e7f57%3A0xc3cc114279d4b7b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJV38-DrG7nwARe0udJxTBPAw,"Minduri, MG",lojas_presentes,2025-07-28T23:29:55.366258,COMPLETA
