position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Magazine Moeda,ChIJWTbaFHlJoQARaHp0Xs9NvFA,0xa1497914da3659:0x50bc4dcf5e747a68,5817610371694099048,/g/11gd6733t8,4.6,85,Loja de eletrônicos,Loja de eletrônicos,electronics_store,"R. Prof. J Emílio, 2 - Moeda, MG, 35470-000, Brasil",-20.331960199999997,-44.05441,+55 31 98479-1250,https://guiadaestrada.com.br/listings/magazine-moeda-loja-da-jorgete/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimos preços e uma vasta variedade de produtos.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrD4JLvcJgmB6sLCUwv5ZY7iMApZqZw1uOmAsqCitBzmc7ArDl4tgp9SeBkH4P0UjJiyaej-6KEFQa-dcgc8YNI4EkJkTaqGYT8vvhtAW7L6j039AYPoaOe6FIupdM9h8W86aIMcA=w80-h142-k-no,https://serpapi.com/images/url/MrbluHicBcFdboIwAADgE1VwdqWY-FBANxhMjRgDb01pWn5baIG4C-4M3sbve_1La7XZO04ndxuhlOj4bPjE1GD5YDdM9Y7QBjADjENCX8JhimCSLiwRfYBMGt7X5bMsvDojuhzLdTufe2LGsLbBX888MkUdtEL7Nx603_Di3pukflLeAPRzPF0pqJhguPiN4bFN2pyOX0WOl0Va8vBS1Lg7nxQXRc8cneJZV5kv8QMjGmeMHFbsArmFH6AFg3oDXLtEdA,https://serpapi.com/search.json?data_id=0xa1497914da3659%3A0x50bc4dcf5e747a68&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1497914da3659%3A0x50bc4dcf5e747a68&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJWTbaFHlJoQARaHp0Xs9NvFA,"Moeda, MG",lojas_presentes,2025-07-28T23:32:39.373192,COMPLETA
2,Amanda Styllus,ChIJMRvtTHpJoQARbR03gZdCTww,0xa1497a4ced1b31:0xc4f429781371d6d,887000870090644845,/g/11j133b4n1,5,1,Loja,Loja,store,"R. Padre Osório, 53 - Moeda, MG, 35470-000, Brasil",-20.3338523,-44.0516486,,,,,,,,,Cartão de débito,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6sIQxMFIQXUWBzDTRLSFyw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=48.46046&pitch=0&thumbfov=100,https://serpapi.com/images/url/UNPyBHicHc1fCsIgHADg2_iWupCxAgkiBoN6WH-ot3DOVHDzx7S5dZnO1W2KLvB9n7eJEcKakBAHpeJoVQI7KRcWILD2XjslwAYsfUfGjETz7JpeWLcB0Xvb8jxU9XQoq_p2uW5fu_NxfyrnhGRzl86qPvKgxCAN1uknDr7FGgJKvKDI8NUSzSJxVmCWU5YjsFEaTtE_efiRZ5R-ATgSOT4,https://serpapi.com/search.json?data_id=0xa1497a4ced1b31%3A0xc4f429781371d6d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1497a4ced1b31%3A0xc4f429781371d6d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJMRvtTHpJoQARbR03gZdCTww,"Moeda, MG",lojas_presentes,2025-07-28T23:32:39.373192,COMPLETA
3,Fábrica de Biscoito Moedense,ChIJC2JcePJLoQARxtgVXhK4ftM,0xa14bf2785c620b:0xd37eb8125e15d8c6,15239820578095749318,/g/1vfp4wcn,4.5,141,Loja de biscoitos,Loja de biscoitos,cookie_shop,"Av. Valdevino Silva, 414 - Moeda, MG, 35470-000, Brasil",-20.3314335,-44.058726199999995,+55 31 3575-1026,https://guiadaestrada.com.br/listings/biscoitos-moedense/,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–18:00; domingo: Fechado,$,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Produtos saborosos, equipe de atendimento atenciosa e bem treinada.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npjNjQsTOqnanaJoxrt4VAbCJ8lW2ptA1p844ms8-CDiJ-ujpQJmI-gyW8yzdEqWkfZ_brBJt24451dHukKEIXWeNTVDn8nicplrN4dPMa-7F7HCv_6Uwf75-7gpNP57hfJk2Q=w122-h92-k-no,https://serpapi.com/images/url/gFfUjHicBcHbDsEwGADgJ_otq05L4mKGUDGWYOJmmR1aO7S1dk7P5yW8je_7fYW12kwcpxHDAVeKN0Vvii5T0hbSDjLVOlwbyAwYxw_GAktdhVVkDru7TGXK1Kuz-ORfA0abGGnru5pi3BoKwfzGoK90xNo18HdM3598cY_r8pJcuxmzCGPPzVd9vVmsz3ERHk5zSeUt000X4ny_TYEsySp4JKPjsyQeEK7DvUdEyWoUTZ8uQiDGCGqQ6g-ctEN8,https://serpapi.com/search.json?data_id=0xa14bf2785c620b%3A0xd37eb8125e15d8c6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa14bf2785c620b%3A0xd37eb8125e15d8c6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJC2JcePJLoQARxtgVXhK4ftM,"Moeda, MG",lojas_presentes,2025-07-28T23:32:39.373192,COMPLETA
4,Moeda Geek,ChIJBW9NhylJoQARpkJe7Zzq5WE,0xa14929874d6f05:0x61e5ea9ced5e42a6,7054302351063925414,/g/11qh2xby7g,5,1,Loja de fantasias,Loja de fantasias,costume_store,"Av. Valdevino Silva, 584 - Moeda, MG, 35470-000, Brasil",-20.3300801,-44.0593899,+55 31 98305-7677,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npmfztnId5BF_zdlB4D4KRZG27DSkP67CsK2jlahKNGJ0UBwNPfFTT3slATEIJQX_mBsq6iBTNyiTR9CxKlHmwPvAA9WTsF1MTTrAcRslQOMxBTlbtbOmkz7FZHoJ-rsYUTQUwX=w90-h92-k-no,https://serpapi.com/images/url/wo00SXicBcFbcoIwFADQFUUUqUyc6UeCosKIgJep-uMoIlHyoNy0WNbXTXQ3PefvV1jb4txxpJiOamNqWX1h1ZVG20rbUWmUU7dISiTosIAKT7fqPli9ub3x8DzcJPcWXpyfVq6_2DfpzA8wdp_yIuJkFY0L3ifpPQSYomSw3ETZ4aw4fs4eHJKfB-Q0eMVyrfr0mzH6ARhOtgAdK3OU2W774iCv9rpTzeCHp7WJSIfHArKiP7z3dEwEdUlDtPkHUBZENA,https://serpapi.com/search.json?data_id=0xa14929874d6f05%3A0x61e5ea9ced5e42a6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa14929874d6f05%3A0x61e5ea9ced5e42a6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBW9NhylJoQARpkJe7Zzq5WE,"Moeda, MG",lojas_presentes,2025-07-28T23:32:39.373192,COMPLETA
5,HLT ELETRO FERRAGENS LTDA-ME,ChIJxTgJaHlJoQAREKRKt2x0K7E,0xa14979680938c5:0xb12b746cb74aa410,12766425578992215056,/g/11c3tw_999,4.5,44,Loja de materiais elétricos,"Loja de materiais elétricos, Loja",electrical_supply_store,"Antiga, Av. Prefeito Oswaldo Fonseca Machado, Av. Saracura, 499, Moeda - MG, 35470-000, Brasil",-20.335033199999998,-44.051167799999995,+55 31 3575-1283,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npa45tlpRp2Nn4Hp_bRRKZSLSy8rewku_L13512OJUkIN9axd-HNnwptVkXPh_FC8EK8Ksmg4rGZeIUbCJbFIhm9xAAe4enbHVTpP4d5yel7VVRGET5YYz0n1K-QGLC3BrEuRE7=w163-h92-k-no,https://serpapi.com/images/url/rr8wbXicBcHhDkJAAADgJ7qEU7T1QybEpKNb-WPo5jbc3dyZ9H49RG_T9_2-VCkhD5o2UHPTcd4NZJZkajlThKlNy0etExK0EkjN9RwKmaihpQaBhJEyGIqqQSgu8yRf7Yks_VwlumnpxvVy76PUqd8vEKZsEQr3j4xWZ8_2YzuWYwenoCTRvfEuzTmio_N2XQIJa0JciAy-rJUMe4xR4BfW8_nZMj0GtyDxzNPkz8jfHxd9ZwLqGKAHjP8BoJlDRg,https://serpapi.com/search.json?data_id=0xa14979680938c5%3A0xb12b746cb74aa410&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa14979680938c5%3A0xb12b746cb74aa410&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJxTgJaHlJoQAREKRKt2x0K7E,"Moeda, MG",lojas_presentes,2025-07-28T23:32:39.373192,COMPLETA
6,Agro Pet Moeda Ltda,ChIJ9ZQkbXlJoQAR1AtIVMfqYS0,0xa149796d2494f5:0x2d61eac754480bd4,3270152946281090004,/g/11gf0nnz4s,4.7,36,Loja,"Loja, Loja de artigos para pesca, Floricultura, Pet Shop, Loja de produtos para piscinas",store,"Av. do Comércio, 29 - Centro, Moeda - MG, 35470-000, Brasil",-20.3321818,-44.0543556,+55 31 98360-4106,http://www.agropetmoeda.com/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–17:00; domingo: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNQWyaYZjWr9dRXjfv1iqbXak5CqN-pG1H9UXSi=w138-h92-k-no,https://serpapi.com/images/url/1WEw03icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngFxhemRgZlRVeZJkSFJGVVmaYWZgUkZht6lzop1vgbuhhGRoRnGlbbmhsoZthaaSbrZuXDwC64SGI,https://serpapi.com/search.json?data_id=0xa149796d2494f5%3A0x2d61eac754480bd4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa149796d2494f5%3A0x2d61eac754480bd4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ9ZQkbXlJoQAR1AtIVMfqYS0,"Moeda, MG",lojas_presentes,2025-07-28T23:32:39.373192,COMPLETA
7,Loja de vestuário Casa Real,ChIJHVzYdXlJoQARHwMJBaakgQI,0xa1497975d85c1d:0x281a4a60509031f,180606493027533599,/g/11bwh9zdxp,3.6,8,Loja,Loja,store,"Av. do Comércio, 163 - Centro, Moeda - MG, 35470-000, Brasil",-20.333156,-44.0538291,+55 31 3575-1021,https://guiadaestrada.com.br/listings/casa-real-loja-do-aroldo/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–16:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Tem uma variedade em roupas , calçados, roupas de cama e com preço justo.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqsA03xKlTNNSr5hpEmJup8pQkY1DphHqnm9438yJIOsUaGcl0OV_qFzgr1ETz9MiAJZaCZTxEEAAgaT1ajEPNLHeTTx2uhhhLE8G1Tm4Gyww0nnLwIu2JswNpYLIWpUBDpKTz_NQ=w122-h92-k-no,https://serpapi.com/images/url/Q6jsgXicBcHRboIwFADQL6rQggks2UOnHYKszqy66IshhPQ6ob1QSJEf3Dfsb3bO3y-MI7qXIGghWmlrddtMrhlqa8bGjKvadoFGR2pHXMA3KcSmdzyM5n2rpPwa1oCiKyZM8Pi40C3CrjddGkfJs8gP7lRldRsezrf-fdEDFWpJP-68uFabq5qF4FxXilY_4lOWu0apmU0AUIoko6qLs6f3oTGlzydWOC_xUubfeHrb4l4tN3l89ZQxAikjD2LsP2bNRXc,https://serpapi.com/search.json?data_id=0xa1497975d85c1d%3A0x281a4a60509031f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1497975d85c1d%3A0x281a4a60509031f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJHVzYdXlJoQARHwMJBaakgQI,"Moeda, MG",lojas_presentes,2025-07-28T23:32:39.373192,COMPLETA
8,Loja da Edinéia,ChIJwTP3gipNoQARwH_AVUnuhy0,0xa14d2a82f733c1:0x2d87ee4955c07fc0,3280852852301397952,/g/11t59l9l9r,4.5,4,Loja de Conveniência,Loja de Conveniência,convenience_store,"R. Nossa Sra. de Lourdes, 12 - Pedra Vermelha, Moeda - MG, 35470-000, Brasil",-20.3148429,-44.0041969,+55 31 97157-9205,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente, recomendo""",https://lh3.googleusercontent.com/p/AF1QipMxKKC1yTC3fISnC-GZwFCcs7tpfE4DObnXtnxg=w80-h106-k-no,https://serpapi.com/images/url/VYwK_3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW-Ht7WxYGeJsnOYZnOes6x5V7uacXGxeUpDmauLin5QXUZJXkW5bbmGgm2FoYKabrZuXDwChqyFV,https://serpapi.com/search.json?data_id=0xa14d2a82f733c1%3A0x2d87ee4955c07fc0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa14d2a82f733c1%3A0x2d87ee4955c07fc0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJwTP3gipNoQARwH_AVUnuhy0,"Moeda, MG",lojas_presentes,2025-07-28T23:32:39.373192,COMPLETA
9,Jb personalizados,ChIJU9Ldfk5JoQAR7cEB82SJcNE,0xa1494e7eddd253:0xd1708964f301c1ed,15091713417985245677,/g/11fntdbnd0,1,3,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"R. Gerônimo Pinto, 31 - Moeda, MG, 35470-000, Brasil",-20.3365629,-44.049495199999996,+55 21 98223-4143,https://jbpersonalizados.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Entrega no mesmo dia",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kx6YqYpjrwZefz_lPrp5qA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=51.41143&pitch=0&thumbfov=100,https://serpapi.com/images/url/Mwdz2nicHc3bDcIgFADQbfiTh7ZGTYhxA3_rT0PpFVBabgFLdRnnchuNC5zzeducMR0YSzkC5NlBQbeATytU1IRgPCh0ieowsFmwbB9DNyrnj6jG4Hp5X7bN1OAtlgtcX60_R6ynE9Fdq72DMcsEKmpLTfmJMfTUYCJF7jixcr8mT1VkLWglRLUh6LK2kpN_cg2zFJx_AZlOOkw,https://serpapi.com/search.json?data_id=0xa1494e7eddd253%3A0xd1708964f301c1ed&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1494e7eddd253%3A0xd1708964f301c1ed&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJU9Ldfk5JoQAR7cEB82SJcNE,"Moeda, MG",lojas_presentes,2025-07-28T23:32:39.373192,COMPLETA
10,Fundinho de Quintal - Cactos e Suculentas,ChIJp1pqLHJJoQARL_zHVL1wEuM,0xa149722c6a5aa7:0xe31270bd54c7fc2f,16362264354663955503,/g/11nxs8vx1y,5,3,Floricultura,Floricultura,florist,"R. Maria Romualda Pinto, 60 - Centro, Moeda - MG, 35470-000, Brasil",-20.3330494,-44.0564365,+55 31 98432-8810,https://instagram.com/fundinho_de_quintal?r=nametag,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipOtFROc2rA4WfXm-2WUVhc-k8gvxrc0LyxcUa8i=w80-h94-k-no,https://serpapi.com/images/url/TjPSrnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX-IW5J9sVORoEp4WkatrFB4alpGsm22RXlZRlGzgU1mRHJpokWlbbmGgm2Fpoputm5cPAIdVIUA,https://serpapi.com/search.json?data_id=0xa149722c6a5aa7%3A0xe31270bd54c7fc2f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa149722c6a5aa7%3A0xe31270bd54c7fc2f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJp1pqLHJJoQARL_zHVL1wEuM,"Moeda, MG",lojas_presentes,2025-07-28T23:32:39.373192,COMPLETA
