position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Isabela Presentes,ChIJb2mm9PQYqQARwNJluCiDiBs,0xa918f4f4a6696f:0x1b888328b865d2c0,1983979846772314816,/g/11c55qhpj0,4.4,21,Loja,Loja,store,"R. Comércio, 131-201 - Monjolos, MG, 39215-000, Brasil",-18.3254221,-44.117134799999995,,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–17:00; terça-feira: 07:00–17:00; quarta-feira: 07:00–17:00; quinta-feira: 07:00–17:00; sexta-feira: 07:00–17:00; sábado: Fechado; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noQoqxNVHUlHdoeC7h0gfUddnodNgVIgmv8rwsUlQMdJ1SFTpylaaeF6E0cWDU7bHFyg-ofbmLcT4uLqSTd0Al_kqE3icYxkf7LiXVfvufgdZGGJe_2lF5YMFeYdcitpR869E4A=w122-h92-k-no,https://serpapi.com/images/url/dZInDHicBcHdEoFAGADQJ1olkcy4aGjFxAwqcmPY36Ztv7Kbnwf0EN7GOb-vtLY1M8dRcjQQAEKx3rAHAW2ZtgMCjSNag4hBxokWofQ17KF774okVwkFtgikK3hOqQa6E8VaNM_p42Vytd_SzfCIs_ajbjeGJ7FLTss8uCf4IxDwe5OSzO_T7phRN1LXuotHFSnfNQ_S6lzwZ88FvaxWG3b1FB6XW8xKSirbHqaTMPaj-WvoeUiGHqqRhj9zc0XF,https://serpapi.com/search.json?data_id=0xa918f4f4a6696f%3A0x1b888328b865d2c0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa918f4f4a6696f%3A0x1b888328b865d2c0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJb2mm9PQYqQARwNJluCiDiBs,"Monjolos, MG",lojas_presentes,2025-07-28T23:35:42.463874,COMPLETA
2,Arte no Papel,ChIJo40K9-c9qQAR3ajqY7dp4h0,0xa93de7f70a8da3:0x1de269b763eaa8dd,2153399808212773085,/g/11wqfxgpm9,,0,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"Av. Bolívar Tameirão, 383 - Rodeador, Monjolos - MG, 39215-000, Brasil",-18.2903532,-44.0540385,+55 38 99973-9232,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,"segunda-feira: 08:00–11:00, 12:00–17:00; terça-feira: 08:00–11:00, 12:00–17:00; quarta-feira: 08:00–11:00, 12:00–17:00; quinta-feira: 08:00–11:00, 12:00–17:00; sexta-feira: 08:00–11:00, 12:00–17:00; sábado: Fechado; domingo: Fechado",,,,,,,,https://lh3.googleusercontent.com/p/AF1QipNLLR-FSLq60WMu6QOwC82Kx2R8RGfVeJszLudB=w122-h92-k-no,https://serpapi.com/images/url/mnfPM3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng5-MTpOsW7FNoZhDuW2oW6F_ubGHkXWEUZBHknhaW6lVc5VOa4mRbbmhkpJthaaSbrZuXDwCGXSCC,https://serpapi.com/search.json?data_id=0xa93de7f70a8da3%3A0x1de269b763eaa8dd&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa93de7f70a8da3%3A0x1de269b763eaa8dd&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJo40K9-c9qQAR3ajqY7dp4h0,"Monjolos, MG",lojas_presentes,2025-07-28T23:35:42.463874,COMPLETA
2,Mg_decora,ChIJo49Chj_BpgARjejcILJPHr8,0xa6c13f86428fa3:0xbf1e4fb220dce88d,13771532337019676813,/g/11fwj7rv8t,5,10,Loja de móveis,"Loja de móveis, Loja de móveis infantis, Casa modelo, Loja de móveis para escritório, Loja de móveis de jardim",furniture_store,"R. Itália, 483 - Petrovale, Betim - MG, 32668-124, Brasil",-19.9923794,-44.122861199999996,+55 31 97125-4864,https://www.instagram.com/p/CMcfh8IAAWi/?igshid=6yb2j92x3l2a,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–17:00; terça-feira: 07:00–17:00; quarta-feira: 07:00–17:00; quinta-feira: 07:00–17:00; sexta-feira: 07:00–17:00; sábado: 08:00–16:00; domingo: 08:00–12:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipM34jrghIPqw3cKKoJCwxYBinRqVWbMsrON7gLw=w92-h92-k-no,https://serpapi.com/images/url/0UPBQHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga2ySVZSe4RlQWG6c7O2d7-VcXhHplJkXVBgWnuRbXOTvZ57uU25bbmmkmwHE2bp5-QCZeyG3,https://serpapi.com/search.json?data_id=0xa6c13f86428fa3%3A0xbf1e4fb220dce88d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6c13f86428fa3%3A0xbf1e4fb220dce88d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJo49Chj_BpgARjejcILJPHr8,"Monjolos, MG",lojas_decoracao,2025-07-28T23:35:48.587284,COMPLETA
3,Katia Marques Decoraçoes E Eventos,ChIJa_qDvR0bqQARv8CiNhu8tec,0xa91b1dbd83fa6b:0xe7b5bc1b36a2c0bf,16696458018612756671,/g/11dft1p_z5,5,1,Loja de artigos para festas,Loja de artigos para festas,party_store,"praça, Santo Hipólito - MG, Brasil",-18.2925966,-44.2225744,+55 38 99921-4003,,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noGfb0jC2GBFxIRbyjPIKAMWl_yXCg6YXkBLpiBo5OZIr5vxKw7ZpmYnkcjilbOEnnc1FXz9I_J5IJNTANg8cD3zojrbkjeGc-0uB2sa9TT1rKMqTbEFAbW7XOHJa5fzD4Hzxobzg=w122-h92-k-no,https://serpapi.com/images/url/aN0Rc3icBcHxEoEwHADgJ5o0Qu78UVFWyLnuin-6tsuysl9ayF7QM3gb3_f7Vn3fqqVhNNVkxAF4Uz5V2TGQfSn7EYO7wVuFmELKcDy7mkoIrnQsPBy4_kBO9COOJHL2aZN_Mo_Pzlnt7tqbC1Z8IZ31GqL3_NLez7Jm4tbQeCMlM_1M2yQPLRIeEufAF2w90SA6WosyYGj8dLEq7CQxu2j_SOjGd2g6z-JtWFhXvZ5u9QBU89XbxBhVNkY1kvAHceBFgQ,https://serpapi.com/search.json?data_id=0xa91b1dbd83fa6b%3A0xe7b5bc1b36a2c0bf&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa91b1dbd83fa6b%3A0xe7b5bc1b36a2c0bf&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJa_qDvR0bqQARv8CiNhu8tec,"Monjolos, MG",lojas_decoracao,2025-07-28T23:35:48.587284,COMPLETA
4,Rio Pardão,ChIJDc2Tkv49qQARYDOR4sVxtCA,0xa93dfe9293cd0d:0x20b471c5e2913360,2356633599745274720,/g/11c1s2qr35,4.8,49,Praia,Praia,beach,"Monjolos, MG, 39215-000, Brasil",-18.2203189,-44.0923642,,,,,,,,,,,,"""Ótimo, muito bonito e de graça""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noL-G6wHZmLk7G3rNbapHBl3Z3kQiyG2dz4U1XUDGnj32PJTKQljZh0GmuZAC_8XPn0XcjYDrvtQ4rahXUx79bBWj8f1jt3qVtqPpLcO5y5U7YTRpFOYG8sSMxlkrPx-_x266ZP=w163-h92-k-no,https://serpapi.com/images/url/twLa7nicBcHbkoIgAADQLyJTzEszPXSZpdm1wspSXppiXVlEIKCy_q-P2L_Zc_7ezDltx54nGBw0SjWivtnaUCVdLd2Aqs5rtAXUAutN5ykLpcoAih5L0mVtjKBZX856OROQwDb_faLg-xUWflkskOQwwJ_7r1xwwoaou5Hp_JSUWA5LyquFubs8NGdWFn2cXmZHnvz43MHrwV2xzuhm9BwVcbXf6o9NhRK7W_WiNbgHpz6IIoInDz-CgKUBaIFU_4EnQ_A,https://serpapi.com/search.json?data_id=0xa93dfe9293cd0d%3A0x20b471c5e2913360&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa93dfe9293cd0d%3A0x20b471c5e2913360&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJDc2Tkv49qQARYDOR4sVxtCA,"Monjolos, MG",lojas_decoracao,2025-07-28T23:35:48.587284,COMPLETA
6,Folha e Flor Decorações,ChIJ16_EgpuVpgARWXC25doZ2OQ,0xa6959b82c4afd7:0xe4d819dae5b67059,16489958463564574809,/g/11stv58x1s,4.8,25,Loja de plantas artificiais,"Loja de plantas artificiais, Floricultura",silk_plant_shop,"Av. João César de Oliveira, 3068 - Lj 03 - Eldorado, Contagem - MG, 32340-001, Brasil",-19.938315799999998,-44.0527289,+55 31 3351-2830,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado,,,Assento com acessibilidade para pessoas em cadeira de rodas,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/p/AF1QipPqjJ3qU6WTiPhLy1UqdChdVxHBPvX407jabJoe=w146-h92-k-no,https://serpapi.com/images/url/3Wln_HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUJjlZVwYahYekhmQ4VNpGFqY4pyRElbh4RRQFmFiYJ6VmOSVn2pbbmhippthaaSbrZuXDwCwmiF4,https://serpapi.com/search.json?data_id=0xa6959b82c4afd7%3A0xe4d819dae5b67059&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6959b82c4afd7%3A0xe4d819dae5b67059&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ16_EgpuVpgARWXC25doZ2OQ,"Monjolos, MG",lojas_decoracao,2025-07-28T23:35:48.587284,COMPLETA
7,Rio Pardinho,ChIJRSD4c2EYqQARqAStwWBDY0Y,0xa9186173f82045:0x46634360c1ad04a8,5071971688194573480,/g/11c555y76x,4.7,215,Praia,Praia,beach,"R. do Contorno, 745-807 - Monjolos, MG, 39215-000, Brasil",-18.3202233,-44.1109185,,,,,,,,,,,,"""Um dos meus lugares preferidos na região.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npdISPIq_Gbe__4aqPI0skpsYw8Z_7UVgIb7ilFHyzb1vsZBD9UsPHf0jntMCb1UQS8jyYQizOJ4fQUyggxgJJMUsJHKfLbZvbgUb1fMCGyhmZ_whTPm0sto9bDFUwu60M1D8Bc=w80-h106-k-no,https://serpapi.com/images/url/160_YXicBcFLDoIwFADAE1XaSPiYuFCIfJQI0ZrIprEIrQot-qqI9_MQ3saZ31ca08PMslo5nQitRVs_oX5UWplamUmlO0v0gCpAYC0CX9qqPye7PLmziNeM2ad7nmC49XAcvJK59CAS7l7aVTx-OHlBuQx9Cnnc4KsyWcAJLXbedTwWl882tZuCjkK8RZpmFNJ43Wx4-eKCctJkQTTKrmSD3OcdBqN9Hq7o8HRwRkJvWc0HDyNJsINuSOk_QB5FkA,https://serpapi.com/search.json?data_id=0xa9186173f82045%3A0x46634360c1ad04a8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa9186173f82045%3A0x46634360c1ad04a8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRSD4c2EYqQARqAStwWBDY0Y,"Monjolos, MG",lojas_decoracao,2025-07-28T23:35:48.587284,COMPLETA
8,Minas Decor - Contagem,ChIJgeYm0JyVpgARq-45FGpxw3k,0xa6959cd026e681:0x79c3716a1439eeab,8773981199467671211,/g/1tmpg4zg,4.4,38,Decorador de interiores,Decorador de interiores,interior_decorator,"Av. Londres, 344 - Eldorado, Contagem - MG, 32340-570, Brasil",-19.9398031,-44.0551044,+55 31 3351-5363,https://bit.ly/SejaAtendidoJa,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,"Estimativas on-line, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipPY5RBUFI8zlAVIfhhAnxoPW7UlD10hXI3l4YgR=w80-h106-k-no,https://serpapi.com/images/url/Rw9Xj3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEGka5BTq5mlRleMY5pmWkeGYV5EfEG4emuNiaJAR4WmcYxKZHmRbbmGgm2FoYKabrZuXDwCaNCDI,https://serpapi.com/search.json?data_id=0xa6959cd026e681%3A0x79c3716a1439eeab&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6959cd026e681%3A0x79c3716a1439eeab&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJgeYm0JyVpgARq-45FGpxw3k,"Monjolos, MG",lojas_decoracao,2025-07-28T23:35:48.587284,COMPLETA
9,AGA Store,ChIJmXYbDPMZqQARcuQ757RdLmg,0xa919f30c1b7699:0x682e5db4e73be472,7507040660428153970,/g/11tdm3320s,,0,Loja de Roupa,Loja de Roupa,clothing_store,"R. do Contorno, 466 - Monjolos, MG, 39215-000, Brasil",-18.3224664,-44.112713899999996,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npzAX2ENx9QaraZm7uLj-rpXcSMPsuXDQrGWcSnkpWOoX8UgJ0bsHwMuO5M4jvXMDfzAaGR-HYdbvpXVIu9hLdvfogrie1Ez8WkgnCXADuix3JZa6m_R6JEPLplMcobqeSisi0lMA=w87-h92-k-no,https://serpapi.com/images/url/zMsqCXicBcHbDoIgAADQLyK7p209sHSWk26upF6aIoGpQCDW_MD-ob_pnN-Xt60yS8ep-WTApGQ1tYZqIkVLRTsgsnGYMoAYYBy49vhUqB7icbD7eMdMZ7dmYeMn0AqTBB2Mxf5RhylJRKXSvcTumUXD3GzeyO5naPrsMPIfPczCE9hci7xT-LK1Ho-L7iGZLuko6N20YmKNoW_LzyS6ZfPmfppHwSFWNSIyf9GkNOWwRnD1dheAe2NQASH_nstGug,https://serpapi.com/search.json?data_id=0xa919f30c1b7699%3A0x682e5db4e73be472&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa919f30c1b7699%3A0x682e5db4e73be472&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJmXYbDPMZqQARcuQ757RdLmg,"Monjolos, MG",lojas_decoracao,2025-07-28T23:35:48.587284,COMPLETA
10,Bálsamos da Lu,ChIJT49eBj8ZqQARW0dSopDxOFk,0xa9193f065e8f4f:0x5938f190a252475b,6429154071572268891,/g/11y1gp48h0,,0,Loja de produtos naturais,Loja de produtos naturais,health_food_store,"R. Comércio, 285 - Monjolos, MG, 39215-000, Brasil",-18.3259598,-44.1168537,+55 38 99265-4297,,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Fechado; domingo: Fechado,,,,,Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-lThtWpI-bjNBhaJucIqEw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=52.08875&pitch=0&thumbfov=100,https://serpapi.com/images/url/rZQduXicHc1BCsIwEADA3-TWJC0UqxAEwUM9eBI8SprGZEvarM220df4Ln-j-IGZz9sTYdoJkWi2llawGeFpQypQcxejC1YjJG7iKNZSkF_GbtIQ9qinCL0qwsXTFduiG84Hr0-LaR_HzEx3MwHsRCpZPRvPXf6Jc-y5w8SyaiTzaluxl86qrrhsmk3NEMh4Jdk_ucdVlVJ-AVdrOZ0,https://serpapi.com/search.json?data_id=0xa9193f065e8f4f%3A0x5938f190a252475b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa9193f065e8f4f%3A0x5938f190a252475b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJT49eBj8ZqQARW0dSopDxOFk,"Monjolos, MG",lojas_decoracao,2025-07-28T23:35:48.587284,COMPLETA
