position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Thamirys Presentes,ChIJjfBDXCDuo5QRC1C9nQb4YL8,0x94a3ee205c43f08d:0xbf60f8069dbd500b,13790294766308380683,/g/1ptz7xwnd,4.5,128,Loja,Loja,store,"R. Virgilio Alvim, 76 - Centro, Monte Alegre de Minas - MG, 38475-000, Brasil",-18.8675973,-48.8747614,+55 34 3283-3768,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:00–12:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipPxTRExebgsPEfM9qkHUEDGgZXy9yAU71uptWhV=w122-h92-k-no,https://serpapi.com/images/url/fAE_B3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUBES5FqRmpReHOCa5mtZmO0R6urinh4VUWlZ6RhqblhaUBKeEWZbbmhkpJthaaSbrZuXDwC7fSG9,https://serpapi.com/search.json?data_id=0x94a3ee205c43f08d%3A0xbf60f8069dbd500b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94a3ee205c43f08d%3A0xbf60f8069dbd500b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJjfBDXCDuo5QRC1C9nQb4YL8,"Monte Serrat, MG",lojas_presentes,2025-07-28T23:38:51.788155,COMPLETA
2,Girassol Presentes,ChIJFVVFU00TtpQRt_E_rwO40Ps,0x94b6134d53455515:0xfbd0b803af3ff1b7,18145205224640344503,/g/11jtysr37b,4,6,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Getúlio Vargas, 237 - Monte Belo, MG, 37115-000, Brasil",-21.3200651,-46.368036,+55 35 99774-7765,http://www.girassolpresentesmb.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rKThaEa_LEs7VZSZtbT8pw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=268.71582&pitch=0&thumbfov=100,https://serpapi.com/images/url/fa8s43icHc0xDsIgFADQ27AJtIkWTYhTJ91sHLo0v4iFhJYf-Ba9jdfyNhov8N7n7YgwH4TIlKyl1duC_mlD3iDwKcYpWECfuYmzWCtB7jGPC_hwRFiiv-l06hy0MJzb3Fz7S09jp7AwMw4meLuQzhaScXwqPzHFG58ws6KVZE7va_aCouud4k21VTVDT8Zpyf7LPa66kvILjxs5zw,https://serpapi.com/search.json?data_id=0x94b6134d53455515%3A0xfbd0b803af3ff1b7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b6134d53455515%3A0xfbd0b803af3ff1b7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFVVFU00TtpQRt_E_rwO40Ps,"Monte Serrat, MG",lojas_presentes,2025-07-28T23:38:51.788155,COMPLETA
3,MY GIFTS,ChIJwQcBpaOZpgARHch67QxqZ-0,0xa699a3a50107c1:0xed676a0ced7ac81d,17106758313346517021,/g/11q2x4frn6,5,2,Loja de presentes,"Loja de presentes, Loja de cosmético, Loja de embalagens para presente, Loja de utensílios de cozinha",novelty_store,"R. Caraça, 433 - Serra, Belo Horizonte - MG, 30220-260, Brasil",-19.942332099999998,-43.9187875,+55 31 99313-1400,https://instagram.com/my.gifts.bh?utm_medium=copy_link,Fechado ⋅ Abre ter. às 10:00,Fechado ⋅ Abre ter. às 10:00,segunda-feira: 10:00–18:00; terça-feira: 10:00–18:00; quarta-feira: 10:00–18:00; quinta-feira: 10:00–18:00; sexta-feira: 10:00–18:00; sábado: 10:00–13:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,,,https://serpapi.com/search.json?data_id=0xa699a3a50107c1%3A0xed676a0ced7ac81d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699a3a50107c1%3A0xed676a0ced7ac81d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJwQcBpaOZpgARHch67QxqZ-0,"Monte Serrat, MG",lojas_presentes,2025-07-28T23:38:51.788155,COMPLETA
4,Josy Monte Presentes,ChIJYeDrKS5nzpQRzSCcEweZ_vg,0x94ce672e29ebe061:0xf8fe9907139c20cd,17941946221163454669,/g/11mx4j2gg7,5,10,Loja de variedades,Loja de variedades,variety_store,"Av. Maria Luiza Americano, 209 - Itaquera, São Paulo - SP, 08280-190, Brasil",-23.5772332,-46.4816891,+55 11 95351-4083,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:30; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–14:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPe8DCoq6CW3z0IeugVT1qcWOtfLikEDbUWeHoa=w80-h142-k-no,https://serpapi.com/images/url/3tPYynicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkGrh4pxfaOYcblxl4Jlamh4WYliYHO5fkuaTme3qkhQanuqRn2hbbmGgm2FoYqSbrZuXDwCnZCFk,https://serpapi.com/search.json?data_id=0x94ce672e29ebe061%3A0xf8fe9907139c20cd&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ce672e29ebe061%3A0xf8fe9907139c20cd&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJYeDrKS5nzpQRzSCcEweZ_vg,"Monte Serrat, MG",lojas_presentes,2025-07-28T23:38:51.788155,COMPLETA
5,Ester Presentes,ChIJIZZ0lWlBypQRLjejAT5BvRQ,0x94ca416995749621:0x14bd413e01a3372e,1494422385928124206,/g/11tdqz7gwp,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"Carvalhópolis - MG, 37760-000, Brasil",-21.7785968,-45.8410961,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=grhclFo936O-JIYojz92IQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=237.77351&pitch=0&thumbfov=100,https://serpapi.com/images/url/jJcFrHicHc3BDcIgFADQbbgVaButNSHeTOrFePRkKEX4hvYTQFCncS230bjAe5-3TcnHLWMxBa1TBl08PLSLlZfUIBqnpYdIFc4s1yzZ-zwuEtzOywVhEiZY5fbYt-tjdRjOeHv1zXAiarwoB3pJImoZlKWm_MSAEzU-kiI2nFjRN-Qpi2jajnZdu6qJh6Ss4OS_XDGLmvMvX4w5Mg,https://serpapi.com/search.json?data_id=0x94ca416995749621%3A0x14bd413e01a3372e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ca416995749621%3A0x14bd413e01a3372e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJIZZ0lWlBypQRLjejAT5BvRQ,"Monte Serrat, MG",lojas_presentes,2025-07-28T23:38:51.788155,COMPLETA
6,Ester Presentes,ChIJ78IdmBM-ypQR4dMd1-T990Q,0x94ca3e13981dc2ef:0x44f7fde4d71dd3e1,4969719873130058721,/g/11c532mrg7,4.6,22,Loja de eletrônicos,Loja de eletrônicos,electronics_store,"R. Barão de Alfenas, 84-162 - Poço Fundo, MG, 37757-000, Brasil",-21.7814111,-45.9671063,+55 35 3283-1184,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noaEaLPiyH0wIGvaH3NAf8yjtTxIbF-cUJAOg42PSKH1Ujwpgdkl2qQPaV2ZULeNjmoafmrjy6NCVUeHvr2bvaI7oya3HU8DdbKbw-JeHazoBi38XMUhc0jG0Sr1Yv6xbdHwUiYkg=w163-h92-k-no,https://serpapi.com/images/url/-zbWlnicBcHddoIgAADgJyIVOs52zi5cf1jNuVN0VneABOIPTpjkXrBn2Nv0ff8P5VxvX4OgUWgmjZGN-LVi4KZzonMzbtpA9hZwC2yQLhdq3hm6poeimnDos-1IMcrTWzJpd7pnbAM42aWfcg6L4x5HRPtelnUDf74KeoZXchC5bg29tYOe4nx5JgKPA2QjzV7MRBEmyapke-bBTmD6Z94rlHx_EMVDvQ2PQ3QZ4zsrsSfVpZZvPooRUAsIatCZJ3-ORd4,https://serpapi.com/search.json?data_id=0x94ca3e13981dc2ef%3A0x44f7fde4d71dd3e1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ca3e13981dc2ef%3A0x44f7fde4d71dd3e1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ78IdmBM-ypQR4dMd1-T990Q,"Monte Serrat, MG",lojas_presentes,2025-07-28T23:38:51.788155,COMPLETA
7,Roma Presentes,ChIJhXyfjVL2twARj1spWeVgKWk,0xb7f6528d9f7c85:0x692960e559295b8f,7577694386187230095,/g/11b7_0pv3p,4.2,14,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Guarani, 591 - Das Laranjeiras, Serra - ES, 29175-596, Brasil",-20.1248289,-40.1882946,+55 27 3068-2550,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:00–16:00; domingo: 08:00–12:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPBHPYegm2tapddkC4-PgcyRdrBWlGRMoZ5_7cr=w85-h92-k-no,https://serpapi.com/images/url/dyy93HicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4OQREJmanmtUkliQkpLtbKIbkJ5cGZRS5BSe4x7kmx9lGm-eXGRbbmGqm2FppJutm5cPAJLYIWc,https://serpapi.com/search.json?data_id=0xb7f6528d9f7c85%3A0x692960e559295b8f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xb7f6528d9f7c85%3A0x692960e559295b8f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJhXyfjVL2twARj1spWeVgKWk,"Monte Serrat, MG",lojas_presentes,2025-07-28T23:38:51.788155,COMPLETA
8,Roma Presentes,ChIJSZHPzkX3twARYNig-28wupQ,0xb7f745cecf9149:0x94ba306ffba0d860,10716931520802642016,/g/11gl0l052j,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Minas Gerais, 14 - Res. Jacaraipe, Serra - ES, 29175-456, Brasil",-20.135181,-40.1900708,+55 27 3252-1191,,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimo loja um pouco cara mais  encontrar muito coisa boas pra casa""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UIkHQuP0d7xW1_-i5ABOuw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=180.85062&pitch=0&thumbfov=100,https://serpapi.com/images/url/clOfanicHc3BDcIgFADQbbgVPk2q1YQYPelJPRiPDaUIP9JCCi11G9dyG40LvPd525RC3DIW06h1mlHngIt2sQiSGu-N0zJgpMr3bOYs2alvB4luF-TgsRO30_N4nS7QrZc7bwqs9ofzlIlqG-VQD0lELUdlqck_cfQdNSGSLGogVmxK8pJZ8BpoXcGqJAGTsgLIf3n4WXCAL1aiOSA,https://serpapi.com/search.json?data_id=0xb7f745cecf9149%3A0x94ba306ffba0d860&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xb7f745cecf9149%3A0x94ba306ffba0d860&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJSZHPzkX3twARYNig-28wupQ,"Monte Serrat, MG",lojas_presentes,2025-07-28T23:38:51.788155,COMPLETA
9,Gisele Presentes,ChIJned5qLWssAARE-tl9FC8hTY,0xb0acb5a879e79d:0x3685bc50f465eb13,3928753305834351379,/g/11c6_h1d42,5,8,Loja de Roupa,Loja de Roupa,clothing_store,"Praça da Matriz, 1-69 - São Sebastião da Vala, Aimorés - MG, 35200-000, Brasil",-19.7571518,-41.2834212,+55 21 98787-2750,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Edmm4FOztduBhcvOaodmdg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=70.595894&pitch=0&thumbfov=100,https://serpapi.com/images/url/c8RxFHicHc1tCsIgGADg2_gvdbHRFrwEQf3dEcKpqeAX851Wp-la3aboAs_zeVvEXI6MFVy1xup0y-6hfdllQU1KxmuRXaEyBVY7hnYLSxTOn7KIySm4qBD66_xCtZ2trLNIKihD5HKT3umIULRYpaWm_cQ1KWpyIQ1GTixMe_IUDQ6cDtMwTj3JDqUFTv7LPVXoOP8Cvs46aA,https://serpapi.com/search.json?data_id=0xb0acb5a879e79d%3A0x3685bc50f465eb13&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xb0acb5a879e79d%3A0x3685bc50f465eb13&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJned5qLWssAARE-tl9FC8hTY,"Monte Serrat, MG",lojas_presentes,2025-07-28T23:38:51.788155,COMPLETA
10,Manuzita Presentes - Medeiros,ChIJz-AQUns7z5QREhxdbIoSB5o,0x94cf3b7b5210e0cf:0x9a07128a6c5d1c12,11098860192410704914,/g/11n_z40rmj,2.6,5,Loja de presentes,"Loja de presentes, Impressões fotográficas, Impressões, Papelaria, Loja de Brinquedos",novelty_store,"Dentro do Mercado Montserrat, Av. Reynaldo Porcari, 300 - loja 3 - Medeiros, Jundiaí - SP, 13212-321, Brasil",-23.1857747,-46.9858748,+55 11 4525-3564,http://www.manuzitapresentes.com.br/,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–13:00,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipM8b16Fu4phGsmrSaIjUjlD4BuMOPsY_VYLDDfJ=w122-h92-k-no,https://serpapi.com/images/url/v5ilDnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga5FkaOZWalKQ4V6cWxSc6JkVmpXjYuJU6usfUBwZHxbp4-KS5mVbbmhkpJthaaSbrZuXDwClvyEw,https://serpapi.com/search.json?data_id=0x94cf3b7b5210e0cf%3A0x9a07128a6c5d1c12&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cf3b7b5210e0cf%3A0x9a07128a6c5d1c12&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJz-AQUns7z5QREhxdbIoSB5o,"Monte Serrat, MG",lojas_presentes,2025-07-28T23:38:51.788155,COMPLETA
