position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,L&V Presentes,ChIJ6Sx3swdEpAARHdPT8bOLDpM,0xa44407b3772ce9:0x930e8bb3f1d3d31d,10596560578221953821,/g/1tjfj225,4.9,10,Loja de Presentes,Loja de Presentes,gift_shop,"R. São Miguel, 57 - Catas Altas, MG, 35969-000, Brasil",-20.0737655,-43.408070099999996,+55 31 3832-7410,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:30; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimo atendimento""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=eGRhxetMrZoZI1cTrfxjbg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=294.23996&pitch=0&thumbfov=100,https://serpapi.com/images/url/K8C8JnicHc0xDsIgFADQ27AJtBojJj-OxsHFOHUxlH4BQwuBb6m38VreRuMF3vu8HVEqeyEKZUSaPdbkFwxllTS3MdqAOvnCTRzF3Ahyz7GftA-HpKfoB8DjxS1I59zF7tSYa74vj94y099M8DgRFNTZOG7rT8xx4DYVVmEnmQPVspeu0KoNb9dKbVnyZBxI9l_ucYZGyi--8Tph,https://serpapi.com/search.json?data_id=0xa44407b3772ce9%3A0x930e8bb3f1d3d31d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa44407b3772ce9%3A0x930e8bb3f1d3d31d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6Sx3swdEpAARHdPT8bOLDpM,"Morro D’Água Quente, MG",lojas_presentes,2025-07-28T23:42:38.388034,COMPLETA
2,Papelaria Rei Arthur | personalizados e gráfica rápida em Catas Altas,ChIJcfxeNR5DpAARIl8jrpcMMD4,0xa4431e355efc71:0x3e300c97ae235f22,4481095474834792226,/g/11xgdnwc2y,,0,Loja de produtos de papelaria,Loja de produtos de papelaria,copying_supply_store,"R. da Direita, 605 - Morro d'Água Quente, Catas Altas - MG, 35969-000, Brasil",-20.1128602,-43.4048704,+55 31 99987-9654,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=50dyClqtpD5w63DHtBtD1A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=73.5335&pitch=0&thumbfov=100,https://serpapi.com/images/url/vi0DzXicHc3bDcIgFADQbfgTqARfyY1R--EWhlIEElqu5VrsMu7lNhoXOOfzDkRYDkIUmpyjObqK8eVSWaHhPmefnMFYuM2DmBtB4Tl0o4npiGbMsQct--WSHoStrhvVXulMbXNitrvZFN1IUJyZbOC-_sQp99xjYRV2kgXYr9liKmwV10pphpFsAMn-xz3P0Ej5BecdOKs,https://serpapi.com/search.json?data_id=0xa4431e355efc71%3A0x3e300c97ae235f22&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4431e355efc71%3A0x3e300c97ae235f22&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJcfxeNR5DpAARIl8jrpcMMD4,"Morro D’Água Quente, MG",lojas_presentes,2025-07-28T23:42:38.388034,COMPLETA
3,Natália Vitória Cesta e Presentes,ChIJFQhfuL1EjkARouRWspNxfwA,0x408e44bdb85f0815:0x7f7193b256e4a2,35872201208423586,/g/11kpk9xg69,5,81,Loja de cestas de presente,"Loja de cestas de presente, Perfumaria",gift_basket_store,"R. Centenário, 15 - Bonsucesso, Belo Horizonte - MG, 30622-620, Brasil",-19.9923353,-43.983173,+55 31 99111-2137,https://www.ifood.com.br/delivery/belo-horizonte-mg/natalia-vitoria-cestas-e-presentes-bonsucesso-barreiro/d2592dfa-fd78-4d8e-972f-17fab2058990,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–14:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNbpKETfowFBNvV0YNN-uufdHc73WxtCZ46RucY=w80-h111-k-no,https://serpapi.com/images/url/YpOZRHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl1Tg7RqSll_u5uRXFmYQ6eenW1qaluKRbG4cXlHiHGViFlSaHGlbbmGgm2FoaKibrZuXDwCuFSFM,https://serpapi.com/search.json?data_id=0x408e44bdb85f0815%3A0x7f7193b256e4a2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x408e44bdb85f0815%3A0x7f7193b256e4a2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFQhfuL1EjkARouRWspNxfwA,"Morro D’Água Quente, MG",lojas_presentes,2025-07-28T23:42:38.388034,COMPLETA
4,Mimos e Cheiros Presentes,ChIJ2fingXG-pgARVtYGtbXTsVk,0xa6be7181a7f8d9:0x59b1d3b5b506d656,6463179717633037910,/g/11cly516nq,5,54,Loja de presentes,Loja de presentes,novelty_store,"R. Risolêta Fernandes, 290 - Barreiro, Belo Horizonte - MG, 30640-620, Brasil",-19.9820438,-44.0272284,+55 31 2526-9316,http://www.instagram.com/mimosecheiros/,Fechado ⋅ Abre ter. às 10:00,Fechado ⋅ Abre ter. às 10:00,segunda-feira: 10:00–17:30; terça-feira: 10:00–17:30; quarta-feira: 10:00–17:30; quinta-feira: 10:00–17:30; sexta-feira: 10:00–17:30; sábado: 10:00–12:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMQfEIMBkeShtRCK3jydq9tRbiOw7ov0Zg2cY5I=w122-h92-k-no,https://serpapi.com/images/url/kNJzEXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG5jm6unrlJ0anFES5OxtnFWZUmhZEpSU6V9unl9mEJVulBxp6mlbbmhkpJthaaSbrZuXDwCwcyFr,https://serpapi.com/search.json?data_id=0xa6be7181a7f8d9%3A0x59b1d3b5b506d656&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6be7181a7f8d9%3A0x59b1d3b5b506d656&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2fingXG-pgARVtYGtbXTsVk,"Morro D’Água Quente, MG",lojas_presentes,2025-07-28T23:42:38.388034,COMPLETA
5,Loja da Cleo,ChIJBzzsgjS8pgARLqlzyZMV9dY,0xa6bc3482ec3c07:0xd6f51593c973a92e,15489310217894865198,/g/1ptyn6sg5,4.6,179,Papelaria,"Papelaria, Copiadora, Impressão digital, Loja de presentes, Impressões fotográficas, Correios, Loja de Brinquedos",stationery_store,"R. Barão de Monte Alto, 846 - Loja 02 - Cardoso, Belo Horizonte - MG, 30626-480, Brasil",-20.0045,-44.0057025,+55 31 99913-3447,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–17:00; domingo: Fechado,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNY0Z4lb8NhIHvIvuuO4rrV3HKaq6pXW1lTz0f9=w151-h92-k-no,https://serpapi.com/images/url/VSgVz3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF2kQZZKTZOGX4elR5llWWupvUlQUZuzhnVhoVhARbpgTUmWQZmlbbmhqqJthaaSbrZuXDwCl9CEu,https://serpapi.com/search.json?data_id=0xa6bc3482ec3c07%3A0xd6f51593c973a92e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bc3482ec3c07%3A0xd6f51593c973a92e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBzzsgjS8pgARLqlzyZMV9dY,"Morro D’Água Quente, MG",lojas_presentes,2025-07-28T23:42:38.388034,COMPLETA
6,Coisas e Coisinhas Ltda,ChIJeb5Nt7i9pgARDuGSJSBVMx0,0xa6bdb8b74dbe79:0x1d3355202592e10e,2104119047469850894,/g/1tdchm0v,4.6,5,Loja de Presentes,Loja de Presentes,gift_shop,"R. Eduardo Carlos, 55 - Araguaia, Belo Horizonte - MG, 30620-440, Brasil",-19.990917,-43.999992999999996,+55 31 3384-0715,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=JV6bwNdQQAPABpy0WE3l6A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=224.19716&pitch=0&thumbfov=100,https://serpapi.com/images/url/Lh8dW3icHc1LCsIwFADA22RnPlWqFYJUcONC7EaXkqZpEkibR_Ns7G28lrdRvMDM5-0QIe0ZSzgZg7M3GfzLhLQCRW2MNhgFPlEdBzYLhu45tKPy4QBqjL6T51vZ5kvXNPW1PsLC76d1KGui24cO3owok1GTdtTmnzjFjlpIJMsdJ05WBVlUlkWxoaLaipKAR-0kJ_-lj7MUnH8BRoM46g,https://serpapi.com/search.json?data_id=0xa6bdb8b74dbe79%3A0x1d3355202592e10e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bdb8b74dbe79%3A0x1d3355202592e10e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJeb5Nt7i9pgARDuGSJSBVMx0,"Morro D’Água Quente, MG",lojas_presentes,2025-07-28T23:42:38.388034,COMPLETA
7,Ângela Cestas,ChIJgTS5tKK-pgARbr9EBojGu4k,0xa6bea2b4b93481:0x89bbc6880644bf6e,9924744491364040558,/g/11d_tyflg8,5,144,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Profa. Dirce Maria, 231 - Vila Santa Rita, Belo Horizonte - MG, 30666-515, Brasil",-20.014977299999998,-44.0293858,+55 31 99612-7569,https://angelacestas.com.br/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–22:00; terça-feira: 08:00–22:00; quarta-feira: 08:00–22:00; quinta-feira: 08:00–22:00; sexta-feira: 08:00–22:00; sábado: 08:00–22:00; domingo: 08:00–22:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipPoccx-2UtikMp--wvT59yFN4c4gBUvkzMHVUd9=w80-h120-k-no,https://serpapi.com/images/url/tkToAXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkJ-cXKFrFFqSme1boKtbXhZialnp5meSbJLuFFqWXeXrERaaYmlbbmGgm2FoZKCbrZuXDwCtUyE_,https://serpapi.com/search.json?data_id=0xa6bea2b4b93481%3A0x89bbc6880644bf6e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bea2b4b93481%3A0x89bbc6880644bf6e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJgTS5tKK-pgARbr9EBojGu4k,"Morro D’Água Quente, MG",lojas_presentes,2025-07-28T23:42:38.388034,COMPLETA
8,Pra' Presentes,ChIJI5n8XqO-pgARsclRSp3QVUg,0xa6bea35efc9923:0x4855d09d4a51c9b1,5212301517726534065,/g/11fn7zzkx8,5,2,Loja de presentes,Loja de presentes,novelty_store,"R. Mariza Afonso, 325 - Independência, Belo Horizonte - MG, 30666-690, Brasil",-20.0188886,-44.0284268,+55 31 98817-9905,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq3g2uBLpjMPRcueCub5MMYlHLKEIYizC3Owcf7TraAp_7JUk_z-1sPoj-0lN0RfhTWQFtW4rRdix91Qrd2lt3nlhusxVBrKKqXGikLruXqwBOZyyFNFhrJzT2KoDrFBkkOSeGIsQ=w80-h142-k-no,https://serpapi.com/images/url/XyctsXicBcFXDoIwAADQE1WmcSR-CIoDEEGcP0ZrpdjaQkcQLugZvI3v_b5YqUqODYNip1dwXlCkJRKQM4WY6kH-NopKAiiBNKb-CLusdgpbe1H1ircZ1MjX934cn-kyCuerc9n5TtLA5yAXt2l1Haz35NoBS275C5h0Y2ZPnB_TQB1dkT3Kz8hKxcOmymEUa_k5eCIM69OiJJHQp7rxkkvbBpsAi3WX2yGficAjJNmhxUqmk2ZoAmy5NiCA8T-gzUaJ,https://serpapi.com/search.json?data_id=0xa6bea35efc9923%3A0x4855d09d4a51c9b1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bea35efc9923%3A0x4855d09d4a51c9b1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJI5n8XqO-pgARsclRSp3QVUg,"Morro D’Água Quente, MG",lojas_presentes,2025-07-28T23:42:38.388034,COMPLETA
9,Achadinhos de Minas,ChIJbSQGs1a_pgARtwpsKVGK8WQ,0xa6bf56b306246d:0x64f18a51296c0ab7,7273746954371992247,/g/11pkhxyd74,5,15,Loja de Presentes,Loja de Presentes,gift_shop,"R. Alfa, 1100 - Jardim Emaús, Contagem - MG, 32230-210, Brasil",-19.972743899999998,-44.0254045,+55 31 98718-8883,http://www.achadinhosdeminas.com.br/,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipNix8D4j3getdYdXCNalm1KFwfyPtYR8n8__Xkk=w163-h92-k-no,https://serpapi.com/images/url/FSPtznicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl1lh4WKSZZyeWpISmRLh7JeYk2vo7VaeVhlQEhlkkWcRHx-RnW1bbmhmrJthaaSbrZuXDwC3xyHN,https://serpapi.com/search.json?data_id=0xa6bf56b306246d%3A0x64f18a51296c0ab7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bf56b306246d%3A0x64f18a51296c0ab7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJbSQGs1a_pgARtwpsKVGK8WQ,"Morro D’Água Quente, MG",lojas_presentes,2025-07-28T23:42:38.389040,COMPLETA
10,RECAFI CESTAS & PRESENTES,ChIJpazQqoO_pgARIYNqWsnXcVY,0xa6bf83aad0aca5:0x5671d7c95a6a8321,6228997019435434785,/g/11jclflgfg,5,202,Loja de cestas de presente,"Loja de cestas de presente, Loja de chocolates, Floricultura",gift_basket_store,"R. Maria Cristina, 101 - Industrial, Contagem - MG, 32230-200, Brasil",-19.9734975,-44.026682099999995,+55 31 99502-6298,https://flowwow.com.br/shop/recafi-cestas-presentes,Fechado ⋅ Abre ter. às 07:30,Fechado ⋅ Abre ter. às 07:30,segunda-feira: 08:00–18:00; terça-feira: 07:30–21:00; quarta-feira: 07:30–19:00; quinta-feira: 07:30–18:00; sexta-feira: 07:30–21:00; sábado: 08:30–21:00; domingo: 08:00–09:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipP7ukYyzAVnFA5qhGbSYlLd1dDrlq-Mh-M85Tmr=w115-h92-k-no,https://serpapi.com/images/url/0s8SgnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYF6aHVlZ5RiW5-ZoWpjhnhQcmeOTYpjiUpRTqOuboetrYRqSW2RbbmhoqpthaaSbrZuXDwCyXCFb,https://serpapi.com/search.json?data_id=0xa6bf83aad0aca5%3A0x5671d7c95a6a8321&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bf83aad0aca5%3A0x5671d7c95a6a8321&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJpazQqoO_pgARIYNqWsnXcVY,"Morro D’Água Quente, MG",lojas_presentes,2025-07-28T23:42:38.389040,COMPLETA
