position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Rogério Confecções e Brinquedos,ChIJJwjQdpInoAARCP7Lh-Gd3C4,0xa0279276d00827:0x2edc9de187cbfe08,3376747412592524808,/g/11ghsqh2p3,4.7,83,Loja,Loja,store,"R. Francisco Ribeiro de Carvalho, 180 - Centro, Nazareno - MG, 36370-000, Brasil",-21.21814,-44.6122319,+55 35 3842-1260,https://www.instagram.com/rogerioconfeccoesmg/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Boa loja com variedades de produtos,  bom atendimento e negociações.""",https://lh3.googleusercontent.com/p/AF1QipPURXHJ2kYNuMpt5xKuz1GGTbL40que3OKfepux=w122-h92-k-no,https://serpapi.com/images/url/rAY8T3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEBoU4eFllB3pV-pbUGJa4V1aZejuHpLkY2JQWJpq7O-dllpQWmFbbmhkpJthaaSbrZuXDwCtCSGO,https://serpapi.com/search.json?data_id=0xa0279276d00827%3A0x2edc9de187cbfe08&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa0279276d00827%3A0x2edc9de187cbfe08&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJwjQdpInoAARCP7Lh-Gd3C4,"Nazareno, MG",lojas_presentes,2025-07-28T23:51:19.148156,COMPLETA
2,Loja da Dona Haidê,ChIJB7sFMscmoAARwB3wsj6X_cI,0xa026c73205bb07:0xc2fd973eb2f01dc0,14050552708011662784,/g/11c1nj43pg,4.8,5,Papelaria,Papelaria,stationery_store,"Praça Nossa Sra. de Nazaré, 40, Nazareno - MG, 36370-000, Brasil",-21.2169813,-44.6117413,+55 35 3842-1263,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–12:00; domingo: Fechado,,,,Cartão de débito,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr-hH7Epa1OGz6qt16jW9dd4pPN1so6h9oLDzM5m0OSW0Np-4DMmA2YyALCTK9wma3Qc1w2vxdlLEjvOcj2Wlz8INxtrvQdhHjNCgg6SLH4Lz5Sls_IzQTF4m0Sp_l6FH5HcZG3=w163-h92-k-no,https://serpapi.com/images/url/bjDX8XicBcFdboMgAADgE1FFkY4mezD2h6ZUa2xi2pemQQOxIEyYdtxvh9ht9n1_v9J76zZRpGS6EsYI1X-7fuJm9P3oV9zoSFgHuAMuygsi0TgBSdc7-4TVIeAvD_HQkq5D9lJCZ7Akhm3DOdNx1bRxaQHannWe3H5yVlxPZNHPtOZwSeZ3p9humCs-JK0KH8fy7ae57iQdykII3DCKWMga5R7HUF_3SMeNfSi8pxnl90P6uUCcAkkS8AKj-QdWqENQ,https://serpapi.com/search.json?data_id=0xa026c73205bb07%3A0xc2fd973eb2f01dc0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa026c73205bb07%3A0xc2fd973eb2f01dc0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJB7sFMscmoAARwB3wsj6X_cI,"Nazareno, MG",lojas_presentes,2025-07-28T23:51:19.148156,COMPLETA
3,Loja Zema - Nazareno,ChIJw7Xx1sUmoAARBHFH7byxcqw,0xa026c5d6f1b5c3:0xac72b1bced477104,12426189746861469956,/g/11c20bpznz,4.2,47,Loja de departamento,"Loja de departamento, Loja de eletrodomésticos, Loja de móveis",department_store,"Dr. Freitas de Carvalho, n° 45 - Centro, Nazareno - MG, 36370-000, Brasil",-21.2175278,-44.6139071,+55 35 3842-1201,https://www.zema.com/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipPpZluUXp69i3uT0Uv8A2A_5UivKwMffI0nL5bV=w92-h92-k-no,https://serpapi.com/images/url/Nb90iXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUBCVUxoaUWBmmWlcGmIQWmbhaOQYbxqaWeZd7puW5mmQ52OaFGZbbmmkmwHE2bp5-QCG1iDi,https://serpapi.com/search.json?data_id=0xa026c5d6f1b5c3%3A0xac72b1bced477104&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa026c5d6f1b5c3%3A0xac72b1bced477104&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJw7Xx1sUmoAARBHFH7byxcqw,"Nazareno, MG",lojas_presentes,2025-07-28T23:51:19.148156,COMPLETA
4,Floricultura e Cerimonial Decorar Art,ChIJhSXRZhwnoAAR90Fg5YQj5WM,0xa0271c66d12585:0x63e52384e56041f7,7198198633112551927,/g/11sb00l4l_,5,1,Floricultura,Floricultura,florist,"R. Ten. Gabriel - Centro, Nazareno - MG, 36370-000, Brasil",-21.2205862,-44.6150203,+55 35 99851-0915,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:30; terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–13:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipPXvNWnlMSYC9SEa8LoN4UDdn4BKFrqdapIiA5L=w109-h92-k-no,https://serpapi.com/images/url/aqRe-XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEFHmF56X4xsc6WwZ7Jpo4ZPvZxLqkpJn4uTtVlSYkljgmelo6mNbbmhgqZthaaSbrZuXDwCiMSD6,https://serpapi.com/search.json?data_id=0xa0271c66d12585%3A0x63e52384e56041f7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa0271c66d12585%3A0x63e52384e56041f7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJhSXRZhwnoAAR90Fg5YQj5WM,"Nazareno, MG",lojas_presentes,2025-07-28T23:51:19.148156,COMPLETA
5,MARANATA presentes,ChIJaYwkMsQmoAARbL0QJcHaN1U,0xa026c432248c69:0x5537dac12510bd6c,6140617140028357996,/g/11xmk1pwj1,,0,,,,"Av. Pres. Tancredo Neves, Nazareno - MG, 36370-000, Brasil",-21.2200807,-44.6134462,,,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5H0j54RWrk-qUed0-a-I6Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=11.730129&pitch=0&thumbfov=100,https://serpapi.com/images/url/LUuT-3icHc3NDcIgGADQbbjxV61aE-JVj5oYj4bST0ApIGDRbVzLbTQu8N7nbUqJeU1pLgmgTBZqtE9wGUdJdAjagYw2ExVGOnFazGPsvbRuE6UPdhDtll3b-eGUbvh-hIFhiXeLPVL9WTkLvogMMilDdP2JKQxEx4yqWDFkRNegl6yCc7KcMd50KNqijGDov1zCJDhjXyFOOH0,https://serpapi.com/search.json?data_id=0xa026c432248c69%3A0x5537dac12510bd6c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa026c432248c69%3A0x5537dac12510bd6c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJaYwkMsQmoAARbL0QJcHaN1U,"Nazareno, MG",lojas_presentes,2025-07-28T23:51:19.148156,COMPLETA
6,Salto Quinze,ChIJDSgRQoknoAARmoHeYypa9jY,0xa027894211280d:0x36f65a2a63de819a,3960452060429582746,/g/11s176lct0,5,1,Loja,Loja,store,"Praça Nossa Sra. de Nazaré - Centro, Nazareno - MG, 36370-000, Brasil",-21.2172041,-44.6125403,+55 35 99938-9979,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: Fechado; domingo: Fechado,,,,,"Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipMd396ODtA9t0Z85Pjfi6mtTLC3jqfL8fUnmNVX=w80-h142-k-no,https://serpapi.com/images/url/di7N9XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm2JsaebvUuJoWWIQZWEakJWWaZZbEuLjbJxVmOZjkRaal-sXFmFbbmGgm2FoYqSbrZuXDwCO9yDC,https://serpapi.com/search.json?data_id=0xa027894211280d%3A0x36f65a2a63de819a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa027894211280d%3A0x36f65a2a63de819a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJDSgRQoknoAARmoHeYypa9jY,"Nazareno, MG",lojas_presentes,2025-07-28T23:51:19.148156,COMPLETA
7,Central Acabamentos,ChIJHVIYj64noAARLIQDZFFLhog,0xa027ae8f18521d:0x88864b516403842c,9837633248979813420,/g/11j2y10zvq,5,13,Loja,Loja,store,"Praça Nossa Sra. de Nazaré - Centro, Nazareno - MG, 36370-000, Brasil",-21.2171171,-44.6131226,+55 35 99884-9321,,Fechado ⋅ Abre ter. às 07:00,Fechado ⋅ Abre ter. às 07:00,segunda-feira: 07:00–18:00; terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Loja nota 10
Variedades de produtos para construção  em geral!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrLd6m7ibSCAjBceWdd-lPlZnpX0cCY0s4TVCMAldZXOtGs2zP-sdp1zEXidVCsJaXsrsArYLe-G84YhM5IWthiCvy2gq1mQGRUyDEW0OkjgqIoXWnpK5tLzJnoKHZVVWZ09VMs=w122-h92-k-no,https://serpapi.com/images/url/aNPR33icBcFbcoMgFADQFRGVmoed6YelGfPQSfoC9C8BBkwQiJe2E_fXRXQ3Pefv18QY4DFJrHmYae-1VV-gRuFdVC7OhB8SHQAJQJCUpDC5G2u5GJb9-Z2Ul2ehmJTIHm3nAk8FaVPIPyhpSis7fogV4OmIQIZsWvNeUgK7E4cRyrGtFapWeWua-ZZF05PvO9a3bHit3j7vL2uWHq4Xfdt6zlzYz2M97ZzfbzpKWZcWtIGnnwxjZAqMrsj5f_O2RRQ,https://serpapi.com/search.json?data_id=0xa027ae8f18521d%3A0x88864b516403842c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa027ae8f18521d%3A0x88864b516403842c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJHVIYj64noAARLIQDZFFLhog,"Nazareno, MG",lojas_presentes,2025-07-28T23:51:19.148156,COMPLETA
8,Renascer Modas,ChIJfUrl78gmoAARk1lqpsxs8kA,0xa026c8efe54a7d:0x40f26ccca66a5993,4679922589012482451,/g/11hbkc2cqf,4.4,11,Loja de Roupa,Loja de Roupa,clothing_store,"R. Francisco Ernesto, 166, Nazareno - MG, 36370-000, Brasil",-21.2162307,-44.6177877,+55 35 3842-1520,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noV8_g_DCV1Ja_Tjbv29zFnAxT7JNIKdt4Yn9K-bT_KXlXCZE5PgqlZb8cYsNv2MQCWB42Icd5v0RD5-1FVFXH3HurRg87XOC9Gk2ZcpZlorAEcugnhAeb7dGkdm4lSbT9HqyKAAg=w122-h92-k-no,https://serpapi.com/images/url/CzGnx3icBcFRboIwAADQE1VGhUBN9lGriBLRIWHID1kLaTNKC7Qwtwt6ht3G9_6fwtrBbBxHivWKa81lO5t2YlrZVtkV073DBwOYAcbBBAlP6SKseb0jhXv6qvNvukD0Fyn8yINTekwa690VSgDN66SUJan2_pWPsqIhu5t0gecP8rn14JE1_vKW7XzgRkVUxut4njIeBuWFoEMHKzZUUk94z2auBG5p0By6pvfkjeYoHn8TjPn7jwshEAiCDij9As3AQ8M,https://serpapi.com/search.json?data_id=0xa026c8efe54a7d%3A0x40f26ccca66a5993&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa026c8efe54a7d%3A0x40f26ccca66a5993&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfUrl78gmoAARk1lqpsxs8kA,"Nazareno, MG",lojas_presentes,2025-07-28T23:51:19.148156,COMPLETA
9,Cabide De Amor,ChIJvxSy-g0noAAR_FU5Lf4KSI0,0xa0270dfab214bf:0x8d480afe2d3955fc,10180399044467709436,/g/11g4bf8vxr,4,2,Loja de Roupa,Loja de Roupa,clothing_store,"R. Francisco Pio, 70, Nazareno - MG, 36370-000, Brasil",-21.219514699999998,-44.610780899999995,+55 35 99200-0951,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,"""Fechado temporariamente""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4np7w0q0_hEW3YGARW2E4v5XdbbjmKqKEYvYC-uhuxbtC3AJWOiHj_KMh1IB7cnuIMCD4P6yUhdel1NXP2L8uRsQ1ZYxBMVcaZZr6_q9wEK1tx5-RoAK24V0WQ7snag-9pZL3eGcOQ=w80-h142-k-no,https://serpapi.com/images/url/XuEpRXicBcFtDoIgAADQE5GimNnWDzPXB1nplqZ_nBKTykAD0k7YGbpN7_2-TKlOzg2jZfakEaJpqZb0RQRXlKsJEU-j6SQgEkjDDzyGeOcOZm-WLMzsfO0nmRWit3O51vX9iXsc5u88AJrpsVaB7e-y421zL3HE4HbpEq63UbBCp-nnzK60hYfLydrPdCJjWOTjMkpJVRSvadl7Q4ihGh2QCB9bKDWz2JW8aoDXFXubrskxXgwzEzCILPAAXPwB6cVDlA,https://serpapi.com/search.json?data_id=0xa0270dfab214bf%3A0x8d480afe2d3955fc&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa0270dfab214bf%3A0x8d480afe2d3955fc&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJvxSy-g0noAAR_FU5Lf4KSI0,"Nazareno, MG",lojas_presentes,2025-07-28T23:51:19.148156,COMPLETA
10,Supermercado JL,ChIJRTm2KMQmoAAR2OtQw4XGHFk,0xa026c428b63945:0x591cc685c350ebd8,6421225446533295064,/g/11cn0l0029,4.6,54,Supermercado,Supermercado,supermarket,"Avenida Presidente Tranquedo neves, Centro, Nazareno - MG, 36370-000, Brasil",-21.220333,-44.6131199,+55 35 99945-3043,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–19:00; terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:00–12:09,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipPY7rM3WsMstgllZtUaYNSJb0wFBURF217ylYhN=w163-h92-k-no,https://serpapi.com/images/url/yOU7u3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEGle5GscXuxbXJKekxNVEpoY6RfslWRQ7uYUGuRmZGhemROZ4WdbbmhmrJthaaSbrZuXDwCyOiFf,https://serpapi.com/search.json?data_id=0xa026c428b63945%3A0x591cc685c350ebd8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa026c428b63945%3A0x591cc685c350ebd8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRTm2KMQmoAAR2OtQw4XGHFk,"Nazareno, MG",lojas_presentes,2025-07-28T23:51:19.148156,COMPLETA
