position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Cuide se Cosméticos e Presentes,ChIJ2UjczaG_pgAROuRzvXknJKM,0xa6bfa1cddc48d9:0xa3242779bd73e43a,11755564331166852154,/g/11m76zf85h,,0,Loja de produtos de beleza,Loja de produtos de beleza,beauty_supply_store,"R. Monte Carmelo, 110 - Olaria, Belo Horizonte - MG, 30660-380, Brasil",-19.9926587,-44.0267665,+55 31 99088-7575,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–17:00; terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6JHR5jsTtCa5sR5qCvNzrw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=134.33621&pitch=0&thumbfov=100,https://serpapi.com/images/url/ZwdEKXicHc09DsIgGADQ27DJj7WNmhCHLsbBoXE3lGLB0IJ8n6Cexmt5G40XeO_ztogRtowBJmMwO1OiexgPi6joGMLojYoOqA4Ty4KhvU_9rJzfRTUHN8jmsO_qK5ywVTV09a3Nx1cqRPdn7Z2ZUYJRSVs6lp-YwkDHCKTINSdWbpbkqYoU1YpWVbMUJDrUVnLyXy4hS8H5F35aOaE,https://serpapi.com/search.json?data_id=0xa6bfa1cddc48d9%3A0xa3242779bd73e43a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bfa1cddc48d9%3A0xa3242779bd73e43a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2UjczaG_pgAROuRzvXknJKM,"Olaria, MG",lojas_presentes,2025-07-29T00:01:02.439762,COMPLETA
2,Ateliê da Índia,ChIJzTZ-1oyfpgARTGKjwGtEWGM,0xa69f8cd67e36cd:0x6358446bc0a3624c,7158546837289525836,/g/11mk2_9074,5,3,Loja de Presentes,Loja de Presentes,gift_shop,"R. Duque de Caxias, 80 - Olaria, Nova Lima - MG, 34003-566, Brasil",-19.98208,-43.861700299999995,+55 31 98910-8911,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–18:00; terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrY_jcUJ6mgcIPhzZdbs2c1W8QUucBEnTYKDVitHQQWlW2NgO6p90haq6uEGaJIOsQ2_le6YNMoaBJzJLULMMHzPsMREQ1GOKBKPelSx0eDw5jmyU6CEv6u86KGI8GAyK62_SKB=w92-h92-k-no,https://serpapi.com/images/url/up1xOXicDcNtDoIgAADQE5lFxbStH1nOlEypzNkfZ8SgQrDAPjxfl-g29bb3_XBjGj2xbcGHPaYUE7TV9E6UNFSaHlG1zRptEW1pezZ3-Ujei_JCsgjWjIQp7w6nowZkkDs4a4nny12BFvuzWWKcixysWQIbt8-rG2z9oIrCRGNQCgqLdawqL-qiVbaK42WX6njj40GQIA-lVGxffbp4ji_1O4Nz_wFbB6IgdILZG0FQbpE3fbrA4v9XS6ofcU9DEw,https://serpapi.com/search.json?data_id=0xa69f8cd67e36cd%3A0x6358446bc0a3624c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69f8cd67e36cd%3A0x6358446bc0a3624c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJzTZ-1oyfpgARTGKjwGtEWGM,"Olaria, MG",lojas_presentes,2025-07-29T00:01:02.439762,COMPLETA
3,Cerâmica Boas Novas Ltda,ChIJT_iMxDKWpgARx2zfOloGWl4,0xa69632c48cf84f:0x5e5a065a3adf6cc7,6798753572073729223,/g/1v4k7rff,4.6,283,Loja de artigos em cerâmica,"Loja de artigos em cerâmica, Artesanato",pottery_store,"Av. Dom João VI, 330 - Betânia, Belo Horizonte - MG, 30580-270, Brasil",-19.9588787,-43.985473,+55 31 3374-4058,http://www.ceramicaboasnovas.com/,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:00; terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 09:00–12:00; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,"""Ótima qualidade de produtos, preço acessíveis e ótimo atendimento""",https://lh3.googleusercontent.com/p/AF1QipMiADzmh0BO4Z-zdVrqrYAft4BRJ6RGXPQIKU2V=w180-h92-k-no,https://serpapi.com/images/url/TCKk83icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm-noUpWbYeDkbxKlW5USVlRYFOmYVmLiFORlFuQeERDo6R1qFGZbbmhhoJthaaSbrZuXDwCgCiDJ,https://serpapi.com/search.json?data_id=0xa69632c48cf84f%3A0x5e5a065a3adf6cc7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69632c48cf84f%3A0x5e5a065a3adf6cc7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJT_iMxDKWpgARx2zfOloGWl4,"Olaria, MG",lojas_presentes,2025-07-29T00:01:02.439762,COMPLETA
4,Destak Presentes,ChIJXTfzSdSLlwARCvq3Ft5muZQ,0x978bd449f3375d:0x94b966de16b7fa0a,10716709892354734602,/g/11ldqxt04k,4,3,Atacadista de utilidades domésticas,Atacadista de utilidades domésticas,household_goods_wholesaler,"Av. Júlio Antônio Thurler, 195 - Olaria, Nova Friburgo - RJ, 28620-000, Brasil",-22.3054669,-42.5406367,+55 22 97402-0189,,Fechado ⋅ Abre ter. às 09:00,Fechado ⋅ Abre ter. às 09:00,segunda-feira: 09:00–19:00; terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–13:00,,,,"Cartão de crédito, Cartão de débito",,,"""Será que todo esse material da loja  tem NF ou Nota de Importação  ?""",https://lh3.googleusercontent.com/p/AF1QipPjMeyTotbdsIwHjYlQUTkmoAXas5c7n__KArnl=w80-h106-k-no,https://serpapi.com/images/url/g4unxnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkOWbWhmSX5KUUuxZ7pEVmRMYGpKdm-8YkVhsmmyeFx_v7ViUl2NbbmGgm2FoYKabrZuXDwDYByKD,https://serpapi.com/search.json?data_id=0x978bd449f3375d%3A0x94b966de16b7fa0a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x978bd449f3375d%3A0x94b966de16b7fa0a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJXTfzSdSLlwARCvq3Ft5muZQ,"Olaria, MG",lojas_presentes,2025-07-29T00:01:02.439762,COMPLETA
5,Loja da Ana,ChIJa_9bSgA3nwARTa86E2zS4Fs,0x9f37004a5bff6b:0x5be0d26c133aaf4d,6620522813855543117,/g/11w3lch4df,,0,Loja,Loja,store,"R. Dalmo Tinoco de Paula, 183-75, Olaria - MG, 36145-000, Brasil",-21.859661,-43.9365035,,,Aberto 24 horas,Aberto 24 horas,segunda-feira: Atendimento 24 horas; terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Fechado; domingo: Fechado,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npiteMUTigNtJr4cT18JZL8iNpjSrQ1MqWnIw6_1_XLQsSTcNBwI5-Mb7pjT5Vc4cXE_-2L7TOrzsXSiosC814DfGXqFSt3Km3mNGsREpb9GhaOP_SBlPYOaVITd02XymMHPnqN=w80-h106-k-no,https://serpapi.com/images/url/RxZftnicBcFbcoIwFADQFUWIoGJn_KiPIhYCNlFjfxiNSFBIAjcOo_tzEd1Nz_l7S2sNfDhOLb1BqXVZFw8oOqGVLZQdCN04pQEkAIHzuZhKX5nKFsmOVSWxm84XDAeb3zioiLnRbouT9qCifpzjnMdboEyQeR-NUHKemBsb7YUv-CpHw3jC0u4FnFYaFgH2l9eQt1_Uet-N15AQflbmPA3lKc1yOq-zY3raR-ziDvmzSdaZasmsD1wksTtGd6T0P6WcQ9E,https://serpapi.com/search.json?data_id=0x9f37004a5bff6b%3A0x5be0d26c133aaf4d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f37004a5bff6b%3A0x5be0d26c133aaf4d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJa_9bSgA3nwARTa86E2zS4Fs,"Olaria, MG",lojas_presentes,2025-07-29T00:01:02.439762,COMPLETA
2,Aroma & Arte,ChIJ3bPmcXu-pgARwdrWwtRtp9I,0xa6be7b71e6b3dd:0xd2a76dd4c2d6dac1,15179221829644901057,/g/11gg9l5zwv,5,1,,,,"Rua Carajurú, 121 - Olaria, Belo Horizonte - MG, 30660-080, Brasil",-19.990290599999998,-44.02764,,,Permanently closed,Permanently closed,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npwGiP7HR7dfQaDuH_xZR6UFJ_G0tR-wPcNrHSrI3JiTie6LU_Gl4O-qcXs5-7p73HSG7hH0kjm17S9GW7_EL7wEua8iB2U9DiGCWsjHNakYUUtoLIvIrNlK9oWEx0zDrv4zT8=w122-h92-k-no,https://serpapi.com/images/url/4pdZ33icBcHbToMwAADQL-pgwOi6xAcFbJkEEdageyGkIu24FNtyyb7Pn9jfeM7jjxsz6ZNl9dzdtVK2fTPrRjE5mmY0OyYHq500YBpo6zlA3BunFYsMkhx-_3zU4Uyq7Zr79PVcYdvkYM1YqkihYvcsLqLxE1rh3nsHv-xTHwCcoEsKDDmxu9uwhwXCJayiBK7RXB_Fi0NRKHBQ6htJ6-6LUiOTeIlV2r8hWUabfQ_V4t0vx6d17ziAIwd0YJT_-99Crw,https://serpapi.com/search.json?data_id=0xa6be7b71e6b3dd%3A0xd2a76dd4c2d6dac1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6be7b71e6b3dd%3A0xd2a76dd4c2d6dac1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ3bPmcXu-pgARwdrWwtRtp9I,"Olaria, MG",lojas_artesanato,2025-07-29T00:01:05.484582,COMPLETA
3,Atelier Maryanna Decoração e Arte,ChIJESrKmnu-pgARTIrJivNMePI,0xa6be7b9aca2a11:0xf2784cf38ac98a4c,17471799363273067084,/g/11c5zck739,,0,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"R. Extremoso, 100 - Diamante, Belo Horizonte - MG, 30660-090, Brasil",-19.9910513,-44.0265213,+55 31 2515-3052,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3um9tkp8kNLujDB5LqZJoQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=220.11488&pitch=0&thumbfov=100,https://serpapi.com/images/url/O21A83icHc1LDsIgFADA27CTT9WEmhAT48o0Jm7dGIoIWFqe5bXobbyWt9F4gZnP2yNC3jCWcbQW52ALhKeNeQGaupRctBpCpib1bBYM_dS3gw5xC3pI4aqWU19jB7I7NtN9v1s3j_MhnYhpLyYGO6DKVo_GU1d-4piu1EEmRUlOvKor8tJFVRWnQqykJBDQeMXJf7mlWQnOv4D1OZc,https://serpapi.com/search.json?data_id=0xa6be7b9aca2a11%3A0xf2784cf38ac98a4c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6be7b9aca2a11%3A0xf2784cf38ac98a4c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJESrKmnu-pgARTIrJivNMePI,"Olaria, MG",lojas_artesanato,2025-07-29T00:01:05.484582,COMPLETA
1,Decora Retrô,ChIJ6S44y8a_pgARJqhkGsyyFPs,0xa6bfc6cb382ee9:0xfb14b2cc1a64a826,18092282192740001830,/g/11sdn1zncq,,0,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"R. Azevinho, 143 - Olaria, Belo Horizonte - MG, 30660-490, Brasil",-19.9905694,-44.0308844,+55 31 3657-7727,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–17:30; terça-feira: 08:00–17:30; quarta-feira: 08:00–17:30; quinta-feira: 08:00–17:30; sexta-feira: 08:00–17:00; sábado: Fechado; domingo: Fechado,,,,"Cartão de crédito, Cartão de débito","Entrega, Entrega no mesmo dia",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=phFEBmEFldxni2sfxkL0sA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=299.52887&pitch=0&thumbfov=100,https://serpapi.com/images/url/z_CARHicHc3RDcIgEADQbfgTKImxNSFGk_bLHQylCBcpXHpY6jau5TYaF3jv8w6lIB2FoLI4V1ZwFWFzkXZouM_ZR2cQiNs8i7URJTznMRmIJzQpw6QxDP1l7oc4bQkU3bfHVdKZ2fFmI7hUNDmz2MB9_YlLnrhHYlW3kgXdKfYyVauu43vVtgeGUGzQkv2Xe151I-UXmgE59A,https://serpapi.com/search.json?data_id=0xa6bfc6cb382ee9%3A0xfb14b2cc1a64a826&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bfc6cb382ee9%3A0xfb14b2cc1a64a826&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6S44y8a_pgARJqhkGsyyFPs,"Olaria, MG",lojas_decoracao,2025-07-29T00:01:08.544471,COMPLETA
2,Armários Modular,ChIJVSHeG32-pgARyhTP0B2FX_g,0xa6be7d1bde2155:0xf85f851dd0cf14ca,17897169807297418442,/g/11hbqkm5k_,4,4,Loja de móveis,Loja de móveis,furniture_store,"R. Monte Carmelo, 31 - Olaria, Belo Horizonte - MG, 31015-230, Brasil",-19.9937328,-44.027935899999996,,,Fechado ⋅ Abre ter. às 08:00,Fechado ⋅ Abre ter. às 08:00,segunda-feira: 08:00–18:00; terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:00–12:00; domingo: Fechado,,,Estacionamento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npbIxXneuedmpXd7jNKgTkv9xQJM1dfv3sYHMeMpZPxOFcjGaA9HA3InSbbXyFnbGDn85fp-eEZKpJ8u73DjDtpJYSmd2S9YFA8ntjU8kyfPXrrJQajqvcrYk0fkwPCmZJgihdprS043QY=w80-h106-k-no,https://serpapi.com/images/url/aCgrfHicBcHhcoIgAADgJyJttMLd7YeXs6Jz03O7E_8lIIQJDNDsHfcCe5u-7_9PhmD9WxTdJFwJY8SNT547anTgOqyoGSNhPaAe-CjdJ3KjbXdaGs0nzkbbsJ36PIvvYU6WChdr1s_Qk2PBC9uWy1dO1eGSJscUnnTddc0j190h0-i1t4B_tGeL0bSDmcqCxaQe2UudkDxFOqgfNDz6snEOVxf1O1NHhrgf7uV-bLG4SmZdHW9gRd7vKAZyHW_BALR5AknhSEc,https://serpapi.com/search.json?data_id=0xa6be7d1bde2155%3A0xf85f851dd0cf14ca&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6be7d1bde2155%3A0xf85f851dd0cf14ca&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJVSHeG32-pgARyhTP0B2FX_g,"Olaria, MG",lojas_decoracao,2025-07-29T00:01:08.544471,COMPLETA
3,Marciete Flores Decoraçoes,ChIJS4dmTGS-pgARq1yhI1htIMs,0xa6be644c66874b:0xcb206d5823a15cab,14636819014276439211,/g/1tfm2php,5,3,Floricultura,Floricultura,florist,"R. Serra, 45 - Olaria, Belo Horizonte - MG, 30660-580, Brasil",-19.9875312,-44.0329555,+55 31 2511-0802,,Temporarily closed,Temporarily closed,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqsFaxNKIeusBgwlz-tOpzacwwBJhI2_0hPezT0bahKqPHA_boD-N6NXRCSzLF_WemfF2Epo3pxBNsYoSFbn0kG2UJ0IoaqaxgWeG_yXMa6iY3OtK5bOB8qDSogYKXxeb9VRGnX=w80-h142-k-no,https://serpapi.com/images/url/ZRatfnicDcpLDoIwFADAExUqKFETF6KCiIIRP7AiLamtEfuKrQG5n4fwNjrr-X6EMUpPbbsWrsUBeM1emj0rkIZJY1XwsLnSqNJI2_PFRAxlowPSJXH0fz5v6x6ZVPWkalt_IyKnxGLP-iOmRMTNfj0vKSxR4iX5YZH126C8sMc1cFYKXNX5iS4gC6jE99A5bXAEpCEdv7CwfOc74t0KNzXxiKb-uFlmwIs47xidnA-hzGftGCMxGDrojiT8AFq9RaI,https://serpapi.com/search.json?data_id=0xa6be644c66874b%3A0xcb206d5823a15cab&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6be644c66874b%3A0xcb206d5823a15cab&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJS4dmTGS-pgARq1yhI1htIMs,"Olaria, MG",lojas_decoracao,2025-07-29T00:01:08.544471,COMPLETA
