position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Crisny Artigos Para Presentes,ChIJt4aNnyRAogARAi3T5sU9ksY,0xa240249f8d86b7:0xc6923dc5e6d32d02,14308566886299938050,/g/11h1mdqz97,5,1,Loja de variedades,Loja de variedades,variety_store,"R. Cel. Francisco F Carvalho, Oliveira Fortes - MG, 36250-000, Brasil",-21.3383884,-43.4595048,+55 32 98426-8800,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq-1SZZ1fQqIIa58cIUxDYkORrKcCiWe02-XC6AC-Up-9JZTaJovKU5jguiA97t3-FhZ4EfiORJb77Tox3WFmKLcAilc04UvTzE6HZ1vJq9hLN0IgLTE8HJH33Neq1V9TV0Gj4d=w80-h116-k-no,https://serpapi.com/images/url/FYehDHicBcFRboIwGADgE_3SWgS6ZA-EoVCIZq7o1jettUWRgq3M7H47xG6z7_v7Nd4P7iUIOkNm2lrdqYdTd2l7r3o_k_YW6MGBdOCCNKMm7EfAH0Lg8_tYlodFIsvm-fZ13WzvlczavUJz-MyiNINmAMoEPzA7Vc3ioh9tSmNPYGlEmJ_bzZYd45jbJ9kvb1Ut07aTKGwm_pNHhcATG6mp16jUNc-TghWErNWId5Tv0OoSnl6_EwQG4wiu0Nt_04ZBNw,https://serpapi.com/search.json?data_id=0xa240249f8d86b7%3A0xc6923dc5e6d32d02&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa240249f8d86b7%3A0xc6923dc5e6d32d02&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJt4aNnyRAogARAi3T5sU9ksY,"Oliveira Fortes, MG",lojas_presentes,2025-07-29T00:06:10.529759,COMPLETA
2,Lulude Presentes,ChIJX9yxfuxkoAAR9L7_GNHbd8Q,0xa064ec7eb1dc5f:0xc477dbd118ffbef4,14157025644776505076,/g/11fmpflzwm,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"Praça XV de Novembro, 49 - Centro, Oliveira - MG, 35540-000, Brasil",-20.6965228,-44.827658299999996,+55 37 99191-0034,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:30; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""O lugar que tem flores artificiais mais bonitas em Oliveira""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrjhex2a_kRwi_QTZshGltLN5BmM5euOy7lA2U69Id1ydQ460C-C2116jzGiZfrvkTIaqsIYk-D8WpxuMUGY1SmnjUmam6NX85OaxHwCBVrIgrmvJ6NblYbc4qAGXDpBv2GJY0C=w80-h106-k-no,https://serpapi.com/images/url/JSFLVnicBcFZjoIwAADQE1UoAxVN5gNq0sEoxoUZ8ccgdqjQBduy6P08hLfxvfeLWduaueNw9jWplKo47QzVpZKWSjsplXCq1oDSAONEeMZ8qWtGR684N7vhdt4eToYRbldpEIt1QLvNY8ojL0Oz5Aof162PXAywByGqn-R2-td9c0iKu0nyBizCv3bs1hnJ4V7IOhOFQOkxDDbF-DPg-FcnlRb9EqUXnl9K_x6R46KNe48scxd_D6ELGHQRaIBUH9bmRDg,https://serpapi.com/search.json?data_id=0xa064ec7eb1dc5f%3A0xc477dbd118ffbef4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa064ec7eb1dc5f%3A0xc477dbd118ffbef4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJX9yxfuxkoAAR9L7_GNHbd8Q,"Oliveira Fortes, MG",lojas_presentes,2025-07-29T00:06:10.529759,COMPLETA
2,Moda & Arte,ChIJ03n16ShBogARWbz77czjgnw,0xa24128e9f579d3:0x7c82e3ccedfbbc59,8971983876980980825,/g/11q2lz6dr7,5,2,Loja,Loja,store,"R. Geraldo Ferreira Carvalho, 73-99, Oliveira Fortes - MG, 36250-000, Brasil",-21.3380929,-43.4586713,+55 32 98435-5075,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–17:00; quarta-feira: 08:30–17:00; quinta-feira: 08:30–17:00; sexta-feira: 08:30–17:00; sábado: 08:30–12:00; domingo: Fechado; segunda-feira: 08:30–17:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npXQg37qpcCFJaDcmfXXpIji5xCsjuE4xRdQdf2IHyEx19Ka-SCYqeqFs9rPKWoGJ5obGMz3osZLiJWwy5KOfHKNAFUy7FrL-dqwV86umdeN23BMqvRgRYWEXObTNC9Ep0nQGaM=w80-h146-k-no,https://serpapi.com/images/url/50FFDXicBcFbFkJAAADQFU0qVDqnD00oouhB_WmM0cM8DKH9tYh2072_b1HXXM4V5VWoA8IYeeFG4goxWmNaDxArFcIlQBJIxYRGoVGehESdCo6g7aYrVOZJwjePu95B-WgsrYuyMMvHm3VvdSPDS8EBXgQWtjSqvRczx9XZzfE_KpPX7d2N2173dvnaC0z71E_tagsy0Z5nk6bMcDBWl754RyS6xFayux0DaFh8SEMn9RftbAiKkTYBT0DZH-wpRGc,https://serpapi.com/search.json?data_id=0xa24128e9f579d3%3A0x7c82e3ccedfbbc59&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa24128e9f579d3%3A0x7c82e3ccedfbbc59&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ03n16ShBogARWbz77czjgnw,"Oliveira Fortes, MG",lojas_decoracao,2025-07-29T00:06:13.590353,COMPLETA
3,Eletro Mania,ChIJGefWI0dBogAR9rE-T3WRY00,0xa2414723d6e719:0x4d6391754f3eb1f6,5576460696641516022,/g/11hycq89f1,5,1,Loja de eletrodomésticos,Loja de eletrodomésticos,appliance_store,"Oliveira Fortes - MG, 36250-000, Brasil",-21.3384277,-43.4590156,+55 32 98506-6755,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npw_E5s0EeX3FLqJ7qa5SGIuRXkSfMFKE5P9-kQKJVJtfd8yqECEh6ncjK2cfpwD20W7HZ8XQfH1XDq6by5W08HGWO1giIQ4bSkJ-HrrtjBpwhmt4gYxF-fSdTbRrozC9V5FUA2=w122-h92-k-no,https://serpapi.com/images/url/WQXFYHicBcFZcoIwAADQE4UlEpbO-GExrO1UpBXan06JJCloEkgctPfrIbyN793_uTFKP9n2ia8sJiU79Rfdz0QK0wtjEXm2mdKAaKDtTRxxT6jlGyPt4L5dJS9TEUw_qE7zy74da_qalBjtIjBWZXEoDD2GtwnHmPuCDCUkVC1b6DRB9hW2Fc3cdjv53Q01TpilzZvLfvPK6-qxANk8m-FZLfxsPPZ5TQCtj-_dfpZ_cXRAyccGrhcXQsAjCEYg5AM4BkLu,https://serpapi.com/search.json?data_id=0xa2414723d6e719%3A0x4d6391754f3eb1f6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2414723d6e719%3A0x4d6391754f3eb1f6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJGefWI0dBogAR9rE-T3WRY00,"Oliveira Fortes, MG",lojas_decoracao,2025-07-29T00:06:13.590353,COMPLETA
4,Floricultura Dona Florinda,ChIJBWuuFhdBogARdlrymm2jynQ,0xa2411716ae6b05:0x74caa36d9af25a76,8415718544841529974,/g/11k2sjrdry,5,1,Floricultura,Floricultura,florist,"R. João José Batista, 20-55, Oliveira Fortes - MG, 36250-000, Brasil",-21.341401599999998,-43.4569556,+55 32 98495-6100,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–17:00; quarta-feira: 08:30–17:00; quinta-feira: 08:30–17:00; sexta-feira: 08:30–17:00; sábado: 08:30–12:00; domingo: Fechado; segunda-feira: 08:30–17:00,,,,"Cartão de crédito, Cartão de débito",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrAHE6oy_dtU0-cQWMVbsEbG0mTjnqbt_cgVDN6Nn7WjrOgyWBWGEIb_z87QrudRbLW_NxBq6tFdNsYPrT4__dmmUPNI3am76fiCqY6fvBwrc-3caCShY5IXygU7AmwEkU0P0q0=w125-h92-k-no,https://serpapi.com/images/url/GvstOXicBcFRkoIgAADQE5FsFlYz-6Fm5UyR7WbkFxNosBWQQJndbw-xt9n3_n6l93c3C4KbDAfCGHFrHq6x3GjfaD_gRgXi7gB3wAVxOpUjbeNVhkxPa19CwHdkc2AuY0uo9hfdMk-5OMwxwjoiF7sVPUnIMssZfU-inX3UX2xNKH4lLfKLGruqsPsRpbVSZYHz8KQidP5J2wqdn0lnOQj5Kf2W1Tg_9qKMYtVl1xIWsIWf3cdwDOR0CK5Am38PDUTz,https://serpapi.com/search.json?data_id=0xa2411716ae6b05%3A0x74caa36d9af25a76&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2411716ae6b05%3A0x74caa36d9af25a76&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBWuuFhdBogARdlrymm2jynQ,"Oliveira Fortes, MG",lojas_decoracao,2025-07-29T00:06:13.590353,COMPLETA
5,S&R Móveis e Decorações,ChIJlU4YHTurmAARmOm7RUQmcXQ,0x98ab3b1d184e95:0x7471264445bbe998,8390529655437519256,/g/11nl7tjrkf,5,1,Loja de móveis,Loja de móveis,furniture_store,"R. dos Andradas, 56 - Centro, Bias Fortes - MG, 36230-000, Brasil",-21.6073821,-43.756201999999995,+55 32 99806-4585,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,"""Móveis para toda casa e produtos eletroeletrônico das melhores marcas.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noPGhE_8UTbXUCMS_r7iIIw7MEyT4CmCqLt-1AG4Jiq25LkQRHZxcUJWreK6uFdcAMOvBP9zz6yxmIlTd4fZFg35SywSPFTJNomP0jG8Pke7AKrBA4ADSv81SOwJUKS26JhyhX1=w163-h92-k-no,https://serpapi.com/images/url/CHFob3icBcHtFoEwAADQJ5pU04dz_JgoLTFWh-OPc8w0-hhtJO_nIbyNe39fofVdjQ2jEvagkLKo-FPxlslG80YPmKyN4q4AU0AZKPAFbCSJxPzo5dlpnwcpPbbuNY47N533GQzq4LHUwEQRxNeHNVqWm-3i8GY53rU8cZ7hmaF0_ZoS__Nx-ncdV9kZXg5hYY9o31ESZnglazK8RR4puYuSdoogmtGXZ9J1h_OEWg4Wvdibk850bCB8C5SgkX9gBEL0,https://serpapi.com/search.json?data_id=0x98ab3b1d184e95%3A0x7471264445bbe998&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98ab3b1d184e95%3A0x7471264445bbe998&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJlU4YHTurmAARmOm7RUQmcXQ,"Oliveira Fortes, MG",lojas_decoracao,2025-07-29T00:06:13.590353,COMPLETA
6,FABRICA DE MOVEIS BG,ChIJHW32gCBBogARanfeKxTsGmg,0xa2412080f66d1d:0x681aec142bde776a,7501567700718483306,/g/11fn552q2q,5,2,Escritório da empresa,Escritório da empresa,corporate_office,"R. Jose Custodio Ferreira, 81, Oliveira Fortes - MG, 36250-000, Brasil",-21.3420953,-43.4574668,+55 32 98426-8132,,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–17:00; quarta-feira: 07:00–17:00; quinta-feira: 07:00–17:00; sexta-feira: 07:00–17:00; sábado: Fechado; domingo: Fechado; segunda-feira: 07:00–17:00,,,,,,,"""Serviço exelente""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nprfUtOW23-wKDUrWipBeA4DQ8btj7yhxoh7p8XfSG3TiyksMUBEKr-3IvFI-gIehGeM8dcR1obTAdrtP3SgGdLSM2ZjgCJggaacsp0dH4y31o9G42iOiEAFqpgE_2fDnOD5S_h=w80-h120-k-no,https://serpapi.com/images/url/LptGBXicBcFbEoIgFADQFZEKNlkzfWiaWTlW5tT00xTixR5AQA8X2CLaTef8vtxaZUaOc-OkB1LCjT0N01QKy4TtUXl3QBlEDTJOOBlyXyjdVLbYYYLei7jSu1ZFLPTjdXC2l0HHP5IPVLBvypRs2-5q8ipKFhqR7DXNEGSMpywParrx5Hkb1tquSAlpvSxzfLjAZA5wOlGj3Hrmd8STw9THbdEm4fShIDniJhZF3C-PfPwOXMQ97KIrEvIPuEJD0w,https://serpapi.com/search.json?data_id=0xa2412080f66d1d%3A0x681aec142bde776a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2412080f66d1d%3A0x681aec142bde776a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJHW32gCBBogARanfeKxTsGmg,"Oliveira Fortes, MG",lojas_decoracao,2025-07-29T00:06:13.590353,COMPLETA
7,Casa Cortina Decoração,ChIJzz5BfrtloAARQ1v6dcUCkT8,0xa065bb7e413ecf:0x3f9102c575fa5b43,4580445343123659587,/g/11h80flvcc,4,2,Decorador de interiores,"Decorador de interiores, Fornecedor de toldos, Designer de interiores, Loja de papel de parede, Loja de cortinas e persianas",interior_decorator,"R. Chagas Sobrinho, 28 - Oliveira, MG, 35540-000, Brasil",-20.6952291,-44.8283506,+55 37 3331-5744,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr6mpH4G-tUbCklV7XcdiRgY_Vp3Dfldlp2rlWbv9B0kEruLo9BJiHKlt6K_J5weXQLyu0sqpAt0ZX9ASWdF2Q--JZpoHd7ETvtBUSU5zwusVjx0mT7RFe6r0ULwlWed6z7l_1nKA=w142-h92-k-no,https://serpapi.com/images/url/mn-dUnicBcFJDoIwFADQE1UqIqQmLgAHAmwcGHRDIq2gfNraFlEv6Bm8je_9vq0xUi8sC9rZpBGiATZopmrBDeNmUoveaqRGtUba8kPSOly5vYycLTLZJewg98qa3vbNqcrlbHUFCtJWUFyeJMDdWg2pIEF8ixIwblLF85GVu_Q9YP2QvsHnkviHgm7sHULxWYqIeuvj0wTZIZt_xkHn9xfuj95-w1yFs3SEglH340E15Ym_HKeOjVpiow5x8QeCaEWA,https://serpapi.com/search.json?data_id=0xa065bb7e413ecf%3A0x3f9102c575fa5b43&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa065bb7e413ecf%3A0x3f9102c575fa5b43&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJzz5BfrtloAARQ1v6dcUCkT8,"Oliveira Fortes, MG",lojas_decoracao,2025-07-29T00:06:13.590353,COMPLETA
8,Adda Móveis e Decoração,ChIJ9cxZRsRloAARHNYFGW4m6FA,0xa065c44659ccf5:0x50e8266e1905d61c,5829951971939178012,/g/11t5dhh0b9,5,5,Loja de móveis,Loja de móveis,furniture_store,"Av. Maracanã, 1950 - Centro, Oliveira - MG, 35540-000, Brasil",-20.6935879,-44.833507,+55 37 3332-7662,https://www.addamoveis.com.br/,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:30–18:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,"""Atendimento diferenciado, equipe muito atenciosa!""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=J9WGKlcxaaCouLOGMEiNZg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=142.87283&pitch=0&thumbfov=100,https://serpapi.com/images/url/QotjRnicHc3dCsIgGADQt_EudStoC6SLiEG_l0E38c2ZfuBUppvrbXqt3qboBc75vE1KIW4Yi2lQKk2ocsBZ2bgIQLX32ioIGKn0PZsKlszYtw7QbgM4j5041LfmaOUMsPPj6dqc93i5ayLbh7SoXBJRwSAN1fknDr6jOkSSRcWJEXVJXpBFsSpptS6rJQmYpBGc_Jenn0TB-Rd7XjmT,https://serpapi.com/search.json?data_id=0xa065c44659ccf5%3A0x50e8266e1905d61c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa065c44659ccf5%3A0x50e8266e1905d61c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ9cxZRsRloAARHNYFGW4m6FA,"Oliveira Fortes, MG",lojas_decoracao,2025-07-29T00:06:13.590353,COMPLETA
9,Artesanatos - Artigos pra presente e utilidades em geral,ChIJ3edXN-5BogAR5Ajr3VrjtR4,0xa241ee3757e7dd:0x1eb5e35addeb08e4,2212924771332196580,/g/11h4020791,5,1,Artesanato,Artesanato,handicraft,"MG-452, 127, Oliveira Fortes - MG, 36250-000, Brasil",-21.3385849,-43.4600541,+55 32 99999-0598,,Permanently closed,Permanently closed,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=UPwsMfLX_fn-x6aG-p5zMQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=191.11594&pitch=0&thumbfov=100,https://serpapi.com/images/url/x9ycq3icHc1LCsIwFADA22TXfMSKFR4u3VjQheCupGmaBNLk0cSmehqv5W0ULzDzeducMR0YS3nWOi9OF3Sr9qlCSU2MxmuJLlEVJ7YIlu1j6oN0_ogyRDfA7VJSO57v3RiqdSdPFdav9kpU3ynvdMiQtJyVpab8xDkO1GAiBfacWGg25CkLiEZQIepmS9BlZYGT_zLGBQTnX35DOY0,https://serpapi.com/search.json?data_id=0xa241ee3757e7dd%3A0x1eb5e35addeb08e4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa241ee3757e7dd%3A0x1eb5e35addeb08e4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ3edXN-5BogAR5Ajr3VrjtR4,"Oliveira Fortes, MG",lojas_decoracao,2025-07-29T00:06:13.590353,COMPLETA
