position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,ID Presentes Loja da Diana,ChIJ7xd5ST1Jy5QRFgC-NX1rQGw,0x94cb493d497917ef:0x6c406b7d35be0016,7800352740122427414,/g/11h11kmx0v,4.8,5,Loja de Presentes,Loja de Presentes,gift_shop,"R. Gorgulho, 562 - Centro, Carmo de Minas - MG, 37472-000, Brasil",-22.1204722,-45.1265523,,,Fechado ⋅ Abre às 09:30,Fechado ⋅ Abre às 09:30,terça-feira: 09:30–18:30; quarta-feira: 09:30–18:30; quinta-feira: 09:30–18:30; sexta-feira: 09:30–18:30; sábado: Fechado; domingo: Fechado; segunda-feira: 09:30–18:30,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipM0aKmCEJgcqxWl8gI5R3XHyKmNwfyRNpAi9Vgf=w122-h92-k-no,https://serpapi.com/images/url/0zkYMHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga5Donevs6pWeXFgRnmOR7mkaZBzhUemd61eeVhnkV-CYaRmWnmZbbmhkpJthaaSbrZuXDwCsjiGC,https://serpapi.com/search.json?data_id=0x94cb493d497917ef%3A0x6c406b7d35be0016&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb493d497917ef%3A0x6c406b7d35be0016&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7xd5ST1Jy5QRFgC-NX1rQGw,"Olímpio Noronha, MG",lojas_presentes,2025-07-29T00:03:47.729742,COMPLETA
2,Paloma Presentes,ChIJ8YD__5VLy5QR3_epMW6m-eM,0x94cb4b95ffff80f1:0xe3f9a66e31a9f7df,16427344108020430815,/g/1v6l8l_5,5,59,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. Dr. Olávo Gomes Pinto, 160 - ljs 14 e 16 - Centro, São Lourenço - MG, 37470-000, Brasil",-22.1161231,-45.053543499999996,+55 35 3331-8675,https://app.jotform.com/243607648656670,Fechado ⋅ Abre às 09:30,Fechado ⋅ Abre às 09:30,terça-feira: 09:30–18:30; quarta-feira: 09:30–18:30; quinta-feira: 09:30–18:30; sexta-feira: 09:30–18:30; sábado: 09:30–18:30; domingo: Fechado; segunda-feira: 09:30–18:30,,,,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,"""Loja com grande variedade de produtos, bom atendimento e preço justo!""",https://lh3.googleusercontent.com/p/AF1QipNgDK7PlxccU3bTnAjuRfb_Euu9fYKUyWrY4H9S=w122-h92-k-no,https://serpapi.com/images/url/RoPJwXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl-7ibR6QU5GcHGqcFJLnmFUalJYU71paapkW6R1aGV4UaeJhGWxbbmhkpJthaaSbrZuXDwC29iGb,https://serpapi.com/search.json?data_id=0x94cb4b95ffff80f1%3A0xe3f9a66e31a9f7df&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b95ffff80f1%3A0xe3f9a66e31a9f7df&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ8YD__5VLy5QR3_epMW6m-eM,"Olímpio Noronha, MG",lojas_presentes,2025-07-29T00:03:47.729742,COMPLETA
3,Arco Íris Presentes,ChIJKQgU-upLy5QR9t4PwLooc4U,0x94cb4beafa140829:0x857328bac00fdef6,9616074411917434614,/g/1tf5ls20,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Comend Costa, 677, São Lourenço - MG, 37470-000, Brasil",-22.1154835,-45.0598469,+55 35 3331-1961,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AERw1g5EhNlnPN6rxGQvfw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=234.2369&pitch=0&thumbfov=100,https://serpapi.com/images/url/UbDbfXicHc1RDoIgGADg2_AWoJbLtn-uB9ebqy7QEBHYEBgQ2Gk6V7epdYHv-7xVSj6eCIkpCJGyFsXrTZi48wxL56QRzOuIuVtJrkhSz3WyTJveM-v0DOfhXip5GNRo7HVsw3a55aUgPj240cImiIIFrrAsPzG4GUsfUYEjRQq6Gr1YgbrZ47ppO-R14goo-ieLy1BR-gVF5jlu,https://serpapi.com/search.json?data_id=0x94cb4beafa140829%3A0x857328bac00fdef6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4beafa140829%3A0x857328bac00fdef6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJKQgU-upLy5QR9t4PwLooc4U,"Olímpio Noronha, MG",lojas_presentes,2025-07-29T00:03:47.729742,COMPLETA
4,D Tudo Presentes,ChIJW7cFoK_BsZQRDmo7Ljr8RHs,0x94b1c1afa005b75b:0x7b44fc3a2e3b6a0e,8882501691895409166,/g/1tf6hr8b,4.5,83,Loja de Presentes,Loja de Presentes,gift_shop,"Av. José Cambraia, 82 - Ibiá, MG, 38950-000, Brasil",-19.4848718,-46.543230099999995,+55 34 3631-1661,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento exelente""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noCaxtqQhT7izLN44OleL0Rz-0yXtN0_pfQha_e6cwVEy6nTxNB-dkYTMlEbHtgorVNhkzayekNPzBTntTAaAy6DM_0gD_hyB3d_D58uuTqvPCYSaldQFTvviiYGhccre4oru59Jg=w163-h92-k-no,https://serpapi.com/images/url/M8t0KHicBcHdboIwGADQJ6qwgWws2QU_umXRTmZj5KqppfYjdC3SgpYX9Bl8G8953MG53n4EgYJoIY2RSoxWDNxoJ7RbcPMfyN4ibpENsiKFWJuC3dylAvLWzhscx79KbMK_GYX-6HBI-3MFjIqEXw8rn2hywzlqupps1er07aQZDhi6mXnR4d2cE-1IxjKflFsaypKCz6OGlsv3cSSXaVfUe6aaak2mqW3rL-B8ELEZxmX6Iz-vL0mEIH1FHdLmCfLhRz0,https://serpapi.com/search.json?data_id=0x94b1c1afa005b75b%3A0x7b44fc3a2e3b6a0e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b1c1afa005b75b%3A0x7b44fc3a2e3b6a0e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJW7cFoK_BsZQRDmo7Ljr8RHs,"Olímpio Noronha, MG",lojas_presentes,2025-07-29T00:03:47.729742,COMPLETA
5,Prefeitura Municipal de Olímpio Noronha,ChIJPTZ9TWI-y5QRKN_PYbqXZ_8,0x94cb3e624d7d363d:0xff6797ba61cfdf28,18403845229033545512,/g/1ydkczlvt,4,37,Prefeitura,Prefeitura,city_hall,"R. Um de Março, 450 - Centro, Olímpio Noronha - MG, 37488-000, Brasil",-22.067629699999998,-45.2627972,+55 35 3274-1122,https://www.olimpionoronha.mg.gov.br/,,,,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Muito bom conhecer lugares novos e também novo evento""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr36awwdtYdjGZarNEgLzxaRfgMVM2mh6B701gPxZATBR1KehudvApbZPn7lL7yFWsR54b2vRcS6SzYKF2w4hy0rzqYSNtVbZ6Hg65N_KJXrcPMRtgtxeqBEON3N99chBMpeoAL=w80-h106-k-no,https://serpapi.com/images/url/c3-YDHicBcFLjoIwAADQE1W-FplkFmD8RKBDilFhY6DUNoottlWQ-3mIuY3v_X-4Mb3-sayOezMmJevoU1NFpDBUmBmRd4v1GhANtBUtQ-4L5cF6GFpTttdNVSu0Yuk01vjCskPm3jmMA9th-VhF-xg7CeXP9hX1TZWLoEuD9_qo8dxv3BcmBSymMlm7g8_ftpoeZYHMoanglsE5Oie7kyJ5hg0zI33Eqz_koTAkPM56KqP0d1jYgDs2BDcg5BcEGETR,https://serpapi.com/search.json?data_id=0x94cb3e624d7d363d%3A0xff6797ba61cfdf28&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb3e624d7d363d%3A0xff6797ba61cfdf28&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJPTZ9TWI-y5QRKN_PYbqXZ_8,"Olímpio Noronha, MG",lojas_presentes,2025-07-29T00:03:47.729742,COMPLETA
6,Penpix Artesanato e MDF,ChIJkW44E_dLy5QR_AEj6UR_x-o,0x94cb4bf713386e91:0xeac77f44e92301fc,16917630459186446844,/g/11f733m1s4,5,23,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"R. Carlos Alberto Vieira, 17, São Lourenço - MG, 37470-000, Brasil",-22.1161145,-45.0521029,+55 35 99113-3400,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–16:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""A loja sempre tem novidade e com uma ótima qualidade.""",https://lh3.googleusercontent.com/p/AF1QipNf7cxfUD2FNVRQThDQkwV4b6RCmkYvOvWXVbm9=w122-h92-k-no,https://serpapi.com/images/url/2UKNbHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl2aeXJEW6mLk5hcWFBiS4RKYXR5mkmQW5JybHVnmXxYeEZaUa2lbbmhkpJthaaSbrZuXDwCpHyFe,https://serpapi.com/search.json?data_id=0x94cb4bf713386e91%3A0xeac77f44e92301fc&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4bf713386e91%3A0xeac77f44e92301fc&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkW44E_dLy5QR_AEj6UR_x-o,"Olímpio Noronha, MG",lojas_presentes,2025-07-29T00:03:47.729742,COMPLETA
7,Bijoux Presentes,ChIJN8j9zetLy5QR_xg1vecqyc0,0x94cb4bebcdfdc837:0xcdc92ae7bd3518ff,14828430422894254335,/g/11sfdkbbmb,4.8,4,Loja de Presentes,Loja de Presentes,gift_shop,"Av Dom Pedro II, Nº204, São Lourenço - MG, 37470-000, Brasil",-22.116155199999998,-45.0569511,+55 35 3332-6466,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–19:00; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Bom atendimento.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=EqL2_LjgBzihbiG09Mj4hw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=181.73964&pitch=0&thumbfov=100,https://serpapi.com/images/url/Wu6NSXicHc3bDYIwFADQbfpnH0gUTBoSE-MPzkBKqe0lhVZ6peo0ruU2Ghc45_N2iDEdGEu4GIMrmBzhYXzaREVtCNYbFSFRHSa2CobuPvWzAt9ENQcY5OnWFl072uMLXA9nXl_G0mWi-057MDPKZNSiHbX5Jy5hoDYmkmXFiZN1QZ4qS1EJut_Wu5JEQO0kJ__lGlYpOP8CeoQ5kQ,https://serpapi.com/search.json?data_id=0x94cb4bebcdfdc837%3A0xcdc92ae7bd3518ff&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4bebcdfdc837%3A0xcdc92ae7bd3518ff&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJN8j9zetLy5QR_xg1vecqyc0,"Olímpio Noronha, MG",lojas_presentes,2025-07-29T00:03:47.729742,COMPLETA
8,Aladdin Presentes,ChIJrzziEpRLy5QR751NMzaMZ0w,0x94cb4b9412e23caf:0x4c678c36334d9def,5505523233900568047,/g/11csq5cx49,4.5,167,Loja de presentes,"Loja de presentes, Loja de artigos natalinos, Loja de utensílios de cozinha, Loja de artigos para festas, Papelaria, Loja de Brinquedos",novelty_store,"Av Dom Pedro II, 140 - Centro, São Lourenço - MG, 37470-000, Brasil",-22.115373599999998,-45.0520913,+55 35 3332-6084,http://www.lojasaladdin.com.br/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–18:30; domingo: Fechado; segunda-feira: 09:00–18:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,"""excelente loja um ótimo atendimento estão de parabéns 👏👏""",https://lh3.googleusercontent.com/p/AF1QipOSOOiUGeRC2O6DQ5FWIM2UYIh_oaAVwMZUEdJk=w92-h92-k-no,https://serpapi.com/images/url/4HV9WnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH-zvnxnqnhrkbORv5hJo6hbu6WsUGumZEZ-f6BhW7hsV6prilW1bbmmkmwHE2bp5-QBsIiBn,https://serpapi.com/search.json?data_id=0x94cb4b9412e23caf%3A0x4c678c36334d9def&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b9412e23caf%3A0x4c678c36334d9def&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJrzziEpRLy5QR751NMzaMZ0w,"Olímpio Noronha, MG",lojas_presentes,2025-07-29T00:03:47.729742,COMPLETA
9,Art Gerais,ChIJ87CYCFBLy5QRGiq3RFpRJns,0x94cb4b500898b0f3:0x7b26515a44b72a1a,8873869563921902106,/g/11fq7q5kjg,5,2,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Comendador Costa, 691, São Lourenço - MG, 37470-000, Brasil",-22.115336,-45.0586589,+55 35 98848-1344,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótima loja, excelente atendimento!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrQB9noIZqeDEggiX2NnODfR-uI7MSOOcOPlUINp9CZUGr_MNZcKPfwdq90WKEYWKBOBiKhCO7q91I_2225Aj6i_5bpPi06Ofpt47nfzNCfag7n5d0GIDsVtMowY0EdDA8qFAd_=w89-h92-k-no,https://serpapi.com/images/url/u6EjVnicBcHbDoIgAADQLyKNMqOtB2815hSrdfPFFQpYBig0t76vn-hvOuf3FdZqs3KcTswmXCneNW_TDFRJ20g7oerlcG0ANcA4QYTEXA67EEmFy76JE87bC8wlidkevLGfHQihpOiOONcoKo_bocrykqYFG-seuec0uZ7TkIRtKiLi92iKKwihFzwWbeXdddG6C8K0nfuSffKI3bgvvdrd4ticbKbGq5vUcbDsN0FdrcclAgJB8ARS_QEPQ0Kf,https://serpapi.com/search.json?data_id=0x94cb4b500898b0f3%3A0x7b26515a44b72a1a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb4b500898b0f3%3A0x7b26515a44b72a1a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ87CYCFBLy5QRGiq3RFpRJns,"Olímpio Noronha, MG",lojas_presentes,2025-07-29T00:03:47.729742,COMPLETA
10,Opções Presente,ChIJkytQgQgZy5QR6LUEW4rFKNc,0x94cb190881502b93:0xd728c58a5b04b5e8,15503858915246126568,/g/1tg_h4_b,4.1,7,Loja de presentes,Loja de presentes,novelty_store,"R. Afonso Vilhena Paiva, 200, Lambari - MG, 37480-000, Brasil",-21.9714126,-45.3496885,+55 35 3271-5027,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–18:30; domingo: Fechado; segunda-feira: 09:00–18:30,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipPSQyhq8G-BHS4-Rjq-wEivqmeJxDRQcDhs0YEi=w122-h92-k-no,https://serpapi.com/images/url/J1lGV3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEBxYmVFo4a7r5BFsohuUVahb7ppZVpib6lXhEhSY7JJRbBDpmmlbbmhkpJthaaSbrZuXDwClPSFB,https://serpapi.com/search.json?data_id=0x94cb190881502b93%3A0xd728c58a5b04b5e8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cb190881502b93%3A0xd728c58a5b04b5e8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkytQgQgZy5QR6LUEW4rFKNc,"Olímpio Noronha, MG",lojas_presentes,2025-07-29T00:03:47.729742,COMPLETA
