position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Júlio Presentes,ChIJ02rIbq_kowAR5IB7Gg2Tw8U,0xa3e4af6ec86ad3:0xc5c3930d1a7b80e4,14250395330418540772,/g/1pv2p9t0h,4.5,4,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Mariza de Souza Mendes, 750, Ouro Branco - MG, 36406-000, Brasil",-20.5188283,-43.7079265,+55 31 3742-2222,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr_fUE1dZYxLQwZwCcgkOUK19m0pc53XcnX5BNhE0nnqbsEZfEHQvEGBo_5ajBI81NPayfWITBphHCNQC6_rlX98X374XusXVEfYvR77GE1Ydemlx0yOQsQHGB9pxSY35pt7HF72A=w89-h92-k-no,https://serpapi.com/images/url/O_Wf1nicBcFZcoIwAADQE4VFpCGd6QdhIjg6aFqXwA-jYclUSCKJghfsHXob3_v_E9Zq8-m6vQicTqmubx6mGbmStpHW4WpwO20AN8C4cYLEUo5VeyR-XRbzlk7llPDutjtufDR4mocB45KFOBfEk_J-NaRsSUafJMWqCi-_eB35-f7yas_rA9YiS3KafFRjz1DEArhkD8NOpC2e3xCmxC_qZuhn77WjhmYpRnr-KYJQW5it4CL-miIEBFqAG5DqDd16Q7M,https://serpapi.com/search.json?data_id=0xa3e4af6ec86ad3%3A0xc5c3930d1a7b80e4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3e4af6ec86ad3%3A0xc5c3930d1a7b80e4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ02rIbq_kowAR5IB7Gg2Tw8U,"Ouro Branco, MG",lojas_presentes,2025-07-29T00:10:02.902459,COMPLETA
2,Cristina Alves Presentes,ChIJ9wHUdFHlowAR_LauNAA5GFw,0xa3e55174d401f7:0x5c18390034aeb6fc,6636116723977074428,/g/11wq5sd2y_,5,13,Loja de presentes,Loja de presentes,novelty_store,"R. da Lavoura, 318 - Centro, Ouro Branco - MG, 36490-102, Brasil",-20.5236674,-43.6911791,+55 31 98270-5568,https://cristinaalvespresentes.vendizap.com/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente atendimento e oferta de produtos bem diversificada.""",https://lh3.googleusercontent.com/p/AF1QipPsfVoXps6RHRDEL3izUs3OYX1zwlKE-Yb1E_JB=w138-h92-k-no,https://serpapi.com/images/url/4Fbq9nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQUJwWlh9RUGwW5BHk4upjnFkVWmzsHxlhWFWe4-2qG5lk6Brv5WRbbmhsoZthaaSbrZuXDwCsayEW,https://serpapi.com/search.json?data_id=0xa3e55174d401f7%3A0x5c18390034aeb6fc&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3e55174d401f7%3A0x5c18390034aeb6fc&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ9wHUdFHlowAR_LauNAA5GFw,"Ouro Branco, MG",lojas_presentes,2025-07-29T00:10:02.902459,COMPLETA
3,Loja Moema,ChIJ80IjAwLjowARieUQGE6QGx0,0xa3e302032342f3:0x1d1b904e1810e589,2097428716556707209,/g/1tcv7k5f,4.9,40,Loja de variedades,Loja de variedades,variety_store,"Av. Conselheiro Lafaiete, 1° de Maio, nº 517, Ouro Branco - MG, 36420-000, Brasil",-20.5315753,-43.7164943,+55 31 3741-6568,https://www.facebook.com/Loja-Moema-Ouro-Branco-1424976231053858/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótima loja, com vários artigos diversos e excelente atendimento.""",https://lh3.googleusercontent.com/p/AF1QipOZg9ex2OBsXPUTGgQwfpQ6RpZ4G2VtWuMBqm7C=w204-h92-k-no,https://serpapi.com/images/url/0-6XEnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH5VumVph5O9UHBEQGuKeHlieVhBoFlQQZeJuFFYSXurrVJhr7mxbbmRgopthaaSbrZuXDwCqviE-,https://serpapi.com/search.json?data_id=0xa3e302032342f3%3A0x1d1b904e1810e589&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3e302032342f3%3A0x1d1b904e1810e589&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ80IjAwLjowARieUQGE6QGx0,"Ouro Branco, MG",lojas_presentes,2025-07-29T00:10:02.902459,COMPLETA
4,Cestare Cestas| Cesta de Café em Ouro Branco,ChIJi_Wq1X_lowARU1TxoL5arVQ,0xa3e57fd5aaf58b:0x54ad5abea0f15453,6101632844947346515,/g/11vjfxm129,5,29,Loja de cestas de presente,"Loja de cestas de presente, Restaurante de café da manhã, Loja de chocolates, Loja de frios, Loja de presentes",gift_basket_store,"Rua da Queiroz Junior - Siderurgia, Ouro Branco - MG, 36492-234, Brasil",-20.515833399999998,-43.6982899,+55 31 3938-1538,https://wa.me/c/553139381538,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–13:00; domingo: Fechado; segunda-feira: 08:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Os produtos são mto bem selecionados, chiques, finos e artesanais.""",https://lh3.googleusercontent.com/p/AF1QipNiWzHI2H2jrcNk8ISUJjQcqsQvdxI0L-uX4mwS=w80-h142-k-no,https://serpapi.com/images/url/Z5Jwd3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnglxle5eFp5GGUVZTsl23hGRzqlRWYXFgcWJZS4Wngo1saYZJbHmxbbmGgm2FoYqSbrZuXDwCuNyF1,https://serpapi.com/search.json?data_id=0xa3e57fd5aaf58b%3A0x54ad5abea0f15453&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3e57fd5aaf58b%3A0x54ad5abea0f15453&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJi_Wq1X_lowARU1TxoL5arVQ,"Ouro Branco, MG",lojas_presentes,2025-07-29T00:10:02.902459,COMPLETA
5,Loja Inove Presentes,ChIJa0jDa4PkowARICyBKlC42IA,0xa3e4836bc3486b:0x80d8b8502a812c20,9284373286274280480,/g/11hbb_8g0v,3.7,6,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"R. Antônio Raposo Tavares, 452, Ouro Branco - MG, 36420-000, Brasil",-20.5389586,-43.7104654,+55 31 99990-6237,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrVm9yOuxvqFmk4c7bHMjUVHrk-CQUQMoAXImmAB6iwiWYl-xvGmZh3yuG9WsMhxYuBs7maVoP08Scg3-kjy6AMS0flxHW66brVELL3Eeglty79uwmB1QvCmfj31LFFfcnD8ozp-w=w80-h142-k-no,https://serpapi.com/images/url/aseb53icBcHtToMwFADQJ7oDLOHDxB-AY5hAlCyDzX-ugXbQ2yJt-fAFfQbfxnP-frkxk352HMHJgSnFRGd1N1MlTSfNgSp02KSBatBOksXcl3OD8f5ut-U7x9Gn4b2ohktTzCNk9aWuVHJ9Q0zS4LE-2puAbTnhJye7PcWtrvh2s6kO8atRH250pozAOOxBUp3dXmxFGwT3uTmWJTl2TJg9jO2KqVcvGfYD8co876l8jdTPBOvLGrnAPf8JRpDqH8XmRg0,https://serpapi.com/search.json?data_id=0xa3e4836bc3486b%3A0x80d8b8502a812c20&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3e4836bc3486b%3A0x80d8b8502a812c20&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJa0jDa4PkowARICyBKlC42IA,"Ouro Branco, MG",lojas_presentes,2025-07-29T00:10:02.902459,COMPLETA
6,Lojão do Real - Ouro Branco,ChIJM1gz02_lowARhq2Z7IQuAxM,0xa3e56fd3335833:0x13032e84ec99ad86,1369989860090817926,/g/11j3h194pf,4.6,103,Loja de presentes,"Loja de presentes, Loja de produtos de papelaria, Loja de artigos domésticos, Loja de ferramentas, Loja de Brinquedos",novelty_store,"Av. Mariza de Souza Mendes, 951, Ouro Branco - MG, 36420-000, Brasil",-20.5175776,-43.709772099999995,+55 31 98814-0785,https://www.lojaodoreal.com.br/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,"""Excelente atendimento, muito atenciosa a atendente Lorraine!""",https://lh3.googleusercontent.com/p/AF1QipOczenP4cQYmEhpvd53oUxHp5ZdOWs-zcfp-nod=w103-h92-k-no,https://serpapi.com/images/url/-KrF_HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn1yVmhdgkhwYmeuaUVCWYmqcH1rhUWAaleIfXqxblZxWoJuXn2JbbmhgrJthaaSbDeQCAMZJIiA,https://serpapi.com/search.json?data_id=0xa3e56fd3335833%3A0x13032e84ec99ad86&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3e56fd3335833%3A0x13032e84ec99ad86&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJM1gz02_lowARhq2Z7IQuAxM,"Ouro Branco, MG",lojas_presentes,2025-07-29T00:10:02.902459,COMPLETA
7,Baby Presentes papelaria,ChIJpe7dfq_kowARbfp8X7DhI2o,0xa3e4af7eddeea5:0x6a23e1b05f7cfa6d,7648204739837753965,/g/1vntl39y,4,6,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Mariza de Souza Mendes, 632 - Pioneiros, Ouro Branco - MG, 36420-000, Brasil",-20.518983199999997,-43.7074596,+55 31 3742-3135,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Tive ótimas experiências e atendimentos no local.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr6alS1txc0PIWZYOrh3Y6yO_j4cMsVo9Ymq2zCh1C6mkmHd1cGCNayeHlKvom0cPvdGUzAJJdnSls_iDyXg5VUydD77_OSJcQIuYPA0ud8l6nX5eFxf_F_L_hGv5jS-6WUManJ7A=w80-h142-k-no,https://serpapi.com/images/url/O-jZB3icBcFJDoIwAADAF1VAoaiJB4IBxAUMQcVLQ9pK1S5KC4of9A3-xpnflxnz0HPL4mwyapRqOO00bbGShkozwkpYzUMDrIG2gnDGXNnCmheOeWM7Xx3PVdaySQWHDN1cvNUHNavEc_wJmRNCcRcJcXAc7uqBJnzdK2HjvCdx-QnSlMiCa3RdDqfGO5QDWfo-yooU71ddlQd2R6YcypNHo_cFRWiDWNx7twLAY7mtZeoHi9fUBsxxx-AOpPoDk0lFcg,https://serpapi.com/search.json?data_id=0xa3e4af7eddeea5%3A0x6a23e1b05f7cfa6d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3e4af7eddeea5%3A0x6a23e1b05f7cfa6d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJpe7dfq_kowARbfp8X7DhI2o,"Ouro Branco, MG",lojas_presentes,2025-07-29T00:10:02.902459,COMPLETA
8,Red's Papelaria e Armarinho,ChIJRTPT_rPkowARAvoiFHk0AXQ,0xa3e4b3fed33345:0x740134791422fa02,8359020078009874946,/g/1vxg0dcv,4.2,89,Papelaria,Papelaria,stationery_store,"Av. Barão de Eschwege, 1020, Ouro Branco - MG, 36406-000, Brasil",-20.5142964,-43.7051502,+55 31 3742-1849,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: Fechado; domingo: Fechado; segunda-feira: 08:00–19:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Uma papelaria super completa, com atendimento de primeira.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nppygCudFQMCLqy1lngaeQUiNcRwdg2tf7NaLAI_X05IaaojUWI4HiNCxKb52cyzcCNu8HLBSwTaizub3SJakoEWJ8o8elw_zBso7eqieNYIleL4nRfnNMdMIum1RAIGEBh6EG4=w163-h92-k-no,https://serpapi.com/images/url/-X8tSnicBcHdboIwGADQJ6rIj4omu4AGtQ6aiDNuV6aW2jJrP7RtEN5vD-Hb7Jz3n3Kus6sg0CqeSACphbfiycE4YdyEwz2QnUXcIhtkeKkS03WDxL5Z7ytcPoZQG8nE_thSXveNjNx1QVmZkfP3dEYYg9_jiSTbluLX52UW8WHkmPp0W-aH_ou1o7_Ehx27QXHapZAK3Z_H3MJCPFpBf4gWZWLqq6FVUxF_D-uMbIpczYtN8tGH8xipZYRuyMA_QJdFRA,https://serpapi.com/search.json?data_id=0xa3e4b3fed33345%3A0x740134791422fa02&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3e4b3fed33345%3A0x740134791422fa02&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRTPT_rPkowARAvoiFHk0AXQ,"Ouro Branco, MG",lojas_presentes,2025-07-29T00:10:02.902459,COMPLETA
9,Casa Nadir,ChIJkwvZ_37kowARncDTc-JMJYM,0xa3e47effd90b93:0x83254ce273d3c09d,9450043928596431005,/g/1wrtf26v,4.1,73,Loja de variedades,"Loja de variedades, Loja de moda infantil, Loja de tecidos, Loja de artigos domésticos, Loja de artigos para cama, mesa e banho, Loja de moda masculina, Loja de calçado, Papelaria, Loja de Brinquedos, Armarinho",variety_store,"Praça Nossa Senhora Mãe dos Homens, 25-A, Centro, Ouro Branco - MG, 36490-082, Brasil",-20.5266557,-43.693763399999995,+55 31 3741-1168,https://www.lojacasanadir.com.br/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–14:00; domingo: Fechado; segunda-feira: 08:00–19:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Tem muitas variedades e bons produtos para presentear""",https://lh3.googleusercontent.com/p/AF1QipPDbIgzRD5WskUPbhvCCX3-JKbMpRMjN5kdVDUb=w285-h92-k-no,https://serpapi.com/images/url/SmTaoXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4JLkmV4V5GIaXpwdGpCUUebsHGGs6-Wd5FsQ5JvlZ5qdEuYSmmRbbmRhqpthaaSbrZuXDwCmTiEk,https://serpapi.com/search.json?data_id=0xa3e47effd90b93%3A0x83254ce273d3c09d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3e47effd90b93%3A0x83254ce273d3c09d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkwvZ_37kowARncDTc-JMJYM,"Ouro Branco, MG",lojas_presentes,2025-07-29T00:10:02.902459,COMPLETA
10,Ossy Presentes e Semijoias,ChIJpYiJxgvlowARL-1bhdGnY4g,0xa3e50bc68988a5:0x8863a7d1855bed2f,9827883330179951919,/g/11t60g9vqy,5,6,Loja de Presentes,Loja de Presentes,gift_shop,"R. Domingos Ferreira Pereira, 568, Ouro Branco - MG, 36420-000, Brasil",-20.516001199999998,-43.7090312,+55 31 98702-3396,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np9yMBLiADP3LsxleL51C5FO9hxFemEmu2CkwI3P4N2TsjDPvoBtiDeCpPXeuBRVtxK9dYdCgXzqkUOFOt-6i5lU1XczkIB3Q4uagqs92_sXf042tQDadTdYqoVew2wMU6GtkvX=w80-h106-k-no,https://serpapi.com/images/url/iaSdNXicBcHdboIwGADQJ6pA-cm6ZBdShjHDgYuQemUMdC0WKOz7EOb77SH2Np7z_6cRR3h1nE77G2Wt6uQM8qe2A8oBN7XtHTUCqYGAs-VMB8PIfg9x1m6Tws9g7WQWejxMc6bXVPbv_Uy5WfZ-EXzSE9yS4m5jbBPJx0LIOf6qcP1gzbnhSjwmU-ZpjiRqw670RP0w-9g_BvNVTcDoBcS3G1A8Jtfm1JwnW8mFLocy2qG5i7flxSXacyNiyGCfszBEuA,https://serpapi.com/search.json?data_id=0xa3e50bc68988a5%3A0x8863a7d1855bed2f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3e50bc68988a5%3A0x8863a7d1855bed2f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJpYiJxgvlowARL-1bhdGnY4g,"Ouro Branco, MG",lojas_presentes,2025-07-29T00:10:02.902459,COMPLETA
