position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,AN Sublimearte,ChIJ8ZzUb8RBogARWrz4DZzDLAU,0xa241c46fd49cf1:0x52cc39c0df8bc5a,372887944181627994,/g/11y76tvmhw,4,1,Loja de produtos de papelaria,Loja de produtos de papelaria,copying_supply_store,"R. Nova do Cruzeiro, 361 A - Centro, Paiva - MG, 36195-000, Brasil",-21.290666899999998,-43.4168381,+55 32 98461-1857,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–17:00; domingo: 09:00–17:00; segunda-feira: 09:00–17:00,,,,"Cartão de crédito, Cartão de débito",,,"""A melhor forma de presentear marcando lembranças.""",https://lh3.googleusercontent.com/p/AF1QipMmxgdQ-cJ1vqYg15ndG65QhiB3Y0_JNPOIYmzv=w80-h142-k-no,https://serpapi.com/images/url/t-AbbHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm1uRnhKom-xlWFYYmW5ompfibmYamJHpZBxpEO_lF-DvGZlbVWZbbmGgm2FoYqSbrZuXDwClCSEV,https://serpapi.com/search.json?data_id=0xa241c46fd49cf1%3A0x52cc39c0df8bc5a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa241c46fd49cf1%3A0x52cc39c0df8bc5a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ8ZzUb8RBogARWrz4DZzDLAU,"Paiva, MG",lojas_presentes,2025-07-29T00:19:33.689674,COMPLETA
2,JMIX Artigos Personalizados,ChIJKesRH1RBogAR337PYAtwjOU,0xa241541f11eb29:0xe58c700b60cf7edf,16540718725596151519,/g/11jfcx6lxn,5,17,Loja de camisetas personalizadas,Loja de camisetas personalizadas,custom_t_shirt_store,"Rua José Cassimiro de Carvalho - Nova Paiva, Paiva - MG, 36195-000, Brasil",-21.291802,-43.4196053,+55 32 98491-9561,https://www.instagram.com/jmixartigos/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: Fechado; domingo: Fechado; segunda-feira: 09:00–17:00,,,,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja",,"""Atencioso com o cliente além de muito capricho com a entrega do produto!!""",https://lh3.googleusercontent.com/p/AF1QipPhGQd4mYicQehev0abxPyU9jRxluYUbxwUDtwy=w80-h106-k-no,https://serpapi.com/images/url/mwRHH3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkOEemGKSG5mZHJiakVpmkJhUEVAZapkVVJFTGhmaVFEe6lJSXmlbbmGgm2FoYKabrZuXDwDSBiK8,https://serpapi.com/search.json?data_id=0xa241541f11eb29%3A0xe58c700b60cf7edf&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa241541f11eb29%3A0xe58c700b60cf7edf&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJKesRH1RBogAR337PYAtwjOU,"Paiva, MG",lojas_presentes,2025-07-29T00:19:33.689674,COMPLETA
3,LOJA LUNA,ChIJ52dvfMJBogARPD1INVbPcOs,0xa241c27c6f67e7:0xeb70cf5635483d3c,16965287765472722236,/g/11n0b7xxvv,5,3,Loja de roupas para jovens,"Loja de roupas para jovens, Loja de calçado",youth_clothing_store,"Av. Juscelino Ferreira de Paiva, 733, Paiva - MG, 36195-000, Brasil",-21.286709,-43.4172137,+55 32 98495-6663,http://lojaluna.lojavirtualnuvem.com.br/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–17:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""Bom atendimento,  roupas de boa qualidade e durabilidade.""",https://lh3.googleusercontent.com/p/AF1QipOi-PxueMRc5Ll-wb2g8KGasFfCW9mCXTW4QOeV=w90-h92-k-no,https://serpapi.com/images/url/yyaxN3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn6kbUFGa6huUbOqTo1ueZJRu4e2eWOyW5hxumescERJuEuifGmZbbmmgm2FppJutm5cPAIGlIL4,https://serpapi.com/search.json?data_id=0xa241c27c6f67e7%3A0xeb70cf5635483d3c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa241c27c6f67e7%3A0xeb70cf5635483d3c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ52dvfMJBogARPD1INVbPcOs,"Paiva, MG",lojas_presentes,2025-07-29T00:19:33.689674,COMPLETA
4,Campos Vale,ChIJ5VNPnqlBogARJVdgFUuCD2A,0xa241a99e4f53e5:0x600f824b15605725,6921894411284535077,/g/11k06rlzjs,4.9,13,Supermercado,Supermercado,supermarket,"R. Ibrahim Homem de Faria, 148, Paiva - MG, 36195-000, Brasil",-21.2889934,-43.4144976,+55 32 98478-9497,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:00–14:00; segunda-feira: 08:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,"""Parque bonito 🤩""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cDFc9xZxvyrA6FncJNWfaw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=52.9341&pitch=0&thumbfov=100,https://serpapi.com/images/url/-wWP4nicHc1NCgIhGADQ27hLnemHJpAIYhYt2gZtwvnmSwVHRU1nLtO9uk3RBd77vHXOIR0YSzki5mKwBjOjTasgqfJeWZTBJAp-YqVhWb-mwUljj0E6b0YB5x66-T6XJZ52vYPL9faUlcDwAGvQZZFQRtBU1Z8Y_UhVSKSKPSdadC1ZZBXblnbrTUOCyaAFJ__j6YtoOP8CLpE5jQ,https://serpapi.com/search.json?data_id=0xa241a99e4f53e5%3A0x600f824b15605725&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa241a99e4f53e5%3A0x600f824b15605725&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5VNPnqlBogARJVdgFUuCD2A,"Paiva, MG",lojas_presentes,2025-07-29T00:19:33.689674,COMPLETA
5,Brandão Materiais de Construção,ChIJ5cm26VZBogARkJJ9VMUaf0k,0xa24156e9b6c9e5:0x497f1ac5547d9290,5295981121639387792,/g/1tgwnxzz,4.8,14,Loja de móveis,Loja de móveis,furniture_store,"R. Ibrahim Homem de Faria, 23, Paiva - MG, 36195-000, Brasil",-21.2880243,-43.4156352,+55 32 3364-1117,https://www.lojalocal.com/quartzolit/09463858000167,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Entrega no mesmo dia",,"""Melhor preço e atendimento da cidade.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npnxjTY1kRP9KWnAZ9OfU0nk4PNeKdhDK8hp5VeijfSIXcpbwy_TZUvgfpnkZe5hz-hQ3C5qPHjs4yJntFljEsZemDonkopINdTi0fMZ7YPz9rRneaJ6f3Zk3novoYPZl1jJ1u5=w163-h92-k-no,https://serpapi.com/images/url/5_r4knicBcFbcsIgFADQFWGMJLY444fjY2oyVarxEX4cjRCEeC8VfO7PRXQ3PefvrUNwvhdFjaatGrFu5NXLS4UQJIRWheeodp5UnvhoMGQ6AQcPU5SxXXCWb2Ag2Fyt2mATPpP5UY_yT-3StTwZtZxuK3e4P3eFWN1q5cAKmeoX0T90mP7yL-OTZwZh0pixF_I8QrDoprNjcWqrb_FR8he7LEDus66iwlLAG5ZcNLHJ4mvav8ddSjTrEEsA_wFfN0ZQ,https://serpapi.com/search.json?data_id=0xa24156e9b6c9e5%3A0x497f1ac5547d9290&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa24156e9b6c9e5%3A0x497f1ac5547d9290&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5cm26VZBogARkJJ9VMUaf0k,"Paiva, MG",lojas_presentes,2025-07-29T00:19:33.689674,COMPLETA
6,Mercearia Luna,ChIJtey4fBVBogARTaWGgZxJRPA,0xa241157cb8ecb5:0xf044499c8186a54d,17313043804055840077,/g/11gxvtrpm_,4.4,26,Mercado,Mercado,market,"Av. Juscelino Ferreira de Paiva °724, Paiva - MG, 36195-000, Brasil",-21.286547799999997,-43.417120399999995,+55 32 98425-3869,http://shopee.com.br/mercearialuna13,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–17:00; domingo: 09:00–12:00; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,"""Ótimos preços, variedade em presentes ótimo atendimento.""",https://lh3.googleusercontent.com/p/AF1QipMRHi1o9XdrCtWBm8ndF-L4t9aR0yMFgCTQa7gJ=w80-h142-k-no,https://serpapi.com/images/url/_rlLKXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG-SRaZhvGZFS5FwS7pRrkZfiputjUmKZGGRQ6euW7hwSmGie7mVbbmGgm2FoYqSbrZuXDwCaniC7,https://serpapi.com/search.json?data_id=0xa241157cb8ecb5%3A0xf044499c8186a54d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa241157cb8ecb5%3A0xf044499c8186a54d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtey4fBVBogARTaWGgZxJRPA,"Paiva, MG",lojas_presentes,2025-07-29T00:19:33.689674,COMPLETA
7,Déia Modas Brandão,ChIJb18x_3RBogARlNVncOGa228,0xa24174ff315f6f:0x6fdb9ae17067d594,8060206251153806740,/g/11jl3btgkw,5,2,Loja de Roupa,Loja de Roupa,clothing_store,"R. Padre Messías Passos, 23, Paiva - MG, 36870-000, Brasil",-21.2899203,-43.4152498,+55 32 3364-1130,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–12:00; domingo: Fechado; segunda-feira: 09:00–17:00,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=L8WdxBzEQLrMvvYzSkFkvA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=116.94188&pitch=0&thumbfov=100,https://serpapi.com/images/url/l15BRHicHc1LCgIhAADQ27jLT0Q4gURBraZFtIhW4TimMo6Kmk5zmq7VbYou8N7nrXMOaYNQylHKXIyswUzSpkXgUHmvrOTBJCj8iApBWT_HznFjt4E7b3rW0ms_7efDuY2nUm7zZTgOZQdEdxfWSJdZkjwKDVX9idH3UIUEKqMYaNYswYtXRsgaNitCKQgmC80w-C8PXxjB-AugjToH,https://serpapi.com/search.json?data_id=0xa24174ff315f6f%3A0x6fdb9ae17067d594&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa24174ff315f6f%3A0x6fdb9ae17067d594&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJb18x_3RBogARlNVncOGa228,"Paiva, MG",lojas_presentes,2025-07-29T00:19:33.689674,COMPLETA
8,Cartório Rossi Soares,ChIJxQP3h01BogAR8zaZ9PDIoBk,0xa2414d87f703c5:0x19a0c8f0f49936f3,1846696784443291379,/g/11b6hqj2c_,4.5,13,Cartório de Registro Civil,Cartório de Registro Civil,registry_office,"Rua João Homem de Paiva, 22, loja, centro, Paiva - MG, 36195-000, Brasil",-21.289565,-43.415456,+55 32 98828-1774,https://www.facebook.com/Cart%C3%B3rio-Rossi-Soares-Servi%C3%A7o-p%C3%BAblico-1501156920212257/?ref=bookmarks,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,"terça-feira: 09:00–12:00, 13:00–17:00; quarta-feira: 09:00–12:00, 13:00–17:00; quinta-feira: 09:00–12:00, 13:00–17:00; sexta-feira: 09:00–12:00, 13:00–17:00; sábado: Fechado; domingo: Fechado; segunda-feira: 09:00–12:00, 13:00–17:00",,,,,,,"""Ótimo atendimento.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noQ_xoy78Fap0t63i93fPD8nxS-49yyXW3rJfzdCBlj3xBcT87kZDAd23XwjOtrSsTp9p7Tf_PbLRNdLNtRa_W74WsPugOPcm1XTzf5aVhjDB4iNoN-9OFzJVKszyIGoCQUKcwhtw=w80-h142-k-no,https://serpapi.com/images/url/u-jh1nicBcFJDoIwFADQE1XUVqEmLhiicQigohA3BMtQEfsbWsNwQc_gbXzv9-VaS7UyjIbjSQVQNcVHFS0DoQuhJwzeRiUVYgopw3YpJwJOaQ-DaW0yOdVL_KS4DD1L9BdE6DAkMW735Zi7TlPj3mGRZb7unp3PcdLVgW4vKpJUmlGZho_j2c-Pvj5naWySWIWfKgjZe5ZEY7nIbrz2HPL0wUc02Iz720GNw24L7ul6YB3X3bqzpojPyBy9kIA_TihFiw,https://serpapi.com/search.json?data_id=0xa2414d87f703c5%3A0x19a0c8f0f49936f3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2414d87f703c5%3A0x19a0c8f0f49936f3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJxQP3h01BogAR8zaZ9PDIoBk,"Paiva, MG",lojas_presentes,2025-07-29T00:19:33.689674,COMPLETA
9,Madame Manu,ChIJFxxHWgBBogAR0zaqErDm00A,0xa241005a471c17:0x40d3e6b012aa36d3,4671330882415113939,/g/11y2szbqzm,,0,Loja,Loja,store,"Paiva - MG, 36195-000, Brasil",-21.2882121,-43.415718999999996,,,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-JTgPavuw2ednozlKFlgQw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=260.78192&pitch=0&thumbfov=100,https://serpapi.com/images/url/oQiipXicHc0xDsIgFIDh27AVaAetJi9uDrpo4m4ofQIJhZdCQT2N1_I2No7_8v3fj82Z0l6IlGfEXBxWck_0qSHFTYzGoyKXuI6TKK3IdpmGoJw_kArRjdCcbuaiylI7HEN8-_PRm2tlerhr7zBkSKhmbbmpqzjHkRtKrEIvmYVdx16qQreRfNu3a5HL2oJk_8sjFmil_AGxjjo6,https://serpapi.com/search.json?data_id=0xa241005a471c17%3A0x40d3e6b012aa36d3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa241005a471c17%3A0x40d3e6b012aa36d3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFxxHWgBBogAR0zaqErDm00A,"Paiva, MG",lojas_presentes,2025-07-29T00:19:33.689674,COMPLETA
10,Mirante do Cristo - Paiva/MG,ChIJ_e-avRRBogARUU_IDA7gcpQ,0xa24114bd9aeffd:0x9472e00e0cc84f51,10696858415906967377,/g/11nn4qs5cg,4.8,4,Atração turística,Atração turística,tourist_attraction,"R. da Boa Vista - Nova Paiva, Paiva - MG, 36195-000, Brasil",-21.289267799999998,-43.417263999999996,,,Aberto 24 horas,Aberto 24 horas,terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas; segunda-feira: Atendimento 24 horas,,,,,,,"""MELHOR LUGAR QUE JÁ FUI!!!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqtVQTFewPJ6hj2Q3oJu3ZAHjGrqnIrYvnvY_YghZ7wKh-zhJU-LHvf5oJX7nKkuETAEJRxjUTvELTnaTkoovdnWiOhaqg4vLrSy9F3o8S3--uTruj7R29ICFhXKr-3AanZTpMd=w163-h92-k-no,https://serpapi.com/images/url/8-VxhnicBcFRToNAEADQE02JbC1i4gdpwHbBaNutFn4Mobgj1BlYdhf1fh6it_G96x9aO0z3QXBBsdDM-tK6qTUNk23JLhr-CvQwQTPBFCTrGJc02tedytr5Ra6wC3eCpRNVsukezUhbU3ry5XupsYrmHOEX5RGKjf-4ZXmKKO9dqpJU7r-7o_JpoahWPbM_09vnM9ajXvrCHH7iTPDdQQA4ZVwX7cN4u87wlBsQSU2VGp7OD_PNSgDGIfRA_A88WEVd,https://serpapi.com/search.json?data_id=0xa24114bd9aeffd%3A0x9472e00e0cc84f51&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa24114bd9aeffd%3A0x9472e00e0cc84f51&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_e-avRRBogARUU_IDA7gcpQ,"Paiva, MG",lojas_presentes,2025-07-29T00:19:33.689674,COMPLETA
