position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,"PRINT SHOW - Papelaria, Personalizados, Presentes & Revelação de fotos.",ChIJVwsPAYDwmAARlXwbaXmbfX0,0x98f080010f0b57:0x7d7d9b79691b7c95,9042554572586581141,/g/11g9j34qbb,4.8,78,Loja de Presentes,Loja de Presentes,gift_shop,"R. Alfredo da Costa Mattos Júnior, 105 - LOJA 2 - Centro, Paraíba do Sul - RJ, 25850-000, Brasil",-22.1627089,-43.290762199999996,+55 24 99279-7750,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipPGKTZff1dFTELyKVQ78jr7Kzt4fLqB4TCIog8r=w80-h142-k-no,https://serpapi.com/images/url/Zk63dHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4O4dEpWWZpjiFuLqU-kdFmhukVVk7l1VYpLmU-hkEuLsmZ9uUWRbbmGgm2FoYqSbrZuXDwCb0iDl,https://serpapi.com/search.json?data_id=0x98f080010f0b57%3A0x7d7d9b79691b7c95&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98f080010f0b57%3A0x7d7d9b79691b7c95&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJVwsPAYDwmAARlXwbaXmbfX0,"Paraíba do Sul, MG",lojas_presentes,2025-07-29T00:28:41.581096,COMPLETA
2,Pergaminho Papelaria,ChIJAaVr4X_6mAARWdaiAB1YK8U,0x98fa7fe16ba501:0xc52b581d00a2d659,14207546331058329177,/g/11sh22qs9l,5,1,Loja de presentes,Loja de presentes,novelty_store,"Av. Mal. Castelo Branco, 59 - Vila Nicolau Melick, Paraíba do Sul - RJ, 25850-000, Brasil",-22.163786299999998,-43.290569999999995,+55 24 2263-0903,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 00:00–18:00; sábado: 09:00–12:40; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KtuIMdnCfGvVFmLi0Yl_-A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=347.69073&pitch=0&thumbfov=100,https://serpapi.com/images/url/vjcAEnicHc1RCsIgGADg2_g2dS1aCyQiKKJ6DXoa5pz-4FTmP1e36VrdpugC3_d5W8SYNowlHLXGDHqO8NQuFVFSE4JxWkZIVIWB5ZKhnYaHl-C2UfoAnTjjdLp2ft8f8-0wXIDfXVvsiHq0yoH2KJKWo7LUzD9xDB01MZFZrDmxolmQl5xFtazpquF1RSKgsoKT_9KHLErOv36aOZE,https://serpapi.com/search.json?data_id=0x98fa7fe16ba501%3A0xc52b581d00a2d659&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98fa7fe16ba501%3A0xc52b581d00a2d659&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJAaVr4X_6mAARWdaiAB1YK8U,"Paraíba do Sul, MG",lojas_presentes,2025-07-29T00:28:41.581096,COMPLETA
3,L&N Bazar Artigos Papelaria Em Geral,ChIJvwdXRkj7mAARa6ekc2wdJEI,0x98fb48465707bf:0x42241d6c73a4a76b,4765966657298671467,/g/11fq93h6bf,5,1,Papelaria,Papelaria,stationery_store,"Antiga Estrada Vieira Cortes, 446 - Pedreira, Paraíba do Sul - RJ, 25850-000, Brasil",-22.171108099999998,-43.304762,+55 24 99229-8712,https://l-n-bazar-artigos-papelaria-em-geral.ueniweb.com/?utm_campaign=gmb,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: 09:00–18:00; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipP-vPgy2jb-sLrzso6uF6zkTtFU_dAhjr8IkZUk=w80-h106-k-no,https://serpapi.com/images/url/6yQjjXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQoFsWkF5plJWkW-xTVFWcb1bqZlaVHVLiFhqf4piRVWThmR0Vmm1bbmGgm2FoYKabrZuXDwDDKyIO,https://serpapi.com/search.json?data_id=0x98fb48465707bf%3A0x42241d6c73a4a76b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98fb48465707bf%3A0x42241d6c73a4a76b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJvwdXRkj7mAARa6ekc2wdJEI,"Paraíba do Sul, MG",lojas_presentes,2025-07-29T00:28:41.581096,COMPLETA
4,Vivah Presentes,ChIJ8YCZvSj7mAAR7yk1s2mwPZ8,0x98fb28bd9980f1:0x9f3db069b33529ef,11474521393634552303,/g/11gxw0xfzf,,0,Loja de presentes,Loja de presentes,novelty_store,"Paraíba do Sul, RJ, 25850-000, Brasil",-22.1631394,-43.2918308,+55 24 2050-3048,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–14:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npZuuGLlOaA7X22lufOVpWVZUD4KVT-QENzefBp7qasQ9qcRLmec4CG89vtXFRS2Ned92ZMmwci17iVHAKJJ1VQlb5upxTBIUBTg_P3wmk-bPolOXsKJpS-nzN21I1_1Sc4SR2e=w80-h106-k-no,https://serpapi.com/images/url/LgyMNnicBcFbEoIgAADAE5FBltlMH9pbS_NFjj9NEWkTAgVk0_06RLdp9_dttJZqYlmsGfRqIWpGjaJPIrimXPeIaK1aKkAUUJY3cxuby8qY1ZbFJ88pEWLmGmN5wFUxt0Ocg2QRfejVl87jpBL3QdJtS4k9W43dly6XaYYienFRtWs7coPODa-9MAggTth5aOQ79zeFn9fH_aBr7-C8FywuVRjIDPBPhOAGHmFG7CxFdNqN-6CB_RG4Ay7-lrtDYg,https://serpapi.com/search.json?data_id=0x98fb28bd9980f1%3A0x9f3db069b33529ef&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98fb28bd9980f1%3A0x9f3db069b33529ef&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ8YCZvSj7mAAR7yk1s2mwPZ8,"Paraíba do Sul, MG",lojas_presentes,2025-07-29T00:28:41.581096,COMPLETA
5,CASA & VIDEO,ChIJ97b6dWP7mAARnOiBYl8H8VM,0x98fb6375fab6f7:0x53f1075f6281e89c,6048623880791255196,/g/11nss7l9gh,4.2,36,Loja de variedades,"Loja de variedades, Loja de departamento, Loja de artigos domésticos",variety_store,"Praça Garcia, R. Expedicionário Walace Paes Leme, 58 - Loja 01 - Centro, Paraíba do Sul - RJ, 25850-000, Brasil",-22.1635298,-43.2913114,+55 4002-3535,https://www.casaevideo.com.br/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 08:00–16:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMevXsuR_qaKp62Hhofek5WUjZHLXpl1ba3LvVV=w138-h92-k-no,https://serpapi.com/images/url/FZa28nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm1oWUVwaFF-Y6F1gZuSRkZ-Wmm0aHpoV5eETUZBjmJRo7FMWFmZbbmhsoZthaaSbrZuXDwDEliHj,https://serpapi.com/search.json?data_id=0x98fb6375fab6f7%3A0x53f1075f6281e89c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98fb6375fab6f7%3A0x53f1075f6281e89c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ97b6dWP7mAARnOiBYl8H8VM,"Paraíba do Sul, MG",lojas_presentes,2025-07-29T00:28:41.581096,COMPLETA
6,Meet Informática E Papelaria,ChIJ-ffr1X_wmAARWLRvNNFUEpg,0x98f07fd5ebf7f9:0x981254d1346fb458,10957914100850472024,/g/11c2jlz_z2,4.6,47,Papelaria,Papelaria,stationery_store,"Av. Ayrton Senna, 622 - Vila Nicolau Melick, Paraíba do Sul - RJ, 25850-000, Brasil",-22.1606708,-43.290872799999995,+55 24 2263-4080,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrsq8Dy-g0qQ9w_AZ_pyVtfaVvX0QRQcV4V69HqCX855_fofX-yhxyom4vzbuudH4ryCcVWJL1809Je-TaxDoFsAl0EmGP4JT2Nig_XYfSYltuk3_j6ImUcZimFdivWCgnvoHAn=w122-h92-k-no,https://serpapi.com/images/url/DCryFXicBcFbjoIwFADQFVUQq6GTzAfBBxJjZMap6E-jFVqU9gItaGd_LsLdeM77Ja1tzJfn1XIyEgCiLnpTdBy0LbQdcVCeaAziBhkvionEujNtOHdI-G1GHiw6scZRW57pkPvZT8YppjOStHEeTqeshDJHTj4dKDz8X_r-muDOxZwe0s049ElaoP35OYeliWp_oVY7nO6DbSVYfix_j7Xt7xN2m63VHz9VanmthkMs9ABJpL8f4yBAkgTojjR8AA06RYo,https://serpapi.com/search.json?data_id=0x98f07fd5ebf7f9%3A0x981254d1346fb458&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98f07fd5ebf7f9%3A0x981254d1346fb458&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-ffr1X_wmAARWLRvNNFUEpg,"Paraíba do Sul, MG",lojas_presentes,2025-07-29T00:28:41.581096,COMPLETA
7,Arte de Criança,ChIJV5IcrGP7mAAROHnMi5bUs14,0x98fb63ac1c9257:0x5eb3d4968bcc7938,6824031603452049720,/g/11ry783_lq,5,1,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. Alfredo da Costa Mattos Júnior, N°59 - loja 106 - centro, Paraíba do Sul - RJ, 25850-000, Brasil",-22.162890299999997,-43.291097099999995,+55 24 99201-3106,https://www.facebook.com/larissa.petrocelli.92,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–15:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""um ótimo atendimento!!""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HixbfZssaa1Ty6KBssEX6w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=302.12213&pitch=0&thumbfov=100,https://serpapi.com/images/url/2Gf-hHicHc1LCsIwEADQ22RnfoWiQhAEQXDrQtzINI3JQNqETmza23gtb6N4gfc-71BKpr0QVCbnyoyuZlxcpE0G7lPy0UFG4jYNYlaihNfQjYDxkGFM2JszLt3zTgSgrmt7ORKdbm1ltnvYiG4shhxMNnBff-KUeu4zsWq2kgWz02yFahqpudJaNSxjscFI9l-eaTZKyi-cRjna,https://serpapi.com/search.json?data_id=0x98fb63ac1c9257%3A0x5eb3d4968bcc7938&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98fb63ac1c9257%3A0x5eb3d4968bcc7938&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJV5IcrGP7mAAROHnMi5bUs14,"Paraíba do Sul, MG",lojas_presentes,2025-07-29T00:28:41.581096,COMPLETA
8,Centro das Cópias,ChIJY28Xidv7mAARO7fYYXLl5CA,0x98fbdb89176f63:0x20e4e57261d8b73b,2370271583334348603,/g/11fmg9rtg3,5,2,Papelaria,Papelaria,stationery_store,"Paraíba do Sul, RJ, 25850-000, Brasil",-22.163023799999998,-43.2913703,+55 24 2050-5083,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noI8UblXE0wfu27Q10lo9Gehu5NHsu2V5BDhvHSKE4QIuZb_MVHznO3ypH3V2W6FZCYC04XTo3kfzDTpar2hTuKjEuWQFU1B4JqbOOYNKPSUBYXBB5xltpjUFYqQm4w5Q-Az7l6aw=w80-h142-k-no,https://serpapi.com/images/url/1zAeF3icBcFtDoIgAADQE5GK2NfWjzDNcmUsNe1PS2eyIqCALC_YGbpN7_2-VGupppbFqDtohWhZY1TzrAXXDdeDWtytVipQK6CsuT-hiIvVOKtYEdjdxcARcWwmJsuGGm8bKQNzDy_oK9rHASIrc6xOmzzqeeJ-ZOTm8DAMj37p26hIhXu79ItUnp-Qpia-BuZAwszBaP2okqTcxrt9hssCY-_NtLxmYfkgd9R5BMz7ERueu1k3tgF1EAQ3wMUf1lND2Q,https://serpapi.com/search.json?data_id=0x98fbdb89176f63%3A0x20e4e57261d8b73b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98fbdb89176f63%3A0x20e4e57261d8b73b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJY28Xidv7mAARO7fYYXLl5CA,"Paraíba do Sul, MG",lojas_presentes,2025-07-29T00:28:41.581096,COMPLETA
9,Arte de Criança,ChIJ2XW-_dj7mAAREmBTw09MLHs,0x98fbd8fdbe75d9:0x7b2c4c4fc3536012,8875552871103553554,/g/11rcpxc5h5,5,6,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. Dr Alexandre Abrahão, 31 - Centro, Paraíba do Sul - RJ, 25850-000, Brasil",-22.171608199999998,-43.309248499999995,+55 24 99201-3106,https://www.facebook.com/larissa.petrocelli.92,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–15:00; domingo: Fechado; segunda-feira: 09:00–18:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Produtos de excelente qualidade.""",https://lh3.googleusercontent.com/p/AF1QipMSgaHLhToyYMg45OO9FKWWAScdhLEyvLTuZ_aQ=w80-h106-k-no,https://serpapi.com/images/url/vtgqhnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG5ye6OGTEZJfGembbmLq72_p5h0e7hicnJLh41pZ5hNSGhWfGGhbbmGgm2FoYKabrZuXDwCrHSFl,https://serpapi.com/search.json?data_id=0x98fbd8fdbe75d9%3A0x7b2c4c4fc3536012&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98fbd8fdbe75d9%3A0x7b2c4c4fc3536012&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2XW-_dj7mAAREmBTw09MLHs,"Paraíba do Sul, MG",lojas_presentes,2025-07-29T00:28:41.581096,COMPLETA
10,Meio A Meio Bijuterias E Presentes,ChIJL5oF8X_6mAAR56QxHjuZE4Q,0x98fa7ff1059a2f:0x8413993b1e31a4e7,9517118916752680167,/g/11c4_v0d5s,,0,Loja de acessórios de moda,"Loja de acessórios de moda, Copiadora, Loja de Brinquedos",fashion_accessories_store,"Av. Mal. Castelo Branco, 129 - loja 135 - centro, Paraíba do Sul - RJ, 25850-000, Brasil",-22.1634587,-43.2900339,+55 24 99325-0938,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=j2rLOixo2NVUyiJC34WK2A&cb_client=search.gws-prod.gps&w=80&h=92&yaw=309.19733&pitch=0&thumbfov=100,https://serpapi.com/images/url/7y1SNXicHc3BDcIgFADQbbgJFEy0JsQYb2r0pB4NpRS-oYUAlnYb13IbjQu893nbnEPaEJJy1DqPoEuASbu0CBIb743TMkDCyvdkrEi2r74ZJLhtkIOHVjxZPF1g8ux8u85w2PPl_ch2SDUP5UAPWSQto7LYlJ8YfYtNSKiINUVW1AzNsghOa1zVK85RgKysoOi_dH4UFaVfWOw5Gg,https://serpapi.com/search.json?data_id=0x98fa7ff1059a2f%3A0x8413993b1e31a4e7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98fa7ff1059a2f%3A0x8413993b1e31a4e7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJL5oF8X_6mAAR56QxHjuZE4Q,"Paraíba do Sul, MG",lojas_presentes,2025-07-29T00:28:41.581096,COMPLETA
