position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Thatá Presentes,ChIJhXrhDKr_nQARik9bTNe6S4o,0x9dffaa0ce17a85:0x8a4bbad74c5b4f8a,9965264034349141898,/g/11g6xqvmdg,4.9,13,Loja de variedades,Loja de variedades,variety_store,"R. Arlíndo Luz - Passa Quatro, MG, 37460-000, Brasil",-22.3892383,-44.9662018,+55 35 99947-1584,https://www.instagram.com/thatapresentes_?igsh=N29rdWxqaTBtem5r,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–15:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqzsuDOxktIMu8-mj51EGYqPU81w-wD9hA0qOAvpYvOhW-BB3yAER5wLm58_TOhAQD2CwXVi7gh3PrC72tzxUuoDP3Tnh5ShE-3d0n6-Lz9qEU_Q3OLRTEG643RjRG8MA_ZYBa_=w80-h117-k-no,https://serpapi.com/images/url/xOAI93icBcHRboIwFADQL7oCVqQs2UOBhphgiggqeyELI9yptGCLdfzfPmJ_s3P-ftGYUb85zh3Jqleqv3ez7h6tkqaTZtWqwelHDa0G7bA4xI2cFj0n4nUzu_1MYbj6Hk_rKa-oZ8EmITJ3Euw51k-BZ4gi8sN44dts8GlTCmSHZB3by-k76JHkjzhYm-VVzSrJSSnRPyIH8uXKLWRLOPGqORCRFSVPtxtSXIuU7lnzUUefzbulLqDnBXADqf4BWxNCRQ,https://serpapi.com/search.json?data_id=0x9dffaa0ce17a85%3A0x8a4bbad74c5b4f8a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9dffaa0ce17a85%3A0x8a4bbad74c5b4f8a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJhXrhDKr_nQARik9bTNe6S4o,"Passa Bem, MG",lojas_presentes,2025-07-29T00:31:57.443594,COMPLETA
2,Mundo de ANNA: Presente Delivery em Belo Horizonte MG,ChIJ63zDEfWZpgAR839x46mkzQ4,0xa699f511c37ceb:0xecda4a9e3717ff3,1066689736328970227,/g/11h05d565,4.8,77,Loja de Presentes,"Loja de Presentes, Loja de acessórios de moda, Floricultura, Joalheria, Delivery, Perfumaria",gift_shop,"R. Bueno Brandão, 200 A - Santa Tereza, Belo Horizonte - MG, 31010-060, Brasil",-19.916002,-43.926469,+55 31 99797-2070,http://www.instagram.com/ummundodepresentes,Fechado ⋅ Abre às 13:00,Fechado ⋅ Abre às 13:00,terça-feira: 13:00–17:00; quarta-feira: 13:00–17:00; quinta-feira: 13:00–17:00; sexta-feira: 13:00–17:00; sábado: 10:00–13:00; domingo: Fechado; segunda-feira: 13:00–17:00,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrh2IzURvr2oJw5W5mSaRniepZzyicqFg5xx8U-I65nVCRzQ-J0T8S3O0o0mx-4FNifsk3C9Y-NZYwYacRb_EcNoeoWPWIbIu0mgcyivxUO3f6N8LfqYSkl_sdTbdwkupnThRk=w122-h92-k-no,https://serpapi.com/images/url/LA9ju3icBcFRjoIwEADQE41gEQOb-GGIJhiDbgEJ_hippSWFDlIQ5Hxewtv43vcj-741f5ZVS2chEEXNB8M7hrrnul8wbCzRGmAGjLUNfLnSnSThnNJXR_AwupnbxHeqK95e53fFnnvhTpOXQrh29SWg8z8c7MSLnZONdjPBah9VpVFO4OcQXfMxvzNa3HYsQo7ZOQuLcLAbwd7Va0pPTrmOvGP5zGNV38wjKR6jGlqdSKo245IQkD4BBRp_u69FfA,https://serpapi.com/search.json?data_id=0xa699f511c37ceb%3A0xecda4a9e3717ff3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699f511c37ceb%3A0xecda4a9e3717ff3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ63zDEfWZpgAR839x46mkzQ4,"Passa Bem, MG",lojas_presentes,2025-07-29T00:31:57.443594,COMPLETA
3,Bom Presente,ChIJ13FYbDdlmJQRAPqXfa1Yhlk,0x949865376c5871d7:0x598658ad7d97fa00,6450941018414512640,/g/11j13rb6f4,5,1,Loja,Loja,store,"Odilon de Freitas, R. Nossa Sra. de Fátima, Iturama - MG, 38280-000, Brasil",-19.725970999999998,-50.1894211,+55 34 98419-3974,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipP6iwKYZLrPIYLPx8i6Pp3ZlzxDSY334exfwMe7=w163-h92-k-no,https://serpapi.com/images/url/0SSqLXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYJZZ7h0Z5VMU4BnpE1BhkWkWUGAclVNV4RIcaWxsklqRVu6bam5bbmhmrJthaaSbrZuXDwCrhiFT,https://serpapi.com/search.json?data_id=0x949865376c5871d7%3A0x598658ad7d97fa00&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x949865376c5871d7%3A0x598658ad7d97fa00&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ13FYbDdlmJQRAPqXfa1Yhlk,"Passa Bem, MG",lojas_presentes,2025-07-29T00:31:57.443594,COMPLETA
4,"Loja Criare ®️ • Presentes, Planners & Itens Personalizados",ChIJLWT6DXKXpgARpL17t_OHeHg,0xa697720dfa642d:0x787887f3b77bbda4,8680837762581773732,/g/11gbldv40n,4.9,1690,Papelaria,Papelaria,stationery_store,"R. Lavras, 140 - São Pedro, Belo Horizonte - MG, 30330-010, Brasil",-19.941383899999998,-43.935245699999996,+55 31 99732-3615,http://www.lojacriarebh.com.br/,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–19:00; quarta-feira: 10:00–19:00; quinta-feira: 10:00–19:00; sexta-feira: 10:00–19:00; sábado: 10:00–14:00; domingo: Fechado; segunda-feira: 10:00–19:00,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipNCqevz3MfG-kcMOfczVHtKPRO4Ag6oP0LdpSzd=w80-h120-k-no,https://serpapi.com/images/url/b6wiP3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng51yYWlZl7Jvmrpud7OufllwV5lHiHRDkb-KYbpYfYOCTUhBclWJbbmGgm2FoZKCbrZuXDwCxcCFw,https://serpapi.com/search.json?data_id=0xa697720dfa642d%3A0x787887f3b77bbda4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa697720dfa642d%3A0x787887f3b77bbda4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJLWT6DXKXpgARpL17t_OHeHg,"Passa Bem, MG",lojas_presentes,2025-07-29T00:31:57.443594,COMPLETA
5,Cesta e Balão Personalizado Bubble,ChIJ57RY0grUJysRUaQhPOSVVLw,0x2b27d40ad258b4e7:0xbc5495e43c21a451,13570636384668066897,/g/11wq33z7mc,5,18,Loja de cestas de presente,"Loja de cestas de presente, Service establishment, Serviço de locação de artigos de festa, Loja de artigos para festas",gift_basket_store,,-19.9356808,-44.0491722,+55 31 99482-8648,,Fechado ⋅ Abre às 06:00,Fechado ⋅ Abre às 06:00,terça-feira: 06:00–21:00; quarta-feira: 06:00–21:00; quinta-feira: 06:00–21:00; sexta-feira: 06:00–21:00; sábado: 07:00–18:00; domingo: 08:00–12:00; segunda-feira: 06:00–21:00,,,,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrsJRP8gLwW32erMwmA2I1YW0pF2gXz1cYVEvhn1qJqLe4VXPmXGQfMH1oeRbGpE4KSrow3sXWgMiZoPZcO6wwUoZDBq-M0pGgtbUU3XC0ewTck4LsZov0ipFA89iDOHxdl3kvY=w80-h106-k-no,https://serpapi.com/images/url/dzAQgHicBcHdboIwGADQJ6q0lBhcsgv8wzmITIcULq21JUC_QjtqfL89xN5m5_z9KueMfQuCXtGFBJC9-LFi4qCd0G7BYQiksYhbZINks1KRnuzxXMQy8xUNxZT7IQk_SF1hsw8lexFeX3ez0mQ8jpmIrqwYWPr1yA8ExPmWml30eZnAU8sqmbcNFA0_Lb0vodmuR5Rjk0p3K0vKNlj4b95FmW1gxq3ZJ_Gq3Z4Oz3tPu7l-9zFGiuAl6pCGf8e-RK8,https://serpapi.com/search.json?data_id=0x2b27d40ad258b4e7%3A0xbc5495e43c21a451&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x2b27d40ad258b4e7%3A0xbc5495e43c21a451&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ57RY0grUJysRUaQhPOSVVLw,"Passa Bem, MG",lojas_presentes,2025-07-29T00:31:57.443594,COMPLETA
6,Made in Beagá | Mercado Novo,ChIJOSO70suZpgAR6qqL3gi9TzM,0xa699cbd2bb2339:0x334fbd08de8baaea,3697381664885549802,/g/11f5d464kj,4.8,120,Loja de souvenires,"Loja de souvenires, Loja de Presentes",souvenir_store,"Mercado Novo, Av. Olegário Maciel, 742 - Loja 2117 - Centro, Belo Horizonte - MG, 30180-110, Brasil",-19.9203182,-43.945285299999995,+55 31 98103-3949,http://www.madeinbeaga.com.br/,Fechado ⋅ Abre qua. às 11:30,Fechado ⋅ Abre qua. às 11:30,"terça-feira: Fechado; quarta-feira: 11:30–14:00, 14:30–20:00; quinta-feira: 11:30–14:00, 14:30–20:00; sexta-feira: 11:30–14:00, 14:30–20:00; sábado: 10:00–18:00; domingo: 10:00–16:00; segunda-feira: Fechado",,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrbz7xLcWiLopJY74EKfeQQLaNc3SwFLHdg0gAYsHT0GTBBs6-fGJTu24RXIbd3ejI6B2JykB_rqCQxCXI_Vw3psQTIBRR6N7_Jqx1p9CfJMJKCoLP9gm2lfEijNV93W70eT3D0Ew=w122-h92-k-no,https://serpapi.com/images/url/DsL8rnicBcFRboIwAADQExWwJZCa7MN2TKmVDGxQv8gspahIK8XAdkHP4G323vvVjqN1S9_vWuRpY3Snnk4N0vSj6kdPmruvrQPSAeevKG7Dfjj_xTOXhws3lp3iMNk2Ks_5TybRfvrim1oHenVyGxGsBSEuAs2aiScMi2N6rpG6phGB7PdGquFB85ke06qckHW5SElRRFlcsce8sJg2bMe21PBvrO-wa5LLNSsxOsSBEugzSKaPaQEhaDEEN9Cbf-e5QzI,https://serpapi.com/search.json?data_id=0xa699cbd2bb2339%3A0x334fbd08de8baaea&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699cbd2bb2339%3A0x334fbd08de8baaea&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJOSO70suZpgAR6qqL3gi9TzM,"Passa Bem, MG",lojas_presentes,2025-07-29T00:31:57.443594,COMPLETA
7,Vanessa Presentes,ChIJT5Fp3aXzpgARECEaBkm7XEI,0xa6f3a5dd69914f:0x425cbb49061a2110,4781902826670006544,/g/11sn_4mr28,5,1,Loja de presentes,"Loja de presentes, Service establishment",novelty_store,,-14.4095262,-51.31668,+55 31 98587-8117,,,,,,,,Cartão de crédito,,,"""Excelente atendimento.""",https://lh3.googleusercontent.com/p/AF1QipOzz9BWg6ooSqwBYIDw_q5njlcAe4CfdsvlI0vn=w92-h92-k-no,https://serpapi.com/images/url/nDhGN3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngX1Vl6RSebpafH1xY7hTp6VIeX2ial5WT7Jhq4pyWUlyW42lQlmdbbmmkmwHE2bp5-QCk3yH7,https://serpapi.com/search.json?data_id=0xa6f3a5dd69914f%3A0x425cbb49061a2110&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6f3a5dd69914f%3A0x425cbb49061a2110&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJT5Fp3aXzpgARECEaBkm7XEI,"Passa Bem, MG",lojas_presentes,2025-07-29T00:31:57.443594,COMPLETA
8,Papelaria Tia Cidinha,ChIJ2djFIqx_pQARIz3dYBXf8fU,0xa57fac22c5d8d9:0xf5f1df1560dd3d23,17722191291592031523,/g/11s0z8jr38,,0,Loja de presentes,Loja de presentes,novelty_store,"R. das Palmeiras, Passabém - MG, 35810-000, Brasil",-19.352003099999997,-43.1403336,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=fgpcA0yFugn6GfP6xt0qhA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=175.1313&pitch=0&thumbfov=100,https://serpapi.com/images/url/xIouTHicHc3bDcIgFADQbfiTh431kRDTH_11A0MpBRIK13IL7TTO5TYaFzjn83aIkC-MZZyNweJNBb-akHegqE3JBqPAZ6rTxIpg6Japj8qHK6iY_CBHC7rj222xsb2Pj3ZF_nId0f1TB28iymzUrB219SfOaaAWMqnyxImT5z3ZVJXieKCiEQ0Bj9pJTv7JmIoUnH8BVkc5hQ,https://serpapi.com/search.json?data_id=0xa57fac22c5d8d9%3A0xf5f1df1560dd3d23&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa57fac22c5d8d9%3A0xf5f1df1560dd3d23&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2djFIqx_pQARIz3dYBXf8fU,"Passa Bem, MG",lojas_presentes,2025-07-29T00:31:57.443594,COMPLETA
9,Loja de mo'veis tres A,ChIJWbKR3oJ_pQARrbiofp_9aR8,0xa57f82de91b259:0x1f69fd9f7ea8b8ad,2263619149196998829,/g/11flvvvvs9,,0,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"Praça São José, 198, Passabém - MG, 35810-000, Brasil",-19.353070799999998,-43.137573599999996,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7kfbF5EoBYJ2nla4TFLpAQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=159.07022&pitch=0&thumbfov=100,https://serpapi.com/images/url/BnoMsXicHc1RCsIgGADg2_iWOmmsBRIF7SF6CXrpKZz7U8npz7RZt-la3aboAt_3educMa0ZS3kCyLODgu4JPi1QUROj8aDQJarjyOaKZfsY-6Cc36AK0Q2yud_6rt7H3eUgglfLc3fE7Yno_qq9g5BlAjVpS035iVMcqMFEilxxYmUryEsVWdUt5Q0XgqDL2kpO_sstzrLi_AtQajkJ,https://serpapi.com/search.json?data_id=0xa57f82de91b259%3A0x1f69fd9f7ea8b8ad&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa57f82de91b259%3A0x1f69fd9f7ea8b8ad&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJWbKR3oJ_pQARrbiofp_9aR8,"Passa Bem, MG",lojas_presentes,2025-07-29T00:31:57.443594,COMPLETA
1,Artesanato Belas Artes,ChIJHztkVAO9pgARXMhBtEU98gE,0xa6bd0354643b1f:0x1f23d45b441c85c,140241907988154460,/g/11kmqswrqs,4.9,8,Artesanato,"Artesanato, Serviço de distribuição",handicraft,"R. Pavão, 121 - Miramar (Barreiro), Belo Horizonte - MG, 30644-060",-19.9962819,-44.0110658,(31) 98598-4222,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,"terça-feira: 08:00–13:00, 14:00–19:30; quarta-feira: 08:00–13:00, 14:00–19:30; quinta-feira: 08:00–13:00, 14:00–19:30; sexta-feira: 08:00–13:00, 14:00–19:30; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–13:00, 14:00–19:30",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Vasos Lindos, indico!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noNmZxZOVAoo4oLUlP2BzZQVlilVzm6WqEKOds1ngCgzEK0aR3uetSii3Q6sTO4OGbdzC9MiW_41m-MSTL7eSvmu5G1yeWMtzQkYwUEYMYnIfDDur-NXQ5UtG9Pl6_6SLYP4-KDIQ=w80-h142-k-no,https://serpapi.com/images/url/8vuWOHicBcFRboIwGADgE1VEKg4THxwQYgChQ2DwYhRrIbb9nS06e0HP4G38vver1_qqlpbFe2fCABino6K3DqSmUk86EBa7KtQppKy17_VYwla0_21WrQEwJCXPZ9-mJRUfeGWEW_-FcXZStmQ-M2E8Pfw4I9XFMDjEVbsMZ9HxZHwvHeo9tgVKi12yoMVdjPPIftI61YZcmkcZNmkjN-cgGG9o-0vmpY68nLt7t0iaHKM42JDV42uKehvP0AVJ-ACO7ETQ,https://serpapi.com/search.json?data_id=0xa6bd0354643b1f%3A0x1f23d45b441c85c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bd0354643b1f%3A0x1f23d45b441c85c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJHztkVAO9pgARXMhBtEU98gE,"Passa Bem, MG",lojas_artesanato,2025-07-29T00:32:00.500868,COMPLETA
