position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Lets Go Presentes,ChIJVRj-jedFNQcRJCWdf97uxKg,0x73545e78dfe1855:0xa8c4eede7f9d2524,12161107533198337316,/g/11r9v88_lk,5,3,Loja de Presentes,Loja de Presentes,gift_shop,"Rua Pedro Álvares Cabral, 55a - São Pedro, Teixeira de Freitas - BA, 45985-172, Brasil",-17.5379673,-39.7401834,+55 73 3016-3669,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=DO1uNCfHkwgsCl9p4LX7UA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=35.90781&pitch=0&thumbfov=100,https://serpapi.com/images/url/AprRuXicHc1LCsIwFADA22RnPn5oKwSRunAhuhLcSZqmSTBtHs1ro6fxXN5G8QIzn7dDhLRlLOFoDM7eZPBPE9ICFLUx2mAU-ER17NksGLqpbwblww7UEH0rDxcxnevu-Mg21aGC9elWXPdEN3cdvBlQJqNG7ajNP3GMLbWQSJYlJ05WS_JSWa42tOJFKQh41E5y8k-6OEvB-RcpnjkJ,https://serpapi.com/search.json?data_id=0x73545e78dfe1855%3A0xa8c4eede7f9d2524&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x73545e78dfe1855%3A0xa8c4eede7f9d2524&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJVRj-jedFNQcRJCWdf97uxKg,"Pedro Teixeira, MG",lojas_presentes,2025-07-29T00:44:23.814849,COMPLETA
2,Luna Dress,ChIJY-8QTDytmAARbkYskkkGBCo,0x98ad3c4c10ef63:0x2a040649922c466e,3027551762554570350,/g/11y89ksk5n,5,1,Loja de roupas para jovens,Loja de roupas para jovens,youth_clothing_store,"Coronel João jacinto - centro, Pedro Teixeira - MG, 36148-000, Brasil",-21.7050594,-43.7440567,+55 32 99141-4579,https://www.lunadress.com.br/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–17:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Otima localização e preços justos.""",https://lh3.googleusercontent.com/p/AF1QipOM4VVmqijEQH6TY36MLrRoeN98DRsjOU7XqJtF=w80-h92-k-no,https://serpapi.com/images/url/vAF6x3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng72sSFpZbmJnlGuhhFhJpbObrUxSUn-pnaeESVJzlH2oeUehV4mZbbmGgm2FppJutm5cPAHoQIKs,https://serpapi.com/search.json?data_id=0x98ad3c4c10ef63%3A0x2a040649922c466e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98ad3c4c10ef63%3A0x2a040649922c466e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJY-8QTDytmAARbkYskkkGBCo,"Pedro Teixeira, MG",lojas_presentes,2025-07-29T00:44:23.814849,COMPLETA
3,Loja Da Josi,ChIJk5isz4CtmAARH1XygcL8yXI,0x98ad80cfac9893:0x72c9fcc281f2551f,8271420102976623903,/g/11p_0fzgv9,,0,Loja de Roupa,Loja de Roupa,clothing_store,"MG-135, Pedro Teixeira - MG, 36148-000, Brasil",-21.7065849,-43.7482456,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=-Mcawdts7dN5ZpaXTwgETQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=202.6404&pitch=0&thumbfov=100,https://serpapi.com/images/url/6oCG3HicHc1LDsIgEADQ27Ar0KZ-E9KVS01MujBuzBQQSGiZlLHoaTyXt9F4gfc-b0-EeS9EptlaWoItGJ425gqBu5RctIAhc51GsdSC_GMcJgixQ5hSMKo6aiiG8sacVleES1_coT8zPdx0DHYilS3M2nNXfuKcDHeYWVFbybzaNewFRTWy4etWtgwDaa8k-yf3tKhayi9VWzmG,https://serpapi.com/search.json?data_id=0x98ad80cfac9893%3A0x72c9fcc281f2551f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98ad80cfac9893%3A0x72c9fcc281f2551f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJk5isz4CtmAARH1XygcL8yXI,"Pedro Teixeira, MG",lojas_presentes,2025-07-29T00:44:23.814849,COMPLETA
4,BRECHO DA PROSPERIDADE,ChIJdczE1HeymAARxdXOk9UDae8,0x98b277d4c4cc75:0xef6903d593ced5c5,17251324063462118853,/g/11tp160l4b,,0,Loja de descontos,Loja de descontos,discount_store,"MG-135, Pedro Teixeira - MG, 36148-000, Brasil",-21.71094,-43.7406734,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=BVV7euhXshPfQauOJ2yMDA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=226.20291&pitch=0&thumbfov=100,https://serpapi.com/images/url/32_rnnicHc3BDcIgFADQbbgJlINaE2I0nkyMemm8mV_6CyS0kALFbuNabqNxgfc-b5NSiDvGYpoQ02yxBPtCF1cBqPZeO4RgI1V-YHPFkslDO4J1-wCjt508Ns0Gs3lEc-vvkK9nsVxOB6Lap3IWxyQjwqQM1eUnTr6jOkRS5JYTI2tBFihSiDUVXNQVCTYpIzn5L72fZcX5F37aOY0,https://serpapi.com/search.json?data_id=0x98b277d4c4cc75%3A0xef6903d593ced5c5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98b277d4c4cc75%3A0xef6903d593ced5c5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJdczE1HeymAARxdXOk9UDae8,"Pedro Teixeira, MG",lojas_presentes,2025-07-29T00:44:23.814849,COMPLETA
1,Ponto do Artesão,ChIJK6dG1vyZpgARy8mt5Dx2vGw,0xa699fcd646a72b:0x6cbc763ce4adc9cb,7835267455624530379,/g/1tfqh0rp,4.4,2059,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"R. Curitiba, 689 - Centro, Belo Horizonte - MG, 30170-121, Brasil",-19.918729,-43.941144,+55 31 3201-7051,http://www.pontodoartesao.com.br/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:30; domingo: Fechado; segunda-feira: 09:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""Lindas peças de artesanato e excelente atendimento e preço""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq7b8O4pKdBYU04tF9dLdhl4L5dSHwMKHmsqG_51uthlSWbmYzrOirGz1Cgxy7EarPt5VkjcFccP4pTwR5xZUbkZCm_JqmkZ17F9OJCibc9d-wKKWSpqpQF17EQE6_dj4_CHLkHhw=w122-h92-k-no,https://serpapi.com/images/url/9IoHcHicBcFdboIwAADgE1VWVsZq4oNrQCIsqPgTeSGjJRRKaaE1VS_oGbzNvu_94tZqs_S8gX8uWqXaobmZZqZqtM1oF1RJr9UGUAOMtyaYo3EK6-8c6ZT9XE8fyMaYZYwPKAtYkbjfNJFm2lQBvFk-FJdaXp9z3s2bJyTt_RFGf_POBmfR05jSHdJHdwju5akWJZHVdpKihGGM8y3paooZcGl6KfSk9zEMo330VbEeVSTJRMLdykHfBxz7QIBR_QNu3UVd,https://serpapi.com/search.json?data_id=0xa699fcd646a72b%3A0x6cbc763ce4adc9cb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699fcd646a72b%3A0x6cbc763ce4adc9cb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJK6dG1vyZpgARy8mt5Dx2vGw,"Pedro Teixeira, MG",lojas_artesanato,2025-07-29T00:44:26.857801,COMPLETA
2,Loja de artesanato,ChIJj4CUauS9pgARBFxY3XvxEsY,0xa6bde46a94808f:0xc612f17bdd585c04,14272735683387350020,/g/11gcmp_3rt,,0,Artesanato,Artesanato,handicraft,"R. José Brandão - Barreiro, Belo Horizonte - MG, 30640-020, Brasil",-19.975241699999998,-44.0139654,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MBsH6R6WiotpzJM6-TdygA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=60.497852&pitch=0&thumbfov=100,https://serpapi.com/images/url/5noNSXicHc1RCsIgGADg2_g2daNsCyTqKYK9RNBjOGf6g5s_02brNF2r2xRd4Ps-b5cSxi1jMU3GpBlMRngaHwtU1IZgvVEIkeowsLlkyT2GblTgd6jGAL1sD_EozuIKIeHr1Iri0i92T3R30x7MmGQ0atKO2vwTp9BTi5FkWXPiZFORRWUpOF01m3pdEYSkneTkv9zDLEvOv3DyOXk,https://serpapi.com/search.json?data_id=0xa6bde46a94808f%3A0xc612f17bdd585c04&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bde46a94808f%3A0xc612f17bdd585c04&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJj4CUauS9pgARBFxY3XvxEsY,"Pedro Teixeira, MG",lojas_artesanato,2025-07-29T00:44:26.857801,COMPLETA
2,MÓVEIS NOVA ERA,ChIJVVyaKIetmAARCAeMExXOH6Y,0x98ad87289a5c55:0xa61fce15138c0708,11970512924491646728,/g/11rqsmr836,,0,Loja de móveis,Loja de móveis,furniture_store,"MG-135, Pedro Teixeira - MG, 36148-000, Brasil",-21.706413299999998,-43.7472079,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SO1C6tGtD_0_sbqu9woJGw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=163.53262&pitch=0&thumbfov=100,https://serpapi.com/images/url/fryEUnicHc1LCsIwEADQ22RnPi0WKwQXCgU3LjxASWNMBtJmbKaN3sZreRvFC7z3eQcizHshMs3O0QquIDxdzBs03KfkozMImds0ilUJCss4TAbiAc2U4KavF3VsqKNTL_s8PJa2pHNXmB16G8FNpLMzsw3cl584pxv3mFnRO8mCbiv2MkWrpubbumoqhkA2aMn-yz2tWkn5BXllOZM,https://serpapi.com/search.json?data_id=0x98ad87289a5c55%3A0xa61fce15138c0708&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98ad87289a5c55%3A0xa61fce15138c0708&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJVVyaKIetmAARCAeMExXOH6Y,"Pedro Teixeira, MG",lojas_decoracao,2025-07-29T00:44:29.925154,COMPLETA
1,Gesto Gráfico Galeria de Arte,ChIJuVk3XdCZpgARDpm7C5LPI74,0xa699d05d3759b9:0xbe23cf920bbb990e,13701022717560199438,/g/11c1r25c0v,,0,Galeria de Arte,Galeria de Arte,art_gallery,"R. Orange, 43 - São Pedro, Belo Horizonte - MG, 30330-020, Brasil",-19.940819299999998,-43.9359543,+55 31 2552-2628,http://galeriagestografico.com.br/,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=pCSR4IkYVtIJyJDB3rArOg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=14.427831&pitch=0&thumbfov=100,https://serpapi.com/images/url/ERDQhXicHc3dCsIgGADQt_Euf7ZBK5Do52a7CQqCrsI5U8nND7XZ3qbX6m2KXuCcz9ukBHFNSExBqTRZlcG-lIsLEFh7r50SYCOWfiATI8k8h24U1m1AjN72HPbnU9U8rpfUtHN72JVhG44aye4mnVVj4lGJIA3W-ScG32MNEWVeU2T4qkCzyJxVuCqWdckQ2CQNp-i_3P3EGaVfZ5U5Uw,https://serpapi.com/search.json?data_id=0xa699d05d3759b9%3A0xbe23cf920bbb990e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699d05d3759b9%3A0xbe23cf920bbb990e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJuVk3XdCZpgARDpm7C5LPI74,"Pedro Teixeira, MG",galerias_arte,2025-07-29T00:44:32.984457,COMPLETA
2,Galeria de Arte Medeiros,ChIJF_dcDb6PpgARF8wmh91NAq8,0xa68fbe0d5cf717:0xaf024ddd8726cc17,12610727520441388055,/g/11lgsp24hr,4.9,7,Galeria de Arte,"Galeria de Arte, Marchand, Fotógrafo",art_gallery,"Rua José Avelino Souza, 24 - Minas Caixa, Belo Horizonte - MG, 31610-620, Brasil",-19.807171,-43.9543861,+55 31 98395-5376,http://instagram.com/thehatphotostudio,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–20:00; quarta-feira: 09:00–20:00; quinta-feira: 09:00–20:00; sexta-feira: 09:00–20:00; sábado: 10:00–14:00; domingo: 09:00–20:00; segunda-feira: 09:00–20:00,,,,,Serviços no local,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no0aahhg2s2NviUvRNRQOZq1SxDCvyCejT-eryvi4Y9OVSz11CVjxxMtz3YSOiOIdahkOms0ywzbDIJUUGBltfeRAsoEpl8ysotHwvRMV5X3fHeoBLqvRL2lJHBPEGI6dWzxJP-=w80-h142-k-no,https://serpapi.com/images/url/R_DOuXicBcFbjoIwFADQFVWeY9TEDwEjELVaBMf5Y7BStHLRW8tjfy7C3XjO5y2UanBmGFI4oxKglPyF_FlArXitRgXcjbJBUiBBY-FPhVuDmedClDbaW12lmm3Znv49rKQLfN37_Hog_Nnryj1NaZYMluVn167bqME5JbSi0TkXN3pHs2-H_yCK03TlSXXhbIGwbOSkR1Bhq9km-_l1LiEHb_3QbG3LOPR2y1U0Ph-HLt6ReTsxibBcm9xIDV9nbEYD,https://serpapi.com/search.json?data_id=0xa68fbe0d5cf717%3A0xaf024ddd8726cc17&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa68fbe0d5cf717%3A0xaf024ddd8726cc17&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJF_dcDb6PpgARF8wmh91NAq8,"Pedro Teixeira, MG",galerias_arte,2025-07-29T00:44:32.984457,COMPLETA
3,LAR. Lugar de Arte,ChIJ-bY2pEVfowARQ403KKN1Ong,0xa35f45a436b6f9:0x783a75a328378d43,8663366176815418691,/g/11mvyy_w9t,5,1,Galeria de Arte,Galeria de Arte,art_gallery,"BR-120, 212 - loja 212 - patrimonio, Teixeiras - MG, 36580-000, Brasil",-20.659177099999997,-42.8559037,+55 11 98971-7595,,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–19:00; quarta-feira: 10:00–19:00; quinta-feira: 10:00–19:00; sexta-feira: 10:00–19:00; sábado: 10:00–19:00; domingo: 10:00–16:00; segunda-feira: Fechado,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,,https://lh3.googleusercontent.com/p/AF1QipNyvzL6Rq1eX4xWPoA2c0vUjPjO6LMNTYlhQ4jX=w92-h92-k-no,https://serpapi.com/images/url/3PdYF3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngV1lW5WMWVGiYGmFSER6Q72iUbFAWmhWQ5W_m4-sXEpmTEWiSFWFbbmmkmwHE2bp5-QCOpCEh,https://serpapi.com/search.json?data_id=0xa35f45a436b6f9%3A0x783a75a328378d43&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa35f45a436b6f9%3A0x783a75a328378d43&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-bY2pEVfowARQ403KKN1Ong,"Pedro Teixeira, MG",galerias_arte,2025-07-29T00:44:32.984457,COMPLETA
