position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Ditudo Um Pouco,ChIJxyUOVPV_mAARzCJ_K0UMbO4,0x987ff5540e25c7:0xee6c0c452b7f22cc,17180120169733628620,/g/11j1j04lkn,5,3,Loja,Loja,store,"Rua Calzavara, Pequeri - MG, 36610-000, Brasil",-21.8364393,-43.1204098,+55 32 98487-5472,https://ditudoumpouco.negocio.site/?utm_source=gmb&utm_medium=referral,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: Fechado; domingo: Fechado; segunda-feira: 07:00–18:00,,,,,Entrega,,,https://lh3.googleusercontent.com/p/AF1QipPGkmbDcLTKyJ3ZgreDQzdmXdsD8amuOx3qpiUU=w130-h92-k-no,https://serpapi.com/images/url/lICYZHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4J6dm-SS7BPiXellHJVelOoSWJWSG5FS7GKRmFvqX2FcWJAZGmpbbmhsoJthaaSbrZuXDwDC0iIj,https://serpapi.com/search.json?data_id=0x987ff5540e25c7%3A0xee6c0c452b7f22cc&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x987ff5540e25c7%3A0xee6c0c452b7f22cc&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJxyUOVPV_mAARzCJ_K0UMbO4,"Pequeri, MG",lojas_presentes,2025-07-29T00:47:48.654453,COMPLETA
2,Cantinho do Saber,ChIJRQWNCuJ9mAARjj_54EmFVB0,0x987de20a8d0545:0x1d548549e0f93f8e,2113460677497143182,/g/11rmtwdw50,5,1,Loja de produtos de papelaria,Loja de produtos de papelaria,copying_supply_store,"R. Purificação Marquês Arantes, 553 - Nossa senhora Aparecida, Pequeri - MG, 36610-000, Brasil",-21.843418399999997,-43.1261167,+55 32 98428-2887,http://www.magazinevoce.com.br/elletroecia,,,,,,,Cartão de débito,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=rbVBclVG6H7NboN8RYJr-w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=87.155685&pitch=0&thumbfov=100,https://serpapi.com/images/url/8MkLI3icHc29DsIgFEDht2ErUJP-aEJMXDQOHRyaOBlAhJvQXgJY9G18Ld_Gxu1M3_l-XM4h7RhLORqTFzAlwMv4VAVJLaL1RgZIVOPElppl95zULMHvg5wR7iKq8aD9eGxP3aBw6C_Xc6wK0eqmPZg5i2Rk1I7asooR79SGRIroOXFiuyFvuXZH66Zp-4YEyNoJTv6XBy6i5vwHZXA5Ug,https://serpapi.com/search.json?data_id=0x987de20a8d0545%3A0x1d548549e0f93f8e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x987de20a8d0545%3A0x1d548549e0f93f8e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRQWNCuJ9mAARjj_54EmFVB0,"Pequeri, MG",lojas_presentes,2025-07-29T00:47:48.654453,COMPLETA
3,Festejar (Pequeri - MG),ChIJh07jSiF8mAARA3vcio9S5lw,0x987c214ae34e87:0x5ce6528f8adc7b03,6694128672596327171,/g/11g9dqqdt0,5,10,Salão de festas,Salão de festas,banquet_hall,"R. Tostes Júnior, Pequeri - MG, 36610-000, Brasil",-21.84477,-43.125944399999995,+55 11 93404-8396,,,,,,,Entrada com acessibilidade para pessoas em cadeira de rodas,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqmPNPkhMIgWNjxi9kLxrN0No39CZ0gHdqmCszC1fuk0EUdCRJ9Q2RI7FBqIOxbbj9Xd6_-MM0lJQF_hcedoygnHeVZMNVwExBZbgQLvVMRKL85HVALjEjSqA4e_hjMSceMHaVa8g=w122-h92-k-no,https://serpapi.com/images/url/nmE8VHicBcFRToMwAADQExUYTF2X-AENBCbtBsRq-CGj1NYC7aBM0At6Bm_je3-_cllu9ui6gwwcYYwY-N3ymRm9cL04zIyuuFnALLBuiKDc62m8kEsvcSbeiNo-YZ9vM_GICSCqPZF204jsD9p93Hsvfu1QeYKFX2ZPSTRl561tFXzvHhuAsTeciqSRjHfmW-iU0xoTusZbVLeiyL8oLl_yw0NKw1zFqprCPW-kwhXjOL3S60E8rzvfBxL6oAfa_ANVIkUB,https://serpapi.com/search.json?data_id=0x987c214ae34e87%3A0x5ce6528f8adc7b03&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x987c214ae34e87%3A0x5ce6528f8adc7b03&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJh07jSiF8mAARA3vcio9S5lw,"Pequeri, MG",lojas_presentes,2025-07-29T00:47:48.654453,COMPLETA
4,Supermercado C & M,ChIJmY1WQa99mAARsKoFJdRHtmY,0x987daf41568d99:0x66b647d42505aab0,7401182014109756080,/g/11h2mdp74k,4.5,56,Supermercado,Supermercado,supermarket,"R. Boneger Dutra de Morais, 195 - loja 3 - Centro, Pequeri - MG, 36610-000, Brasil",-21.8388827,-43.120001099999996,,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–20:00; quarta-feira: 08:00–20:00; quinta-feira: 08:00–20:00; sexta-feira: 08:00–20:00; sábado: 08:00–20:00; domingo: 08:00–12:30; segunda-feira: 08:00–20:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega sem contato, Entrega",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npySxojKi3GQH-Wb_ABxMd8c-GMVnATjYvNxIHMrBUaucX0nSFzoriZoMV_tMywPlo92RwZSs1VxmPmqZHr26SHghbmwHeXRWNSPsoRpS94IJhDX07Uo50Nu4j8wNFTqeEDnW08eg=w80-h106-k-no,https://serpapi.com/images/url/_bQEJHicBcFbcoIwFADQFUWiooXO9AO1GtsJQ4k85MfRNJNIIRdJaNANuobupuf8PZW1nXn1vEbNJxJANmIwouegrdB2wqH1ZGcQN8h40TpUvu7ubIT68zrffRFUXE7RaqTfAUc7muvoUB9_43FPaL_KzgMvsWbbB_TXCmh-svTukgbCWeoqZqb52CbtrSL9bMmIVJfWEVGmRcwSA2nHQn__oTYlfslggePBrwMXbw838b7RBQ6EfHMBRmqKl-gHafgHxK1F6A,https://serpapi.com/search.json?data_id=0x987daf41568d99%3A0x66b647d42505aab0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x987daf41568d99%3A0x66b647d42505aab0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJmY1WQa99mAARsKoFJdRHtmY,"Pequeri, MG",lojas_presentes,2025-07-29T00:47:48.654453,COMPLETA
5,Pousada Casa Nova,ChIJORZfuzZ_mAARmqezYAaZ-Gw,0x987f36bb5f1639:0x6cf8990660b3a79a,7852194202991699866,/g/11v6xs787b,5,69,Hospedaria,Hospedaria,guest_house,"Praça Prefeito José Flora, 90 - Centro, Pequeri - MG, 36610-000, Brasil",-21.8333141,-43.118336199999995,+55 32 98468-2025,https://www.instagram.com/pousadacasanova_pequeri,,,,US$ 44,,,,,,"""Local sem garagem, carro fica na rua mas a cidade é bem tranquila.""",https://lh3.googleusercontent.com/p/AF1QipOoDYTIbfZK_x_xc-AJKKUOK1Vd1LSSib-bK2aj=w80-h106-k-no,https://serpapi.com/images/url/90XX33icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn-8SGeKZlBblHV8RX5Gs6-jl7R3q720YlmLoExycmaSb5G2UmGVbbmGgm2FoYKabrZuXDwChvSDZ,https://serpapi.com/search.json?data_id=0x987f36bb5f1639%3A0x6cf8990660b3a79a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x987f36bb5f1639%3A0x6cf8990660b3a79a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJORZfuzZ_mAARmqezYAaZ-Gw,"Pequeri, MG",lojas_presentes,2025-07-29T00:47:48.654453,COMPLETA
6,cardumi outlet,ChIJaxGPORZ9mAARmcE768-bmO4,0x987d16398f116b:0xee989bcfeb3bc199,17192662894793965977,/g/11twj72myx,1,1,Loja de Roupa,Loja de Roupa,clothing_store,"R. São Pedro, 193, Pequeri - MG, 36610-000, Brasil",-21.843440899999997,-43.1104127,+55 32 98469-4564,http://www.cardumioutlet.lojavirtualnuvem.com.be/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/p/AF1QipMCw0EVZ6fMRi40MfDtpCy_pBilw9T9iOS1lyMT=w80-h95-k-no,https://serpapi.com/images/url/C1nw2HicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng61xu4BoWZZbmG5RpYuCb5lJS4FwZX-CUmVNuGWKZ6R9smFPpG2JbbmGgm2Fpqputm5cPAH_gIPw,https://serpapi.com/search.json?data_id=0x987d16398f116b%3A0xee989bcfeb3bc199&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x987d16398f116b%3A0xee989bcfeb3bc199&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJaxGPORZ9mAARmcE768-bmO4,"Pequeri, MG",lojas_presentes,2025-07-29T00:47:48.654453,COMPLETA
7,Comércio de Roupas Ditap,ChIJk4ZP2SB8mAAROcRVHo2m27c,0x987c20d94f8693:0xb7dba68d1e55c439,13248365853869982777,/g/11rhdsx70j,5,2,Loja de Roupa,Loja de Roupa,clothing_store,"R. Lino Granato - Pequeri, MG, 36610-000, Brasil",-21.8390403,-43.1205387,,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–19:00; domingo: Fechado; segunda-feira: 08:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zIdyVGN0cVag84v6GdbeNA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=244.0841&pitch=0&thumbfov=100,https://serpapi.com/images/url/AL47uXicHc3BDcIgFADQbbgJtCGmmhDjqemlx14NhS-Q0ELKF6zLOJfbaFzgvc_bIaZ8ZizjBoDFQ03-CSEfkqI2RhtAJZ-pjgsrDUP3WOZV-XBJao3eyNdg9qkfuZ6U7UQ59maG8Ur0fNPBw4oyg9q0o7b-xC0aalMmVXacOHlqya6qbIWgvBMNSR61k5z8k3sssuH8CzX4OSM,https://serpapi.com/search.json?data_id=0x987c20d94f8693%3A0xb7dba68d1e55c439&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x987c20d94f8693%3A0xb7dba68d1e55c439&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJk4ZP2SB8mAAROcRVHo2m27c,"Pequeri, MG",lojas_presentes,2025-07-29T00:47:48.654453,COMPLETA
8,Ferreira Materiais de Construção Ltda.,ChIJgZgdf55-mAARl1mzvBC2YGE,0x987e9e7f1d9881:0x6160b610bcb35997,7016808402444835223,/g/1tdqjpth,4.6,10,Loja de materiais de construção,Loja de materiais de construção,building_materials_store,"Praça 13 de Dezembro, 14 - Centro, Pequeri - MG, 36610-000, Brasil",-21.8368781,-43.1216667,+55 32 3278-1230,,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–17:00; quarta-feira: 07:00–17:00; quinta-feira: 07:00–17:00; sexta-feira: 07:00–17:00; sábado: 07:00–11:00; domingo: Fechado; segunda-feira: 07:00–17:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=MKe18bybtV_8wSBMjCERuA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=5.5240235&pitch=0&thumbfov=100,https://serpapi.com/images/url/LPurvXicHc1RCsIgGADg2_iWutVgBRIVPcVeCnod6v7UcFPmv9lu07W6TdEFvu_ztogx7RhLOALg7CBH9wKfVlFSE4LxIKNLVIeezQVDO_VqkM7voxyC60RzgaJWi8J7W-fbsXmeztfpQLRqtXcwoEggR22pyT9xDB01MZEsak6s2JZkkVlUtCo3vFxXJDrUVnDyXx5hFgXnX2sqOVk,https://serpapi.com/search.json?data_id=0x987e9e7f1d9881%3A0x6160b610bcb35997&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x987e9e7f1d9881%3A0x6160b610bcb35997&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJgZgdf55-mAARl1mzvBC2YGE,"Pequeri, MG",lojas_presentes,2025-07-29T00:47:48.654453,COMPLETA
9,Supermercado da Terra,ChIJHYV4lmd9mAARuNvyfKqkfzE,0x987d679678851d:0x317fa4aa7cf2dbb8,3566750482048408504,/g/11h04xtd21,4.4,117,Supermercado,Supermercado,supermarket,"R. Manoel Gervásio, 96, Pequeri - MG, 36610-000, Brasil",-21.8371946,-43.1211728,+55 32 3278-1201,,Fechado ⋅ Abre às 06:00,Fechado ⋅ Abre às 06:00,terça-feira: 06:00–20:00; quarta-feira: 06:00–20:00; quinta-feira: 06:00–20:00; sexta-feira: 06:00–20:00; sábado: 06:00–20:00; domingo: 06:00–12:00; segunda-feira: 06:00–20:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC, Pluxee","Entrega sem contato, Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noHi8xOk8U4h_hN1zYqyY66-89N0q7Mt-tydl-o7gDrk8ZqQekK85Fz5myUz5xcKNQPadWPJD0cfjaVkTkiN2wR2c-yVMqNDGq4sxEGuZsRWcsGPbTAl5AonOz38FR03gDuuPVS=w80-h106-k-no,https://serpapi.com/images/url/WSY8UHicBcHdDsEwGADQJ_qs7EcncbEYE6KbYcKNUNPSaVW72PZ-HsLbOOf35da-zMhxKu72mFKsKmtTvqmStpS2R9XTYS8D1IBxoknIPanmd9ykAu88fuKk3x10ewgCwCFBeriyYNtrBWrI4rfAR70uxRL7s85_trvOb-iSrLPzdZ8tYkRvj3MhtuJOBp98QKEtVprEifZMM03qo8n31CTZZRtVfqRk2rl4liOXxXWdFZvxByPgfRSAAKn-t_tEUw,https://serpapi.com/search.json?data_id=0x987d679678851d%3A0x317fa4aa7cf2dbb8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x987d679678851d%3A0x317fa4aa7cf2dbb8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJHYV4lmd9mAARuNvyfKqkfzE,"Pequeri, MG",lojas_presentes,2025-07-29T00:47:48.654453,COMPLETA
10,Tudo+online,ChIJR12b0Hl9mAARLj9eQwvFO-s,0x987d79d09b5d47:0xeb3bc50b435e3f2e,16950358274704555822,/g/11yc__qfl9,,0,Loja de variedades,Loja de variedades,variety_store,"R. Sales de Almeida, 127, Pequeri - MG, 36610-000, Brasil",-21.8422904,-43.124533899999996,+55 32 98449-3680,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: 09:00–18:00; segunda-feira: 09:00–18:00,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=X2u4Sq5sHXnNhRgvwzsUvQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=124.36281&pitch=0&thumbfov=100,https://serpapi.com/images/url/jLdUPnicHc3NDcIgGADQbbjJn9VUE-LVk4kak94MpQgkFLAfBXUa13IbjQu893nbnBNsCYE8aZ2L0zW5h_awSBKbGI3XMjnAKo6kMJLtPPZBOr9LMkQ3iI7Pzfm-gn0XDvZkSn3BpRyR6q_KOx2yAC0nZbGpP3GKAzYJUBUtRVZsOHrKKhhv8HLNW4aSy8oKiv7LLRbBKP0CpTQ6FQ,https://serpapi.com/search.json?data_id=0x987d79d09b5d47%3A0xeb3bc50b435e3f2e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x987d79d09b5d47%3A0xeb3bc50b435e3f2e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJR12b0Hl9mAARLj9eQwvFO-s,"Pequeri, MG",lojas_presentes,2025-07-29T00:47:48.654453,COMPLETA
