position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Art L Presentes Personalizados,ChIJOxAXXZGnmQARRg-BfjvyahU,0x99a7915d17103b:0x156af23b7e810f46,1543312159667195718,/g/11h4kpssp2,5,22,Loja de presentes,Loja de presentes,novelty_store,"R. Osvero Carmo Vilaça, 390 - Alto da Serra, Petrópolis - RJ, 25635-101, Brasil",-22.5319684,-43.1706966,+55 24 99245-7013,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–16:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Atendimento maravilhoso, Carol super atenciosa, educada.""",https://lh3.googleusercontent.com/p/AF1QipMvlp_adHyRilhA_NCT_u71w6vY5LckdhzOtIR2=w92-h92-k-no,https://serpapi.com/images/url/kI-XvHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW5ZTEJ-Y4lEZlJmT4Rjv5xwSX2puWG5WFmnqk5ydklHlX-IZZGRbbmmkmwHE2bp5-QCl7CHB,https://serpapi.com/search.json?data_id=0x99a7915d17103b%3A0x156af23b7e810f46&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x99a7915d17103b%3A0x156af23b7e810f46&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJOxAXXZGnmQARRg-BfjvyahU,"Petrópolis, MG",lojas_presentes,2025-07-29T00:51:46.171740,COMPLETA
2,Tableware presentes,ChIJ7RDFmQEImQARXYm0BTmJ1R0,0x99080199c510ed:0x1dd5893905b4895d,2149775275141138781,/g/1q5gkmnks,4.9,7,Loja de presentes,"Loja de presentes, Decorador de interiores, Loja de utensílios de cozinha",novelty_store,"R. Irmãos D'Angelo, 23 - Centro, Petrópolis - RJ, 25685-340, Brasil",-22.5095656,-43.1766371,+55 24 2246-9221,,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–19:00; quarta-feira: 10:00–19:00; quinta-feira: 10:00–19:00; sexta-feira: 10:00–19:00; sábado: 10:00–19:00; domingo: Fechado; segunda-feira: 14:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""Ótimas opções diferentes para a casa, coisas que só encontro lá...""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nosSEwMzeE2rxhCyXmZmDwVDbLiFruwwhLfVQux1NgCipIy4NKF8cgoJTO86sE8N34p3ufJtoycuQalQaCz7o7ZDuMLrEW-VWJ5dU-tDQRfbYRwyOUfZ-2ZcjJmDRes1MSWboU=w122-h92-k-no,https://serpapi.com/images/url/-nMuS3icBcFhDoIgGADQE5ETraytH01sy9SmpZb_khAq9XMCIztfl-g2vff7CqUGubasVjgzDsBbpiUbKfSK9WpGobP4IBGVSFpbfyXcHuQpMPGHBXh8C3-6dFVHTEHq6LEbtTEiaopUv-2E-49hP7nJYedRDuH56C1k4CWOOzi6CRVMVKe3Nr35nyUsK6LjaAxKVJTh_J4jRdKsqa-ZmY55UyFc0WfYkYxJOz6VNeQbY2OMxAqjF-rhDyWmRWQ,https://serpapi.com/search.json?data_id=0x99080199c510ed%3A0x1dd5893905b4895d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x99080199c510ed%3A0x1dd5893905b4895d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7RDFmQEImQARXYm0BTmJ1R0,"Petrópolis, MG",lojas_presentes,2025-07-29T00:51:46.171740,COMPLETA
3,Gota de Sol Presentes,ChIJ3RoSzgMImQAR9cMDF9NBty0,0x990803ce121add:0x2db741d31703c3f5,3294174027324834805,/g/1v6qjvff,4.3,6,Loja de presentes,"Loja de presentes, Loja de artigos domésticos, Decorador de interiores, Loja de utensílios de cozinha",novelty_store,"R. Teresa, 1515 - loja 66 - Alto da Serra, Petrópolis - RJ, 25635-530, Brasil",-22.5240333,-43.1705781,+55 24 99904-9409,http://gotadesolpresentes.com.br/,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–19:00; quarta-feira: 10:00–19:00; quinta-feira: 10:00–19:00; sexta-feira: 10:00–19:00; sábado: 10:00–19:00; domingo: Fechado; segunda-feira: 14:00–19:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNay6pD_gw6BOS05h8nExCbCwoyqHh-bQrCIcw4=w92-h92-k-no,https://serpapi.com/images/url/-dBUK3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl1hpVuASn15u5uQfbGCaYZHnWuGc5FyeX1nokaGbFFjk7JlcbmJbbmmkmwHE2bp5-QCMTSE5,https://serpapi.com/search.json?data_id=0x990803ce121add%3A0x2db741d31703c3f5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x990803ce121add%3A0x2db741d31703c3f5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ3RoSzgMImQAR9cMDF9NBty0,"Petrópolis, MG",lojas_presentes,2025-07-29T00:51:46.171740,COMPLETA
4,55Gifts,ChIJL1AJyWCnmQARnx1SLhA6ys8,0x99a760c909502f:0xcfca3a102e521d9f,14972843752317656479,/g/11j65hkkj0,5,2,Loja de Presentes,Loja de Presentes,gift_shop,"R. Teresa, 1515 - Loja 38 - Alto da Serra, Petrópolis - RJ, 25635-530, Brasil",-22.524383399999998,-43.170591099999996,+55 24 99955-6571,https://55gifts.shopping.marketup.com/,Fechado ⋅ Abre às 11:00,Fechado ⋅ Abre às 11:00,terça-feira: 11:00–20:00; quarta-feira: 11:00–20:00; quinta-feira: 11:00–20:00; sexta-feira: 11:00–20:00; sábado: 11:00–20:00; domingo: Fechado; segunda-feira: 14:00–20:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Muitas opções de presentes lindos e utensílios pra casa !""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr7Ne3pQcurbRn6UHg-TxgaShCzpSKmiZZp8uHew0nL7MXLB0ucVkqoXsZbh_3utHzVRxsjNHpRzd17b7NIMw3CgFzSobaEhFiKHCNeqy4iaa4x6k8eqPYEEo3zR9KlNiMf088=w80-h113-k-no,https://serpapi.com/images/url/LMELYnicBcFRboIwAADQE1UgJVKX7EMJpgZpNphG-THQdS2CbaFtYD2fl_A2vvd6Cmu1-QiCQcAVV4oPzBk2USUtk3ZF1SPg2gBqgAm26UbEckoIg_qbuqkt5fqEOfhZeFOJ1Osqf3R1rZHDbA7lMSkux13o6Lkf1cXUrbhBZ7E_l4u5E6xL_xslbUIOxQxTvveVaptM7Lscp4SN_3HXNPGy7hEbv65ZpqAvN_lAuuIvROhzRiEQUQRBD6R6Axc5RUI,https://serpapi.com/search.json?data_id=0x99a760c909502f%3A0xcfca3a102e521d9f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x99a760c909502f%3A0xcfca3a102e521d9f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJL1AJyWCnmQARnx1SLhA6ys8,"Petrópolis, MG",lojas_presentes,2025-07-29T00:51:46.171740,COMPLETA
5,Germania Presentes,ChIJ69R_ougImQARtH8BsIzk80Y,0x9908e8a27fd4eb:0x46f3e48cb0017fb4,5112681294895087540,/g/11bbrgtn6y,4.5,4,Loja de Presentes,Loja de Presentes,gift_shop,"Km 82, Rodoviária, Rod. Washington Luiz, S/N - Loja 6 - Bingen, Petrópolis - RJ, 25665-091, Brasil",-22.5164318,-43.229165699999996,+55 24 2249-9896,,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–21:50; quarta-feira: 07:00–21:50; quinta-feira: 07:00–21:50; sexta-feira: 07:00–21:50; sábado: 07:00–21:50; domingo: 12:00–20:00; segunda-feira: 07:00–21:50,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrEW_QEy7QCtPNOLPA2GiF16AnNBcIWE2IQLoOlTVPOetRJwZXsPJ1xiqm8kuGApASz2D3j4ici05KsmwhllToNMAIDBck960BK4z4iF0NywjJw1Rp0A1T8gYyoXZf9ql4MPTBD=w122-h92-k-no,https://serpapi.com/images/url/mG1aGXicBcFLEoIgAADQE5FC9LGZFpjWaKVYTr9NC8aERLCgIbtfh-g2vff7cms7M_M8yYeDWutaVi9TPZlWtlJ2wHTr1Z0BzADjkUXAsXrGx2sR95NiYWmWbyhBK7GEY6KykCXHGCXFRueyPNC8srvUXU6GpvAtHu20ea1IR_YfFA3vWDDhj9amdVzKUmdbkkQha4KxH67xB4uln_Xunjq463wCy2l97vXpcgseEm9pGUZzBxECPECgAUr_AVLGQxY,https://serpapi.com/search.json?data_id=0x9908e8a27fd4eb%3A0x46f3e48cb0017fb4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9908e8a27fd4eb%3A0x46f3e48cb0017fb4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ69R_ougImQARtH8BsIzk80Y,"Petrópolis, MG",lojas_presentes,2025-07-29T00:51:46.171740,COMPLETA
6,Liv,ChIJ____xgMImQARV952cMNmMs8,0x990803c6ffffff:0xcf3266c37076de57,14930108704278109783,/g/11trz_2hf4,4.4,48,Loja de presentes,"Loja de presentes, Decorador de interiores, Papelaria",novelty_store,"Rua do Imperador, 832 - Centro, Petrópolis - RJ, 25610-081, Brasil",-22.510655399999997,-43.1772979,+55 24 2237-5659,https://www.amoliv.com.br/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: Fechado; segunda-feira: 10:00–19:00,,,,,,,"""Mercadorias de excelente bom gosto e qualidade, atendimento diferenciado.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrMvvGw-cTx4RLzJqR2CiQe3BEMhKfQXJc57fCG_E9LA7wmZmRpI_f_wS-FByUvGwK_HAj3OBQ-F55d5sk8koGzv9wV4mVNMBJfUH7miLKkoMkiWlkQPNDx0kTrNS2VpO1FkBIj=w199-h92-k-no,https://serpapi.com/images/url/2m-e4HicDcvdFoEwAADgJ5ro52TOcdGi6I-SOG66mGpZa2lpeD8P4W347r_vhwxDJxaK0hBtUnFeNcVDFD3m7VC0wwRzplSdAFgAoVg2JHrbh-PoSoDTp54Eb--eqHYdFxpah8Qv47OHDbO03XwNA8uU7MKSbpuXuTwAB72O_-nnG-um7VAMHMO4GoLOKXffI5SZzrIoRF553JisDnzKQ1qfGhrvo9VzStM-OqhZt5s5FG1vSzmDEBCoAgpa_gOTFkPc,https://serpapi.com/search.json?data_id=0x990803c6ffffff%3A0xcf3266c37076de57&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x990803c6ffffff%3A0xcf3266c37076de57&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ____xgMImQARV952cMNmMs8,"Petrópolis, MG",lojas_presentes,2025-07-29T00:51:46.171740,COMPLETA
7,Lembrei de Você 23 Presentes,ChIJPQvkoQFQ7CMRKZxSCcb981g,0x23ec5001a1e40b3d:0x58f3fdc609529c29,6409745721680108585,/g/11vjgqz7dk,5,1,Loja de presentes,"Loja de presentes, Service establishment",novelty_store,,-22.387926399999998,-43.1776413,+55 24 98812-3955,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito",Entrega,,"""Lindos Presentes, vendedora super atenciosa!!!""",,,https://serpapi.com/search.json?data_id=0x23ec5001a1e40b3d%3A0x58f3fdc609529c29&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x23ec5001a1e40b3d%3A0x58f3fdc609529c29&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJPQvkoQFQ7CMRKZxSCcb981g,"Petrópolis, MG",lojas_presentes,2025-07-29T00:51:46.171740,COMPLETA
8,Amorette Cestas de presentes e Café da manhã em Petrópolis,ChIJMbjNGtrTqUwR0jqzTzWKQt8,0x4ca9d3da1acdb831:0xdf428a354fb33ad2,16087572780495878866,/g/11vry3ymll,5,19,Loja de presentes,"Loja de presentes, Service establishment, Loja de cestas de presente",novelty_store,,-22.5165911,-43.1961322,+55 24 99867-1674,https://www.instagram.com/amorettecestaspetropolis/,Fechado ⋅ Abre às 06:00,Fechado ⋅ Abre às 06:00,terça-feira: 06:00–17:00; quarta-feira: 06:00–17:00; quinta-feira: 06:00–17:00; sexta-feira: 06:00–17:00; sábado: 06:00–10:00; domingo: 06:00–09:00; segunda-feira: 06:00–17:00,,,,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito",Entrega,,"""Vendedora super atenciosa e solicita.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrXXJGwdDKNLUfM6YhV6ih6jjeQ4Wc6m4LKDcgM5VMOs7sLK2gazzyqe5unDHWrvgKF_W-NPn4kT7_g3wJzlyTJ5IxHUQni3SR2Bcp2XCCIm0zsxaJv0c5Xt2wqvzMo-L8idPZZ=w122-h92-k-no,https://serpapi.com/images/url/9NnT63icBcFZEoIgAADQE5GFS9lMH6XT4patWj9NQwSmggpqcb8O0W167_elUlZiqmkF1QeEc1LgVuAGcSYxkwPES41UAiABhDZ3bGqwJk29Vf9w_Sg4PUPrQs9WRq3XC--MBFmlEfguIqF5DrdiLAIfkrtSnxqbLXPXSdMRf3lLQBQzIz-Ob0TvPVV8jp65ea9PO5bphz1coAqmjrMph0q87143RGYqYV93KuQgmGSP-Hqd9SMIAbUhyAHjf81hRL8,https://serpapi.com/search.json?data_id=0x4ca9d3da1acdb831%3A0xdf428a354fb33ad2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x4ca9d3da1acdb831%3A0xdf428a354fb33ad2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJMbjNGtrTqUwR0jqzTzWKQt8,"Petrópolis, MG",lojas_presentes,2025-07-29T00:51:46.171740,COMPLETA
9,Cestas Oficina do Amor em Petrópolis,ChIJw1rWh6-pmQARPs3k8d4jfyo,0x99a9af87d65ac3:0x2a7f23def1e4cd3e,3062205712083242302,/g/1ptvz5gmv,4.8,26,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"Estr. União e Indústria, 3358 - Corrêas, Petrópolis - RJ, 25720-111, Brasil",-22.4481666,-43.1443489,+55 24 98812-2608,http://www.cestasoficinadoamor.com.br/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–23:00; quarta-feira: 08:00–23:00; quinta-feira: 08:00–23:00; sexta-feira: 08:00–23:00; sábado: 08:00–23:00; domingo: 08:00–23:00; segunda-feira: 08:00–23:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""Os produtos são de excelente qualidade, o custo benefício é perfeito.""",https://lh3.googleusercontent.com/p/AF1QipOI5_oSBiz7KOOVtzxi06HB3dMYR9FI-DyPc_2i=w80-h106-k-no,https://serpapi.com/images/url/qMOTqHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng72kanx_slFll7u3vH1ZSVZFpYObhZJziGxlk6eap61IZkBxvlGlbbmGgm2FoYKabrZuXDwCZrCCs,https://serpapi.com/search.json?data_id=0x99a9af87d65ac3%3A0x2a7f23def1e4cd3e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x99a9af87d65ac3%3A0x2a7f23def1e4cd3e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJw1rWh6-pmQARPs3k8d4jfyo,"Petrópolis, MG",lojas_presentes,2025-07-29T00:51:46.171740,COMPLETA
10,Ateliê Maraarts,ChIJZeGnIaZRpQARqJtHRIG5XGw,0xa551a621a7e165:0x6c5cb98144479ba8,7808319818801060776,/g/11mvlsq8kn,5,7,Loja de Presentes,Loja de Presentes,gift_shop,"R. Satélite, 105 - Novo Tempo, Timóteo - MG, 35183-124, Brasil",-19.5599754,-42.6695164,,,,,,,,,,,,"""Produtos de excelente Qualidade, Além do Atendimento Personalizado.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nobvT2SwTbhRLoWc-mbSDaIiSkTA1l9cZyu2AIE2hZvA4-z9bLmoYIiCgqOcPBAwHi6bFjndqpcSzWAMyl2hshDtY0qIyy8nOVrfo2OeFwv61H8QeQY72SfLOcFzey3VgN7Dd7vXs5It-JT=w80-h142-k-no,https://serpapi.com/images/url/TbSwdXicBcFRboIwGADgE1WkosCSPXQyYhc25kp0-GZrbZnQH2yFlDvuALvNvu_vVzvX26cgaPVqoQBUKx9W3gUYJ41bCOgC1VskLLIB2aY6MsDHCrOp4vqrgKNAHWfZmTbsVpGwTcXJPzChr1ifRhKhOeVFBzVttmooxecLmXbNhuc_5jL0gs1H8u5brK3OXL0cqPeJKQ_3K-BS5tO4CXfJXu7rGLNrUYp8ln51UB9xdonHb7umDr1Vz1OyRDqMMLohA_9Rs0ez,https://serpapi.com/search.json?data_id=0xa551a621a7e165%3A0x6c5cb98144479ba8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa551a621a7e165%3A0x6c5cb98144479ba8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJZeGnIaZRpQARqJtHRIG5XGw,"Petrópolis, MG",lojas_presentes,2025-07-29T00:51:46.171740,COMPLETA
