position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,M R Presentes,ChIJP1Jv8pZjnwARNzxTqLl6Yrk,0x9f6396f26f523f:0xb9627ab9a8533c37,13358374382545878071,/g/11fps7hvf0,5,1,Loja de presentes,Loja de presentes,novelty_store,"Av. 7 de Setembro, 64 - Centro, Piedade do Rio Grande - MG, 36227-000, Brasil",-21.4685725,-44.1970412,,https://instagram.com/mr_presentes2022?igshid=OGQ2MjdiOTE=,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr59skKowfeaENskIBsKgh5Eu7unDe9jiyOjwsiiBrW6t3sY7IEwgQ5F_dpqiZnkJBr7lkromMY3VLc6d25havMlKiyCOAIb7AznpWUNvoMUKV41uz2EN6WwkRaxjzRlRsezSZ6=w84-h92-k-no,https://serpapi.com/images/url/TnILbHicBcFbjoIwFADQFVUiTzHxA5RJkAEjRon-GMROW1pbprdYZX1uYnYz5_x9qDEDLB1HUG9GlCICj4B1p6TB0sw69XDIAKgDBE6yjqkvdRADL5T9wW1WAc9TKAgNsjEa5QbHPXvveguMpboJjQfnKM8s2Qdf1_vwyy6Sb1MdCa7Vozx7p-8uvLsBbZ-lKNh7vUvyW5RMcmiO1VOVx-Lkz8fJzaqwsbxuX_1UixrwdLiEK7vwEY1dxJFU_z_IRnM,https://serpapi.com/search.json?data_id=0x9f6396f26f523f%3A0xb9627ab9a8533c37&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f6396f26f523f%3A0xb9627ab9a8533c37&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJP1Jv8pZjnwARNzxTqLl6Yrk,"Piedade do Rio Grande, MG",lojas_presentes,2025-07-29T00:57:33.654613,COMPLETA
2,ARMARINHO RIO GRANDE,ChIJaUg0gZZjnwAR9psEyq9mVeg,0x9f639681344869:0xe85566afca049bf6,16741400095014296566,/g/11jsnxqclw,5,1,Armarinho,Armarinho,notions_store,"Praça Pio XII, 9 - Centro, Piedade do Rio Grande - MG, 36227-000, Brasil",-21.4685877,-44.1959788,+55 32 99924-4558,,,,,,,,"Cartão de crédito, Cartão de débito",,,"""Muita opção em produtos de variadas utilidades.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npw1UStRp8aztTYNpF3uvnCEdEdNRcyhxxb-Bu7JLcDpVWFvfFunIAuBpIh3ES22FCPN6UggnPU0SPFENggMRwYiSLx7IxwqedbAONNtosWCjH-O5tYfD_WqtADz8EQ3o3eWC8=w80-h117-k-no,https://serpapi.com/images/url/rlYXOHicBcHhUoIwHADwJ5qIq0Dv-gBju-h0IkQcn7occ6tsm-4_IZ_Pl_Bt-v3uNw3g_CqKjhrPlLXqKIOXZ2ENSAMzYX8j5TwSHvkoI0v9YNwYtw3ULv28wlvPHcPhYggd6MBr8aenaY_ykLyuReHeO3Y5sGDKLOSu1Jg2iwUjFX9qlTJVO28qRrlSm3rsv5r1lJTTeJLDPttyDtZ35PsFbR-hPxQf3Qmy4prSHbZYdiR9HtM50nGcoB9k7D_XaESH,https://serpapi.com/search.json?data_id=0x9f639681344869%3A0xe85566afca049bf6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f639681344869%3A0xe85566afca049bf6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJaUg0gZZjnwAR9psEyq9mVeg,"Piedade do Rio Grande, MG",lojas_presentes,2025-07-29T00:57:33.654613,COMPLETA
3,Loja Do Cesar,ChIJzQsZE5VjnwARodk2FuT0788,0x9f639513190bcd:0xcfeff4e41636d9a1,14983463745747343777,/g/11gfgldkhp,4,6,Papelaria,Papelaria,stationery_store,"R. do Rosário, 145 - Piedade do Rio Grande, MG, 36227-000, Brasil",-21.4682526,-44.1935083,+55 32 98508-7950,,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–16:30; quarta-feira: 07:00–16:30; quinta-feira: 07:00–16:30; sexta-feira: 07:00–16:30; sábado: 08:00–11:00; domingo: Fechado; segunda-feira: 07:00–16:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npTiTE2npPngr7y3eApojld8log9rHTqbR-2IEM9V3EiTD_qYwacGQ03JXbZ84TA5PjNECZ9E-B8lB3FVhafrhZpssNk3tMaQQ4_JTohIkhiYfaDvV-9LKdR2jujab-QdIMaJQW=w122-h92-k-no,https://serpapi.com/images/url/w7-U0nicBcHdbsIgGADQJ_qsgy4rS7yoilu71YghdfbG0B-hLQMsqNkD7iF8G895_KsQnH-PIq3wTFordXf13dRYEzoTZo39jaTz0HjwUboiKjaO95wi43ZGTm9_uEudHXSbaCvJ9Mkv9R5QRgtSYtrz9elyvIvmg81x_lNXSczT192wpauKUFgmeok3pRLnSVXO--2IQyEYi085tyobVX88i_WtBPL91e7RcB1EDazNCpGzw-L-ghAogmAEY5-j0kPY,https://serpapi.com/search.json?data_id=0x9f639513190bcd%3A0xcfeff4e41636d9a1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f639513190bcd%3A0xcfeff4e41636d9a1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJzQsZE5VjnwARodk2FuT0788,"Piedade do Rio Grande, MG",lojas_presentes,2025-07-29T00:57:33.654613,COMPLETA
1,Loja de Móveis Santa Cruz,ChIJ7yfHiJZjnwARUQOYAXrSn0A,0x9f639688c727ef:0x409fd27a01980351,4656671961178964817,/g/1ptwq4pgm,4,1,Loja de móveis,Loja de móveis,furniture_store,"Av. 7 de Setembro, 215 - Piedade do Rio Grande, MG, 36227-000, Brasil",-21.4683875,-44.1955971,+55 32 3335-1200,,,,,,,,"Cartão de crédito, Cartão de débito",Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=B9U5lB7a_UaPaOcuHPgOew&cb_client=search.gws-prod.gps&w=80&h=92&yaw=27.375635&pitch=0&thumbfov=100,https://serpapi.com/images/url/_uTuVHicHc3BDYMgFADQbbgVUGOtTUgTT73pxbP54i-QIBBBabfpWt2mTRd47_PWKYV4ZSymDTEdBnMwT7TxFIAq75VFCCZS6Vd2FCzpfZ0dGHsL4LxZRNeOte0amEYYoJf7fVA9ZiLnSVqDLomIsElNVf6Jm1-oCpFkceFEi7YkL8iibGjV1OeqJsEkqQUn_-XhD1Fw_gVqoDlw,https://serpapi.com/search.json?data_id=0x9f639688c727ef%3A0x409fd27a01980351&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f639688c727ef%3A0x409fd27a01980351&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7yfHiJZjnwARUQOYAXrSn0A,"Piedade do Rio Grande, MG",lojas_decoracao,2025-07-29T00:57:39.777430,COMPLETA
3,Clube da Casa Rive,ChIJm-6I_7RjnwAR4dugzndWinE,0x9f63b4ff88ee9b:0x718a5677cea0dbe1,8181446745639672801,/g/1v29d7s6,4.6,27,Loja de materiais de construção,Loja de materiais de construção,building_materials_store,"R. Doná Geraldina, 60 - Centro, Piedade do Rio Grande - MG, 36227-000, Brasil",-21.4703032,-44.1924621,+55 32 3335-1302,https://www.clubedacasa.com.br/nossaslojas,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–12:00; domingo: Fechado; segunda-feira: 07:00–18:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Bom atendimento""",https://lh3.googleusercontent.com/p/AF1QipO7GQLan2NFpA_dC1kIHWctrPEjyGwsqfgDbH-p=w92-h92-k-no,https://serpapi.com/images/url/oZgwFHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb-4e6JOYZ-TnVuAYn-JsmO3pEZ5cUhTgmlXpXl5cmJbukuShW2BbbmmkmwHE2bp5-QCFLSFB,https://serpapi.com/search.json?data_id=0x9f63b4ff88ee9b%3A0x718a5677cea0dbe1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f63b4ff88ee9b%3A0x718a5677cea0dbe1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJm-6I_7RjnwAR4dugzndWinE,"Piedade do Rio Grande, MG",lojas_decoracao,2025-07-29T00:57:39.777430,COMPLETA
5,RM MATERIAIS DE CONSTRUÇÃO LTDA,ChIJxzk0x8hhnwARyDmV_8wl-Ec,0x9f61c8c73439c7:0x47f825ccff9539c8,5185936533308651976,/g/11gt9lcyhp,4.6,38,Loja de materiais de construção,Loja de materiais de construção,building_materials_store,"R. Valdivino da Rosa Lucinda - Piedade do Rio Grande, MG, 36227-000, Brasil",-21.460274599999998,-44.163054599999995,+55 32 3335-1453,,Fechado ⋅ Abre às 07:30,Fechado ⋅ Abre às 07:30,terça-feira: 07:30–18:00; quarta-feira: 07:30–18:00; quinta-feira: 07:30–18:00; sexta-feira: 07:30–18:00; sábado: 07:30–16:00; domingo: Fechado; segunda-feira: 07:30–18:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""Tem de tudo um pouco,  atendimento excelente , recomendo""",https://lh3.googleusercontent.com/p/AF1QipOHz3wt-FjuBfykrfOSvuaSJO6Ea2qLe4KY3tHy=w222-h92-k-no,https://serpapi.com/images/url/LHmmAnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng71FlXF6i65ZV6pRWmV2U5h9cVpoY7OVv5ppoVOiTauIdaVziUWlbbmRkpJthaaSbrZuXDwC7-CGn,https://serpapi.com/search.json?data_id=0x9f61c8c73439c7%3A0x47f825ccff9539c8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f61c8c73439c7%3A0x47f825ccff9539c8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJxzk0x8hhnwARyDmV_8wl-Ec,"Piedade do Rio Grande, MG",lojas_decoracao,2025-07-29T00:57:39.777430,COMPLETA
6,Padaria Casa Do Pao,ChIJ7yfHiJZjnwAR4mLR5juAv08,0x9f639688c727ef:0x4fbf803be6d162e2,5746452644311950050,/g/11g891bn8p,4.5,41,Padaria,Padaria,bakery,"Avenida 7 de Setembro, Piedade do Rio Grande - MG, 36227-000, Brasil",-21.468588699999998,-44.197424399999996,,,Fechado ⋅ Abre às 06:00,Fechado ⋅ Abre às 06:00,terça-feira: 06:00–19:30; quarta-feira: 06:00–19:30; quinta-feira: 06:00–19:30; sexta-feira: 06:00–19:30; sábado: 06:00–19:30; domingo: 06:00–12:00; segunda-feira: 06:00–19:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Tudo muito caprichado e saboroso""",https://lh3.googleusercontent.com/p/AF1QipPiobeTYE4NDTni-kVjFVUf0k5gMEzZtKkWfy2q=w92-h92-k-no,https://serpapi.com/images/url/v4ZFs3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkJmflBoS6Wri5xKSl6mbHZblFhaaZpBtmu7rWhVV4p0dnlZpVGhbbmmkmwHE2bp5-QCRCyFt,https://serpapi.com/search.json?data_id=0x9f639688c727ef%3A0x4fbf803be6d162e2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f639688c727ef%3A0x4fbf803be6d162e2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7yfHiJZjnwAR4mLR5juAv08,"Piedade do Rio Grande, MG",lojas_decoracao,2025-07-29T00:57:39.777430,COMPLETA
7,Piedade do Rio Grande,ChIJm-6I_7RjnwAR9nos7_Iojmc,0x9f63b4ff88ee9b:0x678e28f2ef2c7af6,7461946656459356918,/m/03gx4qs,,0,,,,"Minas Gerais, Brasil",-21.4684727,-44.196445,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrv24GWV2JWg6a4bTuDFJ71cZZg9n_AOkhy6dqGqgQHGFhU74t6AeoGB0QFPWhftoyYCm2HDPHLlfFx7r--Wpc6nxGeTXC4ahSmySD_4gzmfll3SOnvTjTb0oiuEijsdKL8kUA3=w122-h92-k-no,https://serpapi.com/images/url/jZCx_XicBcHhEoEwAADgJ5pYu5I7P1JahztcEf3pMmujtaUt5P08hLfxfb8vN6bVM8sS3B4xpZigvaYdUdJQaUZENRZrNSAaaMsPPI5k94QIZ0e4yphTokvah9HKnZA8Z54s_G3NB-f6wA-2j3HEDy4yjk8VXoz30S7jlVHDOWhgHO7ijaiit9sBkLXEkW9M01OASp40QxIWiH2aSgg72cpnek8vY3Xrl7e7vq430_rg2_PXBELAPQhqINUfgGRETQ,https://serpapi.com/search.json?data_id=0x9f63b4ff88ee9b%3A0x678e28f2ef2c7af6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f63b4ff88ee9b%3A0x678e28f2ef2c7af6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJm-6I_7RjnwAR9nos7_Iojmc,"Piedade do Rio Grande, MG",lojas_decoracao,2025-07-29T00:57:39.777430,COMPLETA
8,Decor Emporio,ChIJ78TVDmGFugARrTB5LTpJHqc,0xba85610ed5c4ef:0xa71e493a2d7930ad,12042142967855132845,/g/11sj2j5jlh,5,1,Loja de móveis,Loja de móveis,furniture_store,"R. Olímpia Rocha de Oliveira, 626 - PRIMAVERA I, Piedade de Caratinga - MG, 35325-000, Brasil",-19.7630987,-42.0829795,+55 33 99844-6763,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–19:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipO-BDOEhNhfIPnzUEUr7_nD2Dj1Xg60qN_dCowz=w80-h138-k-no,https://serpapi.com/images/url/upt5x3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngr-vk4u-a4ZeR5hmQVxXqGlpkHp_nYuSSZRiRbmZQ6Bef4pxfXmVbbmGgm2FobKGbrZuXDwCcICEa,https://serpapi.com/search.json?data_id=0xba85610ed5c4ef%3A0xa71e493a2d7930ad&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xba85610ed5c4ef%3A0xa71e493a2d7930ad&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ78TVDmGFugARrTB5LTpJHqc,"Piedade do Rio Grande, MG",lojas_decoracao,2025-07-29T00:57:39.777430,COMPLETA
1,Piedade do Rio Grande,ChIJ0cFTT5RjnwAR4SQzvnIxchQ,0x9f63944f53c1d1:0x14723172be3324e1,1473294396990629089,/g/1yw0_slr3,,0,,,,"MG, 36227-000, Brasil",-21.4684781,-44.1964469,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npBPGMdfuM29vbNeY9sQs-ia7jEwgFzElUdIxqvGIzCHwhXT0mGwqeLR5_NEG5Cb0bQJqIiozoqTKwsUKbrninAFInBO6B4WYJcbA4EGeefRDLsYB0ctE324G9trFdpN3LvMyTXjQ=w360-h270-k-no,https://serpapi.com/images/url/lbVPinicBcFRboIwGADgE1UaQA1L9gCsVBTYMJjJ02JLpThsgb_SjRPuCt5m3_f8k8YM8OI4vfRWrdZtLx4gJq6VEcqsuL477QCIAwInjAPpqyH6oHlzfeRuMLNC1AGUgLrL9kZsmyykPzXpzzjTdIl3Vp4rfKd2FNlx_VUQuo4ZZuV-TDu96LE6WDgd2KQ6FSapit43kf9Z7zkLfUKFuB7fMqgjzA3xXJ8GZkqaofCyOf-tzrfy1XobjKS7xegbKf0P3OpFpQ,https://serpapi.com/search.json?data_id=0x9f63944f53c1d1%3A0x14723172be3324e1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f63944f53c1d1%3A0x14723172be3324e1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ0cFTT5RjnwAR4SQzvnIxchQ,"Piedade do Rio Grande, MG",galerias_arte,2025-07-29T00:57:42.852270,COMPLETA
3,Loja da Neguinha,ChIJGzMRy4pjnwARsvXoY7rNpNs,0x9f638acb11331b:0xdba4cdba63e8f5b2,15827001190910588338,/g/11rxc47d64,4.9,14,Loja,Loja,store,"R. Jose Manoel Da Silva, 54 - Piedade Do Rio Grande, Piedade do Rio Grande - MG, 36227-000, Brasil",-21.4671661,-44.19822,+55 32 98470-3689,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–17:00; domingo: Fechado; segunda-feira: 08:00–18:30,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC",,,"""Comprei uma camiseta de presente 🎁para meu amigo Emanuel.""",https://lh3.googleusercontent.com/p/AF1QipN6xUzIXQJQSAWDDCHLosfijYkYQ7Khc0O2k_1c=w92-h92-k-no,https://serpapi.com/images/url/KtKqzXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ1YRWuUZEegVGOwY7uLi7OGTX5yWmRWZHRlo7p2RbOBvlB1vmGxbbmmkmwHE2bp5-QCCHSDT,https://serpapi.com/search.json?data_id=0x9f638acb11331b%3A0xdba4cdba63e8f5b2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f638acb11331b%3A0xdba4cdba63e8f5b2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJGzMRy4pjnwARsvXoY7rNpNs,"Piedade do Rio Grande, MG",lojas_souvenir,2025-07-29T00:57:45.911669,COMPLETA
1,C.A Studios,ChIJbwJHRwBjnwARgCHRTldPiSQ,0x9f63004747026f:0x24894f574ed12180,2632722693577843072,/g/11y2mw3gmv,5,1,Estúdio de ensaio,Estúdio de ensaio,rehearsa_studio,"Piedade do Rio Grande, MG, 36227-000, Brasil",-21.465364899999997,-44.1933608,,,,,,,,,,,,"""melhor lugar de ensaios""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqCPJdoXOwK5UZpW8NmzDQe030ryDoo6VrKRil-dzPBYX2SQ8JPYozchZyHF-kUlt_ji1tlEdMPD_WVsivDlJV7zUhSJZALBABoo_WQP5MSfeXg229SzdPWMv1_K6eUyER1OHO3=w80-h142-k-no,https://serpapi.com/images/url/f4mlOHicBcFLDoIwFADAE1X-iiYuQDAGRIqEj2xYQKVo5SGtGno_D-FtnPl9qRAj3ygKo8aiA-gYeXEyNTAIMohFAw-lGzlqOOKKs1tTc3jucNBCGX9CK6vGwj49pJcQ1VCn2QNY5lN47hlqJXYvpZ4mdoAvIBtazYc9umdM1LdeE8xvI-zVRc77t8eCfCUzmgaVc3QdF6AuEmxF6ZWUna6vU9niInprdbgk2eyftfgQG9uPrSKqmTq6owH-5P5EPw,https://serpapi.com/search.json?data_id=0x9f63004747026f%3A0x24894f574ed12180&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f63004747026f%3A0x24894f574ed12180&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJbwJHRwBjnwARgCHRTldPiSQ,"Piedade do Rio Grande, MG",estudios_arte,2025-07-29T00:57:48.985435,COMPLETA
