position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,LV Cestas e Presentes,ChIJ4_V-ajHxzJQRMdkmzuvT2I8,0x94ccf1316a7ef5e3:0x8fd8d3ebce26d931,10365267552122624305,/g/11vhyn_gcx,5,82,Loja de presentes,"Loja de presentes, Loja de Presentes",novelty_store,"Rua Maria José de Morais, 50 - Conj. Res. Araretama, Pindamonhangaba - SP, 12423-160, Brasil",-22.946697,-45.5034067,+55 12 99179-5595,https://instagram.com/lvcestas_presentes?igshid=amt2NmN0emZyejd5,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: Fechado; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noEodPl2cDBv0o43gpyg69NE6NA3CKXwVqkOj7tA5IJyfL6XNGbqZcRwAxTld3GhlQs15mKmB_70cLSj6uiL-FXjfXQhtNWtujvUP5TUUdvI7TME8NdzcBys0jqg0suJPq0NEGU=w96-h92-k-no,https://serpapi.com/images/url/4Z0OKHicBcHhEoEwAADgJ5pGWnLnR5EOmVB0_rizspnVylbJ83kJb-P7fl-mdaWmhiGYOaBSUpE3Kn8RWeq81AMiC4NWChAFlOHOHTYupS-zSIzIwmuhHJu06ilysI-wa843aXeqnztua9darft7iFIc3OoLOXTuOxaZGTCxV0Or2BTe1YYkPHLUPEKwTPk93TONz7rhbRJZcZJk7cqOt_4EZx_i9QrymkLVrKMaYj9IZp2DAHNG4AlK-QdbXkQk,https://serpapi.com/search.json?data_id=0x94ccf1316a7ef5e3%3A0x8fd8d3ebce26d931&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccf1316a7ef5e3%3A0x8fd8d3ebce26d931&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4_V-ajHxzJQRMdkmzuvT2I8,"Pindamonhangaba, MG",lojas_presentes,2025-07-29T01:01:12.138227,COMPLETA
2,BEM ME QUER PAPELARIA E PRESENTES,ChIJuZg5khfpzJQRcMFnBvqCymY,0x94cce917923998b9:0x66ca82fa0667c170,7406876547525099888,/g/11pkcyvgkn,4.6,130,Loja de presentes,"Loja de presentes, Artesanato, Armarinho, Papelaria",novelty_store,"Av. dos Lírios, 470 - Res. Vale das Acacias, Pindamonhangaba - SP, 12440-440, Brasil",-22.9076997,-45.3727854,+55 12 3637-5153,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq135bahYtTWnTylQs3S-P2mU3I3hzWS5qjMrzprdo4XxycVG-R3uVpNNxkBAQ-bgHTtAAS2C9OM4ObX4FkgT9ducqzPKZpu9F2ojPILZQBjLPnrogSa-9bYxs6NaT4P6mwdiAW=w163-h92-k-no,https://serpapi.com/images/url/i2q0anicBcFbjoIwFADQFV2JtJJ0Ej-qiY4ZxSIdUf-gkHZ4tIWWiOzPRbibOefzVt5b9xUErUILaYxsq9FVgzDaV9ovhOkCaR0IBy6gW6Kw7pdoVeTq7nmm-atNHEqBhd0vOiA1Z-mqr0_DbIfS4Nv0Etc9XNB4tXE8NRuaQCG_uac0DbfkfMLn4oZ3jeSkHEU_s5-HHckuNDU7HB_Jpj4yPRiZ5kCK--SiOOeYRd2z_KPZ-rmMECgSQgPa_APTxUSa,https://serpapi.com/search.json?data_id=0x94cce917923998b9%3A0x66ca82fa0667c170&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cce917923998b9%3A0x66ca82fa0667c170&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJuZg5khfpzJQRcMFnBvqCymY,"Pindamonhangaba, MG",lojas_presentes,2025-07-29T01:01:12.138227,COMPLETA
3,Jian presentes,ChIJoWz9xZ7xzJQRGeBjbSyUnYM,0x94ccf19ec5fd6ca1:0x839d942c6d63e019,9483899308846866457,/g/11fk1spd7v,3,2,Loja de presentes,Loja de presentes,novelty_store,"Pindamonhangaba, SP, 12422-580, Brasil",-22.9465581,-45.481547,,,,,,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,,,https://serpapi.com/search.json?data_id=0x94ccf19ec5fd6ca1%3A0x839d942c6d63e019&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccf19ec5fd6ca1%3A0x839d942c6d63e019&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJoWz9xZ7xzJQRGeBjbSyUnYM,"Pindamonhangaba, MG",lojas_presentes,2025-07-29T01:01:12.138227,COMPLETA
4,HD Presentes,ChIJi1TDOaPpzJQReMLFMISwmow,0x94cce9a339c3548b:0x8c9ab08430c5c278,10131604393523790456,/g/11pqhq__zz,4.7,7,Loja de presentes,Loja de presentes,novelty_store,"Rua Grécia, 421 - Res. Pasin, Pindamonhangaba - SP, 12445-660, Brasil",-22.884871399999998,-45.372302,+55 12 99726-7789,,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–18:00; quarta-feira: 10:00–18:00; quinta-feira: 10:00–18:00; sexta-feira: 10:00–18:00; sábado: 10:00–18:00; domingo: Fechado; segunda-feira: 10:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4no2gfZ5ClV24N69SxODgE3zYupxYni-I2XQC03Ll5lhj8y7jpLfo7Q8zNg8fVbSu7natLDuwzrsUUlGcU6hUR8bSZ3UdrMmwEJB4d68H_MeVG1VDXlctq4hbLnhnMjuEOYs9u4w=w122-h92-k-no,https://serpapi.com/images/url/Sqhuy3icBcFtDoIgAADQE5GFpNjWj1LXx7RWDpf9aUkKGYEJzPJ-HaLb9N7vy41p9cxxBHdHTCkmKqurjippKmlGVD0d1mpANdDOIgw4kgqy-jwNRQ7Rzguy9z5isTsUtn0X8g428HQIx24ipoI3-OM3bVIr_4CHHcN1XmbWl1eTRLYfOk2IWFHicXLEZXZ2ya1Ln328XaKbh9eXtMpXkzw6CWpeiJeJ5DJtbLwvdGBRP-8nEAIeQPAAUv0BrNFEsA,https://serpapi.com/search.json?data_id=0x94cce9a339c3548b%3A0x8c9ab08430c5c278&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cce9a339c3548b%3A0x8c9ab08430c5c278&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJi1TDOaPpzJQReMLFMISwmow,"Pindamonhangaba, MG",lojas_presentes,2025-07-29T01:01:12.138227,COMPLETA
5,Lojasmel Pindamonhagaba - Loja de Variedades,ChIJFR1j0uXxzJQRhwz7LFWd3y8,0x94ccf1e5d2631d15:0x2fdf9d552cfb0c87,3449648828741520519,/g/11lkcc_5r8,4.4,270,Loja de variedades,"Loja de variedades, Loja de produtos de beleza, Loja de produtos de papelaria, Loja de departamento, Loja de ferramentas, Loja de artigos domésticos, Loja de utensílios de cozinha, Loja de artigos para cama, mesa e banho, Loja de artigos para esportes ao ar livre, Loja de Brinquedos",variety_store,"R. Dep. Claro César, 152 - Centro, Pindamonhangaba - SP, 12400-220, Brasil",-22.924164299999997,-45.4622751,+55 11 91484-1000,https://www.lojasmel.com/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–15:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,"Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrwT3BZM2_kjVxaf1IVgof6p1Y4tnREAvxlySegDiMxzBlYtZtvM-A_xpQO-if4qH9FBKmOXpTkM8WRm5BfgRlJEv5tOyucdNED23PhlJq3SSgJ5A9mAmpimOjBtNZ8gwThQSw7=w122-h92-k-no,https://serpapi.com/images/url/2ktyqXicBcHdboIwGADQJ6qEAipLdtEqy8QgEwib3BiD0CL9034C7v18CN_Gc15PDmDsh-MI7s2Y1kw0d9vcaq2gUTCrtXSYsai2yDpkFXJf3cbCo1WCj_2lnE6tuymZbufGPfigsogMk3jkDVt3yfRPxQEqGBJEjpPZp6hr_et3-EW3Mv0zRZ8sfzMZ0JZlIo6GANLHvT7vojX2friIr16eszggoSTSdDK9UNhVSzYWfJ-Pi8_RxRjxEKMeKf0GMkxFdA,https://serpapi.com/search.json?data_id=0x94ccf1e5d2631d15%3A0x2fdf9d552cfb0c87&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccf1e5d2631d15%3A0x2fdf9d552cfb0c87&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFR1j0uXxzJQRhwz7LFWd3y8,"Pindamonhangaba, MG",lojas_presentes,2025-07-29T01:01:12.138227,COMPLETA
6,A Donzela - papelaria e presentes,ChIJ3R5Cu2zwzJQRhFB90R7X1LI,0x94ccf06cbb421edd:0xb2d4d71ed17d5084,12886160961177473156,/g/1th4bhxg,4.5,102,Papelaria,"Papelaria, Loja de presentes",stationery_store,"Av. Dr. Francisco Lessa Júnior, 1163 - Res. Campos Maia, Pindamonhangaba - SP, 12422-010, Brasil",-22.9381621,-45.469404499999996,+55 12 98127-7017,https://www.adonzela.com.br/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,Estacionamento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,"""Gosto de comprar lá , é a mais próxima pra mim, preço e atendimento bom.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrw-9hCbNfIgsc033UGXmHjQbS0IBDvUpP9YNNB9gm5GO-GONzrS9l7yJo8sHr0U85k2Ivh5UV8RpMevOBk8a32ixY7s2JljcdMov6RF0jkRjel7F7EM4vxtAeYsvQf_ylDsYjf=w122-h92-k-no,https://serpapi.com/images/url/gXTrZHicBcFLroIwFADQFVWwiNCXOBA_iAmgGIyMjNbSWgol3Fr17c9FuBvP-X6EMT38OY4S3ohrzRV7ABuo7gzrzIjq1uE9IAoInPmCiEk3PBERi2tWJxyo63llfGo3cn89uEm0tGW_I1WWRYS3fpyjOM_-hwNRwXurQ9gMbhn6DU6s8MtjWPQps3nUhBcP319VAHirJL2l2k6LtSubQjIVrINVOrEvM2cV2H19fqslVLKePccYI0EwalCnf1RnQ_o,https://serpapi.com/search.json?data_id=0x94ccf06cbb421edd%3A0xb2d4d71ed17d5084&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccf06cbb421edd%3A0xb2d4d71ed17d5084&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ3R5Cu2zwzJQRhFB90R7X1LI,"Pindamonhangaba, MG",lojas_presentes,2025-07-29T01:01:12.138227,COMPLETA
7,Casa Presentes,ChIJ6dXnbjzwzJQRnX3YX9W4Eic,0x94ccf03c6ee7d5e9:0x2712b8d55fd87d9d,2815515943635549597,/g/11fzfdy06l,3.6,14,Loja de Presentes,Loja de Presentes,gift_shop,"Centro, Pindamonhangaba - SP, 12400-480, Brasil",-22.925673699999997,-45.462695,,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–19:30; quarta-feira: 08:30–19:30; quinta-feira: 08:30–19:30; sexta-feira: 08:30–19:30; sábado: 08:30–17:00; domingo: 09:00–14:00; segunda-feira: 08:30–19:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""excelente atendimento e ótimos produtos,adoro comprar aq.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrwglCJ8YTLg956PZlrFXuizjC0KvFeWOszPk5X5bbnFMUrIXTzwL-cPkzv9mbAkVFDIDTFTy8feeaQb-7d_Hj3EGqaPFAREsfkQ8ZMPMeM0GoRLk7pTWGN4VRbZRxgtZDZ2OMu=w163-h92-k-no,https://serpapi.com/images/url/3v3cQnicBcFRkoIgAADQE5GVWdpMH46G264UOWy5_DThEhYGJpjl_TpEt-m996u0tjZzx6lKdyC0FhVvDW8KrSxXdlDoqyNqAwoDjBNGQTlRTSeq6Nv_I6kIvCmmVQPz9txfouHPHfL9xvRYernHmILot1nlpO9SUGDZ34MrC-UOxquYQPL0T5wftwzM_g9fF3eZ3I4YhtnSnOTWpwgjjoaJzlI5q8k-WU92GaPZQ1ga0_EGtYtuNHVBGYyBBEp_AO02RIc,https://serpapi.com/search.json?data_id=0x94ccf03c6ee7d5e9%3A0x2712b8d55fd87d9d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccf03c6ee7d5e9%3A0x2712b8d55fd87d9d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6dXnbjzwzJQRnX3YX9W4Eic,"Pindamonhangaba, MG",lojas_presentes,2025-07-29T01:01:12.138227,COMPLETA
8,FLORES E PRESENTES - FLORICULTURA HELIANTHUS,ChIJ4Zaf8ZPpzJQRL6bp_poO_HU,0x94cce993f19f96e1:0x75fc0e9afee9a62f,8501686255433131567,/g/11r3sgcz35,4.8,82,Floricultura,Floricultura,florist,"R. Dr. Monteiro César, 185 - loja 1 - Centro, Pindamonhangaba - SP, 12401-480, Brasil",-22.924289899999998,-45.460395,+55 12 99602-5637,https://wa.me/message/C2XRAFTD6TMDE1,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–14:00; domingo: Fechado; segunda-feira: 08:00–19:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipOL6lIH32UE0FMRg4e5gNU5576nCUKccbSWPb6A=w92-h92-k-no,https://serpapi.com/images/url/Zdzsk3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng72OW4-lhbBTqauDmG5Rukmqa7hdqampulucc6p2cnBQcHpBk5mhbbmmkmwHE2bp5-QBSaR-Q,https://serpapi.com/search.json?data_id=0x94cce993f19f96e1%3A0x75fc0e9afee9a62f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cce993f19f96e1%3A0x75fc0e9afee9a62f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4Zaf8ZPpzJQRL6bp_poO_HU,"Pindamonhangaba, MG",lojas_presentes,2025-07-29T01:01:12.138227,COMPLETA
9,Mg Presentes Personalizados,ChIJHYza4Fb4zJQRCrAasKdSFpo,0x94ccf856e0da8c1d:0x9a1652a7b01ab00a,11103152811496091658,/g/11f3r1msb7,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. Pindamonhangaba, 290 - Chacara do Visc., Taubaté - SP, 12050-810, Brasil",-23.0211148,-45.569770999999996,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=39_vmcbLhqYLc0aGwLmBkQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=357.37927&pitch=0&thumbfov=100,https://serpapi.com/images/url/RHS0gXicHc09DsIgGADQ27AJtI2pNSEmLi5dHJ2arxSByM9nQdDbeC1vo_EC733eJmdMe8ZSXpXKxaqK9qlc2iBQHaN2CtAmKqNnpWHZPPwcwLoDQoh2Ed0wFS_n0dwvo-RwqqM_3s5EzpN0VoUskoJVGqrrT1zjQjUmUsWOEyOGlrygim7b064f2p6gzdIITv7LNRbRcP4Fhvs5uQ,https://serpapi.com/search.json?data_id=0x94ccf856e0da8c1d%3A0x9a1652a7b01ab00a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccf856e0da8c1d%3A0x9a1652a7b01ab00a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJHYza4Fb4zJQRCrAasKdSFpo,"Pindamonhangaba, MG",lojas_presentes,2025-07-29T01:01:12.138227,COMPLETA
10,Dekora Artesanatos MDF Pinda,ChIJa9Siqz7wzJQRa3di12YyaTY,0x94ccf03eaba2d46b:0x36693266d762776b,3920720367884334955,/g/11f57kxcsp,4.7,47,Loja de materiais para artesanato,"Loja de materiais para artesanato, Loja de Presentes, Loja de artigos para festas, Loja de móveis rústicos",craft_store,"R. Dr. Gustavo de Godoy, 204 - Centro, Pindamonhangaba - SP, 12400-102, Brasil",-22.9263004,-45.4641537,+55 12 99124-9345,,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–18:00; quarta-feira: 10:00–18:00; quinta-feira: 10:00–18:00; sexta-feira: 10:00–18:00; sábado: 10:00–13:00; domingo: Fechado; segunda-feira: 10:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipOUZheyiKQyHRgYErCedkjTkyfiEupLAwpKXDc4=w163-h92-k-no,https://serpapi.com/images/url/mjCnfHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngHxqVkVqZ6R1Y6RGUHula5Jyakp0Vkl2ZlulaWuDjWF7gHeGSbGJbbmhmrJthaaSbrZuXDwDQaCJT,https://serpapi.com/search.json?data_id=0x94ccf03eaba2d46b%3A0x36693266d762776b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccf03eaba2d46b%3A0x36693266d762776b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJa9Siqz7wzJQRa3di12YyaTY,"Pindamonhangaba, MG",lojas_presentes,2025-07-29T01:01:12.138227,COMPLETA
