position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,BAZAR TEND TUDO,ChIJvYd5ViW6zJQRB3XZNmPAOSs,0x94ccba25567987bd:0x2b39c06336d97507,3114732149657924871,/g/1w0p6rfp,4.7,7,Loja de presentes,"Loja de presentes, Bazar, Loja de materiais para escritório, Loja de Brinquedos",novelty_store,"R. Cons Rodrigues Alves, 68 - Centro, Piquete - SP, 12620-000, Brasil",-22.608153599999998,-45.183871599999996,+55 12 3156-2043,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,,Compras na loja,,,https://lh3.googleusercontent.com/p/AF1QipORb_LNWZIA9dN0HjIaJhRJw9nRV2jVJ8fRsGFY=w97-h92-k-no,https://serpapi.com/images/url/2hGzHHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH5QU7-MXHuXpaJniZ-CR5ZnolRHkVW6ZFxRmlBXmZZEWVOzuFmlbbmmum2FppJutm5cPAHeCIJg,https://serpapi.com/search.json?data_id=0x94ccba25567987bd%3A0x2b39c06336d97507&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccba25567987bd%3A0x2b39c06336d97507&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJvYd5ViW6zJQRB3XZNmPAOSs,"Piquete, MG",lojas_presentes,2025-07-29T01:04:29.919915,COMPLETA
2,Floreart - Studio criativo,ChIJX2VoOAC7zJQRRZiV3weRk2U,0x94ccbb003868655f:0x65939107df959845,7319353282409109573,/g/11w8rp4rhr,5,7,Loja de Presentes,Loja de Presentes,gift_shop,"Rua Quintino Bocaiúva, 507, Piquete - SP, 12620-000, Brasil",-22.5996858,-45.18985,+55 12 97850-1177,http://floreart.lojavirtualnuvem.com.br/,Fechado ⋅ Abre às 13:30,Fechado ⋅ Abre às 13:30,terça-feira: 13:30–19:30; quarta-feira: 13:30–19:30; quinta-feira: 13:30–19:30; sexta-feira: 13:30–19:30; sábado: 08:30–14:30; domingo: Fechado; segunda-feira: 13:30–19:30,,,,Cartão de débito,,,"""Empresa atenciosa desde o primeiro contado até a entrega dos produtos.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npBhSiRQFT-wzfK1Zt7vCzyXG6z-wO-Z4zV-D_-FTNRjL1l_wE4GrXx1CKf-YYxV15gOfXNCIMasE_ys1wYI7kCSFdPIMWuhoqjYQRwtdEYr4o0eMoy_tYLJIR9sxIPm3oBSlg=w80-h142-k-no,https://serpapi.com/images/url/pZ1iD3icBcFbjoIwFADQFV2x2vGV-KEdMFXxAcah_pAJQqsiF2m1wPrchLvxnM9bGVPqiePkqt-RiDJPnzqtEixMWphOgndHlhoSDdqZsbGiRTlX4SXYewewbbYiJzN8sbaJFoMW7BZOtD3CbwzeYRNc1ySPrUsXVVQTtspAiPpIfuQ2izaM-__ajRtNrODDGwu98477f0-Fj6vYB9acXVFR7KY-NrER6yUPxrrmu3sf52Eup3bUBUVoD25Q4Bdm8URR,https://serpapi.com/search.json?data_id=0x94ccbb003868655f%3A0x65939107df959845&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccbb003868655f%3A0x65939107df959845&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJX2VoOAC7zJQRRZiV3weRk2U,"Piquete, MG",lojas_presentes,2025-07-29T01:04:29.919915,COMPLETA
3,Armarinhos Uchoas,ChIJVQUeMku6zJQRErGUoG6g7iA,0x94ccba4b321e0555:0x20eea06ea094b112,2373010450671776018,/g/11f3wrq1ny,4.3,35,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"237, Rua Capitão José de Brito, Piquete - SP, 12620-000, Brasil",-22.604721599999998,-45.186598599999996,+55 12 3156-4304,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Variedade de produtos""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrqRMs-aDQ9pAaM9i1wk-EZVi4l0DYe_lTSC4688msvqTOUg_9qVZkI_JXqXxz-nhhlPqTPVo1pygcxnZb4bdazTd6XTOuVJJS4TgiLU93SSC0BQwPET1j1PAwv2z-80HV40CDU=w163-h92-k-no,https://serpapi.com/images/url/XYTz3HicBcFBjoIwFADQE32h0hBqMgsGTJRoRCkNsiGIpEVqSy2Kw_08hLeZ974fMY6DXTmOFN6Ca81l-7Tto9FqbNW4aPTd4YOFxoJ1wogIrB7mtLdQx0cyhPWedGjqYV2yDks3PreVpFmE_SC425ehh5xXxLCy31ZJYYr3DEoImRqaMo2GP968VXnBl2s906tf0MOTJUmGKe92OfGyLHJ_j1O6puiG0nB6LWcI3A3DbhTnPxPyPRBkCT0o_Q_KBkO2,https://serpapi.com/search.json?data_id=0x94ccba4b321e0555%3A0x20eea06ea094b112&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccba4b321e0555%3A0x20eea06ea094b112&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJVQUeMku6zJQRErGUoG6g7iA,"Piquete, MG",lojas_presentes,2025-07-29T01:04:29.919915,COMPLETA
4,Papelaria 7 Cores,ChIJO7Nwnrm7zJQRM0MqJqtiIjA,0x94ccbbb99e70b33b:0x302262ab262a4333,3468443150247936819,/g/11lszn7frc,5,3,Papelaria,Papelaria,stationery_store,"Rua Major, R. Gen. Frutuoso Mendes, Número 20 - Estação, Piquete - SP, 12620-000, Brasil",-22.6151067,-45.177257999999995,,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: Fechado; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito","Retirada na loja, Compras na loja",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=CL6WYr0ypC-1-pcBdf-9nA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=258.97552&pitch=0&thumbfov=100,https://serpapi.com/images/url/bfh6v3icHc1LDsIgFADA27Dj0ybV1oQY7da9cWUoRSCh8ALPYm_jtbyNxgvMfN4OEcqB84LZGFy9qeBfJhQKitmUbDAKfGE6LXxtOLrnMkXlwxFUTH6W42V3vWWxwUgbCvo8P-gQT0RPdx28iSiLUVk7ZutPzGlmFgqpshfEyaElm6qy7Xo27LuuJeBROynIf3mkVTZCfAE6pTjV,https://serpapi.com/search.json?data_id=0x94ccbbb99e70b33b%3A0x302262ab262a4333&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccbbb99e70b33b%3A0x302262ab262a4333&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJO7Nwnrm7zJQRM0MqJqtiIjA,"Piquete, MG",lojas_presentes,2025-07-29T01:04:29.919915,COMPLETA
5,Papelaria e presentes martins,ChIJ4Wfbvw67zJQRBCrI_SjGndk,0x94ccbb0ebfdb67e1:0xd99dc628fdc82a04,15680907356932680196,/g/11q23whbnb,,0,Papelaria,Papelaria,stationery_store,"R Francisco Máximo Ferreira, 100 Vila Celeste - Piquete, SP CEP:, Piquete - SP, 12620-000, Brasil",-22.617746999999998,-45.1714462,,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: Fechado; domingo: Fechado; segunda-feira: 08:30–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=2YDYUhjp9DRBMF-B72hiYQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=346.24426&pitch=0&thumbfov=100,https://serpapi.com/images/url/OIw0qXicHc3BDcIgFADQbbgVKDbVmhCTpvHmQRMPPRmKCN_Q8lOw6Dau5TYaF3jv83YpYdwyFtNsTFrAZISn8bFARW0I1huFEKkOI1tKltxjHCYFfodqCnCVou_6s7tj053aw75o18JBfyR6uGgPZkoyGjVrR23-iXO4UouRZLnhxMlGkJfKclXVVFSVqAlC0k5y8l9uYZEl5181zDi9,https://serpapi.com/search.json?data_id=0x94ccbb0ebfdb67e1%3A0xd99dc628fdc82a04&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccbb0ebfdb67e1%3A0xd99dc628fdc82a04&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4Wfbvw67zJQRBCrI_SjGndk,"Piquete, MG",lojas_presentes,2025-07-29T01:04:29.919915,COMPLETA
6,Malô Personalizados,ChIJTwn_1Oe7zJQRYbws0Baot8Y,0x94ccbbe7d4ff094f:0xc6b7a816d02cbc61,14319098356183120993,/g/11vjcbnyxg,,0,Papelaria,Papelaria,stationery_store,"de castro pinto, R. Prof. Luís C Pinto - centro, Piquete - SP, 12620-000, Brasil",-22.6058363,-45.1835215,+55 12 99661-8664,,Fechado ⋅ Abre às 13:00,Fechado ⋅ Abre às 13:00,terça-feira: 13:00–20:00; quarta-feira: 13:00–20:00; quinta-feira: 13:00–20:00; sexta-feira: 13:00–20:00; sábado: 13:00–20:00; domingo: Fechado; segunda-feira: 13:00–20:00,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Fhu6_rIoxGU2E9bIL_kbJg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=43.246155&pitch=0&thumbfov=100,https://serpapi.com/images/url/HTFNRHicHc1RDoIgGADg2_AWoKnLtn8-VbP12rMDJGChMECx23StblPrAt_3eeuUfDwSElOQMq1GZm82aePOM6ycU1YybyIWbiJrQZJeJj4zYzvPZmdGOOulGULvtsu9PLW8vw1PflVI8EFYI-cEUbIgNFb5JwY3YuUjynCgSENbohfLUO1xWTVFXSNvktBA0X95uBUKSr937jmA,https://serpapi.com/search.json?data_id=0x94ccbbe7d4ff094f%3A0xc6b7a816d02cbc61&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccbbe7d4ff094f%3A0xc6b7a816d02cbc61&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJTwn_1Oe7zJQRYbws0Baot8Y,"Piquete, MG",lojas_presentes,2025-07-29T01:04:29.919915,COMPLETA
7,Papelaria Papel Picado,ChIJj-Kj2C-6zJQRHfJqWQDgXmQ,0x94ccba2fd8a3e28f:0x645ee000596af21d,7232464343708398109,/g/11sqndh6zp,,0,Loja de presentes,Loja de presentes,novelty_store,"Av. Luiz Arantes Júnior, Piquete - SP, 12620-000, Brasil",-22.6145408,-45.178983599999995,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=TVuUsE8xvlz64uru-U0Zcw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=191.92949&pitch=0&thumbfov=100,https://serpapi.com/images/url/2xtornicHc3NDcIgGADQbbiVn6YxxYR4cgPrwYuhFIGEFsLHT3Ua13IbjQu893nbnCMcCYGctM7V6Rbdrj10UWITgvFaRgdYhZVURrIt67xJ509RbsEt4nItE5zHvfrXYSipdBO9qYbUfFfe6S0L0DIpi037iSks2ERATYwUWcF79JRNMM4w7_nAUXRZWUHRf3mEKhilX51lOfg,https://serpapi.com/search.json?data_id=0x94ccba2fd8a3e28f%3A0x645ee000596af21d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccba2fd8a3e28f%3A0x645ee000596af21d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJj-Kj2C-6zJQRHfJqWQDgXmQ,"Piquete, MG",lojas_presentes,2025-07-29T01:04:29.919915,COMPLETA
8,O Boticário,ChIJRXdV_TO6zJQR-lmLbRkrhIA,0x94ccba33fd557745:0x80842b196d8b59fa,9260574121992608250,/g/11b6hn9cp4,4.6,25,Loja de produtos de beleza,"Loja de produtos de beleza, Loja de cosmético, Loja de Presentes, Perfumaria",beauty_supply_store,"R. Cons Rodrigues Alves, 13 - Centro, Piquete - SP, 12620-970, Brasil",-22.6087591,-45.183621099999996,,https://www.boticario.com.br/?utm_source=google&utm_medium=maps&utm_campaign=mirum13388,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–20:00; quarta-feira: 09:00–20:00; quinta-feira: 09:00–20:00; sexta-feira: 09:00–20:00; sábado: 09:00–13:30; domingo: Atendimento 24 horas; segunda-feira: 09:00–20:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrUMvJwzbqBfRvwgb8bhsS2lv8D3oI78_Foh1IE-lxLFsKgpsJ-CWmqgyxzdTO6iW9CGRkHBg5fPXFD9luaY6X27K2VpyvEi8uzqIopqSN_N5z0SZA6rBUVYCBe7uRuj_UvKR4Pag=w163-h92-k-no,https://serpapi.com/images/url/xHQb23icDctbFoFAAADQFY3onXN8KEXyOqUHPx0lMxhNNc2UNmgNdsP9v98PatuKTgUBI2kECYG4YLRoclK2RdmOcvISYEVBTgEV5paB5LIJt3zdDVlt3nzewUzPEA1EzPWFRFxNTx2CJq4NcL9xqPe_a2DFrxq---F63Kv32LCW_nNlQuV2SJyFgdnlpCai5olR9eb2XWdD7ZKqDnbpThnGwXmuNmYYnSyz0JjPHmnIPV8-XOCsm6gSQIYInqAkP7XVReI,https://serpapi.com/search.json?data_id=0x94ccba33fd557745%3A0x80842b196d8b59fa&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccba33fd557745%3A0x80842b196d8b59fa&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRXdV_TO6zJQR-lmLbRkrhIA,"Piquete, MG",lojas_presentes,2025-07-29T01:04:29.919915,COMPLETA
9,Lojas Regina,ChIJd19jHjO7zJQRqg3kfWBZ47w,0x94ccbb331e635f77:0xbce359607de40daa,13610820769807601066,/g/11nnvxd3v_,4.7,3,Loja de calçado,Loja de calçado,shoe_store,"Av. Conselheiro Rodrigues Alves, nº 92 - Centro Histórico de São Paulo, Piquete - SP, 12620-000, Brasil",-22.6070456,-45.184945299999995,+55 12 3156-1399,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0_LorEa2aT9xve1HGdEV2Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=36.258694&pitch=0&thumbfov=100,https://serpapi.com/images/url/Ld_LN3icHc3BDcIgFADQbbgJtGrTmhBPjR68mBivzS_9AgktBBDqNq7lNhoXeO_z1in5eGAspoCYssHizYo2bjxQ5ZyyCN5EKt3McsWSfs7jAsYePSzOTIIPFxd6qOHWrRmr82nq7_WVyHGQ1uCSREQIUlNVfmJwE1U-kiJaTrToavKCIrYNrfdt0-2IN0lqwcl_ebgsKs6_WNU5Kg,https://serpapi.com/search.json?data_id=0x94ccbb331e635f77%3A0xbce359607de40daa&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccbb331e635f77%3A0xbce359607de40daa&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJd19jHjO7zJQRqg3kfWBZ47w,"Piquete, MG",lojas_presentes,2025-07-29T01:04:29.919915,COMPLETA
10,AVL BRINQUEDOS & CIA,ChIJLZBdgV67zJQRny6C_jsHemA,0x94ccbb5e815d902d:0x607a073bfe822e9f,6951876929054191263,/g/11l2bjtfc5,,0,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. Dr. Gama Rodrigues - Vila Célia, Piquete - SP, 12620-000, Brasil",-22.606794999999998,-45.187412699999996,+55 12 98109-6785,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–20:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–20:00; sexta-feira: 08:00–20:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–20:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipMl7Dr4Gw1a8sjmbOy75pGNaAHA3UiCOp8EQuKb=w92-h92-k-no,https://serpapi.com/images/url/K36gxXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm2PuUmTiXm6YaFGclZvkX2luWuDul-jo4WgcmunsX2DhGljqnWRbbmmkmwHE2bp5-QB67CCh,https://serpapi.com/search.json?data_id=0x94ccbb5e815d902d%3A0x607a073bfe822e9f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccbb5e815d902d%3A0x607a073bfe822e9f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJLZBdgV67zJQRny6C_jsHemA,"Piquete, MG",lojas_presentes,2025-07-29T01:04:29.919915,COMPLETA
