position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Scalena Presentes,ChIJUc8pC-O9pgAR26xC-icz8QI,0xa6bde30b29cf51:0x2f13327fa42acdb,212006904258538715,/g/11k52b6myg,2.7,3,Loja de presentes,Loja de presentes,novelty_store,"Av. Visc. de Ibituruna, 90 - Barreiro, Belo Horizonte - MG, 30640-080, Brasil",-19.973250099999998,-44.016401699999996,,,Fechado ⋅ Abre às 06:00,Fechado ⋅ Abre às 06:00,terça-feira: 06:00–17:00; quarta-feira: 06:00–17:00; quinta-feira: 06:00–17:00; sexta-feira: 06:00–17:00; sábado: 06:00–17:00; domingo: 06:00–17:00; segunda-feira: 06:00–17:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Produto danificado""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=jwNMNrVfhWUG6nTlYzob-w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=285.8744&pitch=0&thumbfov=100,https://serpapi.com/images/url/qfR_G3icHc3NDcIgGADQbbgVaFO1mhCPnuzJn3gylH4FDAUCCOoyzuU2Ghd47_NWKfm4ISSmAJCyhuL1A0ysPMfSOWmAex2xcDPJNUnqPg-Wa7P13Do9slvp9304Tep83C3twVxebqgKEsNVGA02sQg8CIVl-YnBjVj6iArrKFJs3aAnL6zpFrhbtS3yOgnFKPonk8uspvQLbbQ53A,https://serpapi.com/search.json?data_id=0xa6bde30b29cf51%3A0x2f13327fa42acdb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bde30b29cf51%3A0x2f13327fa42acdb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJUc8pC-O9pgAR26xC-icz8QI,"Porto Estrela, MG",lojas_presentes,2025-07-29T01:17:34.907950,COMPLETA
2,Estrela Guia Presentes,ChIJnc3JUiWlrwAR6zUJSSeL5Eo,0xafa52552c9cd9d:0x4ae48b27490935eb,5396591254342022635,/g/11y3nncrt_,,0,Loja de variedades,Loja de variedades,variety_store,"240 Praça Monsenhor José Coelho Praça Monsenhor José Coelho, Centro, Sra. do Porto - MG, 39745-000, Brasil",-18.8930994,-43.0843985,+55 33 98821-6902,https://www.instagram.com/estrela_guiapresentes?igsh=MTd0NHgzNjd5bHF3OA==,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: Fechado; domingo: Fechado; segunda-feira: 08:00–17:00,,,,Cartão de débito,,,,https://lh3.googleusercontent.com/p/AF1QipNMyukdxZMbs8L5TNaMRpWuK8RGoe0jjmMck1kf=w92-h92-k-no,https://serpapi.com/images/url/NlciEHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng51tZmp1SEeWbVGzhYxril-gbVBBe6m0R5J6fapCVleubnG2YnWZbbmmkmwHE2bp5-QCeyiGt,https://serpapi.com/search.json?data_id=0xafa52552c9cd9d%3A0x4ae48b27490935eb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xafa52552c9cd9d%3A0x4ae48b27490935eb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJnc3JUiWlrwAR6zUJSSeL5Eo,"Porto Estrela, MG",lojas_presentes,2025-07-29T01:17:34.907950,COMPLETA
3,M.A Presentes,ChIJYx_F-d2TpgARXEVHGFoq9-A,0xa693ddf9c51f63:0xe0f72a5a1847455c,16210471950186136924,/g/11c2ppygnk,2,2,Loja de Presentes,Loja de Presentes,gift_shop,"R. Porto Seguro, 99 - Estrela Dalva, Contagem - MG, 32180-530, Brasil",-19.864843999999998,-44.0252292,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PQYP63S5OcAZ8ZHecpQhIg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=152.91461&pitch=0&thumbfov=100,https://serpapi.com/images/url/p6JpCnicHc1LDsIgFADA27CTT7VNa0KMO13ZxpXdGIpPIKHlpWDR23gtb6PxAjOft00J45axmGaAtDjI6J7g4woVNSEYDwpdpDqMbBEs2cc4TMr5HaopuJtsu0tbrc_lSe_7uj-Axs4eDdHDVXsHU5IR1KwtNfknzuFGDUaSZc2JlU1BXipLURa0EZtKEHRJW8nJf7mHRQrOv0r5OQg,https://serpapi.com/search.json?data_id=0xa693ddf9c51f63%3A0xe0f72a5a1847455c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa693ddf9c51f63%3A0xe0f72a5a1847455c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJYx_F-d2TpgARXEVHGFoq9-A,"Porto Estrela, MG",lojas_presentes,2025-07-29T01:17:34.907950,COMPLETA
1,Artesanato Estrela,ChIJLWqA3sK_iJQRG5Wq8uCc6Og,0x9488bfc2de806a2d:0xe8e89ce0f2aa951b,16782836501354026267,/g/11t9wpq6g9,3,2,Loja,Loja,store,"Prudêncio Thomaz, Rio Brilhante - MS, 79130-000, Brasil",-21.650672,-54.4220792,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PS0jlbDEMzNLYQpoSNDXuA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=279.7984&pitch=0&thumbfov=100,https://serpapi.com/images/url/S7M7PXicHc1RCsIgGADg2_iWugi2BRLBeqtR7KWewjlTw82f-W9Wl-lc3aboAt_3eVtEiGvGIo5a4-x0AvfQPi5AUhOC8VqCi1SFns0ZQzv17SCd34AcguvEseF331a7w6veX04Qmro6T1ui2qvyTg8oopajstSknziGjhqIJImCEyvKJXnKJJZ5SfOyWBFwqKzg5J_cwiwyzr8-FTlW,https://serpapi.com/search.json?data_id=0x9488bfc2de806a2d%3A0xe8e89ce0f2aa951b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9488bfc2de806a2d%3A0xe8e89ce0f2aa951b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJLWqA3sK_iJQRG5Wq8uCc6Og,"Porto Estrela, MG",lojas_artesanato,2025-07-29T01:17:37.957600,COMPLETA
2,Artesanato em argila,ChIJMY5iNwDDm5MR0I0xGXPuTws,0x939bc30037628e31:0xb4fee7319318dd0,815132235688676816,/g/11m660xqvg,,0,Ateliê de arte,Ateliê de arte,art_studio,"Porto Estrela - MT, 78398-000, Brasil",-15.583293999999999,-57.3195238,,,,,,,,,,,,,,,https://serpapi.com/search.json?data_id=0x939bc30037628e31%3A0xb4fee7319318dd0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x939bc30037628e31%3A0xb4fee7319318dd0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJMY5iNwDDm5MR0I0xGXPuTws,"Porto Estrela, MG",lojas_artesanato,2025-07-29T01:17:37.957600,COMPLETA
3,Ponto do Artesão,ChIJK6dG1vyZpgARy8mt5Dx2vGw,0xa699fcd646a72b:0x6cbc763ce4adc9cb,7835267455624530379,/g/1tfqh0rp,4.4,2059,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"R. Curitiba, 689 - Centro, Belo Horizonte - MG, 30170-121, Brasil",-19.918729,-43.941144,+55 31 3201-7051,http://www.pontodoartesao.com.br/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:30; domingo: Fechado; segunda-feira: 09:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""Lindas peças de artesanato e excelente atendimento e preço""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nombuBRQY9F6Cv9R1SdbW4UcsfgAXsAYc3yUWX3ol7Cagsk5q_pBoaeA0dkj0ebJIz0q1wlXZkZ-oP_AD2mFuWH3NAYyCK8jqO0nvh-8r3bk2GMXUD_PuwsGsmH2LMNsHbZ3VxlMZvrz4zq=w116-h92-k-no,https://serpapi.com/images/url/kPqqXXicBcFbcoIwFADQFUUeoVY604-Io9gWa-1QHj-MiTEZExLg8qjssQtwNz3n8Sf7voEXx9ESL4S1QvMBeMes6bnpF8zWjmgAMUDgkCiUgbE1HdanryLcLqMxPHnfF5oFKYOrIDmQguF7muXY6ufoLEA9tVWztmdO3Iu6uZy-7We39Sadl6pE9liRjV9vhyzGB1Lco_fVrf10zSjRqsNU-bskTzfVcZhgB3XsfyQHiGmJf351Uo7dHMzt6-R5SyRDHylk7D8N3Ueo,https://serpapi.com/search.json?data_id=0xa699fcd646a72b%3A0x6cbc763ce4adc9cb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa699fcd646a72b%3A0x6cbc763ce4adc9cb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJK6dG1vyZpgARy8mt5Dx2vGw,"Porto Estrela, MG",lojas_artesanato,2025-07-29T01:17:37.957600,COMPLETA
4,Minas Gesso Artesanato,ChIJQ9hD8OnHoQARRDiu2lqilro,0xa1c7e9f043d843:0xba96a25adaae3844,13445112248660801604,/g/11g8_85cbp,5,43,Artesanato,Artesanato,handicraft,"R. Ferroviário Amauri José, R. Ferroviari Amauri José Noronha, 20 - Recreio das Alterosas (Colônia do Marçal), São João del Rei - MG, 36302-122, Brasil",-21.1142102,-44.2340395,+55 32 3372-2761,http://www.minasgessoartesanato.com.br/,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,"terça-feira: 08:30–12:00, 13:30–17:00; quarta-feira: 08:30–12:00, 13:30–17:00; quinta-feira: 08:30–12:00, 13:30–17:00; sexta-feira: 08:30–12:00, 13:30–17:00; sábado: Fechado; domingo: Fechado; segunda-feira: 08:30–12:00, 13:30–17:00",,,,"Cartão de crédito, Cartão de débito",,,"""As peças são de qualidade e chegam MUITO bem embaladas !""",https://lh3.googleusercontent.com/p/AF1QipNEjwscS5NVSv3U6Xd5ufqdunr6qVitbq7Kl5Sh=w163-h92-k-no,https://serpapi.com/images/url/IrIz33icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng55pVXpwcbOoXFlxmHGoWkWJamlaYUppXZFYYllmSVGjunWManGFbbmhmrJthaaSbrZuXDwC_UyH6,https://serpapi.com/search.json?data_id=0xa1c7e9f043d843%3A0xba96a25adaae3844&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c7e9f043d843%3A0xba96a25adaae3844&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQ9hD8OnHoQARRDiu2lqilro,"Porto Estrela, MG",lojas_artesanato,2025-07-29T01:17:37.957600,COMPLETA
5,HGM Artesanatos,ChIJ6eITJQCloQARpPcKCuhhkcE,0xa1a5002513e2e9:0xc19161e80a0af7a4,13948037170171934628,/g/11y8fcrd2s,5,3,Artesanato,Artesanato,handicraft,"Av. Alfredo Penido, 1014 - Nossa Senhora da Penha, Resende Costa - MG, 36340-000, Brasil",-20.932056499999998,-44.2303669,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrNvh5U-Ggy81zB8ymIwGAZZijI_twf93A7MegZTFooPT35b1y3x3-XS5KllD0up57I5xiAIwcAIZEx9V_d1ZEvrFrtJ3b6MjdF2K3TPiF9aqg9gtzFFxe0n8c1VGP1louFsYVeerE7JR4=w80-h106-k-no,https://serpapi.com/images/url/ekYyfXicBcFRboMgAADQE1FllCpL9sE6MbTpYjZrNn6aljK0o-AAq_aMu8Bus_f-ftsY-_CYJKZFC-2cNmoIyktno7JxId010X0AMoCQ0DVpl9a_3lq8B6Wec3h_zucrH0sqRHfhhzh-EUSzndKiZs5VNcInOKMJgY93vDXmJR16nHE8dZSPknJRTKQ5nKEobp75uEGn1e5yZg9bVFcdI8cfTXS8Mzap1OYSNmUFjRtY-GyU8kW2eVs-jXkKWpiuwDew7h9nxEXL,https://serpapi.com/search.json?data_id=0xa1a5002513e2e9%3A0xc19161e80a0af7a4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1a5002513e2e9%3A0xc19161e80a0af7a4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6eITJQCloQARpPcKCuhhkcE,"Porto Estrela, MG",lojas_artesanato,2025-07-29T01:17:37.957600,COMPLETA
6,Estrelaser,ChIJNdA4o0hjHJURk8--u3785H0,0x951c6348a338d035:0x7de4fc7ebbbecf93,9071653170676944787,/g/11pcrzzcnz,4.6,7,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"R. Geraldo Pereira, 377 - Auxiliadora, Estrela - RS, 95880-000, Brasil",-29.5189444,-51.9581235,+55 51 99929-0782,https://g.page/r/CZPPvrt-_OR9EAE,Aberto ⋅ Fecha às 06:00 ⋅ Reabre às 08:00,Aberto ⋅ Fecha às 06:00 ⋅ Reabre às 08:00,"segunda-feira: 08:00–12:00, 13:30–00:00; terça-feira: 00:00–06:00, 08:00–12:00, 13:30–00:00; quarta-feira: 00:00–06:00, 08:00–12:00, 13:30–00:00; quinta-feira: 00:00–06:00, 08:00–12:00, 13:30–00:00; sexta-feira: 00:00–06:00, 08:00–12:00, 13:30–00:00; sábado: 00:00–06:00; domingo: Fechado",,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Um lugar cheio de magia com MTA variedade coisas  lindas""",https://lh3.googleusercontent.com/p/AF1QipNOksLqjE5cEsBBB0IR5acIRvU3koWIELfu6Zbs=w80-h106-k-no,https://serpapi.com/images/url/ftGz3nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng559d7FOY5Wqa7Frs5ORk4BlkmpjsGVQWapydH-7p6pNWahaVVGxbbmGgm2FoYKabrZuXDwCipyEb,https://serpapi.com/search.json?data_id=0x951c6348a338d035%3A0x7de4fc7ebbbecf93&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x951c6348a338d035%3A0x7de4fc7ebbbecf93&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJNdA4o0hjHJURk8--u3785H0,"Porto Estrela, MG",lojas_artesanato,2025-07-29T01:17:37.957600,COMPLETA
7,XZL Artesanato,ChIJd3zP11mZpgARkcrztA8473Y,0xa69959d7cf7c77:0x76ef380fb4f3ca91,8570130256020884113,/g/11sscg8ybb,4,45,Loja de materiais para artesanato,"Loja de materiais para artesanato, Loja de produtos de beleza, Loja de presentes",craft_store,"R. dos Tamóios, 466 - Centro, Belo Horizonte - MG, 30120-050, Brasil",-19.9198008,-43.94076,+55 31 98484-2032,https://www.instagram.com/xzlartesanato?igsh=MXZmZXYyb2JrN203Zg==,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:30; quarta-feira: 08:00–19:30; quinta-feira: 08:00–19:30; sexta-feira: 08:00–19:30; sábado: 08:00–16:00; domingo: Fechado; segunda-feira: 08:00–19:30,,,,"Cartão de crédito, Cartão de débito","Compras na loja, Serviços no local",,"""Selecionei um produto, a vendedora falou um preço, paguei e fui retirar.""",https://lh3.googleusercontent.com/p/AF1QipNXWWGio6Lxc0lBQ2IEe_tpH_jIq-GGoIh403fi=w80-h106-k-no,https://serpapi.com/images/url/iMENenicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngFxEe7p6Zb-ZTkWyQ4xRo5OmaGl9S4BGf5Vmo6-6e75lhYmCclmlbbmGgm2FoYKabrZuXDwChpSDp,https://serpapi.com/search.json?data_id=0xa69959d7cf7c77%3A0x76ef380fb4f3ca91&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69959d7cf7c77%3A0x76ef380fb4f3ca91&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJd3zP11mZpgARkcrztA8473Y,"Porto Estrela, MG",lojas_artesanato,2025-07-29T01:17:37.957600,COMPLETA
