position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Dri Presentes,ChIJ1-fJzqjDzJQRhLdTu5VriZs,0x94ccc3a8cec9e7d7:0x9b896b95bb53b784,11207607438525314948,/g/11sfp4ztlz,5,7,Loja,Loja,store,"R. Cruzeiro, Potim - SP, 12525-000, Brasil",-22.8311618,-45.2602899,+55 12 98260-5948,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–19:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Excelente 👏👏""",https://lh3.googleusercontent.com/p/AF1QipN-iETbMctA7CKJtVwCkoxpCBNfA4RvXzVxg9ix=w81-h92-k-no,https://serpapi.com/images/url/ZH_gJXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngp5vpGpLkm1ziaO7s7VUSVu6cnV9R4Ozkl-ZoElQWURVWkW6ZWWFbbmGom2FppJutm5cPAIymIXo,https://serpapi.com/search.json?data_id=0x94ccc3a8cec9e7d7%3A0x9b896b95bb53b784&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccc3a8cec9e7d7%3A0x9b896b95bb53b784&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ1-fJzqjDzJQRhLdTu5VriZs,"Potim, MG",lojas_presentes,2025-07-29T01:20:19.458375,COMPLETA
2,3Maria Presentes,ChIJ02jeVHjDzJQRv-hADYdUWwM,0x94ccc37854de68d3:0x35b54870d40e8bf,241879944014129343,/g/11h7pqm8rj,,0,Loja de presentes,"Loja de presentes, Loja",novelty_store,"R. José Camilo de Abreu, 41 - Frei Galvão, Potim - SP, 12525-000, Brasil",-22.8362169,-45.2522002,+55 12 98852-4934,,Fechado ⋅ Abre sex. às 09:00,Fechado ⋅ Abre sex. às 09:00,terça-feira: Fechado; quarta-feira: Fechado; quinta-feira: Fechado; sexta-feira: 09:00–17:00; sábado: Fechado; domingo: Fechado; segunda-feira: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipODPyQTP3GkHUysfsNS_qF05n3wrBnDgDPtzyWX=w92-h92-k-no,https://serpapi.com/images/url/KEnHInicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng7xJQGRgSYOye7RFaWZxW7BccX-hmYJpnXF7klOeS7hJQUlUZHmFbbmmkmwHE2bp5-QCSciGP,https://serpapi.com/search.json?data_id=0x94ccc37854de68d3%3A0x35b54870d40e8bf&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccc37854de68d3%3A0x35b54870d40e8bf&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ02jeVHjDzJQRv-hADYdUWwM,"Potim, MG",lojas_presentes,2025-07-29T01:20:19.459374,COMPLETA
3,"PauloPel Tecidos, Aviamentos, Máquinas, Sublimação, apliques em DTF Têxtil e Personalizações",ChIJxxDjaKrDzJQRuFhaFhMRNMk,0x94ccc3aa68e310c7:0xc9341113165a58b8,14498231874089539768,/g/1s04dwply,4.8,262,Loja de tecidos,"Loja de tecidos, Loja de aviamentos, Artesanato, Armarinho",fabric_store,"R. Manoel Francisco de Castro, 417 - Antiga Rua 16 - Chácara Tropical, Potim - SP, 12525-090, Brasil",-22.8401186,-45.257441899999996,+55 12 99607-4229,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 08:00–17:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Compras na loja, Serviços no local",,"""Perfeito o atendimento e temos muitas opções com qualidade e preço ótimo""",https://lh3.googleusercontent.com/p/AF1QipM6B4mNexAkxlM9hUuUibmyEtvggnjL6zMl27kr=w80-h106-k-no,https://serpapi.com/images/url/uh3V_3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga-ZkkuuXWuGYXZHja5kRWhqamZRb6VpSlp6el-VjVuWbY2SeXWRbbmGgm2FoYKabrZuXDwDCkSIl,https://serpapi.com/search.json?data_id=0x94ccc3aa68e310c7%3A0xc9341113165a58b8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccc3aa68e310c7%3A0xc9341113165a58b8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJxxDjaKrDzJQRuFhaFhMRNMk,"Potim, MG",lojas_presentes,2025-07-29T01:20:19.459374,COMPLETA
4,Comércio,ChIJmQxn5AXDzJQRVEl7_Q2ARPE,0x94ccc305e4670c99:0xf144800dfd7b4954,17385161259132602708,/g/1wbg0jc8,4,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. Padre Agenor Matias Pessoa, 602, Potim - SP, 12525-000, Brasil",-22.8348138,-45.2554571,+55 12 3112-2211,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: Fechado; domingo: Fechado; segunda-feira: 09:00–18:00,,,,Cartão de débito,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=80nYx0zsJ5mbZpt-pHbnuw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=60.435436&pitch=0&thumbfov=100,https://serpapi.com/images/url/EdNNa3icHc3dDcIgFEDhbXgrUPsTNSF9NW6gLwYoAgmFm3JbqtO4ltvYOMD5zvfjECGfGcs4G4OrNwX8ZkKuQFKbkg1Ggs9Up4mtNUO3TCpKHwaQMflRHHm8bfydr92k7oAVXFRcCtHqoYM3EUU2ctaO2rKLcxqphUzKnhEnTgfykkX0nLZN1zY9AY_aCU7-l2daRc35D5rqOfg,https://serpapi.com/search.json?data_id=0x94ccc305e4670c99%3A0xf144800dfd7b4954&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccc305e4670c99%3A0xf144800dfd7b4954&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJmQxn5AXDzJQRVEl7_Q2ARPE,"Potim, MG",lojas_presentes,2025-07-29T01:20:19.459374,COMPLETA
5,Risca & Decora,ChIJOQSO2FDDzJQR4Lacz7g2KjY,0x94ccc350d88e0439:0x362a36b8cf9cb6e0,3902992194454992608,/g/11j6yr934f,5,1,Papelaria,"Papelaria, Loja de presentes, Impressões",stationery_store,"Av. Adriano Galvão de Castro, 579, Potim - SP, 12525-294, Brasil",-22.837020499999998,-45.2556522,+55 12 99147-2930,,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–20:00; quarta-feira: 10:00–20:00; quinta-feira: 10:00–20:00; sexta-feira: 10:00–20:00; sábado: 10:00–18:00; domingo: Fechado; segunda-feira: 10:00–20:00,,,Assento com acessibilidade para pessoas em cadeira de rodas,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipNhyUaRCT8x4lWxSj5RbYk4LOEIFAl9_qjRIjPZ=w122-h92-k-no,https://serpapi.com/images/url/uY8YWHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl1EZmhjkHGJRYZITXhGcZRqUFJlt4uPv6unmmGMZX5gV5JkVEGVbbmhkpJthaaSbrZuXDwCr6SFA,https://serpapi.com/search.json?data_id=0x94ccc350d88e0439%3A0x362a36b8cf9cb6e0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccc350d88e0439%3A0x362a36b8cf9cb6e0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJOQSO2FDDzJQR4Lacz7g2KjY,"Potim, MG",lojas_presentes,2025-07-29T01:20:19.459374,COMPLETA
6,Maria Presentes,ChIJP79LeWfDzJQRTPdczQ4e8x8,0x94ccc367794bbf3f:0x1ff31e0ecd5cf74c,2302216883440252748,/g/11bzwmw0dn,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. Maestro Benedito Barreto, Aparecida - SP, 12570-000, Brasil",-22.848060699999998,-45.2311452,,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqVL3wfdAMSZPsabfsCn6d00OiIC0oZJAsbiU-CL7hS991bCKsLJhrBxZQLvA6k84c24_sqhLK5Pj7rZPUSpv1vPLREuKJFKU8S_-ibcyT3tUboXaAZVSHMt7haq8HxeZXcgK3B=w80-h106-k-no,https://serpapi.com/images/url/59r13HicBcHbboIwGADgJ6qUwTiY7KI2M0prhuswpjeGVqR4aIG_onvAPYRvs-97_Rnve5gHwdVEs9a59trcoRm1s76xfqbdLWh7QBoQBITmJrbDjkeP05FshCyhViegNjli_NWtKXayIKC6ClGeGpHnoaIMeGHGxVNu-USSSxbrt_gAg-HsvTynoywr0U_hVPLvzzsrlqzKxAF1Sv_-RL5Sbl8TuROrjU9NPWSrZyP3umXR4uORYWRCnKALsu4fcFZDkw,https://serpapi.com/search.json?data_id=0x94ccc367794bbf3f%3A0x1ff31e0ecd5cf74c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccc367794bbf3f%3A0x1ff31e0ecd5cf74c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJP79LeWfDzJQRTPdczQ4e8x8,"Potim, MG",lojas_presentes,2025-07-29T01:20:19.459374,COMPLETA
7,Maria'h Presentes,ChIJ7ReUXQ_DzJQRWz7zlqGs6zc,0x94ccc30f5d9417ed:0x37ebaca196f33e5b,4029504101635276379,/g/11krpg0rg1,,0,Loja de presentes,Loja de presentes,novelty_store,"Potim - SP, 12525-000, Brasil",-22.8428365,-45.2520707,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=F-7oSb0b7CqJu7ZWum1zyw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=125.36156&pitch=0&thumbfov=100,https://serpapi.com/images/url/fz2nwHicHc09DsIgGADQ27CVH01bNSEOJg6uDiYuBugnkNDyWWixnsZreRuNF3jv83Y5Y9oxlvIIkGcPBf0TQqpQURujDaDQJ2piz2bBspt6PSgf9qiG6Dt5rNp41ly3h8dpaq-XqRevpRCjbyZ4GLJMoEbjqC0_cYwdtZhIkRtOnNyuyKKKFKuarhtRNwR9Nk5y8l_ucZaC8y9sczl0,https://serpapi.com/search.json?data_id=0x94ccc30f5d9417ed%3A0x37ebaca196f33e5b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccc30f5d9417ed%3A0x37ebaca196f33e5b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7ReUXQ_DzJQRWz7zlqGs6zc,"Potim, MG",lojas_presentes,2025-07-29T01:20:19.459374,COMPLETA
8,Malu Papelaria Perfumaria Potim,ChIJm3_LpHTDzJQRP9-i1KnuTDo,0x94ccc374a4cb7f9b:0x3a4ceea9d4a2df3f,4200994965614157631,/g/11t86cqccj,5,1,Loja,Loja,store,"R. Manoel Francisco de Castro, 473 - JOAO NOGUEIRA, Potim - SP, 12525-000, Brasil",-22.8393424,-45.2582263,+55 12 99613-2876,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente atendimento e variedade em produtos de perfumaria e papelaria 😊""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqyaLRikG9x_PeYVi3RhEFqa1qZ5DkORMP_0bOeHkP5XVdOQmWMCjYbE1lBfZbMImvT5ZoQWLCqJ4QxDeXKBDTkwyaa3lTpCiq4BYKqHvDJus8iji61rvx1CnD08kL7XcXozlBt=w92-h92-k-no,https://serpapi.com/images/url/Mmk9HHicDcPbboIwAADQL0JEYBMTH0br5gXCJUSBFwPY0drSUlsR_L79hH8zT3Jef1jrXq1Mk2F71grRMnRX6NYIrhHXs0Z0Ztsro1GGMr-Ahx0upypICf3xxnOMiiOxU7z5lpUlSxfSKA3j87yO0JbGbn68REl3CsG1qDcW83_LOtx1Q-aWIjkFQO6dZIQoP_gwo4-pqmyW9YBIxy8OcjvA_V0tyZV8WLdhtACH8yUNPvMmF0_m6_XDWxj4nRpc_AOgnkS9,https://serpapi.com/search.json?data_id=0x94ccc374a4cb7f9b%3A0x3a4ceea9d4a2df3f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccc374a4cb7f9b%3A0x3a4ceea9d4a2df3f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJm3_LpHTDzJQRP9-i1KnuTDo,"Potim, MG",lojas_presentes,2025-07-29T01:20:19.459374,COMPLETA
9,Loja Naipe,ChIJT9H4RQ_DzJQRYNdUlF-IxAQ,0x94ccc30f45f8d14f:0x4c4885f9454d760,343549415678859104,/g/11b6_z_r7p,4.4,23,Loja de Roupa,"Loja de Roupa, Loja",clothing_store,"Rua Padre Firmino Dias Xavier, 64, Potim - SP, 12525-000, Brasil",-22.842405799999998,-45.251682599999995,+55 12 99625-0162,,Fechado ⋅ Abre às 09:30,Fechado ⋅ Abre às 09:30,terça-feira: 09:30–18:30; quarta-feira: 09:30–18:30; quinta-feira: 09:30–18:30; sexta-feira: 09:30–18:30; sábado: 09:30–17:00; domingo: Fechado; segunda-feira: 09:30–18:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja",,"""Preço e formas de pagamentos que cabem no nosso bolso .""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npulafxAmQR3r_WhaKSxS2qsBT7P8_cyp-LRvBb5hZ_qGsthld33AaWXgESw2QbsKGCmiSkexT4acU8vYE-nMWYMoR6XaJXLwanw92Cmt0Y4biAeWHiVAoq7dkbPgyoN04hXYI=w80-h106-k-no,https://serpapi.com/images/url/ppq8rHicBcFtDoIgAADQE5GmZtbWD3StL22lldofh0jgVNCgsPt1iW7Te78vU6qXS8NomT2hQtCWvCR5YsEV4WqCRWfQXgIsgTRgsGAO718teoywO8f2s0gZOiRjYg3Sv8xPXoE_PQjjt1_O2L0YNlKxtrJtiNKMrhNtnUt52ARdnTRkvDgIX713vgY8SvNIxG6G9lmoEdcLK-iUmTtlDUm6rW9QDPOqKU_0I46mw7J8t9KeCdjUdEEDuPgD-NVFIw,https://serpapi.com/search.json?data_id=0x94ccc30f45f8d14f%3A0x4c4885f9454d760&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccc30f45f8d14f%3A0x4c4885f9454d760&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJT9H4RQ_DzJQRYNdUlF-IxAQ,"Potim, MG",lojas_presentes,2025-07-29T01:20:19.459374,COMPLETA
10,Arneiro Store,ChIJF47TV27DzJQRL7k7ay48C2o,0x94ccc36e57d38e17:0x6a0b3c2e6b3bb92f,7641267362829416751,/g/11xcg0drwr,5,21,Loja de Roupa,Loja de Roupa,clothing_store,"Prç. Miguel Correa dos Ouros, 86 - Centro, Potim - SP, 12525-007, Brasil",-22.8432039,-45.2518308,+55 12 99721-3884,http://arneirostore.com/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja, Serviços no local",,"""Comprei um chinelo e um tênis e me foram entregues em perfeita ordem.""",https://lh3.googleusercontent.com/p/AF1QipO9Wgmv4unC3D-eBoonwzrTKKzmSZD6QWvKoJlo=w92-h92-k-no,https://serpapi.com/images/url/p22R9XicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngbxmenltmUprnbOyim-qUn59XXlUU4u1dlRsc5WIWGF7mne-Vk29bbmmkmwHE2bp5-QCaKiG-,https://serpapi.com/search.json?data_id=0x94ccc36e57d38e17%3A0x6a0b3c2e6b3bb92f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccc36e57d38e17%3A0x6a0b3c2e6b3bb92f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJF47TV27DzJQRL7k7ay48C2o,"Potim, MG",lojas_presentes,2025-07-29T01:20:19.459374,COMPLETA
