position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Tudo.Com Pouso Alto,ChIJ7xJVZy0dngARR-Nx-csrRAU,0x9e1d2d675512ef:0x5442bcbf971e347,379476423669310279,/g/11clt8bjx4,4.7,23,Papelaria,"Papelaria, Loja de Informática, Loja de eletrônicos",stationery_store,"Praça José Capistrano de Paiva, 01 - Centro, Pouso Alto - MG, 37468-000, Brasil",-22.195420799999997,-44.971688799999995,+55 35 99939-6682,https://www.instagram.com/tudo.com.pa,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPE5U2K51_ghIK5sXvHAwZPPJLpYCzbMCg3EA1r=w122-h92-k-no,https://serpapi.com/images/url/5gqVWnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4GoaauRtahifnuHpbVocUebhWB4VEODlUxDpXJXk65xu7OpoWGRbbmhkpJthaaSbrZuXDwCLLCB8,https://serpapi.com/search.json?data_id=0x9e1d2d675512ef%3A0x5442bcbf971e347&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e1d2d675512ef%3A0x5442bcbf971e347&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7xJVZy0dngARR-Nx-csrRAU,"Pouso Alto, MG",lojas_presentes,2025-07-29T01:23:07.512216,COMPLETA
2,Loja PONTO SEM NÓ Pouso Alto,ChIJB3XdLc0CngARV303GBuHops,0x9e02cd2ddd7507:0x9ba2871b18377d57,11214674572546112855,/g/11b7hw5rjv,5,2,Loja,Loja,store,"Av. Fernando Petronilho, 180 - Centro, Pouso Alto - MG, 37468-000, Brasil",-22.1962035,-44.973705599999995,+55 35 98821-9120,https://www.facebook.com/lojapontosemno,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,"terça-feira: 09:00–12:00, 13:00–18:00; quarta-feira: 09:00–12:00, 13:00–18:00; quinta-feira: 09:00–12:00, 13:00–18:00; sexta-feira: 09:00–12:00, 13:00–18:00; sábado: 09:00–12:00; domingo: Fechado; segunda-feira: 09:00–12:00, 13:00–18:00",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento muito bom, diversidade de produtos e preço justo.""",https://lh3.googleusercontent.com/p/AF1QipOc7CxiuNvMyBHKLjDA7gLWfAufOFVfYKWzsBdE=w80-h106-k-no,https://serpapi.com/images/url/v1Mo9nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn2zuXJFZ6lfmW-nk4e2T5eJonu4TnuZYmubvFpYW6R1eVeyU4mpbbmGgm2FoYKabrZuXDwCw2SF5,https://serpapi.com/search.json?data_id=0x9e02cd2ddd7507%3A0x9ba2871b18377d57&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e02cd2ddd7507%3A0x9ba2871b18377d57&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJB3XdLc0CngARV303GBuHops,"Pouso Alto, MG",lojas_presentes,2025-07-29T01:23:07.512216,COMPLETA
3,Casa Fonseca presentes e conforto,ChIJTW1IVbIdngARCVVTzdij-gg,0x9e1db255486d4d:0x8faa3d8cd535509,647009648034141449,/g/11x6dp873t,,0,Loja de presentes,Loja de presentes,novelty_store,"Av. Paulino Vito Nogueira, 44 - Centro, Pouso Alto - MG, 37468-000, Brasil",-22.1950838,-44.972843999999995,+55 35 99874-3699,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–12:00; domingo: Fechado; segunda-feira: 09:00–17:00,,,,,,,,https://lh3.googleusercontent.com/p/AF1QipNb9lZw0MI3MM_c9YV41jA4e1GRdlSNnSvzl6DH=w163-h92-k-no,https://serpapi.com/images/url/OL_JA3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl2SZE1Vu4Otp7Osbn2wZGWZimOVokmroHpSSE-yXF1xWlWPm4mFbbmhmrJthaaSbrZuXDwCQRCCi,https://serpapi.com/search.json?data_id=0x9e1db255486d4d%3A0x8faa3d8cd535509&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e1db255486d4d%3A0x8faa3d8cd535509&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJTW1IVbIdngARCVVTzdij-gg,"Pouso Alto, MG",lojas_presentes,2025-07-29T01:23:07.512216,COMPLETA
4,Alegria Embala Fest,ChIJJ4dKTnoDngARRW3G8lifmH4,0x9e037a4e4a8727:0x7e989f58f2c66d45,9122216249617968453,/g/11vb88km3c,5,1,Loja de embalagens para presente,Loja de embalagens para presente,gift_wrap_store,"BR-354, N° 422 - Pouso Alto, MG, 37468-000, Brasil",-22.1965877,-44.9740688,+55 21 96440-2509,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,Cartão de débito,,,,https://lh3.googleusercontent.com/p/AF1QipOfkAP3DCMvEDPoZ1m4bBFEavx3Og_LVsX-J_k=w80-h106-k-no,https://serpapi.com/images/url/P5_UfXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn5btGGDs4uxb5uoSkB9lmGuS5OTmmlhWYeyfHu8TVhyh6xWfbVtuYaCbYWhgpputm5cPAHcxIIs,https://serpapi.com/search.json?data_id=0x9e037a4e4a8727%3A0x7e989f58f2c66d45&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e037a4e4a8727%3A0x7e989f58f2c66d45&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJ4dKTnoDngARRW3G8lifmH4,"Pouso Alto, MG",lojas_presentes,2025-07-29T01:23:07.512216,COMPLETA
1,Palha vip Artesanato,ChIJB20OiJkdngARo7E4pHDcgOs,0x9e1d99880e6d07:0xeb80dc70a438b1a3,16969805772281655715,/g/11vht7sw1z,5,1,Artesanato,Artesanato,handicraft,"BR-354, 798 - Pouso Alto, MG, 37468-000, Brasil",-22.1940572,-44.9754636,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Um local excelente para quem gosta de artesanato.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=ls9B_YSQm8zaFIcRpTnghQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=246.4781&pitch=0&thumbfov=100,https://serpapi.com/images/url/QbxZY3icHc1LCsIwFADA22RnkpairRAEF4LLqhtXJU1jEsjn0Twb9TKey9soXmDm87aIkLeMZZy1xsXpAu6hfV6BpCYl47UEl6lKgS0VQ3sPY5TO70DG5Cbhc7cfruc-tC95OKoTXKKxPVHjoLzTEUXWclaWmvIT5zRRA5kU0XJiRVeTpyyibta02bQVAYfKCk7-yS0touL8C1qhOaM,https://serpapi.com/search.json?data_id=0x9e1d99880e6d07%3A0xeb80dc70a438b1a3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e1d99880e6d07%3A0xeb80dc70a438b1a3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJB20OiJkdngARo7E4pHDcgOs,"Pouso Alto, MG",lojas_artesanato,2025-07-29T01:23:10.565842,COMPLETA
2,Boutique de Minas,ChIJnRpjFTMdngAR9KhQ5NtgQCk,0x9e1d3315631a9d:0x294060dbe450a8f4,2972482251609123060,/g/11bzx7221v,4.3,2649,Artesanato,"Artesanato, Doceria, Laticínios, Lanchonete, Restaurante",handicraft,"BR-354, 709 - Centro, Pouso Alto - MG, 37468-000, Brasil",-22.1941664,-44.9754411,+55 35 3364-1474,https://boutiquedeminas.shop/,Aberto 24 horas,Aberto 24 horas,terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas; segunda-feira: Atendimento 24 horas,$$,,"Assento com acessibilidade para pessoas em cadeira de rodas, Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Alelo, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC, Vale refeição","Entrega sem contato, Entrega, Para viagem, Refeição no local",,"""Lugar com muitas opções de comidas,bebidas e lembrancinhas.""",https://lh3.googleusercontent.com/p/AF1QipMguA-0w6zqvJDcgztqOZ0D4PFyPt7kMdYCoBaq=w80-h106-k-no,https://serpapi.com/images/url/zWg-ZnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm17qqGtQblZVWOblkpxeVVLoH2XgYhLgVhlQYp7tmxLpnO-UWGhbbmGgm2FoYKabrZuXDwC0hSGY,https://serpapi.com/search.json?data_id=0x9e1d3315631a9d%3A0x294060dbe450a8f4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e1d3315631a9d%3A0x294060dbe450a8f4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJnRpjFTMdngAR9KhQ5NtgQCk,"Pouso Alto, MG",lojas_artesanato,2025-07-29T01:23:10.565842,COMPLETA
4,Artesanato Santos,ChIJj_v2UyIDngARt-MG6Lvck3Q,0x9e032253f6fb8f:0x7493dcbbe806e3b7,8400300429585867703,/g/11w3639hh9,,0,Artesanato,Artesanato,handicraft,"BR-354 - *269, Pouso Alto - MG, 37468-000, Brasil",-22.1975655,-44.973178399999995,+55 35 99891-9898,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: 08:00–18:00; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipP6HCsI9ClrSpQ2nPSGqvsBjYN2rAUHBF2glZLz=w80-h142-k-no,https://serpapi.com/images/url/sjkVuXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYObhXOxp6ZxTFFwQaJQXEOxeWFbslBXpZ1TkGOrh5GaUnhPlU2VbbmGgm2FoYqSbrZuXDwChCyEX,https://serpapi.com/search.json?data_id=0x9e032253f6fb8f%3A0x7493dcbbe806e3b7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e032253f6fb8f%3A0x7493dcbbe806e3b7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJj_v2UyIDngARt-MG6Lvck3Q,"Pouso Alto, MG",lojas_artesanato,2025-07-29T01:23:10.565842,COMPLETA
5,Empório e Cachaçaria Paraíso Pouso Alto,ChIJle7oZ80CngARba1HX4TLVic,0x9e02cd67e8ee95:0x2756cb845f47ad6d,2834676784870960493,/g/1vh_9lyt,4.4,859,Artesanato,"Artesanato, Doceria, Loja de frios, Loja de queijos, Loja de bebidas, Lanchonete",handicraft,"R. Barão do Pouso Alto, 1184 - Pouso Alto, MG, 37468-000, Brasil",-22.185370199999998,-44.9759558,+55 35 99775-4012,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: 08:00–18:00; segunda-feira: 08:00–18:00,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Banheiro com acessibilidade para pessoas em cadeira de rodas, Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,"""Grande variedade de produtos artesanais, além da melhor cachaça da região""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nozhCQ_PdEwEyj6K984pRhYgqhjwQ4bBK2gpuMnPeEofVBkYk-uN1oUuX5f5yGvoWQHkq0bw7RNlXoooLYIyA_bAb8W1OOvXswqDFxPWCOnsF3ZxLkblPLXzkpG_kVpNm3P4y8l=w163-h92-k-no,https://serpapi.com/images/url/R1WJ23icBcFbjoIwFADQFVUGQQUTP5DBR0QoJvKYH5Iy2MbW3mLBivtzEe7Gcz5v1vdKLy1LMGdCAahoB93eG5B9K_tJAzeLKo0ajbQVhD5zJbxYmNX4PzLReJ0ffM9VJ1bRjl1N5pL1YUrVcJS4jeCSr3nF0ZDYcB7K2WU2bh9QZDve_RCzOCWiBIC42o9BTQLiFXaaPkptut_NExdhKvXG-XvGnAgcly-utjXPVXJzsDt6YmXsuYOYP0UcSfgCVFRGQA,https://serpapi.com/search.json?data_id=0x9e02cd67e8ee95%3A0x2756cb845f47ad6d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e02cd67e8ee95%3A0x2756cb845f47ad6d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJle7oZ80CngARba1HX4TLVic,"Pouso Alto, MG",lojas_artesanato,2025-07-29T01:23:10.566839,COMPLETA
6,Casa do Artesão de Pouso Alto - MG,ChIJ3ws3BbYDngAReMCpBsFyX58,0x9e03b605370bdf:0x9f5f72c106a9c078,11484023748184096888,/g/11xg423m6n,,0,Central de artesanato,Central de artesanato,chamber_of_handicrafts,"BR-354, 375 - Centro, Pouso Alto - MG, 37468-000, Brasil",-22.1964683,-44.975003799999996,,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–17:00; domingo: 09:00–17:00; segunda-feira: 09:00–17:00,,,,,,,,https://lh3.googleusercontent.com/p/AF1QipOKjiuE_AKu67QHFKOrj3LV8Rooh9g0S8cV9DKx=w80-h106-k-no,https://serpapi.com/images/url/iTfXcHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng752VWeoa7-hdamYe6OHm7V-UZewTZhGUn59hmW4QbJEcZuniXWFbbmGgm2FoYKabrZuXDwCawCC4,https://serpapi.com/search.json?data_id=0x9e03b605370bdf%3A0x9f5f72c106a9c078&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e03b605370bdf%3A0x9f5f72c106a9c078&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ3ws3BbYDngAReMCpBsFyX58,"Pouso Alto, MG",lojas_artesanato,2025-07-29T01:23:10.566839,COMPLETA
1,Pau Brasil Móveis Rústicos,ChIJs3j2goMDngARkkURi3hWD3s,0x9e038382f678b3:0x7b0f56788b114592,8867401267045025170,/g/11cknc8rts,4.4,9,Loja de móveis rústicos,"Loja de móveis rústicos, Loja de móveis",rustic_furniture_store,"BR-354, 177 - Centro, Pouso Alto - MG, 37468-000, Brasil",-22.2519904,-44.932249,+55 35 98861-1752,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:30–18:00; domingo: 08:30–18:00; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrOifHfMIQEA-FR7ST17GaL4NoiFPnVTl_8xkv79Mf-EC6q0GIv-6H4SrgcuNThrVKMQe6lZJUvbHB9AxYepZdhd_TDulERn74j4veHxUA6daWgpaEK8f-iZIMVOYEmoFrBPH8V=w122-h92-k-no,https://serpapi.com/images/url/g4SUnHicBcFbcoIwFADQFV1RzPBwph9oA6GKT6QjPwxCSKgxoQkgG3QR3U3P-Xvzvu_MyrIEX86YUkzQwVBdKdlT2c8q9bRYZ6AyYKxg43Mk9aFtSJPEJxxAeHYv6cKNyh3aqzY8yiwVhTc9RtdPGsAb53cexSM4BF00q4Z9ynW2TU7UEfnXdbyTtR9MN9rlNa-L9HMQ-Cxd9INGSqZr4NTlN-tKvPUaaPM4yQ43_FShXh-Jl328FrYN3LfhAVL9A0GxQ0E,https://serpapi.com/search.json?data_id=0x9e038382f678b3%3A0x7b0f56788b114592&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9e038382f678b3%3A0x7b0f56788b114592&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJs3j2goMDngARkkURi3hWD3s,"Pouso Alto, MG",lojas_decoracao,2025-07-29T01:23:13.632210,COMPLETA
