position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,CARINH PRESENTES,ChIJfWbsEjUnrwARD1HdXr_QDQ4,0xaf273512ec667d:0xe0dd0bf5edd510f,1012695011577123087,/g/11y7525b48,,0,,,,"Av. Nossa Sra. das Dores, 44 - Pres. Kubitschek, MG, 39135-000, Brasil",-18.614236,-43.5624106,,,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3Oo6DzLsIRgWAIYTWSA_lA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=288.6894&pitch=0&thumbfov=100,https://serpapi.com/images/url/cgjPZnicHc1RCsIgGADg2_iWuhXDBRJCL4MgqGD0NJz7U8FNmTary3SublN0ge_7vE1KIW4JiWkGSIuFHOwDXFwFibX32oEMNmLlR7IUJJn72E_Sul2Qk7cDXx99tX8dYnPSrWiul_YsOieQ6jvlLEyJR5CzMljnnzj7AesQUeaMIsPrEj1l5iVjuGL1BgWblOEU_ZObX3hB6Rcm2DkP,https://serpapi.com/search.json?data_id=0xaf273512ec667d%3A0xe0dd0bf5edd510f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf273512ec667d%3A0xe0dd0bf5edd510f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfWbsEjUnrwARD1HdXr_QDQ4,"Presidente Kubitschek, MG",lojas_presentes,2025-07-29T01:31:54.911832,COMPLETA
2,Mercearia Yviturui,ChIJ6wz6_TQnrwAR2XsUjZiStKQ,0xaf2734fdfa0ceb:0xa4b492988d147bd9,11868272101927713753,/g/11csrgpj99,4.5,42,Supermercado,Supermercado,supermarket,"R. Pouso Alto, 94-190, Pres. Kubitschek - MG, 39135-000, Brasil",-18.6152291,-43.562748899999995,+55 38 99924-2569,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–16:00; domingo: 08:00–12:00; segunda-feira: 08:00–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega sem contato, Entrega",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=4ftXyyt3cqfdwVrLJNP5iw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=147.99207&pitch=0&thumbfov=100,https://serpapi.com/images/url/a2FkOXicHc1BDsIgEADA33ATqNbUmhDvxhhPxpuhdAub0IKwFvsbv-VvNH5g5vN2RDHvhciUAGhGKBFf4PMqam5DsB50xMxNGMVcCXLPsZs0-kPUU8Be1QPdloU25jH05ZpOx_Nli4WZ7m48wkQqg07GcVt-Ygo9tzGzonaSOdWu2aKLquqGt-1aNiwiGack-y9DmFUl5RezoTo0,https://serpapi.com/search.json?data_id=0xaf2734fdfa0ceb%3A0xa4b492988d147bd9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf2734fdfa0ceb%3A0xa4b492988d147bd9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6wz6_TQnrwAR2XsUjZiStKQ,"Presidente Kubitschek, MG",lojas_presentes,2025-07-29T01:31:54.911832,COMPLETA
3,Damas Presentes,ChIJ4dL_WPWTpgARma4gYJq6ItE,0xa693f558ffd2e1:0xd122ba9a6020ae99,15069812475335585433,/g/11gr2k2hp8,5,6,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"R. Cidade de Minas, 967 - Lj B - Carajás, Contagem - MG, 32183-240, Brasil",-19.8590131,-44.034897199999996,+55 31 97123-9638,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–19:30; quarta-feira: 08:30–19:30; quinta-feira: 08:30–19:30; sexta-feira: 08:30–19:30; sábado: 08:30–19:30; domingo: Fechado; segunda-feira: 08:30–19:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMQIPWFy7FK0V7EAb29abGgq_8wX6CaDewpUChP=w153-h92-k-no,https://serpapi.com/images/url/azYh23icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG-gZEO5Wae7mbRBm7uqYZGSZmOSeXhhvUR5h5pzoklpeEOqcEWBbbmhqrJthaaSbrZuXDwCLnCCi,https://serpapi.com/search.json?data_id=0xa693f558ffd2e1%3A0xd122ba9a6020ae99&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa693f558ffd2e1%3A0xd122ba9a6020ae99&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4dL_WPWTpgARma4gYJq6ItE,"Presidente Kubitschek, MG",lojas_presentes,2025-07-29T01:31:54.911832,COMPLETA
4,Cestas de Café da Manhã Verde Flora,ChIJ1f4X313o0kkRgk4sy50xXTM,0x49d2e85ddf17fed5:0x335d319dcb2c4e82,3701169022556720770,/g/11kj59p_p3,5,2,Loja de cestas de presente,"Loja de cestas de presente, Service establishment",gift_basket_store,,-18.907044499999998,-43.398644999999995,+55 31 98437-3573,https://instagram.com/verdeflora.cmd?igshid=ZDdkNTZiNTM=,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–17:00; domingo: Fechado; segunda-feira: 09:00–17:00,,,,Aceita somente dinheiro,Entrega,,,https://lh3.googleusercontent.com/p/AF1QipP4A_SsS4oJZmoFKTsWw8CPqCCR4vnsVsU83a9t=w80-h142-k-no,https://serpapi.com/images/url/HK9LUXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYOIYH1wcbJLvFZWb7-YdUhxebuEcUOjsHGRSllccVhxqYZxoWWJbbmGgm2FoYqSbrZuXDwCmUCEy,https://serpapi.com/search.json?data_id=0x49d2e85ddf17fed5%3A0x335d319dcb2c4e82&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x49d2e85ddf17fed5%3A0x335d319dcb2c4e82&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ1f4X313o0kkRgk4sy50xXTM,"Presidente Kubitschek, MG",lojas_presentes,2025-07-29T01:31:54.911832,COMPLETA
5,President Kubistchek - Comercial Campos,ChIJw347WzUnrwARbx7RujlfgE4,0xaf27355b3b7ec3:0x4e805f39bad11e6f,5656625833529384559,/g/11c0rhj13p,4.6,46,Supermercado,Supermercado,supermarket,"R. Primeiro de Março, 370-422, Pres. Kubitschek - MG, 39135-000, Brasil",-18.613796999999998,-43.561482999999996,+55 38 3545-1278,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: 08:00–19:00; segunda-feira: 08:00–19:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqtroisqvN530_LL0ppLrVLLyxbRVugzWAawCDFQSE5DIMAAm02GdjyiMR3EZZLDhRufdMmwKvUgXC-nVpRRUXcsGsajifETNhGx55zKTFiqHJpaBZs2ZNlbo1FPOEVzyN4tHGh=w163-h92-k-no,https://serpapi.com/images/url/dpRlVnicBcFZroIwFADQFVUQxEQTP5DJoaD2KRp-DCK2KLSFW0TY31uEu_Gc7z9TSsJc00pmjqgQtMxbyJtMcJVzNcpEpVEJKAMEmu3M2ITXqhEF1O_IMvUrxrqUuIkx7j83Erd0ONtp57j-4c-z3HVo25VuBPdnX4TE9JIEu4y0j3tYddv3iV4cxGNJyOmSQQDps3h4x4gFH8satke_qFcbmS4TMJKovImxv9958dBHE7UK2KIbT03EZgZ6IS5-LetFeQ,https://serpapi.com/search.json?data_id=0xaf27355b3b7ec3%3A0x4e805f39bad11e6f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf27355b3b7ec3%3A0x4e805f39bad11e6f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJw347WzUnrwARbx7RujlfgE4,"Presidente Kubitschek, MG",lojas_presentes,2025-07-29T01:31:54.911832,COMPLETA
6,Link Presentes e Utilidades,ChIJoTQ1y-jTrgARHGA-TBMNnVw,0xaed3e8cb3534a1:0x5c9d0d134c3e601c,6673504599367639068,/g/11v9z8hv_2,,0,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Juscelino Kubitschek, 913, Gouveia - MG, 39120-000, Brasil",-18.457093699999998,-43.741953099999996,+55 38 99935-2629,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_CTaQahEPNIBBNYJ4KnDsQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=101.925224&pitch=0&thumbfov=100,https://serpapi.com/images/url/xpWwz3icHc3BCsIgHIDxt_GWOlnQAglWHSoYDbp0Gv85U8GpTJv1OD1Wb9Po_MHv-350SiFuCYlpkjLNRuZgXtLGVQCsvFdWQjARCz-SuSBJP8fegbG7AM6bgXf7G7Sgj9fmVNfN_Vxe3CG2SPSdsEa6xKOESWis8iJOfsAqRJT5hiLNK4bekHlBC1yxNWMlCiYJzSn6bx5-Xhr9AYc6OTo,https://serpapi.com/search.json?data_id=0xaed3e8cb3534a1%3A0x5c9d0d134c3e601c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaed3e8cb3534a1%3A0x5c9d0d134c3e601c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJoTQ1y-jTrgARHGA-TBMNnVw,"Presidente Kubitschek, MG",lojas_presentes,2025-07-29T01:31:54.911832,COMPLETA
1,Mercado Municipal Presidente Kubitschek,ChIJk2bYwjQnrwARWuoYGxliitU,0xaf2734c2d86693:0xd58a62191b18ea5a,15387218936833043034,/g/11g6r2smbl,4.1,36,Mercado de produtos agrícolas,Mercado de produtos agrícolas,produce_market,"R. Trinta de Dezembro, Pres. Kubitschek - MG, 39135-000, Brasil",-18.6158556,-43.5610028,+55 38 3545-1122,,,,,,,,Cartão de débito,,,"""Bons produtos""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npFDYnSbXqae8Q1XBD_w7Hx9oTB94P119gwdhlbjZ1eFlAszxyYhiVFf8yzCub-QhIHRVMngmimfGie2FEmxKsh0oe-xkRNG3Dv7RGIDxmUMfVETHZB3dguLU8Lbp_twULVXDsS=w122-h92-k-no,https://serpapi.com/images/url/pZG9gHicBcFtDoIgAADQE5GhbUpbPzL8aFkrS2f9aWkIloAFJnW_DtFteu_3ZVp3ampZLXNGVErakl6RZyWFJkKPKskt2ilQKaCs-QKxiehCfBT7snhciLeDhY_PgxsbJA8-mmwhRHS4sra8nSAJ27n6mPeRNXlYe-_Poi_Bji3jNF8LyhteRw2xw4CblWJjSYC5p5vIwS83jZbY8Gxd58EhPvnOlfZJ5iVld9ZDluQFVvvZAG0bMGSDOxDyD_bLRS0,https://serpapi.com/search.json?data_id=0xaf2734c2d86693%3A0xd58a62191b18ea5a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf2734c2d86693%3A0xd58a62191b18ea5a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJk2bYwjQnrwARWuoYGxliitU,"Presidente Kubitschek, MG",lojas_artesanato,2025-07-29T01:31:57.965251,COMPLETA
2,Pixel Art,ChIJIUBhbDEnrwARWd16hjIai5M,0xaf27316c614021:0x938b1a32867add59,10631620149645073753,/g/11bwk_r0c4,,0,Loja,Loja,store,"56, R. Adelina Candida Silva, 2, Pres. Kubitschek - MG, 39135-000, Brasil",-18.617975299999998,-43.5664331,+55 31 99912-0558,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=_mtxAkVQwq1a1kU1kUZN3g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=32.547405&pitch=0&thumbfov=100,https://serpapi.com/images/url/9kduyXicHc1LDsIgFEDR3TCTTz_xk7wYN2DiQAdOGkoRSGnB8ix1N27L3diY3PG5349FjOnAWMJJa5ydztEt2qdNlNSEYLyW0SWqwsBmwdC-hnaUzh-jHIProBlwOfW3S34KKfrr2v1cGqLaRnmnR4Sk5aQsNXkVp9BRExPJsOPEwr4gb5mhLGhdbStek-hQWeDkf3mEGQTnP4vAOa8,https://serpapi.com/search.json?data_id=0xaf27316c614021%3A0x938b1a32867add59&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf27316c614021%3A0x938b1a32867add59&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJIUBhbDEnrwARWd16hjIai5M,"Presidente Kubitschek, MG",lojas_artesanato,2025-07-29T01:31:57.965251,COMPLETA
3,LOJA SO NOVIDADES,ChIJC9prAzUnrwARfRcmtNqI_7E,0xaf2735036bda0b:0xb1ff88dab426177d,12826120736681105277,/g/11y75107k7,,0,Loja de Roupa,Loja de Roupa,clothing_store,"R. Pouso Alto, 64 - Pres. Kubitschek, MG, 39135-000, Brasil",-18.614820899999998,-43.5627407,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=umN59ERZxBgXq2CRobSAzQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=315.3371&pitch=0&thumbfov=100,https://serpapi.com/images/url/CproSHicHc1fCsIgHADg2_iWfyajFkhU9Bq0XqKXcM70B27adHN1mc7VbYou8H2ft00pxDUhMQ1apwl0DjBrFxdBYuO9cVoGiFj5jkyMJDt2TS_BbYLsPbRi7I5ldaiv885cHsW-9s15-zoh1dyUA90nEbUclMUm_8TBt9iEiLJYUWRFVaCnzIKzEnO-ZChAUlZQ9E_ufhKM0i87zTk-,https://serpapi.com/search.json?data_id=0xaf2735036bda0b%3A0xb1ff88dab426177d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf2735036bda0b%3A0xb1ff88dab426177d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJC9prAzUnrwARfRcmtNqI_7E,"Presidente Kubitschek, MG",lojas_decoracao,2025-07-29T01:32:01.036584,COMPLETA
4,Salamaleico Tijucal,ChIJPepwEQ4nrwAR37-IzmECl7E,0xaf270e1170ea3d:0xb1970261ce88bfdf,12796699485296705503,/g/11v5c0kvkf,,0,Loja de roupas para jovens,Loja de roupas para jovens,youth_clothing_store,"R. Trinta de Dezembro - Centro, Pres. Kubitschek - MG, 39135-000, Brasil",-18.616136,-43.5617497,+55 38 99741-3881,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–17:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/p/AF1QipOLUVJkdmPdVPRTrYXfDKvv7b4nQPdKiWQ70p0K=w92-h92-k-no,https://serpapi.com/images/url/A4h9TXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng7xMa5pWdkhuQEhYQFFIUGZHm4l1WZp5kkhcYkOKdGR5oblBg4G1bbmmkmwHE2bp5-QCOoSEK,https://serpapi.com/search.json?data_id=0xaf270e1170ea3d%3A0xb1970261ce88bfdf&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf270e1170ea3d%3A0xb1970261ce88bfdf&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJPepwEQ4nrwAR37-IzmECl7E,"Presidente Kubitschek, MG",lojas_decoracao,2025-07-29T01:32:01.036584,COMPLETA
