position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Toque Final Presentes Criativos e Personalizados,ChIJhz2nYSdgoQARShCEAIn4qlY,0xa1602761a73d87:0x56aaf8890084104a,6245077100605476938,/g/1tf1q1fz,5,62,Loja de presentes,"Loja de presentes, Loja de embalagens para presente",novelty_store,"R. Afonso Pena, 35 - 3 - Centro, Conselheiro Lafaiete - MG, 36400-062, Brasil",-20.660301999999998,-43.790814999999995,+55 31 99163-4962,https://catalogo.toquefinalpresente.com.br/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–13:30; domingo: Fechado; segunda-feira: 09:00–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipM5PbmEcf09hKxqVPAkGB-fzTGD8uxAefIDHIiS=w163-h92-k-no,https://serpapi.com/images/url/D0e4aXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngaxqQlOuanGZgmeFdURgW4Jjt7qSbVhXi7mJRWuGYmubp4uGZGWxbbmhmrJthaaSbrZuXDwCf-iEC,https://serpapi.com/search.json?data_id=0xa1602761a73d87%3A0x56aaf8890084104a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1602761a73d87%3A0x56aaf8890084104a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJhz2nYSdgoQARShCEAIn4qlY,"Queluz, MG",lojas_presentes,2025-07-29T01:34:36.476693,COMPLETA
2,Loja Maçônica Estrela de Queluz,ChIJrx23OS9goQARgqa6pG4Mg7U,0xa1602f39b71daf:0xb5830c6ea4baa682,13079311412163683970,/g/1vg4l0t4,4.7,57,Associação / organização,Associação / organização,association_or_organization,"Av. Furtado, 175 - São Sebastiao, Conselheiro Lafaiete - MG, 36400-000, Brasil",-20.6628682,-43.796414899999995,+55 31 3761-2214,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,"terça-feira: 09:00–15:00, 20:00–22:30; quarta-feira: 09:00–15:00, 20:00–22:30; quinta-feira: 09:00–15:00, 20:00–22:30; sexta-feira: 09:00–15:00, 20:00–22:30; sábado: 09:00–15:00, 20:00–22:30; domingo: 20:00–22:30; segunda-feira: 09:00–15:00",,,Entrada com acessibilidade para pessoas em cadeira de rodas,,,,"""Ótimo atendimento!""",https://lh3.googleusercontent.com/p/AF1QipNs5IG9I_zLNNe1qmAuGyCdRsfi0yLBPmdejKm8=w80-h120-k-no,https://serpapi.com/images/url/O0SGN3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngV2zq6W7pGV_l4-eXaliY61jqXumcElSclmlQ6eMUkJuSmuWda2FbbmGgm2FoZKCbrZuXDwCr8iF3,https://serpapi.com/search.json?data_id=0xa1602f39b71daf%3A0xb5830c6ea4baa682&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1602f39b71daf%3A0xb5830c6ea4baa682&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJrx23OS9goQARgqa6pG4Mg7U,"Queluz, MG",lojas_presentes,2025-07-29T01:34:36.476693,COMPLETA
3,Mimos e Cheiros Presentes,ChIJ2fingXG-pgARVtYGtbXTsVk,0xa6be7181a7f8d9:0x59b1d3b5b506d656,6463179717633037910,/g/11cly516nq,5,54,Loja de presentes,Loja de presentes,novelty_store,"R. Risolêta Fernandes, 290 - Barreiro, Belo Horizonte - MG, 30640-620, Brasil",-19.9820438,-44.0272284,+55 31 2526-9316,http://www.instagram.com/mimosecheiros/,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–17:30; quarta-feira: 10:00–17:30; quinta-feira: 10:00–17:30; sexta-feira: 10:00–17:30; sábado: 10:00–12:00; domingo: Fechado; segunda-feira: 10:00–17:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMQfEIMBkeShtRCK3jydq9tRbiOw7ov0Zg2cY5I=w122-h92-k-no,https://serpapi.com/images/url/kNJzEXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG5jm6unrlJ0anFES5OxtnFWZUmhZEpSU6V9unl9mEJVulBxp6mlbbmhkpJthaaSbrZuXDwCwcyFr,https://serpapi.com/search.json?data_id=0xa6be7181a7f8d9%3A0x59b1d3b5b506d656&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6be7181a7f8d9%3A0x59b1d3b5b506d656&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2fingXG-pgARVtYGtbXTsVk,"Queluz, MG",lojas_presentes,2025-07-29T01:34:36.476693,COMPLETA
4,Presente Mania,ChIJZ3HTQBFhoQARnt7vuqF0TvU,0xa1611140d37167:0xf54e74a1baefde9e,17676193825450614430,/g/11qnk90z31,5,6,Loja de presentes,Loja de presentes,novelty_store,"R. Barão de Pouso Alegre, 854 - São Dimas, Conselheiro Lafaiete - MG, 36407-108, Brasil",-20.6665085,-43.8051189,+55 31 99188-4495,https://instagram.com/presentemanialafa?igshid=17vp8sa6huewe,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNuA2L3xsaU5N4XHG73ZeKxV5Pgr5j4drZfMe4L=w80-h106-k-no,https://serpapi.com/images/url/cSJJsnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngV-po5GNcUZwYaupnEuHhbm4clepdEWYakF5kmmWSUhSV5ptq4mNbbmGgm2FoYKabrZuXDwCSFyCl,https://serpapi.com/search.json?data_id=0xa1611140d37167%3A0xf54e74a1baefde9e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1611140d37167%3A0xf54e74a1baefde9e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJZ3HTQBFhoQARnt7vuqF0TvU,"Queluz, MG",lojas_presentes,2025-07-29T01:34:36.476693,COMPLETA
5,Lar & Presentes,ChIJoacI-f_fowARYkVILByO_1U,0xa3dffff908a7a1:0x55ff8e1c2c484562,6196827863938254178,/g/11sgchjv65,5,5,Loja de presentes,Loja de presentes,novelty_store,"R. Benjamin Constant, 44 - Angelica, Conselheiro Lafaiete - MG, 36401-002, Brasil",-20.665438599999998,-43.7883822,+55 31 99646-1293,https://www.instagram.com/p/CWs9WDEr7bj/?utm_medium=share_sheet,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Variedade de produtos, qualidade e ótimo atendimento.""",https://lh3.googleusercontent.com/p/AF1QipMbZbQ_VdN8FjVqlH2GxQhdCvmVeWQnKgTEa1Y8=w122-h92-k-no,https://serpapi.com/images/url/8lzZPXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngmxSVFBgfluJn4ZYVVpjjYeReEZiR4lyWG5YaHpjnnR7immgYaWFbbmhkpJthaaSbrZuXDwCzFiFw,https://serpapi.com/search.json?data_id=0xa3dffff908a7a1%3A0x55ff8e1c2c484562&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3dffff908a7a1%3A0x55ff8e1c2c484562&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJoacI-f_fowARYkVILByO_1U,"Queluz, MG",lojas_presentes,2025-07-29T01:34:36.476693,COMPLETA
6,Natália Vitória Cesta e Presentes,ChIJFQhfuL1EjkARouRWspNxfwA,0x408e44bdb85f0815:0x7f7193b256e4a2,35872201208423586,/g/11kpk9xg69,5,81,Loja de cestas de presente,"Loja de cestas de presente, Perfumaria",gift_basket_store,"R. Centenário, 15 - Bonsucesso, Belo Horizonte - MG, 30622-620, Brasil",-19.9923353,-43.983173,+55 31 99111-2137,https://www.ifood.com.br/delivery/belo-horizonte-mg/natalia-vitoria-cestas-e-presentes-bonsucesso-barreiro/d2592dfa-fd78-4d8e-972f-17fab2058990,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–14:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNbpKETfowFBNvV0YNN-uufdHc73WxtCZ46RucY=w80-h111-k-no,https://serpapi.com/images/url/YpOZRHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl1Tg7RqSll_u5uRXFmYQ6eenW1qaluKRbG4cXlHiHGViFlSaHGlbbmGgm2FoaKibrZuXDwCuFSFM,https://serpapi.com/search.json?data_id=0x408e44bdb85f0815%3A0x7f7193b256e4a2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x408e44bdb85f0815%3A0x7f7193b256e4a2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFQhfuL1EjkARouRWspNxfwA,"Queluz, MG",lojas_presentes,2025-07-29T01:34:36.476693,COMPLETA
7,Loja da Cleo,ChIJBzzsgjS8pgARLqlzyZMV9dY,0xa6bc3482ec3c07:0xd6f51593c973a92e,15489310217894865198,/g/1ptyn6sg5,4.6,179,Papelaria,"Papelaria, Copiadora, Impressão digital, Loja de presentes, Impressões fotográficas, Correios, Loja de Brinquedos",stationery_store,"R. Barão de Monte Alto, 846 - Loja 02 - Cardoso, Belo Horizonte - MG, 30626-480, Brasil",-20.0045,-44.0057025,+55 31 99913-3447,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–17:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNY0Z4lb8NhIHvIvuuO4rrV3HKaq6pXW1lTz0f9=w151-h92-k-no,https://serpapi.com/images/url/VSgVz3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF2kQZZKTZOGX4elR5llWWupvUlQUZuzhnVhoVhARbpgTUmWQZmlbbmhqqJthaaSbrZuXDwCl9CEu,https://serpapi.com/search.json?data_id=0xa6bc3482ec3c07%3A0xd6f51593c973a92e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bc3482ec3c07%3A0xd6f51593c973a92e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBzzsgjS8pgARLqlzyZMV9dY,"Queluz, MG",lojas_presentes,2025-07-29T01:34:36.476693,COMPLETA
8,Ângela Cestas,ChIJgTS5tKK-pgARbr9EBojGu4k,0xa6bea2b4b93481:0x89bbc6880644bf6e,9924744491364040558,/g/11d_tyflg8,5,144,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Profa. Dirce Maria, 231 - Vila Santa Rita, Belo Horizonte - MG, 30666-515, Brasil",-20.014977299999998,-44.0293858,+55 31 99612-7569,https://angelacestas.com.br/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–22:00; quarta-feira: 08:00–22:00; quinta-feira: 08:00–22:00; sexta-feira: 08:00–22:00; sábado: 08:00–22:00; domingo: 08:00–22:00; segunda-feira: 08:00–22:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipPoccx-2UtikMp--wvT59yFN4c4gBUvkzMHVUd9=w80-h120-k-no,https://serpapi.com/images/url/tkToAXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkJ-cXKFrFFqSme1boKtbXhZialnp5meSbJLuFFqWXeXrERaaYmlbbmGgm2FoZKCbrZuXDwCtUyE_,https://serpapi.com/search.json?data_id=0xa6bea2b4b93481%3A0x89bbc6880644bf6e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bea2b4b93481%3A0x89bbc6880644bf6e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJgTS5tKK-pgARbr9EBojGu4k,"Queluz, MG",lojas_presentes,2025-07-29T01:34:36.476693,COMPLETA
9,Pra' Presentes,ChIJI5n8XqO-pgARsclRSp3QVUg,0xa6bea35efc9923:0x4855d09d4a51c9b1,5212301517726534065,/g/11fn7zzkx8,5,2,Loja de presentes,Loja de presentes,novelty_store,"R. Mariza Afonso, 325 - Independência, Belo Horizonte - MG, 30666-690, Brasil",-20.0188886,-44.0284268,+55 31 98817-9905,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq3g2uBLpjMPRcueCub5MMYlHLKEIYizC3Owcf7TraAp_7JUk_z-1sPoj-0lN0RfhTWQFtW4rRdix91Qrd2lt3nlhusxVBrKKqXGikLruXqwBOZyyFNFhrJzT2KoDrFBkkOSeGIsQ=w80-h142-k-no,https://serpapi.com/images/url/XyctsXicBcFXDoIwAADQE1WmcSR-CIoDEEGcP0ZrpdjaQkcQLugZvI3v_b5YqUqODYNip1dwXlCkJRKQM4WY6kH-NopKAiiBNKb-CLusdgpbe1H1ircZ1MjX934cn-kyCuerc9n5TtLA5yAXt2l1Haz35NoBS275C5h0Y2ZPnB_TQB1dkT3Kz8hKxcOmymEUa_k5eCIM69OiJJHQp7rxkkvbBpsAi3WX2yGficAjJNmhxUqmk2ZoAmy5NiCA8T-gzUaJ,https://serpapi.com/search.json?data_id=0xa6bea35efc9923%3A0x4855d09d4a51c9b1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bea35efc9923%3A0x4855d09d4a51c9b1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJI5n8XqO-pgARsclRSp3QVUg,"Queluz, MG",lojas_presentes,2025-07-29T01:34:36.476693,COMPLETA
10,Loja Decore - Presentes - Utilidades - Decoração,ChIJNVwcLnw7pwARYPlxMCnjAIY,0xa73b7c2e1c5c35:0x8600e3293071f960,9655967367128283488,/g/11rks1hbsv,5,20,Loja de presentes,"Loja de presentes, Decorador de interiores, Loja de plantas artificiais",novelty_store,"R. Antônio Rocha, 319 - Dom Bosco, Pará de Minas - MG, 35661-216, Brasil",-19.8695161,-44.6014736,+55 37 99142-2229,https://www.instagram.com/_lojadecore_/,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–13:00; domingo: Fechado; segunda-feira: 08:30–18:00,,,Assento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipP52GveycO2cvfgp1kEZNUtbwEOxTJyU7lw3GIv=w92-h92-k-no,https://serpapi.com/images/url/oDpgx3icuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYGrkXpZamexvlFyWll5gmO0a5RdaklTu6l8R4lUZap5TbuzuWWZbbmmkmwHE2bp5-QCWBiGO,https://serpapi.com/search.json?data_id=0xa73b7c2e1c5c35%3A0x8600e3293071f960&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa73b7c2e1c5c35%3A0x8600e3293071f960&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJNVwcLnw7pwARYPlxMCnjAIY,"Queluz, MG",lojas_presentes,2025-07-29T01:34:36.476693,COMPLETA
