position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,CampoMax,ChIJCyl3YL5koQARC1GBwV1Rs_Q,0xa164be6077290b:0xf4b3515dc181510b,17632526429205909771,/g/11ggzhy24v,4.6,12,Agricultura e pecuária,Agricultura e pecuária,farming_and_cattle_raising,"R. Padre Gurgel, 7, Queluzito - MG, 36424-000, Brasil",-20.7403476,-43.8830792,+55 31 3722-1272,,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–17:00; quarta-feira: 07:00–17:00; quinta-feira: 07:00–17:00; sexta-feira: 07:00–17:00; sábado: 07:00–12:00; domingo: Fechado; segunda-feira: 07:00–17:00,,,,,,,"""Diversidade de produtos agrícola e animais""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqSdNSuBKHpY4_Ru5kg3kPpDPBlaZw8hrzs-uze0Z98nElMEnTq4lkLMjmlG4B18DpdI7uIGOhzJFUjBKspJZRd864XrVXnLZQ2vED7T2_w2-bDGP64WEaMgqebatfivAYG_t88=w164-h92-k-no,https://serpapi.com/images/url/ZOBu_HicBcFbEoIgAADAE5FlZNhMH5lmL8ve5Y9jSlASoEDOeL8O0W3a_X2p1lKNLIvRfocIQRg2Cte54Bpz3cnF2yJSgVwBZU2mLoW8OhSbg_FWc3mD6d4MStIvY-nHHsuSBtG6VcC0uJu4iAcsCvixgqxcR683C6HXQ74sFkOzCLe0Xc5OL2-l5DLZF8iB1_p85etkZ38Cf3i008YGdz-MHXgJsohU-J7px_MzuYWpRmjc9BwIqGuDEnDxB9ABRBg,https://serpapi.com/search.json?data_id=0xa164be6077290b%3A0xf4b3515dc181510b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa164be6077290b%3A0xf4b3515dc181510b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJCyl3YL5koQARC1GBwV1Rs_Q,"Queluzito, MG",lojas_presentes,2025-07-29T01:37:58.138621,COMPLETA
2,Drogaria D'Evans,ChIJU12VpjploQART6Alqj_M_5I,0xa1653aa6955d53:0x92ffcc3faa25a04f,10592409422408294479,/g/11h7vlg7bx,4.8,6,Drogaria,"Drogaria, Farmácia",drugstore,"Praça Sto. Amaro, 06A - Centro, Queluzito - MG, 36424-000, Brasil",-20.740249799999997,-43.8831233,+55 31 98350-7777,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–14:00; sábado: 08:00–14:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipMvcnSKGWMrRbstUxZ6uqq4k7bP2zwSfUGxx2eS=w122-h92-k-no,https://serpapi.com/images/url/G_2sdXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW5acF-ztHu5bFJRUXBJaEWVWWlhokm2eFGBUVR6cFupeUWGUGmxbbmhkpJthaaSbrZuXDwDKrSIv,https://serpapi.com/search.json?data_id=0xa1653aa6955d53%3A0x92ffcc3faa25a04f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1653aa6955d53%3A0x92ffcc3faa25a04f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJU12VpjploQART6Alqj_M_5I,"Queluzito, MG",lojas_presentes,2025-07-29T01:37:58.138621,COMPLETA
3,Chrystian Informática,ChIJCa5QugZloQARSbdnU6lO6-Y,0xa16506ba50ae09:0xe6eb4ea95367b749,16639479737406175049,/g/11jgnr5385,5,1,Assistência Técnica de Informática,Assistência Técnica de Informática,computer_repair_service,"Praça Sto. Amaro - Centro, Queluzito - MG, 36424-000, Brasil",-20.740042,-43.883977099999996,+55 31 99915-8577,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: Fechado; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zaPdpnoxQcYjZnffbFjKDw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=228.55135&pitch=0&thumbfov=100,https://serpapi.com/images/url/VyIA0nicHc0xDsIgFADQ27AJtKZJNflxMS4uOupiKKVAQ_k_BYt6Gq_lbTRe4L3P2-VMaStEyrMxefGmkH-YkFakuEW0wSjyiWucxFKJ7O5TF5UPO1IRfQ8vdeop4uOsL-M1DkN3GI_7wnR308GbmCEZNWvHbfmJM_bcUmIFWskcbGr2VAXquuVNU60bRj5rB5L9lwEXqKT8As-xOn4,https://serpapi.com/search.json?data_id=0xa16506ba50ae09%3A0xe6eb4ea95367b749&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa16506ba50ae09%3A0xe6eb4ea95367b749&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJCa5QugZloQARSbdnU6lO6-Y,"Queluzito, MG",lojas_presentes,2025-07-29T01:37:58.138621,COMPLETA
4,Queluzito,ChIJ3aavtLhkoQARPucsMlKG7fk,0xa164b8b4afa6dd:0xf9ed8652322ce73e,18009198172511725374,/g/1yw0_tdk7,,0,,,,"MG, 36424-000, Brasil",-20.7403992,-43.8831333,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq4uVbtdGoMj6I9YPlzao-z6Dydct6Q28kKOKpT_XUrgZN3Vuf6v9S_RevoaSNsDd4hcJIOW5j3eX9Mr43776FtQzxGupCGkSZaM6EPTi5AqC_6J6OH1bhCTjC1Elra-LX4RavX=w163-h92-k-no,https://serpapi.com/images/url/Yl6x8HicBcFbcoIwFADQFUUGE6-NM_1wouKjiAoq-sPEkJICEiSBKvtzEd1Nz_l7K2trM3GcUuFBpnVWytbIRujKysoOhL47WW2QMMg4U0YVqR6kPd1s6mk_hxW97Mqea9TD7JUKC_vhR7EJNnWUxMcmu27xqf2GjobJQXaah1szS4kS61VwHuVYxtRvCB6PYWH3_dNra-YV4ZX7MN9FP6PpgyWwhmDp3hSLcubOy4ajr5gceBd__rqAkaJDVKBK_wPHJUOp,https://serpapi.com/search.json?data_id=0xa164b8b4afa6dd%3A0xf9ed8652322ce73e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa164b8b4afa6dd%3A0xf9ed8652322ce73e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ3aavtLhkoQARPucsMlKG7fk,"Queluzito, MG",lojas_presentes,2025-07-29T01:37:58.138621,COMPLETA
5,Queluzito,ChIJQ0TGd5RkoQARSW5FWM2S2ms,0xa1649477c64443:0x6bda92cd58456e49,7771685517628108361,/m/03h4ptm,,0,,,,"Minas Gerais, Brasil",-20.7404093,-43.883082099999996,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq4uVbtdGoMj6I9YPlzao-z6Dydct6Q28kKOKpT_XUrgZN3Vuf6v9S_RevoaSNsDd4hcJIOW5j3eX9Mr43776FtQzxGupCGkSZaM6EPTi5AqC_6J6OH1bhCTjC1Elra-LX4RavX=w163-h92-k-no,https://serpapi.com/images/url/Yl6x8HicBcFbcoIwFADQFUUGE6-NM_1wouKjiAoq-sPEkJICEiSBKvtzEd1Nz_l7K2trM3GcUuFBpnVWytbIRujKysoOhL47WW2QMMg4U0YVqR6kPd1s6mk_hxW97Mqea9TD7JUKC_vhR7EJNnWUxMcmu27xqf2GjobJQXaah1szS4kS61VwHuVYxtRvCB6PYWH3_dNra-YV4ZX7MN9FP6PpgyWwhmDp3hSLcubOy4ajr5gceBd__rqAkaJDVKBK_wPHJUOp,https://serpapi.com/search.json?data_id=0xa1649477c64443%3A0x6bda92cd58456e49&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1649477c64443%3A0x6bda92cd58456e49&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJQ0TGd5RkoQARSW5FWM2S2ms,"Queluzito, MG",lojas_presentes,2025-07-29T01:37:58.138621,COMPLETA
6,Casa De Cultura Queluzito,ChIJkS41VL5koQAR2nqTTofa0-U,0xa164be54352e91:0xe5d3da874e937ada,16560820529445173978,/g/11vk0dpsq5,,0,,,,"Queluzito - MG, 36424-000, Brasil",-20.7400491,-43.8838039,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqCXZzhVxl2LC1fi8e4AT7x04env6RmuiuqPvbJzJb4MY3ie0CEwaFvRAPDtO4YggkrDiIgYn7Ww-fsojoRb-utsrQvtr6GdkiWYMhbl9AmhKFZgk2APc1QQi7YJWlCM4O5TwHFbA=w80-h106-k-no,https://serpapi.com/images/url/1gKWt3icBcHRroIgAADQLyK1SOtuPTDKynKpaxm9hRGQCCWorR_sG-7fdM7_Vzj3tH-ep8RkxI3hinWWtZXRjmk3qkzj8acFlQXWQ3guoH7h8-UjTm813uPgLmcMomP09iHTfVg0nexeWU-TT0JhSiaS-Xg1XOO-QNnSHSDhvG6XcsuJjsoB3K15mIKCztk2710brm-1LEkqqJqjRuziC6_HKKuCPJcRSUqFU3iYHodNTNFimPlABH4IaqDND7MAReo,https://serpapi.com/search.json?data_id=0xa164be54352e91%3A0xe5d3da874e937ada&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa164be54352e91%3A0xe5d3da874e937ada&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkS41VL5koQAR2nqTTofa0-U,"Queluzito, MG",lojas_presentes,2025-07-29T01:37:58.138621,COMPLETA
1,Artesanato Segredos de Minas,ChIJIaQ6KISloQAR_nB7ki6GqRE,0xa1a584283aa421:0x11a9862e927b70fe,1272695904293056766,/g/11gzn1c64,4.7,101,Loja de materiais para artesanato,Loja de materiais para artesanato,craft_store,"Av. Alfredo Penido, 394 - Our Lady of Penha, Resende Costa - MG, 36340-000, Brasil",-20.9271113,-44.2324929,+55 32 3354-1972,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–17:00; domingo: 09:30–13:30; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Lugar com muitos artesanatos bonitos e com preços variados.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npfdJuf345VXkHmjFF4PimPGZaetEBGUo4JgNYjXiNJeX5amfCeiZc_JJzjAJ7hYTrFb-pG2_F_oIB0btdYl7BKf91v1kvSIiy-xIH6NvoXhtbfOufL6GDhD_RCHv_E2mcVh7Oe=w163-h92-k-no,https://serpapi.com/images/url/quiUAXicBcFXDoIwAADQE1VkCMHED0EZ1aBxBfxppLSUUUpowXE_D-FtfO_3ZUr1cqlpLTNnpRBlS0ZJBiw6RTo1w4JrZS8BlkBqa99lVtfTAo7UtBa3tIl4HQTWseLH8P4gauuFV2HBMsnqtEogSRcPTn1S3TGC8FOvocOyyxDkoA8NFCARe_NcFVnreDvq6pPeTOe4eoNXHNnJJFKmcnoY6d4ON2yDTn40oa3B8Y05B7J66rYJmGuABnTiD87fRII,https://serpapi.com/search.json?data_id=0xa1a584283aa421%3A0x11a9862e927b70fe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1a584283aa421%3A0x11a9862e927b70fe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJIaQ6KISloQAR_nB7ki6GqRE,"Queluzito, MG",lojas_artesanato,2025-07-29T01:38:01.236042,COMPLETA
2,Artesã de Queluz / Artesanato em MDF,ChIJs0KHVZbfowARIZR_hUd5OV0,0xa3df96558742b3:0x5d397947857f9421,6717533667289175073,/g/11rc2h0s11,,0,Loja,Loja,store,"R. Assis Andrade, 523 - Rosário, Conselheiro Lafaiete - MG, 36400-067, Brasil",-20.662561,-43.788607999999996,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=nmDDdYg19T1C0LwsY7tbYA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=5.808533&pitch=0&thumbfov=100,https://serpapi.com/images/url/_Y9H1nicHc1LDsIgEADQ27CTj01jNSHG2KVLN10ZSkcgoUA6Y9HTeC5vo_EC733enqjgQQikBYDWALWEJ0TcFMNdzi6CKQG5zbNYlSD_mMdkQjwWk3KYdJr7fhqc2l_VWV4qDjsahxOz483GAIk0glms567-xCVP3BVkVXeSeb3fspepuuWd7NqmYSWQ9Vqyf3LPq1ZSfgEiczj2,https://serpapi.com/search.json?data_id=0xa3df96558742b3%3A0x5d397947857f9421&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa3df96558742b3%3A0x5d397947857f9421&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJs0KHVZbfowARIZR_hUd5OV0,"Queluzito, MG",lojas_artesanato,2025-07-29T01:38:01.236042,COMPLETA
1,"Luiza Valentina - Loja de cortinas, persianas, papeis de parede e decoração",ChIJG228OX29pgARb3BuzRJ65jQ,0xa6bd7d39bc6d1b:0x34e67a12cd6e706f,3811868355790270575,/g/1yglp_tqc,4.9,68,Loja de Cortina,"Loja de Cortina, Loja de persianas, Loja de móveis, Loja de colchões, Loja de tapetes, Loja de papel de parede",curtain_supplier_and_maker,"Av. Professor Mário Werneck, 2863 - Buritis, Belo Horizonte - MG, 30575-180, Brasil",-19.9765509,-43.972970499999995,+55 31 3377-2669,https://www.luizavalentina.com.br/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipPdnycigUNjOJT7dihzzoBj-d7hqEvEyke1wMgN=w80-h142-k-no,https://serpapi.com/images/url/rcHr8XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkJJXmZyZHuqX5e8VYp6SmVFVle-UpZtinlHoWuZamZ1qWO6b7mdbbmGgm2FoYqSbrZuXDwDQeSJN,https://serpapi.com/search.json?data_id=0xa6bd7d39bc6d1b%3A0x34e67a12cd6e706f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bd7d39bc6d1b%3A0x34e67a12cd6e706f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJG228OX29pgARb3BuzRJ65jQ,"Queluzito, MG",lojas_decoracao,2025-07-29T01:38:04.278127,COMPLETA
2,Requinte Decorações,ChIJwbwUneO9pgARMNtWAtvd5A0,0xa6bde39d14bcc1:0xde4dddb0256db30,1001168949889915696,/g/1ptxxl7dz,4.2,13,Loja de artigos para festas,Loja de artigos para festas,party_store,"Galeria Ideal, Loja 104, R. Des. Ribeiro da Luz, 205 - Barreiro, Belo Horizonte - MG, 30640-040, Brasil",-19.9737054,-44.0158395,+55 31 3322-3854,https://www.facebook.com/requinte.raquel,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-proxy/ALd4DhEyopPfmnQfF8XicJG2an0-8TTew57IGmGPXFxvCmbS-DfLHvKpxqh40fgWvf49XJT_lxQhXb-WXpkJrDI8EODu8wU6r4n0sd89puI8I5OKEfkunYaEUBerILUhfZjGnsb2zUcMYtoOnWWbTE7YpPVZXhD1Dnm5KVsnNaTHtqKTf2-9EIYQ_d0FvAkz5MvHZLZLSl0=w122-h92-k-no,https://serpapi.com/images/url/JqRDVHicBcFLcoIwAADQ6aLHiSCFCs50YcsfLDCCBDYOv5AWSCLhp0ftafre38srnibGj4LQ47ddS2nbNzNvxoqSqSHTrqKD0DIO2Ei3h3Dya1nHxoOyEA0kQqYKfyrXkgoiAjWOm1U5ONZghdDclq-hvAAd-fbise2OZRG16YJkDbrxrd8iDEuQQta5o-6oRqDP6pq8jzIRea1qbHZURwk8A3UzyQoj-WxGx08wyn8twkvpmVTnbKIBSdMyNg4ZC685xPpeJ4PiXTn5LmJ7unsxkoBmOFl0q0VzOXVP5bzYuZ_7l178WPeSBLAmgQ4Q-g-axFnN,https://serpapi.com/search.json?data_id=0xa6bde39d14bcc1%3A0xde4dddb0256db30&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bde39d14bcc1%3A0xde4dddb0256db30&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJwbwUneO9pgARMNtWAtvd5A0,"Queluzito, MG",lojas_decoracao,2025-07-29T01:38:04.278127,COMPLETA
