position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Norma Armarinho e Presentes,ChIJ8y1MPxKepgARSxzMtYW6BGU,0xa69e123f4c2df3:0x6504ba85b5cc1c4b,7279147981181033547,/g/11bt_kf8k1,4.6,8,Loja de Presentes,"Loja de Presentes, Armarinho",gift_shop,"R. Herval Silva, 460 - Vila Valeria, Raposos - MG, 34400-000, Brasil",-19.9621984,-43.8063418,,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=9_0CgRKWLhLlTAxPsAC82g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=97.56355&pitch=0&thumbfov=100,https://serpapi.com/images/url/LqpmnHicHc1RDoIgGADg2_AWoM3Stn_O-ZgPrbX16BAJ2FD-CYmdpnN1m1oX-L7P28SI4cRYiItScbUqod2UCzsUVHuvnRJoA5V-YmvGonlOwyysq1HM3o5Q9bzV1_O9M527NdslNG2ZayKHXjqr5ghBiUUaqtNPXPxINQaSoOTEQJWTl0hQHWlx2BcFQRulAU7-ycOvkHH-BRUyONY,https://serpapi.com/search.json?data_id=0xa69e123f4c2df3%3A0x6504ba85b5cc1c4b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69e123f4c2df3%3A0x6504ba85b5cc1c4b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ8y1MPxKepgARSxzMtYW6BGU,"Raposos, MG",lojas_presentes,2025-07-29T01:43:09.487483,COMPLETA
2,Loja do Nezinho,ChIJ0RPUeBaepgARotus11TVzQ0,0xa69e1678d413d1:0xdcdd554d7acdba2,994685653091146658,/g/11b6hq0yt4,4.6,11,Papelaria,"Papelaria, Loja de eletrodomésticos, Loja de bicicleta, Loja de materiais elétricos, Loja de Presentes, Loja de ferramentas",stationery_store,"R. Prof. Ernesto, 93 - Centro, Raposos - MG, 34400-000, Brasil",-19.967209999999998,-43.805102,+55 31 3543-1379,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–19:00; quarta-feira: 08:30–19:00; quinta-feira: 08:30–19:00; sexta-feira: 08:30–19:00; sábado: 08:30–14:00; domingo: 08:30–13:30; segunda-feira: 08:30–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqeJqzPc-H5osEwCKNC7GO3owVUHOOTqDqtPLYx18GOWHtATMMPE_cUjonBz4gkMq-uz8upvqlrKWeYxOfR16CGj9_gaei04oJT3BGutxeUDbZX3yB-UCUW2BWl0smDPifIk8SPoA=w163-h92-k-no,https://serpapi.com/images/url/NgTmq3icBcFbcoIwFADQFUXEUIXO9AOCAz4wmUpK7Y_TZmJQMJeYUCgb7Bq6m57z91s719lnz2trPFMAqpW9lQ8B2kntZgLunuosEhZZLyZRHWgjt2ZiAuVPYNcD2R3IKqMYhjeeU1qa1Di2P41-mNEqd3FZFGx9FvwGOpkC1RQG9VPYd9-mfewqeRrp5dVfkuwWndWnvM4D2JY4yXo3Sp5-fbzjnwRxwqtFUrVze0_Z9bJpwiOD-GXwlxjV0QI1SMM_cDRFQA,https://serpapi.com/search.json?data_id=0xa69e1678d413d1%3A0xdcdd554d7acdba2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69e1678d413d1%3A0xdcdd554d7acdba2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ0RPUeBaepgARotus11TVzQ0,"Raposos, MG",lojas_presentes,2025-07-29T01:43:09.487483,COMPLETA
3,Sublime,ChIJYz9KOD2epgARTMfYW6ytXWM,0xa69e3d384a3f63:0x635dadac5bd8c74c,7160069938375870284,/g/11c37qq_lt,4.7,22,Loja,Loja,store,"R. Dr. José Mansueto Calixto, 78 - Centro, Raposos - MG, 34400-000, Brasil",-19.9673932,-43.8048633,+55 31 99173-5338,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Gosto muito do atendimento tem muita coisa bonita""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=AOHKcaf6kJUYumE__wMOVA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=308.70313&pitch=0&thumbfov=100,https://serpapi.com/images/url/0JecMHicHc1RCsIgGADg2_iWuga1Aok9DKKIPRX0NP45pz-5KdPNuk3X6jZFF_i-z9vE6MOesRAnpeKCKnl8KhtWHqh2TlsFHgOVbmBLxqKZh3YEtAcPo8NOlPXxLKHfPE7X-zxUTZMu9a0ksm2kRTVGERRM0lCdfuLkOqp9IEkUnBixW5MXJJHzgm55nuXEY5RGcPJfereIjPMvc-05dg,https://serpapi.com/search.json?data_id=0xa69e3d384a3f63%3A0x635dadac5bd8c74c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69e3d384a3f63%3A0x635dadac5bd8c74c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJYz9KOD2epgARTMfYW6ytXWM,"Raposos, MG",lojas_presentes,2025-07-29T01:43:09.487483,COMPLETA
4,Bougainvillea Boutique E Presentes,ChIJh2pNQRGepgARIBKYbdHnM2s,0xa69e11414d6a87:0x6b33e7d16d981220,7724772672543396384,/g/11b6xzgm7w,5,7,Loja,Loja,store,"620, R. Dr. Artur Bernardes, 520 - Vila Valeria, Raposos - MG, 34400-000, Brasil",-19.965303,-43.804309499999995,+55 31 3543-3571,,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–19:00; quarta-feira: 10:00–19:00; quinta-feira: 10:00–19:00; sexta-feira: 10:00–19:00; sábado: 10:00–16:00; domingo: Fechado; segunda-feira: 10:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Marília muito atenciosa e produtos de primeiríssima qualidade...""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=QWmefg0Y1fRE32uSvTEnAA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=310.4185&pitch=0&thumbfov=100,https://serpapi.com/images/url/9T75WHicHc1JCsIwFADQ22RnhlahCkG66AEcQFxJmv4mgUw0aaKn8VzeRvEC733eOueYDoSkvADkYqBG8wSbNlFgFYKyIKJJWAZHCiNZr270wthjFD6YiZ9uDmZF72w-D22zXsp18H2P5PiQ1oDPPIFYpMaq_sQlTFjFhCrvKNJ836CXqLxlFG9Zt0PRZKk5Rf9kDoUzSr8mtjj3,https://serpapi.com/search.json?data_id=0xa69e11414d6a87%3A0x6b33e7d16d981220&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69e11414d6a87%3A0x6b33e7d16d981220&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJh2pNQRGepgARIBKYbdHnM2s,"Raposos, MG",lojas_presentes,2025-07-29T01:43:09.487483,COMPLETA
5,Nobre Decor loja,ChIJ43PDI2yfpgARDDlce8Rgg5o,0xa69f6c23c373e3:0x9a8360c47b5c390c,11133849100789496076,/g/11ncbyp24c,5,7,Loja de presentes,"Loja de presentes, Fornecedor de plantas artificiais, Decorador de interiores, Serviço de locação de artigos de festa",novelty_store,"R. São João, 33 - Matadouro, Raposos - MG, 34400-000, Brasil",-19.9585245,-43.807781,+55 31 99912-7825,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Banheiro com acessibilidade para pessoas em cadeira de rodas",,"Estimativas on-line, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipPfUgrf9aaFChH-mTQJOCPHkpbCuvjpYtO3RjF1=w163-h92-k-no,https://serpapi.com/images/url/MvqfonicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkBaaXpRmmZjo5pzhoZsbEujl7xzgkV2Q5FxallUQWeJvHJTlZmhbbmhmrJthaaSbrZuXDwCxVyF0,https://serpapi.com/search.json?data_id=0xa69f6c23c373e3%3A0x9a8360c47b5c390c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69f6c23c373e3%3A0x9a8360c47b5c390c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ43PDI2yfpgARDDlce8Rgg5o,"Raposos, MG",lojas_presentes,2025-07-29T01:43:09.487483,COMPLETA
6,Oficina dos Sonhos,ChIJSeBKoBaepgAR229kwQ5Bxwk,0xa69e16a04ae049:0x9c7410ec1646fdb,704603398336704475,/g/11bc7s46vj,4.3,4,Loja de artigos para festas,"Loja de artigos para festas, Loja de Brinquedos",party_store,"R. Prof. Ernesto - Centro, Raposos - MG, 34400-000, Brasil",-19.9669453,-43.8050496,+55 31 3543-1009,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: Fechado; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KeYIRwYXuQliNxaBr7DdlQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=94.19469&pitch=0&thumbfov=100,https://serpapi.com/images/url/wGF2D3icHc1RCsIgGADg2_iWuhiVgQTRSwTBempP4dyf_uCmqJvrNJ2r2xRd4Ps-b5tzSHvGUo4AeUYoARdwaRUUNd4bBypgotoPbK5YttPQjQrdIajRYy8v0J5vpb1PjcProo5xe-pdQ3T30A5hzDKBitpSU35i9D01IZEid5xYKdbkpYoUNa1EvREkYNZWcvJPnn6WFedfY2E5vw,https://serpapi.com/search.json?data_id=0xa69e16a04ae049%3A0x9c7410ec1646fdb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69e16a04ae049%3A0x9c7410ec1646fdb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJSeBKoBaepgAR229kwQ5Bxwk,"Raposos, MG",lojas_presentes,2025-07-29T01:43:09.487483,COMPLETA
7,ARMARINHO DA VANDA,ChIJe4RkNheepgARwhphluTfYwc,0xa69e173664847b:0x763dfe496611ac2,532515353828334274,/g/11s0z0y188,5,1,Armarinho,Armarinho,notions_store,"R. Padre Antônio Maria - Centro, Raposos - MG, 34400-000, Brasil",-19.9672089,-43.8017366,,,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PHyCpegRQVUlOL_9Fq-P8g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=183.00584&pitch=0&thumbfov=100,https://serpapi.com/images/url/xHs6YHicHc3dCsIgGADQt_Fu6voBF0gXQXQRtIK6Hc59qeDm17TZ3qbX6m2KXuCcz9umhHHDWEwjQJocZHQv8LFARU0IxoNCF6kOPZtKluyzbwfl_BbVEFwn68O8QzCX8-3qT8em2j-KWhii20Z7B0OSEdSoLTX5J46howYjyVJwYmW1ILPKshRLyvlarAi6pK3k5L_cwyRLzr9sFzlV,https://serpapi.com/search.json?data_id=0xa69e173664847b%3A0x763dfe496611ac2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69e173664847b%3A0x763dfe496611ac2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJe4RkNheepgARwhphluTfYwc,"Raposos, MG",lojas_presentes,2025-07-29T01:43:09.487483,COMPLETA
8,Marli Bazar,ChIJDw3c2BaepgARol5P99ntR40,0xa69e16d8dc0d0f:0x8d47edd9f74f5ea2,10180367003107155618,/g/11j134q0gb,4.3,3,Loja,Loja,store,"R. Anita Braga C Duarte, 68 - Centro, Raposos - MG, 34400-000, Brasil",-19.967329,-43.802929299999995,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=c4eVdZgHXyS2wc19xZBFFQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=79.89459&pitch=0&thumbfov=100,https://serpapi.com/images/url/CArh23icHc1RCsIgGADg2_iWurFoBj_BHkavEUTsJZz7U8FNmTa303SublN0ge_7vE1KIR4Zi2lGTIvFHOyKLu6CpNp77VAGG6nyI1sKlsxr7Cdp3SnIydsBVIW3odPn-3YtsyrE2jVteyGqfyhncUoQUc7KUJ1_4uwHqkMkGWpODIiSbDLDQdBaVHtBgk3KACf_5OkXKDj_AjTvOTQ,https://serpapi.com/search.json?data_id=0xa69e16d8dc0d0f%3A0x8d47edd9f74f5ea2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69e16d8dc0d0f%3A0x8d47edd9f74f5ea2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJDw3c2BaepgARol5P99ntR40,"Raposos, MG",lojas_presentes,2025-07-29T01:43:09.487483,COMPLETA
9,Unicenter Cosméticos E Presentes,ChIJxd2_nxaepgARLcUnL6Ouics,0xa69e169fbfddc5:0xcb89aea32f27c52d,14666445677402768685,/g/11rd9fn5w6,5,1,Loja de cosmético,Loja de cosmético,cosmetics_store,"R. Prof. Ernesto, 75 - Centro, Raposos - MG, 34400-000, Brasil",-19.967082899999998,-43.8051141,+55 99 2391-0498,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=v8rvodchSLU2iSsAwaGvfw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=45.60358&pitch=0&thumbfov=100,https://serpapi.com/images/url/ByEBkXicHc1BDsIgEADA33ATaLWmmhDjyYu3xrOhlMImtBB2BX2N7_I3Gj8w83l7ooRHIZCytVTA1gRPG3CTNHcxumB1AuQmLqI0gvxjGVcN4ZT0GmFSpc8lTsYP11sLA56rvpS5MjPeTQC7kkKrs_Hc1Z-Y48RdQlZVL5lXh5a9dFW7ju_ltutZAjJeSfZP5lhUI-UXgR86Eg,https://serpapi.com/search.json?data_id=0xa69e169fbfddc5%3A0xcb89aea32f27c52d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69e169fbfddc5%3A0xcb89aea32f27c52d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJxd2_nxaepgARLcUnL6Ouics,"Raposos, MG",lojas_presentes,2025-07-29T01:43:09.487483,COMPLETA
10,Lucimar R Barbosa,ChIJT3JQ_QyepgAR4DtfiPc2-Uw,0xa69e0cfd50724f:0x4cf936f7885f3be0,5546524852856241120,/g/1tq6l9cp,5,4,Armarinho,Armarinho,notions_store,"R. Herval Silva, 1031 - Vila Vitoria, Raposos - MG, 34400-000, Brasil",-19.957620499999997,-43.8083873,+55 31 3543-3003,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3UNL9xvTfOSENDd7xvMRIQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=269.09735&pitch=0&thumbfov=100,https://serpapi.com/images/url/FRg7c3icHc3NDcIgGADQbbgJtI1WTIgXPZhojX9ng5QCCS1fCkLdxrXcRuMC733eJkYIK0JCHJWKyaoMdlIuzEBg7b12SoANWPqepIJE8-wfg7BuDWLwtuXVrdmzKV2742XbbNp6Sofz7oTk4y6dVUPkQYlRGqzzTxx9izUElPmSIsNZiV4i83LBMGV1NUdgozScov_S-cQLSr9jCzlP,https://serpapi.com/search.json?data_id=0xa69e0cfd50724f%3A0x4cf936f7885f3be0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa69e0cfd50724f%3A0x4cf936f7885f3be0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJT3JQ_QyepgAR4DtfiPc2-Uw,"Raposos, MG",lojas_presentes,2025-07-29T01:43:09.487483,COMPLETA
