position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Armarinho e Papelaria São José,ChIJcZfuMFIoogAReeY91xTm7S8,0xa2285230ee9771:0x2fede614d73de679,3453669466447931001,/g/1pty55tqf,4.3,3,Armarinho,Armarinho,notions_store,"R. José Cezário, 38 - Ressaquinha, MG, 36270-000, Brasil",-21.0628228,-43.7615682,+55 32 3341-1300,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:30–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Tudo lindo,  otimos preços e produtos de excelente qualidade.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrpBu35-bLKE0-8_VqnADsJC8uuTcXV2Aa4j3MpkL4smr97FKTbT8rM5QX5J7VQ2OlK_qYFnl9jaMYvSHUpmxx_lh_6SvSjQDN2peAcWadtz7SzFBmu-_o-z7R5b_Q-afc7IoCl=w122-h92-k-no,https://serpapi.com/images/url/5ON-Z3icBcFRboIwGADgE_3iCqxgsgdEiYrMMBjqUwOV0WBpK23VcD8P4W32fe8XM0bpheNw5s46KTveWt2OVArTCjOjcnA6pYFq0E4Uh8wTo1pa14dmn67nEJDqJqKV3sWBtSU9VSiqvd7N1HXv6WEMcZKWTRmMmZ-f_B2ucnTgKbmdE8HDvs7O92Lzq4bnk3BGPot70eerb6TaiB7ri5lwMSXLwQKRMOEfvyE51H8Ub2XMvx4fCAELEVxByH9cJ0PW,https://serpapi.com/search.json?data_id=0xa2285230ee9771%3A0x2fede614d73de679&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2285230ee9771%3A0x2fede614d73de679&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJcZfuMFIoogAReeY91xTm7S8,"Ressaquinha, MG",lojas_presentes,2025-07-29T01:50:16.195200,COMPLETA
2,MF bolsas & Brindes | Maíra Fernanda,ChIJWfBdg9cpogARWA-Yj80pP1c,0xa229d7835df059:0x573f29cd8f980f58,6286789567686643544,/g/11rcn920mh,5,3,Loja de malas e bolsas,Loja de malas e bolsas,handbags_shop,"R. Acácio Loschi, 22 - Maria Antônia, Ressaquinha - MG, 36270-000, Brasil",-21.0597536,-43.7565763,+55 32 99949-4416,https://www.instagram.com/mfbolsasebrindes/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipMXXm2V2DQUX-ibKxz4USj9dhTEhv-lScmNt863=w163-h92-k-no,https://serpapi.com/images/url/ujUeQnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngGxGRaxRm5BIYGqGbmeRdUWUSGpxlmZIR4ppRppsTnJzrV2JhZmxbbmhmrJthaaSbrZuXDwCexCD4,https://serpapi.com/search.json?data_id=0xa229d7835df059%3A0x573f29cd8f980f58&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa229d7835df059%3A0x573f29cd8f980f58&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJWfBdg9cpogARWA-Yj80pP1c,"Ressaquinha, MG",lojas_presentes,2025-07-29T01:50:16.195200,COMPLETA
3,CANTINHO DA NAH,ChIJE4SDcK8pogARVFnFnN0aP8M,0xa229af70838413:0xc33f1add9cc55954,14068993300048992596,/g/11v3_zd02s,4.5,2,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"Av. Expedicionário José Pinto de Carvalho, 104 - Volta Grande, Ressaquinha - MG, 36270-000, Brasil",-21.0604659,-43.7587724,+55 32 99807-7880,https://instagram.com/nah.enxovais?utm_source=qr&igshid=MzNlNGNkZWQ4Mg%3D%3D,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–19:00; quarta-feira: 10:00–19:00; quinta-feira: 10:00–19:00; sexta-feira: 10:00–19:00; sábado: 10:00–19:00; domingo: 10:00–19:00; segunda-feira: 10:00–19:00,,,,Cartão de débito,"Entrega, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/p/AF1QipNJBvZGzNIIB1OEl4gJfK01m_z2PsPGzyUtiVPs=w92-h92-k-no,https://serpapi.com/images/url/12MZxHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng5-VUFuVe5efp6WTo75pjku6V5m1gmBtfZRRQHOBeVRlakhkWUGxbbmmkmwHE2bp5-QB-IyER,https://serpapi.com/search.json?data_id=0xa229af70838413%3A0xc33f1add9cc55954&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa229af70838413%3A0xc33f1add9cc55954&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJE4SDcK8pogARVFnFnN0aP8M,"Ressaquinha, MG",lojas_presentes,2025-07-29T01:50:16.195200,COMPLETA
4,Nirraz Store,ChIJ5WJZwtwpogAR876T65P4LZg,0xa229dcc25962e5:0x982df893eb93bef3,10965693981913235187,/g/11j0_9kqg4,5,3,Loja de vestidos,Loja de vestidos,dress_shop,"Tv. Teófilo Gama - Centro, Ressaquinha - MG, 36270-000, Brasil",-21.0643671,-43.7633368,+55 32 99814-6812,https://shopee.com.br/shop/711837028/,Fechado ⋅ Abre sáb. às 09:00,Fechado ⋅ Abre sáb. às 09:00,terça-feira: Fechado; quarta-feira: Fechado; quinta-feira: Fechado; sexta-feira: Fechado; sábado: 09:00–18:00; domingo: Fechado; segunda-feira: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nppIN5Q8RI5bWDU0RON0FZBj4uUv_xMYqg4T10ZqLjA7_8rI-J5jhYkdCb79P3pUED3JnIvnAw2tkrtxVYLxuFjS7BOExC4oI83UxVoqtrKG5n6t13ZDaBFFHxieuksVpa0KkVT=w163-h92-k-no,https://serpapi.com/images/url/AQH4PXicBcFZEoIgAADQE5ELrs304ZJF2Z42-tOkOZIUoGBxwQ7RbXrv98VScjHVtCeGk5ax9tmMohlqRmVD5aRmL63lAtQCCC2IfGxRztHWPnhHZFeXONOPu62elGFnjdn7qjZF31pnQy_7tAvcqzcgsLI7XJB7VLn-HvJsHsMVRW8afExJBqnyIlVj0p3ccDdXkcWQBzOVs14O64VNHWnAMr6FSbJUj2YkIuc3fU3y8-xjOBBg3wQEUPYHQupDmg,https://serpapi.com/search.json?data_id=0xa229dcc25962e5%3A0x982df893eb93bef3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa229dcc25962e5%3A0x982df893eb93bef3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5WJZwtwpogAR876T65P4LZg,"Ressaquinha, MG",lojas_presentes,2025-07-29T01:50:16.195200,COMPLETA
5,MILA PRESENTES,ChIJjwXezlIoogARjBF9VU-MpRU,0xa22852cede058f:0x15a58c4f557d118c,1559807118318309772,/g/11s8kcpnzv,,0,Loja de Presentes,Loja de Presentes,gift_shop,"Ressaquinha, MG, 36270-000, Brasil",-21.0610608,-43.7605672,,,,,,,,,Cartão de crédito,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=SAgOkcGm3QUwWoR6H95Hfw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=305.5654&pitch=0&thumbfov=100,https://serpapi.com/images/url/aTZWbHicHc3BDcIgFADQbbgJ1EpjTYjxZG9GjfFoKKXwIy0_BYtO41xuo3GB9z5vlxLGDWMxTcakGUxGeBofF6ioDcF6oxAi1WFgc8GSewztqMBvUY0BOnne2cNd74fyeMnXcKqaWjR9Jrq9aQ9mTDIaNWlHbf6JU-ioxUiyXHPiZL0kL5VlyQUVlVgRhKSd5OSf9GGWBedfL005GA,https://serpapi.com/search.json?data_id=0xa22852cede058f%3A0x15a58c4f557d118c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa22852cede058f%3A0x15a58c4f557d118c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJjwXezlIoogARjBF9VU-MpRU,"Ressaquinha, MG",lojas_presentes,2025-07-29T01:50:16.195200,COMPLETA
6,Fen Presentes A Loja Que Combina C / Você,ChIJ8xiNh1IoogAR_uZhPLwIoFI,0xa22852878d18f3:0x52a008bc3c61e6fe,5953768311943718654,/g/11p_0g2wjp,,0,Loja de presentes,Loja de presentes,novelty_store,"R. José Cezário, 82 - Ressaquinha, MG, 36270-000, Brasil",-21.062369099999998,-43.7614034,,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=7bH4zLoMGnerQPBswi0R2Q&cb_client=search.gws-prod.gps&w=80&h=92&yaw=174.45201&pitch=0&thumbfov=100,https://serpapi.com/images/url/akyE43icHc3bDcIgFADQbfiTR1NTNSEm_uiHJtYFDKVXuAkFAljUaVzLbTQucM7nbUuJecNYLgmgzAg14gNcXkRFTQjGgYqYqQ4TmwUr9j4NXqHbRuUDjrIbDu3rGE57D6k_73JFfml6ooerdgi-yAwqaUtN_YkpjNTETKpccWLluiFPVaXoWtouGy5IxKKt5OS_3MIsBedfbaA5Xg,https://serpapi.com/search.json?data_id=0xa22852878d18f3%3A0x52a008bc3c61e6fe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa22852878d18f3%3A0x52a008bc3c61e6fe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ8xiNh1IoogAR_uZhPLwIoFI,"Ressaquinha, MG",lojas_presentes,2025-07-29T01:50:16.195200,COMPLETA
1,Toca dos Artesanatos,ChIJL8tigE0oogAR0WGO91cKeGA,0xa2284d8062cb2f:0x60780a57f78e61d1,6951317397778096593,/g/11sqnf3hfh,4.8,5,,,,"Ressaquinha, MG, 36270-000, Brasil",-21.062625399999998,-43.762173,,,,,,,,,,,,"""Maravilhoso e proprietários super atenciosos""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqVBR0dFQTfn8dxQ3nb0ThsPNfgsK1Ly28SmGKCYRcOkcK1M9E6Dx3Tq1Z0NSVxzWpOiy1Qqo0Pjp9dloKf7cHVpC0NqnRf7Nxy6I_MI1n1p-E9vmmpXk4L-I2300_VNjvaxeorrQ=w80-h142-k-no,https://serpapi.com/images/url/sIOJhHicBcFZEoIgAADQE6GgTmkzfZRZORblMrb8NIULpQKKFXbBztBteu_3pX0v5ETXa2pqJedlnT9l3hHO-pz1GuGNXgoJiARSn7kOtVibziOYLcOkYHamQpPdYELlHhelDNBmMOy4WQXuKSK7igRo63ijhTKTFp0hjlP1OYjdfUBhy-H-IZys5kExJutUuBC3LCrGWA0j_7L1EUMCeM6racSxsjbAN0wILyl-vK4q510XTt82BBRZBqgA438UV0SJ,https://serpapi.com/search.json?data_id=0xa2284d8062cb2f%3A0x60780a57f78e61d1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2284d8062cb2f%3A0x60780a57f78e61d1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJL8tigE0oogAR0WGO91cKeGA,"Ressaquinha, MG",lojas_artesanato,2025-07-29T01:50:19.239857,COMPLETA
3,Armarinho e Papelaria Bom Pastor,ChIJ7-9rsuUpogARoqEQfM3gxs4,0xa229e5b26befef:0xcec6e0cd7c10a1a2,14899843590356246946,/g/11md4gr1y_,,0,Armarinho,Armarinho,yarn_store,"R. José Cezário, 37B - Centro, Ressaquinha - MG, 36270-000, Brasil",-21.062733899999998,-43.761690099999996,,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=tISMFBCkUb7aYZUq6TQoaA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=231.70102&pitch=0&thumbfov=100,https://serpapi.com/images/url/LFUQtHicHc1NDgExGADQ23SnPyMxSBpBIrGwEGbBRr7pVNvoTGv6mXIb13Ib4gLvfd4WMaY5Ywl7rXFwOkf31D6NIlATgvEaoktUhZYNgqF9tHUHzi8idME1EreH3Wa1vlV1CadzdZ8c9wGWRNUX5Z3uUCYNvbLU5J_Yh4aamEiWU06snBXkBVkWY0FLLnhBokNlJSf_5RoGKTj_AmRTOT8,https://serpapi.com/search.json?data_id=0xa229e5b26befef%3A0xcec6e0cd7c10a1a2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa229e5b26befef%3A0xcec6e0cd7c10a1a2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7-9rsuUpogARoqEQfM3gxs4,"Ressaquinha, MG",lojas_artesanato,2025-07-29T01:50:19.239857,COMPLETA
4,Loja Nossa Senhora de Fátima,ChIJafnJ_-8pogARfhvsba6gnxE,0xa229efffc9f969:0x119fa0ae6dec1b7e,1269910290970712958,/g/11ffw4cdp4,,0,Loja de artigos religiosos,Loja de artigos religiosos,religious_goods_store,"R. José Cezário, 82B - Ressaquinha, MG, 36270-000, Brasil",-21.062439299999998,-43.7613664,+55 32 98478-6582,http://www.facebook.com/lojinha.nsfatima,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipNpMc65suLChWPAPmIeEaYc--K5d84bcpi_x84T=w80-h142-k-no,https://serpapi.com/images/url/YteklHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngV-CbbGZaXOrjnBEe4BiQ65nqmhiZrKvrbZpiYZKUXJAZX2FhEmJbbmGgm2FoYqSbrZuXDwCb1yDC,https://serpapi.com/search.json?data_id=0xa229efffc9f969%3A0x119fa0ae6dec1b7e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa229efffc9f969%3A0x119fa0ae6dec1b7e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJafnJ_-8pogARfhvsba6gnxE,"Ressaquinha, MG",lojas_artesanato,2025-07-29T01:50:19.239857,COMPLETA
2,Capoteria E Estofador,ChIJKeFnZ04oogARo20P_9GmqfI,0xa2284e6767e129:0xf2a9a6d1ff0f6da3,17485690449100238243,/g/11w25qzyng,,0,Loja de móveis,Loja de móveis,furniture_store,"Av. Princesa Isabel, 240 - Ressaquinha, MG, 36270-000, Brasil",-21.065358,-43.764150699999995,,,,,,,,,,Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=a-jWh58I-c-x76lgXcuYfQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=335.50336&pitch=0&thumbfov=100,https://serpapi.com/images/url/w3Uhb3icHc1LDsIgFADA27DjU0lrNSGuXbpSV4bSV3iGFlJoqbfxWt5G4wVmPm-Xc0xHzlOeAfKKUCJu4BONmtkQrAcdMTETRr5WPLtl7CaN_hT1FLBXmj6vrm7P1NBt33h7M8t9uBDTPYxHmLJKoGfjmC0_cQ49szGRolpBnDrsyEsXJWXNaiFlQyJm45Qg_2UIq6qE-AJV0zkm,https://serpapi.com/search.json?data_id=0xa2284e6767e129%3A0xf2a9a6d1ff0f6da3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2284e6767e129%3A0xf2a9a6d1ff0f6da3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJKeFnZ04oogARo20P_9GmqfI,"Ressaquinha, MG",lojas_decoracao,2025-07-29T01:50:22.302274,COMPLETA
