position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,D'PRESENTES GABI,ChIJ27__hx8epAARUE9X8zJiROc,0xa41e1f87ffbfdb:0xe7446232f3574f50,16664552492148150096,/g/11f1039027,4.7,13,Loja de presentes,Loja de presentes,novelty_store,"Praça Paulo Teixeira, 25 - Centro, Rio Acima - MG, 34300-000, Brasil",-20.088582799999998,-43.7890616,+55 31 98884-5215,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: 09:30–12:00; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr5Dm_kChHDEmNicqf9cxAFv-fqbiUGOxbtf4yUv1-lABMvC0itxJ3dAxgWltWScDIzuqKcqM6_hvPpEyPhkAEL6llulQwyTKB3TYNLPBis2BL1x3Jn1kQoGcDz2F1beMTwAR4dxg=w169-h92-k-no,https://serpapi.com/images/url/5YATL3icBcHbDoIgAADQLyJDzc22HvCSXbSsbK2nNlHBiaCBiv1g39DfdM7vS5Xq5NowGLUWRAjCykGWbyy4KrlaYNEapJMASyAN5LvU5u9V0L4an-6CsD3VuK9crNF2BFWf1_forHNV2fN9hIAhLxn9Za30wSqQJg-mHjcc7D9Df8R94rzomHbhnNIGhbHD2MAu05wdPSt7nuLUq6XpxVBbBw6bi4hw8DG3MC-TbEJXu9BkM0HHBdQ1QQO4-APTM0Y_,https://serpapi.com/search.json?data_id=0xa41e1f87ffbfdb%3A0xe7446232f3574f50&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa41e1f87ffbfdb%3A0xe7446232f3574f50&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ27__hx8epAARUE9X8zJiROc,"Rio Acima, MG",lojas_presentes,2025-07-29T01:53:14.086952,COMPLETA
2,T & T Utilidades e Presentes,ChIJv9IJwmIfpAARlscmafH4jqw,0xa41f62c209d2bf:0xac8ef8f16926c796,12434149336951474070,/g/11f5_71kn3,5,2,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"Av. Israel Pinheiro da Silva, 1469 - Centro, Rio Acima - MG, 34300-000, Brasil",-20.0996998,-43.783461599999995,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimo atendimento""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrJaX8ihIDh4YA6kCXOtANt6-zqL-NJJKDEmA73SeFPiiM4rl7fX9fYuXellJmFztL9hPOmtGA1lZOW6vrxGJId_8zbEpUHHwrZPSfpJvTHEvq9OhMwUiLpmOWFw3O8QsZ5uwo=w122-h92-k-no,https://serpapi.com/images/url/AkQiS3icBcFRboIwAADQE1UiMKQmfjQKYocWo0TkZ9lYocSW1rbQhfN5id3G9_5fzFpl1p7HWbDopOw4HQ3VjRwsHeyikcLrlAGNAcZDW8jCQePvKu7ZYcfCO4oe24pYdLIRmJ85OGH8uUsEWgUXmhZ9fww1X7UVbO9jRTnHIp1tDllBhN2jJa_JLZr03x4ffr_i-SdRZZY5XReXVuHpmiXTExJ2dGWfK0FuqQtIfDb1x-jkxi19HzDogwcY5BthVkSV,https://serpapi.com/search.json?data_id=0xa41f62c209d2bf%3A0xac8ef8f16926c796&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa41f62c209d2bf%3A0xac8ef8f16926c796&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJv9IJwmIfpAARlscmafH4jqw,"Rio Acima, MG",lojas_presentes,2025-07-29T01:53:14.086952,COMPLETA
3,My presentes,ChIJgaj_tz2hpgAR7IH0EQfyZNs,0xa6a13db7ffa881:0xdb64f20711f481ec,15809026704157213164,/g/11t60rzk1y,5,1,Armarinho,Armarinho,yarn_store,"R. Afonso Pena - Centro, Rio Acima - MG, 34300-000, Brasil",-20.0874804,-43.792200699999995,+55 31 3191-7327,https://instagram.com/mypresentes_?igshid=YmMyMTA2M2Y=,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–19:00; quarta-feira: 10:00–19:00; quinta-feira: 10:00–19:00; sexta-feira: 10:00–19:00; sábado: 09:30–18:00; domingo: Fechado; segunda-feira: 10:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noaC2moCDTDGRie9ZT8Q9ORIREULwRyjjWUwxCNZ9s7kD8S6UtSgI7flEnDMrVdPUgALWHUZtTdcXeL5-qc9zd0IDFcjNpF1iIhfXVXekhkiQnqtb9ZPGJQm9wAE7DYWOI6Ux_8=w80-h142-k-no,https://serpapi.com/images/url/CtVKAHicBcFZEoIgAADQE5HtSjN9OGJFY4smaf40hQRuYEFjdb8O0W167_cVxrR6Zlm1GPW4UrxmT80eVEnDpOlR1Vi81YBqoC3Xg2Is1cUbNspDMVpGBYNZ7IRwF-HIJ0EXvcsyId3L22ZQ2xVyDlNiDhzbt9qXaPM45nvC3SBZkczEOU1ZMAF3Cj95H6MFLbftYlBgcUuPKatEVYTybq4w2y_XYQM717fRKdnhKXmdnXnn9IEYjIegAlL9AaD-RBM,https://serpapi.com/search.json?data_id=0xa6a13db7ffa881%3A0xdb64f20711f481ec&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a13db7ffa881%3A0xdb64f20711f481ec&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJgaj_tz2hpgAR7IH0EQfyZNs,"Rio Acima, MG",lojas_presentes,2025-07-29T01:53:14.086952,COMPLETA
4,MUNDO DAS MAKES,ChIJ5bTNtx8epAARoXe0AOsTRXQ,0xa41e1fb7cdb4e5:0x744513eb00b477a1,8378124581842745249,/g/11md0_0b18,5,32,Loja de produtos de beleza,Loja de produtos de beleza,beauty_supply_store,"Av. Israel Pinheiro da Silva, 101 - Centro, Rio Acima - MG, 34300-000, Brasil",-20.0901593,-43.7894812,+55 31 99454-5803,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,,,,"""Excelente atendimento ótimo produtos super indico""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=L9oiC1A549sq0IcIkNW_rQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=155.53374&pitch=0&thumbfov=100,https://serpapi.com/images/url/LfNmAnicHc1fCsIgHADg2_iWf9qkFsiIngYR9NTjcM70R26a2qzbdK1uU3SB7_u8bc4h7QhJOWqdF9AlwFO7tAoSG--N0zJAwspPZGEk28c0zBJcG-TsYRTHxsOB7XndpDvtVHc7Xfp4RmrolQM9Z5G0jMpiU35i9CM2IaEithRZ0azRSxbBOMe8qjY1CpCVFRT9l6tfBKP0C0UKOPg,https://serpapi.com/search.json?data_id=0xa41e1fb7cdb4e5%3A0x744513eb00b477a1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa41e1fb7cdb4e5%3A0x744513eb00b477a1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5bTNtx8epAARoXe0AOsTRXQ,"Rio Acima, MG",lojas_presentes,2025-07-29T01:53:14.086952,COMPLETA
5,Flora Rio,ChIJH4Wjc6KgpgAR92clLzcuF1k,0xa6a0a273a3851f:0x59172e372f2567f7,6419650608388990967,/g/11c1q6m8p5,4.7,63,Floricultura,Floricultura,florist,"R. Afonso Pena, 882 - Centro, Rio Acima - MG, 34300-000, Brasil",-20.0863364,-43.7973456,+55 31 3545-1259,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–16:09; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqRKlGCM1gFbC07gsMljoi79LJ9lZELa1XgVUocTcD1-FL5rOM516jgGgtKkGBQsK5aXe7J9Z2f57XOhJw5L4Y23Zrak2hrE6x7gxPEKm7YvoS8WOuy2S_rpJ5qowO5tk2zwMQ=w80-h106-k-no,https://serpapi.com/images/url/cnkwc3icBcFbUoMwFADQFQVI2pDijB8WgRkeg32olJ8OZvDGknJpkkp1fd2Eu_Gcv7tybrIPvq_VwgNE0P3V9kbi6PrReRLPPkyWSEus_xRHajletoXO4opC-hEHAmylT_glojKPdJuUHW3g7RXlXj5Tkpbc1BWn4QkycMWQrTe24F3Tizxq2ScXTa3ymZfLA1u0phuYMkl4E3B7SYqzOHzjbvVeX3_Y7mimnF9wrrkb2O9cbR7nVUAUDUIykBH_AdSsQrk,https://serpapi.com/search.json?data_id=0xa6a0a273a3851f%3A0x59172e372f2567f7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a0a273a3851f%3A0x59172e372f2567f7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJH4Wjc6KgpgAR92clLzcuF1k,"Rio Acima, MG",lojas_presentes,2025-07-29T01:53:14.086952,COMPLETA
6,Belma Flores Casa e Jardim,ChIJ-13coxChpgAR0tzqShhU8is,0xa6a110a3dc5dfb:0x2bf254184aeadcd2,3166685951307734226,/g/11r8z2wtx0,5,20,Floricultura,Floricultura,florist,"Praça Santo Antônio, 26 - Centro, Rio Acima - MG, 34300-000, Brasil",-20.0875946,-43.7893396,+55 31 99090-2263,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np-AAefkbMMWswbu5o6kixCGmLifkBatnc5O5TGbyHodxSBD1-DJNDsIaU9OYdf4cntle2QIal36qDsmCuR9RwnSFi3qNmVcelhXb9ONS0E4KRJWXRifx_AsltrRMaHvcH8DJnm=w80-h106-k-no,https://serpapi.com/images/url/qnFpunicBcFbcoIwFADQFUVQHiOd8QOJFWmBaWhFvxyIgTDkgd4gdIEuwt14zuvJjRngw7IEdxat1q1gI7A71cowZRZUS6sdAFFAYIVRwF01oDBkTV-naQlTPXra77s52svvrum3lVHUy73fff0f6-tcbPES4STDcKj-gvx8bVyqjGCrn0MlHP-GQUYjCcikis_OuWXySJngpzrIs8LeuV8kKU-ka-ZLCMLcSVrFDxqvcaLkZlrbiC9tH_VI6TcMV0VB,https://serpapi.com/search.json?data_id=0xa6a110a3dc5dfb%3A0x2bf254184aeadcd2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a110a3dc5dfb%3A0x2bf254184aeadcd2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-13coxChpgAR0tzqShhU8is,"Rio Acima, MG",lojas_presentes,2025-07-29T01:53:14.086952,COMPLETA
7,Armazém Vovó Niníte,ChIJoW0TyiEfpAARaRJlV9RlacY,0xa41f21ca136da1:0xc66965d457651269,14297070454738063977,/g/11gr4pxxpc,4.7,23,Armazém,Armazém,general_store,"R. José Gonçalves dos Santos, 91 - Centro, Rio Acima - MG, 34300-000, Brasil",-20.0876601,-43.7898612,+55 31 99607-4384,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Atendimento 24 horas; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Gostei muito.produtos de boa qualidade, bom preço, ótimo atendimento.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqBUqmDdvkmkGkdR8Wb9H7ll9W4jK0eCM8SoMyZ2NjEZ2551dGSDvf6lYGdTjkJTQURDukmonGtZgS30zUqc7uia6cmh-RrTXC-lvHE13pBfp7knCXjwU3SGjUqEsV7rO4A5e65pA=w80-h106-k-no,https://serpapi.com/images/url/AfXgmnicBcHbboIwAADQL6qA3E18QCA1W9wi0Ol420ql6x1aMNsP-g3-zc55Pqhzxu48T9BwM2o9CrJYMmOtHFFug7X0RmMBtsB6RZnTSE0HNMlqWLnkkA9NdvnOj6kQ-SVirz4pT1mrT7_99o3V_TaOgwG21XpLxCccOsZfujNqqoVLraDrxzb0_9CE0-XnK8GSgmburiUQ67EOQnO4mZSr8sruKGwhQ1NtP9L5PSpiksSm2N8zH9DATwAHSv8DRRNEoA,https://serpapi.com/search.json?data_id=0xa41f21ca136da1%3A0xc66965d457651269&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa41f21ca136da1%3A0xc66965d457651269&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJoW0TyiEfpAARaRJlV9RlacY,"Rio Acima, MG",lojas_presentes,2025-07-29T01:53:14.086952,COMPLETA
8,Shs Mil Utilidades,ChIJvVQ3B6CgpgARfQznkaJdXWw,0xa6a0a0073754bd:0x6c5d5da291e70c7d,7808500281744231549,/g/11hyn8nfbd,5,1,Loja,Loja,store,"219, R. Afonso Pena, Rio Acima - MG, 34300-000, Brasil",-20.0883279,-43.7911461,+55 31 3545-1253,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=FLlPjKmKqsFeQQ_wSuslfg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=161.83852&pitch=0&thumbfov=100,https://serpapi.com/images/url/sog5r3icHc3NDYIwGADQbXqzPxgNmjTeuOBB4gCklI-2pNDKV6hu41puo3GB9z5vm1LEM2OYFoC0OcjRPcHjLipqQjAeVHRIdZjYJliy69TNyvlLVHNwvayu_jbWU_3ACpqmzfcV_WCI7lrtHcxJIqhFW2ryT1xCT01EkmXJiZWngrxUluIoaLkvDwWJLmkrOfkvQ9ik4PwLs4o6QA,https://serpapi.com/search.json?data_id=0xa6a0a0073754bd%3A0x6c5d5da291e70c7d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a0a0073754bd%3A0x6c5d5da291e70c7d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJvVQ3B6CgpgARfQznkaJdXWw,"Rio Acima, MG",lojas_presentes,2025-07-29T01:53:14.086952,COMPLETA
9,Laços Papelaria,ChIJEe2K3JkfpAARJutnBdMnOTM,0xa41f99dc8aed11:0x333927d30567eb26,3691025156889111334,/g/11vm372s6k,,0,Loja de Presentes,Loja de Presentes,gift_shop,"Praça Santo Antônio, 126 - Centro, Rio Acima - MG, 34300-000, Brasil",-20.087199599999998,-43.7897688,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E8K5EFDr8F3uUqBjm9WEJA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=89.423965&pitch=0&thumbfov=100,https://serpapi.com/images/url/0xVivHicHc3BDoIgHIDxt-EWoGaTNtZq6aHOrWND_Ac0FALUepteq7fJdftOv-_70Sn5uCUkpgCQJgOzNy-wceUFVs4pC8KbiKXryZSRpMe-HYSxOy8GZzpeV-eybo6haorx8jw8enatT3sk25u0BobEI4ggNVbzIgbXYeUjmnlFkeYsR2-xNMPrvGCbEnmTpOYU_S93N_GM0h8t1zi5,https://serpapi.com/search.json?data_id=0xa41f99dc8aed11%3A0x333927d30567eb26&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa41f99dc8aed11%3A0x333927d30567eb26&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEe2K3JkfpAARJutnBdMnOTM,"Rio Acima, MG",lojas_presentes,2025-07-29T01:53:14.086952,COMPLETA
2,Festejar A Loja Da Sua Festa,ChIJ7ySohZ-gpgAR0mng-Ny2nhA,0xa6a09f85a824ef:0x109eb6dcf8e069d2,1197595611111647698,/g/11h1mdlg6s,,0,Loja de artigos para festas,Loja de artigos para festas,party_store,"Praça Santo Antônio - Centro, Rio Acima - MG, 34300-000, Brasil",-20.0874365,-43.7897379,+55 31 99149-7513,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–15:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,Cartão de débito,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrudQoVr5_Tv2Hf8iCjsojsXo1hDCMvmy_A-wkC0nG0R_3Mix4JE9eGMKkLdx6E3k1UIDVPJakjVECE9Fd0DAhDh6agZnDiSUDy53fwTXtRuEWVnOajD1Vv-JAfiX9SAxt1yOQAdw=w80-h142-k-no,https://serpapi.com/images/url/OUOyzHicBcHbDoIgAADQL0IlzWVbDwzoYrnu5HpxzhtKQRO8fWHf0N90zu_LjfnopW2_uGtVSlWvotNFmylpCmmsTL3t6qNBpoG2EQ64J9suPyvWzpNbP9uWixo3WjU6VpATHPXvKUFgENiRG-eSuFE9eiENik20F4d89Kkr4H1H2ClMRcMopsE6dwjihPtp9ZSkvt7JNHfL4RabS0cfTB7ThkDWgxCVdRxc0WjgdDyjfFgNCwdw6M2AAFL9AUzNRLk,https://serpapi.com/search.json?data_id=0xa6a09f85a824ef%3A0x109eb6dcf8e069d2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6a09f85a824ef%3A0x109eb6dcf8e069d2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7ySohZ-gpgAR0mng-Ny2nhA,"Rio Acima, MG",lojas_decoracao,2025-07-29T01:53:17.165550,COMPLETA
