position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Mundo Encantado,ChIJfeTQqPD_pAARx_579sAb50Y,0xa4fff0a8d0e47d:0x46e71bc0f67bfec7,5109082817858109127,/g/1tfd3mvk,5,1,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. Duque de Caxias, 145 - Rio Piracicaba, MG, 35940-000, Brasil",-19.930055,-43.174300099999996,+55 31 3854-1047,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=5aYLSiATjheEt92Cg0B1QQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=260.2201&pitch=0&thumbfov=100,https://serpapi.com/images/url/5v18LHicHc1LCsIwEADQ22RnfqBYIYiKOzdFN64kjWMykjahGRs9jefyNooXeO_zDkS5rIQoNALQhFAzPiGWWbbcp-Qj2IyFu9SLSQkKj74bLMZ1tkPCq5nb8-GIm9M9wJ4avfNyq9qWue7iIsJApoAdXeC-_sQxXbnPhVWzlCyYRrOXrUYvJNdaKpaRXDCS_ZNbmoyS8gsK_zia,https://serpapi.com/search.json?data_id=0xa4fff0a8d0e47d%3A0x46e71bc0f67bfec7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4fff0a8d0e47d%3A0x46e71bc0f67bfec7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfeTQqPD_pAARx_579sAb50Y,"Rio Piracicaba, MG",lojas_presentes,2025-07-29T02:08:12.881009,COMPLETA
2,Juliana Presentes,ChIJMwjw-_X_pAAR847mIWgCbbI,0xa4fff5fbf00833:0xb26d026821e68ef3,12856935157481246451,/g/11l6q86qcl,,0,Loja de Roupa,Loja de Roupa,clothing_store,"R. Duque de Caxias, 20 - Rio Piracicaba, MG, 35940-000, Brasil",-19.931135299999998,-43.174394799999995,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=So2ZAUXDezIMiYYF07SstQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=146.00374&pitch=0&thumbfov=100,https://serpapi.com/images/url/O3LwmHicHc1BCsIwEADA3-RmktZiVQgiiODBgxTBepGYrs1C2oRmbdTX-C1_o_iBmc_bEoW4FCLSAEAjQgr4ABcnQfPW-9aBDhi58Z0YM0H23l17jW4VdO-xUZXPz-vjaQOv3R7reivLKtKBmevFOISeVAQ9GMvb9BMH3_A2RJbUXDKrFjl76qSyYsalnJYFC0jGKsn-y82PKpPyC2U-OUk,https://serpapi.com/search.json?data_id=0xa4fff5fbf00833%3A0xb26d026821e68ef3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4fff5fbf00833%3A0xb26d026821e68ef3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJMwjw-_X_pAAR847mIWgCbbI,"Rio Piracicaba, MG",lojas_presentes,2025-07-29T02:08:12.881009,COMPLETA
3,Souarte - Rio Piracicaba,ChIJJ8x-xZD_pAARU-ZXAVP2zjg,0xa4ff90c57ecc27:0x38cef6530157e653,4093479947691615827,/g/11vfb2nckb,5,1,Loja,Loja,store,"R. Duque de Caxias, 112 - loja 1 - Rio Piracicaba, MG, 35940-000, Brasil",-19.930231,-43.174073799999995,+55 31 3854-1331,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npN8dYPjqlcdfjVAIr3fcvOaFQtGHFKbiRwtnzWPrJVvcM5kYga_TqzvIQu5zpSZ-xzWZF6CfFGaCh3a5KTjpf60xDEJ-EMYyog69aFcdFxFOK2W8-ff9XopiVjbsWiFxp6WbWzdg=w80-h106-k-no,https://serpapi.com/images/url/VCRgaXicBcFdboIwAADgE1WYSAMmPhhmnRLnb-jgxZRCW5C1lVbEXtAz7Db7vr-3sFabued1IphwpXhXP0zdUyVtLe2Eql-PawOoAcZbJrGYSf0dVfmhvXe0Ym223PQBo8OeoKNdf6G0bE5PKx0-9NtsoLvwlnNyvdzdsDk-QqfPBRgdLhBMGFqTRAQkTC-tZtAfP1dbsNrlL8VhTBCt0Ij26RRHgLH4R-kma0uDGzRqiEvsKr54Rj4QHz4ENyDVP_RSRqo,https://serpapi.com/search.json?data_id=0xa4ff90c57ecc27%3A0x38cef6530157e653&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4ff90c57ecc27%3A0x38cef6530157e653&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJ8x-xZD_pAARU-ZXAVP2zjg,"Rio Piracicaba, MG",lojas_presentes,2025-07-29T02:08:12.881009,COMPLETA
4,City Col Papelaria E Presentes,ChIJG8dgYV9VpAARWLjHYi_nJko,0xa4555f6160c71b:0x4a26e72f62c7b858,5343212198628407384,/g/11hzfy6dhf,,0,Papelaria,Papelaria,stationery_store,"R. Tiradentes, 90 - Centro, Rio Piracicaba - MG, 35940-000, Brasil",-19.9319661,-43.174621599999995,+55 31 99666-1059,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,,https://lh3.googleusercontent.com/p/AF1QipPNcjPwPxCmfJgtzWDJmtrLHWbLl9BHx5I5gTSk=w80-h106-k-no,https://serpapi.com/images/url/euN5YHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4JecFVAeUOGcm-aVXlIV7uKVW1Lk4xGe5JNj6eRRYeppmh4SnG1bbmGgm2FoYKabrZuXDwDDmCHJ,https://serpapi.com/search.json?data_id=0xa4555f6160c71b%3A0x4a26e72f62c7b858&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4555f6160c71b%3A0x4a26e72f62c7b858&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJG8dgYV9VpAARWLjHYi_nJko,"Rio Piracicaba, MG",lojas_presentes,2025-07-29T02:08:12.881009,COMPLETA
1,Tó Crochês,ChIJObyKkSj9pAAR5wiZ5MRwEBo,0xa4fd28918abc39:0x1a1070c4e49908e7,1878125035564632295,/g/11tggsj74f,5,1,Artesanato,Artesanato,handicraft,"R. Felício Abreu Souza, 699 - Padre Pinto, Rio Piracicaba - MG, 35940-000, Brasil",-19.997906999999998,-43.089389,+55 31 99649-8845,,,,,,,,"Cartão de crédito, Cartão de débito",,,"""Gostei muito da qualidade das peças... Recomendo""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=KtNJpgaTx-rwYPPXoKuw0w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=193.22949&pitch=0&thumbfov=100,https://serpapi.com/images/url/CgFWUXicHc0xDsIgFADQ27AVaHUQE-JuE9PBQSdDKQIJhR_4LfU2XsvbaLzAe5-3Q4RyZKxgNgZXbyr4zYTSgKI2JRuMAl-oTjNbW4ZumceofDiBislPssfLGay6bk2u92G4pX6pvBI9PnTwJqIsRmXtqK0_MaeJWiikygMnToqOvFSVrdjRrhN7QcCjdpKT__JMq2w5_wKp0Doe,https://serpapi.com/search.json?data_id=0xa4fd28918abc39%3A0x1a1070c4e49908e7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4fd28918abc39%3A0x1a1070c4e49908e7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJObyKkSj9pAAR5wiZ5MRwEBo,"Rio Piracicaba, MG",lojas_artesanato,2025-07-29T02:08:15.942847,COMPLETA
2,Atelier infinito amor,ChIJpYeI26FVpAAR0m8O9-VVn3M,0xa455a1db8887a5:0x739f55e5f70e6fd2,8331472281839497170,/g/11frdhdg2k,3,2,Artesanato,Artesanato,handicraft,"Avenida Gustave Peffer, 565 - Louis, Rio Piracicaba - MG, 35940-000, Brasil",-19.944616999999997,-43.18539,+55 31 98873-4682,,,,,,,,Cartão de débito,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=E8hPegaX7zNaRrvrhTlw_g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=237.15903&pitch=0&thumbfov=100,https://serpapi.com/images/url/y95Y43icHc3BDcIgFADQbbgJtI1pa0I8eTXGePDW_NIvkFAggKBO41puo3GB9z5vnXNIO8ZSjoi5GKzBPNCmTQCqvFcWIZhEpV9ZaVjW93V2YOw-gPNmEYdBn1DBtX8d4RxL1BdbJ0XkPElr0GWREKLUVNWfGP1CVUikioETLcaWPKGKtutpsx15R4LJUgtO_svNF9Fw_gWubTox,https://serpapi.com/search.json?data_id=0xa455a1db8887a5%3A0x739f55e5f70e6fd2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa455a1db8887a5%3A0x739f55e5f70e6fd2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJpYeI26FVpAAR0m8O9-VVn3M,"Rio Piracicaba, MG",lojas_artesanato,2025-07-29T02:08:15.942847,COMPLETA
3,Atelier Infinito Amor,ChIJAz739uhVpAARoSxvZ4ZPY4E,0xa455e8f6f73e03:0x81634f86676f2ca1,9323383092266609825,/g/11s1b1dxqw,5,1,Artesanato,Artesanato,handicraft,"Rua 2, 186 Louis, R. Louiz Ensch, Rio Piracicaba - MG, 35940-000, Brasil",-19.945668299999998,-43.183241599999995,+55 31 98873-4682,https://www.elo7.com.br/tatianacota1516,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Os bordados  me remetem aconchego!""",https://lh3.googleusercontent.com/p/AF1QipO4xEn93MxJn3kK1-HLJBdPyF0ov0E8g7saSm9Y=w92-h92-k-no,https://serpapi.com/images/url/9KjW4XicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngb1Lhmmdp7FvhlWec7W2o6-Hj5ZQSUOlmkF9m4GqRbl6cGJxrGWlbbmmkmwHE2bp5-QBrhyBD,https://serpapi.com/search.json?data_id=0xa455e8f6f73e03%3A0x81634f86676f2ca1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa455e8f6f73e03%3A0x81634f86676f2ca1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJAz739uhVpAARoSxvZ4ZPY4E,"Rio Piracicaba, MG",lojas_artesanato,2025-07-29T02:08:15.867817,COMPLETA
4,Picotando Artes,ChIJa9lf_dT_pAARcE3VdA0odeE,0xa4ffd4fd5fd96b:0xe175280d74d54d70,16245935269068754288,/g/11fk14mm44,,0,Artesanato,Artesanato,handicraft,"Antonio Alves Guimarães, 123 - Chacrinha, Rio Piracicaba - MG, 35940-000, Brasil",-19.9263388,-43.1744257,+55 31 98904-0655,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=50oLIV3d3Aqcz1RABaZLtg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=164.51141&pitch=0&thumbfov=100,https://serpapi.com/images/url/zk27KXicHc09DsIgGADQ27DJj22NmnwxdTPp5ODgYihFIKEF4bOop_Fa3kbjBd77vC1izFvGMiatcXa6RPfQPi-ipCYE47WMLlMVRjYLhvY-9pN0fhflFNwADQ_d4VQNVXtTL3Fs9_LcoSGqvyjv9ISQtUzKUlN-YgoDNTGTAmtOLGyW5CkLiFVNGyFqQaJDZYGT_3INMwjOv0lLOP8,https://serpapi.com/search.json?data_id=0xa4ffd4fd5fd96b%3A0xe175280d74d54d70&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4ffd4fd5fd96b%3A0xe175280d74d54d70&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJa9lf_dT_pAARcE3VdA0odeE,"Rio Piracicaba, MG",lojas_artesanato,2025-07-29T02:08:15.867817,COMPLETA
6,Sublimart,ChIJI8OngsZVpAARaoY7hcLSstI,0xa455c682a7c323:0xd2b2d2c2853b866a,15182429026720122474,/g/11t_ynqdg7,,0,Artesanato,Artesanato,handicraft,"R. Moacir Carvalho Taroco, 241 - Louis Ensch, Rio Piracicaba - MG, 35940-000, Brasil",-19.9454475,-43.184798199999996,+55 31 99777-3983,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,Cartão de débito,,,,https://lh3.googleusercontent.com/p/AF1QipPj31k_O8PgFVEPiEwMvdIKJC7TwVnI0pp6v3tJ=w99-h92-k-no,https://serpapi.com/images/url/EXRZtHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkGVsmB3vbxGQ7hbmGpDpWu5bluLp7eVsHlIeludpUFBgVmZc4mVbbmmpm2FppJutm5cPAHyCINM,https://serpapi.com/search.json?data_id=0xa455c682a7c323%3A0xd2b2d2c2853b866a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa455c682a7c323%3A0xd2b2d2c2853b866a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJI8OngsZVpAARaoY7hcLSstI,"Rio Piracicaba, MG",lojas_artesanato,2025-07-29T02:08:15.867817,COMPLETA
7,Azaléia Artesanato,ChIJEwAwm19VpAARn1-HnOsKBE0,0xa4555f9b300013:0x4d040aeb9c875f9f,5549572647887003551,/g/11c67qww91,5,4,Loja,Loja,store,"R. Mal. Deodoro, 1-113 - Rio Piracicaba, MG, 35940-000, Brasil",-19.9332842,-43.175347699999996,+55 31 98498-8040,,Permanently closed,Permanently closed,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noRJSAq7uTfx_ISK6ixkjQ-diGd7obXevl96zUnzqpdmUBALggbPtHOmteGnc4xJL5RN19XjlnfG6ms_GIQL0rbgEtA16hc4PGvYXJiIVPKJZMmAm6jmsIlwuSbC-PeQTZcLl9l=w163-h92-k-no,https://serpapi.com/images/url/zDwUdHicBcFtDsEwAADQE9WMqVTiR4nUZtjMZPyRrKt204_RjsX9HMJtvPf7CudaO_M8KcYDbgyXrLPsSY12TLsBNcrjrQXUAuvhJRKBNocow49pd7z11zDbwLq_NymoalJNTVmwl0Twk-vPo61UvsAx52Xi1nvlGNE06KN4ctj5qGikvhGo7JWEaTx8lnzlsA8FDRLyOhdRHZ6STXTZKqxgo2wo311WLkHC0uOFxhLJ-duHYyDQCNyBNn9BV0WP,https://serpapi.com/search.json?data_id=0xa4555f9b300013%3A0x4d040aeb9c875f9f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4555f9b300013%3A0x4d040aeb9c875f9f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEwAwm19VpAARn1-HnOsKBE0,"Rio Piracicaba, MG",lojas_artesanato,2025-07-29T02:08:15.867817,COMPLETA
