position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Arte e Cor Papelaria e Presentes Roseira,ChIJB_NnNLnnzJQRxKNepgu4CIM,0x94cce7b93467f307:0x8308b80ba65ea3c4,9441998978957616068,/g/11t3hy5z65,5,7,Loja de departamento,Loja de departamento,department_store,"Praça João Paulo II, 31 - Parque das Rosas, Roseira - SP, 12580-000, Brasil",-22.9013407,-45.309327499999995,+55 12 99782-7331,https://www.facebook.com/arteecorroseira,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–18:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,"""Variedade, simpatia e excelente atendimento!""",https://lh3.googleusercontent.com/p/AF1QipPn230zwbk8mXyBVTrcBunDlpLYW0yTzfgVTWlj=w92-h92-k-no,https://serpapi.com/images/url/z4uZ3nicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkGdkbFBVnpRtkRtR6RQWUpTsVJrnklPgExluUBlSlZYeFhKek2VbbmmkmwHE2bp5-QCeRCHw,https://serpapi.com/search.json?data_id=0x94cce7b93467f307%3A0x8308b80ba65ea3c4&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cce7b93467f307%3A0x8308b80ba65ea3c4&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJB_NnNLnnzJQRxKNepgu4CIM,"Roseira, MG",lojas_presentes,2025-07-29T02:13:51.074971,COMPLETA
2,Maria's Artesanatos Presentes e Utilidades,ChIJ10_1sennzJQRMPX7eAHtOq8,0x94cce7e9b1f54fd7:0xaf3aed0178fbf530,12626665095867135280,/g/11f1nhfvbh,5,1,Loja de presentes,"Loja de presentes, Loja de acessórios automotivos, Livraria religiosa, Loja de artigos religiosos, Loja de souvenires, Loja de produtos de higiene",novelty_store,"Rod. Pres. Dutra, km 82, Roseira - SP, 12580-000, Brasil",-22.909433699999997,-45.316540599999996,+55 12 99677-7897,http://facebook.com/mariasartesanatos,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–20:00; quarta-feira: Atendimento 24 horas; quinta-feira: 08:00–20:00; sexta-feira: 08:00–20:00; sábado: 08:00–20:00; domingo: 08:00–20:00; segunda-feira: 08:00–20:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Lindo lugar de bom gosto e atendimento.""",https://lh3.googleusercontent.com/p/AF1QipOMBtNyFVWNwHG_kGM3ILDw8lh-PCX_FB_yF88Z=w163-h92-k-no,https://serpapi.com/images/url/GlCWeXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng7-tU4lfpFhbuV-7hHp_t7mvs6eNSbpGToRvgHBHv5hRf6WZhEWVbbmhmrJthaaSbrZuXDwCbRCCw,https://serpapi.com/search.json?data_id=0x94cce7e9b1f54fd7%3A0xaf3aed0178fbf530&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cce7e9b1f54fd7%3A0xaf3aed0178fbf530&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ10_1sennzJQRMPX7eAHtOq8,"Roseira, MG",lojas_presentes,2025-07-29T02:13:51.074971,COMPLETA
3,Ribeiro Presentes,ChIJwyT06N-tzpQRU5zXYS8RPEk,0x94ceaddfe8f424c3:0x493c112f61d79c53,5277111758574034003,/g/11t42jlkd4,5,41,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. João Mendes, 29 - Extrema, MG, 37640-000, Brasil",-22.854792,-46.319680399999996,+55 35 98469-5255,https://instagram.com/ribeiro_presentes?igshid=NmE0MzVhZDY=,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–16:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento nota 10, produtos incríveis, super recomendado""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npxoT-np0E160AcuSqoSYgu4OzssFwZJm41gDFQdr4ocuIZVP5sDdRXCE-if6CVUk7QiG6mYzDFQePSs7XNOyFqB_kdPX3YjThJ_eIekKEjRdjmB4hNQ97oqSrnE9a-rusm8dL4kGLDhUHu=w80-h142-k-no,https://serpapi.com/images/url/0XM4kHicDcpbcoIwFADQFUWgpiCd6YfysFpHQdQBf5xOkiYSkwtcMrbusQvobtrzfX5_1Dh2-OJ5NzWdSAB5Ew7FwMCOwo4TBsaTHRKGBL15Eitquy84ENv5WRD6c-aqHqpGOrp7IOb389rQQKZ5yQcKzK3Op-IZU76vk4xcP8PkdNRReV2Gpnn8J1FUGNXb3XfeLy6aF_W0aQ9qfRErod-zds9bs6BqW8YR9NVgs_iDDA7NjG-oXm5SdXxzr_eZT1RAn4gmFv4AFAhHXw,https://serpapi.com/search.json?data_id=0x94ceaddfe8f424c3%3A0x493c112f61d79c53&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ceaddfe8f424c3%3A0x493c112f61d79c53&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJwyT06N-tzpQRU5zXYS8RPEk,"Roseira, MG",lojas_presentes,2025-07-29T02:13:51.074971,COMPLETA
4,Cia Presentes & Acessorios,ChIJSWvj6-_nzJQREVfVPXyFvp4,0x94cce7efebe36b49:0x9ebe857c3dd55711,11438726872227469073,/g/11v6xybgyz,,0,Loja de variedades,Loja de variedades,variety_store,"R. José Benedito Machado - Jardim Primavera, Roseira - SP, 12580-134, Brasil",-22.9007118,-45.3090428,+55 12 99660-8397,https://ciapresentesacessorios.com.br/,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=kULLEbVdoI_Vsw4N8bzPoA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=324.7035&pitch=0&thumbfov=100,https://serpapi.com/images/url/hHSxWnicHc3BDcIgFADQbbgJ1NZYTYjx4MGkMV7stQH6BSLtJwWLuoxzuY3GBd77vG1KIW4Zi2kCSLODHNwDfFwESQ2i8SCDi1TjwOaCJXsf1Cid3wU5ouvF7dI0B9X2eOzamKtTrV5n3BOtOu0djElEkJO21OSfOGFPTYgki5oTKzZL8pRZlMuKrnm5IsElbQUn_-SKsyg4_wJOgzl1,https://serpapi.com/search.json?data_id=0x94cce7efebe36b49%3A0x9ebe857c3dd55711&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cce7efebe36b49%3A0x9ebe857c3dd55711&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJSWvj6-_nzJQREVfVPXyFvp4,"Roseira, MG",lojas_presentes,2025-07-29T02:13:51.074971,COMPLETA
5,Mercado joia da Roseira,ChIJYxFD_fqrzpQRyskbN0txkRw,0x94ceabfafd431163:0x1c91714b371bc9ca,2058551072546081226,/g/11q1jtmd8m,4.5,33,Mercado,Mercado,market,"Estrada municipal da - Extrema, MG, 37640-000, Brasil",-22.815260499999997,-46.2753144,,,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–21:00; quarta-feira: 07:00–21:00; quinta-feira: 07:00–21:00; sexta-feira: 07:00–21:00; sábado: 07:00–21:00; domingo: 07:00–14:00; segunda-feira: 07:00–21:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,"""Gostei, o que eu precisei encontrei na joia da roseira preços bons.""",https://lh3.googleusercontent.com/p/AF1QipOSs6D8bRpP2xZwSySh1eJGji6bmnda5UxhdkV1=w80-h142-k-no,https://serpapi.com/images/url/5I6c03icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngH1xs5mKRFFQQYFQRVR5cGZxhmOrlnpVplpSbl5JoGlqRkZIdZmhbbmGgm2FoYqSbrZuXDwCy8CGl,https://serpapi.com/search.json?data_id=0x94ceabfafd431163%3A0x1c91714b371bc9ca&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ceabfafd431163%3A0x1c91714b371bc9ca&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJYxFD_fqrzpQRyskbN0txkRw,"Roseira, MG",lojas_presentes,2025-07-29T02:13:51.074971,COMPLETA
6,O Boticário Loja Sustentável,ChIJ_X22gDLFzJQRZO0e66W3m3o,0x94ccc53280b67dfd:0x7a9bb7a5eb1eed64,8834857017259519332,/g/1ptw647gh,4.5,806,Loja de produtos de beleza,"Loja de produtos de beleza, Loja de cosmético, Loja de Presentes, Perfumaria",beauty_supply_store,"Rod. Pres. Dutra, S/N - Pirapitingui, Roseira - SP, 12580-000, Brasil",-22.8182546,-45.182396499999996,+55 12 99732-7144,https://www.boticario.com.br/?utm_source=google&utm_medium=maps&utm_campaign=mirum20760,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–20:00; quarta-feira: 09:00–20:00; quinta-feira: 09:00–20:00; sexta-feira: 09:00–20:00; sábado: 09:00–19:00; domingo: Fechado; segunda-feira: 09:00–20:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,"""Muito bem atendido""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noF7ZJdXdYkN3XZDuYFK0-2XhVLtSI4lEj2RZ8trE5hBZenMJE8SY-Z58RhnN7Fv2HCppqxr2f2O4kprtZg2l8DJGjr04jLQ5FvCd58JFeLzZslGwZFE8BHjj2RISFjpqUkbBei=w122-h92-k-no,https://serpapi.com/images/url/1xKLKnicDcxRboIwGADgExX0F2Ix2cNAqjKmUTIDfRQqtdS2thUW77dD7Dbbd4Dv94d7b9wqDCVfBL3WvWRPx2yrlWfKB62-h71xqHXIhe9ZwiOlyZIWXd01w35R0_WzIR8zBDU_l77aRTIXcKLY2zzmKWXqs8hx1SAa4xNX-yUZYZsZ8_i2cIVDNBjraQ8Sr4uNsLNIlMeYjFkX44Kw8kWd3EyU5Djdiv92VxFhHl_DJWW3t2kOgHgCaEBK_wEvhkMS,https://serpapi.com/search.json?data_id=0x94ccc53280b67dfd%3A0x7a9bb7a5eb1eed64&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ccc53280b67dfd%3A0x7a9bb7a5eb1eed64&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_X22gDLFzJQRZO0e66W3m3o,"Roseira, MG",lojas_presentes,2025-07-29T02:13:51.074971,COMPLETA
7,PlastEmbalagensEvariedades,ChIJabw5HADnzJQR4NlYmASS54w,0x94cce7001c39bc69:0x8ce792049858d9e0,10153244433363556832,/g/11vzdsk57d,,0,Papelaria,Papelaria,stationery_store,"Av. Dep. Federal Dr Mário Tamborindeguy, 411, Roseira - SP, 12580-000, Brasil",-22.9024769,-45.3102263,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=p3G8Ifd-ARscSfVjWcCpEw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=114.824875&pitch=0&thumbfov=100,https://serpapi.com/images/url/gw_OlnicHc3dCsIgGADQt_Fu_tQiCyQiIrotqMtw35wabn5Mm_U4PVZvU_QC53zeLmdMa8ZSHo3JkzcF_dOEVKGmNkYbjEafKMSeTYJl9-ibQfuwQT1E3yqcH-Sxa6vtKcG5u9yvsMN9IdDcIHgzZJWMHsFRW37iGFtqMZGiJCdOrWbkpYsSoqZyVsvlgqDP4BQn_6aLkxKcfwGnCzmu,https://serpapi.com/search.json?data_id=0x94cce7001c39bc69%3A0x8ce792049858d9e0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cce7001c39bc69%3A0x8ce792049858d9e0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJabw5HADnzJQR4NlYmASS54w,"Roseira, MG",lojas_presentes,2025-07-29T02:13:51.074971,COMPLETA
2,Arte Natha,ChIJCVjVgsatzpQRNRBaXu7nh64,0x94ceadc682d55809:0xae87e7ee5e5a1035,12576275495426592821,/g/11xds3bqnz,5,13,Artesanato,Artesanato,handicraft,"Loja Onlline, CENTRO, Extrema - MG, 37640-040, Brasil",-22.854478099999998,-46.3159048,+55 35 99170-7208,,Aberto 24 horas,Aberto 24 horas,terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas; segunda-feira: Atendimento 24 horas,,,,,,,"""Peças lindas.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqMbVsYA8bzeaq3v9X58lBqt1SDjCPGzp4ITp6oqcpDZw6t4smey6bWMEnIjbnzJGznHzUsa-AytfpYi3He0XBV4it-6tI1TDTftH2ZDc3K1Si_sHDjGU_oIUIenMIlcjJE9mvbGA=w80-h106-k-no,https://serpapi.com/images/url/4eW-x3icBcFLroIwFADQFVVAsAETB2gNVENiIvjUibFN5SO0xXvV2A26Bnfzzvl9G0QLc8_rm3BSG1P36gnqIY1GpXEizeDVFogEAl66SppIj4U4wCmNhVPXMXwlx1ncL0cM9qxb7TJnI15aakZp2flNMYJBfaj4K9aad0K7TeZ07iq4kvSDN3tqw1z5x-UhapFQ5EHJyhvm0zOT4TbYtxfIWZdVF8MrrnTBe9lt1snwElm6eMc-aQKfkjvR5h-pTEW7,https://serpapi.com/search.json?data_id=0x94ceadc682d55809%3A0xae87e7ee5e5a1035&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ceadc682d55809%3A0xae87e7ee5e5a1035&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJCVjVgsatzpQRNRBaXu7nh64,"Roseira, MG",lojas_artesanato,2025-07-29T02:13:54.139805,COMPLETA
4,Jatobá Artesanatos E Presentes,ChIJp2JJUDGszpQRKR-n1hGJgMs,0x94ceac31504962a7:0xcb808911d6a71f29,14663871096427061033,/g/11j8lmw_nc,5,1,Loja de presentes,Loja de presentes,novelty_store,"R. Cel. Antônio Cardoso Pinto, 113 - Extrema, MG, 37640-000, Brasil",-22.854575399999998,-46.318517299999996,,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PbmXTbN8U4-MMGsFylWfqQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=217.54396&pitch=0&thumbfov=100,https://serpapi.com/images/url/zsKb4nicHc1RDoIgGADg2_AmoFlpG-utnmy11eqtASKwofwJSd6ma3WbWhf4vs_bxAhhQ0iIo1JxsiqBfSkXMuBYe6-d4mADlr4nU06iefZi4NZtgQ_etuwo-ttZHKpLmTXNPuxmd-0eJyTFXTqrhsiC4qM0WKefOPoWawgosYoiw-oCzTyxIl_jZbmoVwhslIZR9F86P7Gc0i9vcjl0,https://serpapi.com/search.json?data_id=0x94ceac31504962a7%3A0xcb808911d6a71f29&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ceac31504962a7%3A0xcb808911d6a71f29&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJp2JJUDGszpQRKR-n1hGJgMs,"Roseira, MG",lojas_artesanato,2025-07-29T02:13:54.139805,COMPLETA
5,Artes das Gerais,ChIJPxckdUY9tJQRJYTbWAIk8dQ,0x94b43d467524173f:0xd4f1240258db8425,15344084997927306277,/g/11fm_434rm,4.6,23,Artesanato,Artesanato,handicraft,"R. Dr. Avelino de Queiroz, 716, Capitólio - MG, 37930-000, Brasil",-20.6132414,-46.052838,,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: Fechado; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: 09:00–13:00; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Muitos produtinhos fofos de capitólio e cachoeiras!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npOgyFjb8q8Pij7Wu9K6IQaSpyonDbwKWsUTqFdQUlQbWZNcXxGOgDSL4b1egvJnxgRut10xe2AULkCoM1D9ANvQU4toAr4cWv4hOkmFlZO-wRjztfmpRd80VPui5baCI3xk8f6qg=w80-h106-k-no,https://serpapi.com/images/url/JpP4p3icBcFZEoIgAADQE5FaZNhMH46OTatpmU1_QQS5AAYudcHO0G167_flxig9t6yKT0ZMSlbRVtMXkcJQYUZE1hZTGhANtOUHHodCxewdFRg16PAsZnnrbdxVcjuqtxQh7je5zk5NdE-yKsH5dU8uwzJm4XELsUNZtxYDS1vj2AMd-9m2DOTOCT1_3yUZNNJ_QZJ3kMdlHVXXGPRp8TGPWqV3ZJ8P7XOKb8FqMpTo4TZs0SMbcMd2QQmE_APFykZJ,https://serpapi.com/search.json?data_id=0x94b43d467524173f%3A0xd4f1240258db8425&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b43d467524173f%3A0xd4f1240258db8425&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJPxckdUY9tJQRJYTbWAIk8dQ,"Roseira, MG",lojas_artesanato,2025-07-29T02:13:54.139805,COMPLETA
