position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Distak Presentes,ChIJc-Z1MSpJpAAR_nhSpX2OUw4,0xa4492a3175e673:0xe538e7da55278fe,1032325409893677310,/g/1ptxvmcjq,4.5,11,Loja de Brinquedos,"Loja de Brinquedos, Loja de Presentes",toy_store,"Rua João Mota, 303 - Centro, Santa Bárbara - MG, 35960-000, Brasil",-19.9583461,-43.4130269,+55 31 3832-2051,https://www.distakpresentes.com/,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–13:00; domingo: Fechado; segunda-feira: 08:30–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMsspBmrWfZPeVyvUbTVdrgjlMTBFZRekwVi6aj=w248-h92-k-no,https://serpapi.com/images/url/eoky-XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW1xc4JRbFJ4WFZAaVlkWmhQSllKUnpXjG-LkFhWUml0elmmWmGVbbmRioZthaaSbrZuXDwDb9iKl,https://serpapi.com/search.json?data_id=0xa4492a3175e673%3A0xe538e7da55278fe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4492a3175e673%3A0xe538e7da55278fe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJc-Z1MSpJpAAR_nhSpX2OUw4,"Santa Bárbara, MG",lojas_presentes,2025-07-29T02:25:18.214253,COMPLETA
2,Taquinho Presentes,ChIJARXTvTJPpAARTj8P2cHHJuM,0xa44f32bdd31501:0xe326c7c1d90f3f4e,16367989531108917070,/g/11dz5422df,5,3,Loja de Presentes,Loja de Presentes,gift_shop,"R. Antônio A de Sá, 154-168 - Sao vicente, Santa Bárbara - MG, 35960-000, Brasil",-19.9708623,-43.4056449,+55 31 99632-7200,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: 08:00–11:00; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noFfapcodsRiNOh7mhwpBb5IHoW6ZXH-qy0uH7n5Ysb-ZN57EOzVI0NQPBKqIwAkg5AHu8_xL8VdBOSpEeIPkZtHGttQ4TAbgyG5NySjJylHh_cfP5FI4fHHw9vyDZoKtVwc0HT=w80-h142-k-no,https://serpapi.com/images/url/qVRN9HicBcHRVoIwGADgJ5pgscDO6QJM_ZcdwPSQceOJCZuC-2cbzfV-PURv0_f9_UprtXkMgkHeTwSiGNrRtF8clW2VnXC8BEIbwg0xQTqfyUjhsvvUHI_m7ZQXMr5Ip7OGMsD3h3oP5OrDEWJFP0xD6pzGi-KnYmG-KbP1lbm0FzSFMTncXpPqmBVbvWhZ2dcWVtZuol3aCL-iud-eX_wA8sC7ki5Z1AG42bd_rnFtK8dD2D25JCRyGt2Rnij8B9vDRKA,https://serpapi.com/search.json?data_id=0xa44f32bdd31501%3A0xe326c7c1d90f3f4e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa44f32bdd31501%3A0xe326c7c1d90f3f4e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJARXTvTJPpAARTj8P2cHHJuM,"Santa Bárbara, MG",lojas_presentes,2025-07-29T02:25:18.214253,COMPLETA
3,Frutos da Serra,ChIJMzIq6ghJpAARMP7LM95SC9Q,0xa44908ea2a3233:0xd40b52de33cbfe30,15279397275089763888,/g/11ftktcm0z,4.9,10,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"Av. Rodrigo de Castro, 587 - São José, Santa Bárbara - MG, 35960-000, Brasil",-19.9717986,-43.4150588,+55 31 99150-9148,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipPnQCyOsD_8RvVf5TQKRs-L5iPhIoEumacgZDlS=w80-h106-k-no,https://serpapi.com/images/url/tB3V-3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkBfoXOlf7BJvEVQWlmYaEugdVKzrY5oZkOGZ71qam5icHuWSE2xbbmGgm2FoYKabrZuXDwCvviGC,https://serpapi.com/search.json?data_id=0xa44908ea2a3233%3A0xd40b52de33cbfe30&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa44908ea2a3233%3A0xd40b52de33cbfe30&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJMzIq6ghJpAARMP7LM95SC9Q,"Santa Bárbara, MG",lojas_presentes,2025-07-29T02:25:18.214253,COMPLETA
4,Imaginação,ChIJ73q4TtRIpAARixRR0NQXAko,0xa448d44eb87aef:0x4a0217d4d051148b,5332851111555568779,/g/11cn2mklsr,5,1,Loja de Presentes,"Loja de Presentes, Loja de artigos domésticos",gift_shop,"R. Antônio Pereira Rocha, 345 - Centro, Santa Bárbara - MG, 35960-000, Brasil",-19.9605583,-43.4106879,+55 31 97580-6178,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:10; quarta-feira: 09:00–18:10; quinta-feira: 09:00–18:10; sexta-feira: 09:00–18:10; sábado: 09:00–14:00; domingo: Fechado; segunda-feira: 09:00–18:10,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=b5cgTAlkDkbToAw5WbWTcA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=14.523245&pitch=0&thumbfov=100,https://serpapi.com/images/url/FddAwXicHc1hCsIgFADg2_gvdWtCBRKDjjDYz9C3l0puPqbNuk3X6jZFF_i-z9uXQvkkRC4rYtkCVgpPjHlHhruUXERDIXNIs9gaUfxjtosJ8UxmSWHSVoEb-ni_3O2Q-qpGOw7QM7BXiAGXojOaFTx39SeuaeKOMqv6IJnXx5a9TNVNx1W7bzvFKBTwWrL_ckubbqT8AoESOZg,https://serpapi.com/search.json?data_id=0xa448d44eb87aef%3A0x4a0217d4d051148b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa448d44eb87aef%3A0x4a0217d4d051148b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ73q4TtRIpAARixRR0NQXAko,"Santa Bárbara, MG",lojas_presentes,2025-07-29T02:25:18.214253,COMPLETA
5,Ajubá - Loja personalizados,ChIJ5WyEv_VJpAARqFQCx95PilY,0xa449f5bf846ce5:0x568a4fdec70254a8,6235884452288025768,/g/11h4ycz1bm,4.5,12,Loja de presentes,"Loja de presentes, Designer Gráfico",novelty_store,"RESIDENCIAL RECANTO VERDE, R. Hum - Santa Bárbara, MG, 35960-000, Brasil",-19.966558499999998,-43.4101733,+55 31 99381-5291,https://www.colab55.com/@ajuba,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–17:00; quarta-feira: 07:00–17:00; quinta-feira: 07:00–17:00; sexta-feira: 07:00–17:00; sábado: 09:00–17:00; domingo: Fechado; segunda-feira: 09:00–17:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipNWqWhFiwtBye6K30qCakpYWGJlSxBekxB4gtWm=w95-h92-k-no,https://serpapi.com/images/url/0NP78HicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF14YnuGWWV7iVJlq5m1sUOicmF0QGe7ulRNc4ZSaXeFkkl4Snmtbbmmqm2FppJutm5cPAJ5YIck,https://serpapi.com/search.json?data_id=0xa449f5bf846ce5%3A0x568a4fdec70254a8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa449f5bf846ce5%3A0x568a4fdec70254a8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ5WyEv_VJpAARqFQCx95PilY,"Santa Bárbara, MG",lojas_presentes,2025-07-29T02:25:18.214253,COMPLETA
6,Canarinho Distribuidora e Papelaria,ChIJwddhC9VIpAARSwdJI4AIXFw,0xa448d50b61d7c1:0x5c5c08802349074b,6655203695787575115,/g/1pv1sgyvw,4.4,99,Loja de produtos de papelaria,"Loja de produtos de papelaria, Doceria",copying_supply_store,"R. Antônio Pereira Rocha, 429 - centro, Santa Bárbara - MG, 35960-000, Brasil",-19.9609251,-43.4100746,+55 31 3832-2713,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqeOB1hC7vJiNB5czovOJ_jais2t-VDTx3FWga-yTLy_6PNUI2qmwWkHf51LCIAdCAqc_weyWqDblPm-tRk0-2c_9WpuiDuicrd0IOH2UUhH_UMh486hkbIwK4eSXaFrcKq3XEKkw=w97-h92-k-no,https://serpapi.com/images/url/sJtJFXicBcFBcoIwFADQE33RgCidcYFQB8SKo1LcZSBGggFCSDDFA_YOvU3f-_tlWvfqw7IaZs8qIaqGjooORHSadnpGRGtVvQKiQFl-4DGnkzTdLliweu3r43ZJ3uKV7vGzqBXS8B1ef-xdXhUwXQ8Tdk_HLEayNTmPHsvFIYj9e-BLgg2dchmWzakFfeZzQAR7eT_W4ViT4T6P0whlGYtw9sWctct4GZvEoZdbsRtIIu3bZ8LNxngrYB4CDp34BxbtRQs,https://serpapi.com/search.json?data_id=0xa448d50b61d7c1%3A0x5c5c08802349074b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa448d50b61d7c1%3A0x5c5c08802349074b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJwddhC9VIpAARSwdJI4AIXFw,"Santa Bárbara, MG",lojas_presentes,2025-07-29T02:25:18.214253,COMPLETA
7,"Lojao 1,99",ChIJFxtzTtRIpAAR5QX-l1d3GdY,0xa448d44e731b17:0xd619775797fe05e5,15427493216630212069,/g/11c1q55lgj,4.5,17,Loja de Brinquedos,Loja de Brinquedos,toy_store,"R. Francisco Arcanjo São Melo, 90 - Santa Bárbara, MG, 35960-000, Brasil",-19.9619344,-43.409856999999995,+55 31 98643-7006,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–17:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqBwmq-yvnbR5XEO9WJqfzeTx0-d2rU_gQ_7Kq9gXEs6yGmpn6XiBJN-vNLiSVkYY7plP_wLk2MA1U3tjtsWS7BIclNzXF16no7pue8FauZAn6X_iP8EmFFRCougI4CCh6s7ew=w163-h92-k-no,https://serpapi.com/images/url/j9jl-3icDcvdFoEwAADgJ1qp2OQcF9UpRwj5i5sOmS3VtmwVns9LeBu---_7oUoJOdL1kloa4ZyUuJH4kXGmMFNaxiudCAkyCaTueDbts9rtqhq8WnaJB4m_tA9hfXvj7bMHruZjl5J1ima1TRJfwtekEgwmuRtGoI3m-WZfHI9IlKu0mxfmwjF2lroredggd5qV0TsJDMg4Eg0eBufm5Pxvmq-GfhUEsccbMu17HoUS4W7cGdAC1DZBARj_Ab08RGw,https://serpapi.com/search.json?data_id=0xa448d44e731b17%3A0xd619775797fe05e5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa448d44e731b17%3A0xd619775797fe05e5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFxtzTtRIpAAR5QX-l1d3GdY,"Santa Bárbara, MG",lojas_presentes,2025-07-29T02:25:18.214253,COMPLETA
8,Papelaria Aquarela,ChIJb9GTOCpJpAARZj5CN7Sh23w,0xa4492a3893d16f:0x7cdba1b437423e66,8996962475995971174,/g/11fxvym6q0,4.5,93,Papelaria,Papelaria,stationery_store,"R. Maria Carolina, 417 - Centro, Santa Bárbara - MG, 35960-000, Brasil",-19.957490099999998,-43.410353799999996,+55 31 99774-0518,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Uma boa opção de papelaria, bem completa.""",https://lh3.googleusercontent.com/p/AF1QipNoAmRYc0Ys-5et55EiuZlKVGKXqN5xC9M3egqU=w122-h92-k-no,https://serpapi.com/images/url/dVGFuXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl--YGxSZbBBZrGuaWmJq6ppZGpXjHebuHVHoZ1rhbOlrnJpeGGpbbmhkpJthaaSbrZuXDwCgxSD_,https://serpapi.com/search.json?data_id=0xa4492a3893d16f%3A0x7cdba1b437423e66&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa4492a3893d16f%3A0x7cdba1b437423e66&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJb9GTOCpJpAARZj5CN7Sh23w,"Santa Bárbara, MG",lojas_presentes,2025-07-29T02:25:18.214253,COMPLETA
9,Jota Print Personalizados,ChIJWys9EtFIpAARBPfCFpxN8Y4,0xa448d1123d2b5b:0x8ef14d9c16c2f704,10300099155565147908,/g/11c0xxd_60,4.7,11,Loja de presentes,Loja de presentes,novelty_store,"R. Ramal do Ferroviários, 448 - Centro, Santa Bárbara - MG, 35960-000, Brasil",-19.9647601,-43.413087499999996,+55 31 98896-2545,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipP1D_950yimadL1QDgaBPgWIJJbxN5UQKDcGGKn=w138-h92-k-no,https://serpapi.com/images/url/d7mQ6nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYOgSb2lqUJmZm5jiYxjokp7oFJAe7unllVThZxoa6O2S7O7unWdbbmhsoZthaaSbrZuXDwCPkSCX,https://serpapi.com/search.json?data_id=0xa448d1123d2b5b%3A0x8ef14d9c16c2f704&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa448d1123d2b5b%3A0x8ef14d9c16c2f704&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJWys9EtFIpAARBPfCFpxN8Y4,"Santa Bárbara, MG",lojas_presentes,2025-07-29T02:25:18.214253,COMPLETA
10,Mix Utilidades,ChIJAz4ggKZJpAARo-QVi69jBsY,0xa449a680203e03:0xc60663af8b15e4a3,14269202074973889699,/g/11h555wm6m,5,3,Loja de variedades,Loja de variedades,variety_store,"R. Antônio Pereira Rocha, 453 - Santa Bárbara, MG, 35960-000, Brasil",-19.9609961,-43.409910499999995,+55 31 99553-1217,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:15; quarta-feira: 09:00–18:15; quinta-feira: 09:00–18:15; sexta-feira: 09:00–18:15; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:15,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrJUkpzgt6kB2FWtOh1zr5tf6Js1MHqFq_AYtQ-58dHHRb0DW0oiiycHCdEhBJYlzQ2tce7m23KI2In3V2Xy4ZPtE3ZxTsWii6Ub2itmQrHWk1ij1yc44s3aUpSi1LLaibgl2ne_g=w80-h106-k-no,https://serpapi.com/images/url/jm7z9XicBcFdsoIgGADQFZECZnVneuh3yGq6Vmb10iQRkAomX3OvbrA1tJvO-bwVQOV-PK9QtCOtlYV4OVFza0AY6HBberJyiDvkvNFkoAJTR0letRLCfEzmKWwUbusu3MPI4TV7zp-X0Qli1O3fGNtm_jT1rdYNZ5PbTI2jU9HGBLjolYQuF2Rh6IEcm-D8CzN6_t-7VOswyYiGMq5ZmmP9wA0PAkevSbXTeLW66kwWxIiLHP71faSwH6IcGfsFRmVFEg,https://serpapi.com/search.json?data_id=0xa449a680203e03%3A0xc60663af8b15e4a3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa449a680203e03%3A0xc60663af8b15e4a3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJAz4ggKZJpAARo-QVi69jBsY,"Santa Bárbara, MG",lojas_presentes,2025-07-29T02:25:18.214253,COMPLETA
