position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Produtos Pé da Serra,ChIJ34itQag-ogARWTxtgUD0ZDs,0xa23ea841ad88df:0x3b64f440816d3c59,4279814103795317849,/g/11h9rpt9rb,4.7,307,Loja de queijos,Loja de queijos,cheese_shop,"Santa Bárbara do Tugúrio, MG, 36215-000, Brasil",-21.247080699999998,-43.559330599999996,+55 32 3365-1111,http://produtospedaserra.com/,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–19:00; quarta-feira: 07:00–19:00; quinta-feira: 07:00–19:00; sexta-feira: 07:00–19:00; sábado: 07:00–19:00; domingo: 08:00–18:00; segunda-feira: 07:00–19:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npxK0oK3h2B9_L4BpEct0V6xrZ3mxoYjeawyeztOJcWRf08p6ilgBYat-doUjH0ZzOJFRJZP2bHv6V0ujXQ15XkMv6BXs-xqZON7pw6M9t6_ZfVE-CZdZ3csMbymN3U3D3Na_Pd7g=w122-h92-k-no,https://serpapi.com/images/url/77tYo3icBcH_EoEwAADgJ5pmy8idP-THuahwJ9k_XdZsUm1sFC_oGbyN7_t9pbXajB2nkrgnlBIVfxr-YKqxvLE9pmpHaAOYAcaZzjzpNrpbQ7XGEvletnF9vWAWJqR7UFx36lTyvH3zj40Ddtxf4EiTayX8U25BoQ7lCtJPHCz3Ad2i8-pFEvgs011_kN7CF_FTA7o7jaOhbknoWZLRS7IAM1pQzEx4ftcRPuA5jvJsWwzFpO0jBKSHwA006g9XgUSy,https://serpapi.com/search.json?data_id=0xa23ea841ad88df%3A0x3b64f440816d3c59&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa23ea841ad88df%3A0x3b64f440816d3c59&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ34itQag-ogARWTxtgUD0ZDs,"Santa Bárbara do Tugúrio, MG",lojas_presentes,2025-07-29T02:28:14.223323,COMPLETA
2,Sonho Meu,ChIJFZ4Gtqk-ogARB5Vb9H4ySuI,0xa23ea9b6069e15:0xe24a327ef45b9507,16305900921695212807,/g/11ldygc8vy,,0,Loja de Roupa,Loja de Roupa,clothing_store,"R. São Vicente de Paula, 219 - Santa Barbara Do Tugurio, Santa Bárbara do Tugúrio - MG, 36215-000, Brasil",-21.2456231,-43.559436,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Uu7eWtl5Cje0Eq6BdIlxZQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=56.962433&pitch=0&thumbfov=100,https://serpapi.com/images/url/qkFiSHicHc3BDcIgFADQbbgJtLXVmhATjQePHoyJF0PpFzC0YPktdRvXchuNC7z3eRvEEDeMRRwAcLKQgp3BxUWQVHuvHchgI1W-Y1PG0Ixd00vrtkH23rbiPK7ggq7cP4AfntWuPbr5eiKquSlnoUcRQQ7KUJ1-4uBbqkMkSaw5MaLOyUsmUVa0rvJlUZBgURnByX-5-0lknH8Beco5jA,https://serpapi.com/search.json?data_id=0xa23ea9b6069e15%3A0xe24a327ef45b9507&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa23ea9b6069e15%3A0xe24a327ef45b9507&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFZ4Gtqk-ogARB5Vb9H4ySuI,"Santa Bárbara do Tugúrio, MG",lojas_presentes,2025-07-29T02:28:14.223323,COMPLETA
3,Laços stillo Princesa,ChIJ4SV3HUk9ogARQjTDlVZywew,0xa23d491d7725e1:0xecc1725695c33442,17060042579661501506,/g/11ks7l5zym,5,1,Loja,Loja,store,"Praça Juscelino Kubtschek - Santa Bárbara do Tugúrio, MG, 36215-000, Brasil",-21.2433007,-43.5607853,+55 32 98457-0182,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: Fechado; domingo: Fechado; segunda-feira: 08:00–18:00,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=WPTz8HcpaDI8IyeJMd5mJw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=85.46779&pitch=0&thumbfov=100,https://serpapi.com/images/url/D54b7HicHc0xDoIwFIDh23SzLUYETBoWByExcTBxNKU82yaFvtBKxct4Lm8jcfun7_9-TIwYDoyFOAHE2UJC-wIXNiip9l47kGgDVX5gc8aieQ7dKK2rUY7e9uJ2ub7Lk0J5bMpmgfbc50ObiOruylkYowggJ2WoTqs4-Z5qDCSJkhMjqi1Z5No53e2LoiJoozKCk__k4WeRcf4DPuo5WA,https://serpapi.com/search.json?data_id=0xa23d491d7725e1%3A0xecc1725695c33442&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa23d491d7725e1%3A0xecc1725695c33442&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4SV3HUk9ogARQjTDlVZywew,"Santa Bárbara do Tugúrio, MG",lojas_presentes,2025-07-29T02:28:14.224323,COMPLETA
4,Estilo_.Princesa,ChIJ8fcNVAA_ogAR7enejOQl65w,0xa23f00540df7f1:0x9ceb25e48cdee9ed,11307172952989952493,/g/11ycgf4jv9,,0,Loja,Loja,store,"R. Guilhermina Martins - Santa Bárbara do Tugúrio, MG, 36215-000, Brasil",-21.2435398,-43.5593467,+55 32 98457-0182,,Aberto 24 horas,Aberto 24 horas,terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: 08:00–03:00; domingo: Fechado; segunda-feira: Atendimento 24 horas,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6YBft4zLLBjcN3jUBB1xEg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=194.28792&pitch=0&thumbfov=100,https://serpapi.com/images/url/1Rrgh3icHc09DoIwGIDh23SzP0gUTBqTJm7EzcHJlFLakkIb-knR03gtbyNxfJfn_X4sQEwnQhLMWsPidI5u1T7tosQmBOO1jC5hFUayMAL2ObaTdP4c5RRcxw930UP5bhoxqOt-uAnB1otBqn0o7_QEPGk5K4tN3sQ5dNjEhDKvKLK8LtBLZs7qEhfVcavoQFlO0f_Sh4UzSn9XvDkr,https://serpapi.com/search.json?data_id=0xa23f00540df7f1%3A0x9ceb25e48cdee9ed&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa23f00540df7f1%3A0x9ceb25e48cdee9ed&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ8fcNVAA_ogAR7enejOQl65w,"Santa Bárbara do Tugúrio, MG",lojas_presentes,2025-07-29T02:28:14.224323,COMPLETA
5,Gisel Variedades Modas,ChIJ1RXBqKk-ogAR9smZnhIXpDw,0xa23ea9a8c115d5:0x3ca417129e99c9f6,4369642907193952758,/g/11w4g4243n,,0,Loja de Roupa,Loja de Roupa,clothing_store,"R. São Vicente de Paula, 402 - Centro, Santa Bárbara do Tugúrio - MG, 36215-000, Brasil",-21.245758499999997,-43.5585303,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NCjTMv2CUNHMpBE7K7Ngcg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=194.4319&pitch=0&thumbfov=100,https://serpapi.com/images/url/T5bSLHicHc1fCsIgHADg2_iWf9ZgLZCgEQSxPdVzOGdqOP0xTes0navbFF3g-z5vkxLELSExLUqlbFUB-1QurkBgHYJ2SoCNWIaZZEaSecyjF9btQPhgJz5093Ofq-4yHHvYH5pTM2ipkRyv0lnlE49KLNJgXX7iEiasIaLCNxQZ3lboJQpnbY3rNWsR2CQNp-if3ELmjNIvETk4xA,https://serpapi.com/search.json?data_id=0xa23ea9a8c115d5%3A0x3ca417129e99c9f6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa23ea9a8c115d5%3A0x3ca417129e99c9f6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ1RXBqKk-ogAR9smZnhIXpDw,"Santa Bárbara do Tugúrio, MG",lojas_presentes,2025-07-29T02:28:14.224323,COMPLETA
6,Mania de Maria,ChIJ-2rm8Fw9ogARhxLVf4wc1Ms,0xa23d5cf0e66afb:0xcbd41c8c7fd51287,14687395674527699591,/g/11j9bhvnvh,,0,Loja de Roupa,Loja de Roupa,clothing_store,"R. Camilo S Mendes - Santa Bárbara do Tugúrio, MG, 36215-000, Brasil",-21.2465701,-43.5612701,+55 32 98452-5220,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–17:00; domingo: 08:00–12:00; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=HkEl1RwduOW09gvhzC78iw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=336.67575&pitch=0&thumbfov=100,https://serpapi.com/images/url/asnMU3icHc1LDsIgFADA27ATqE1_Ji8ujIk7EzcuDaUIL6WFFArqabyWt9F4gZnP28Tow46xEBelYkKVPT6UDRsvqHZOWyU8BirdxFLBolmnfhZo917MDgc4jUdbXPKwnq-808m8Dk2Lmcj-Ji2qOUJQYpGG6vwTFzdQ7QPJ0HJioNuSp8hQljWtm6qpiMcoDXDyX-4uQcH5F4GROak,https://serpapi.com/search.json?data_id=0xa23d5cf0e66afb%3A0xcbd41c8c7fd51287&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa23d5cf0e66afb%3A0xcbd41c8c7fd51287&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-2rm8Fw9ogARhxLVf4wc1Ms,"Santa Bárbara do Tugúrio, MG",lojas_presentes,2025-07-29T02:28:14.224323,COMPLETA
7,Taquinho Presentes,ChIJARXTvTJPpAARTj8P2cHHJuM,0xa44f32bdd31501:0xe326c7c1d90f3f4e,16367989531108917070,/g/11dz5422df,5,3,Loja de Presentes,Loja de Presentes,gift_shop,"R. Antônio A de Sá, 154-168 - Sao vicente, Santa Bárbara - MG, 35960-000, Brasil",-19.9708623,-43.4056449,+55 31 99632-7200,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: 08:00–11:00; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noFfapcodsRiNOh7mhwpBb5IHoW6ZXH-qy0uH7n5Ysb-ZN57EOzVI0NQPBKqIwAkg5AHu8_xL8VdBOSpEeIPkZtHGttQ4TAbgyG5NySjJylHh_cfP5FI4fHHw9vyDZoKtVwc0HT=w80-h142-k-no,https://serpapi.com/images/url/qVRN9HicBcHRVoIwGADgJ5pgscDO6QJM_ZcdwPSQceOJCZuC-2cbzfV-PURv0_f9_UprtXkMgkHeTwSiGNrRtF8clW2VnXC8BEIbwg0xQTqfyUjhsvvUHI_m7ZQXMr5Ip7OGMsD3h3oP5OrDEWJFP0xD6pzGi-KnYmG-KbP1lbm0FzSFMTncXpPqmBVbvWhZ2dcWVtZuol3aCL-iud-eX_wA8sC7ki5Z1AG42bd_rnFtK8dD2D25JCRyGt2Rnij8B9vDRKA,https://serpapi.com/search.json?data_id=0xa44f32bdd31501%3A0xe326c7c1d90f3f4e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa44f32bdd31501%3A0xe326c7c1d90f3f4e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJARXTvTJPpAARTj8P2cHHJuM,"Santa Bárbara do Tugúrio, MG",lojas_presentes,2025-07-29T02:28:14.224323,COMPLETA
8,GUAPASTOREBR,ChIJF3UAtl0_ogARgfVjeSYHJWs,0xa23f5db6007517:0x6b2507267963f581,7720584998023329153,/g/11ww0psqv4,,0,Loja de Roupa,Loja de Roupa,clothing_store,"R. José Custódio Ribeiro - Santa Bárbara do Tugúrio, MG, 36215-000, Brasil",-21.2475338,-43.5595158,+55 32 98416-8830,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 08:00–17:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/p/AF1QipPRIXEQcnUUBcMglYxGwReSbc_WLhVth4QThtUN=w92-h92-k-no,https://serpapi.com/images/url/rFEfhHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEOQZ4RqYnBca6pTsm54TWeFeHpQanJQcH-6TEVaSYRIYklES6mdbbmmkmwHE2bp5-QCaGSG3,https://serpapi.com/search.json?data_id=0xa23f5db6007517%3A0x6b2507267963f581&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa23f5db6007517%3A0x6b2507267963f581&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJF3UAtl0_ogARgfVjeSYHJWs,"Santa Bárbara do Tugúrio, MG",lojas_presentes,2025-07-29T02:28:14.224323,COMPLETA
9,Men's Shop,ChIJ8VgagWo_ogARfZG_zt6XK3M,0xa23f6a811a58f1:0x732b97decebf917d,8298893721567465853,/g/11gwdrp6sv,,0,Loja de roupas para jovens,Loja de roupas para jovens,youth_clothing_store,"Praça José Batista, N:11 - Centro, Santa Bárbara do Tugúrio - MG, 36215-000, Brasil",-21.2464199,-43.5593923,+55 32 99833-7181,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–16:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito","Retirada na loja, Compras na loja",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=PGPosvQgS5SqZuKeoXBj3g&cb_client=search.gws-prod.gps&w=80&h=92&yaw=200.08115&pitch=0&thumbfov=100,https://serpapi.com/images/url/8iCnnnicHc09DsIgGADQ27DJT02TakJMXBxcaroYF0PpJ2BoPywU9DZey9tovMB7n7dNKcQtYzHNACk7KME9wcdVUNQgGg8quEg1jiwLluwy9pNyfhfUhG6Q7aHFmE-mq7vHZTkCnvf3tSG6v2rvYEoygpq1pab8xBkHakIkRTacWLmpyEsVWXFOeSNETYJL2kpO_ssNsxScfwGTSjnI,https://serpapi.com/search.json?data_id=0xa23f6a811a58f1%3A0x732b97decebf917d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa23f6a811a58f1%3A0x732b97decebf917d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ8VgagWo_ogARfZG_zt6XK3M,"Santa Bárbara do Tugúrio, MG",lojas_presentes,2025-07-29T02:28:14.224323,COMPLETA
10,Selma Paulino Modas,ChIJiVUEI28_ogARHSQ51DbNTvQ,0xa23f6f23045589:0xf44ecd36d439241d,17604233628810290205,/g/11fsrysh8d,,0,Loja de Roupa,Loja de Roupa,clothing_store,"Rua Camilo S Mendes, Praça José Batista - Centro, Santa Bárbara do Tugúrio - MG, 36215-000, Brasil",-21.2463582,-43.5590986,+55 32 98472-9731,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:30; quarta-feira: 08:00–18:30; quinta-feira: 08:00–18:30; sexta-feira: 08:00–18:30; sábado: 08:00–19:00; domingo: Fechado; segunda-feira: 08:00–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipNovEjeF5yG9nkvajSrC51GHMc7blDRiGSQ8QX2=w163-h92-k-no,https://serpapi.com/images/url/smXOenicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl1_mmpXqZlrpbpmXXZaYFVzkbGro7uGbbJ6U4xKU6R4caBEYYWRbbmhmrJthaaSbrZuXDwCrEiEA,https://serpapi.com/search.json?data_id=0xa23f6f23045589%3A0xf44ecd36d439241d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa23f6f23045589%3A0xf44ecd36d439241d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJiVUEI28_ogARHSQ51DbNTvQ,"Santa Bárbara do Tugúrio, MG",lojas_presentes,2025-07-29T02:28:14.224323,COMPLETA
