position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Criativa Presentes e Utilidades,ChIJjVZ6KhTHoQARazfvxyfPo2M,0xa1c7142a7a568d:0x63a3cf27c7ef376b,7179810000723720043,/g/11fmlglw5w,5,2,Loja de Presentes,Loja de Presentes,gift_shop,"Rua, Av. Min. Gabriel Passos, 599 - Centro, Santa Cruz de Minas - MG, 36328-000, Brasil",-21.121755,-44.228482799999995,+55 32 98407-3061,,Aberto ⋅ Fecha às 18:00,Aberto ⋅ Fecha às 18:00,terça-feira: 00:00–18:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–18:00; domingo: Fechado; segunda-feira: 09:00–00:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipOi2MfG2g483VgQGn1In1EChriP1u5s2mB4611V=w122-h92-k-no,https://serpapi.com/images/url/gtAsB3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn2nkm-ZulG5iYRyWHuieZ-iZZ-jqnFGUGWBYalpslOtkYmZoGGZbbmhkpJthaaSbrZuXDwB-JB_b,https://serpapi.com/search.json?data_id=0xa1c7142a7a568d%3A0x63a3cf27c7ef376b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c7142a7a568d%3A0x63a3cf27c7ef376b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJjVZ6KhTHoQARazfvxyfPo2M,"Santa Cruz de Minas, MG",lojas_presentes,2025-07-29T02:30:48.319156,COMPLETA
2,Empório Vó Olívia | Loja Santa Cruz de Minas,ChIJb45k2UbHoQARRh5YTKTBG4M,0xa1c746d9648e6f:0x831bc1a44c581e46,9447357554739387974,/g/11wn74m8d0,4.9,94,Loja,"Loja, Centro de arte, Ateliê de arte, Central de artesanato, Loja de artigos colecionáveis, Loja de artigos domésticos, Decorador de interiores, Pintura, Loja de artigos religiosos, Artesanato",store,"Av. Min. Gabriel Passos, 1454 - Centro, Santa Cruz de Minas - MG, 36328-000, Brasil",-21.122749499999998,-44.2203807,+55 32 98509-8024,https://www.voolivia.com.br/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: 09:00–13:00; segunda-feira: 09:00–18:00,,,"Assento com acessibilidade para pessoas em cadeira de rodas, Banheiro com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Serviços no local,,,https://lh3.googleusercontent.com/p/AF1QipMVgVFEfwjVRBMRR8s0Fi8yGi_MpUT3ItVNnrsy=w92-h92-k-no,https://serpapi.com/images/url/3KXYWHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG5Ye5uaaVp4VFuTkGxRkUWzglmlR6Z4Z71sQGmLsWRLml1dUXGlbbmmkmwHE2bp5-QCMfyFp,https://serpapi.com/search.json?data_id=0xa1c746d9648e6f%3A0x831bc1a44c581e46&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c746d9648e6f%3A0x831bc1a44c581e46&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJb45k2UbHoQARRh5YTKTBG4M,"Santa Cruz de Minas, MG",lojas_presentes,2025-07-29T02:30:48.319156,COMPLETA
3,Loja do Gabiroba - Brinquedos - Presentes e Utensílios para o Lar,ChIJ7wZhy57HoQAR51rwoVlbsLg,0xa1c79ecb6106ef:0xb8b05b59a1f05ae7,13308237339406916327,/g/11j2xhqqgq,5,2,Papelaria,Papelaria,stationery_store,"Praça São Sebastião, 35 - COHAB, Santa Cruz de Minas - MG, 36328-000, Brasil",-21.120905999999998,-44.224934999999995,+55 32 99983-7903,,Fechado ⋅ Abre às 07:30,Fechado ⋅ Abre às 07:30,terça-feira: 07:30–18:00; quarta-feira: 07:30–18:00; quinta-feira: 07:30–18:00; sexta-feira: 07:30–18:00; sábado: 07:30–12:00; domingo: Fechado; segunda-feira: 07:30–18:00,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npYvE2jpUlopzLnH6JFbGC2_wB01sWe0bA4gn-mLyxAqbvfuvKoz7Nnw9EAwV2N-bM2Lkgen8O1lOUOPbmwwdSaoLL6uyBciMXMYp3tq-neQOOYs0wr5B3Ad9SWOE4mj_3bGrba9g=w163-h92-k-no,https://serpapi.com/images/url/N9JvNHicBcFRboIwGADgE1WgRVyX7KEYdHHFbjFOeTIWa5nC30oLnV5wZ_A2-77nX-O9da9R1DZkoo3RrRqc6msDXoGf1KaLtHWodshFbE6bFGw1Fvhit62xDw7v2Wohl3N8CHmcuJ2KJUs1oI7ff9lNjudh_DCP2RoCLVj4xmskS8yvWsGLSFqxFZ-yC-G0ORrOs-Ge1z_lvqws8TcE6kuIysWhn-aEnehmJ4q0uxyIXPbySPVbSDKCGorRFYH5B5vFRbM,https://serpapi.com/search.json?data_id=0xa1c79ecb6106ef%3A0xb8b05b59a1f05ae7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c79ecb6106ef%3A0xb8b05b59a1f05ae7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7wZhy57HoQAR51rwoVlbsLg,"Santa Cruz de Minas, MG",lojas_presentes,2025-07-29T02:30:48.319156,COMPLETA
2,M Z Artesanato,ChIJJ94-g8bHoQARQ9aAJYoHk5M,0xa1c7c6833ede27:0x9393078a2580d643,10633851435067954755,/g/1tggvrl_,4.8,25,Artesanato,Artesanato,handicraft,"Av. Min. Gabriel Passos, 218 - Centro, Santa Cruz de Minas - MG, 36328-000, Brasil",-21.1215317,-44.232147399999995,+55 32 3372-3855,http://www.mzartesanato.com.br/,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–17:00; quarta-feira: 07:00–17:00; quinta-feira: 07:00–17:00; sexta-feira: 07:00–17:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 07:00–17:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente atendimento e produtos de muita qualidade!""",https://lh3.googleusercontent.com/p/AF1QipM1b-_T68fzIKhuIcCm4-bINnaR_qjZuw_B9hvY=w125-h92-k-no,https://serpapi.com/images/url/rguyfnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga5ikGx9iZpFW5emdUeqZ7Jxropvk6ZeXGBRfmBVVWh7vZJlRFmlbbmhkqpthaaSbrZuXDwCiAyFh,https://serpapi.com/search.json?data_id=0xa1c7c6833ede27%3A0x9393078a2580d643&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c7c6833ede27%3A0x9393078a2580d643&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJ94-g8bHoQARQ9aAJYoHk5M,"Santa Cruz de Minas, MG",lojas_artesanato,2025-07-29T02:30:51.402692,COMPLETA
3,loja de artesanato santa cruz Tear e Croche,ChIJzb9ShZ7HoQARmDehb0g8lGo,0xa1c79e8552bfcd:0x6a943c486fa13798,7679829546381686680,/g/11q8vv9fbt,5,1,Artesanato,Artesanato,handicraft,"R. Juvenal Chaves, 270 - centro, Santa Cruz de Minas - MG, 36328-000, Brasil",-21.1192019,-44.2299942,+55 32 99957-9666,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:30; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqZ5-XsmyakZLqUwrILillCjZ5RAWaKAtD_qM-uJD54KUOgrKfhNDl87w97ohfoPnnFp7gewXZhdpnikEgHzYPkRsPPWqWQUfYu4U0mAEDwq6FeK78Mtk6GwKcRI-PxUpjPtEoi=w120-h92-k-no,https://serpapi.com/images/url/BzVcrnicBcHbboIwAADQL6owByImeyAC6uqlkjQoL4thpcWWXmhJ3f7Pj_BvPOf1ZM5puwoCwT5nVCkqyGTJ2CrpiHSzVg0B1Ra0FtggW6cskqaJwcUOfzfe7A32427fC7G-N3GV1TeYufzHHMD0nccRxCc6wo4dc7FMfJoo1ikkZakTSvylYb9a9ryg2_8r4pVFqDb1GXfXKcLhkBW5N4uSwGR5cHyx8bCtdgA9sL4jV6j-y3_MQ8DSOeBAqjc7v0XC,https://serpapi.com/search.json?data_id=0xa1c79e8552bfcd%3A0x6a943c486fa13798&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c79e8552bfcd%3A0x6a943c486fa13798&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJzb9ShZ7HoQARmDehb0g8lGo,"Santa Cruz de Minas, MG",lojas_artesanato,2025-07-29T02:30:51.402692,COMPLETA
4,Sueli artesanato mineiro,ChIJjYamAj_HoQARW6EKc8TrPos,0xa1c73f02a6868d:0x8b3eebc4730aa15b,10033716248804237659,/g/11ssfcm7g4,4.8,5,Artesanato,Artesanato,handicraft,"Av. Min. Gabriel Passos, 1189 - COHAB, Santa Cruz de Minas - MG, 36328-000, Brasil",-21.1220253,-44.222901799999995,+55 32 98458-3389,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/p/AF1QipOY1tYVO00AhNT3R7B3lgr77FdjRRNFNSr-gq_6=w80-h92-k-no-pi0-ya120-ro0-fo100,https://serpapi.com/images/url/Eluc33icBcFBDsIgEADAF21ZSiJq4qEeONKIxqQnYypCFVlK1xif6m-c-c2RuSxbIVJUTSAKyb8XX0fK7DM3I71EEZ2Rh6n0g-Th3CN20Z6U03uVQtXa3B7OWWOPFcJ8We0-a4S4aeEJmaBMCN-rbBEqIdxJIv4BLUsl0Q,https://serpapi.com/search.json?data_id=0xa1c73f02a6868d%3A0x8b3eebc4730aa15b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c73f02a6868d%3A0x8b3eebc4730aa15b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJjYamAj_HoQARW6EKc8TrPos,"Santa Cruz de Minas, MG",lojas_artesanato,2025-07-29T02:30:51.402692,COMPLETA
5,Fonseca Artesanato,ChIJBzMuuTDHoQARqiKmpgbDr3s,0xa1c730b92e3307:0x7bafc306a6a622aa,8912556620922626730,/g/11m_fds8fn,5,2,Artesanato,Artesanato,handicraft,"Av. Min. Gabriel Passos, 682 - loja 1 e 2 - COHAB, Santa Cruz de Minas - MG, 36328-000, Brasil",-21.1222565,-44.2275643,+55 32 99831-5983,https://www.instagram.com/fonsecaartesanato/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: 09:00–13:00; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Móveis lindos ,alta qualidade e o atendimento da Renata impecável.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noIY8Eg0REJiQkZw82Bkxr139NuVbTa4-vKk__JsR4q4BNxW6dRW73yb6IVhhynOFdKz4NFImBBwuHfdEKg0FlsqotGA_cMCr4qBH1LO-vunVWCSnfoawEIt0oFlTvRVLi6Qw5w=w80-h142-k-no,https://serpapi.com/images/url/y0OjjHicBcFLDoIwFADAE5WPVEQTF5SAIooRDUQ3RPm0BuwTWqh6Pw_hbZz5fZmUT7HQ9ZZZGgWgbTWIqi-Ay4pLrYCHTp8CFQIJ3fXmDHMIz45PjcTf3A_NRTkT0rx605rHQ3o7XTEaoybPNyLBHSbxK7PLJJtZ75sdpoy9-T4oow-Og_BBiBrWdelH1Aha0YFcuXmx83rckbW53aNx4GnmHXkNV-WH0oCgPY1Jur3bBzVVS-UYiJl4ghrE4Q-PEERc,https://serpapi.com/search.json?data_id=0xa1c730b92e3307%3A0x7bafc306a6a622aa&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c730b92e3307%3A0x7bafc306a6a622aa&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBzMuuTDHoQARqiKmpgbDr3s,"Santa Cruz de Minas, MG",lojas_artesanato,2025-07-29T02:30:51.402692,COMPLETA
6,Artesanato Móveis Rústicos São José,ChIJmT2pLaPHoQART8MJU4vMU-s,0xa1c7a32da93d99:0xeb53cc8b5309c34f,16957121920745718607,/g/11ggw74rk_,4.6,28,Artesanato,"Artesanato, Loja de móveis rústicos",handicraft,"Av. Min. Gabriel Passos, 1638 - Estrada Real, Santa Cruz de Minas - MG, 36328-000, Brasil",-21.1223444,-44.219215299999995,+55 32 99965-1953,http://www.moveisrusticosaojose.com.br/,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 10:00–17:00; domingo: 11:00–15:00; segunda-feira: 08:30–18:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/p/AF1QipMZbR5pZ-b-kTWQb4cHOX0HOqmmdQ-3QuLuycWj=w163-h92-k-no,https://serpapi.com/images/url/MPsfq3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG5UUZFoQpZukmx0SHphkkuzhH2Hg4V-Ym5sSqGscWOpTWpkcnmVbbmhmrJthaaSbrZuXDwCelCEs,https://serpapi.com/search.json?data_id=0xa1c7a32da93d99%3A0xeb53cc8b5309c34f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c7a32da93d99%3A0xeb53cc8b5309c34f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJmT2pLaPHoQART8MJU4vMU-s,"Santa Cruz de Minas, MG",lojas_artesanato,2025-07-29T02:30:51.402692,COMPLETA
7,Artesanatos Gerais,ChIJH6bhDJTHoQARwfOCOnoMick,0xa1c7940ce1a61f:0xc9890c7a3a82f3c1,14522152192540079041,/g/11ft2054tr,3,1,Artista,Artista,artist,"R. das Flores, 39 - COHAB, Santa Cruz de Minas - MG, 36328-000, Brasil",-21.1221325,-44.2231759,+55 32 99932-7965,https://artesanatos-gerais.ueniweb.com/?utm_campaign=gmb,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: Fechado; domingo: Fechado; segunda-feira: 08:00–18:00,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=NGu6nayuB-qJG8MYVeoWFA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=209.33226&pitch=0&thumbfov=100,https://serpapi.com/images/url/GiDFb3icHc1RCsIgGADg2_g2dQ7GFkjUQ4OgHouewrk_FZzadLPdpmt1m6ILfN_nrVMKcUNITBNAWgzkYF5gYxEEVt4rCyKYiKUfyVKSpOexd8LYbRDOm4Gfu7l2Yp33xfPYNafbBfz1sEOyv0trwCUeQUxSY5V_4uQHrEJEmTcUad4ytIrMGW1xVTFWo2CS1Jyi__LwCy8p_QJrxzlX,https://serpapi.com/search.json?data_id=0xa1c7940ce1a61f%3A0xc9890c7a3a82f3c1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c7940ce1a61f%3A0xc9890c7a3a82f3c1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJH6bhDJTHoQARwfOCOnoMick,"Santa Cruz de Minas, MG",lojas_artesanato,2025-07-29T02:30:51.402692,COMPLETA
8,D&D Artesanatos,ChIJF6GEpEzHoQARn3TkBxkWvaI,0xa1c74ca484a117:0xa2bd161907e4749f,11726553301505045663,/g/11j7l44mdc,,0,Artesanato,Artesanato,handicraft,"Av. Min. Gabriel Passos, 1535 - Centro, Santa Cruz de Minas - MG, 36328-000, Brasil",-21.122160299999997,-44.2194784,+55 32 99914-3214,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 10:00–16:00; domingo: 12:00–15:00; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3NHTWlMAGb_eZKV2rdhFVw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=24.017653&pitch=0&thumbfov=100,https://serpapi.com/images/url/LpBkBXicHc3dCsIgGADQt_EudVv_INFNBVFXsaCb4dyXCm6Kfs16m16rtyl6gXM-b4MY0pqxhBEARws52Ce4NAmSau-1Axlsosr3bCwYmkffDtK6TZCDt52ozofL1Z22-7aB27EuY2d2dSaqbZSzMKBIIKMyVOefGH1HdUgkiyUnRqxK8pJZlFPKi8V8VpFgURnByX-5-1EUnH8BaCE5XQ,https://serpapi.com/search.json?data_id=0xa1c74ca484a117%3A0xa2bd161907e4749f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa1c74ca484a117%3A0xa2bd161907e4749f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJF6GEpEzHoQARn3TkBxkWvaI,"Santa Cruz de Minas, MG",lojas_artesanato,2025-07-29T02:30:51.402692,COMPLETA
