position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Cor & Arte Cestas e Presentes,ChIJ3X3dNr-FpgARgAj_vns3wsM,0xa685bf36dd7ddd:0xc3c2377bbeff0880,14105897987502704768,/g/11b6htvfdd,4.9,243,Loja de cestas de presente,"Loja de cestas de presente, Loja de presentes",gift_basket_store,"Av. Joaquim Rodrigues da Rocha, 90 - Conj. Cristina (Sao Benedito), Santa Luzia - MG, 33110-070, Brasil",-19.785868999999998,-43.920164199999995,+55 31 99667-9067,https://www.instagram.com/corearte_cestasepresentes,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–12:00; domingo: 09:00–12:00; segunda-feira: 09:00–19:00,,,Estacionamento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPWxGbT-JnqtrT0MvwHu0e6KSDQc9N2M17SmiEj=w100-h92-k-no,https://serpapi.com/images/url/aPoKR3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEF7hnhSi65VXWFIUYuBbVu5RapBq5h3sEphs6Wfka2genJvpmmVbbmhgoJthaaSbrZuXDwCmJyDt,https://serpapi.com/search.json?data_id=0xa685bf36dd7ddd%3A0xc3c2377bbeff0880&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa685bf36dd7ddd%3A0xc3c2377bbeff0880&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ3X3dNr-FpgARgAj_vns3wsM,"Santa Luzia, MG",lojas_presentes,2025-07-29T02:34:54.607238,COMPLETA
2,Splendore Cestas e Presentes,ChIJtQd6t8qFpgARjOEFb-QZepY,0xa685cab77a07b5:0x967a19e46f05e18c,10843007521753784716,/g/11k3k9kqvt,5,33,Loja de cestas de presente,"Loja de cestas de presente, Doceria",gift_basket_store,"R. Paulo Duarte, 132/203 - Conjunto Cristina, Santa Luzia - MG, 33110-190, Brasil",-19.7830436,-43.9177337,+55 31 98112-8181,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–15:00; domingo: Fechado; segunda-feira: 09:00–17:00,,,,Aceita somente dinheiro,"Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipM2KgwT_J6N-C7onrXCSuA8PoLP2KkH0x9_zuQ4=w80-h106-k-no,https://serpapi.com/images/url/JyF5mXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga-SdXh4S72Xmp-tsnp9XFOEcXOpoEZDvE2Dkne1hUGEZX1UaaGJbbmGgm2FoYKabrZuXDwCUTyCw,https://serpapi.com/search.json?data_id=0xa685cab77a07b5%3A0x967a19e46f05e18c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa685cab77a07b5%3A0x967a19e46f05e18c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtQd6t8qFpgARjOEFb-QZepY,"Santa Luzia, MG",lojas_presentes,2025-07-29T02:34:54.607238,COMPLETA
3,BemDita Cestaria,ChIJi-Fj6-yWjioRNyENEcplZDc,0x2a8e96eceb63e18b:0x376465ca110d2137,3991427088300974391,/g/11sgp4dcln,5,10,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Dr. Ari Teixeira da Costa, 115 - Esplanada, Santa Luzia - MG, 33025-010, Brasil",-19.768730599999998,-43.8489272,+55 31 99713-0409,https://instagram.com/bemditacestaria?utm_medium=copy_link,Aberto 24 horas,Aberto 24 horas,terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas; segunda-feira: Atendimento 24 horas,,,,"Cartão de crédito, Cartão de débito, Cheques",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipMKt5mWdhukFjaEciE3jnEu4bG7rg_P1mX6CYlu=w163-h92-k-no,https://serpapi.com/images/url/9kkxQXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng611imhueklGa7ZaV6Jqc6WqcledaapLkbl6UHh9gmBth5hyZU2pbbmhmrJthaaSbrZuXDwC4NyGe,https://serpapi.com/search.json?data_id=0x2a8e96eceb63e18b%3A0x376465ca110d2137&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x2a8e96eceb63e18b%3A0x376465ca110d2137&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJi-Fj6-yWjioRNyENEcplZDc,"Santa Luzia, MG",lojas_presentes,2025-07-29T02:34:54.607238,COMPLETA
4,Iza Presentes,ChIJvW3D2gKEpgARsT-eCtcExqo,0xa68402dac36dbd:0xaac604d70a9e3fb1,12305528353479081905,/g/11bwnb77p1,4,11,Loja de presentes,Loja de presentes,novelty_store,"R. Alto do Tanque, 1540 - Nossa Sra. das Gracas, Santa Luzia - MG, 33030-552, Brasil",-19.7803677,-43.8716388,+55 31 3641-3153,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/p/AF1QipPhaXEqXCQuaN1pEJIJGhdPZq82cXiUgXtyAUxH=w122-h92-k-no,https://serpapi.com/images/url/DNL6KnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkJEY4VoY4RxYmuhnWODq5enlnpESEFVoYZQckRmaHlFS6Rha4WFbbmhkpJthaaSbrZuXDwCvZSGE,https://serpapi.com/search.json?data_id=0xa68402dac36dbd%3A0xaac604d70a9e3fb1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa68402dac36dbd%3A0xaac604d70a9e3fb1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJvW3D2gKEpgARsT-eCtcExqo,"Santa Luzia, MG",lojas_presentes,2025-07-29T02:34:54.607238,COMPLETA
5,Essenciale Presentes | Acessórios | Perfumaria Santa Luzia,ChIJHVcxSrWBpgARL6yp_s3jaz4,0xa681b54a31571d:0x3e6be3cdfea9ac2f,4497939126739905583,/g/11j0tbyp43,5,37,Perfumaria,"Perfumaria, Loja de cosmético, Loja de acessórios de moda",perfume_store,"Praça, R. Dr. Ari Teixeira da Costa, 172 - Centro, Santa Luzia - MG, 33010-345, Brasil",-19.7663279,-43.848709899999996,+55 31 99664-6364,https://www.facebook.com/pages/category/Gift-Shop/Essenciale-1739137883018076/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:30; quarta-feira: 09:00–18:30; quinta-feira: 09:00–18:30; sexta-feira: 09:00–18:30; sábado: 09:00–16:00; domingo: Fechado; segunda-feira: 09:00–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Produtos de excelente qualidade, exatamente como o atendimento!!!""",https://lh3.googleusercontent.com/p/AF1QipONmwmT4_fJkVvTD39MVSEXoRAL_O4-tmIPYpU_=w80-h120-k-no,https://serpapi.com/images/url/i1_7S3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng75dbnhtiEp_mlR1WFuJibOkbFuwakR_k6BPvb6JbkusZEFkQGm9bbmGgm2FoZKCbrZuXDwCn4SEZ,https://serpapi.com/search.json?data_id=0xa681b54a31571d%3A0x3e6be3cdfea9ac2f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa681b54a31571d%3A0x3e6be3cdfea9ac2f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJHVcxSrWBpgARL6yp_s3jaz4,"Santa Luzia, MG",lojas_presentes,2025-07-29T02:34:54.607238,COMPLETA
6,Casa e Presentes,ChIJve31JG2BpgARsWKmU6X1f_k,0xa6816d24f5edbd:0xf97ff5a553a662b1,17978358327908131505,/g/11ry8mc453,5,2,Loja,Loja,store,"Av. Raul Teixeira da Costa Sobrinho, n° 934 - Camelos, Santa Luzia - MG, 33010-292, Brasil",-19.7611466,-43.8575245,+55 31 99412-0055,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–17:00; domingo: 08:00–13:00; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipM-f99ZDY25YHzF0lmRkSOmFoHTSCVMqYbZMjpC=w80-h92-k-no,https://serpapi.com/images/url/HcxuSXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngq5tmaRnlEmlkGulR5WaQkxuUHeyf65bvERLsHOZbGJkU5ZtV4GxbbmGgm2FppJutm5cPAHCbIKk,https://serpapi.com/search.json?data_id=0xa6816d24f5edbd%3A0xf97ff5a553a662b1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6816d24f5edbd%3A0xf97ff5a553a662b1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJve31JG2BpgARsWKmU6X1f_k,"Santa Luzia, MG",lojas_presentes,2025-07-29T02:34:54.607238,COMPLETA
7,Mimos - Presentes Para Toda a Família,ChIJESkqZgiFpgARXQAACAIMKUA,0xa68508662a2911:0x40290c020800005d,4623239695336210525,/g/11h2hfkczd,4.7,9,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Brasília, 3140 - São Benedito, Santa Luzia - MG, 33110-580, Brasil",-19.786704,-43.9188599,+55 31 3637-1729,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–21:00; quarta-feira: 09:00–21:00; quinta-feira: 09:00–21:00; sexta-feira: 09:00–21:00; sábado: 09:00–21:00; domingo: 09:00–14:00; segunda-feira: 09:00–21:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótimo atendimento,  rápido e bom preço!""",https://lh3.googleusercontent.com/p/AF1QipO1Sgs4NmpkfQc5jwsdClvJKcrxfTiCoAe5M4lV=w80-h106-k-no,https://serpapi.com/images/url/9trzrHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngbxicXmzil1uQnRaYbJpVXpzinFPm5Z1cVJEWkumc75hq6muSE2ZbbmGgm2FoYKabrZuXDwDCWyHu,https://serpapi.com/search.json?data_id=0xa68508662a2911%3A0x40290c020800005d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa68508662a2911%3A0x40290c020800005d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJESkqZgiFpgARXQAACAIMKUA,"Santa Luzia, MG",lojas_presentes,2025-07-29T02:34:54.607238,COMPLETA
8,✨DECORARTES TOMAZ ''Um jeito especial de Presentear!''🎁,ChIJfS8Ho46FpgARf5Wul9Qwpo8,0xa6858ea3072f7d:0x8fa630d497ae957f,10351014483193664895,/g/11v_4z9mt4,5,18,Loja de presentes,"Loja de presentes, Loja de produtos de papelaria, Artesanato, Decorador de interiores, Papelaria",novelty_store,"R. Maria Angélica Ximenes, 784 B - Asteca, Santa Luzia - MG, 33120-280, Brasil",-19.7919795,-43.9313904,+55 31 98780-5655,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–14:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://lh3.googleusercontent.com/p/AF1QipPIJxC7XKx4egCJc6-f9BKN-j80_3xzc7mjIVH3=w80-h99-k-no,https://serpapi.com/images/url/B_BlEXicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4OlV4Wwe4V1hkpru7JVspptm6eTtp5tlYRBvXFGVbJ6b5RnmYWxbbmGgm2FpqZutm5cPAGjKIBs,https://serpapi.com/search.json?data_id=0xa6858ea3072f7d%3A0x8fa630d497ae957f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6858ea3072f7d%3A0x8fa630d497ae957f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJfS8Ho46FpgARf5Wul9Qwpo8,"Santa Luzia, MG",lojas_presentes,2025-07-29T02:34:54.607238,COMPLETA
9,Total Presentes,ChIJg0WquqiBpgARftsD0xkv69c,0xa681a8baaa4583:0xd7eb2f19d303db7e,15558581125642443646,/g/11qg2dwxmm,5,2,Armarinho,Armarinho,notions_store,"R. dos Cravos, 226 - Imperial, Santa Luzia - MG, 33065-200, Brasil",-19.7661215,-43.824895,+55 31 99745-7810,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–16:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Compras na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=o_P6ZnHdNE4S9dfStZYjVA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=331.7251&pitch=0&thumbfov=100,https://serpapi.com/images/url/ZuhI4XicHc3dCsIgGADQt_Euf7b-Fkh0EXQVwSBoN8M5p4ZTmV-znqbn6m2KXuCcz9sAxLQjJMGkFMxW5WifyqVFFFiHoJ0S0SYsw0hmRsA8xs4L6_ZR-GB7HtrLuvGn_nxc1lU_1NDc7tcDkl0rnVUeeFJikgbr_BOn0GMdE8p8S5HhVYFeIvOyZHhTrBiKFqThFP2TIcycUfoFNss5LQ,https://serpapi.com/search.json?data_id=0xa681a8baaa4583%3A0xd7eb2f19d303db7e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa681a8baaa4583%3A0xd7eb2f19d303db7e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJg0WquqiBpgARftsD0xkv69c,"Santa Luzia, MG",lojas_presentes,2025-07-29T02:34:54.607238,COMPLETA
10,DreamBOX Presentes & Decoração,ChIJe6VEuLGGpgARxUPEZnI03iY,0xa686b1b844a57b:0x26de347266c443c5,2800733684226081733,/g/11g9hjwv9m,5,4,Loja de presentes,"Loja de presentes, Livraria infantil",novelty_store,"R. Rio das Velhas, 40 B - São João Batista, Santa Luzia - MG, 33030-030, Brasil",-19.7694658,-43.8738485,+55 31 3642-3022,,Fechado ⋅ Abre às 09:30,Fechado ⋅ Abre às 09:30,terça-feira: 09:30–18:30; quarta-feira: 01:00–18:30; quinta-feira: 09:30–18:30; sexta-feira: 09:30–18:30; sábado: 09:00–16:00; domingo: Fechado; segunda-feira: 09:30–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nraP8Im3_jl7_AtV0yiCz78SYyt6y-vvIWjkE-mMYFq1LV7oTL45b44kTNhb3vOPkaK8zbN4-LXCx7dwCQBb5nuJM5kJ-rJMBjV7bFSVebYyJpcw-J8_uXvBfd0Xnzr8gRiLpUE=w80-h100-k-no,https://serpapi.com/images/url/OTj883icBcHdboIwGADQJ_qkhrJ2S3YhRBMrOP_G4IpYRCqFltECg_fzIXybnfN6Cmtb8-E4tXAXpdZlXfSm6HKtbKHsIteNU7YGcgPGWQXvAqvueqDbxs2qmmQrG6PpEcyEntPJvk0wDNufSq6hidLN7zKMib6E2OMYy8tecHf4Osjrjs58jyFMgj9yG4Ojzz3Vs8iTDDoW-VVM-OYcFzydWJuPwGjWJ4N_v6FEzR0tT4-w_V5_jhSBWCIEEpT-B5G_RAY,https://serpapi.com/search.json?data_id=0xa686b1b844a57b%3A0x26de347266c443c5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa686b1b844a57b%3A0x26de347266c443c5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJe6VEuLGGpgARxUPEZnI03iY,"Santa Luzia, MG",lojas_presentes,2025-07-29T02:34:54.607238,COMPLETA
