position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Tininho's PhotoPresentes Utilidades Material Escolar,ChIJRcW00oZ5pQAR_pazKzTvr6Q,0xa57986d2b4c545:0xa4afef342bb396fe,11866966550495074046,/g/1tm8ltv7,4.5,6,Loja de Presentes,"Loja de Presentes, Loja de Informática, Impressão digital, Fotos para passaporte, Loja de artigos para fotografia, Loja de materiais escolares",gift_shop,"R. Casemiro Andrade, 316 - Centro, Santa Maria de Itabira - MG, 35910-000, Brasil",-19.4488164,-43.1141006,+55 31 3838-1211,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipPk3J6i5CWKO0TQQvEDZDIzwOHww8XLwXiL8Cr7=w147-h92-k-no,https://serpapi.com/images/url/FXUynHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkG3sZZZp6hzu7W8QEhhY5uoS5eJZVe7vUV5uEeFTHpHpY-FcZG5bbmhirpthaaSbrZuXDwCSaSDE,https://serpapi.com/search.json?data_id=0xa57986d2b4c545%3A0xa4afef342bb396fe&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa57986d2b4c545%3A0xa4afef342bb396fe&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRcW00oZ5pQAR_pazKzTvr6Q,"Santa Maria de Itabira, MG",lojas_presentes,2025-07-29T02:38:08.633942,COMPLETA
2,Papelaria Muzzi,ChIJRcW00oZ5pQARlrGSLYPw9I4,0xa57986d2b4c545:0x8ef4f0832d92b196,10301122693899137430,/g/1tfbjz9y,4.6,14,Papelaria,Papelaria,stationery_store,"R. Casemiro Andrade, 380 A - Centro, Santa Maria de Itabira - MG, 35910-000, Brasil",-19.448302599999998,-43.114101,+55 31 3838-1650,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zzq-NkZLP75b0Hw9VpuQCw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=131.3103&pitch=0&thumbfov=100,https://serpapi.com/images/url/A6UwQnicHc09DsIgGADQ27CVHxujNSEOXRyM0cXBxVCKQKTls3wt2st4Lm-j8QLvfd4OEdKGsYSDMTh5k8E_TUgFKGpjtMEo8Inq2LFJMHRj1_TKhy2oPvpWzvOjONwv--Nq2fBdrs4wnupMdHPVwZseZTJq0I7a_BOH2FILiWS55sTJakFeKktRCloKXhLwqJ3k5J_c4iQF519AcTlA,https://serpapi.com/search.json?data_id=0xa57986d2b4c545%3A0x8ef4f0832d92b196&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa57986d2b4c545%3A0x8ef4f0832d92b196&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRcW00oZ5pQARlrGSLYPw9I4,"Santa Maria de Itabira, MG",lojas_presentes,2025-07-29T02:38:08.633942,COMPLETA
3,Atacadão Santa Maria,ChIJOaPgapN5pQARRf77AlpS4n4,0xa579936ae0a339:0x7ee2525a02fbfe45,9142960740066131525,/g/11c6025r1y,4.4,598,Supermercado,Supermercado,supermarket,"R. José da Silva Braga, 1055 - Santa Maria de Itabira, MG, 35910-000, Brasil",-19.4602027,-43.1107891,+55 31 3157-0343,,Fechado ⋅ Abre às 07:30,Fechado ⋅ Abre às 07:30,terça-feira: 07:30–20:00; quarta-feira: 07:30–20:00; quinta-feira: 07:30–20:00; sexta-feira: 07:30–20:00; sábado: 07:30–20:00; domingo: Fechado; segunda-feira: 07:30–20:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Cheques, Pagamentos por dispositivo móvel via NFC, Pluxee","Entrega sem contato, Entrega, Retirada na loja",,"""Produtos de laticínios da região, bem fresquinhos.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqnoiUfPplHF_YkCXOrnv9a20atYs0lC7w6A1So0LenMj2AaJOQLzgXdKQ32rIkbVy2mPqTKqGDs4QAlbggl6PXhVJU67kGtWjYihrmYLx6RvaArYtBGV_93uEG3U57Wqjmr3cbXw=w122-h92-k-no,https://serpapi.com/images/url/StjX7nicBcFLUoMwAADQE6XQBGFwposUFQUcwJZPVh1ATAohgSQU9YKeobfxvfsfM2bWj5bFGdpRKSnvV92rTgrTC7Pr5GTRWYNOA23hwGeOWIS8Fl_ZzF9fLmQM6lSJm99AuzFE2zzwNhfvT9JOevE-QNxEaZ780vozzhFUb2Nb_sApW87xEj5pJ8e8pZS7Wc3KqHC9MTTVQK5MTST5dj9uDVbEHMPy4qP1OUTFg1ctw6RQ19bbYdtDCJgPwQiE_AeNOkWx,https://serpapi.com/search.json?data_id=0xa579936ae0a339%3A0x7ee2525a02fbfe45&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa579936ae0a339%3A0x7ee2525a02fbfe45&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJOaPgapN5pQARRf77AlpS4n4,"Santa Maria de Itabira, MG",lojas_presentes,2025-07-29T02:38:08.633942,COMPLETA
4,"UP Informática, Eletrônicos e Papelaria",ChIJRcW00oZ5pQARJf6Qc-d0rHI,0xa57986d2b4c545:0x72ac74e77390fe25,8263107953743167013,/g/11h0jpzf8,4.4,15,Loja de Informática,"Loja de Informática, Loja de celulares, Assistência Técnica de Informática, Loja de eletrônicos, Lan House e Cyber café, Serviço de reparos de aparelhos telefônicos, Papelaria",computer_store,"R. José Belizário Guerra Viana, 150 - Centro, Santa Maria de Itabira - MG, 35910-000, Brasil",-19.4490336,-43.1145274,+55 31 3838-1748,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,Assento com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipN9bVQXEvdEWzYPfD4zxgPfidLhIyXrshstm63C=w138-h92-k-no,https://serpapi.com/images/url/tUgVX3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZ5kUFhjhWpbiGl4VGZDmYlJVkR6Qlpnik-FZGVFUnFFckmtm7GxbbmhsoZthaaSbrZuXDwDBLiIZ,https://serpapi.com/search.json?data_id=0xa57986d2b4c545%3A0x72ac74e77390fe25&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa57986d2b4c545%3A0x72ac74e77390fe25&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJRcW00oZ5pQARJf6Qc-d0rHI,"Santa Maria de Itabira, MG",lojas_presentes,2025-07-29T02:38:08.633942,COMPLETA
5,Delcore Festas,ChIJwzsYdpd5pQARXHC5ZXDuM3U,0xa5799776183bc3:0x7533ee7065b9705c,8445355892760211548,/g/11bw5zljkf,5,2,Loja de artigos para festas,Loja de artigos para festas,party_store,"R. do Rosário, 190 - Centro, Santa Maria de Itabira - MG, 35910-000, Brasil",-19.451535,-43.113881899999996,+55 31 98476-0011,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: Fechado; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Entrega no mesmo dia",,,https://lh3.googleusercontent.com/p/AF1QipNw7DHm5QsGtiXeTi5E-VKUAxipJNuE33wrS59l=w80-h106-k-no,https://serpapi.com/images/url/6MYM7HicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngV27u4pFrGljsXpIZkRqSaeqqG-Yd6liRWeDlV-pqbFxeFGxqmWNbbmGgm2FoYKabrZuXDwCijCD_,https://serpapi.com/search.json?data_id=0xa5799776183bc3%3A0x7533ee7065b9705c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5799776183bc3%3A0x7533ee7065b9705c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJwzsYdpd5pQARXHC5ZXDuM3U,"Santa Maria de Itabira, MG",lojas_presentes,2025-07-29T02:38:08.633942,COMPLETA
6,ArtMaria,ChIJV32lqpl5pQARQk-epvUinrg,0xa57999aaa57d57:0xb89e22f5a69e4f42,13303108787756748610,/g/11t7ff35cl,,0,"Loja de artigos para cama, mesa e banho","Loja de artigos para cama, mesa e banho",linens_store,"R. Casemiro Andrade - Santa Maria de Itabira, MG, 35910-000, Brasil",-19.4486059,-43.1140841,+55 31 99090-7240,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Entrega no mesmo dia",,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=xHtEUwu5OXGWDSKI-siygA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=74.25514&pitch=0&thumbfov=100,https://serpapi.com/images/url/IJB0qXicHc3dCsIgGADQt_Fu6sZGPyARFBVddBFRd-Gc6Qduyvw2t6fpuXqbohc45_O2iCGuGYvYa40j6BRg0i5mQVLjvXFaBohU-ZaNOUM7tHUnwW2C7Dw0Yjri_paG6vI43HfX8ymLMJstUfVTOdAdiqhlryw16Sf2vqEmRJLEkhMrVgWZZRKLkhZVlZckACorOPknLz-KnPMvRpQ5XA,https://serpapi.com/search.json?data_id=0xa57999aaa57d57%3A0xb89e22f5a69e4f42&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa57999aaa57d57%3A0xb89e22f5a69e4f42&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJV32lqpl5pQARQk-epvUinrg,"Santa Maria de Itabira, MG",lojas_presentes,2025-07-29T02:38:08.633942,COMPLETA
7,Seucolchão Santa Maria de Itabira,ChIJWfrm_JV5pQARfTWsn6ZSIEE,0xa57995fce6fa59:0x412052a69fac357d,4692841687316968829,/g/11vq_jj6kw,,0,Loja de colchões,Loja de colchões,mattress_store,"R. José da Silva Braga, 319 - centro, Santa Maria de Itabira - MG, 35910-000, Brasil",-19.4543793,-43.1135981,+55 31 2342-2793,https://www.instagram.com/loja_seucolchao.santamaria/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipPVLtFDn-9ibOAGbOdgUqfCBdojukF2cXHucbeO=w138-h92-k-no,https://serpapi.com/images/url/7YF5j3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEOZT4uaSp2uZmeTv6J7kn5IeWpjm7JSSn1Wa7WaUHOFRmpyU6m9bbmhsoZthaaSbrZuXDwCtkiGX,https://serpapi.com/search.json?data_id=0xa57995fce6fa59%3A0x412052a69fac357d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa57995fce6fa59%3A0x412052a69fac357d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJWfrm_JV5pQARfTWsn6ZSIEE,"Santa Maria de Itabira, MG",lojas_presentes,2025-07-29T02:38:08.633942,COMPLETA
8,Multipla Escolha,ChIJk6wrl7uhpQARa6sUGgDsSAc,0xa5a1bb972bac93:0x748ec001a14ab6b,524928841770380139,/g/1tdb0y0s,4.9,27,Loja de presentes,"Loja de presentes, Loja de souvenires",novelty_store,"R. Alexandre Drumond, 140 - Centro, Itabira - MG, 35900-010, Brasil",-19.6232436,-43.2269248,+55 31 2026-1238,https://multiplaescolha.store/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNN_T4E_riVIZP1adC3Zy0fmzA2yynwyWcTwKl8=w122-h92-k-no,https://serpapi.com/images/url/2YxymXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng5xcfYuIaX5QZ5hkVYJiY4mwcVWmQllvlaFRZmVdeGZ4cUu6dY2FbbmhkpJthaaSbrZuXDwCv6CG1,https://serpapi.com/search.json?data_id=0xa5a1bb972bac93%3A0x748ec001a14ab6b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5a1bb972bac93%3A0x748ec001a14ab6b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJk6wrl7uhpQARa6sUGgDsSAc,"Santa Maria de Itabira, MG",lojas_presentes,2025-07-29T02:38:08.633942,COMPLETA
9,Criative Presentes,ChIJ6z1y3C6hpQARpgzRg-0Jyn8,0xa5a12edc723deb:0x7fca09ed83d10ca6,9208183303835815078,/g/11vsp8q0sy,5,23,Loja de presentes,Loja de presentes,novelty_store,"Av. Mauro Ribeiro, R. Armindo Costa Lage - Esplanada da Estacao, Itabira - MG, 35900-564, Brasil",-19.6321193,-43.2316602,+55 31 3066-8531,https://criativepresentes.offstore.me/shop,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–13:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipNmGgpQ_m83rta2olVNlO7Z05856Sdo0qWG716_=w80-h106-k-no,https://serpapi.com/images/url/lsdF_XicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl-ueXhAYn2thXFSSaJSfE-aX428eZWBqYWoWnJJvUBjubm5oFm9bbmGgm2FoYKabrZuXDwCeFiCF,https://serpapi.com/search.json?data_id=0xa5a12edc723deb%3A0x7fca09ed83d10ca6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5a12edc723deb%3A0x7fca09ed83d10ca6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6z1y3C6hpQARpgzRg-0Jyn8,"Santa Maria de Itabira, MG",lojas_presentes,2025-07-29T02:38:08.633942,COMPLETA
10,"Nina Viana - Café da Manhã, Cestas, Tábuas de Frios, Presentes - Itabira MG",ChIJ7WmM0LmhpQARqMnRg6l8vo4,0xa5a1b9d08c69ed:0x8ebe7ca983d1c9a8,10285795666463672744,/g/11m5gbvwh_,5,56,Loja de cestas de presente,"Loja de cestas de presente, Service establishment",gift_basket_store,,-14.4095262,-51.31668,+55 31 99688-9637,https://www.instagram.com/ninaviana__/,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–18:00; quarta-feira: 07:00–18:00; quinta-feira: 07:00–18:00; sexta-feira: 07:00–18:00; sábado: 07:00–14:00; domingo: Fechado; segunda-feira: 07:00–18:00,,,,Cartão de crédito,Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqYiv16EfoOjvV88fzsDUJH9naMLaaw_UC7YSV-fyiddVF4u1mRpWz0M3bn33B9GmEJ1hOHE92ag7hM1RgZW31VrVNddNXlqmMcVfiMFcpxftHuklDtGoZSnDwSnFuLx03Om1wUBw=w80-h106-k-no,https://serpapi.com/images/url/jhrlfHicBcFtDoIgAADQE5ESrbStH5Waa5FbTvr40wwFLAELjOqCnaHb9N7vK6ztzNTzWoEGXGve1r2pH1QrWys7oFp6vDOAGmC8-TIUI3U_Nk84jpnOrk8SBOxjomKdhqrEm7J052I5OeYEsHdTVSQZ9VDuuv3Hx-iiEFqEKxmvocjSOByWfCIw3PHTHkHyINuq2h7au8SUsAYntHsxm_a3NrIrfcpV5HKV9JuXjzIJXbFwMxf4QEB_DG5A6T9NBkVw,https://serpapi.com/search.json?data_id=0xa5a1b9d08c69ed%3A0x8ebe7ca983d1c9a8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa5a1b9d08c69ed%3A0x8ebe7ca983d1c9a8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ7WmM0LmhpQARqMnRg6l8vo4,"Santa Maria de Itabira, MG",lojas_presentes,2025-07-29T02:38:08.633942,COMPLETA
