position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Do Ré Mi Presentes,ChIJ_-FIs9Ojy5QRYZZomqHdHIk,0x94cba3d3b348e1ff:0x891cdda19a689661,9880015368694044257,/g/11fm4ly5qz,4.8,74,Loja de Brinquedos,"Loja de Brinquedos, Loja",toy_store,"R. Prof. Francisco do Nascimento - Ozório Machado, Santa Rita do Sapucaí - MG, 37540-000, Brasil",-22.244618199999998,-45.710048,+55 35 98826-1871,https://doremipresentes.lojavirtualnuvem.com.br/produtos/?mpage=2,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–16:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npDPc8FYuEVKJa04rxcoi1bZSVGAlhg1IyXApGwjnAsmBeKiNq-9cTyY9w5wd9c2iSFmGZX_8QrahWJtb9MTGzCSEmuPmAbuZoOq4WOnYwB2kg6Jslp8YLpjQPOPPPjTi_45StSHg=w80-h142-k-no,https://serpapi.com/images/url/yiUmfXicBcFZjoIwAADQE1UEq6Em81E3ZnChpkSFHyOVtCBdpCUdveCcYW7je_9_wjlj50HQicmIa827erB1z7RytXIjpmXAjQXMAhvgJRJQmRVh8aYY1qdtehvD_pfpJqxKekpwJ3j487pgk_hWYSsX9bY5PAFi-atAfurviEUN3cikvFzjY38T59RVaJ8n7yVdy4FIXA2lzp7wnKnCL6IHn6W2M3GxM-2RZISQNm-ucEod_eZfPh4DEcIIPIDSH4yaReU,https://serpapi.com/search.json?data_id=0x94cba3d3b348e1ff%3A0x891cdda19a689661&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cba3d3b348e1ff%3A0x891cdda19a689661&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_-FIs9Ojy5QRYZZomqHdHIk,"Santa Rita Durão, MG",lojas_presentes,2025-07-29T02:41:19.851810,COMPLETA
2,Rosa Presentes,ChIJMfy0wQC_pgAR3jzrJZzcbik,0xa6bf00c1b4fc31:0x296edc9c25eb3cde,2985566166202399966,/g/11ryrmrjyz,5,4,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Perimetral, 365 - Vila Santa Rita (Vale do Jatoba), Belo Horizonte - MG, 30668-635, Brasil",-19.9975091,-44.0288044,+55 31 98843-1131,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: Fechado; segunda-feira: 08:00–19:00,,,,"Cartão de crédito, Cartão de débito",,,"""Sempre q posso compro aqui.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noHoagy41JmkiVkgcz_UEcaEErVGP5_YL4HdKIbQrAlhZM--Kf-VqMAisb8daze1Op2lImCJDI1MZc8Fl_0Zo1cRTFcfxoyO-E8enX4KQ4hB1iF3GQK7tUpuEb1oWDIfY9sR-g=w80-h92-k-no-pi-0-ya120.00001-ro-0-fo100,https://serpapi.com/images/url/Giy7qHicDcjRToMwFADQL7rQMoxg4gNuZWNIJotDxwuBrrSE0ouURdmf-uSvuPN4fv_UPI_2yXW1WjkSUWpxtWLiaGZhZofj4MrRArdg3WgdKt_gDmu5-HQ_9F3RS36rTozXjE3F9u2hOr_6u0uaNPkUaVVmAGkLxVcWdbYJLvVN0MPo6WRY7zcJzUoexLoiJVJ-fI95-4PLAVggzKef5r56oV282ubp43war6yh-LFJ2nNojyCfvwMCKvSgB4MwdkBgqalHHHJHYcJ7tEgJ-Qf4xkor,https://serpapi.com/search.json?data_id=0xa6bf00c1b4fc31%3A0x296edc9c25eb3cde&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bf00c1b4fc31%3A0x296edc9c25eb3cde&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJMfy0wQC_pgAR3jzrJZzcbik,"Santa Rita Durão, MG",lojas_presentes,2025-07-29T02:41:19.851810,COMPLETA
3,Ângela Cestas,ChIJgTS5tKK-pgARbr9EBojGu4k,0xa6bea2b4b93481:0x89bbc6880644bf6e,9924744491364040558,/g/11d_tyflg8,5,144,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Profa. Dirce Maria, 231 - Vila Santa Rita, Belo Horizonte - MG, 30666-515, Brasil",-20.014977299999998,-44.0293858,+55 31 99612-7569,https://angelacestas.com.br/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–22:00; quarta-feira: 08:00–22:00; quinta-feira: 08:00–22:00; sexta-feira: 08:00–22:00; sábado: 08:00–22:00; domingo: 08:00–22:00; segunda-feira: 08:00–22:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipPoccx-2UtikMp--wvT59yFN4c4gBUvkzMHVUd9=w80-h120-k-no,https://serpapi.com/images/url/tkToAXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkJ-cXKFrFFqSme1boKtbXhZialnp5meSbJLuFFqWXeXrERaaYmlbbmGgm2FoZKCbrZuXDwCtUyE_,https://serpapi.com/search.json?data_id=0xa6bea2b4b93481%3A0x89bbc6880644bf6e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bea2b4b93481%3A0x89bbc6880644bf6e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJgTS5tKK-pgARbr9EBojGu4k,"Santa Rita Durão, MG",lojas_presentes,2025-07-29T02:41:19.851810,COMPLETA
4,Mimos e Cheiros Presentes,ChIJ2fingXG-pgARVtYGtbXTsVk,0xa6be7181a7f8d9:0x59b1d3b5b506d656,6463179717633037910,/g/11cly516nq,5,54,Loja de presentes,Loja de presentes,novelty_store,"R. Risolêta Fernandes, 290 - Barreiro, Belo Horizonte - MG, 30640-620, Brasil",-19.9820438,-44.0272284,+55 31 2526-9316,http://www.instagram.com/mimosecheiros/,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–17:30; quarta-feira: 10:00–17:30; quinta-feira: 10:00–17:30; sexta-feira: 10:00–17:30; sábado: 10:00–12:00; domingo: Fechado; segunda-feira: 10:00–17:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMQfEIMBkeShtRCK3jydq9tRbiOw7ov0Zg2cY5I=w122-h92-k-no,https://serpapi.com/images/url/kNJzEXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngG5jm6unrlJ0anFES5OxtnFWZUmhZEpSU6V9unl9mEJVulBxp6mlbbmhkpJthaaSbrZuXDwCwcyFr,https://serpapi.com/search.json?data_id=0xa6be7181a7f8d9%3A0x59b1d3b5b506d656&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6be7181a7f8d9%3A0x59b1d3b5b506d656&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2fingXG-pgARVtYGtbXTsVk,"Santa Rita Durão, MG",lojas_presentes,2025-07-29T02:41:19.851810,COMPLETA
5,Pra' Presentes,ChIJI5n8XqO-pgARsclRSp3QVUg,0xa6bea35efc9923:0x4855d09d4a51c9b1,5212301517726534065,/g/11fn7zzkx8,5,2,Loja de presentes,Loja de presentes,novelty_store,"R. Mariza Afonso, 325 - Independência, Belo Horizonte - MG, 30666-690, Brasil",-20.0188886,-44.0284268,+55 31 98817-9905,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq3g2uBLpjMPRcueCub5MMYlHLKEIYizC3Owcf7TraAp_7JUk_z-1sPoj-0lN0RfhTWQFtW4rRdix91Qrd2lt3nlhusxVBrKKqXGikLruXqwBOZyyFNFhrJzT2KoDrFBkkOSeGIsQ=w80-h142-k-no,https://serpapi.com/images/url/XyctsXicBcFXDoIwAADQE1WmcSR-CIoDEEGcP0ZrpdjaQkcQLugZvI3v_b5YqUqODYNip1dwXlCkJRKQM4WY6kH-NopKAiiBNKb-CLusdgpbe1H1ircZ1MjX934cn-kyCuerc9n5TtLA5yAXt2l1Haz35NoBS275C5h0Y2ZPnB_TQB1dkT3Kz8hKxcOmymEUa_k5eCIM69OiJJHQp7rxkkvbBpsAi3WX2yGficAjJNmhxUqmk2ZoAmy5NiCA8T-gzUaJ,https://serpapi.com/search.json?data_id=0xa6bea35efc9923%3A0x4855d09d4a51c9b1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bea35efc9923%3A0x4855d09d4a51c9b1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJI5n8XqO-pgARsclRSp3QVUg,"Santa Rita Durão, MG",lojas_presentes,2025-07-29T02:41:19.851810,COMPLETA
6,Natália Vitória Cesta e Presentes,ChIJFQhfuL1EjkARouRWspNxfwA,0x408e44bdb85f0815:0x7f7193b256e4a2,35872201208423586,/g/11kpk9xg69,5,81,Loja de cestas de presente,"Loja de cestas de presente, Perfumaria",gift_basket_store,"R. Centenário, 15 - Bonsucesso, Belo Horizonte - MG, 30622-620, Brasil",-19.9923353,-43.983173,+55 31 99111-2137,https://www.ifood.com.br/delivery/belo-horizonte-mg/natalia-vitoria-cestas-e-presentes-bonsucesso-barreiro/d2592dfa-fd78-4d8e-972f-17fab2058990,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–14:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNbpKETfowFBNvV0YNN-uufdHc73WxtCZ46RucY=w80-h111-k-no,https://serpapi.com/images/url/YpOZRHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl1Tg7RqSll_u5uRXFmYQ6eenW1qaluKRbG4cXlHiHGViFlSaHGlbbmGgm2FoaKibrZuXDwCuFSFM,https://serpapi.com/search.json?data_id=0x408e44bdb85f0815%3A0x7f7193b256e4a2&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x408e44bdb85f0815%3A0x7f7193b256e4a2&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJFQhfuL1EjkARouRWspNxfwA,"Santa Rita Durão, MG",lojas_presentes,2025-07-29T02:41:19.851810,COMPLETA
7,Loja da Vilma,ChIJ2-Id8oC-pgARyBWHG_a6OdU,0xa6be80f21de2db:0xd539baf61b8715c8,15364517169937716680,/g/11cjj077dy,4.2,10,Loja de Presentes,"Loja de Presentes, Loja de produtos de beleza, Loja de produtos de papelaria, Loja de cosmético, Papelaria, Loja de Brinquedos",gift_shop,"R. Antônio Almeida Júnior, 195 - Diamante, Belo Horizonte - MG, 30627-175, Brasil",-19.998757899999998,-44.0228146,+55 31 98779-1487,https://linktr.ee/lojadavilma195,Fechado ⋅ Abre às 10:00,Fechado ⋅ Abre às 10:00,terça-feira: 10:00–20:00; quarta-feira: 10:00–20:00; quinta-feira: 10:00–20:00; sexta-feira: 10:00–20:00; sábado: 10:00–19:00; domingo: Fechado; segunda-feira: 10:00–20:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipMBQOEdiyD4SVAeUXShrvsItibZJZEO_WoY6tQ_=w122-h92-k-no,https://serpapi.com/images/url/qlydWnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng6xTo75qSWeliEhzmmBoaEZxRVFbsWZKZFOUV5eofH54faVYSGG9bbmhkpJthaaSbrZuXDwCy_SGt,https://serpapi.com/search.json?data_id=0xa6be80f21de2db%3A0xd539baf61b8715c8&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6be80f21de2db%3A0xd539baf61b8715c8&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2-Id8oC-pgARyBWHG_a6OdU,"Santa Rita Durão, MG",lojas_presentes,2025-07-29T02:41:19.851810,COMPLETA
8,Personalize Já,ChIJrTj-cAC9pgARIM9lG7l_on8,0xa6bd0070fe38ad:0x7fa27fb91b65cf20,9197053822049308448,/g/11x327_twl,5,6,Loja de Presentes,"Loja de Presentes, Loja de presentes",gift_shop,"Beco Sideral - Vila Ecológica, Belo Horizonte - MG, 30670-565, Brasil",-20.008100499999998,-44.0187856,+55 31 99245-1497,https://www.instagram.com/personalizeja_?igsh=MTU2M3J4amx3dXJ0Nw==&utm_source=qr,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipOg7ivCVhS_6vmoz1iKBnCFJFzxctRCHhR1uZzS=w92-h92-k-no,https://serpapi.com/images/url/M7OT_HicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn26eWeYclhEcb1aWm19lmOntlOfs5uVWVZFcEuTskRFkWBpVFWxbbmmkmwHE2bp5-QCbESGo,https://serpapi.com/search.json?data_id=0xa6bd0070fe38ad%3A0x7fa27fb91b65cf20&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bd0070fe38ad%3A0x7fa27fb91b65cf20&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJrTj-cAC9pgARIM9lG7l_on8,"Santa Rita Durão, MG",lojas_presentes,2025-07-29T02:41:19.851810,COMPLETA
9,RECAFI CESTAS & PRESENTES,ChIJpazQqoO_pgARIYNqWsnXcVY,0xa6bf83aad0aca5:0x5671d7c95a6a8321,6228997019435434785,/g/11jclflgfg,5,202,Loja de cestas de presente,"Loja de cestas de presente, Loja de chocolates, Floricultura",gift_basket_store,"R. Maria Cristina, 101 - Industrial, Contagem - MG, 32230-200, Brasil",-19.9734975,-44.026682099999995,+55 31 99502-6298,https://flowwow.com.br/shop/recafi-cestas-presentes,Fechado ⋅ Abre às 07:30,Fechado ⋅ Abre às 07:30,terça-feira: 07:30–21:00; quarta-feira: 07:30–19:00; quinta-feira: 07:30–18:00; sexta-feira: 07:30–21:00; sábado: 08:30–21:00; domingo: 08:00–09:00; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Serviços no local",,,https://lh3.googleusercontent.com/p/AF1QipNUJjqXi7XnQyrdIMzI-iK1dUOWLOAqXbROe7Dz=w115-h92-k-no,https://serpapi.com/images/url/XmGWwXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngF-qVVRiRaR6RF1hZlOLpW-Wpm-ltmBLqH-7j71gYkRTkn2ruUmVbbmhoqpthaaSbrZuXDwCy-iFr,https://serpapi.com/search.json?data_id=0xa6bf83aad0aca5%3A0x5671d7c95a6a8321&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bf83aad0aca5%3A0x5671d7c95a6a8321&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJpazQqoO_pgARIYNqWsnXcVY,"Santa Rita Durão, MG",lojas_presentes,2025-07-29T02:41:19.851810,COMPLETA
10,ROBERTA PRESENTES,ChIJOXKOAYiPyZQROZuZOA8w9gs,0x94c98f88018e7239:0xbf6300f38999b39,861929220620262201,/g/11s48x5zbr,,0,Loja de Presentes,Loja de Presentes,gift_shop,"R. Pref. Uriel Alvin, 312 - Santa Cruz, Santa Rita de Caldas - MG, 37775-000, Brasil",-22.0317549,-46.337967899999995,+55 35 3734-1179,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–16:00; domingo: 08:00–11:00; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito","Entrega, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipN1QHqU6zYU-Gi7OTch6MvEPm1vsh1SjXOLJedv=w80-h92-k-no-pi0-ya220-ro0-fo100,https://serpapi.com/images/url/yskTd3icu1mYUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngZxjoURhqVhUZquueae4fkpxh5lvmGpBrWFacYRicFeHv45WaUmZbbmGgm2FppJutm5evW5BpoFuZaGRkoFuUb6Cblm9oYAAAVNAmpA,https://serpapi.com/search.json?data_id=0x94c98f88018e7239%3A0xbf6300f38999b39&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94c98f88018e7239%3A0xbf6300f38999b39&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJOXKOAYiPyZQROZuZOA8w9gs,"Santa Rita Durão, MG",lojas_presentes,2025-07-29T02:41:19.851810,COMPLETA
