position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Vila Ibitipoca,ChIJtwf2xJRPnwARjZqhHwTqVdc,0x9f4f94c4f607b7:0xd755ea041fa19a8d,15516565394606365325,/g/11rsf5lrvk,5,68,Loja de Presentes,Loja de Presentes,gift_shop,"Rua Olga da Silva de Oliveira - Loja 13 - Shopping Portal da Serra, Conceição da Ibitipoca, Lima Duarte - MG, 36144-000, Brasil",-21.721171899999998,-43.924531599999995,+55 32 98433-9922,https://www.instagram.com/vilaibitipoca/,Fechado ⋅ Abre sex. às 12:00,Fechado ⋅ Abre sex. às 12:00,terça-feira: Fechado; quarta-feira: Fechado; quinta-feira: Fechado; sexta-feira: 12:00–00:00; sábado: 12:00–00:00; domingo: 12:00–00:00; segunda-feira: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""E a Patricia, atendente da loja, é muito antenciosa e simpaticíssima.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrOwHWn70tjHx90QfCS87ghDWzz5tTjqu6ffs3fIu2W8MyREcjAHWkoyWYr0P-FTBox693kPfXyrbH9wRxTtvLYQZA4gpsNQQRJPBjUumlNJOb8qobUWeYWVv9jBHXAAFSe1uoQ=w142-h92-k-no,https://serpapi.com/images/url/Zun90nicDc1RboIwGADgE1UQmNIleyhupjObUsRV9ghpaQr2V9oKeL8dYrfZvgt8vz_Kuat9DoJexYsWoO2Ft2JowDhh3KKBS9BeLWossgHZYJWY4TBSbtah03TCIZObY7pu1St_PJ5cqW9-JaWN5buPePo5F2-NJpR3MPNqCHO0LTOYVjjucnmeh5risZhKd_-o2DdJ_qM9Y8Uuz_TJX_r97lCnN6hPXFT86451Rs-EbI9i6YG9jMskQgpHqEMG_gAEtEU1,https://serpapi.com/search.json?data_id=0x9f4f94c4f607b7%3A0xd755ea041fa19a8d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4f94c4f607b7%3A0xd755ea041fa19a8d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJtwf2xJRPnwARjZqhHwTqVdc,"Santa Rita de Ibitipoca, MG",lojas_presentes,2025-07-29T02:44:12.874702,COMPLETA
2,Papelaria Pajualê,ChIJYZdX9sxQnwAR3jESyMjA93Y,0x9f50ccf6579761:0x76f7c0c8c81231de,8572532384305656286,/g/11dxm62hd7,5,5,Papelaria,Papelaria,stationery_store,"Joaquim Rabelo da Fonseca, 388 - Centro, Santa Rita de Ibitipoca - MG, 36235-000, Brasil",-21.5645034,-43.9150303,+55 32 98435-2809,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–17:30; quarta-feira: 08:00–17:30; quinta-feira: 08:00–17:30; sexta-feira: 08:00–17:30; sábado: Fechado; domingo: Fechado; segunda-feira: 08:00–17:30,,,,"Cartão de crédito, Cartão de débito",,,"""Ótimo atendimento.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrzwYmDMv-csx4Doozlz4VEBRQF56ycDqBe0SZaVF1wQILcw9pyJH4ejcwHs-9p-MjBY-_n80L0NwlnW8bx-ArmzYJtdhBNDlB-GpRyhW3c82ukFzI45q70eZTXFPk1RseEDmLKBg=w80-h95-k-no,https://serpapi.com/images/url/5RHldHicDchRbsIgGADgE_0WlW6tyR5E7NRVMzuj1hfjGCmxFLCgWA7oHbzN_B6_50M4Z-woiqQY9iqtK8mvlrdMK8eV6zHdRJWxwCzYaDxJBVZt8GVDl7fX3THVOsiAt1NSrLP4rWP0Qjj6OZy2Wd-v5znzqekWM8zPzM8spAaWZ1LCUSUoRysv1S75vcO4bUK5cH-CrKgk8GmKTuyGLBlc6yzMcXx5R_yw2Wffdb-wfEqb_ItUHz5BINIYalD6Hyo-RJ8,https://serpapi.com/search.json?data_id=0x9f50ccf6579761%3A0x76f7c0c8c81231de&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f50ccf6579761%3A0x76f7c0c8c81231de&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJYZdX9sxQnwAR3jESyMjA93Y,"Santa Rita de Ibitipoca, MG",lojas_presentes,2025-07-29T02:44:12.874702,COMPLETA
3,Casamarela,ChIJaUog9jVPnwARk0XDEbnzGIg,0x9f4f35f6204a69:0x8818f3b911c34593,9806856164791764371,/g/11gd4r4q3k,4.5,6,Loja de Presentes,Loja de Presentes,gift_shop,"Conceição da Ibitipoca, Lima Duarte - MG, 36140-000, Brasil",-21.721817899999998,-43.924592399999995,,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,"terça-feira: 09:00–12:00, 14:00–18:00; quarta-feira: 09:00–12:00, 14:00–18:00; quinta-feira: 09:00–12:00, 14:00–18:00; sexta-feira: 09:00–12:00, 14:00–18:00; sábado: 09:00–12:00, 14:00–19:00; domingo: 09:00–18:00; segunda-feira: 09:00–12:00, 14:00–18:00",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Cores, design, tecido.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrLgr0UeqMqODF5pNOzOt76t3_OjnljZGSncTagX8f0GY0HyGD-ZSynqBpOavHkwdnKwLm9NxXTOlmb96r5-B7zS4kKAoVVc3gU4BXzoTPCc-vnZxQ7R89jbg_qRzNnlUuQ3YM=w122-h92-k-no,https://serpapi.com/images/url/T6uZ4XicBcHdEoFAGADQJ1qlX2vGhTQygxaVSTdGK9vU9m21S_R8XsLbOOf3LZVq5VzTeGlOmBCMF09Z9FSAKkBNqGg01kpEJZLacoVLC_od6_Wk6PYd8dd2G5KRKNdR5pVUwKssiIDGN5bOHnpw0TefwEdZ9IHOa8nttamHO2yHXYPDdxoT3uTY6W3kuWNk1dulOJ-pyRLLS0cRH1YUvSB7H93TDFc5u3anMQSePI_mZb8YpoaBSmygGoH4A78PRMs,https://serpapi.com/search.json?data_id=0x9f4f35f6204a69%3A0x8818f3b911c34593&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4f35f6204a69%3A0x8818f3b911c34593&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJaUog9jVPnwARk0XDEbnzGIg,"Santa Rita de Ibitipoca, MG",lojas_presentes,2025-07-29T02:44:12.874702,COMPLETA
4,Srg Presentes e Decoraçoes,ChIJE4UEoKtKnwAR54QCznz6ZW8,0x9f4aaba0048513:0x6f65fa7cce0284e7,8027097324796937447,/g/11c2mcpshr,4,2,Loja de Presentes,Loja de Presentes,gift_shop,"R. Viêira Pinto, 68 - loja 5 - Lima Duarte, MG, 36140-000, Brasil",-21.8414075,-43.7932819,+55 32 98860-9064,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–18:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noRCbc6595HcPkiUYYMPsgDhO9DWlrYHKeAshzR4w0aPz-nNFz1plp25dBCqG_tAXvY_lLZ0os9Co8mBEqv1HZyCYoTUQPMYk4II8FVP-IJMjnNPZwBVkL3NLLVIOi5jD_gltQ3=w122-h92-k-no,https://serpapi.com/images/url/v2dHWnicBcHdboIwGADQJ6rI32JNvICiwgZYzUTLDdGOtErth7aTjPfzIXybnfN-SWt7M3ccJf2JABCq_TXtg4O2rbYTDjdH9AZxg4wTESwDDTty5h8hDlNOu8uesYIakcgNTg7qwdKvNjJy3AXD9ERHpMvV6Paq98KfmNzXjY2OT9aovJ6CwQRmt3h5f7pp_UcYfO-3tGBdkGWzVUVR9llcdUnrIa663C_zvMo2l_CaNELZrb8YXM9DEnuoQxr-AZ_HQ8E,https://serpapi.com/search.json?data_id=0x9f4aaba0048513%3A0x6f65fa7cce0284e7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4aaba0048513%3A0x6f65fa7cce0284e7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJE4UEoKtKnwAR54QCznz6ZW8,"Santa Rita de Ibitipoca, MG",lojas_presentes,2025-07-29T02:44:12.874702,COMPLETA
5,Pedacinho de Minas,ChIJ53VDCFNPnwARbuTDDFud-gw,0x9f4f53084375e7:0xcfa9d5b0cc3e46e,935232887014548590,/g/11p0__3lz5,5,4,Loja,Loja,store,"R. Olga Silva Oliveira, 48 - Conceição da Ibitipoca, Lima Duarte - MG, 36140-000, Brasil",-21.7206471,-43.9243856,+55 32 98498-9876,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–22:00; quarta-feira: 09:00–22:00; quinta-feira: 09:00–22:00; sexta-feira: 09:00–22:00; sábado: 09:00–22:00; domingo: 09:00–22:00; segunda-feira: 09:00–22:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Boas opções de lembrancinha e presentes de Ibitipoca.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4npnw8wkSnIhWQFCRUJmf86g1b0ueczktyTmTeDzaUsLjjPeCkMuHFi0YYqcQWbkfcDOv0edw5Cpkr-Jb1TiLZAjIQSCrIU1ng3q7ZhEji9wwIL7YhHMRB-uuGsRqTLdqrdymqA7xQ=w122-h92-k-no,https://serpapi.com/images/url/jvHmJHicBcFLcoIwAADQE0V-tUhnXNBYFQfH8hsGdxJiApGEkKRRL9gzeBvfe_1TrSf15Tg3GiyIEOSGjcIzElxjrhdIjA6ZFEAKKCeGEf3gE7crywqe0Drbwrw6jNfVJ_Fa12D0ZPpRjiXePC-VSofhF0N2NPtt7zaNRFndsivanP5c3NklnNgMDq1X9uk5HpKsgHNSeZwEMjzTn6GPrE3SsKH7Y_4NjNmpXJZpJ-fuMco4vGdr6_k-oJEPGODiDf4-RvU,https://serpapi.com/search.json?data_id=0x9f4f53084375e7%3A0xcfa9d5b0cc3e46e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4f53084375e7%3A0xcfa9d5b0cc3e46e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ53VDCFNPnwARbuTDDFud-gw,"Santa Rita de Ibitipoca, MG",lojas_presentes,2025-07-29T02:44:12.874702,COMPLETA
6,Doce Bubble,ChIJT9PL7r0hogARKQaMd5VjxEg,0xa221bdeecbd34f:0x48c46395778c0629,5243425359773042217,/g/11ygy6zlhx,5,2,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Brg. Eduardo Gomes - Campo, Barbacena - MG, 36200-496, Brasil",-21.2416983,-43.7811744,+55 32 99132-6788,https://www.instagram.com/doce.bubble?igsh=ZTg3MnhuOXExajJv&utm_source=ig_contact_invite,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–14:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,Cartão de crédito,"Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipP3Tsyp7KjTQhtFz9-wnEPZvy-iHnMsAtdhdpU8=w80-h106-k-no,https://serpapi.com/images/url/9wWL5nicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYBxSXFlg7p0VEphR4lZlqVue5xoQVVapm-mR51vsWJKSkVIQamFbbmGgm2FoYKabrZuXDwC-CSHt,https://serpapi.com/search.json?data_id=0xa221bdeecbd34f%3A0x48c46395778c0629&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa221bdeecbd34f%3A0x48c46395778c0629&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJT9PL7r0hogARKQaMd5VjxEg,"Santa Rita de Ibitipoca, MG",lojas_presentes,2025-07-29T02:44:12.874702,COMPLETA
7,Papelaria Compacta,ChIJ4ROnol9LnwARLUYn1xjya1c,0x9f4b5fa2a713e1:0x576bf218d727462d,6299394692310582829,/g/11rsfh89cs,5,2,Loja de Presentes,Loja de Presentes,gift_shop,"R. Antônio Carlos, 131 - Lima Duarte, MG, 36140-000, Brasil",-21.839319099999997,-43.7923662,,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,"""Ótima loja, ótimos preços e o melhor atendimento""",https://lh3.googleusercontent.com/p/AF1QipMcbxEURy3zfOMpQ4e-uLZsxTXsv8-S_eMy0ZCx=w80-h142-k-no,https://serpapi.com/images/url/P8YHx3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngm5xU4RoaVGlclebvWxBokqpb6hNVXBESUVxmoRscn-pbaRDlXGFbbmGgm2FoYqSbrZuXDwC8TiG9,https://serpapi.com/search.json?data_id=0x9f4b5fa2a713e1%3A0x576bf218d727462d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4b5fa2a713e1%3A0x576bf218d727462d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ4ROnol9LnwARLUYn1xjya1c,"Santa Rita de Ibitipoca, MG",lojas_presentes,2025-07-29T02:44:12.874702,COMPLETA
8,Bambu Arte,ChIJ73uP4LdPnwARqelgdlBMny8,0x9f4fb7e08f7bef:0x2f9f4c507660e9a9,3431545349546764713,/g/11sdq42xd0,3.7,3,Loja,Loja,store,"R. Cônego Carlos Dias - Conceição da Ibitipoca, Lima Duarte - MG, 36140-000, Brasil",-21.7199748,-43.9249204,+55 32 99987-1074,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np4Ds9VSCqmF8meHOOXgVocCY-qRQ1Yer3yRlwcds6Sn3XIxuVuz-oRgQE0_3ZL310bsfp78m1Rk_En_FRAf496HQkz-_qazjBDzuivmhaA66_kWAMHIRXG36UYxadsRF20yqDZYw=w80-h106-k-no,https://serpapi.com/images/url/YznPj3icBcFRboIwGADgE1XKSjpYsgcEGSYuhpoh-NKwWtsJbcEfhnLBnWG38fv-__Q49vDmeZ0mK-Wc6uQE8iacHaUdV8IZT_WABCDw4iTSge2DFKLykAwmC43M9_tKlU4kNRpY4dfyRh6sm8UZ6MGSanufymlBjqligzk57YiPv-HSv4bGZy3fWJ6x-BJENC_aBfGhWa7rdJl-fo1uYkp5e4w_8y2rPgj9qu_NGVj2gh9Deqrn9znESPuYohZZ9wRObkUC,https://serpapi.com/search.json?data_id=0x9f4fb7e08f7bef%3A0x2f9f4c507660e9a9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4fb7e08f7bef%3A0x2f9f4c507660e9a9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ73uP4LdPnwARqelgdlBMny8,"Santa Rita de Ibitipoca, MG",lojas_presentes,2025-07-29T02:44:12.874702,COMPLETA
9,Ibitipoca Store,ChIJUQqwLo1PnwARXudyHfDTFZ4,0x9f4f8d2eb00a51:0x9e15d3f01d72e75e,11391243860743219038,/g/11rxmhvj_v,5,4,Cafeteria,Cafeteria,coffee_shop,"R. Cônego Carlos Dias - Centro, Lima Duarte - MG, 36144-000, Brasil",-21.719725699999998,-43.9243678,+55 32 98483-0807,https://instagram.com/ibitipocastore?utm_medium=copy_link,Fechado ⋅ Abre às 13:00,Fechado ⋅ Abre às 13:00,terça-feira: 13:00–18:00; quarta-feira: 13:00–18:00; quinta-feira: 10:00–19:00; sexta-feira: 10:00–22:00; sábado: 10:00–22:00; domingo: 10:00–18:00; segunda-feira: 13:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Mesas externas, Refeição no local",,,https://lh3.googleusercontent.com/p/AF1QipNnkk_jIzRND2n-ESw0820vjqEIBVLHGRAPEciw=w80-h120-k-no,https://serpapi.com/images/url/MNpTlXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl5edHZ_lWRXk52KUp-saXG5gYWRQllXo6ukU5uPhHuQY4JqcWW5bbmGgm2FoZKCbrZuXDwCgnSDX,https://serpapi.com/search.json?data_id=0x9f4f8d2eb00a51%3A0x9e15d3f01d72e75e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f4f8d2eb00a51%3A0x9e15d3f01d72e75e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJUQqwLo1PnwARXudyHfDTFZ4,"Santa Rita de Ibitipoca, MG",lojas_presentes,2025-07-29T02:44:12.874702,COMPLETA
10,Téia Armarinhos,ChIJ8d30qYZ5nwARdT7WfkpP9Fk,0x9f7986a9f4ddf1:0x59f44f4a7ed63e75,6481892945067130485,/g/11g6nky443,4.1,11,Loja de Presentes,Loja de Presentes,gift_shop,"R. Maestro J Gonçalves, 69, Me. de Deus de Minas - MG, 37305-000, Brasil",-21.4835083,-44.3284429,,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: Fechado; segunda-feira: 08:00–19:00,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=3Ia6uBM36vgY3Gjc3X-X2w&cb_client=search.gws-prod.gps&w=80&h=92&yaw=1.2910769&pitch=0&thumbfov=100,https://serpapi.com/images/url/nfEWhHicHc1LDsIgFADA27Arn5JUa_Ji4sa4cF9XhiIChpaXQkFv47W8jcYLzHzeLmdMO8ZSXozJxZuK_mlCalBRG6MNRqFPVMeJFcGyW6dxVj7sUc3R30CeVLcezrIr9iKPDy2HZmgr0eNVB2_mDMmoRTtq609c4o1aTKTClhMHfUteqoKgbS_4pusJ-qwdcPJf7rGA4PwLNFc4wQ,https://serpapi.com/search.json?data_id=0x9f7986a9f4ddf1%3A0x59f44f4a7ed63e75&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f7986a9f4ddf1%3A0x59f44f4a7ed63e75&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ8d30qYZ5nwARdT7WfkpP9Fk,"Santa Rita de Ibitipoca, MG",lojas_presentes,2025-07-29T02:44:12.874702,COMPLETA
