position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Loja Sao Paulo,ChIJJ9_49hehqAARvKA_kLV-o8s,0xa8a117f6f8df27:0xcba37eb5903fa0bc,14673711329177477308,/g/11cjh_zj6y,4.6,15,Loja de Roupa,Loja de Roupa,clothing_store,"Av. Santana, 85 - Santana De Pirapama, Santana de Pirapama - MG, 35785-000, Brasil",-19.007831799999998,-44.0401563,,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: Fechado; segunda-feira: 08:00–19:00,,,,"Cartão de crédito, Cartão de débito",Retirada na loja,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npV9RwFQgSRLlQML-ApcPcRD-BjZCpi7ANRuyRduW55Nf7_lI6zQ7L50Tb3_9Kw9JQqMDbXBSyHsULkc9KoMFlhQs6K35eu5gG_iCJaYqzHE7aapN6z-EVToGu7-vRVNqvKaI_9pg=w122-h92-k-no,https://serpapi.com/images/url/5IhuVXicBcFbcoIwFADQFV1pwZCJM_1AfPOYJira_jCY0kSNJBgiIxt0Dd1Nz_l7ya4zduJ5SgYjobVQtbP1neumq5tuxPXNE8YCt2C9KCZy3JiCsH5BxZalimYpRIZ_cjaD6eU7Nmcc5cw92Y87IJT_4lKtw4HiFL3tTkFJkp5saJvNTsfp9rmy-_TKSaKzhZLUhkmAaofEsjzHm-qrHVZzXFUmDweYFzu9dBgerMjbR1KtS2LER__u-yCJD1do9D_mgEQh,https://serpapi.com/search.json?data_id=0xa8a117f6f8df27%3A0xcba37eb5903fa0bc&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa8a117f6f8df27%3A0xcba37eb5903fa0bc&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJJ9_49hehqAARvKA_kLV-o8s,"Santana de Pirapama, MG",lojas_presentes,2025-07-29T02:46:58.854379,COMPLETA
2,Lojas Gercina - Santana de Pirapama,ChIJ0RmEahehqAARZ5quGV77Hjw,0xa8a1176a8419d1:0x3c1efb5e19ae9a67,4332176273153366631,/g/11fqm3q9rd,4.8,4,Loja de departamento,Loja de departamento,department_store,"Av. Santana, 262 - Santana De Pirapama, Santana de Pirapama - MG, 35785-000, Brasil",-19.0061638,-44.0426815,+55 31 3509-0003,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–16:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Tem de tudo um pouco""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nordEKGfI89CAgfnf4gc2HNY6vbdLhWiKU7Lrx51_x6AFmKx55BwZ6NZ081TYJYRV6lB4nPkKbrCFlUopi7zD6TWfCZVElPz8gOqTHQZAuFX2UGMG6y94_Yj9awxvO3-J0fvD44lA=w80-h106-k-no,https://serpapi.com/images/url/vULKxHicBcHtFoEwAADQJ5qKNeUcP1YU8n0q6o9D2obZ0lLpBT2Dt3Hv78uqqlAjTeNs0KNSUp6_VV5mUlS5qHqZfGq0UCBTQGnYtRkUsrxOA5_MLdvFlAgCadafrRNUX65LdrgF0XBZtqZxahH2nkFrmk6TonWqW0aYLJJ9jLgDxfYRXErX45EsbsNugsIDcdN4yredRTevcLZL8ds79iN_5aOPDU_J3T43bb0ZgIVO6gmEHI8bSwfM0BF4ACH_1DNDXQ,https://serpapi.com/search.json?data_id=0xa8a1176a8419d1%3A0x3c1efb5e19ae9a67&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa8a1176a8419d1%3A0x3c1efb5e19ae9a67&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ0RmEahehqAARZ5quGV77Hjw,"Santana de Pirapama, MG",lojas_presentes,2025-07-29T02:46:58.854379,COMPLETA
3,Iza-Bella móveis,ChIJm-hEwBGhqAARfFpFOl29P-g,0xa8a111c044e89b:0xe83fbd5d3a455a7c,16735302948439284348,/g/11j0qs8k__,4,1,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"Av. Santana, 133 - Santana De Pirapama, Santana de Pirapama - MG, 35785-000, Brasil",-19.0066679,-44.0414031,,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,"""Qual o numero?""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq9G7VCo-wa79YGoRZFRsfklGH-8L4rXD77871_X_i5k1oiQAKoHvoyqPI0P-Cl9QTowZBuT3dwfvfiBvV7YCfMo0f6br2uWcPfRyTcrE9Jc4HztiIIn7tffPxALEKBL3hWxWMA=w80-h142-k-no,https://serpapi.com/images/url/yimBw3icBcFhEkJAGADQE22IWttMP5BQmpExqf6Y2qw1tF_ZRXW_DtFteu_35Uo95ELTWm5OKoCqLXtZdhSEKoWaULhr1UMiKpHUHI9wSzxJgA8eoPGCySmA9LxOJWvaIER2bHXHFcY2NopjUc8aA-q9s4VwgPczifQEeS3ZZzCe3T4zbyMbWO0OB3zy2A50Nr920z6nCUvfGe18sqFW-FF1FAmsGEteTuxv3djk-SvfOcvR1hE3rClqkIA_XGFDvg,https://serpapi.com/search.json?data_id=0xa8a111c044e89b%3A0xe83fbd5d3a455a7c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa8a111c044e89b%3A0xe83fbd5d3a455a7c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJm-hEwBGhqAARfFpFOl29P-g,"Santana de Pirapama, MG",lojas_presentes,2025-07-29T02:46:58.854379,COMPLETA
4,Santana do Pirapama/MG,ChIJZTmUoHqhqAARaOQG8XwEWy4,0xa8a17aa0943965:0x2e5b047cf106e468,3340268483291571304,/g/11vkrpkjbw,4.7,47,Atração turística,Atração turística,tourist_attraction,"Av. Santana, 208 - Santana De Pirapama, Santana de Pirapama - MG, 35785-000, Brasil",-19.0072308,-44.039921799999995,,,,,,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Cidade bonita e tranquila para passar o FDS""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqYD2dNAKtUF7GPULoT7p8qOfOIYsc2b_kWB6Td1ozZeFmK6sqXq5guf2HH_hRZjcxhokI_XDBq2ju-0DXqeEzg8wz1wGhA8lCxlwu0YWgTwAigkOxd4mz6wAVzh3dIWsipNfZV=w80-h106-k-no,https://serpapi.com/images/url/Pjgng3icBcHbDoIgAADQLyIvlVlbD6RprpatWV5e3EIE84IEDsf_9RH9Tef8vlTKUewMo6PLBWGMdHgS-IPYIPEgF4j1BhkFQAIIA3pbuhp47tvVFZ7lI9iEt8eFJZvR5XEdR7lA9qts04OTVBbTBQ76syN4xtdkqu3TqaT34o1mytqozPwDt98TMP2M46MmrtKWCil0O2_u1GTmKUkUbEgbz9Wq146CT02XVZSKZrzWxXOvXBNQy3RACwb2B_5QRfI,https://serpapi.com/search.json?data_id=0xa8a17aa0943965%3A0x2e5b047cf106e468&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa8a17aa0943965%3A0x2e5b047cf106e468&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJZTmUoHqhqAARaOQG8XwEWy4,"Santana de Pirapama, MG",lojas_presentes,2025-07-29T02:46:58.854379,COMPLETA
5,Cia do Pão,ChIJy16JGY2hqAARmyXx58TdLII,0xa8a18d19895ecb:0x822cddc4e7f1259b,9380115961680569755,/g/11gsmm1l8g,4.6,30,Padaria,Padaria,bakery,"R. Gov. Juscelino Kubitscheck, 55 - Centro, Santana de Pirapama - MG, 36785-000, Brasil",-19.007207299999997,-44.039745599999996,+55 31 3717-1673,,Fechado ⋅ Abre às 06:00,Fechado ⋅ Abre às 06:00,terça-feira: 06:00–19:00; quarta-feira: 06:00–19:00; quinta-feira: 06:00–19:00; sexta-feira: 06:00–19:00; sábado: 06:00–14:00; domingo: 06:00–12:00; segunda-feira: 06:00–19:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja, Para viagem, Refeição no local",,"""Ótimo lugar para fazer um lanche, e um ótimo pão de sal.""",https://lh3.googleusercontent.com/p/AF1QipM9IDw80NUZvDKq8SBjZq-YqLedHQqiF7KG6FFn=w163-h92-k-no,https://serpapi.com/images/url/7BmXtHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFnga-npUm5h4BcaVebiXWgR7JQVVagbWeiTmuIRWJjpZu7tbubmlmdbbmhmrJthaaSbrZuXDwCSVyCh,https://serpapi.com/search.json?data_id=0xa8a18d19895ecb%3A0x822cddc4e7f1259b&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa8a18d19895ecb%3A0x822cddc4e7f1259b&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJy16JGY2hqAARmyXx58TdLII,"Santana de Pirapama, MG",lojas_presentes,2025-07-29T02:46:58.854379,COMPLETA
6,Mirage Moda,ChIJdanphRehqAARCaoHrwhRB6Y,0xa8a11785e9a975:0xa6075108af07aa09,11963620032871115273,/g/11g6nvxvt5,5,1,Loja de Roupa,"Loja de Roupa, Loja de acessórios de moda",clothing_store,"Av. Santana - Santana de Pirapama, MG, 35785-000, Brasil",-19.0072823,-44.0404613,+55 31 99850-2106,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–17:00; quarta-feira: 08:30–17:00; quinta-feira: 08:30–17:00; sexta-feira: 08:30–17:00; sábado: 08:30–11:30; domingo: Fechado; segunda-feira: 08:30–17:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipPbIQrI2zI1OsElzGycT3FY4vsel_CyXObmyNea=w108-h92-k-no,https://serpapi.com/images/url/g-UqDXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkOQZWORpVOVp6F_smlPlXpkcYuwWaVJWnJoT71wZ4Z-UW-mXmmhbbmhgoZthaaSbrZuXDwC3bCHq,https://serpapi.com/search.json?data_id=0xa8a11785e9a975%3A0xa6075108af07aa09&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa8a11785e9a975%3A0xa6075108af07aa09&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJdanphRehqAARCaoHrwhRB6Y,"Santana de Pirapama, MG",lojas_presentes,2025-07-29T02:46:58.854379,COMPLETA
7,Gabriela Modas,ChIJPxsKLBGhqAARFxDbEdVBUh4,0xa8a1112c0a1b3f:0x1e5241d511db1017,2184881152611520535,/g/11fzvkqz66,4.8,6,Loja de Roupa,Loja de Roupa,clothing_store,"R. Tiradentes, 138 - Santana de Pirapama, MG, 35785-000, Brasil",-19.0039107,-44.0441569,+55 31 99822-5860,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–17:30; quarta-feira: 08:00–17:30; quinta-feira: 08:00–17:30; sexta-feira: 08:00–17:30; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–17:30,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Retirada na loja,,"""Lugar que acolhe com muito carinho, onde acha de tudo .""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nriO_ghkEL5FquXD9BkRcRHGHlE7I3oxX29yb3kreX7wbB0dl101wCA57jNgnO0kFlI6hv_Ccya88V_2s_YiQKQAPhYl8sb7aMkmk6Ie9Mv7EBFdOWeBh5H0_Ps7kbNGVT62pYtLA=w92-h92-k-no,https://serpapi.com/images/url/U0kBmnicDcNtDoIgAADQE5mmKdLWDzVN14fVmukvlsSgIDChrAt2h25Tb3vfDzOm01PbFswbUaWoIA9NeqykIdKMsLrZtNMW1pa2owSyiewvJaKMpys_uz_qOYz5Hu_zRS5SUHjqVbvw3Xq8JzUY2tg5i7EzHpLIB9cNlaXDM1EE7IkS_D6FYYVcjZrLbrmLtqwRoW7Bac1vPCgIXD9BGmfn8khi5ucO2mrA282iOgRu15hVNBuga7F_bkn1A7nGQ54,https://serpapi.com/search.json?data_id=0xa8a1112c0a1b3f%3A0x1e5241d511db1017&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa8a1112c0a1b3f%3A0x1e5241d511db1017&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJPxsKLBGhqAARFxDbEdVBUh4,"Santana de Pirapama, MG",lojas_presentes,2025-07-29T02:46:58.854379,COMPLETA
8,DH MODAS,ChIJBQT4R96hqAARY3-Vx_9vA-o,0xa8a1de47f80405:0xea036fffc7957f63,16862444574161076067,/g/11hkql808q,5,2,Loja de Roupa,"Loja de Roupa, Loja",clothing_store,"Av. Santana - Centro, Santana de Pirapama - MG, 35785-000, Brasil",-19.0068934,-44.0409168,+55 31 99947-9762,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–13:30; domingo: Fechado; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipPOiksOqbqvhOS0d44cksi8cZARoIDCa7p7JpRZ=w80-h100-k-no,https://serpapi.com/images/url/lg3mpHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4J-ZXexfmFRYluEfbJBiYpKcXZxpkRzlGJTv6eKcaF5g7lUQFGVbbmGgm2FoYKCbrZuXDwC6iiF7,https://serpapi.com/search.json?data_id=0xa8a1de47f80405%3A0xea036fffc7957f63&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa8a1de47f80405%3A0xea036fffc7957f63&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJBQT4R96hqAARY3-Vx_9vA-o,"Santana de Pirapama, MG",lojas_presentes,2025-07-29T02:46:58.854379,COMPLETA
9,Consol Modas,ChIJ9Uym7xehqAARy6xLfj23vfY,0xa8a117efa64cf5:0xf6bdb73d7e4baccb,17779568378668362955,/g/11cjj0w9gx,3,2,Loja de Roupa,Loja de Roupa,clothing_store,"Av. Santana, 75 - Santana de Pirapama, MG, 35785-000, Brasil",-19.0068823,-44.039625799999996,,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–17:00; domingo: Fechado; segunda-feira: 08:00–17:00,,,,"Cartão de crédito, Cartão de débito",,,"""Melhor loja de Santana de Pirapama""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=Q6LZSWhlC6MfS6gFujdEaw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=129.05765&pitch=0&thumbfov=100,https://serpapi.com/images/url/_qSZYnicHc0xDsIgFADQ27AJtEnRmhAHo5MOpoOJi6H0FzC0_BRa9DZey9tovMB7n7dNCeOWsZgmgLQ4yOie4OMKFTUhGA8KXaQ6DGwpWLLz0I7K-R2qMbhOXsTp1lyt34tz3whznB_dQWWi27v2DsYkI6hJW2ryT5xCRw1GkuWGEyvrkrxUlkVZU16tRUXQJW0lJ_-lD4ssOP8Cb5s5eA,https://serpapi.com/search.json?data_id=0xa8a117efa64cf5%3A0xf6bdb73d7e4baccb&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa8a117efa64cf5%3A0xf6bdb73d7e4baccb&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ9Uym7xehqAARy6xLfj23vfY,"Santana de Pirapama, MG",lojas_presentes,2025-07-29T02:46:58.854379,COMPLETA
10,Comercial Center,ChIJl_TdkYahqAAR12iNTqM_CKI,0xa8a18691ddf497:0xa2083fa34e8d68d7,11675652004588120279,/g/11hdw5f_vg,4,2,Supermercado,Supermercado,supermarket,"R. Cel. Joaquim Campêlo, 89 - Centro, Santana de Pirapama - MG, 35785-000, Brasil",-19.0061488,-44.0398955,+55 31 3717-1320,,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–19:00; quarta-feira: 07:00–19:00; quinta-feira: 07:00–19:00; sexta-feira: 07:00–19:00; sábado: 08:00–17:00; domingo: 08:00–12:00; segunda-feira: 07:00–19:00,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=IDnR3-s6ZkCK0TX46NsCZA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=310.34677&pitch=0&thumbfov=100,https://serpapi.com/images/url/skgw_HicHc1RCsIgGADg2_g2dTm2CiRivUTQQ_QQewnnTCWnst9m3aZrdZuiC3zf521SirAmBNKkVJqtytE-lYMiCqxD0E6JaAHLMJK5JMk8xt4L6zZR-GAHvt_5Eyug7u7tgZ4vVX2Ettsi2V-ls8onDkpM0mCdf-IUBqwjoMyXFBm-WqCXyJyVFLOqbhoUbZKGU_RfbmHmJaVfJ8M4lQ,https://serpapi.com/search.json?data_id=0xa8a18691ddf497%3A0xa2083fa34e8d68d7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa8a18691ddf497%3A0xa2083fa34e8d68d7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJl_TdkYahqAAR12iNTqM_CKI,"Santana de Pirapama, MG",lojas_presentes,2025-07-29T02:46:58.854379,COMPLETA
