position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,JackLine,ChIJka_OSj1jmAARCoMe3IuXTKc,0x98633d4aceaf91:0xa74c978bdc1e830a,12055176929513210634,/g/11v666q1pm,5,1,Papelaria,Papelaria,stationery_store,"R. Armando Grazinoli, 9, Santana do Deserto - MG, 36620-000, Brasil",-21.9536971,-43.1664003,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrdcc_RKy61JTreut-g8uPIpBvg9Nvq1sh0v0jhg6d0c-RTvf8ErPLMICjcDP3jhtvMJm1K-oD6CaSnCg2AOlICTEl6ovOlrVgLG-wuAXUn2a1T76xi4bMXGxA3X6kSPJ4mppBdSA=w92-h92-k-no,https://serpapi.com/images/url/3XnSG3icDcNtDsEwAADQE9U-Uybxo0pkYyw2sn9CN63p2mq74oLu4Da85H0_zFplpp7HWTSiUlLeDqbVRArbCjsisveoMoAYYDyEExYL3RBy2q_fMMgq3Q4W0MlQpGruaLJ1j8Aw3_kdo7DxCdhX7jpZ6mKTp7gjiyLqmHV51gdrIBcQn0uBaYh2PMXVkkPpdlwf6WYFngOqDyI8B9UYvm7xJa9XLxTV8F4WWdwrNW9KNHsmIWD_dyDkDwywRFU,https://serpapi.com/search.json?data_id=0x98633d4aceaf91%3A0xa74c978bdc1e830a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98633d4aceaf91%3A0xa74c978bdc1e830a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJka_OSj1jmAARCoMe3IuXTKc,"Santana do Deserto, MG",lojas_decoracao,2025-07-29T02:52:45.085219,COMPLETA
2,Mercado Santana,ChIJY7c3-UhjmAARCn1FJoRkJtc,0x986348f937b763:0xd726648426457d0a,15503189286010060042,/g/11gjhf240x,4.5,39,Mercado,Mercado,market,"R. Cândido Ferreira, 360, Santana do Deserto - MG, 36620-000, Brasil",-21.9549776,-43.167397099999995,+55 32 3275-1329,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–20:00; quarta-feira: 08:00–20:00; quinta-feira: 08:00–20:00; sexta-feira: 08:00–20:00; sábado: 08:00–20:00; domingo: 08:00–13:00; segunda-feira: 08:00–20:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Melhor mercado, atendimento único, muito bom, super recomendo ir""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqJnPG3ouY4W3HNlS7VjuU9E40X5rAHSTdySvQ3cqAWfZZKIET_SuHq98W72eGdX4Ik4gaRJxSBUdsp5T-BC9yrtnFfFvPPGkh2QhvPHnLz3slcSuxgVaB0EDL3QNuqiGeDinRa=w80-h142-k-no,https://serpapi.com/images/url/VJMmj3icBcHbDoIgAADQLyJNaGVbD1qmXdY0NKuX5pCgNFABu_xfH9HfdM7vy7Vu1NSyag4HTEpWU6NoR6TQVOgBkQ-LNQoQBZTlzV2ORLsWcQilOaEcRrsajw93k7kBso-jzotwWr5xn0DSevn1fN6sgvSCTdS6k3zs0LA8olWFWLFfv7CflaoZpcCfu-9Oi-V12cdxWHEn4X0cie0Hqppg82KHwreDxRYmO9PeQrq4iX0xe05swIfIARUQ8g92OEQY,https://serpapi.com/search.json?data_id=0x986348f937b763%3A0xd726648426457d0a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x986348f937b763%3A0xd726648426457d0a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJY7c3-UhjmAARCn1FJoRkJtc,"Santana do Deserto, MG",lojas_decoracao,2025-07-29T02:52:45.085219,COMPLETA
3,Senhorita Vaidosa - Letícia Botelho,ChIJd0CjOaRjmAARqhOwlDW4zbs,0x9863a439a34077:0xbbcdb83594b013aa,13532674995585553322,/g/11jz50htwt,5,1,Centro de saúde e beleza,Centro de saúde e beleza,health_and_beauty_shop,"R. Claudomiro da Rocha, 8 - AP A - Centro, Santana do Deserto - MG, 36620-000, Brasil",-21.951016,-43.1677311,+55 32 98443-6343,https://instagram.com/senhoritavaidosa?igshid=YmMyMTA2M2Y=,Fechado ⋅ Abre às 17:00,Fechado ⋅ Abre às 17:00,terça-feira: 17:00–20:00; quarta-feira: 17:00–20:00; quinta-feira: 13:00–21:00; sexta-feira: 17:00–21:00; sábado: 09:00–16:00; domingo: Fechado; segunda-feira: Fechado,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipOaxsP375rJLmXr0Gc-iRztqlI9voBs_zoiTkRr=w80-h142-k-no,https://serpapi.com/images/url/ldyucnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngn1hRHGBsblrk5ZMbUWTgnqybGVRVUpjjaVmW71QcX5WfGZIdVGRbbmGgm2FoYqSbrZuXDwC8qCIc,https://serpapi.com/search.json?data_id=0x9863a439a34077%3A0xbbcdb83594b013aa&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9863a439a34077%3A0xbbcdb83594b013aa&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJd0CjOaRjmAARqhOwlDW4zbs,"Santana do Deserto, MG",lojas_decoracao,2025-07-29T02:52:45.085219,COMPLETA
4,Cras de Santana do Deserto,ChIJr6ZuAUljmAARX6WcAX9ekbU,0x986349016ea6af:0xb5915e7f019ca55f,13083342292068902239,/g/11sjr271g5,5,1,Repartição pública local,Repartição pública local,local_government_office,"R. Benício Chaves, 125 - Centro, Santana do Deserto - MG, 36620-000, Brasil",-21.9510638,-43.169276599999996,+55 32 3275-1366,https://santanadodeserto.mg.gov.br/secretarias/assistencia-social/cras/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: Fechado; domingo: Fechado; segunda-feira: 08:00–17:00,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4npDEbI83wUkNnC57VJhZS4vG_zoJ8Q23btv9zf8wFmzU-_zpk4QhB1DdF_tGATsR1QzpQPgPXCfirqlAWYalyWqtBXAJ7ldlNpm1kcLKxcTdH3UALR2cQDWw8XIXoMT1asxkjzLew=w138-h92-k-no,https://serpapi.com/images/url/7XpYGHicBcHhcoIgAADgJyIPcRfubj9Iq-VcF02n7Y9XaLKBQMGi8YJ7hr3Nvu_vlztn7GMUSY5mo9ajHL7tcGVauUG5GdNTNBoLmAU2IlnKE2Xy5WmDka_FVmUP8_eCf7wlt3UXdIFpjE7uloYz9qsp1KALRiSUL2Derzq3JpXdQxoM3Y27Njt_Xi-SNIej_GkubtGSYi57uTUTFKx8ubOqf0Y1Kfcxo3njcbtp9WsFj_YuvkI5-CcPEQY8jYEASv8Dbu9GEQ,https://serpapi.com/search.json?data_id=0x986349016ea6af%3A0xb5915e7f019ca55f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x986349016ea6af%3A0xb5915e7f019ca55f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJr6ZuAUljmAARX6WcAX9ekbU,"Santana do Deserto, MG",lojas_decoracao,2025-07-29T02:52:45.085219,COMPLETA
5,Santana do Deserto,ChIJCUipGsVjmAAR2jaAEAnI748,0x9863c51aa94809:0x8fefc809108036da,10371728408114640602,/g/11jyjkgm40,4.9,11,,,,"Av. Último de Carvalho, 118 - Centro, Santana do Deserto - MG, 36620-000, Brasil",-21.9480266,-43.1653823,,,,,,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""O melhor lugar do mundo.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrLb5M6kd67lrzo8iAg4eLpqSeNOR5oxBO_ezBMNfinPYq6k9nXOwKK_8wJxMZcJv5n-W_stXHWcrEubRbQt_d-bVeJ3bPOdhL5Odn6nbf3mNKjUku9p8UDyAslQAiHVF1kDu4=w122-h92-k-no,https://serpapi.com/images/url/j4bJVHicBcFJDoIwFADQExUik2DiAkVjmOoQxw1JS6VY_EVaRD2fl_A2vvf7cq1bNTHNhttGJWXVsF6xjkrQDLRB5d2sWoWoQsoM5wF3oEuJm3mi9MZN95F-HVYOS9vHjuV468rXDBfsM8vyaw3r88MTAZzwkCSFP8Sv7ELjpwvoWCh9Wh1pt-jJlmx0USJyYLFN1rjkqYtL8IBc7Xue3PaiD1p_H71D1WzCenVYjkTUO9NhZFmIBxYSCOQf3xRFCw,https://serpapi.com/search.json?data_id=0x9863c51aa94809%3A0x8fefc809108036da&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9863c51aa94809%3A0x8fefc809108036da&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJCUipGsVjmAAR2jaAEAnI748,"Santana do Deserto, MG",lojas_decoracao,2025-07-29T02:52:45.085219,COMPLETA
6,Supermercado Lacel,ChIJI5CbH3timAARc0Kw18E9qGk,0x98627b1f9b9023:0x69a83dc1d7b04273,7613403072826458739,/g/1tlmpjw7,4,55,Supermercado,Supermercado,supermarket,"R. Melo Brandão, 34, Santana do Deserto - MG, 36620-000, Brasil",-21.9497328,-43.1664466,+55 32 3275-1212,,Fechado ⋅ Abre às 06:30,Fechado ⋅ Abre às 06:30,terça-feira: 06:30–21:00; quarta-feira: 06:30–21:00; quinta-feira: 06:30–21:00; sexta-feira: 06:30–21:00; sábado: 06:30–21:00; domingo: 07:00–12:00; segunda-feira: 06:30–21:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Entrega,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noQ2yUIc80squrBhag9F5cyG2gRE5E_oeuX3sGd2f3Iec1ZL9f_3W-ersCGzSOuYR63hAOWf_WFJ5DTlkLGOjeJ99WbHU_HjrAoDKIh6465yjn-lhL4c9go0SqHkRFXkQgcm4U=w122-h92-k-no,https://serpapi.com/images/url/EJ8lnnicBcFLDoIwFADAE1W0BWJNXOCHj5IQQAK6IVpLG8A-oBCD5_MS3saZ31eOY6c3htFKshAAouWT5gMDNXI1Lhi8DNFpxDTShrOn0lQQ4zkL2Hqp-2nYybugrsVmD4vkaB1L4FNBtPfEFQk4W91CWpUkR3zQe--TRtM1sYl0orwqc_dkHS5tE3pRzU-U5g8_K_16cOBwDqRt2tZcK9TK0GRUwDLt_SZxiyYW7GVm2_cKYyQpRg1S8AcvukME,https://serpapi.com/search.json?data_id=0x98627b1f9b9023%3A0x69a83dc1d7b04273&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98627b1f9b9023%3A0x69a83dc1d7b04273&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJI5CbH3timAARc0Kw18E9qGk,"Santana do Deserto, MG",lojas_decoracao,2025-07-29T02:52:45.085219,COMPLETA
7,Lyzz,ChIJM-ogvHFimAARV9sv10KVb_g,0x986271bc20ea33:0xf86f9542d72fdb57,17901691158131628887,/g/11xrgl697t,,0,Loja de Roupa,Loja de Roupa,clothing_store,"Santana do Deserto - MG, 36620-000, Brasil",-21.949384199999997,-43.1665481,,,,,,,,,,,,,,,https://serpapi.com/search.json?data_id=0x986271bc20ea33%3A0xf86f9542d72fdb57&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x986271bc20ea33%3A0xf86f9542d72fdb57&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJM-ogvHFimAARV9sv10KVb_g,"Santana do Deserto, MG",lojas_decoracao,2025-07-29T02:52:45.085219,COMPLETA
8,Mercado Santana Junior,ChIJZRUaHStjmAARo5okLQiaefg,0x98632b1d1a1565:0xf8799a082d249aa3,17904511153495906979,/g/11gjq0p44f,4.3,18,Mercado,Mercado,market,"R. Cândido Ferreira, 276-526, Santana do Deserto - MG, 36620-000, Brasil",-21.9524088,-43.1662706,,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–20:00; quarta-feira: 08:00–20:00; quinta-feira: 08:00–20:00; sexta-feira: 08:00–20:00; sábado: 08:00–20:00; domingo: 08:00–13:00; segunda-feira: 08:00–20:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Os produtos são de bom preço mas...tem q acender a luz...""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noHm-SwpQ_tdpn3wt9Q4ZcMvyoc3jSC4pPLOUty-OA7BuHVLVfTXsz3Sz6_eXPlcy8RK_OSE9ApeLeUEGtrxVlF_9VK_1av61O6IsgR6HmVsHafU6cjiXPkCRvQw7OIMk3SXg1puw=w163-h92-k-no,https://serpapi.com/images/url/PfJAm3icBcHhjoIgAADgJyLn4ei47X54rrJlQ-Vkrj-sEWGpwAIle8Ge4d7mvu_v3Xlv3VcUDR1cKWPUICcnH8JoL7VfCTNGyjogHHBRmuEu0SYfAQ224v5iNQweV8lJHOfFCHinWWLLgjR-ASRd_0w5K9j1t3UvSF-Iy7YcxPJZHzihG5xaWchms_OPJxu2HLMDj88zignaO1WjfGQuP18bJO63tuyzeq7CmuyPPaStiu0UvkOMIOjwB-iBNv-liUXd,https://serpapi.com/search.json?data_id=0x98632b1d1a1565%3A0xf8799a082d249aa3&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98632b1d1a1565%3A0xf8799a082d249aa3&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJZRUaHStjmAARo5okLQiaefg,"Santana do Deserto, MG",lojas_decoracao,2025-07-29T02:52:45.085219,COMPLETA
9,Tainara Florentino Unhas e Sobrancelhas,ChIJ_8O_wmWLmAARqS5IGpM6WYA,0x988b65c2bfc3ff:0x80593a931a482ea9,9248487713257565865,/g/11smn8whr1,4.3,6,Esteticista,Esteticista,beautician,"R. Antônio Rosa, 187 - centro, Santana do Deserto - MG, 36620-000, Brasil",-21.9488175,-43.1678804,+55 32 98486-3899,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 09:00–19:00; domingo: Fechado; segunda-feira: 08:00–19:00,,,Assento com acessibilidade para pessoas em cadeira de rodas,Cartão de débito,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=0h1gsrmlniFV_v7KJrnlWQ&cb_client=search.gws-prod.gps&w=80&h=92&yaw=286.67178&pitch=0&thumbfov=100,https://serpapi.com/images/url/aTmgb3icHc09DsIgGADQ27DJT4e2mhA3hzq56NhQ-glfQoEAgt7Ga3kbjRd47_O2pcR8YCyXBFAqQov4BJd3UVETgnGgImaqw8aqYMU-tsUrdMeofMBVcitMTpvzeLrOdThPybvbhehl1g7BF5lBJW2paT8xhZWamEmTIydW7jvyUk12Y0_7QQwjiVi0lZz8l3uoUnD-BaIYOgs,https://serpapi.com/search.json?data_id=0x988b65c2bfc3ff%3A0x80593a931a482ea9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x988b65c2bfc3ff%3A0x80593a931a482ea9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_8O_wmWLmAARqS5IGpM6WYA,"Santana do Deserto, MG",lojas_decoracao,2025-07-29T02:52:45.085219,COMPLETA
10,Igreja Matriz de Santa Ana,ChIJHxZpfx1jmAARZBWEuGFbKVQ,0x98631d7f69161f:0x54295b61b8841564,6064478848496702820,/g/11h6tdvgm1,4.7,29,Igreja católica,Igreja católica,catholic_church,"Praça Mauro Roquete Pinto, 210, Santana do Deserto - MG, 36620-000, Brasil",-21.9507586,-43.166806799999996,+55 31 98475-2094,,Fechado ⋅ Abre às 13:00,Fechado ⋅ Abre às 13:00,"terça-feira: 13:00–17:00; quarta-feira: 13:00–17:00; quinta-feira: 13:00–17:00; sexta-feira: 13:00–17:00; sábado: Fechado; domingo: 09:00–11:30, 18:00–20:30; segunda-feira: 13:00–17:00",,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Amo minha cidade""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noxGks9LSIgQhKwNRcHmAXDhx-tgdVhR97Aez4NKuZND3EWZqSzN-L5lUemLDd0F4irV9lcPWuLpUIvQnwicXWi6uCuvR2HRG801aZs0l_yO88cHJTbtZNby7b1SSc1KiCRxx-O=w128-h92-k-no,https://serpapi.com/images/url/tLojM3icBcHdzoIgAADQJyJ_spK2LpxWlo6-sLJ505IYuBD8AtJ6vx6it-mc74cb0-m54wg-HjGlmKBW0wdR0lBpRkS1Dus0IBpoJ4ohD6Qa1ncN82LD9jzrESZpG50TPgDDbieO4Syi7wBltkLJeFlW_8UbgXwijrTNk5u7CprHCQryV9q8O26ee9k35Fw2UxvbJ_ZTvA5d71ppV1xeuzAk6fZQmwrVr1ntFQXxsibGwwB2i97zQ8ChD-5Aqh_f_URq,https://serpapi.com/search.json?data_id=0x98631d7f69161f%3A0x54295b61b8841564&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x98631d7f69161f%3A0x54295b61b8841564&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJHxZpfx1jmAARZBWEuGFbKVQ,"Santana do Deserto, MG",lojas_decoracao,2025-07-29T02:52:45.085219,COMPLETA
