position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Cartório de Registro Civil e Notas de Santo Antônio do Itambé/MG,ChIJEzDyh7vxrgARFO0tnSzZgb0,0xaef1bb87f23013:0xbd81d92c9d2ded14,13655434330802875668,/g/11c42fd4nz,5,1,Cartório de registro civil,Cartório de registro civil,city_clerks_office,"R. João Porfírio de Figueiredo, 28 - centro, Santo Antônio do Itambé - MG, 39160-000, Brasil",-18.464704899999997,-43.3073913,+55 33 99962-2766,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: Fechado; domingo: Fechado; segunda-feira: 08:00–17:00,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=zsx0j0wKVOIZq0QmsR2uzg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=228.6119&pitch=0&thumbfov=100,https://serpapi.com/images/url/yeYe63icHc09DsIgGADQ27DJ32BaE-JsHBodHFwMpQgYWj770VJ7Gc_lbTRe4L3P2-cMuGMM82htnoMtEBYbcQOaupRctBoCUpN6NguW_dS3gw5xD3pIoVMrLvzBy_HSHK5PfurxLKfVEdPeTAx2yAqtHo2nrvzEMXXUAZKiKk68qiV56aKkrOhWiJpAyMYrTv7JPc1KcP4FZA05uQ,https://serpapi.com/search.json?data_id=0xaef1bb87f23013%3A0xbd81d92c9d2ded14&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaef1bb87f23013%3A0xbd81d92c9d2ded14&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEzDyh7vxrgARFO0tnSzZgb0,"Santo Antônio do Itambé, MG",lojas_presentes,2025-07-29T02:57:17.386144,COMPLETA
2,Cachoeira da Fumaça,ChIJl9EaJSLurgARZn62_w458Ow,0xaeee22251ad197:0xecf0390effb67e66,17073208923944025702,/g/1ydnpx47w,4.9,103,Atração turística,Atração turística,tourist_attraction,"Santo Antônio do Itambé - MG, 39160-000, Brasil",-18.453999,-43.334786,+55 33 99850-9360,,Aberto 24 horas,Aberto 24 horas,terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas; segunda-feira: Atendimento 24 horas,,,,,,,"""Local incrível, acesso fácil ,bem sinalizado .""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq_TfhE7Gg1ll_vbSweyugwMz44zUEM1uQ7OLuMdDOlJHQ6CCNgBgvZU0PGyAyPGiy3OaF0CEOV8cfNNa_9tzK6BIkIKvU51kZzfZwmL6Y3S2dRRBYhifTAGq8gl5kBOeqhbuDLQA=w122-h92-k-no,https://serpapi.com/images/url/QXAieHicBcFJDoIwAADAF1VkVUw8ACIuQAXFBC5EsbSGSsW2EPigb_A3zvy-RIg3XykKJfoMM4Ypkhx9KtYK1IpZxV4KfnNQccAVx7OJ0XblpSb-IsAqpWV_Pw9olHiIJsOYMj9SZbKAoYweG0gPu8TyvBi7uC-y-SkYnfEUPEcd3rZzz4fXZVXH8a20xXS03H2zP_aZqTbFVBfDK7Ry_aw90tTNybO-OEG3xNRsXIg6cpebMHHWg6ppgNgaaEDL_mmhRQI,https://serpapi.com/search.json?data_id=0xaeee22251ad197%3A0xecf0390effb67e66&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaeee22251ad197%3A0xecf0390effb67e66&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJl9EaJSLurgARZn62_w458Ow,"Santo Antônio do Itambé, MG",lojas_presentes,2025-07-29T02:57:17.386144,COMPLETA
3,Prefeitura Municipal de Santo Antônio do Itambé,ChIJ32Ag3nSloAARoZozRoNvh1g,0xa0a574de2060df:0x58876f8346339aa1,6379190006802782881,/g/1th250qn,4.4,27,Prefeitura,Prefeitura,city_hall,"R. Aristídes Alves, 54, Santo Antônio do Itambé - MG, 39160-000, Brasil",-18.464375699999998,-43.3062329,+55 33 3428-1301,https://santoantoniodoitambe.mg.gov.br/,Fechado ⋅ Abre às 07:00,Fechado ⋅ Abre às 07:00,terça-feira: 07:00–16:00; quarta-feira: 07:00–16:00; quinta-feira: 07:00–16:00; sexta-feira: 07:00–16:00; sábado: Fechado; domingo: Fechado; segunda-feira: 07:00–16:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas",,,,"""Fliip Recreações levando alegria no Ita Arte, em santo Antônio do itambé.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq6NxzJMk39SofZpu2PovLadpepcdzewPD5rU_5BQ9mBqyOYXUl-78kTjkDmbUklACEAcYWyOU4IDsTaA3rsKUh5669uLLEsg76CDpYRR3dxlZAP0CD0A1-xd2qJvHxwvkSAclGqA=w163-h92-k-no,https://serpapi.com/images/url/6MCshHicBcFdkoIgAADgE5ElSdFMDyRNbVmZxezay06LrEygoPhXF-wMe5v9vr-3bBrrFp6nJRzlxuRatE7U3JSNKJsRN4WXWwe4A84jIZbTskLH4bU7KIgv5vdmWz82XXTPrLA8e4k-pkHNvoPVGRer6nlKv5gGs7m6PhQtfpjSJFwTnn4-T2z6Qd31TmDt9kwGCOE2itYun6GQ2jRJYDboG4nHIR2TCRgyv9p126Hv1IVwvanIsp8gCCT2gQKl-QeN5EUg,https://serpapi.com/search.json?data_id=0xa0a574de2060df%3A0x58876f8346339aa1&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa0a574de2060df%3A0x58876f8346339aa1&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ32Ag3nSloAARoZozRoNvh1g,"Santo Antônio do Itambé, MG",lojas_presentes,2025-07-29T02:57:17.387157,COMPLETA
4,WILLER AUTO PECAS E OFICINA - OFICINA MECANICA DE MOTOS EM BAGRES - SANTO ANTONIO DO ITAMBE,ChIJufl78ffxrgARQFVn-L9tALI,0xaef1f7f17bf9b9:0xb2006dbff8675540,12826372410024875328,/g/11xc_ht7s6,5,1,Oficina mecânica de motos,Oficina mecânica de motos,motorcycle_repair_shop,"BAGRES, S/N - ZONA RURAL, Santo Antônio do Itambé - MG, 39160-000, Brasil",-18.4651849,-43.305516,+55 31 97231-0753,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–20:00; quarta-feira: 08:00–20:00; quinta-feira: 08:00–20:00; sexta-feira: 08:00–20:00; sábado: 08:00–20:00; domingo: Fechado; segunda-feira: 08:00–20:00,,,"Entrada com acessibilidade para pessoas em cadeira de rodas, Estacionamento com acessibilidade para pessoas em cadeira de rodas","Aceita somente dinheiro, Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",Serviços no local,,,https://lh3.googleusercontent.com/p/AF1QipOKvilHMnAp3YTHXm5-Gl4eXCA5xJBEaozp1wcs=w92-h92-k-no,https://serpapi.com/images/url/qGwuAnicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng712WmePhm-dYYBwZ4hGRa6rrnmOSGuHsaFrh5eSamF9VYFieXGxbbmmkmwHE2bp5-QCE8yES,https://serpapi.com/search.json?data_id=0xaef1f7f17bf9b9%3A0xb2006dbff8675540&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaef1f7f17bf9b9%3A0xb2006dbff8675540&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJufl78ffxrgARQFVn-L9tALI,"Santo Antônio do Itambé, MG",lojas_presentes,2025-07-29T02:57:17.387157,COMPLETA
5,Cipós e Pedras Receptivo Turístico,ChIJYckWtr7xrgARkqdqGZo4YkE,0xaef1beb616c961:0x4162389a196aa792,4711390394685499282,/g/11c1rfp5dw,4,1,Escritório da empresa,Escritório da empresa,corporate_office,"R. Aristídes Alves, 25, Santo Antônio do Itambé - MG, 39160-000, Brasil",-18.4646178,-43.3065059,+55 31 98013-0043,http://ciposepedras.webnode.com/,,,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=6ym4M9yxD3FIlpcX2xgQgw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=298.81754&pitch=0&thumbfov=100,https://serpapi.com/images/url/j-sGhnicHc0xDsIgFADQ27AJtFZtTUgXY-Lg4OZmKP3CT2j5KVja23gtb6PxAu993i4likchYpoA0oyQCRfwcUOa2xCsB00YuQmDmAuR3GvoRo2-JT0G7NV-Haprsy6n7fniydzLxd5sZqZ7GI8wJhVBT8Zxm3_iFHpuKbKsasmcakq26qzKpuZ1cdhVjDAZpyT7L88wq0LKL4OzObg,https://serpapi.com/search.json?data_id=0xaef1beb616c961%3A0x4162389a196aa792&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaef1beb616c961%3A0x4162389a196aa792&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJYckWtr7xrgARkqdqGZo4YkE,"Santo Antônio do Itambé, MG",lojas_presentes,2025-07-29T02:57:17.387157,COMPLETA
6,Quadra Poliestportiva,ChIJz_qqzr7xrgARBsHr16_SicM,0xaef1beceaafacf:0xc389d2afd7ebc106,14090024561888968966,/g/11c2nvld7q,4.5,2,Quadra de esportes,Quadra de esportes,athletic_field,"R. João Porfírio de Figueiredo, 2-14, Santo Antônio do Itambé - MG, 39160-000, Brasil",-18.464672699999998,-43.306834599999995,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqy-MjuCoRr4hZ-0l-FqYTiod9hWZzVopz3vTWhBhktzD3dImAdkFi1absaXMUnxI_AeWn-OFjqkV7IhPJpRT_mmJEtToWVTihfrqihJpU4kYMbJjxTIneY-TnDsc0ErymMzK_u=w122-h92-k-no,https://serpapi.com/images/url/H_qt_nicBcFbjoIwFADQFV1RIJlgMh_4IAFDNKaC-EMUOlwo7S20jMr-ZhGzG8_5_0NrtVk7To_eoiFqej4ZPlakLFd2UZF0Gm2gMmCccBugr4Y3pN20pfPo4w2WPURDwVqqA8xvc0Z69n5ZjhsUdt55dSzDWkTt6v4w92t6Ua-4DHmu4Bh1g8i-Yjwl-sxKKZO9ZZRnrMWfcWgx0RdfFOkj6V4sVrwApnamWu7Ht0znQzl9P1euCxi4IEDRB4TTRxI,https://serpapi.com/search.json?data_id=0xaef1beceaafacf%3A0xc389d2afd7ebc106&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaef1beceaafacf%3A0xc389d2afd7ebc106&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJz_qqzr7xrgARBsHr16_SicM,"Santo Antônio do Itambé, MG",lojas_presentes,2025-07-29T02:57:17.387157,COMPLETA
7,.,ChIJlwpTlUDxrgARMVuQUHIbC4k,0xaef14095530a97:0x890b1b7250905b31,9875016785731803953,/g/11rfqg46s7,5,1,Doceria,Doceria,candy_store,"R. Geraldo Pachêco de Melo, 73 - Batatal, Santo Antônio do Itambé - MG, 39160-000, Brasil",-18.4659221,-43.309266,,,Permanently closed,Permanently closed,,,,,"Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,,,https://serpapi.com/search.json?data_id=0xaef14095530a97%3A0x890b1b7250905b31&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaef14095530a97%3A0x890b1b7250905b31&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJlwpTlUDxrgARMVuQUHIbC4k,"Santo Antônio do Itambé, MG",lojas_presentes,2025-07-29T02:57:17.387157,COMPLETA
8,Mobiliar,ChIJkUI70r7xrgARGsyUMcmhPU4,0xaef1bed23b4291:0x4e3da1c93194cc1a,5637840194030062618,/g/11d_8h6vml,,0,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"R. João Porfírio de Figueiredo, 10 - loja A, Santo Antônio do Itambé - MG, 39160-000, Brasil",-18.4647371,-43.307325299999995,+55 33 98890-5529,,Permanently closed,Permanently closed,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrFi8QoGsoRMRXeCb6NaOwJ5Lp6doOvszZtEujWKCrpGi_edwHL9rPJdViX-TlB3xWXiEu9a95cWOlJB2W44CSdLvagh-JLWhsGnG_PKAg7a7P7TejEAx1N3ONTwBXBNQa18JmsNw=w130-h92-k-no,https://serpapi.com/images/url/_9UZdHicBcFRboIwGADgE1WGoNglewCCmMoKOrKSvZgKTYtiS_iLNV7QM-w2ft__S1k7wqfnDSpYSGPkIGYQU2u0FdouWnPz5AioBQRenGIV6mnbbw4mB3P8PjYiPa8pLx1ZFeO6M-Udnn82my9sn05j3p9E53YFnirS_fYNqockeLCmz2bM8apl5UCSJQvD9Kcr7lwqRAqmINf5qdrHMuJRFdXiksUPnwYlrV3SJPTA_Q25AXVfzg8-kMJLdEXavAF42kS9,https://serpapi.com/search.json?data_id=0xaef1bed23b4291%3A0x4e3da1c93194cc1a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaef1bed23b4291%3A0x4e3da1c93194cc1a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJkUI70r7xrgARGsyUMcmhPU4,"Santo Antônio do Itambé, MG",lojas_presentes,2025-07-29T02:57:17.387157,COMPLETA
9,Mercadinho da Sônia,ChIJ2Wk_QwnxrgARRkafK6K7shg,0xaef109433f69d9:0x18b2bba22b9f4646,1779691107955721798,/g/11pyk4t3sk,,0,Mercado,Mercado,market,"R. Santo Antônio - Centro, Santo Antônio do Itambé - MG, 39160-000, Brasil",-18.4645652,-43.3074466,+55 38 98817-3786,,Permanently closed,Permanently closed,,,,,,,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=I84mJ6aSrWz5hSha-9nmFA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=101.79049&pitch=0&thumbfov=100,https://serpapi.com/images/url/O6ZO0XicHc09DsIgGIDh27AVqKlaTEjjYqJrB0fzlSKQ8BfAop7Ga3kbG-c3ed7vR5cS84GQXJKUZTGyRvOUNjcRsApBWQnRZCyCI0tLin64yYOxQwQfzMzPfecuOxjT9b3Vo4aGeXc6IjHdhDXSF54lJKGxqquYwoxVzKjyniLN2Qa9oPKWtnjPaMdQNEVoTtH_cg_LmugPVYA5IQ,https://serpapi.com/search.json?data_id=0xaef109433f69d9%3A0x18b2bba22b9f4646&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaef109433f69d9%3A0x18b2bba22b9f4646&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ2Wk_QwnxrgARRkafK6K7shg,"Santo Antônio do Itambé, MG",lojas_presentes,2025-07-29T02:57:17.387157,COMPLETA
1,Artesanato Belas Artes,ChIJHztkVAO9pgARXMhBtEU98gE,0xa6bd0354643b1f:0x1f23d45b441c85c,140241907988154460,/g/11kmqswrqs,4.9,8,Artesanato,"Artesanato, Serviço de distribuição",handicraft,"R. Pavão, 121 - Miramar (Barreiro), Belo Horizonte - MG, 30644-060",-19.9962819,-44.0110658,(31) 98598-4222,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,"terça-feira: 08:00–13:00, 14:00–19:30; quarta-feira: 08:00–13:00, 14:00–19:30; quinta-feira: 08:00–13:00, 14:00–19:30; sexta-feira: 08:00–13:00, 14:00–19:30; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–13:00, 14:00–19:30",,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Vasos Lindos, indico!""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noNmZxZOVAoo4oLUlP2BzZQVlilVzm6WqEKOds1ngCgzEK0aR3uetSii3Q6sTO4OGbdzC9MiW_41m-MSTL7eSvmu5G1yeWMtzQkYwUEYMYnIfDDur-NXQ5UtG9Pl6_6SLYP4-KDIQ=w80-h142-k-no,https://serpapi.com/images/url/8vuWOHicBcFRboIwGADgE1VEKg4THxwQYgChQ2DwYhRrIbb9nS06e0HP4G38vver1_qqlpbFe2fCABino6K3DqSmUk86EBa7KtQppKy17_VYwla0_21WrQEwJCXPZ9-mJRUfeGWEW_-FcXZStmQ-M2E8Pfw4I9XFMDjEVbsMZ9HxZHwvHeo9tgVKi12yoMVdjPPIftI61YZcmkcZNmkjN-cgGG9o-0vmpY68nLt7t0iaHKM42JDV42uKehvP0AVJ-ACO7ETQ,https://serpapi.com/search.json?data_id=0xa6bd0354643b1f%3A0x1f23d45b441c85c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bd0354643b1f%3A0x1f23d45b441c85c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJHztkVAO9pgARXMhBtEU98gE,"Santo Antônio do Itambé, MG",lojas_artesanato,2025-07-29T02:57:20.437175,COMPLETA
