position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Tapera Minas,ChIJSXMGVN09rwARAhSlNbF8h7s,0xaf3ddd54067349:0xbb877cb135a51402,13512906307499529218,/g/11g19__kw7,4.7,79,Hotel,Hotel,hotel,"Praça Padre Francisco Xavier, 320-426 - Santo Antônio do Norte, Conceição do Mato Dentro - MG, 35860-000, Brasil",-18.8079306,-43.5120856,,,,,,,,,,,,"""Serviços excelentes
Ótima qualidade do atendimento.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqRHwaFsULPDXKYDKxqwNyAMzf7HaHpbtuOO7tzA2GvnVnmn-kY5eDm4b_zu5kLD9RxewMw2JCWh0gN29AcH2U07xyjed8DKPZ5I-fhpsCkLvIhD_MVcfsPiJwE4JMSVxlcg6b5=w138-h92-k-no,https://serpapi.com/images/url/dqi3CnicBcH_EoEwAADgJ5qYktz5o2tIP-g4kX-cZm1UW2xZej8P4W183-_LlGrkzDAqNh5QIWhFWkleWHBFuBpgURu0kQBLIA3Xc5jJnztfX5fyECXoFGYo7J5683HjvrD9q9_kqt1ubdW7cPXmKa85KDOLoNrML31rlRFydh3RsYaBd2RDuoGOi314GNrd50FuUxQmZ2sNCtZIr4zea4YucYoLmdwDvTCDeJ92FaaT3Jrr0XgKmANBCbj4AxMnRPg,https://serpapi.com/search.json?data_id=0xaf3ddd54067349%3A0xbb877cb135a51402&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf3ddd54067349%3A0xbb877cb135a51402&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJSXMGVN09rwARAhSlNbF8h7s,"Santo Antônio do Norte (Tapera), MG",lojas_presentes,2025-07-29T03:01:58.956340,COMPLETA
2,Santo Antônio do Norte (Tapera),ChIJvdl6NgA9rwARhqELfV4QHf8,0xaf3d00367ad9bd:0xff1d105e7d0ba186,18382867252007117190,/g/11y59kcvlb,4.5,2,Bar,Bar,bar,"R. Tumba, 160 - Santo Antonio Do Norte, Conceição do Mato Dentro - MG, 35860-000, Brasil",-18.813782,-43.508691,,,,,,,,,,Refeição no local,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nouTQxtzWDqaIG72oYz6XnHco5PVEax_MpzuBsax5oKoq5_Obd6nwf88O516t0ExEApdyy0mYtaQ00zfqDdMX_K80s7JdbQ8t8veTyiLA2oqnQazJpTSHvLx-oPb03QMlmDBkab=w80-h142-k-no,https://serpapi.com/images/url/QrKcl3icBcFJDoIwFADQE1UqClYTFyhEHIg2EocVKbMR-ostWno_D-FtfO_3rZUScmFZTT0ZVQBVU_SyeGXAVcHVKIPWqoREmUTS8tbzesqhj6lW5up3bLuZ2XA37o2HGTinS8B0EgnTryTTDuyhc5Jjmrv8UxJydMauwoEOPJEPA27vilGMTdn5eXRL9gTL2S5PKVHkXcTD4-DZ0HHKzE7E5_B90AhOKZ7QqGn91ZOlyw_BqB5PbfREHP5KyUWj,https://serpapi.com/search.json?data_id=0xaf3d00367ad9bd%3A0xff1d105e7d0ba186&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf3d00367ad9bd%3A0xff1d105e7d0ba186&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJvdl6NgA9rwARhqELfV4QHf8,"Santo Antônio do Norte (Tapera), MG",lojas_presentes,2025-07-29T03:01:58.957340,COMPLETA
3,Tapera Real,ChIJiagbnLo9rwAR2TtmzYW2R4A,0xaf3dba9c1ba889:0x8047b685cd663bd9,9243557445994167257,/g/11dz0025z0,5,5,Operador de turismo,Operador de turismo,tour_operator,"Praça Padre Francisco Xavier, 319-425 - Santo Antônio do Norte, Conceição do Mato Dentro - MG, 35860-000, Brasil",-18.8075039,-43.5123563,,http://www.taperareal.org.br/,,,,,,,,,,"""Centro cultura, Ótima muita cultura e aprendizado as nossas crianças.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noAtjb8201oaqZk_YHxxYzZJ0p7xc4i7HXE3iO1StbhQonkw4PnCDDXpB7V4kZsAVSxCVI-eoEX6RbVFxW17Yq59NnBoD35KSvPW3EyMDPRlwOQxB0FPSdeTxil6j2fkjw626onlA=w122-h92-k-no,https://serpapi.com/images/url/ObaVi3icBcFbcoIwFADQFUUgIIgzfvBybJ1WlA6vH0cwEkiaiyZK6gZdg7vpOe8XVWqUS8Pg1J51AB0nd0luLQhFhJq18Gt0o0StRNIIIp86AgI1NAtsWnC61uxYbbSunvWnOXq6dXpvUyZ2v7My1dA9CDY5qYjiuBxDL3dYLYM801H-gQgkpXto8rUuLK-6zv1vEUJsz7fZIy3s5O8rTg982u11aK7T7Ex-dM_dAV_YMLnYBcGD1WRhjKiPEUMC_gEykUSN,https://serpapi.com/search.json?data_id=0xaf3dba9c1ba889%3A0x8047b685cd663bd9&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf3dba9c1ba889%3A0x8047b685cd663bd9&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJiagbnLo9rwAR2TtmzYW2R4A,"Santo Antônio do Norte (Tapera), MG",lojas_presentes,2025-07-29T03:01:58.957340,COMPLETA
4,Sorelle Presentes e Decor,ChIJTzWmD5yD6pQRH0dNDKJhzRk,0x94ea839c0fa6354f:0x19cd61a20c4d471f,1859249569792870175,/g/11j8c3371j,5,16,Loja de Presentes,Loja de Presentes,gift_shop,"R. Rui Barbosa, 1110 - Centro, Santo Antônio da Platina - PR, 86430-000, Brasil",-23.2940588,-50.074073,+55 43 3534-7585,https://instagram.com/sorellepresentesdecor?igshid=MzMyNGUyNmU2YQ==,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqIY3dBySj84X6RVOwfGCTPM6tuaIytzcLYZcirCGqrQkxF7u2_p1bA00cg98S8Ck6W_04u8WiR5qPuflpGAq9S0g_UoRkD4E1wz2gJd1wYqUXqCq4gEvrMPP648rS7LeILcghF8A=w80-h106-k-no,https://serpapi.com/images/url/_8DOWHicBcFdboIwAADgE1WKdrWY-MCqEgxGBB3iC9kqtg6k9E_UC3qG3Wbf9_cW1vZm5nmtmIy4lLytnak1k52tOzti8ubx3gBmgPFCGgjUqbicnD-f-S9BR5x9bYdLRPfpBlv3HT_tiyXliV01jZTeNY_V1I2r3v8JIWQ8IDmhDS4qiBwprtmHSt2l7aNQBTnk1UFmzQIt_eE15uuzP5TqcFRUIb68602aYkR0Pk3qOGFcrEg4HwgEwocYNKCT_zUeRGQ,https://serpapi.com/search.json?data_id=0x94ea839c0fa6354f%3A0x19cd61a20c4d471f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ea839c0fa6354f%3A0x19cd61a20c4d471f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJTzWmD5yD6pQRH0dNDKJhzRk,"Santo Antônio do Norte (Tapera), MG",lojas_presentes,2025-07-29T03:01:58.957340,COMPLETA
5,LeveArt Artesanatos e Decorações,ChIJ_RmENQVprwARN_05zardYK0,0xaf6905358419fd:0xad60ddaacd39fd37,12493229091983064375,/g/11j959v62b,5,3,Artesanato,Artesanato,handicraft,"Rua Antônio Geraldo Filho Bandeirinha, Conceição do Mato Dentro - MG, 35860-000, Brasil",-19.022733,-43.432576499999996,+55 31 98707-8755,https://leveart-artesanatos-e-decoracoes.negocio.site/?utm_source=gmb&utm_medium=referral,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–14:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento excelente.""",https://lh3.googleusercontent.com/p/AF1QipPgVP3AavhTSFNzA5AE3aujZ36xPbbepyyCEkZt=w108-h92-k-no,https://serpapi.com/images/url/5ELDtHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQkB4WYOyYWJYREuzmV-Vo6uhqnFiaFWVsVhGQlJRaUFnp7JodVWJbbmhgoZthaaSbrZuXDwCpgCGG,https://serpapi.com/search.json?data_id=0xaf6905358419fd%3A0xad60ddaacd39fd37&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf6905358419fd%3A0xad60ddaacd39fd37&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ_RmENQVprwARN_05zardYK0,"Santo Antônio do Norte (Tapera), MG",lojas_presentes,2025-07-29T03:01:58.957340,COMPLETA
6,Ágatha Paper Personalizados,ChIJPeBLFkdprwAR56C3BFguSdE,0xaf6947164be03d:0xd1492e5804b7a0e7,15080635782797959399,/g/11j_66m33r,,0,Papelaria,Papelaria,stationery_store,"R. Antônio Geraldo Filho, 441 - Casa A - Conceição do Mato Dentro, MG, 35860-000, Brasil",-19.020909,-43.436020899999995,+55 31 98729-2080,https://instagram.com/agatha.paper?igshid=YmMyMTA2M2Y=,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–19:00; quarta-feira: 08:00–19:00; quinta-feira: 08:00–19:00; sexta-feira: 08:00–19:00; sábado: 08:00–19:00; domingo: Fechado; segunda-feira: 08:00–19:00,,,,"Cartão de crédito, Cartão de débito","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/p/AF1QipP90Xn0F1lIAu6PidpiM4UmmJ7FHi--oms4vAhC=w80-h106-k-no,https://serpapi.com/images/url/0SHnCnicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQYGkQkWfgZpjj6VhqFpCZUpDpaxKam-tl7uaRqaubn1tsUuaY4WxbbmGgm2FoYKabrZuXDwCOmSCa,https://serpapi.com/search.json?data_id=0xaf6947164be03d%3A0xd1492e5804b7a0e7&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf6947164be03d%3A0xd1492e5804b7a0e7&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJPeBLFkdprwAR56C3BFguSdE,"Santo Antônio do Norte (Tapera), MG",lojas_presentes,2025-07-29T03:01:58.957340,COMPLETA
3,Santo Antônio do Norte,ChIJR_mbNEU8rwARn3GICwnga78,0xaf3c45349bf947:0xbf6be0090b88719f,13793364613205094815,/g/1n36g84by,,0,,,,"Conceição do Mato Dentro - MG, 35860-000, Brasil",-18.813663,-43.5102054,,,,,,,,,,,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqYQSct6-Qfy33DjhjIr47avEa_Qfhhvic3vtJzZWWZpgumoV0H12NmobQLyTt0nyw1jdXQs_M2V3bfjsElzt1wO2d0sMXP7rlg77hFhJwHZbHFiRnJADHjd8ZLnLLo9L767bzG=w163-h92-k-no,https://serpapi.com/images/url/CL9lWnicBcFbjoIwFADQFVUeNXQw8cOMDyT1UTXq8GOkQK8daJFWCOzPRbgbz_m8wdraTBynBDwSWosyf5m84VrZXNkR15UjaoO4QcaZ_YYwVs8_duQ2QKzoMZ5LkOtmTO7t4n5jBUD74Li18ZBcLkktXpU-u5HnbyudMtqfrKv6zpPZlZnbxj_jtJBmUQ7W63Z-5prNdU-aUhACS4i7KEmj5eOg4tk8ktlPQhWlOqQkIOmwmnZegBGEPvpHSn8BQedFTQ,https://serpapi.com/search.json?data_id=0xaf3c45349bf947%3A0xbf6be0090b88719f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf3c45349bf947%3A0xbf6be0090b88719f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJR_mbNEU8rwARn3GICwnga78,"Santo Antônio do Norte (Tapera), MG",lojas_artesanato,2025-07-29T03:02:01.997534,COMPLETA
5,Lojinha Do Tabuleiro,ChIJl63orVpdrwARiaPPD4jLGD4,0xaf5d5aade8ad97:0x3e18cb880fcfa389,4474550015033844617,/g/11j638p8hc,5,10,Artesanato,Artesanato,handicraft,"Rua Eloi Chaves, 01 - Distrito do Tabuleiro, Conceição do Mato Dentro - MG, 35860-000, Brasil",-19.062922099999998,-43.5381591,+55 31 99777-7392,http://www.instagram.com/lojinhadotabuleiro,Fechado ⋅ Abre sáb. às 09:00,Fechado ⋅ Abre sáb. às 09:00,terça-feira: Fechado; quarta-feira: Fechado; quinta-feira: Fechado; sexta-feira: Fechado; sábado: 09:00–17:00; domingo: 09:00–17:00; segunda-feira: Fechado,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Produtos carregados de cultura local, raridade, coisa incrível.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrYQaMJEmKSR3OgO1K9D8TOC0wnJT1QqFGq6Vq-X3AMeDJuaE_W4ZdAS6BtCEPo56o81oA9IHqtXWCZNE-an9XwGuPpI-oLsjcSiEjxa8gO5e41b36-AcMXv7lW0S1978zuVvvj=w163-h92-k-no,https://serpapi.com/images/url/q8e0pnicBcHRVoIwGADgJ_rFNZysc7pYuEyM0PAIeePBtTMi3A9uQKf36yF6m77v77f2vnP3QdDWdGYQTasHp28KrdfWzxReA9M5UA5cIGJeh_b2vq_SRF63-RvNTEa2fBUdsng-2eRA9v3TumfHHkoqUr1Khkqei_D0IXL26GO5wwXDiKDgm-fel0V8epVQWV5O62HXbQBfXKPyT9l8V5HJFjokF8pAqLQcl20xzwlfRj_DcRybh4kwCjW_gy-w-A_aYUH5,https://serpapi.com/search.json?data_id=0xaf5d5aade8ad97%3A0x3e18cb880fcfa389&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf5d5aade8ad97%3A0x3e18cb880fcfa389&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJl63orVpdrwARiaPPD4jLGD4,"Santo Antônio do Norte (Tapera), MG",lojas_artesanato,2025-07-29T03:02:01.997534,COMPLETA
6,Tânia Castro Artesanatos,ChIJy7qxW_G_pgARCOSUMwymYIk,0xa6bff15bb1bacb:0x8960a60c3394e408,9899094552295564296,/g/11xdqw0vb4,5,4,Artesanato,Artesanato,handicraft,"R. Rad. Afonso de Castro, 112 - Itaipu, Belo Horizonte - MG, 30662-526, Brasil",-19.9844901,-44.050520399999996,+55 31 99531-6594,https://linktr.ee/taniacastroartesanatos,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–17:00; quarta-feira: 09:00–17:00; quinta-feira: 09:00–17:00; sexta-feira: 09:00–17:00; sábado: 09:00–17:00; domingo: 09:00–17:00; segunda-feira: 09:00–17:00,,,,,,,"""O atendimento é ótimo, muito atenciosa e os produtos perfeitos!""",https://lh3.googleusercontent.com/p/AF1QipMrH1XOvoBm-Mno_aUbpCnc7dw3Qp-tnZH974co=w105-h92-k-no,https://serpapi.com/images/url/oTeUCHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngW-RhGOFflu-Uq-ublx-fGJpU4JyXbJ5SbhxYoFuSF-VhaW6SnG9bbmhgqpthaaSbrZuXDwCxziFq,https://serpapi.com/search.json?data_id=0xa6bff15bb1bacb%3A0x8960a60c3394e408&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa6bff15bb1bacb%3A0x8960a60c3394e408&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJy7qxW_G_pgARCOSUMwymYIk,"Santo Antônio do Norte (Tapera), MG",lojas_artesanato,2025-07-29T03:02:01.997534,COMPLETA
7,Centro Agricultura e Cultura Tapera Real,ChIJ-YGcpGQ9rwARXTWuOcia85c,0xaf3d64a49c81f9:0x97f39ac839ae355d,10949265303819662685,/g/11mtk038hj,,0,Organização de serviço social,Organização de serviço social,social_services_organization,"Rua do Carmo, 211 Distrito de, Conceição do Mato Dentro - MG, 35860-000, Brasil",-18.813663,-43.5102054,+55 31 98666-7553,http://www.taperareal.org.br/,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–17:00; quarta-feira: 08:00–17:00; quinta-feira: 08:00–17:00; sexta-feira: 08:00–17:00; sábado: 08:00–14:00; domingo: Fechado; segunda-feira: 08:00–17:00,,,,,,,,https://lh3.googleusercontent.com/p/AF1QipPYg_h3_bAwJbEAEDQvLoXXTxQ2edPZY1BP-eS1=w137-h92-k-no,https://serpapi.com/images/url/eEli53icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQEJken2Ecn-RY7pXk6ujqEljmkx8REVIRaJSaEhAVaegUoJsabGhbbmhsrpthaaSbrZuXDwCkSCDh,https://serpapi.com/search.json?data_id=0xaf3d64a49c81f9%3A0x97f39ac839ae355d&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xaf3d64a49c81f9%3A0x97f39ac839ae355d&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ-YGcpGQ9rwARXTWuOcia85c,"Santo Antônio do Norte (Tapera), MG",lojas_artesanato,2025-07-29T03:02:01.997534,COMPLETA
