position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,Fernanda Presentes,ChIJq1wLGyqgtJQRAx9Eho2xq08,0x94b4a02a1b0b5cab:0x4fabb18d86441f03,5740877371414945539,/g/1vc82xrh,4.8,48,Loja de Brinquedos,Loja de Brinquedos,toy_store,"Rua Aristides Cabral 39, Nossa Senhora de Fátima, Santo Antônio do Monte - MG, 35560-000, Brasil",-20.090298,-45.288815,+55 37 3281-7901,https://www.facebook.com/fernandinha.oliveira.samonte/media_set?set=a.304938532998828.1073741833.100004480513152&type=3,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–12:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noRGedxNmBvFNPchmijjBRe8WF4G8hsw5BNRRqBh4UqR40r-onqGTG1JUpSNr7F0fdP93Yn4Vg03OEgwMHjiV1JWhqD7ZD9w6WGKyyDlS2L2csDFeC_uzh0ar2dhEcDtIu2ZAnULg=w92-h92-k-no,https://serpapi.com/images/url/96iT2XicDcPdboIwGADQJ6pgqT8s8UKsVJ1DU0WiN8tSaj8ZtECL6B5w77C3mSc5f7_gXG3fPK-EYKCMUaXsrGyF0U5qNxCm8lRtkbDIevNFCEQbzmT-SKroHid7AdWtKCIup1lM2BRsP4oSzpsISNpw4rfI6IYd2XCT1oekncT-Nd-HwVmTk_KD3VL1H6vidhpuMmjo5ELDfpyx9-eTlge8xcLSWC4-ux_wv1qcw1JQt-7wZa7TrZr1IUbw-o20-QfYZUQr,https://serpapi.com/search.json?data_id=0x94b4a02a1b0b5cab%3A0x4fabb18d86441f03&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b4a02a1b0b5cab%3A0x4fabb18d86441f03&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJq1wLGyqgtJQRAx9Eho2xq08,"Santo Antônio do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:04:14.044339,COMPLETA
2,Santo Antônio Presentes,ChIJaZOcRw0cnwARKgg6n8tvXFE,0x9f1c0d479c9369:0x515c6fcb9f3a082a,5862683735269967914,/g/11fxf48tgp,2.3,46,Loja de presentes,"Loja de presentes, Empresa de eletrônicos, Papelaria",novelty_store,"Praça Pres. Vargas, 220 - Centro, Bom Jardim de Minas - MG, 37310-000, Brasil",-21.9487247,-44.1889703,+55 32 3292-1456,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:00; quarta-feira: 08:30–18:00; quinta-feira: 08:30–18:00; sexta-feira: 08:30–18:00; sábado: 08:30–12:00; domingo: Fechado; segunda-feira: 08:30–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Ótima loja completa com grande variedade de produtos.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=d38x9Xm-_GtP0USzQIntHg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=99.18623&pitch=0&thumbfov=100,https://serpapi.com/images/url/l59UxXicHc1RCsIgGADg2_g2dRvEDKTH6q2IoLfhnOkPTmX-zdVlOle3KbrA933eDjHlLWMZZ2NwAVMSrMbnKilqY7TeqASZ6jixpWboHtMQFPhdUiHCKMe2W8Vtqvo9nvj18jofAx4s0UOvPZiAMhs1a0dt-YlzHKlNmRTZceKkaMhTFSkErbtN05IEqJ3k5J_c4yJrzr8zEzk2,https://serpapi.com/search.json?data_id=0x9f1c0d479c9369%3A0x515c6fcb9f3a082a&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x9f1c0d479c9369%3A0x515c6fcb9f3a082a&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJaZOcRw0cnwARKgg6n8tvXFE,"Santo Antônio do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:04:14.044339,COMPLETA
3,Frizzo Papelaria e Mimos,ChIJ6XljXEFhpgARNMekY60EOTE,0xa661415c6379e9:0x313904ad63a4c734,3546871324278572852,/g/11xf4qh72t,5,41,Loja de presentes,"Loja de presentes, Copiadora, Loja de embalagens para presente, Loja de produtos de papelaria, Loja de materiais escolares",novelty_store,"R. Otoni Alves, 69 - Centro, Pedro Leopoldo - MG, 33250-048, Brasil",-19.620697399999997,-44.0438245,+55 31 97255-6636,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 09:00–17:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,,,,,"""Minha experiência  foi bacana de mais achei e comprei tudo que precisava""",https://lh3.googleusercontent.com/p/AF1QipPGg4TNW9xckRmAdrQHHIZZsbi0-I9vKD77LGFZ=w80-h142-k-no,https://serpapi.com/images/url/wFGQZ3icuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFkQ4J5uEuIXblmRnB2U65hSFOjh4RkVVZyUaaDraVnm7WJu7uPuFmVbbmGgm2FoYqSbrZuXDwCbSCCX,https://serpapi.com/search.json?data_id=0xa661415c6379e9%3A0x313904ad63a4c734&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa661415c6379e9%3A0x313904ad63a4c734&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ6XljXEFhpgARNMekY60EOTE,"Santo Antônio do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:04:14.044339,COMPLETA
4,Loja DoisBox,ChIJiafDSZEDz5QRlCZFMsLpvtY,0x94cf039149c3a789:0xd6bee9c232452694,15474062389967922836,/g/11rvjp7ylt,5,2,Loja de presentes,"Loja de presentes, Loja de acessórios para banheiros, Loja infantil, Árvores de Natal, Service establishment, Loja de acessórios de moda, Importadora, Ciclismo de estrada, Loja, Loja de moda feminina",novelty_store,,-23.9921364,-48.752654199999995,+55 11 91463-3849,,Aberto 24 horas,Aberto 24 horas,terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas; segunda-feira: Atendimento 24 horas,,,,Cartão de crédito,,,,https://lh3.googleusercontent.com/p/AF1QipNaL91-ZxJS6bPj4HMQaCd6_zPKFyHPLjvuP5jC=w92-h92-k-no,https://serpapi.com/images/url/BYpesHicuxmbUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFngl-hjaagbVeEVbJYUkGXi4RuY6JxiFl8V4O1W6RHgk1VWGmCa5WxbbmmkmwHE2bp5-QBw4yCV,https://serpapi.com/search.json?data_id=0x94cf039149c3a789%3A0xd6bee9c232452694&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94cf039149c3a789%3A0xd6bee9c232452694&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJiafDSZEDz5QRlCZFMsLpvtY,"Santo Antônio do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:04:14.044339,COMPLETA
5,D'PRESENTES GABI,ChIJ27__hx8epAARUE9X8zJiROc,0xa41e1f87ffbfdb:0xe7446232f3574f50,16664552492148150096,/g/11f1039027,4.7,13,Loja de presentes,Loja de presentes,novelty_store,"Praça Paulo Teixeira, 25 - Centro, Rio Acima - MG, 34300-000, Brasil",-20.088582799999998,-43.7890616,+55 31 98884-5215,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: 09:30–12:00; segunda-feira: 08:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nr5Dm_kChHDEmNicqf9cxAFv-fqbiUGOxbtf4yUv1-lABMvC0itxJ3dAxgWltWScDIzuqKcqM6_hvPpEyPhkAEL6llulQwyTKB3TYNLPBis2BL1x3Jn1kQoGcDz2F1beMTwAR4dxg=w169-h92-k-no,https://serpapi.com/images/url/5YATL3icBcHbDoIgAADQLyJDzc22HvCSXbSsbK2nNlHBiaCBiv1g39DfdM7vS5Xq5NowGLUWRAjCykGWbyy4KrlaYNEapJMASyAN5LvU5u9V0L4an-6CsD3VuK9crNF2BFWf1_forHNV2fN9hIAhLxn9Za30wSqQJg-mHjcc7D9Df8R94rzomHbhnNIGhbHD2MAu05wdPSt7nuLUq6XpxVBbBw6bi4hw8DG3MC-TbEJXu9BkM0HHBdQ1QQO4-APTM0Y_,https://serpapi.com/search.json?data_id=0xa41e1f87ffbfdb%3A0xe7446232f3574f50&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa41e1f87ffbfdb%3A0xe7446232f3574f50&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJ27__hx8epAARUE9X8zJiROc,"Santo Antônio do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:04:14.044339,COMPLETA
6,Sorelle Presentes e Decor,ChIJTzWmD5yD6pQRH0dNDKJhzRk,0x94ea839c0fa6354f:0x19cd61a20c4d471f,1859249569792870175,/g/11j8c3371j,5,16,Loja de Presentes,Loja de Presentes,gift_shop,"R. Rui Barbosa, 1110 - Centro, Santo Antônio da Platina - PR, 86430-000, Brasil",-23.2940588,-50.074073,+55 43 3534-7585,https://instagram.com/sorellepresentesdecor?igshid=MzMyNGUyNmU2YQ==,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Entrega, Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqIY3dBySj84X6RVOwfGCTPM6tuaIytzcLYZcirCGqrQkxF7u2_p1bA00cg98S8Ck6W_04u8WiR5qPuflpGAq9S0g_UoRkD4E1wz2gJd1wYqUXqCq4gEvrMPP648rS7LeILcghF8A=w80-h106-k-no,https://serpapi.com/images/url/_8DOWHicBcFdboIwAADgE1WKdrWY-MCqEgxGBB3iC9kqtg6k9E_UC3qG3Wbf9_cW1vZm5nmtmIy4lLytnak1k52tOzti8ubx3gBmgPFCGgjUqbicnD-f-S9BR5x9bYdLRPfpBlv3HT_tiyXliV01jZTeNY_V1I2r3v8JIWQ8IDmhDS4qiBwprtmHSt2l7aNQBTnk1UFmzQIt_eE15uuzP5TqcFRUIb68602aYkR0Pk3qOGFcrEg4HwgEwocYNKCT_zUeRGQ,https://serpapi.com/search.json?data_id=0x94ea839c0fa6354f%3A0x19cd61a20c4d471f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94ea839c0fa6354f%3A0x19cd61a20c4d471f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJTzWmD5yD6pQRH0dNDKJhzRk,"Santo Antônio do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:04:14.044339,COMPLETA
7,Ponto Dos Presentes,ChIJgxC1nDiBpgARcz0HZPtPlKU,0xa681389cb51083:0xa5944ffb64073d73,11931249253944868211,/g/11cks3h72t,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Raul Teixeira da Costa Sobrinho, 243 - Camelos, Santa Luzia - MG, 33010-360, Brasil",-19.7667479,-43.8548349,+55 31 3059-0214,,,,,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=stKD9mv0jor7_zC5xXhXhw&cb_client=search.gws-prod.gps&w=80&h=92&yaw=217.89813&pitch=0&thumbfov=100,https://serpapi.com/images/url/2u5PHXicHc3NDcIgGADQbbjJT41pa0I86M0FemsoRcDQfgQ-oTqNa7mNxgXe-7wdYsxHxjImY7B4U6PfTMi7qKgFsMGo6DPVsLAiGLrHMq3Kh1NUK_hZZrxe-qXwO6R2fJ0P2-AGV4meRh28WVFmo5J21NafmGCmNmZSZceJk31DnqrKRrS06zuxJ9GjdpKT_3KDIgXnX6WqOhM,https://serpapi.com/search.json?data_id=0xa681389cb51083%3A0xa5944ffb64073d73&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa681389cb51083%3A0xa5944ffb64073d73&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJgxC1nDiBpgARcz0HZPtPlKU,"Santo Antônio do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:04:14.044339,COMPLETA
8,BemDita Cestaria,ChIJi-Fj6-yWjioRNyENEcplZDc,0x2a8e96eceb63e18b:0x376465ca110d2137,3991427088300974391,/g/11sgp4dcln,5,10,Loja de cestas de presente,Loja de cestas de presente,gift_basket_store,"R. Dr. Ari Teixeira da Costa, 115 - Esplanada, Santa Luzia - MG, 33025-010, Brasil",-19.768730599999998,-43.8489272,+55 31 99713-0409,https://instagram.com/bemditacestaria?utm_medium=copy_link,Aberto 24 horas,Aberto 24 horas,terça-feira: Atendimento 24 horas; quarta-feira: Atendimento 24 horas; quinta-feira: Atendimento 24 horas; sexta-feira: Atendimento 24 horas; sábado: Atendimento 24 horas; domingo: Atendimento 24 horas; segunda-feira: Atendimento 24 horas,,,,"Cartão de crédito, Cartão de débito, Cheques",Entrega,,,https://lh3.googleusercontent.com/p/AF1QipMKt5mWdhukFjaEciE3jnEu4bG7rg_P1mX6CYlu=w163-h92-k-no,https://serpapi.com/images/url/9kkxQXicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng611imhueklGa7ZaV6Jqc6WqcledaapLkbl6UHh9gmBth5hyZU2pbbmhmrJthaaSbrZuXDwC4NyGe,https://serpapi.com/search.json?data_id=0x2a8e96eceb63e18b%3A0x376465ca110d2137&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x2a8e96eceb63e18b%3A0x376465ca110d2137&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJi-Fj6-yWjioRNyENEcplZDc,"Santo Antônio do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:04:14.044339,COMPLETA
9,D Tudo Presentes,ChIJW7cFoK_BsZQRDmo7Ljr8RHs,0x94b1c1afa005b75b:0x7b44fc3a2e3b6a0e,8882501691895409166,/g/1tf6hr8b,4.5,83,Loja de Presentes,Loja de Presentes,gift_shop,"Av. José Cambraia, 82 - Ibiá, MG, 38950-000, Brasil",-19.4848718,-46.543230099999995,+55 34 3631-1661,,Fechado ⋅ Abre às 08:00,Fechado ⋅ Abre às 08:00,terça-feira: 08:00–18:00; quarta-feira: 08:00–18:00; quinta-feira: 08:00–18:00; sexta-feira: 08:00–18:00; sábado: 08:00–18:00; domingo: Fechado; segunda-feira: 08:00–18:00,,,Entrada com acessibilidade para pessoas em cadeira de rodas,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Atendimento exelente""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4noCaxtqQhT7izLN44OleL0Rz-0yXtN0_pfQha_e6cwVEy6nTxNB-dkYTMlEbHtgorVNhkzayekNPzBTntTAaAy6DM_0gD_hyB3d_D58uuTqvPCYSaldQFTvviiYGhccre4oru59Jg=w163-h92-k-no,https://serpapi.com/images/url/M8t0KHicBcHdboIwGADQJ6qwgWws2QU_umXRTmZj5KqppfYjdC3SgpYX9Bl8G8953MG53n4EgYJoIY2RSoxWDNxoJ7RbcPMfyN4ibpENsiKFWJuC3dylAvLWzhscx79KbMK_GYX-6HBI-3MFjIqEXw8rn2hywzlqupps1er07aQZDhi6mXnR4d2cE-1IxjKflFsaypKCz6OGlsv3cSSXaVfUe6aaak2mqW3rL-B8ELEZxmX6Iz-vL0mEIH1FHdLmCfLhRz0,https://serpapi.com/search.json?data_id=0x94b1c1afa005b75b%3A0x7b44fc3a2e3b6a0e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0x94b1c1afa005b75b%3A0x7b44fc3a2e3b6a0e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJW7cFoK_BsZQRDmo7Ljr8RHs,"Santo Antônio do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:04:14.044339,COMPLETA
10,Loja da Jô,ChIJEUhftqCBpgARPobo1q5moi4,0xa681a0b65f4811:0x2ea266aed6e8863e,3360361173087716926,/g/11hzsv9dt8,5,2,Loja de presentes,Loja de presentes,novelty_store,"R. Boa Vista, 961 - Bela Vista, Santa Luzia - MG, 33010-470, Brasil",-19.7614986,-43.8514871,+55 31 99448-4139,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–18:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC","Retirada na loja, Compras na loja",,,https://lh3.googleusercontent.com/p/AF1QipNNTSHndsc7qTHlHWKh4T2nbV0sHXB5bDoqrX7y=w122-h92-k-no,https://serpapi.com/images/url/hWEslHicuxmXUVJSUGylr5-TYayXnp-fnpNaWpxalJyfV5KaV6KXnJ-rX6Dv6GYYmFng5xcS7JGXUpxsXhjikeMR7p1hEmKUlxRmUOwR4WSa5JJfWBRhXmlbbmhkpJthaaSbrZuXDwCpJCFG,https://serpapi.com/search.json?data_id=0xa681a0b65f4811%3A0x2ea266aed6e8863e&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa681a0b65f4811%3A0x2ea266aed6e8863e&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJEUhftqCBpgARPobo1q5moi4,"Santo Antônio do Rio Abaixo, MG",lojas_presentes,2025-07-29T03:04:14.044339,COMPLETA
