position,title,place_id,data_id,data_cid,provider_id,rating,reviews,type,types,type_id,address,latitude,longitude,phone,website,hours,open_state,operating_hours_detailed,price,price_level,accessibility,payment_methods,service_options,amenities,user_review_highlight,thumbnail,serpapi_thumbnail,reviews_link,photos_link,place_id_search,cidade_oficial,categoria_governo,data_extracao_oficial,auditoria_governo
1,D'Fillipe Presentes,ChIJr9LumxASogAR5rWRTnphs24,0xa212109beed2af:0x6eb3617a4e91b5e6,7976826542935356902,/g/1td21h3j,4.8,24,Loja de Presentes,Loja de Presentes,gift_shop,"R. Antônio Ladeira, 139 - Santos Dumont, MG, 36240-000, Brasil",-21.4564015,-43.551289499999996,+55 32 99870-4834,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–12:30; domingo: Fechado; segunda-feira: 08:30–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Excelente atendimento e uma grande variedade de produtos.""",https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=m8qoIJPCC2O-OEkmm5f5eg&cb_client=search.gws-prod.gps&w=80&h=92&yaw=185.34851&pitch=0&thumbfov=100,https://serpapi.com/images/url/4VP7nXicHc3NDcIgGADQbbiVnyoJmhAPjQe91A0MpV-BCAULFt3GtdxG4wLvfd62lJT3hOSyAJTVQU3uCT43SWETo_GgkstYx0BWRop9hGFWzh-SmqMbZRD3eDpfuq7tm_54C4FPHAzSw1V7B3ORGdSiLTb1Jy5xxCZlVKWgyMpdi16qSiY43mwFZyi5oq2k6L9McZWM0i9T6Dkc,https://serpapi.com/search.json?data_id=0xa212109beed2af%3A0x6eb3617a4e91b5e6&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa212109beed2af%3A0x6eb3617a4e91b5e6&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJr9LumxASogAR5rWRTnphs24,"Santos Dumont, MG",lojas_presentes,2025-07-29T03:07:32.376546,COMPLETA
2,Du-Lar Presentes,ChIJCxF8dhoSogARGS6hqeYnbRc,0xa2121a767c110b:0x176d27e6a9a12e19,1688049306975677977,/g/1ptz_qp02,4.7,30,Loja de artigos domésticos,Loja de artigos domésticos,home_goods_store,"R. João Pessoa, 29 - Centro, Santos Dumont - MG, 36240-000, Brasil",-21.456753199999998,-43.5510248,+55 32 3251-3744,,Fechado ⋅ Abre às 08:30,Fechado ⋅ Abre às 08:30,terça-feira: 08:30–18:30; quarta-feira: 08:30–18:30; quinta-feira: 08:30–18:30; sexta-feira: 08:30–18:30; sábado: 08:30–12:30; domingo: Fechado; segunda-feira: 08:30–18:30,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Bom atendimento, boas opções de presentes e decorações.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nq1jTkUhQMWlWv7dBpkMxmUe9ngdKtM_WOjsu-4UgTWZURVNn8QUDZ1hmuN8UeiMfp2wz6DUOMiJBAws8lPBloEyuAq3qUAYHdsXqsG9WK2jYA-1RN1jCKRTdbx8C2kM9BIojC7=w92-h92-k-no,https://serpapi.com/images/url/mw5IsnicDcNRboIwGADgE1UCmklN9lBg2ZQUJ6F2-rJk0LWW0oJ_Eef5vIS3mV_yPe7K-x5WQWDUfCadk0aMIM61s15YP6tdF8geUA0IApJitbBDqKuWqR3lhl-WTdK39Noxga1sck-_-VbDiBZMVvzIyn1h4x3LjqHqxiJm4kR_-2i6vWRsS0-bhEwQm8_EuLe_kQzzgZHDRwNfA7xjnkf6QFBYFqFO87Jqfq5xGrUUJ2un0-XrhCOknltk3T_atkRT,https://serpapi.com/search.json?data_id=0xa2121a767c110b%3A0x176d27e6a9a12e19&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2121a767c110b%3A0x176d27e6a9a12e19&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJCxF8dhoSogARGS6hqeYnbRc,"Santos Dumont, MG",lojas_presentes,2025-07-29T03:07:32.376546,COMPLETA
3,JR Presentes,ChIJwcR9ZQATogARb5kVC1Ha2Rg,0xa21300657dc4c1:0x18d9da510b15996f,1790702368469653871,/g/11wvt0s9kc,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. Sebastião N de Morães, 206 - Santos Dumont, MG, 36240-000, Brasil",-21.4533931,-43.532918699999996,+55 32 98871-2378,https://www.instagram.com/jr_presentes_?igsh=MWlwZGE3MjR3ZzlsYg==,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noVsdHcVXWeJ12pOsdKP2_lJFVkAyp_sEQfVJxD0C2djr-TlxSTfVw3hsORcS8ReC76njiIEXJpLp4C5Mr4Hk0vrYlq_XKdcLQ466DSUPAy7LlotgxQjRX35QghFSNdzyA-XiS1VQ=w95-h92-k-no,https://serpapi.com/images/url/2y4YSHicBcFNUsIwGADQE4VC_7DOuOgUGCxVSIMxrrpIQkIbk9gvSusBvQO38b37nw7Bw2MUGZ0slHPKyG-QI3c2SBsW3H1GygPigCAqq0Kn1lEQe07Zu6xXsT-COJziztQ7OpSz72CLL7SeNssqFv2IzmYi5wu9JRqOLScPrazWue2vz1tW-8anVfYypvth-TN-mK-OHQRvcJrnG_J2Kud1Y1xQE-5blmRY6R15Fb9zidiVrCh-uhUZ0kWMBmTdPyG9ROI,https://serpapi.com/search.json?data_id=0xa21300657dc4c1%3A0x18d9da510b15996f&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa21300657dc4c1%3A0x18d9da510b15996f&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJwcR9ZQATogARb5kVC1Ha2Rg,"Santos Dumont, MG",lojas_presentes,2025-07-29T03:07:32.376546,COMPLETA
4,Auditek Presentes,ChIJMaNMvRASogARZ8SUv5nOWqQ,0xa21210bd4ca331:0xa45ace99bf94c467,11843005329863656551,/g/1tdmr8ns,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. Luís Cunha, 165 - Santos Dumont, MG, 36240-000, Brasil",-21.4573407,-43.5502742,+55 32 3251-3918,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: 09:00–19:00; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqAMReoiw8dWzdLHfnIxfFqsP_vbjUjtRIKGsXyGQdmVTRj2IQf0YMUOo04hW4M0AsEXZ6BeCXQXUgzXmM6OwIZFOCiANHCs65uTTHw6HJr1kSCmQUU8E9vmdPsKTvgx_U3bicx=w83-h92-k-no,https://serpapi.com/images/url/gziAqXicBcFRboIwGADgE1WYIAETH1ijgo4hSGf1xUQoLWhb9a-AnG-X2G32fX-_wpg7zC3rJpwJ15rf2AvYs9TKMGUmpZYWvwMqAYEV4kC46hEmOdNN71eHsfqKahUP9eoBu3N3aUlr8ni7BvpeZ5X8KfJ2Gme1fUxIqm1XHNzEDmFJT94nwzSjhI9UJl7ax6dVipvwO8LgzV5FEfVetHl-XPdYZoT4y6CT1Q62RceHM3EuTTkset9BIpiiK1L6H9PZRNQ,https://serpapi.com/search.json?data_id=0xa21210bd4ca331%3A0xa45ace99bf94c467&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa21210bd4ca331%3A0xa45ace99bf94c467&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJMaNMvRASogARZ8SUv5nOWqQ,"Santos Dumont, MG",lojas_presentes,2025-07-29T03:07:32.376546,COMPLETA
5,Maylon Fun & Art,ChIJx24EihoSogARHEs0wK7NvSM,0xa2121a8a046ec7:0x23bdcdaec0344b1c,2575440712358447900,/g/1pwft__6q,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"Av. Pres. Getúlio Vargas, 311 - Santos Dumont, MG, 36240-000, Brasil",-21.4567992,-43.5521716,+55 32 99126-7990,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:30; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito",,,,https://streetviewpixels-pa.googleapis.com/v1/thumbnail?panoid=cwPnpYeozftTs-mZgCeLAA&cb_client=search.gws-prod.gps&w=80&h=92&yaw=270.6502&pitch=0&thumbfov=100,https://serpapi.com/images/url/GV5eeXicHc1LDsIgEADQ27Ar0CZ-E2Kabl24cKMbQ-kUSChMyljUy3gub6PxAu993o4I816ITDMALR4K-geEXKHmNiUbQKPP3KRJLLUgd5_6qH04oI7JD8qUU8QLpNdI51xNV9vBsW2Z6W8meIikMujZOG7LT5zTwC1mVtRWMqd2DXvqopqN5OuVbBh6Mk5J9k_GtKhayi99HDnu,https://serpapi.com/search.json?data_id=0xa2121a8a046ec7%3A0x23bdcdaec0344b1c&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2121a8a046ec7%3A0x23bdcdaec0344b1c&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJx24EihoSogARHEs0wK7NvSM,"Santos Dumont, MG",lojas_presentes,2025-07-29T03:07:32.376546,COMPLETA
6,Auditek Presentes e Loja do Pescador,ChIJg9HCAQATogARFe-w10MGt60,0xa2130001c2d183:0xadb70643d7b0ef15,12517480577750855445,/g/11w9_dzqt_,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. José Galvond, 391 - Santos Dumont, MG, 36240-000, Brasil",-21.458869999999997,-43.544747,,https://www.instagram.com/auditekpresentes_?igsh=ajF1ajg0ZTZwOWJz,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqMowGDFaCfJz_m0moBjfd1DtT5RtCj0D-7K4KI5RDdybxozsTc5KFHfr5xxu9dVG2IswPwf9hzfXo3b52vVS8WhrtGFSbL-31GCiJHrtu6AJz_-26QBXONxwZsR-GBzgi854u5=w94-h92-k-no,https://serpapi.com/images/url/nRo-3HicDc3bEoFAGADgJ_pFtVgzLlTTIscYjBujw7YO9dNuNj2fl_A2fC_wfT9CqYccGMZdWK0MMbunlUzLGAuVFqoVY25kDwmxBGmMXCrs4jlHzTz_7PJpc8rbOTpXnnQ8tSWhcq9tD3qBHUxI6CXvqMZGbmMS-GNekrquaLJj5kTqleZUNPyAVkTM127T34tSMX8TzcDqMPcyHZeq6o7-AZjdtXNYLmp9lCEwp8kufWJXZKipDYKacIMCf3wVQ6g,https://serpapi.com/search.json?data_id=0xa2130001c2d183%3A0xadb70643d7b0ef15&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2130001c2d183%3A0xadb70643d7b0ef15&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJg9HCAQATogARFe-w10MGt60,"Santos Dumont, MG",lojas_presentes,2025-07-29T03:07:32.376546,COMPLETA
7,Alhambra Presentes E Papelaria (ALoja Da Juliana),ChIJNQabBmsSogARpass6QqsB0c,0xa2126b069b0635:0x4707ac0ae92caba5,5118248664391527333,/g/11f0_hnrcd,5,4,Loja,Loja,store,"Av. Palmira, 178a - Santos Dumont, MG, 36240-000, Brasil",-21.4568959,-43.5392739,+55 32 3251-6969,,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–19:00; quarta-feira: 09:00–19:00; quinta-feira: 09:00–19:00; sexta-feira: 09:00–19:00; sábado: 09:00–19:00; domingo: Fechado; segunda-feira: 09:00–19:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4np1c23CV2YaBOAyEtBEp__RVw5iN-RnuutzefwCOVWT6zEfKTQ-IDlDHjd2hOG9WUG1oteHnCOYiQNWmCr9Q2gRWDporsjvMVt95S-hJD8o7lpUWIRC0LMOkvs9ogFV6cJJpmat=w163-h92-k-no,https://serpapi.com/images/url/Nw3S2HicBcHRbsIgFADQL8KudHZjyR6Udmo3Je0U4pMxDEFtuaTc2sz_20fsbzzn_88hhviWJK3LJhbAtmaIptfg0XicaOgSGyLRkcRkxpl79iHVNOOS7o9zMfstcV6Gw6GR4_S8IY0fBryb08iFVNv8Xp4-tzVZFW2xvPxQJxZM7RYpoFl6LvbneqM63rOa2kYVAfp4ua0lsuk3cVXxCi9t2KlVw5--1uJ6iwzsh8x1VYXuiO9jmmfEMUquxMMDm5REPA,https://serpapi.com/search.json?data_id=0xa2126b069b0635%3A0x4707ac0ae92caba5&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2126b069b0635%3A0x4707ac0ae92caba5&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJNQabBmsSogARpass6QqsB0c,"Santos Dumont, MG",lojas_presentes,2025-07-29T03:07:32.376546,COMPLETA
8,Guedes Papelaria e Presentes,ChIJVVVVVVUSogAR8KQDcZQuNbc,0xa2125555555555:0xb7352e947103a4f0,13201509097792578800,/g/1pt_5p2tg,4.4,8,Papelaria,Papelaria,stationery_store,"R. Antônio Abud, 60 - Santos Dumont, MG, 36240-000, Brasil",-21.457601,-43.550348,+55 32 3251-4697,https://www.guedeseguedespresentes.com.br/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4noxL0blIYHLPJ1RzOm4gjIQw9f9CX_2XatDqc9AzTDx50U_w2ijGgNliUHrnJKFDy6MVpCI3siDDK3qux_xOBzqoi_RJoGnx1eiZEhrihrBHRZrK1O6ymY8-vnN6BjDzBUPpOhe=w80-h97-k-no,https://serpapi.com/images/url/BvrcFHicBcFdboIwAADgE1VAFK2JD0I3-VFhZCzqC3Gka4vQQlukcr5dwtv4fa9_qnWnNpbVUHdGhCANHhSWleAacz2rRGuRToFKAWXtAkgXXJiD_dtEl_CQxU4-pe2C1NHXCP9gcC7n55tGfQV30zcyS7soxzmr9-TUsCKUPE4-0dM7_nRB5CqGUOL2gylN6k-9YGUeiz03DmbXDyoZlX6YX2XipN6zvazBg588v0aTX2RdSvF2XNuAwhW4Ay7eonxFBg,https://serpapi.com/search.json?data_id=0xa2125555555555%3A0xb7352e947103a4f0&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2125555555555%3A0xb7352e947103a4f0&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJVVVVVVUSogAR8KQDcZQuNbc,"Santos Dumont, MG",lojas_presentes,2025-07-29T03:07:32.376546,COMPLETA
9,Madame Biju Mix,ChIJo8XMYQATogARFPzS5ab8_JI,0xa2130061ccc5a3:0x92fcfca6e5d2fc14,10591618217419144212,/g/11w1ytd_p5,5,1,Loja de Presentes,Loja de Presentes,gift_shop,"R. Pref. José M Pitela - Santos Dumont, MG, 36240-000, Brasil",-21.4555476,-43.551290699999996,,,,,,,,,"Cartão de crédito, Cartão de débito",,,,https://lh3.googleusercontent.com/gps-cs-s/AC9h4nqeJqV6-zkMDbegUYJ_bvb6fxpy-KQ5BKUh_4lyu1ksvdhAoPnR7gJCpBRDFld7EvGVzezsYqjq77tHLcGTtjRBqS2mPCzl79J6JT7efXpS_Go7e9tco4YALi_Fs9uBVBA1iTV91w=w80-h124-k-no,https://serpapi.com/images/url/lBoOUHicBcFdboIwAADgExXEIbUme6AomOoSRSTyREKtrVL7sxacXHBn2G32fX-_wnvjVmEoxUfAteaSDY59U608Uz6g-hly4wB1wIVphkSsLCO2TsDUf607xs8NabuxS24_5g12xwXenUUby_cQ9W68ilQfVAk5yQwu17m8ws1Y1BObXGMfFkK_3dOi8o8S29P8ecgmCRFJSAXZ7WJObaEhQ57quEn39zZ3aMA1TqN7VaPo9flazoCI5jHogdL_wFZFsg,https://serpapi.com/search.json?data_id=0xa2130061ccc5a3%3A0x92fcfca6e5d2fc14&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2130061ccc5a3%3A0x92fcfca6e5d2fc14&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJo8XMYQATogARFPzS5ab8_JI,"Santos Dumont, MG",lojas_presentes,2025-07-29T03:07:32.376546,COMPLETA
10,PetitDumont,ChIJGwfnDmwTogAR7htM6cp1n6Y,0xa2136c0ee7071b:0xa69f75cae94c1bee,12006444645950954478,/g/11sss6qbmw,5,2,Loja de souvenires,Loja de souvenires,souvenir_store,"R. Antônio Abud, 33 - Santos Dumont, MG, 33240-033, Brasil",-21.457427,-43.5502366,+55 32 99835-9797,https://www.instagram.com/petit.dumont/,Fechado ⋅ Abre às 09:00,Fechado ⋅ Abre às 09:00,terça-feira: 09:00–18:00; quarta-feira: 09:00–18:00; quinta-feira: 09:00–18:00; sexta-feira: 09:00–18:00; sábado: 09:00–12:00; domingo: Fechado; segunda-feira: 09:00–18:00,,,,"Cartão de crédito, Cartão de débito, Pagamentos por dispositivo móvel via NFC",,,"""Perfeitos para presentear e encantar pessoas de todas as idades.""",https://lh3.googleusercontent.com/gps-cs-s/AC9h4nrEf4cE3NIvscIMlPjWBhejyx6W4ZZR1iG_UWH1murBGRbyOL_79zPo3Z5LIr0MLtvVz0H5zvexcflwPUWHRGV0nJc8s8bZKnHms9o6tR-4VsGxcDy63Mhfnh2Eb7NPwtLIx0MB-g=w163-h92-k-no,https://serpapi.com/images/url/lYMhgHicDcpJDoIwFADQE5XBMoiJC1ECKCghERI2JDSFitAafmW6oGfwNvrW7_thUr5gp6odw0ojRNPRN9CBCC4plwoRvdq8ABFAoB6ODjP44NUG8fA1HIGEcZe0uctou8xWbhRFqj_88p4Hev8eXD-tlltU2s6aCFyYUThocSTHbNUCcx3pTOpuSv459TONn8kWtlVx4UEPjrBkiowM_JmcFgvHrOZs41X2NZlkFM5a7KJmP-kWRszZoCfi4gdnrkUc,https://serpapi.com/search.json?data_id=0xa2136c0ee7071b%3A0xa69f75cae94c1bee&engine=google_maps_reviews&hl=pt,https://serpapi.com/search.json?data_id=0xa2136c0ee7071b%3A0xa69f75cae94c1bee&engine=google_maps_photos&hl=pt,https://serpapi.com/search.json?engine=google_maps&google_domain=google.com&hl=pt&place_id=ChIJGwfnDmwTogAR7htM6cp1n6Y,"Santos Dumont, MG",lojas_presentes,2025-07-29T03:07:32.376546,COMPLETA
